2#app#app41#app4106/L  -0.059 1.419  -0.059 1.528  -0.059 1.568  -0.059 1.459  -0.108 1.371  -0.185 1.294  -0.262 1.217  -0.339 1.140  -0.416 1.063  -0.426 0.958  -0.426 0.850  -0.426 0.741  -0.464 0.647  -0.541 0.570  -0.610 0.490  -0.610 0.381  -0.610 0.272  -0.610 0.164  -0.610 0.055  -0.610 -0.054  -0.610 -0.163  -0.610 -0.272  -0.610 -0.381  -0.610 -0.489  -0.610 -0.598  -0.610 -0.707  -0.576 -0.782  -0.467 -0.782  -0.358 -0.782  -0.250 -0.782  -0.171 -0.710  -0.094 -0.633  0.001 -0.599  0.110 -0.599  0.219 -0.599  0.308 -0.579  0.308 -0.470  0.362 -0.415  0.470 -0.415  0.579 -0.415  0.688 -0.415  0.797 -0.415  0.892 -0.449  0.969 -0.526  1.048 -0.599  1.156 -0.599  1.225 -0.639  1.225 -0.748  1.299 -0.782  1.408 -0.782
2#app#app41#app4106/o  0.399 0.917  0.264 0.917  0.128 0.917  -0.007 0.917  -0.142 0.917  -0.278 0.917  -0.413 0.917  -0.454 0.823  -0.454 0.687  -0.511 0.575  -0.607 0.480  -0.703 0.384  -0.798 0.288  -0.894 0.193  -0.990 0.097  -1.023 -0.025  -1.023 -0.160  -1.023 -0.295  -1.023 -0.431  -0.981 -0.548  -0.885 -0.644  -0.789 -0.740  -0.694 -0.836  -0.598 -0.931  -0.502 -1.027  -0.387 -1.075  -0.251 -1.075  -0.116 -1.075  0.019 -1.075  0.143 -1.047  0.239 -0.951  0.334 -0.855  0.430 -0.759  0.526 -0.664  0.622 -0.568  0.717 -0.472  0.813 -0.376  0.909 -0.281  0.968 -0.170  0.968 -0.035  0.968 0.101  0.968 0.236  0.968 0.371  0.968 0.507  0.961 0.639  0.865 0.735  0.770 0.831  0.670 0.917  0.534 0.917  0.399 0.917
2#app#app41#app4106/a  0.589 1.426  0.434 1.426  0.278 1.426  0.123 1.426  -0.032 1.426  -0.166 1.373  -0.276 1.264  -0.386 1.154  -0.495 1.044  -0.605 0.934  -0.715 0.824  -0.817 0.711  -0.817 0.556  -0.817 0.401  -0.817 0.245  -0.817 0.090  -0.817 -0.065  -0.817 -0.221  -0.817 -0.376  -0.817 -0.531  -0.813 -0.682  -0.657 -0.682  -0.502 -0.682  -0.465 -0.801  -0.465 -0.956  -0.388 -1.034  -0.232 -1.034  -0.114 -0.997  -0.114 -0.842  -0.114 -0.686  0.038 -0.682  0.193 -0.682  0.316 -0.604  0.426 -0.494  0.535 -0.385  0.589 -0.252  0.589 -0.096  0.589 0.059  0.589 0.214  0.589 0.370  0.589 0.218  0.589 0.063  0.589 -0.092  0.589 -0.248  0.640 -0.382  0.749 -0.492  0.859 -0.602  0.981 -0.682  1.136 -0.682  1.292 -0.682
2#app#app41#app4106/n  -1.039 0.162  -1.039 0.009  -1.039 -0.144  -1.128 -0.260  -1.236 -0.368  -1.344 -0.476  -1.372 -0.617  -1.372 -0.769  -1.287 -0.837  -1.134 -0.837  -1.039 -0.779  -1.039 -0.626  -1.009 -0.504  -0.856 -0.504  -0.705 -0.502  -0.597 -0.394  -0.489 -0.286  -0.381 -0.178  -0.231 -0.171  -0.078 -0.171  -0.041 -0.056  -0.041 0.097  0.047 0.162  0.200 0.162  0.319 0.216  0.387 0.352  0.456 0.489  0.524 0.625  0.592 0.762  0.681 0.884  0.789 0.992  0.897 1.100  0.958 1.093  0.958 0.940  0.918 0.827  0.765 0.827  0.625 0.815  0.625 0.663  0.625 0.510  0.625 0.357  0.625 0.205  0.625 0.052  0.625 -0.101  0.625 -0.254  0.625 -0.406  0.680 -0.504  0.832 -0.504  0.958 -0.531  0.958 -0.684  0.958 -0.837
2#app#app41#app4106/%  -0.510 0.777  -0.557 0.950  -0.749 0.883  -0.855 0.707  -0.972 0.604  -1.028 0.440  -0.990 0.258  -0.855 0.344  -0.723 0.431  -0.682 0.611  -0.682 0.831  -0.783 0.950  -0.707 0.950  -0.487 0.950  -0.268 0.950  -0.048 0.950  0.124 1.065  0.321 1.123  0.355 0.937  0.312 0.734  0.182 0.568  0.145 0.357  0.046 0.160  0.009 -0.051  -0.121 -0.217  -0.164 -0.419  -0.187 -0.629  -0.337 -0.787  -0.337 -1.007  -0.409 -1.197  -0.510 -1.375  -0.427 -1.375  -0.282 -1.210  -0.137 -1.044  0.007 -0.879  0.152 -0.713  0.297 -0.548  0.442 -0.382  0.587 -0.217  0.700 -0.135  0.700 -0.355  0.700 -0.575  0.716 -0.778  0.936 -0.778  1.156 -0.778  1.219 -0.621  1.219 -0.401  1.219 -0.181  1.219 0.039  1.046 0.086
2#app#app41#app4106/'  0.759 1.519  0.759 1.426  0.759 1.333  0.759 1.240  0.759 1.147  0.759 1.054  0.759 0.961  0.759 0.868  0.759 0.775  0.759 0.682  0.759 0.589  0.759 0.496  0.759 0.403  0.759 0.310  0.759 0.217  0.759 0.124  0.759 0.031  0.697 0.000  0.604 0.000  0.511 0.000  0.418 0.000  0.325 0.000  0.232 0.000  0.139 0.000  0.047 0.000  -0.047 0.000  -0.139 0.000  -0.232 0.000  -0.325 0.000  -0.418 0.000  -0.511 0.000  -0.604 0.000  -0.697 0.000  -0.759 -0.031  -0.759 -0.124  -0.759 -0.217  -0.759 -0.310  -0.759 -0.403  -0.759 -0.496  -0.759 -0.589  -0.759 -0.682  -0.759 -0.775  -0.759 -0.868  -0.759 -0.961  -0.759 -1.054  -0.759 -1.147  -0.759 -1.240  -0.759 -1.333  -0.759 -1.426  -0.759 -1.519
2#app#app41#app4106/s  0.112 1.384  0.112 1.264  0.112 1.144  0.035 1.101  -0.086 1.101  -0.206 1.101  -0.326 1.101  -0.447 1.101  -0.567 1.101  -0.687 1.101  -0.737 1.030  -0.737 0.910  -0.737 0.790  -0.737 0.669  -0.737 0.549  -0.630 0.535  -0.510 0.535  -0.454 0.471  -0.454 0.351  -0.432 0.252  -0.312 0.252  -0.191 0.252  -0.071 0.252  0.049 0.252  0.153 0.212  0.238 0.127  0.323 0.042  0.413 -0.031  0.533 -0.031  0.654 -0.031  0.678 -0.127  0.678 -0.247  0.678 -0.367  0.678 -0.487  0.678 -0.608  0.678 -0.728  0.678 -0.848  0.590 -0.880  0.469 -0.880  0.395 -0.926  0.395 -1.047  0.392 -1.163  0.271 -1.163  0.151 -1.163  0.055 -1.221  -0.030 -1.306  -0.116 -1.391  -0.213 -1.446  -0.333 -1.446  -0.454 -1.446
2#app#app41#app4106/a  0.608 0.629  0.608 0.805  0.608 0.980  0.608 1.156  0.470 1.194  0.294 1.194  0.119 1.194  -0.057 1.194  -0.233 1.194  -0.239 1.025  -0.302 0.911  -0.477 0.911  -0.615 0.818  -0.739 0.694  -0.804 0.546  -0.804 0.370  -0.804 0.194  -0.850 0.064  -1.026 0.064  -1.086 -0.051  -1.081 -0.224  -0.956 -0.348  -0.832 -0.472  -0.804 -0.636  -0.804 -0.812  -0.804 -0.988  -0.706 -1.065  -0.530 -1.065  -0.355 -1.065  -0.179 -1.065  -0.003 -1.065  0.043 -0.936  0.066 -0.783  0.242 -0.783  0.390 -0.718  0.515 -0.594  0.608 -0.457  0.608 -0.281  0.688 -0.138  0.812 -0.014  0.890 0.129  0.890 0.305  0.796 0.252  0.672 0.128  0.608 -0.021  0.608 -0.197  0.717 -0.328  0.842 -0.452  0.890 -0.607  0.890 -0.783
2#app#app41#app4106/r  -0.390 -0.003  -0.390 -0.125  -0.390 -0.246  -0.390 -0.368  -0.390 -0.490  -0.390 -0.612  -0.390 -0.734  -0.390 -0.856  -0.390 -0.978  -0.390 -1.100  -0.447 -1.165  -0.569 -1.165  -0.690 -1.165  -0.743 -1.165  -0.621 -1.165  -0.499 -1.165  -0.390 -1.152  -0.390 -1.030  -0.390 -0.908  -0.390 -0.787  -0.390 -0.665  -0.390 -0.543  -0.390 -0.421  -0.326 -0.326  -0.240 -0.240  -0.153 -0.153  -0.067 -0.067  -0.003 0.028  -0.003 0.150  -0.003 0.272  -0.003 0.394  -0.003 0.516  -0.003 0.637  -0.003 0.759  0.106 0.772  0.228 0.772  0.350 0.772  0.385 0.859  0.385 0.981  0.385 1.103  0.450 1.160  0.572 1.160  0.694 1.160  0.816 1.160  0.938 1.160  1.060 1.160  1.160 1.138  1.160 1.016  1.160 0.894  1.160 0.772
2#app#app41#app4106/e  -1.204 -0.288  -1.025 -0.288  -0.845 -0.288  -0.835 -0.457  -0.835 -0.637  -0.676 -0.657  -0.496 -0.657  -0.316 -0.657  -0.137 -0.657  -0.096 -0.518  -0.096 -0.338  0.033 -0.288  0.213 -0.288  0.392 -0.288  0.572 -0.288  0.720 -0.211  0.847 -0.084  0.974 0.043  1.012 0.207  1.012 0.387  1.012 0.567  1.012 0.746  1.012 0.926  1.012 1.106  0.917 1.190  0.738 1.190  0.558 1.190  0.378 1.190  0.199 1.190  0.019 1.190  -0.096 1.126  -0.096 0.946  -0.150 0.821  -0.330 0.821  -0.466 0.777  -0.466 0.597  -0.466 0.417  -0.466 0.238  -0.466 0.058  -0.466 -0.122  -0.466 -0.301  -0.466 -0.481  -0.466 -0.661  -0.466 -0.840  -0.466 -1.020  -0.343 -1.149  -0.216 -1.276  -0.086 -1.396  0.094 -1.396  0.273 -1.396
2#app#app41#app4106/d  0.525 -0.582  0.509 -0.377  0.320 -0.346  0.274 -0.173  0.116 -0.111  0.038 0.031  -0.182 0.031  -0.370 -0.045  -0.525 -0.201  -0.681 -0.357  -0.702 -0.568  -0.847 -0.727  -0.906 -0.923  -0.906 -1.143  -0.906 -1.363  -0.722 -1.399  -0.502 -1.399  -0.293 -1.389  -0.275 -1.177  -0.119 -1.021  0.037 -0.866  0.116 -0.678  0.116 -0.459  0.214 -0.279  0.320 -0.103  0.320 0.117  0.320 0.337  0.320 0.557  0.320 0.776  0.320 0.996  0.320 1.216  0.194 1.384  0.116 1.572  0.116 1.792  -0.025 1.871  -0.088 1.715  -0.088 1.495  -0.088 1.275  -0.088 1.055  -0.079 0.839  0.077 0.684  0.116 0.480  0.116 0.260  0.254 0.097  0.320 -0.095  0.320 -0.315  0.478 -0.377  0.525 -0.551  0.525 -0.771  0.729 -0.786
