2#tos#t1#t1035063/\"  -0.478 0.604  -0.608 0.561  -0.608 0.389  -0.608 0.216  -0.608 0.043  -0.526 -0.047  -0.478 -0.172  -0.478 -0.345  -0.478 -0.518  -0.478 -0.690  -0.478 -0.863  -0.478 -1.036  -0.478 -1.209  -0.478 -1.382  -0.478 -1.554  -0.478 -1.727  -0.424 -1.592  -0.365 -1.429  -0.307 -1.266  -0.248 -1.104  -0.190 -0.941  -0.131 -0.779  -0.073 -0.616  -0.014 -0.454  0.044 -0.291  0.103 -0.128  0.161 0.034  0.220 0.197  0.278 0.359  0.337 0.522  0.395 0.684  0.454 0.847  0.512 1.009  0.571 1.172  0.629 1.335  0.688 1.497  0.542 1.516  0.434 1.451  0.434 1.278  0.304 1.236  0.304 1.063  0.304 0.890  0.304 0.717  0.346 0.562  0.434 0.426  0.434 0.253  0.434 0.080  0.434 -0.093  0.434 -0.265  0.434 -0.438
2#tos#t1#t1035063/#  -0.909 0.542  -1.020 0.361  -0.589 0.361  -0.200 0.535  0.200 0.662  0.555 0.842  0.961 0.902  0.714 0.679  0.369 0.422  0.023 0.165  -0.322 -0.091  -0.667 -0.348  -1.013 -0.604  -1.181 -0.822  -0.781 -0.721  -0.382 -0.590  0.030 -0.509  0.435 -0.373  0.835 -0.240  1.248 -0.162  1.532 0.017  1.172 0.253  0.812 0.489  0.453 0.725  0.093 0.961  -0.267 1.197  -0.668 1.254  -0.570 0.865  -0.461 0.462  -0.428 0.037  -0.368 -0.385  -0.368 -0.816  -0.307 -1.236  -0.307 -1.666  -0.280 -1.753  -0.213 -1.328  -0.146 -0.903  -0.079 -0.478  -0.012 -0.053  0.055 0.372  0.122 0.797  0.189 1.222  0.188 1.367  0.174 0.939  0.174 0.508  0.174 0.078  0.209 -0.346  0.234 -0.772  0.294 -1.193  0.294 -1.623
2#tos#t1#t1035063/%  -0.262 0.528  -0.335 0.317  -0.597 0.272  -0.811 0.171  -0.975 0.279  -0.968 0.488  -0.856 0.683  -0.698 0.857  -0.493 0.924  -0.420 0.724  -0.460 0.462  -0.579 0.239  -0.673 0.118  -0.486 0.316  -0.299 0.514  -0.113 0.711  0.074 0.909  0.261 1.107  0.448 1.305  0.634 1.502  0.689 1.625  0.619 1.374  0.556 1.121  0.444 0.876  0.389 0.613  0.253 0.382  0.221 0.116  0.154 -0.147  0.050 -0.392  -0.051 -0.639  -0.120 -0.901  -0.203 -1.159  -0.304 -1.380  -0.381 -1.634  -0.425 -1.727  -0.253 -1.516  -0.082 -1.305  0.090 -1.094  0.261 -0.883  0.433 -0.671  0.570 -0.557  0.509 -0.784  0.275 -0.859  0.174 -0.688  0.279 -0.472  0.412 -0.327  0.588 -0.167  0.848 -0.150  0.848 -0.422  0.768 -0.661
2#tos#t1#t1035063/'  0.145 1.037  0.138 0.916  0.024 0.903  0.024 0.776  0.024 0.649  0.055 0.553  0.118 0.580  0.028 0.670  -0.097 0.674  -0.225 0.674  -0.348 0.683  -0.438 0.773  -0.556 0.795  -0.479 0.795  -0.352 0.795  -0.225 0.795  -0.097 0.795  0.030 0.795  0.132 0.795  0.005 0.795  -0.122 0.795  -0.187 0.795  -0.060 0.795  0.024 0.751  0.024 0.624  0.080 0.553  0.207 0.553  0.266 0.484  0.266 0.357  0.266 0.230  0.266 0.103  0.266 -0.025  0.266 -0.152  0.266 -0.279  0.215 -0.395  0.158 -0.508  0.145 -0.632  0.145 -0.760  0.096 -0.875  0.039 -0.989  0.024 -1.113  0.024 -1.240  0.024 -1.367  -0.026 -1.483  -0.083 -1.596  -0.097 -1.720  -0.097 -1.848  -0.097 -1.975  -0.097 -2.102  -0.097 -2.229
2#tos#t1#t1035063/*  -0.593 0.344  -0.867 0.234  -0.689 0.036  -0.400 -0.039  -0.204 -0.243  0.076 -0.357  0.361 -0.461  0.590 -0.609  0.861 -0.739  1.106 -0.811  1.076 -0.606  1.040 -0.300  1.004 0.005  0.968 0.311  0.932 0.616  0.896 0.921  0.660 0.999  0.448 0.818  0.372 0.542  0.218 0.279  0.027 0.038  -0.071 -0.230  -0.200 -0.497  -0.333 -0.769  -0.470 -1.003  -0.665 -1.224  -0.702 -1.515  -0.642 -1.213  -0.583 -0.912  -0.524 -0.610  -0.464 -0.308  -0.405 -0.006  -0.345 0.295  -0.286 0.597  -0.227 0.899  -0.167 1.200  -0.108 1.502  -0.049 1.804  -0.264 1.755  -0.264 1.448  -0.264 1.140  -0.220 0.837  -0.161 0.537  -0.154 0.230  -0.145 -0.076  -0.100 -0.378  -0.100 -0.686  -0.045 -0.984  -0.045 -1.292  0.120 -1.519
2#tos#t1#t1035063/+  -1.427 -0.245  -1.583 -0.265  -1.583 -0.442  -1.452 -0.453  -1.287 -0.402  -1.111 -0.402  -0.935 -0.402  -0.758 -0.402  -0.597 -0.339  -0.448 -0.245  -0.297 -0.156  -0.130 -0.100  0.045 -0.089  0.221 -0.089  0.398 -0.089  0.574 -0.089  0.750 -0.089  0.927 -0.089  1.103 -0.089  1.279 -0.089  1.456 -0.089  1.343 0.021  1.211 0.139  1.080 0.257  0.949 0.374  0.817 0.492  0.686 0.609  0.554 0.727  0.423 0.844  0.292 0.962  0.160 1.080  0.029 1.197  -0.131 1.240  -0.254 1.187  -0.254 1.010  -0.254 0.834  -0.254 0.658  -0.254 0.481  -0.254 0.305  -0.158 0.158  -0.098 -0.000  -0.098 -0.177  -0.098 -0.353  -0.098 -0.529  -0.098 -0.706  -0.098 -0.882  -0.098 -1.058  -0.098 -1.235  -0.075 -1.407  -0.019 -1.575
2#tos#t1#t1035063/,  0.128 1.298  0.030 1.298  -0.067 1.298  -0.165 1.298  -0.262 1.298  -0.288 1.226  -0.288 1.128  -0.288 1.031  -0.288 0.933  -0.255 0.849  -0.186 0.780  -0.104 0.744  -0.007 0.744  0.091 0.744  0.188 0.744  0.286 0.744  0.383 0.744  0.481 0.744  0.543 0.708  0.543 0.611  0.543 0.513  0.543 0.416  0.543 0.319  0.543 0.221  0.496 0.143  0.427 0.074  0.358 0.005  0.289 -0.064  0.221 -0.133  0.152 -0.202  0.128 -0.289  0.128 -0.386  0.128 -0.484  0.128 -0.581  0.128 -0.679  0.128 -0.776  0.047 -0.828  -0.037 -0.878  -0.120 -0.928  -0.204 -0.978  -0.288 -1.029  -0.371 -1.079  -0.455 -1.129  -0.538 -1.179  -0.565 -1.261  -0.565 -1.359  -0.565 -1.456  -0.565 -1.554  -0.565 -1.651  -0.565 -1.749
2#tos#t1#t1035063/  -1.228 0.045  -1.228 -0.033  -1.239 -0.109  -1.263 -0.183  -1.288 -0.257  -1.362 -0.263  -1.387 -0.263  -1.309 -0.263  -1.231 -0.263  -1.153 -0.263  -1.075 -0.263  -0.997 -0.263  -0.937 -0.218  -0.882 -0.163  -0.814 -0.140  -0.736 -0.140  -0.659 -0.133  -0.590 -0.098  -0.516 -0.078  -0.438 -0.078  -0.360 -0.078  -0.282 -0.078  -0.204 -0.078  -0.150 -0.033  -0.107 0.032  -0.064 0.097  0.009 0.107  0.087 0.107  0.165 0.107  0.243 0.107  0.321 0.107  0.399 0.107  0.477 0.107  0.555 0.107  0.633 0.111  0.707 0.135  0.781 0.160  0.857 0.169  0.935 0.169  1.013 0.169  1.091 0.169  1.169 0.169  1.247 0.169  1.325 0.169  1.403 0.169  1.481 0.169  1.560 0.169  1.638 0.169  1.670 0.214  1.732 0.230
2#tos#t1#t1035063/.  0.806 2.455  0.806 2.248  0.806 2.042  0.806 1.835  0.778 1.635  0.686 1.450  0.593 1.266  0.501 1.081  0.409 0.896  0.316 0.712  0.224 0.527  0.132 0.342  0.037 0.161  -0.169 0.161  -0.376 0.161  -0.582 0.161  -0.723 0.096  -0.723 -0.111  -0.723 -0.317  -0.723 -0.524  -0.596 -0.603  -0.389 -0.603  -0.183 -0.603  0.024 -0.603  -0.147 -0.603  -0.354 -0.603  -0.560 -0.603  -0.679 -0.603  -0.473 -0.603  -0.266 -0.603  -0.060 -0.603  0.147 -0.603  0.353 -0.603  0.560 -0.603  0.766 -0.603  0.639 -0.603  0.432 -0.603  0.226 -0.603  0.019 -0.603  -0.187 -0.603  -0.394 -0.603  -0.600 -0.603  -0.640 -0.603  -0.433 -0.603  -0.227 -0.603  -0.020 -0.603  0.041 -0.458  0.041 -0.252  0.041 -0.045  0.041 0.161
2#tos#t1#t1035063/:  0.419 1.567  0.419 1.455  0.393 1.369  0.281 1.369  0.220 1.317  0.155 1.270  0.121 1.191  0.030 1.170  0.017 1.270  -0.096 1.270  -0.145 1.270  -0.077 1.225  -0.077 1.113  -0.077 1.001  0.006 0.972  0.027 0.875  0.034 0.763  0.040 0.651  0.046 0.539  0.052 0.427  0.058 0.315  0.065 0.203  0.071 0.090  0.077 -0.022  0.083 -0.134  0.090 -0.246  0.096 -0.358  0.102 -0.470  0.108 -0.583  0.115 -0.695  0.121 -0.807  0.019 -0.818  -0.061 -0.898  -0.077 -1.003  -0.177 -1.016  -0.161 -1.113  -0.077 -1.084  -0.119 -1.014  -0.122 -1.014  -0.077 -1.082  0.004 -1.113  0.116 -1.113  0.113 -1.014  0.001 -1.014  -0.111 -1.014  -0.224 -1.014  -0.336 -1.014  -0.448 -1.014  -0.561 -1.014  -0.474 -1.014
2#tos#t1#t1035063/=  -1.246 0.740  -1.426 0.733  -1.413 0.559  -1.226 0.559  -1.038 0.559  -0.850 0.559  -0.663 0.559  -0.475 0.559  -0.288 0.559  -0.100 0.559  0.087 0.559  0.275 0.559  0.462 0.559  0.650 0.559  0.818 0.641  1.004 0.650  1.191 0.650  1.285 0.739  1.127 0.639  0.968 0.539  0.810 0.439  0.651 0.339  0.493 0.238  0.334 0.138  0.175 0.038  0.017 -0.062  -0.142 -0.162  -0.300 -0.262  -0.446 -0.374  -0.535 -0.539  -0.667 -0.671  -0.825 -0.768  -1.006 -0.797  -1.194 -0.797  -1.110 -0.797  -0.922 -0.797  -0.735 -0.797  -0.564 -0.728  -0.385 -0.673  -0.203 -0.627  -0.017 -0.617  0.170 -0.617  0.265 -0.510  0.447 -0.465  0.629 -0.419  0.811 -0.374  0.995 -0.345  1.183 -0.345  1.371 -0.345  1.558 -0.345
