1d#tos#t1#t1057066/#  -0.694 0.586  -0.758 0.213  -0.718 0.084  -0.385 0.271  0.031 0.285  0.438 0.335  0.673 0.296  0.289 0.129  -0.094 -0.039  -0.478 -0.207  -0.851 -0.385  -0.950 -0.774  -0.862 -0.869  -0.449 -0.819  -0.053 -0.724  0.353 -0.669  0.709 -0.568  1.120 -0.518  1.448 -0.448  1.191 -0.117  0.935 0.214  0.678 0.545  0.421 0.876  0.165 1.207  -0.092 1.538  -0.410 1.439  -0.393 1.104  -0.393 0.685  -0.393 0.266  -0.393 -0.152  -0.393 -0.571  -0.393 -0.990  -0.443 -1.401  -0.490 -1.812  -0.426 -1.623  -0.334 -1.215  -0.242 -0.806  -0.150 -0.398  -0.058 0.011  0.034 0.419  0.126 0.828  0.218 1.236  0.304 1.639  0.259 1.366  0.309 0.968  0.309 0.549  0.309 0.130  0.309 -0.289  0.309 -0.707  0.359 -1.120
1d#tos#t1#t1057066/$  0.695 0.515  0.826 0.794  0.491 0.887  0.091 0.887  -0.257 0.783  -0.551 0.527  -0.607 0.149  -0.321 -0.043  0.049 -0.153  0.424 -0.233  0.695 -0.457  0.695 -0.858  0.499 -1.133  0.162 -1.298  -0.192 -1.345  -0.463 -1.220  -0.409 -0.823  -0.355 -0.427  -0.301 -0.030  -0.246 0.367  -0.192 0.763  -0.138 1.160  -0.084 1.557  -0.095 1.726  -0.095 1.326  -0.142 0.944  -0.261 0.575  -0.321 0.181  -0.419 -0.181  -0.421 -0.580  -0.421 -0.981  -0.421 -1.381  -0.469 -1.379  -0.356 -0.995  -0.243 -0.611  -0.130 -0.227  -0.017 0.157  0.096 0.541  0.209 0.925  0.322 1.309  0.416 1.566  0.416 1.166  0.412 0.766  0.345 0.371  0.277 -0.021  0.209 -0.411  0.184 -0.806  0.184 -1.206  0.091 -1.568  0.137 -1.577
1d#tos#t1#t1057066/%  -0.291 0.413  -0.456 0.335  -0.589 0.338  -0.704 0.478  -0.721 0.671  -0.558 0.777  -0.386 0.877  -0.225 0.795  -0.250 0.566  -0.440 0.462  -0.587 0.436  -0.384 0.570  -0.180 0.704  0.023 0.838  0.227 0.972  0.430 1.106  0.634 1.240  0.636 1.284  0.564 1.070  0.437 0.937  0.326 0.749  0.248 0.527  0.072 0.362  -0.073 0.168  -0.220 -0.026  -0.381 -0.207  -0.518 -0.407  -0.689 -0.580  -0.801 -0.796  -0.938 -0.997  -1.016 -1.224  -1.118 -1.407  -0.916 -1.362  -0.809 -1.174  -0.585 -1.077  -0.361 -0.981  -0.138 -0.884  0.086 -0.787  0.309 -0.690  0.533 -0.593  0.756 -0.496  0.980 -0.399  1.099 -0.461  0.907 -0.513  0.834 -0.343  0.900 -0.127  1.106 -0.050  1.198 -0.201  1.128 -0.414  0.900 -0.480
1d#tos#t1#t1057066/&  0.992 0.349  0.903 0.157  0.814 0.018  0.764 -0.191  0.636 -0.366  0.517 -0.528  0.367 -0.700  0.269 -0.882  0.081 -1.008  -0.048 -1.122  -0.206 -1.256  -0.434 -1.256  -0.660 -1.250  -0.747 -1.050  -0.836 -0.910  -0.836 -0.681  -0.925 -0.541  -0.857 -0.362  -0.791 -0.183  -0.657 -0.088  -0.502 0.037  -0.307 0.120  -0.136 0.216  -0.033 0.368  0.101 0.497  0.238 0.670  0.279 0.889  0.279 1.118  0.234 1.329  0.103 1.458  -0.085 1.553  -0.314 1.553  -0.480 1.464  -0.613 1.334  -0.611 1.107  -0.515 0.974  -0.356 0.850  -0.278 0.650  -0.191 0.483  -0.108 0.298  0.088 0.183  0.160 -0.007  0.300 -0.096  0.324 -0.302  0.451 -0.435  0.546 -0.626  0.636 -0.766  0.725 -0.905  0.814 -1.045  0.903 -1.122
1d#tos#t1#t1057066/'  0.667 1.469  0.595 1.469  0.528 1.455  0.477 1.404  0.426 1.352  0.418 1.283  0.418 1.210  0.418 1.137  0.418 1.065  0.418 0.992  0.418 0.920  0.418 0.847  0.418 0.775  0.418 0.702  0.418 0.629  0.389 0.569  0.338 0.517  0.287 0.466  0.236 0.415  0.184 0.364  0.146 0.303  0.114 0.238  0.081 0.173  0.049 0.108  0.016 0.043  -0.016 -0.022  -0.049 -0.087  -0.081 -0.152  -0.122 -0.212  -0.162 -0.272  -0.202 -0.333  -0.242 -0.393  -0.283 -0.454  -0.323 -0.514  -0.356 -0.578  -0.389 -0.643  -0.421 -0.708  -0.453 -0.773  -0.453 -0.846  -0.453 -0.918  -0.453 -0.991  -0.453 -1.063  -0.453 -1.136  -0.453 -1.209  -0.453 -1.281  -0.453 -1.354  -0.453 -1.426  -0.453 -1.499  -0.505 -1.520  -0.578 -1.520
1d#tos#t1#t1057066/(  0.549 1.527  0.540 1.452  0.484 1.396  0.428 1.340  0.354 1.330  0.340 1.265  0.261 1.265  0.222 1.225  0.185 1.162  0.129 1.106  0.091 1.043  0.091 0.964  0.091 0.885  0.045 0.825  -0.011 0.770  -0.063 0.710  -0.110 0.647  -0.158 0.584  -0.205 0.521  -0.236 0.452  -0.236 0.374  -0.236 0.295  -0.236 0.216  -0.236 0.137  -0.236 0.058  -0.236 -0.021  -0.236 -0.100  -0.236 -0.179  -0.236 -0.257  -0.236 -0.336  -0.236 -0.415  -0.236 -0.494  -0.236 -0.573  -0.236 -0.652  -0.236 -0.731  -0.236 -0.810  -0.218 -0.885  -0.193 -0.960  -0.171 -1.036  -0.148 -1.092  -0.069 -1.092  -0.024 -1.139  0.001 -1.214  0.026 -1.288  0.097 -1.323  0.168 -1.353  0.247 -1.353  0.326 -1.353  0.353 -1.405  0.353 -1.484
1d#tos#t1#t1057066/)  -0.578 1.286  -0.641 1.265  -0.641 1.181  -0.641 1.097  -0.558 1.096  -0.474 1.096  -0.390 1.096  -0.305 1.096  -0.221 1.096  -0.137 1.096  -0.133 1.015  -0.095 0.969  -0.011 0.969  0.065 0.933  0.140 0.896  0.216 0.858  0.248 0.794  0.279 0.717  0.311 0.640  0.311 0.556  0.311 0.472  0.311 0.387  0.311 0.303  0.311 0.219  0.311 0.134  0.311 0.050  0.311 -0.034  0.311 -0.118  0.311 -0.203  0.311 -0.287  0.311 -0.371  0.289 -0.443  0.219 -0.490  0.149 -0.537  0.111 -0.605  0.094 -0.688  0.078 -0.770  0.061 -0.853  0.022 -0.926  -0.025 -0.996  -0.070 -1.067  -0.070 -1.151  -0.070 -1.235  -0.070 -1.320  -0.070 -1.404  -0.114 -1.444  -0.133 -1.509  -0.133 -1.593  -0.176 -1.635  -0.260 -1.635
1d#tos#t1#t1057066/  0.892 1.428  0.830 1.386  0.768 1.344  0.708 1.299  0.671 1.239  0.641 1.177  0.588 1.123  0.560 1.060  0.560 0.985  0.541 0.929  0.466 0.929  0.423 0.877  0.394 0.809  0.378 0.739  0.336 0.676  0.295 0.614  0.259 0.548  0.225 0.481  0.183 0.419  0.142 0.357  0.117 0.289  0.117 0.214  0.106 0.143  0.053 0.090  0.000 0.037  -0.050 -0.017  -0.074 -0.088  -0.098 -0.160  -0.149 -0.211  -0.209 -0.256  -0.269 -0.301  -0.326 -0.348  -0.341 -0.421  -0.356 -0.495  -0.370 -0.569  -0.381 -0.642  -0.381 -0.718  -0.385 -0.791  -0.438 -0.844  -0.491 -0.897  -0.510 -0.969  -0.528 -1.042  -0.546 -1.115  -0.597 -1.169  -0.602 -1.242  -0.602 -1.317  -0.602 -1.392  -0.674 -1.396  -0.677 -1.396  -0.602 -1.396
1d#tos#t1#t1057066/<  0.847 1.450  0.747 1.450  0.728 1.368  0.665 1.330  0.608 1.287  0.533 1.233  0.453 1.175  0.424 1.086  0.349 1.021  0.259 0.976  0.159 0.972  0.131 0.900  0.087 0.823  0.003 0.767  -0.066 0.699  -0.113 0.611  -0.203 0.566  -0.228 0.481  -0.228 0.381  -0.322 0.375  -0.407 0.359  -0.407 0.258  -0.433 0.169  -0.515 0.112  -0.595 0.058  -0.640 -0.032  -0.646 -0.131  -0.586 -0.172  -0.537 -0.223  -0.467 -0.253  -0.467 -0.354  -0.414 -0.402  -0.383 -0.485  -0.312 -0.556  -0.288 -0.647  -0.288 -0.747  -0.261 -0.826  -0.162 -0.845  -0.064 -0.865  0.011 -0.904  0.069 -0.969  0.131 -1.031  0.143 -1.119  0.244 -1.119  0.321 -1.152  0.352 -1.247  0.369 -1.345  0.389 -1.437  0.460 -1.508  0.549 -1.537
1d#tos#t1#t1057066/>  -0.310 1.418  -0.344 1.343  -0.453 1.343  -0.562 1.343  -0.611 1.283  -0.629 1.193  -0.633 1.193  -0.550 1.132  -0.473 1.055  -0.396 0.978  -0.307 0.916  -0.217 0.855  -0.160 0.776  -0.127 0.676  -0.071 0.585  0.026 0.537  0.124 0.488  0.222 0.442  0.319 0.414  0.365 0.324  0.367 0.217  0.476 0.217  0.515 0.148  0.543 0.067  0.652 0.067  0.686 -0.008  0.740 -0.062  0.806 -0.092  0.724 -0.158  0.616 -0.158  0.564 -0.237  0.529 -0.340  0.458 -0.412  0.361 -0.461  0.271 -0.521  0.180 -0.581  0.140 -0.669  0.059 -0.702  0.024 -0.805  -0.010 -0.908  -0.087 -0.985  -0.185 -1.033  -0.287 -1.059  -0.358 -1.130  -0.418 -1.221  -0.461 -1.317  -0.461 -1.425  -0.486 -1.509  -0.562 -1.562  -0.611 -1.659
1d#tos#t1#t1057066/?  -0.648 1.174  -0.610 1.113  -0.511 1.113  -0.412 1.113  -0.314 1.113  -0.215 1.113  -0.116 1.113  -0.017 1.113  0.082 1.113  0.181 1.113  0.280 1.113  0.374 1.091  0.453 1.041  0.501 0.990  0.514 0.904  0.514 0.806  0.514 0.707  0.460 0.630  0.392 0.559  0.364 0.472  0.294 0.402  0.212 0.349  0.135 0.293  0.091 0.204  0.007 0.155  -0.036 0.083  -0.063 0.011  -0.159 0.008  -0.159 -0.091  -0.159 -0.190  -0.159 -0.289  -0.159 -0.388  -0.220 -0.426  -0.220 -0.525  -0.220 -0.623  -0.177 -0.705  -0.097 -0.735  -0.048 -0.784  -0.028 -0.871  -0.018 -0.969  -0.008 -1.068  0.002 -1.166  0.012 -1.265  0.022 -1.363  0.025 -1.462  -0.015 -1.532  -0.109 -1.563  -0.159 -1.626  -0.220 -1.664  -0.159 -1.702
