1d#tos#f1#f1035060/!  -0.031 1.221  0.015 1.263  0.015 1.352  0.061 1.395  0.061 1.484  0.107 1.526  0.107 1.471  0.107 1.383  0.107 1.294  0.107 1.205  0.107 1.116  0.107 1.028  0.107 0.939  0.107 0.850  0.067 0.786  0.015 0.729  0.015 0.641  0.015 0.552  0.015 0.463  0.015 0.374  0.015 0.285  0.015 0.197  0.015 0.108  0.015 0.019  0.015 -0.070  0.061 -0.112  0.061 -0.201  0.015 -0.244  0.015 -0.333  0.015 -0.363  0.015 -0.274  0.008 -0.322  -0.002 -0.410  -0.012 -0.499  -0.022 -0.587  -0.032 -0.675  -0.041 -0.763  -0.051 -0.852  -0.061 -0.940  -0.071 -1.028  -0.081 -1.116  -0.090 -1.205  -0.100 -1.293  -0.110 -1.381  -0.120 -1.469  -0.123 -1.439  -0.169 -1.416  -0.169 -1.505  -0.123 -1.548  -0.123 -1.636
1d#tos#f1#f1035060/\"  -0.889 1.164  -0.898 1.000  -1.053 0.982  -1.053 0.809  -1.016 0.673  -0.843 0.673  -0.725 0.617  -0.725 0.444  -0.673 0.293  -0.562 0.166  -0.562 -0.007  -0.562 -0.180  -0.562 -0.353  -0.562 -0.526  -0.562 -0.699  -0.562 -0.872  -0.562 -1.045  -0.562 -1.218  -0.562 -1.391  -0.508 -1.362  -0.424 -1.211  -0.339 -1.060  -0.254 -0.909  -0.169 -0.759  -0.084 -0.608  0.000 -0.457  0.085 -0.306  0.170 -0.155  0.255 -0.005  0.340 0.146  0.425 0.297  0.509 0.448  0.594 0.598  0.679 0.749  0.764 0.900  0.849 1.051  0.869 1.164  0.748 1.111  0.748 0.938  0.748 0.765  0.748 0.592  0.748 0.419  0.748 0.246  0.748 0.073  0.748 -0.100  0.748 -0.273  0.748 -0.446  0.748 -0.619  0.748 -0.792  0.748 -0.965
1d#tos#f1#f1035060/#  -1.162 0.411  -1.236 0.262  -0.802 0.262  -0.369 0.275  0.058 0.337  0.426 0.502  0.820 0.635  0.971 0.840  0.614 0.592  0.257 0.345  -0.101 0.098  -0.458 -0.150  -0.815 -0.397  -1.013 -0.749  -1.311 -0.885  -0.951 -0.855  -0.530 -0.762  -0.155 -0.547  0.238 -0.393  0.666 -0.333  1.026 -0.133  1.424 -0.035  1.566 0.092  1.180 0.293  0.795 0.493  0.409 0.694  0.024 0.894  -0.361 1.043  -0.492 0.923  -0.492 0.488  -0.534 0.061  -0.566 -0.369  -0.566 -0.803  -0.566 -1.237  -0.566 -1.672  -0.441 -1.260  -0.315 -0.845  -0.190 -0.429  -0.064 -0.013  0.062 0.403  0.188 0.819  0.313 1.235  0.477 1.476  0.477 1.041  0.402 0.638  0.352 0.210  0.328 -0.222  0.328 -0.656  0.328 -1.091  0.328 -1.525
1d#tos#f1#f1035060/'  0.123 1.111  0.039 1.111  -0.045 1.111  -0.129 1.111  -0.171 1.111  -0.087 1.111  -0.003 1.111  0.081 1.111  0.165 1.111  0.249 1.111  0.333 1.111  0.417 1.111  0.438 1.048  0.438 0.964  0.438 0.880  0.438 0.796  0.438 0.712  0.438 0.628  0.438 0.544  0.438 0.460  0.438 0.376  0.415 0.301  0.356 0.242  0.296 0.182  0.237 0.123  0.177 0.063  0.123 0.002  0.123 -0.082  0.115 -0.164  0.077 -0.240  0.040 -0.315  0.002 -0.390  -0.035 -0.465  -0.073 -0.540  -0.111 -0.615  -0.148 -0.691  -0.186 -0.766  -0.223 -0.841  -0.261 -0.916  -0.299 -0.991  -0.336 -1.066  -0.379 -1.138  -0.426 -1.208  -0.473 -1.278  -0.519 -1.348  -0.566 -1.418  -0.613 -1.488  -0.659 -1.558  -0.739 -1.567  -0.823 -1.567
1d#tos#f1#f1035060/)  -0.668 1.333  -0.592 1.333  -0.516 1.333  -0.475 1.298  -0.460 1.237  -0.384 1.237  -0.378 1.167  -0.378 1.091  -0.378 1.015  -0.369 0.947  -0.293 0.947  -0.217 0.947  -0.146 0.928  -0.078 0.894  -0.010 0.860  0.008 0.795  0.008 0.719  0.008 0.643  0.008 0.566  0.025 0.493  0.044 0.419  0.062 0.345  0.081 0.271  0.099 0.197  0.105 0.122  0.119 0.049  0.153 -0.019  0.187 -0.087  0.201 -0.159  0.201 -0.236  0.201 -0.312  0.201 -0.388  0.201 -0.464  0.201 -0.540  0.201 -0.616  0.201 -0.692  0.201 -0.768  0.201 -0.844  0.201 -0.920  0.201 -0.996  0.201 -1.072  0.201 -1.148  0.201 -1.224  0.201 -1.300  0.201 -1.377  0.201 -1.453  0.201 -1.529  0.201 -1.605  0.201 -1.681  0.201 -1.757
1d#tos#f1#f1035060/,  0.733 1.435  0.680 1.382  0.626 1.329  0.573 1.275  0.520 1.222  0.466 1.169  0.413 1.115  0.405 1.043  0.436 0.998  0.512 0.998  0.515 0.926  0.515 0.850  0.515 0.775  0.515 0.699  0.515 0.624  0.506 0.552  0.452 0.499  0.399 0.445  0.346 0.392  0.294 0.337  0.270 0.266  0.247 0.194  0.223 0.123  0.199 0.051  0.170 -0.019  0.136 -0.086  0.103 -0.154  0.069 -0.221  0.035 -0.289  0.001 -0.356  -0.033 -0.423  -0.086 -0.477  -0.139 -0.530  -0.193 -0.583  -0.246 -0.637  -0.310 -0.677  -0.375 -0.716  -0.439 -0.754  -0.504 -0.793  -0.569 -0.832  -0.633 -0.871  -0.698 -0.910  -0.763 -0.949  -0.813 -1.001  -0.847 -1.069  -0.880 -1.136  -0.914 -1.203  -0.948 -1.271  -0.982 -1.338  -1.015 -1.406
1d#tos#f1#f1035060/  -0.940 0.250  -0.965 0.175  -0.990 0.100  -1.059 0.084  -1.138 0.084  -1.216 0.083  -1.216 0.004  -1.266 -0.026  -1.327 -0.008  -1.327 -0.013  -1.260 -0.026  -1.181 -0.026  -1.101 -0.026  -1.022 -0.026  -0.942 -0.026  -0.863 -0.026  -0.783 -0.026  -0.704 -0.026  -0.625 -0.026  -0.545 -0.026  -0.466 -0.026  -0.386 -0.026  -0.307 -0.026  -0.227 -0.026  -0.148 -0.026  -0.068 -0.026  0.011 -0.026  0.091 -0.026  0.170 -0.026  0.250 -0.026  0.329 -0.026  0.409 -0.026  0.488 -0.026  0.568 -0.026  0.647 -0.026  0.727 -0.026  0.806 -0.026  0.886 -0.026  0.965 -0.026  1.045 -0.026  1.124 -0.026  1.204 -0.026  1.283 -0.026  1.363 -0.026  1.442 -0.026  1.519 -0.014  1.590 0.021  1.668 0.029  1.716 0.060  1.771 0.084
1d#tos#f1#f1035060/  1.007 1.224  0.935 1.224  0.888 1.248  0.883 1.208  0.860 1.140  0.824 1.080  0.761 1.049  0.693 1.027  0.659 0.964  0.627 0.900  0.590 0.839  0.547 0.782  0.504 0.725  0.449 0.680  0.389 0.640  0.343 0.587  0.301 0.529  0.259 0.470  0.218 0.412  0.176 0.354  0.144 0.290  0.112 0.226  0.070 0.168  0.020 0.118  -0.031 0.067  -0.071 0.010  -0.094 -0.058  -0.116 -0.126  -0.139 -0.194  -0.186 -0.247  -0.237 -0.298  -0.288 -0.348  -0.320 -0.411  -0.347 -0.477  -0.374 -0.544  -0.414 -0.602  -0.459 -0.658  -0.504 -0.714  -0.547 -0.771  -0.587 -0.831  -0.625 -0.891  -0.657 -0.955  -0.689 -1.019  -0.707 -1.085  -0.758 -1.135  -0.809 -1.186  -0.815 -1.255  -0.815 -1.327  -0.815 -1.398  -0.855 -1.430
1d#tos#f1#f1035060/:  0.434 1.514  0.434 1.431  0.356 1.427  0.274 1.427  0.191 1.427  0.109 1.427  0.086 1.367  0.086 1.284  0.086 1.202  0.086 1.119  0.086 1.036  0.086 0.954  0.086 0.871  0.114 0.817  0.173 0.793  0.172 0.711  0.167 0.628  0.162 0.546  0.156 0.463  0.151 0.381  0.146 0.298  0.141 0.216  0.136 0.133  0.131 0.051  0.125 -0.032  0.120 -0.114  0.115 -0.196  0.110 -0.279  0.105 -0.361  0.100 -0.444  0.095 -0.526  0.089 -0.609  0.086 -0.691  0.064 -0.752  -0.018 -0.752  -0.101 -0.752  -0.184 -0.752  -0.263 -0.756  -0.263 -0.838  -0.263 -0.921  -0.263 -1.004  -0.335 -1.014  -0.350 -1.082  -0.395 -1.146  -0.437 -1.211  -0.437 -1.293  -0.437 -1.376  -0.437 -1.459  -0.437 -1.541  -0.437 -1.624
1d#tos#f1#f1035060/;  0.070 1.697  -0.008 1.697  -0.036 1.647  -0.036 1.569  -0.036 1.492  -0.036 1.414  -0.036 1.336  -0.036 1.259  -0.036 1.181  -0.036 1.103  -0.036 1.025  -0.035 0.948  -0.029 0.870  -0.022 0.793  -0.016 0.715  -0.009 0.638  -0.003 0.561  0.003 0.483  0.010 0.406  0.016 0.328  0.023 0.251  0.029 0.173  0.036 0.096  0.042 0.018  0.049 -0.059  0.055 -0.136  0.062 -0.214  0.068 -0.291  0.034 -0.354  0.018 -0.423  0.070 -0.449  0.106 -0.512  0.176 -0.530  0.176 -0.608  0.176 -0.685  0.176 -0.763  0.135 -0.815  0.070 -0.853  0.070 -0.931  0.031 -0.992  0.017 -1.064  0.017 -1.142  0.016 -1.219  -0.058 -1.243  -0.131 -1.268  -0.142 -1.338  -0.142 -1.416  -0.203 -1.446  -0.278 -1.465  -0.354 -1.483
1d#tos#f1#f1035060/=  -0.522 0.774  -0.646 0.650  -0.801 0.598  -0.976 0.598  -1.124 0.598  -0.949 0.598  -0.773 0.598  -0.597 0.598  -0.421 0.598  -0.245 0.598  -0.070 0.598  0.106 0.598  0.282 0.598  0.458 0.598  0.634 0.598  0.809 0.598  0.984 0.603  1.141 0.681  1.316 0.686  1.492 0.686  1.358 0.609  1.203 0.526  1.048 0.443  0.893 0.360  0.739 0.277  0.584 0.194  0.429 0.111  0.274 0.028  0.119 -0.055  -0.036 -0.138  -0.191 -0.221  -0.346 -0.304  -0.501 -0.387  -0.656 -0.470  -0.811 -0.553  -0.966 -0.634  -1.138 -0.638  -1.138 -0.814  -1.047 -0.899  -0.871 -0.899  -0.695 -0.899  -0.519 -0.899  -0.344 -0.899  -0.168 -0.899  0.008 -0.899  0.184 -0.899  0.359 -0.899  0.535 -0.899  0.711 -0.899  0.887 -0.899
