2#app#app18#app1852/!  -0.390 1.512  -0.390 1.652  -0.463 1.762  -0.561 1.861  -0.566 1.732  -0.566 1.592  -0.566 1.453  -0.566 1.313  -0.566 1.173  -0.440 1.159  -0.390 1.070  -0.390 0.930  -0.390 0.790  -0.390 0.650  -0.390 0.511  -0.390 0.371  -0.344 0.277  -0.213 0.268  -0.213 0.128  -0.213 -0.012  -0.154 -0.123  -0.045 -0.211  0.064 -0.298  0.173 -0.385  0.283 -0.473  0.392 -0.560  0.501 -0.647  0.610 -0.735  0.605 -0.782  0.493 -0.809  0.493 -0.949  0.362 -0.958  0.316 -0.864  0.259 -0.782  0.140 -0.761  0.140 -0.621  0.140 -0.482  0.227 -0.429  0.367 -0.429  0.493 -0.443  0.493 -0.583  0.493 -0.722  0.493 -0.862  0.449 -0.958  0.309 -0.958  0.170 -0.958  0.030 -0.958  -0.037 -0.885  -0.000 -0.782  0.140 -0.782
2#app#app18#app1852/@  0.046 0.396  0.154 0.229  0.046 0.278  0.046 0.554  -0.220 0.563  -0.329 0.396  -0.456 0.248  -0.623 0.140  -0.623 -0.136  -0.623 -0.412  -0.544 -0.608  -0.268 -0.608  -0.030 -0.517  0.213 -0.440  0.213 -0.164  0.163 0.061  0.046 -0.097  0.213 -0.205  0.421 -0.273  0.696 -0.273  0.715 -0.016  0.855 0.201  0.882 0.466  0.756 0.689  0.715 0.948  0.715 1.223  0.548 1.332  0.380 1.440  0.232 1.567  0.046 1.478  -0.143 1.378  -0.289 1.163  -0.456 1.055  -0.540 0.814  -0.623 0.573  -0.623 0.297  -0.623 0.021  -0.623 -0.254  -0.791 -0.460  -0.791 -0.736  -0.721 -0.942  -0.616 -1.117  -0.407 -1.277  -0.289 -1.435  -0.023 -1.444  0.253 -1.444  0.380 -1.296  0.637 -1.277  0.855 -1.137  1.050 -0.942
2#app#app18#app1852/#  -0.663 0.960  -0.663 1.040  -0.663 0.628  -0.663 0.216  -0.663 -0.197  -0.663 -0.609  -0.663 -1.021  -0.663 -1.434  -0.509 -1.197  -0.325 -0.828  -0.141 -0.459  0.044 -0.091  0.228 0.278  0.412 0.647  0.597 1.016  0.781 1.384  0.815 1.116  0.815 0.704  0.815 0.292  0.574 -0.021  0.569 -0.431  0.501 -0.725  0.143 -0.521  -0.215 -0.316  -0.573 -0.112  -0.931 0.093  -1.310 0.221  -1.328 0.467  -0.915 0.467  -0.503 0.467  -0.170 0.546  0.075 0.713  0.487 0.713  0.900 0.713  1.304 0.711  0.944 0.511  0.583 0.311  0.223 0.111  -0.137 -0.089  -0.498 -0.290  -0.858 -0.490  -1.017 -0.764  -0.881 -0.764  -0.469 -0.764  -0.057 -0.764  0.346 -0.741  0.666 -0.518  1.078 -0.518  1.437 -0.389  1.801 -0.272
2#app#app18#app1852/$  0.442 0.470  0.218 0.659  -0.126 0.589  -0.420 0.470  -0.644 0.280  -0.694 -0.083  -0.296 -0.098  0.117 -0.098  0.442 -0.187  0.755 -0.288  0.631 -0.557  0.361 -0.748  0.068 -1.040  -0.154 -1.235  -0.493 -1.412  -0.879 -1.406  -0.784 -1.003  -0.690 -0.601  -0.595 -0.198  -0.500 0.204  -0.406 0.607  -0.311 1.009  -0.216 1.411  -0.126 1.775  -0.126 1.362  -0.126 0.948  -0.126 0.535  -0.126 0.122  -0.126 -0.292  -0.315 -0.516  -0.315 -0.929  -0.315 -1.343  -0.093 -1.285  0.001 -0.882  0.096 -0.480  0.191 -0.077  0.286 0.325  0.380 0.728  0.475 1.130  0.570 1.533  0.487 1.795  0.442 1.427  0.442 1.013  0.442 0.600  0.442 0.186  0.442 -0.227  0.326 -0.593  0.253 -0.976  0.253 -1.389  0.442 -1.235
2#app#app18#app1852/%  -0.570 1.011  -0.734 0.888  -0.981 0.846  -1.104 0.682  -1.229 0.519  -1.229 0.231  -1.229 -0.057  -1.038 -0.169  -0.807 -0.307  -0.570 -0.257  -0.399 -0.136  -0.240 0.086  -0.240 0.374  -0.342 0.619  -0.440 0.846  -0.727 0.846  -0.472 0.945  -0.202 1.046  0.068 1.147  0.337 1.248  0.584 1.317  0.480 1.072  0.419 0.809  0.259 0.682  0.171 0.433  0.090 0.179  -0.003 -0.071  -0.075 -0.329  -0.220 -0.472  -0.313 -0.710  -0.405 -0.959  -0.405 -1.247  -0.236 -1.127  -0.032 -0.924  0.171 -0.720  0.375 -0.517  0.578 -0.313  0.782 -0.110  0.812 0.022  0.689 -0.143  0.584 -0.325  0.584 -0.613  0.584 -0.901  0.625 -1.172  0.861 -1.296  1.079 -1.129  1.079 -0.841  1.079 -0.553  1.037 -0.307  0.914 -0.143
2#app#app18#app1852/^  -0.934 0.082  -0.755 0.082  -0.577 0.082  -0.573 0.256  -0.573 0.435  -0.573 0.272  -0.573 0.093  -0.573 -0.085  -0.573 -0.263  -0.736 -0.278  -0.915 -0.278  -0.934 -0.438  -0.934 -0.616  -0.934 -0.794  -0.934 -0.972  -0.934 -0.847  -0.934 -0.669  -0.829 -0.534  -0.703 -0.408  -0.577 -0.282  -0.573 -0.105  -0.573 0.073  -0.454 0.202  -0.327 0.328  -0.213 0.459  -0.213 0.637  -0.204 0.812  -0.078 0.938  0.048 1.064  0.185 1.163  0.363 1.163  0.508 1.129  0.508 0.951  0.508 0.772  0.508 0.594  0.534 0.442  0.712 0.442  0.868 0.420  0.868 0.241  0.868 0.063  0.868 -0.115  0.868 -0.293  0.868 -0.472  0.879 -0.639  1.057 -0.639  1.228 -0.646  1.228 -0.824  1.232 -0.999  1.410 -0.999  1.588 -0.999
2#app#app18#app1852/&  0.549 0.804  0.368 0.733  0.225 0.624  0.008 0.589  -0.099 0.444  -0.351 0.444  -0.423 0.263  -0.534 0.122  -0.330 0.060  -0.143 -0.098  0.008 -0.199  -0.115 -0.400  -0.293 -0.578  -0.471 -0.757  -0.534 -0.983  -0.314 -1.038  -0.121 -1.180  0.095 -1.092  0.309 -0.999  0.561 -0.999  0.729 -0.915  0.659 -0.680  0.547 -0.454  0.434 -0.229  0.321 -0.003  0.208 0.222  0.096 0.448  -0.017 0.673  -0.130 0.899  -0.242 1.124  -0.355 1.349  -0.468 1.575  -0.534 1.812  -0.534 1.710  -0.358 1.530  -0.353 1.280  -0.256 1.068  -0.173 0.851  -0.027 0.659  0.012 0.422  0.061 0.175  0.111 -0.073  0.160 -0.320  0.188 -0.569  0.188 -0.821  0.188 -1.073  0.188 -1.325  0.225 -1.541  0.368 -1.649  0.368 -1.901
2#app#app18#app1852/*  -0.772 0.537  -0.772 0.701  -0.532 0.537  -0.412 0.254  -0.205 0.058  0.018 -0.253  0.113 -0.596  0.361 -0.751  0.556 -1.074  0.645 -0.885  0.645 -0.482  0.645 -0.079  0.645 0.324  0.645 0.727  0.645 1.077  0.498 0.820  0.361 0.554  0.078 0.434  -0.145 0.254  -0.205 -0.089  -0.384 -0.313  -0.489 -0.612  -0.584 -0.975  -0.772 -1.301  -0.926 -1.240  -1.168 -0.917  -1.410 -0.595  -1.571 -0.313  -1.168 -0.313  -0.765 -0.313  -0.489 -0.186  -0.242 -0.030  0.161 -0.030  0.564 -0.030  0.968 -0.030  1.211 0.130  1.491 0.254  1.212 0.536  0.927 0.821  0.642 1.106  0.357 1.391  0.078 1.662  0.078 1.259  0.078 0.855  0.078 0.452  0.078 0.049  -0.151 -0.259  -0.205 -0.640  -0.205 -1.043  -0.205 -1.446
2#app#app18#app1852/(  0.771 1.042  0.771 1.133  0.771 1.223  0.706 1.248  0.616 1.248  0.526 1.248  0.435 1.248  0.359 1.234  0.359 1.144  0.359 1.054  0.280 1.042  0.190 1.042  0.129 0.994  0.089 0.914  0.048 0.833  0.008 0.752  -0.033 0.671  -0.085 0.599  -0.148 0.535  -0.212 0.471  -0.259 0.400  -0.259 0.310  -0.259 0.219  -0.259 0.129  -0.259 0.039  -0.304 -0.033  -0.368 -0.097  -0.432 -0.161  -0.465 -0.238  -0.465 -0.328  -0.465 -0.418  -0.465 -0.509  -0.465 -0.599  -0.465 -0.689  -0.465 -0.780  -0.465 -0.870  -0.465 -0.960  -0.434 -1.019  -0.343 -1.019  -0.255 -1.023  -0.191 -1.087  -0.127 -1.151  -0.063 -1.215  0.023 -1.225  0.114 -1.225  0.204 -1.225  0.294 -1.225  0.385 -1.225  0.475 -1.225  0.565 -1.225
2#app#app18#app1852/)  -0.747 1.450  -0.655 1.450  -0.564 1.450  -0.473 1.450  -0.381 1.450  -0.351 1.388  -0.351 1.297  -0.318 1.219  -0.254 1.154  -0.189 1.090  -0.124 1.025  -0.060 0.960  0.005 0.896  0.044 0.821  0.044 0.729  0.059 0.644  0.124 0.579  0.188 0.515  0.242 0.445  0.242 0.354  0.242 0.263  0.242 0.171  0.242 0.080  0.242 -0.012  0.242 -0.103  0.304 -0.132  0.396 -0.132  0.439 -0.180  0.439 -0.271  0.439 -0.362  0.439 -0.454  0.439 -0.545  0.439 -0.637  0.437 -0.727  0.372 -0.792  0.308 -0.856  0.243 -0.921  0.152 -0.922  0.061 -0.922  0.044 -0.997  0.044 -1.088  -0.016 -1.120  -0.107 -1.120  -0.198 -1.120  -0.290 -1.120  -0.351 -1.150  -0.351 -1.241  -0.366 -1.318  -0.458 -1.318  -0.549 -1.318
2#app#app18#app1852/`  -1.247 1.062  -1.156 1.062  -1.066 1.062  -0.975 1.062  -0.885 1.062  -0.821 1.036  -0.821 0.945  -0.821 0.854  -0.821 0.764  -0.821 0.673  -0.767 0.636  -0.677 0.636  -0.586 0.636  -0.495 0.636  -0.405 0.636  -0.394 0.556  -0.394 0.465  -0.394 0.375  -0.394 0.284  -0.378 0.210  -0.288 0.210  -0.197 0.210  -0.106 0.210  -0.016 0.210  0.032 0.167  0.032 0.076  0.032 -0.014  0.032 -0.105  0.032 -0.196  0.081 -0.266  0.145 -0.330  0.209 -0.394  0.273 -0.458  0.337 -0.522  0.401 -0.586  0.469 -0.643  0.559 -0.643  0.650 -0.643  0.740 -0.643  0.831 -0.643  0.884 -0.680  0.884 -0.771  0.884 -0.861  0.884 -0.952  0.884 -1.042  0.948 -1.069  1.039 -1.069  1.130 -1.069  1.220 -1.069  1.311 -1.069
