2#apa#apa13#app1342/[  1.006 0.845  0.906 0.845  0.861 0.900  0.761 0.900  0.682 0.950  0.584 0.955  0.484 0.955  0.384 0.955  0.303 1.000  0.207 1.010  0.107 1.010  0.007 1.010  -0.093 1.010  -0.193 1.010  -0.293 1.010  -0.393 1.010  -0.471 0.959  -0.457 0.865  -0.420 0.773  -0.415 0.676  -0.365 0.596  -0.365 0.496  -0.365 0.397  -0.365 0.297  -0.365 0.197  -0.365 0.097  -0.365 -0.003  -0.365 -0.103  -0.365 -0.203  -0.365 -0.303  -0.365 -0.403  -0.365 -0.503  -0.365 -0.603  -0.365 -0.703  -0.365 -0.803  -0.365 -0.902  -0.365 -1.002  -0.311 -1.080  -0.260 -1.129  -0.161 -1.129  -0.070 -1.091  0.026 -1.075  0.126 -1.075  0.203 -1.129  0.296 -1.159  0.390 -1.184  0.468 -1.239  0.562 -1.264  0.654 -1.294  0.732 -1.349
2#apa#apa13#app1342/O  -0.666 0.314  -0.736 0.265  -0.805 0.176  -0.858 0.070  -0.875 -0.044  -0.917 -0.145  -0.944 -0.252  -0.944 -0.371  -0.944 -0.489  -0.944 -0.607  -0.896 -0.706  -0.812 -0.789  -0.778 -0.893  -0.677 -0.935  -0.559 -0.935  -0.440 -0.935  -0.322 -0.935  -0.204 -0.935  -0.088 -0.924  0.018 -0.871  0.129 -0.832  0.241 -0.794  0.347 -0.741  0.453 -0.688  0.549 -0.622  0.615 -0.525  0.683 -0.434  0.788 -0.382  0.868 -0.296  0.921 -0.190  0.930 -0.074  0.930 0.044  0.930 0.163  0.930 0.281  0.892 0.390  0.827 0.487  0.761 0.584  0.700 0.684  0.616 0.767  0.533 0.851  0.449 0.935  0.363 1.015  0.257 1.068  0.151 1.120  0.041 1.161  -0.074 1.190  -0.189 1.217  -0.307 1.217  -0.422 1.200  -0.527 1.147
2#apa#apa13#app1342/R  -0.444 0.631  -0.444 0.381  -0.444 0.132  -0.444 -0.118  -0.444 -0.368  -0.444 -0.618  -0.444 -0.868  -0.414 -1.110  -0.345 -1.344  -0.269 -1.339  -0.320 -1.094  -0.371 -0.850  -0.421 -0.605  -0.472 -0.361  -0.523 -0.116  -0.574 0.129  -0.625 0.373  -0.676 0.618  -0.727 0.862  -0.681 1.086  -0.476 1.193  -0.280 1.323  -0.043 1.376  0.196 1.422  0.446 1.422  0.696 1.422  0.841 1.259  0.939 1.050  0.939 0.801  0.939 0.551  0.939 0.301  0.821 0.097  0.690 -0.113  0.484 -0.219  0.251 -0.258  0.042 -0.160  -0.190 -0.117  -0.367 0.060  -0.474 0.265  -0.459 0.208  -0.300 0.038  -0.149 -0.061  0.028 -0.236  0.134 -0.442  0.311 -0.618  0.418 -0.824  0.594 -1.001  0.680 -1.222  0.841 -1.395  1.038 -1.543
2#apa#apa13#app1342/E  -0.582 0.527  -0.839 0.503  -0.917 0.269  -0.972 0.025  -1.050 -0.223  -1.050 -0.490  -0.969 -0.723  -0.750 -0.870  -0.485 -0.876  -0.218 -0.876  0.048 -0.876  0.315 -0.876  0.582 -0.876  0.738 -1.032  0.873 -1.240  0.951 -1.474  0.822 -1.329  0.642 -1.132  0.463 -0.934  0.284 -0.737  0.104 -0.540  -0.075 -0.342  -0.255 -0.145  -0.434 0.052  -0.535 0.215  -0.269 0.215  -0.002 0.215  0.258 0.185  0.504 0.101  0.729 -0.019  0.985 -0.062  1.181 -0.082  0.942 0.037  0.704 0.157  0.465 0.276  0.227 0.395  -0.012 0.514  -0.250 0.634  -0.489 0.753  -0.727 0.872  -0.966 0.991  -1.042 1.072  -0.779 1.054  -0.527 0.994  -0.260 0.994  0.006 0.994  0.265 0.960  0.521 0.916  0.788 0.916  1.055 0.916
2#apa#apa13#app1342/L  -0.442 1.555  -0.442 1.465  -0.442 1.376  -0.503 1.311  -0.534 1.234  -0.534 1.144  -0.534 1.054  -0.534 0.964  -0.551 0.878  -0.591 0.798  -0.626 0.716  -0.626 0.626  -0.626 0.536  -0.626 0.446  -0.626 0.356  -0.626 0.266  -0.626 0.176  -0.626 0.086  -0.626 -0.003  -0.626 -0.093  -0.626 -0.183  -0.626 -0.273  -0.626 -0.363  -0.544 -0.372  -0.534 -0.451  -0.456 -0.464  -0.374 -0.497  -0.294 -0.538  -0.208 -0.555  -0.118 -0.555  -0.033 -0.535  0.047 -0.494  0.130 -0.464  0.220 -0.464  0.310 -0.464  0.399 -0.464  0.489 -0.464  0.579 -0.464  0.669 -0.464  0.759 -0.464  0.849 -0.464  0.938 -0.466  1.019 -0.506  1.099 -0.546  1.187 -0.555  1.270 -0.585  1.350 -0.626  1.423 -0.677  1.487 -0.739  1.577 -0.739
2#apa#apa13#app1342/S  0.608 1.103  0.512 1.197  0.377 1.197  0.246 1.170  0.118 1.127  -0.014 1.103  -0.149 1.103  -0.270 1.070  -0.380 1.009  -0.515 1.009  -0.612 0.916  -0.735 0.887  -0.843 0.822  -0.894 0.737  -0.838 0.615  -0.764 0.504  -0.653 0.446  -0.546 0.379  -0.422 0.352  -0.291 0.332  -0.170 0.272  -0.049 0.211  0.075 0.164  0.202 0.133  0.323 0.072  0.444 0.012  0.554 -0.064  0.650 -0.159  0.745 -0.255  0.841 -0.350  0.890 -0.465  0.983 -0.507  0.983 -0.642  0.982 -0.776  0.885 -0.868  0.763 -0.901  0.653 -0.962  0.518 -0.962  0.383 -0.962  0.248 -0.962  0.112 -0.962  -0.023 -0.962  -0.158 -0.962  -0.293 -0.962  -0.418 -0.919  -0.541 -0.868  -0.676 -0.868  -0.811 -0.868  -0.947 -0.868  -1.082 -0.868
2#apa#apa13#app1342/E  -0.709 0.421  -0.817 0.444  -0.897 0.263  -0.956 0.094  -1.027 -0.099  -1.027 -0.321  -0.950 -0.526  -0.844 -0.691  -0.727 -0.832  -0.511 -0.850  -0.322 -0.929  -0.118 -1.009  0.094 -1.052  0.308 -1.088  0.497 -1.167  0.720 -1.167  0.942 -1.167  1.165 -1.167  1.054 -1.045  0.884 -0.901  0.715 -0.757  0.545 -0.613  0.376 -0.468  0.206 -0.324  0.037 -0.180  -0.133 -0.036  -0.302 0.108  -0.316 0.108  -0.112 0.063  0.094 0.024  0.317 0.024  0.539 0.024  0.540 0.088  0.352 0.207  0.164 0.326  -0.024 0.445  -0.212 0.563  -0.400 0.682  -0.588 0.801  -0.776 0.920  -0.754 0.978  -0.532 0.984  -0.321 1.054  -0.105 1.081  0.104 1.137  0.327 1.137  0.549 1.137  0.772 1.137  0.982 1.085  1.198 1.057
2#apa#apa13#app1342/{  0.748 1.235  0.662 1.299  0.576 1.363  0.426 1.363  0.275 1.363  0.151 1.299  0.028 1.235  -0.112 1.208  -0.237 1.147  -0.362 1.086  -0.423 0.961  -0.530 0.855  -0.534 0.707  -0.497 0.593  -0.383 0.506  -0.250 0.465  -0.099 0.465  0.049 0.459  0.175 0.401  0.325 0.401  0.251 0.401  0.128 0.337  -0.004 0.290  -0.129 0.229  -0.235 0.123  -0.342 0.054  -0.278 -0.032  -0.144 -0.051  -0.008 -0.112  0.107 -0.147  0.171 -0.233  0.054 -0.305  -0.055 -0.403  -0.180 -0.464  -0.287 -0.570  -0.412 -0.631  -0.473 -0.756  -0.534 -0.881  -0.519 -1.025  -0.434 -1.147  -0.321 -1.213  -0.183 -1.267  -0.038 -1.291  0.103 -1.331  0.253 -1.331  0.403 -1.331  0.554 -1.331  0.704 -1.331  0.855 -1.331  1.005 -1.331
2#apa#apa13#app1342/y  1.211 1.091  1.169 0.945  1.053 0.830  0.938 0.714  0.823 0.599  0.775 0.460  0.629 0.387  0.538 0.260  0.451 0.124  0.354 -0.005  0.280 -0.150  0.164 -0.265  0.059 -0.388  -0.013 -0.534  -0.086 -0.680  -0.159 -0.826  -0.233 -0.972  -0.343 -1.091  -0.416 -1.237  -0.489 -1.383  -0.541 -1.533  -0.541 -1.687  -0.529 -1.524  -0.518 -1.362  -0.507 -1.199  -0.496 -1.036  -0.484 -0.873  -0.473 -0.711  -0.462 -0.548  -0.451 -0.385  -0.439 -0.222  -0.428 -0.059  -0.417 0.103  -0.406 0.266  -0.395 0.429  -0.383 0.592  -0.372 0.754  -0.361 0.917  -0.350 1.080  -0.338 1.243  -0.227 1.292  -0.112 1.177  -0.026 1.050  0.046 0.916  0.161 0.801  0.277 0.685  0.334 0.575  0.490 0.568  0.550 0.442  0.696 0.369
2#apa#apa13#app1342/o  -0.995 0.338  -0.995 0.210  -0.995 0.082  -0.995 -0.046  -0.995 -0.174  -0.995 -0.302  -0.995 -0.431  -0.973 -0.536  -0.852 -0.554  -0.761 -0.645  -0.671 -0.736  -0.564 -0.786  -0.442 -0.813  -0.327 -0.870  -0.209 -0.911  -0.081 -0.911  0.047 -0.911  0.162 -0.879  0.253 -0.788  0.380 -0.786  0.507 -0.784  0.598 -0.693  0.704 -0.624  0.818 -0.567  0.879 -0.476  0.924 -0.367  1.015 -0.276  1.105 -0.185  1.129 -0.067  1.129 0.061  1.058 0.160  1.004 0.265  0.965 0.377  0.874 0.468  0.784 0.559  0.672 0.615  0.551 0.656  0.429 0.696  0.312 0.747  0.197 0.804  0.077 0.838  -0.045 0.863  -0.160 0.920  -0.278 0.963  -0.406 0.963  -0.534 0.963  -0.662 0.963  -0.777 0.931  -0.868 0.840  -0.995 0.838
2#apa#apa13#app1342/u  -1.716 0.677  -1.598 0.660  -1.575 0.535  -1.480 0.439  -1.468 0.310  -1.372 0.214  -1.360 0.084  -1.240 0.024  -1.120 -0.038  -1.025 -0.133  -0.909 -0.200  -0.789 -0.261  -0.656 -0.270  -0.521 -0.270  -0.386 -0.270  -0.265 -0.239  -0.166 -0.152  -0.034 -0.139  0.087 -0.079  0.177 0.000  0.213 0.120  0.296 0.221  0.296 0.356  0.346 0.440  0.414 0.507  0.414 0.642  0.414 0.777  0.297 0.795  0.201 0.701  0.177 0.576  0.094 0.475  0.059 0.355  0.059 0.220  0.059 0.085  0.070 -0.045  0.166 -0.140  0.177 -0.270  0.312 -0.270  0.437 -0.293  0.533 -0.389  0.661 -0.431  0.789 -0.474  0.915 -0.521  1.035 -0.581  1.160 -0.625  1.295 -0.625  1.430 -0.625  1.564 -0.625  1.699 -0.625  1.834 -0.625
