2#apb#apb08#app0800/Q  -0.239 0.880  -0.363 0.994  -0.533 1.029  -0.696 0.936  -0.828 0.805  -0.925 0.645  -0.984 0.467  -1.009 0.281  -1.030 0.093  -1.046 -0.094  -1.046 -0.283  -1.007 -0.464  -0.930 -0.636  -0.838 -0.800  -0.716 -0.937  -0.559 -1.041  -0.381 -1.100  -0.197 -1.116  -0.011 -1.085  0.151 -0.996  0.305 -0.888  0.438 -0.758  0.551 -0.607  0.652 -0.449  0.714 -0.271  0.763 -0.090  0.782 0.097  0.772 0.283  0.732 0.467  0.680 0.648  0.607 0.822  0.524 0.990  0.421 1.147  0.273 1.260  0.090 1.259  -0.043 1.140  -0.070 0.959  -0.010 0.781  0.051 0.603  0.112 0.424  0.173 0.246  0.233 0.067  0.294 -0.111  0.355 -0.290  0.416 -0.468  0.493 -0.639  0.584 -0.804  0.658 -0.978  0.760 -1.135  0.877 -1.283
2#apb#apb08#app0800/u  -1.271 1.306  -1.224 1.213  -1.178 1.120  -1.131 1.027  -1.085 0.934  -1.038 0.841  -0.991 0.747  -0.945 0.654  -0.898 0.561  -0.856 0.466  -0.813 0.371  -0.771 0.276  -0.729 0.181  -0.673 0.093  -0.618 0.005  -0.562 -0.083  -0.506 -0.171  -0.450 -0.259  -0.393 -0.346  -0.335 -0.432  -0.277 -0.519  -0.219 -0.606  -0.149 -0.679  -0.059 -0.731  0.032 -0.782  0.122 -0.833  0.215 -0.880  0.309 -0.926  0.404 -0.936  0.501 -0.899  0.599 -0.863  0.696 -0.826  0.779 -0.763  0.862 -0.701  0.887 -0.600  0.913 -0.499  0.938 -0.398  0.931 -0.296  0.911 -0.194  0.891 -0.092  0.870 0.010  0.839 0.109  0.800 0.206  0.762 0.303  0.723 0.399  0.689 0.497  0.666 0.599  0.643 0.701  0.621 0.802  0.569 0.888
2#apb#apb08#app0800/i  -0.652 1.569  -0.625 1.505  -0.597 1.441  -0.570 1.377  -0.543 1.314  -0.515 1.250  -0.488 1.186  -0.460 1.122  -0.433 1.058  -0.406 0.994  -0.378 0.930  -0.354 0.865  -0.330 0.800  -0.307 0.734  -0.284 0.669  -0.260 0.604  -0.237 0.538  -0.214 0.473  -0.190 0.407  -0.167 0.342  -0.144 0.276  -0.120 0.211  -0.097 0.145  -0.073 0.080  -0.050 0.015  -0.027 -0.051  -0.003 -0.116  0.020 -0.182  0.043 -0.247  0.067 -0.313  0.090 -0.378  0.122 -0.440  0.157 -0.500  0.192 -0.560  0.227 -0.620  0.262 -0.680  0.297 -0.740  0.332 -0.800  0.367 -0.860  0.402 -0.920  0.437 -0.980  0.472 -1.040  0.507 -1.100  0.542 -1.160  0.577 -1.220  0.612 -1.280  0.647 -1.340  0.682 -1.400  0.717 -1.460  0.752 -1.520
2#apb#apb08#app0800/c  0.433 1.267  0.384 1.307  0.296 1.302  0.210 1.281  0.127 1.253  0.048 1.213  -0.031 1.174  -0.104 1.126  -0.166 1.063  -0.229 1.001  -0.291 0.938  -0.358 0.880  -0.427 0.825  -0.496 0.770  -0.530 0.693  -0.549 0.606  -0.568 0.520  -0.587 0.434  -0.618 0.352  -0.658 0.273  -0.697 0.194  -0.698 0.112  -0.670 0.028  -0.642 -0.056  -0.614 -0.140  -0.579 -0.220  -0.530 -0.294  -0.481 -0.367  -0.429 -0.438  -0.356 -0.487  -0.282 -0.536  -0.209 -0.585  -0.135 -0.634  -0.059 -0.678  0.024 -0.708  0.107 -0.739  0.190 -0.769  0.273 -0.799  0.356 -0.829  0.441 -0.855  0.525 -0.881  0.609 -0.907  0.694 -0.933  0.778 -0.959  0.863 -0.985  0.951 -0.979  1.039 -0.971  1.127 -0.963  1.215 -0.955  1.303 -0.947
2#apb#apb08#app0800/k  -0.913 1.489  -0.905 1.285  -0.884 1.082  -0.855 0.880  -0.824 0.678  -0.808 0.475  -0.795 0.271  -0.782 0.068  -0.766 -0.136  -0.735 -0.337  -0.678 -0.533  -0.615 -0.726  -0.510 -0.901  -0.370 -1.032  -0.175 -1.091  0.005 -1.022  0.180 -0.917  0.231 -0.720  0.282 -0.522  0.333 -0.325  0.384 -0.127  0.435 0.071  0.486 0.268  0.536 0.466  0.587 0.664  0.638 0.862  0.689 1.059  0.740 1.257  0.574 1.274  0.401 1.166  0.251 1.028  0.107 0.884  -0.024 0.727  -0.146 0.564  -0.262 0.396  -0.367 0.221  -0.441 0.033  -0.485 -0.166  -0.484 -0.365  -0.426 -0.561  -0.265 -0.663  -0.074 -0.732  0.129 -0.758  0.331 -0.783  0.535 -0.792  0.739 -0.792  0.943 -0.792  1.147 -0.792  1.351 -0.792  1.555 -0.792
2#apb#apb08#app0800/j  -0.410 1.325  -0.410 1.409  -0.343 1.426  -0.268 1.396  -0.201 1.346  -0.138 1.290  -0.079 1.230  -0.019 1.171  0.040 1.110  0.095 1.047  0.150 0.984  0.206 0.920  0.261 0.857  0.301 0.783  0.338 0.707  0.376 0.632  0.414 0.557  0.451 0.481  0.482 0.403  0.506 0.323  0.530 0.242  0.554 0.161  0.566 0.080  0.556 -0.004  0.546 -0.088  0.534 -0.171  0.511 -0.252  0.487 -0.333  0.457 -0.410  0.398 -0.469  0.338 -0.529  0.279 -0.588  0.216 -0.644  0.152 -0.699  0.088 -0.754  0.023 -0.806  -0.057 -0.833  -0.137 -0.859  -0.217 -0.886  -0.296 -0.916  -0.371 -0.953  -0.446 -0.991  -0.522 -1.029  -0.603 -1.047  -0.686 -1.056  -0.770 -1.065  -0.854 -1.076  -0.932 -1.107  -1.010 -1.139  -1.086 -1.176
2#apb#apb08#app0800/u  -1.306 1.121  -1.229 1.044  -1.153 0.968  -1.101 0.873  -1.057 0.774  -1.013 0.674  -0.969 0.575  -0.931 0.473  -0.894 0.371  -0.856 0.269  -0.819 0.166  -0.774 0.068  -0.712 -0.021  -0.649 -0.110  -0.587 -0.199  -0.525 -0.288  -0.463 -0.378  -0.403 -0.469  -0.343 -0.559  -0.282 -0.650  -0.214 -0.733  -0.126 -0.796  -0.037 -0.859  0.051 -0.922  0.154 -0.956  0.259 -0.986  0.363 -1.014  0.472 -1.014  0.566 -0.979  0.643 -0.902  0.677 -0.802  0.701 -0.695  0.725 -0.589  0.744 -0.483  0.744 -0.374  0.744 -0.265  0.744 -0.156  0.744 -0.048  0.735 0.061  0.724 0.169  0.713 0.277  0.702 0.385  0.693 0.494  0.684 0.602  0.675 0.711  0.666 0.819  0.655 0.927  0.633 1.034  0.616 1.141  0.616 1.250
2#apb#apb08#app0800/m  -1.160 -0.883  -1.095 -0.826  -1.054 -0.734  -1.015 -0.642  -0.976 -0.549  -0.963 -0.449  -0.951 -0.350  -0.939 -0.250  -0.939 -0.149  -0.939 -0.049  -0.939 0.052  -0.939 0.152  -0.939 0.253  -0.918 0.349  -0.880 0.442  -0.865 0.540  -0.830 0.626  -0.746 0.664  -0.645 0.664  -0.552 0.627  -0.459 0.589  -0.395 0.512  -0.330 0.435  -0.268 0.356  -0.216 0.270  -0.164 0.184  -0.080 0.129  -0.037 0.047  0.020 -0.036  0.120 -0.036  0.219 -0.028  0.309 0.017  0.399 0.062  0.492 0.098  0.574 0.152  0.645 0.222  0.744 0.202  0.837 0.174  0.892 0.090  0.971 0.029  1.054 -0.026  1.136 -0.085  1.207 -0.156  1.278 -0.227  1.349 -0.298  1.420 -0.369  1.501 -0.427  1.591 -0.472  1.688 -0.460  1.787 -0.441
2#apb#apb08#app0800/p  -0.262 -0.924  -0.235 -1.046  -0.208 -1.168  -0.155 -1.280  -0.088 -1.386  -0.021 -1.492  0.064 -1.578  0.006 -1.530  -0.068 -1.434  -0.120 -1.320  -0.172 -1.206  -0.216 -1.089  -0.251 -0.969  -0.286 -0.849  -0.322 -0.729  -0.357 -0.609  -0.379 -0.485  -0.401 -0.362  -0.422 -0.239  -0.444 -0.115  -0.448 0.009  -0.440 0.134  -0.432 0.259  -0.424 0.384  -0.410 0.508  -0.391 0.632  -0.372 0.755  -0.341 0.874  -0.268 0.976  -0.194 1.077  -0.099 1.158  -0.004 1.240  0.112 1.275  0.236 1.293  0.358 1.266  0.479 1.236  0.579 1.163  0.675 1.083  0.706 0.966  0.720 0.842  0.720 0.717  0.701 0.594  0.667 0.474  0.589 0.381  0.494 0.299  0.404 0.213  0.323 0.118  0.240 0.024  0.132 -0.038  0.023 -0.100
2#apb#apb08#app0800/i  -0.227 1.656  -0.188 1.597  -0.149 1.539  -0.119 1.476  -0.099 1.409  -0.080 1.341  -0.061 1.274  -0.042 1.206  -0.022 1.139  -0.002 1.072  0.018 1.005  0.038 0.937  0.059 0.870  0.079 0.803  0.099 0.736  0.119 0.668  0.124 0.599  0.124 0.529  0.124 0.458  0.124 0.388  0.124 0.318  0.124 0.248  0.124 0.178  0.115 0.108  0.101 0.039  0.087 -0.029  0.074 -0.098  0.060 -0.167  0.046 -0.236  0.032 -0.305  0.021 -0.374  0.014 -0.444  0.007 -0.514  0.000 -0.584  -0.007 -0.653  -0.014 -0.723  -0.021 -0.793  -0.028 -0.863  -0.035 -0.933  -0.042 -1.003  -0.049 -1.073  -0.056 -1.142  -0.063 -1.212  -0.070 -1.282  -0.077 -1.352  -0.077 -1.422  -0.077 -1.492  -0.077 -1.563  -0.077 -1.633  -0.077 -1.703
2#apb#apb08#app0800/n  -1.100 -0.927  -1.072 -1.011  -1.047 -1.017  -1.026 -0.931  -0.994 -0.851  -0.949 -0.776  -0.904 -0.700  -0.886 -0.618  -0.886 -0.530  -0.886 -0.442  -0.886 -0.355  -0.869 -0.269  -0.845 -0.185  -0.821 -0.101  -0.794 -0.018  -0.751 0.059  -0.709 0.135  -0.666 0.212  -0.623 0.289  -0.578 0.363  -0.516 0.425  -0.454 0.487  -0.392 0.549  -0.330 0.611  -0.242 0.611  -0.155 0.611  -0.067 0.611  0.021 0.611  0.107 0.597  0.192 0.576  0.277 0.555  0.362 0.534  0.433 0.488  0.495 0.426  0.557 0.364  0.619 0.302  0.681 0.240  0.754 0.192  0.830 0.149  0.906 0.105  0.982 0.062  1.060 0.022  1.139 -0.017  1.217 -0.057  1.293 -0.101  1.365 -0.150  1.438 -0.198  1.511 -0.248  1.573 -0.310  1.635 -0.372
