1c#apa#apa03#app0338/i  -0.066 0.202  -0.066 0.331  -0.066 0.257  0.009 0.202  0.091 0.155  0.091 0.026  0.091 -0.103  0.091 -0.232  0.091 -0.361  0.121 -0.483  0.178 -0.598  0.236 -0.714  0.247 -0.840  0.247 -0.969  0.247 -1.098  0.263 -1.221  0.354 -1.312  0.403 -1.421  0.426 -1.494  0.518 -1.403  0.533 -1.296  0.484 -1.177  0.435 -1.058  0.386 -0.938  0.337 -0.819  0.287 -0.700  0.238 -0.581  0.189 -0.461  0.140 -0.342  0.091 -0.223  0.042 -0.103  -0.007 0.016  -0.057 0.135  -0.106 0.255  -0.155 0.374  -0.204 0.493  -0.253 0.613  -0.302 0.732  -0.351 0.851  -0.400 0.971  -0.450 1.090  -0.499 1.209  -0.500 1.297  -0.378 1.304  -0.378 1.433  -0.487 1.453  -0.535 1.535  -0.535 1.664  -0.535 1.738  -0.535 1.609
1c#apa#apa03#app0338/n  -0.914 0.396  -0.914 0.240  -0.914 0.084  -0.914 -0.072  -0.914 -0.228  -0.849 -0.356  -0.743 -0.468  -0.743 -0.624  -0.743 -0.780  -0.743 -0.935  -0.629 -0.978  -0.571 -1.075  -0.571 -1.231  -0.571 -1.255  -0.521 -1.149  -0.399 -1.115  -0.386 -0.965  -0.276 -0.855  -0.228 -0.719  -0.228 -0.563  -0.228 -0.407  -0.228 -0.252  -0.220 -0.097  -0.171 0.051  -0.122 0.199  -0.072 0.346  -0.056 0.499  -0.056 0.655  -0.056 0.811  0.000 0.911  0.116 0.951  0.116 1.107  0.124 1.254  0.280 1.254  0.436 1.254  0.459 1.121  0.576 1.082  0.631 0.981  0.631 0.825  0.680 0.690  0.790 0.580  0.802 0.429  0.857 0.286  0.927 0.147  0.974 0.002  0.974 -0.153  0.987 -0.304  1.097 -0.414  1.207 -0.524  1.317 -0.634
1c#apa#apa03#app0338/o  -0.227 0.801  -0.227 0.922  -0.310 0.960  -0.418 0.927  -0.503 0.842  -0.589 0.756  -0.674 0.671  -0.783 0.642  -0.861 0.599  -0.861 0.478  -0.861 0.357  -0.924 0.262  -1.009 0.177  -1.020 0.060  -1.020 -0.061  -0.997 -0.173  -0.912 -0.258  -0.861 -0.358  -0.861 -0.479  -0.861 -0.600  -0.766 -0.626  -0.662 -0.667  -0.577 -0.752  -0.469 -0.785  -0.348 -0.785  -0.227 -0.785  -0.106 -0.785  0.015 -0.785  0.136 -0.785  0.257 -0.785  0.378 -0.785  0.489 -0.744  0.597 -0.690  0.705 -0.636  0.795 -0.556  0.880 -0.471  0.883 -0.351  0.939 -0.253  1.025 -0.168  1.042 -0.054  1.042 0.067  1.042 0.188  1.042 0.309  1.042 0.430  1.042 0.551  1.042 0.672  1.042 0.793  0.941 0.851  0.833 0.905  0.725 0.960
1c#apa#apa03#app0338/n  -1.321 0.539  -1.320 0.697  -1.205 0.583  -1.091 0.469  -1.002 0.345  -0.976 0.194  -0.862 0.080  -0.747 -0.034  -0.682 -0.169  -0.682 -0.330  -0.631 -0.470  -0.523 -0.587  -0.515 -0.746  -0.401 -0.860  -0.363 -1.005  -0.363 -1.167  -0.363 -1.106  -0.363 -0.944  -0.363 -0.783  -0.363 -0.622  -0.363 -0.460  -0.278 -0.334  -0.203 -0.203  -0.203 -0.042  -0.203 0.120  -0.203 0.281  -0.203 0.443  -0.203 0.604  -0.137 0.699  -0.044 0.767  -0.044 0.929  0.029 1.018  0.168 0.966  0.285 0.858  0.447 0.858  0.604 0.849  0.719 0.735  0.833 0.620  0.960 0.539  1.074 0.491  1.074 0.330  1.074 0.168  1.074 0.007  1.074 -0.155  1.074 -0.316  1.074 -0.478  1.074 -0.639  1.118 -0.782  1.232 -0.897  1.233 -1.057
1c#apa#apa03#app0338/e  -0.217 0.004  -0.217 -0.154  -0.073 -0.168  0.085 -0.168  0.242 -0.168  0.300 -0.068  0.386 0.004  0.472 0.075  0.529 0.176  0.644 0.219  0.644 0.376  0.644 0.534  0.644 0.692  0.644 0.850  0.502 0.865  0.472 0.993  0.358 1.037  0.300 1.137  0.215 1.209  0.057 1.209  -0.084 1.170  -0.196 1.058  -0.345 1.037  -0.469 0.957  -0.581 0.845  -0.693 0.734  -0.804 0.622  -0.906 0.506  -0.906 0.348  -0.906 0.191  -0.906 0.033  -0.906 -0.125  -0.906 -0.283  -0.906 -0.441  -0.845 -0.573  -0.733 -0.685  -0.622 -0.797  -0.510 -0.908  -0.399 -1.020  -0.245 -1.029  -0.087 -1.029  0.071 -1.029  0.229 -1.029  0.386 -1.029  0.544 -1.029  0.702 -1.029  0.860 -1.029  1.018 -1.029  1.175 -1.029  1.333 -1.029
1c#apa#apa03#app0338/c  0.276 1.029  0.170 1.029  0.113 1.078  0.113 1.184  0.015 1.192  -0.050 1.151  -0.050 1.045  -0.140 1.029  -0.246 1.029  -0.352 1.029  -0.375 0.946  -0.401 0.866  -0.507 0.866  -0.538 0.791  -0.556 0.704  -0.662 0.704  -0.700 0.636  -0.700 0.530  -0.700 0.425  -0.700 0.319  -0.700 0.213  -0.700 0.107  -0.700 0.001  -0.700 -0.105  -0.700 -0.211  -0.669 -0.304  -0.594 -0.379  -0.512 -0.435  -0.406 -0.435  -0.322 -0.488  -0.247 -0.563  -0.162 -0.623  -0.067 -0.671  0.028 -0.718  0.121 -0.768  0.196 -0.843  0.270 -0.918  0.374 -0.924  0.480 -0.924  0.586 -0.924  0.692 -0.924  0.798 -0.924  0.904 -0.924  0.927 -0.841  0.953 -0.761  1.059 -0.761  1.143 -0.708  1.218 -0.633  1.309 -0.598  1.415 -0.598
1c#apa#apa03#app0338/l  -0.118 1.707  -0.118 1.636  -0.118 1.566  -0.118 1.495  -0.118 1.424  -0.118 1.353  -0.118 1.283  -0.118 1.212  -0.118 1.141  -0.118 1.070  -0.118 1.000  -0.118 0.929  -0.118 0.858  -0.118 0.787  -0.118 0.717  -0.118 0.646  -0.118 0.575  -0.118 0.504  -0.118 0.434  -0.099 0.366  -0.077 0.299  -0.054 0.232  -0.032 0.164  -0.010 0.097  0.013 0.030  0.035 -0.037  0.043 -0.106  0.043 -0.177  0.043 -0.248  0.043 -0.319  0.043 -0.389  0.043 -0.460  0.043 -0.531  0.043 -0.602  0.043 -0.672  0.043 -0.743  0.043 -0.814  0.043 -0.885  0.043 -0.955  0.044 -1.026  0.094 -1.076  0.144 -1.126  0.194 -1.176  0.204 -1.243  0.204 -1.313  0.204 -1.384  0.204 -1.455  0.204 -1.526  0.204 -1.596  0.204 -1.667
1c#apa#apa03#app0338/a  0.086 0.657  0.086 0.841  0.065 1.003  -0.119 1.003  -0.302 1.003  -0.486 1.003  -0.651 0.959  -0.781 0.829  -0.910 0.699  -1.040 0.570  -1.125 0.421  -1.125 0.238  -1.125 0.054  -1.125 -0.129  -1.125 -0.313  -1.125 -0.496  -1.036 -0.643  -0.907 -0.773  -0.776 -0.900  -0.596 -0.890  -0.467 -0.760  -0.297 -0.727  -0.114 -0.727  -0.087 -0.570  0.031 -0.435  0.086 -0.274  0.086 -0.091  0.176 0.055  0.259 0.205  0.259 0.388  0.259 0.572  0.190 0.727  0.086 0.794  0.133 0.657  0.259 0.600  0.259 0.416  0.337 0.311  0.432 0.222  0.432 0.039  0.542 -0.035  0.690 -0.120  0.778 -0.267  0.848 -0.381  0.951 -0.461  1.015 -0.618  1.145 -0.748  1.275 -0.878  1.449 -0.900  1.470 -1.062  1.643 -1.073
1c#apa#apa03#app0338/w  -1.242 0.546  -1.242 0.404  -1.342 0.304  -1.384 0.179  -1.384 0.037  -1.327 -0.082  -1.242 -0.188  -1.242 -0.330  -1.228 -0.467  -1.127 -0.567  -1.099 -0.698  -0.997 -0.738  -0.855 -0.738  -0.742 -0.667  -0.642 -0.567  -0.541 -0.466  -0.405 -0.453  -0.385 -0.330  -0.299 -0.224  -0.198 -0.123  -0.100 -0.022  -0.098 0.120  0.002 0.220  0.043 0.345  0.043 0.488  0.126 0.546  0.186 0.629  0.186 0.607  0.186 0.465  0.186 0.323  0.242 0.204  0.328 0.098  0.343 -0.039  0.443 -0.139  0.471 -0.270  0.573 -0.310  0.614 -0.411  0.715 -0.453  0.827 -0.382  0.928 -0.281  1.028 -0.181  1.129 -0.080  1.185 0.039  1.185 0.181  1.229 0.305  1.327 0.406  1.327 0.548  1.329 0.689  1.470 0.690  1.470 0.832
1c#apa#apa03#app0338/e  -1.129 -0.120  -0.998 -0.251  -0.841 -0.319  -0.656 -0.319  -0.471 -0.319  -0.286 -0.319  -0.102 -0.319  0.083 -0.319  0.268 -0.317  0.398 -0.187  0.556 -0.120  0.664 -0.044  0.726 0.079  0.864 0.127  0.864 0.312  0.864 0.497  0.864 0.682  0.864 0.867  0.688 0.876  0.664 1.037  0.518 1.075  0.333 1.075  0.148 1.075  -0.037 1.075  -0.222 1.075  -0.385 1.022  -0.516 0.891  -0.694 0.876  -0.730 0.727  -0.865 0.677  -0.929 0.556  -0.929 0.371  -0.929 0.186  -0.929 0.002  -0.929 -0.183  -0.895 -0.354  -0.764 -0.485  -0.633 -0.616  -0.490 -0.718  -0.313 -0.736  -0.182 -0.867  -0.018 -0.917  0.167 -0.917  0.352 -0.917  0.537 -0.917  0.722 -0.917  0.907 -0.917  1.091 -0.917  1.276 -0.917  1.461 -0.917
1c#apa#apa03#app0338/d  -0.044 1.987  0.111 1.970  0.111 1.799  0.111 1.627  0.158 1.475  0.266 1.347  0.266 1.176  0.266 1.004  0.266 0.832  0.266 0.660  0.266 0.488  0.266 0.317  0.363 0.185  0.421 0.037  0.421 -0.135  0.508 -0.270  0.576 -0.414  0.576 -0.586  0.576 -0.538  0.576 -0.366  0.474 -0.236  0.421 -0.086  0.341 0.052  0.200 0.127  0.052 0.186  -0.079 0.282  -0.251 0.282  -0.423 0.282  -0.570 0.222  -0.702 0.127  -0.819 0.073  -0.891 -0.028  -0.974 -0.116  -0.974 -0.288  -0.974 -0.460  -0.974 -0.631  -0.974 -0.803  -0.819 -0.820  -0.785 -0.958  -0.613 -0.958  -0.441 -0.958  -0.270 -0.958  -0.098 -0.958  0.074 -0.958  0.246 -0.958  0.373 -0.850  0.525 -0.803  0.697 -0.803  0.869 -0.803  1.041 -0.803
