1b#kai#kai1#jhjung5/A  0.801 0.658  0.738 0.808  0.636 0.935  0.520 1.050  0.393 1.152  0.243 1.215  0.102 1.289  -0.057 1.263  -0.212 1.211  -0.361 1.146  -0.497 1.055  -0.618 0.946  -0.749 0.850  -0.815 0.703  -0.869 0.556  -0.907 0.398  -0.907 0.234  -0.907 0.071  -0.907 -0.093  -0.907 -0.256  -0.907 -0.420  -0.907 -0.584  -0.885 -0.744  -0.867 -0.904  -0.748 -1.015  -0.593 -1.067  -0.433 -1.086  -0.275 -1.123  -0.116 -1.095  0.023 -1.011  0.152 -0.912  0.251 -0.782  0.360 -0.663  0.427 -0.515  0.518 -0.379  0.579 -0.228  0.620 -0.070  0.652 0.088  0.652 0.252  0.669 0.413  0.658 0.377  0.606 0.222  0.578 0.063  0.578 -0.101  0.556 -0.261  0.541 -0.422  0.578 -0.579  0.599 -0.740  0.650 -0.895  0.764 -1.012
1b#kai#kai1#jhjung5/B  -1.175 0.475  -0.920 0.511  -0.695 0.642  -0.478 0.780  -0.276 0.944  -0.059 1.089  0.051 1.032  -0.068 0.805  -0.138 0.553  -0.254 0.324  -0.313 0.070  -0.395 -0.177  -0.478 -0.425  -0.555 -0.674  -0.659 -0.909  -0.753 -1.151  -0.776 -1.075  -0.703 -0.825  -0.619 -0.579  -0.501 -0.349  -0.419 -0.101  -0.314 0.137  -0.183 0.362  -0.067 0.593  0.052 0.819  0.217 1.019  0.394 1.210  0.641 1.293  0.896 1.288  1.031 1.098  1.031 0.837  0.955 0.588  0.826 0.363  0.666 0.159  0.462 -0.002  0.213 -0.064  -0.011 -0.073  0.076 0.116  0.332 0.132  0.553 0.016  0.673 -0.214  0.688 -0.472  0.688 -0.733  0.642 -0.987  0.500 -1.205  0.316 -1.385  0.101 -1.534  -0.159 -1.535  -0.400 -1.446  -0.635 -1.339
1b#kai#kai1#jhjung5/B  -0.868 0.500  -0.630 0.611  -0.414 0.767  -0.239 0.961  -0.056 1.155  0.091 1.376  0.090 1.314  0.009 1.061  -0.069 0.807  -0.154 0.554  -0.225 0.299  -0.271 0.041  -0.339 -0.217  -0.423 -0.469  -0.508 -0.722  -0.592 -0.975  -0.625 -1.236  -0.751 -1.468  -0.707 -1.241  -0.649 -0.985  -0.600 -0.726  -0.531 -0.471  -0.447 -0.218  -0.349 0.029  -0.262 0.281  -0.143 0.516  -0.019 0.752  0.101 0.989  0.261 1.201  0.485 1.303  0.740 1.231  0.955 1.087  1.007 0.842  0.963 0.582  0.863 0.337  0.748 0.100  0.596 -0.113  0.389 -0.279  0.163 -0.406  -0.098 -0.382  -0.015 -0.252  0.246 -0.218  0.480 -0.278  0.564 -0.530  0.558 -0.791  0.525 -1.052  0.392 -1.267  0.170 -1.415  -0.080 -1.505  -0.332 -1.482
1b#kai#kai1#jhjung5/D  -0.863 0.536  -0.691 0.654  -0.513 0.758  -0.354 0.886  -0.237 1.059  -0.122 1.232  -0.134 1.062  -0.162 0.858  -0.219 0.657  -0.282 0.459  -0.348 0.261  -0.376 0.057  -0.430 -0.144  -0.485 -0.345  -0.538 -0.546  -0.604 -0.744  -0.659 -0.945  -0.702 -1.141  -0.671 -1.094  -0.608 -0.896  -0.548 -0.697  -0.488 -0.497  -0.438 -0.295  -0.365 -0.101  -0.309 0.090  -0.246 0.289  -0.181 0.486  -0.115 0.684  -0.031 0.873  0.123 1.008  0.304 1.109  0.509 1.129  0.711 1.092  0.870 0.962  0.956 0.775  1.022 0.577  1.036 0.371  1.030 0.163  0.996 -0.040  0.973 -0.245  0.907 -0.442  0.841 -0.640  0.728 -0.815  0.613 -0.988  0.491 -1.156  0.323 -1.271  0.123 -1.323  -0.082 -1.291  -0.286 -1.265  -0.467 -1.165
1b#kai#kai1#jhjung5/E  1.024 0.889  0.982 1.017  0.907 1.129  0.800 1.208  0.688 1.283  0.562 1.312  0.432 1.284  0.304 1.242  0.187 1.177  0.071 1.111  -0.044 1.043  -0.118 0.931  -0.213 0.836  -0.274 0.719  -0.288 0.587  -0.319 0.458  -0.299 0.330  -0.256 0.202  -0.214 0.074  -0.107 0.011  0.020 -0.032  0.153 -0.042  0.288 -0.042  0.403 0.023  0.463 0.137  0.442 0.265  0.331 0.296  0.196 0.296  0.067 0.260  -0.047 0.189  -0.107 0.075  -0.202 -0.013  -0.291 -0.110  -0.366 -0.222  -0.429 -0.340  -0.472 -0.467  -0.514 -0.595  -0.557 -0.723  -0.584 -0.853  -0.602 -0.985  -0.626 -1.115  -0.590 -1.239  -0.515 -1.351  -0.429 -1.448  -0.302 -1.491  -0.173 -1.516  -0.043 -1.483  0.092 -1.481  0.220 -1.439  0.347 -1.396
1b#kai#kai1#jhjung5/E  1.096 0.851  1.053 0.980  0.993 1.092  0.869 1.145  0.756 1.220  0.637 1.278  0.504 1.294  0.371 1.317  0.239 1.291  0.110 1.248  -0.019 1.205  -0.099 1.098  -0.193 1.000  -0.276 0.892  -0.351 0.779  -0.407 0.656  -0.450 0.527  -0.459 0.393  -0.459 0.257  -0.449 0.122  -0.396 -0.002  -0.320 -0.115  -0.235 -0.219  -0.118 -0.287  0.013 -0.316  0.146 -0.296  0.275 -0.252  0.347 -0.152  0.271 -0.064  0.142 -0.044  0.005 -0.044  -0.130 -0.050  -0.255 -0.102  -0.359 -0.186  -0.429 -0.302  -0.481 -0.427  -0.548 -0.544  -0.576 -0.676  -0.576 -0.812  -0.548 -0.943  -0.481 -1.061  -0.378 -1.147  -0.291 -1.248  -0.181 -1.316  -0.051 -1.359  0.078 -1.402  0.207 -1.365  0.342 -1.358  0.469 -1.310  0.591 -1.249
1b#kai#kai1#jhjung5/F  -1.084 0.781  -0.962 0.933  -0.823 1.067  -0.714 1.231  -0.551 1.339  -0.386 1.308  -0.324 1.137  -0.256 0.954  -0.111 0.837  0.084 0.824  0.276 0.855  0.446 0.953  0.624 1.033  0.727 1.189  0.588 1.151  0.526 0.964  0.427 0.795  0.365 0.608  0.304 0.420  0.256 0.229  0.203 0.039  0.141 -0.148  0.078 -0.335  0.056 -0.529  -0.006 -0.716  -0.069 -0.903  -0.131 -1.090  -0.222 -1.263  -0.380 -1.368  -0.567 -1.306  -0.753 -1.241  -0.910 -1.124  -0.826 -0.951  -0.734 -0.776  -0.641 -0.602  -0.549 -0.428  -0.377 -0.433  -0.190 -0.370  0.006 -0.359  0.198 -0.326  0.385 -0.263  0.560 -0.178  0.724 -0.068  0.839 -0.008  0.749 -0.182  0.684 -0.368  0.588 -0.538  0.563 -0.732  0.563 -0.929  0.605 -1.119
1b#kai#kai1#jhjung5/G  0.547 1.078  0.547 1.263  0.493 1.439  0.347 1.532  0.181 1.609  0.010 1.561  -0.158 1.497  -0.261 1.343  -0.357 1.185  -0.454 1.028  -0.512 0.853  -0.599 0.691  -0.647 0.514  -0.674 0.333  -0.680 0.150  -0.664 -0.033  -0.599 -0.205  -0.470 -0.333  -0.290 -0.348  -0.117 -0.293  0.037 -0.190  0.165 -0.058  0.245 0.107  0.339 0.265  0.432 0.425  0.497 0.597  0.538 0.721  0.466 0.551  0.434 0.373  0.414 0.191  0.388 0.010  0.331 -0.166  0.282 -0.343  0.246 -0.522  0.194 -0.700  0.149 -0.879  0.116 -1.058  0.063 -1.235  -0.024 -1.396  -0.106 -1.560  -0.230 -1.674  -0.324 -1.549  -0.375 -1.371  -0.332 -1.195  -0.243 -1.035  -0.128 -0.890  -0.011 -0.749  0.128 -0.629  0.248 -0.492  0.414 -0.414
1b#kai#kai1#jhjung5/H  -0.750 1.409  -0.701 1.128  -0.653 0.846  -0.653 0.557  -0.690 0.275  -0.701 -0.013  -0.741 -0.298  -0.812 -0.578  -0.909 -0.849  -1.037 -1.106  -1.128 -1.380  -1.060 -1.250  -0.881 -1.023  -0.703 -0.796  -0.524 -0.568  -0.345 -0.341  -0.166 -0.114  0.012 0.113  0.191 0.340  0.370 0.567  0.548 0.794  0.727 1.021  0.906 1.248  1.085 1.476  0.997 1.445  0.905 1.171  0.814 0.896  0.783 0.611  0.709 0.332  0.662 0.051  0.633 -0.235  0.601 -0.520  0.515 -0.795  0.466 -1.067  0.419 -0.785  0.417 -0.497  0.417 -0.208  0.391 0.077  0.248 0.326  0.026 0.485  -0.263 0.485  -0.455 0.270  -0.523 -0.001  -0.543 -0.282  -0.438 -0.543  -0.182 -0.672  0.097 -0.643  0.371 -0.552  0.645 -0.466  0.904 -0.342
1b#kai#kai1#jhjung5/H  -0.623 1.697  -0.472 1.497  -0.422 1.224  -0.422 0.942  -0.422 0.661  -0.472 0.388  -0.504 0.111  -0.588 -0.158  -0.679 -0.424  -0.809 -0.671  -0.941 -0.916  -1.071 -1.163  -1.153 -1.341  -0.983 -1.116  -0.813 -0.892  -0.643 -0.668  -0.473 -0.444  -0.303 -0.220  -0.133 0.004  0.038 0.228  0.208 0.453  0.378 0.677  0.548 0.901  0.718 1.125  0.888 1.349  1.027 1.515  0.938 1.248  0.849 0.981  0.736 0.732  0.691 0.458  0.650 0.183  0.561 -0.084  0.520 -0.358  0.434 -0.626  0.390 -0.900  0.383 -1.180  0.333 -0.990  0.333 -0.708  0.289 -0.434  0.247 -0.160  0.141 0.099  -0.064 0.284  -0.260 0.171  -0.349 -0.095  -0.372 -0.373  -0.215 -0.569  0.059 -0.618  0.335 -0.583  0.605 -0.618  0.887 -0.618
1b#kai#kai1#jhjung5/H  -0.788 1.481  -0.663 1.239  -0.584 0.976  -0.568 0.703  -0.568 0.428  -0.568 0.153  -0.625 -0.115  -0.700 -0.379  -0.744 -0.647  -0.794 -0.914  -0.918 -1.156  -1.037 -1.401  -0.939 -1.297  -0.787 -1.068  -0.635 -0.839  -0.484 -0.610  -0.332 -0.380  -0.180 -0.151  -0.028 0.078  0.123 0.307  0.275 0.537  0.427 0.766  0.579 0.995  0.730 1.224  0.882 1.454  0.995 1.636  0.847 1.412  0.730 1.168  0.691 0.899  0.665 0.628  0.647 0.355  0.577 0.090  0.523 -0.176  0.489 -0.445  0.447 -0.713  0.401 -0.981  0.445 -0.983  0.358 -0.722  0.338 -0.449  0.308 -0.177  0.218 0.082  0.030 0.276  -0.220 0.231  -0.332 -0.012  -0.378 -0.276  -0.275 -0.528  -0.043 -0.631  0.218 -0.717  0.492 -0.718  0.753 -0.631
