1c#app#app14#app1443/u  -1.126 0.094  -1.126 -0.008  -1.126 -0.110  -1.126 -0.211  -1.126 -0.313  -1.074 -0.363  -0.972 -0.363  -0.897 -0.390  -0.897 -0.492  -0.895 -0.592  -0.794 -0.592  -0.692 -0.592  -0.669 -0.671  -0.669 -0.772  -0.615 -0.820  -0.513 -0.820  -0.411 -0.820  -0.310 -0.820  -0.209 -0.817  -0.137 -0.745  -0.065 -0.673  0.007 -0.601  0.105 -0.592  0.207 -0.592  0.245 -0.528  0.245 -0.426  0.283 -0.363  0.385 -0.363  0.474 -0.350  0.474 -0.248  0.474 -0.146  0.474 -0.044  0.474 0.058  0.520 0.140  0.592 0.212  0.664 0.284  0.702 0.370  0.702 0.472  0.702 0.574  0.702 0.676  0.702 0.777  0.702 0.879  0.702 0.981  0.702 1.083  0.702 1.185  0.702 1.286  0.702 1.388  0.702 1.490  0.702 1.592  0.702 1.694
1c#app#app14#app1443/g  0.140 1.501  0.008 1.501  -0.125 1.501  -0.244 1.470  -0.338 1.377  -0.432 1.283  -0.525 1.190  -0.568 1.075  -0.568 0.943  -0.568 0.810  -0.452 0.793  -0.320 0.793  -0.188 0.793  -0.055 0.793  0.077 0.793  0.140 0.863  0.140 0.945  0.140 0.813  0.140 0.681  0.140 0.548  0.140 0.416  0.140 0.284  0.219 0.184  0.312 0.090  0.317 -0.040  0.317 -0.172  0.317 -0.305  0.317 -0.437  0.317 -0.569  0.317 -0.702  0.317 -0.834  0.317 -0.966  0.317 -1.099  0.317 -1.231  0.317 -1.363  0.317 -1.496  0.195 -1.506  0.140 -1.429  0.107 -1.329  -0.025 -1.329  -0.037 -1.209  -0.037 -1.077  -0.059 -0.953  -0.153 -0.860  -0.214 -0.753  -0.214 -0.620  -0.214 -0.488  -0.214 -0.356  -0.214 -0.223  -0.214 -0.091
1c#app#app14#app1443/g  0.030 1.374  -0.087 1.374  -0.203 1.374  -0.288 1.341  -0.288 1.225  -0.394 1.215  -0.446 1.150  -0.469 1.056  -0.585 1.056  -0.605 0.959  -0.605 0.843  -0.605 0.726  -0.605 0.609  -0.543 0.518  -0.461 0.436  -0.350 0.421  -0.288 0.367  -0.276 0.262  -0.159 0.262  -0.129 0.348  -0.085 0.421  0.030 0.423  0.030 0.539  0.030 0.504  0.030 0.387  0.030 0.270  0.138 0.262  0.189 0.196  0.189 0.079  0.189 -0.037  0.189 -0.154  0.245 -0.214  0.348 -0.228  0.348 -0.345  0.348 -0.462  0.348 -0.578  0.349 -0.695  0.386 -0.805  0.423 -0.916  0.460 -1.027  0.497 -1.137  0.506 -1.252  0.476 -1.356  0.393 -1.439  0.348 -1.536  0.338 -1.643  0.221 -1.643  0.189 -1.559  0.147 -1.484  0.030 -1.484
1c#app#app14#app1443/l  -0.036 1.348  0.018 1.294  0.072 1.239  0.127 1.185  0.132 1.250  0.132 1.327  0.076 1.348  -0.001 1.348  -0.036 1.307  -0.036 1.230  -0.036 1.153  -0.036 1.076  -0.036 0.999  -0.036 0.922  -0.036 0.845  -0.036 0.768  -0.036 0.691  -0.036 0.615  -0.036 0.538  -0.036 0.461  -0.036 0.384  -0.036 0.307  -0.036 0.230  -0.036 0.153  -0.036 0.076  -0.036 -0.001  -0.036 -0.078  -0.036 -0.155  -0.036 -0.232  -0.036 -0.308  -0.036 -0.385  -0.036 -0.462  -0.036 -0.539  -0.036 -0.616  -0.036 -0.693  -0.036 -0.770  -0.036 -0.847  -0.036 -0.924  -0.036 -1.001  -0.036 -1.078  -0.036 -1.155  -0.036 -1.232  -0.036 -1.308  0.007 -1.342  0.084 -1.342  0.132 -1.371  0.132 -1.448  0.132 -1.525  0.132 -1.602  0.132 -1.679
1c#app#app14#app1443/e  -0.176 -0.178  -0.044 -0.178  0.081 -0.159  0.175 -0.065  0.269 0.029  0.363 0.123  0.457 0.217  0.538 0.316  0.538 0.449  0.538 0.581  0.538 0.714  0.610 0.775  0.743 0.775  0.776 0.874  0.776 1.007  0.686 1.103  0.593 1.196  0.482 1.251  0.350 1.251  0.241 1.192  0.147 1.098  0.062 1.001  0.062 0.868  0.023 0.775  -0.110 0.775  -0.176 0.708  -0.176 0.576  -0.243 0.470  -0.337 0.376  -0.415 0.276  -0.415 0.143  -0.415 0.011  -0.415 -0.122  -0.469 -0.232  -0.563 -0.326  -0.653 -0.422  -0.653 -0.555  -0.653 -0.687  -0.653 -0.820  -0.610 -0.935  -0.516 -1.029  -0.422 -1.123  -0.415 -1.252  -0.403 -1.380  -0.309 -1.474  -0.215 -1.568  -0.098 -1.607  0.034 -1.607  0.167 -1.607  0.300 -1.607
1c#app#app14#app1443/r  -0.806 -1.211  -0.741 -1.276  -0.675 -1.342  -0.610 -1.407  -0.544 -1.473  -0.534 -1.406  -0.534 -1.313  -0.534 -1.220  -0.534 -1.127  -0.534 -1.035  -0.534 -0.942  -0.471 -0.875  -0.405 -0.809  -0.340 -0.744  -0.274 -0.678  -0.261 -0.591  -0.261 -0.498  -0.261 -0.406  -0.261 -0.313  -0.261 -0.220  -0.261 -0.127  -0.261 -0.035  -0.261 0.058  -0.261 0.151  -0.197 0.217  -0.131 0.283  -0.066 0.348  -0.000 0.414  0.012 0.502  0.012 0.594  0.012 0.687  0.012 0.780  0.012 0.873  0.012 0.965  0.098 0.972  0.191 0.972  0.284 0.972  0.376 0.972  0.469 0.972  0.562 0.972  0.655 0.972  0.747 0.972  0.831 0.963  0.831 0.870  0.831 0.777  0.841 0.689  0.907 0.623  0.972 0.558  1.038 0.492  1.103 0.426
1c#app#app14#app1443/s  0.852 1.485  0.757 1.485  0.662 1.485  0.567 1.485  0.499 1.422  0.432 1.355  0.365 1.288  0.298 1.221  0.231 1.154  0.164 1.087  0.097 1.020  0.030 0.953  -0.037 0.886  -0.104 0.819  -0.171 0.752  -0.238 0.685  -0.304 0.617  -0.304 0.522  -0.304 0.428  -0.304 0.333  -0.304 0.238  -0.304 0.143  -0.304 0.048  -0.243 -0.021  -0.176 -0.088  -0.109 -0.155  -0.042 -0.222  -0.015 -0.306  -0.015 -0.400  -0.015 -0.495  0.038 -0.537  0.132 -0.537  0.227 -0.537  0.274 -0.585  0.274 -0.680  0.274 -0.775  0.230 -0.826  0.136 -0.826  0.041 -0.826  -0.043 -0.854  -0.110 -0.921  -0.177 -0.988  -0.244 -1.055  -0.304 -1.124  -0.304 -1.219  -0.304 -1.314  -0.309 -1.404  -0.403 -1.404  -0.498 -1.404  -0.593 -1.404
1c#app#app14#app1443/w  -1.280 1.042  -1.162 1.042  -1.044 1.042  -1.038 0.931  -1.038 0.813  -1.038 0.695  -1.038 0.577  -1.038 0.459  -1.038 0.341  -1.038 0.223  -1.038 0.106  -1.038 -0.012  -1.038 -0.130  -0.960 -0.170  -0.842 -0.170  -0.795 -0.242  -0.795 -0.359  -0.731 -0.413  -0.613 -0.413  -0.495 -0.413  -0.377 -0.413  -0.259 -0.413  -0.141 -0.413  -0.068 -0.368  -0.068 -0.250  -0.030 -0.170  0.088 -0.170  0.175 -0.139  0.175 -0.021  0.192 0.055  0.276 -0.029  0.359 -0.112  0.453 -0.170  0.571 -0.170  0.660 -0.199  0.660 -0.317  0.682 -0.413  0.800 -0.413  0.902 -0.397  0.902 -0.279  0.911 -0.170  1.029 -0.170  1.147 -0.170  1.265 -0.170  1.383 -0.170  1.387 -0.056  1.387 0.061  1.463 0.148  1.546 0.231  1.629 0.315
1c#app#app14#app1443/i  -0.167 1.570  -0.167 1.499  -0.167 1.428  -0.137 1.387  -0.066 1.387  0.005 1.387  0.016 1.327  0.016 1.256  0.016 1.186  0.016 1.115  0.016 1.044  0.016 0.973  0.016 0.902  0.016 0.831  0.016 0.760  0.016 0.689  0.016 0.618  0.016 0.548  0.016 0.477  0.016 0.406  0.016 0.335  0.016 0.264  0.016 0.193  0.016 0.122  0.016 0.051  0.016 -0.020  0.016 -0.090  0.016 -0.161  0.016 -0.232  0.016 -0.303  0.016 -0.374  0.016 -0.445  0.016 -0.516  0.016 -0.587  0.016 -0.658  0.016 -0.728  0.016 -0.799  0.016 -0.870  0.016 -0.941  0.016 -1.012  0.016 -1.083  0.016 -1.154  0.016 -1.225  0.016 -1.296  0.016 -1.366  0.016 -1.437  0.016 -1.508  0.016 -1.579  0.016 -1.650  0.016 -1.721
1c#app#app14#app1443/l  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
1c#app#app14#app1443/l  -0.044 1.715  -0.044 1.645  -0.044 1.574  -0.044 1.503  -0.044 1.432  -0.044 1.362  -0.044 1.291  -0.044 1.220  -0.044 1.149  -0.044 1.079  -0.044 1.008  -0.044 0.937  -0.044 0.866  -0.044 0.796  -0.044 0.725  -0.044 0.654  -0.044 0.583  -0.044 0.513  -0.044 0.442  -0.044 0.371  -0.044 0.300  -0.044 0.230  -0.044 0.159  -0.044 0.088  -0.044 0.017  -0.044 -0.053  -0.044 -0.124  -0.044 -0.195  -0.044 -0.266  -0.044 -0.336  -0.044 -0.407  -0.044 -0.478  -0.044 -0.549  -0.044 -0.619  -0.044 -0.690  -0.044 -0.761  -0.044 -0.832  -0.022 -0.894  0.028 -0.944  0.078 -0.994  0.128 -1.044  0.156 -1.103  0.156 -1.174  0.156 -1.244  0.156 -1.315  0.156 -1.386  0.156 -1.457  0.156 -1.527  0.156 -1.598  0.156 -1.669
