2#app#app19#app1918/!  -0.183 1.617  -0.183 1.698  -0.183 1.664  -0.183 1.583  -0.183 1.502  -0.183 1.421  -0.183 1.340  -0.183 1.259  -0.183 1.178  -0.183 1.097  -0.183 1.016  -0.146 0.950  -0.089 0.893  -0.078 0.817  -0.078 0.736  -0.078 0.655  -0.078 0.574  -0.078 0.493  -0.078 0.411  -0.078 0.330  -0.076 0.250  -0.018 0.193  0.027 0.131  0.027 0.050  0.027 -0.031  0.027 -0.112  0.027 -0.193  0.027 -0.274  0.027 -0.355  0.027 -0.436  0.027 -0.517  0.027 -0.598  0.027 -0.679  0.027 -0.760  0.027 -0.841  0.027 -0.922  0.027 -1.004  0.027 -1.085  0.027 -1.166  0.027 -1.247  0.033 -1.322  0.114 -1.322  0.195 -1.322  0.237 -1.284  0.237 -1.203  0.237 -1.122  0.309 -1.112  0.342 -1.064  0.342 -0.983  0.342 -0.902
2#app#app19#app1918/@  0.061 -0.513  0.061 -0.263  0.061 -0.013  -0.027 0.149  -0.226 0.027  -0.435 -0.040  -0.512 -0.258  -0.601 -0.471  -0.558 -0.679  -0.435 -0.806  -0.223 -0.844  -0.011 -0.752  0.209 -0.679  0.331 -0.472  0.504 -0.348  0.558 -0.151  0.558 0.099  0.417 0.291  0.342 0.149  0.227 0.014  0.447 -0.016  0.558 0.122  0.724 0.207  0.724 0.457  0.884 0.641  0.890 0.889  0.890 1.139  0.809 1.309  0.724 1.474  0.474 1.474  0.224 1.474  -0.027 1.474  -0.226 1.352  -0.403 1.175  -0.580 0.998  -0.640 0.773  -0.767 0.575  -0.877 0.370  -0.932 0.143  -0.932 -0.107  -0.932 -0.357  -0.866 -0.580  -0.689 -0.757  -0.512 -0.934  -0.435 -1.152  -0.226 -1.219  -0.027 -1.341  0.223 -1.341  0.474 -1.341  0.724 -1.341
2#app#app19#app1918/#  0.148 1.065  0.188 1.227  0.081 0.931  -0.112 0.642  -0.338 0.384  -0.380 0.050  -0.501 -0.252  -0.649 -0.543  -0.428 -0.323  -0.180 -0.074  0.069 0.175  0.318 0.424  0.567 0.673  0.816 0.921  1.065 1.170  1.255 1.360  1.120 1.065  0.824 0.930  0.713 0.615  0.518 0.322  0.397 0.015  0.311 -0.301  0.148 -0.491  0.148 -0.843  0.148 -1.195  -0.139 -1.024  -0.435 -0.835  -0.732 -0.646  -1.029 -0.457  -1.326 -0.268  -1.623 -0.079  -1.466 0.100  -1.178 0.254  -0.826 0.254  -0.474 0.254  -0.145 0.157  0.115 0.064  -0.155 -0.161  -0.425 -0.386  -0.696 -0.612  -0.987 -0.698  -0.777 -0.557  -0.425 -0.557  -0.073 -0.557  0.279 -0.557  0.585 -0.445  0.916 -0.395  1.252 -0.330  1.581 -0.233  1.933 -0.233
2#app#app19#app1918/$  1.108 0.476  1.230 0.713  1.081 0.868  0.832 0.962  0.545 0.962  0.258 0.961  0.020 0.840  -0.220 0.727  -0.475 0.597  -0.755 0.570  -0.994 0.411  -1.214 0.233  -1.321 0.053  -1.127 -0.083  -0.859 -0.132  -0.572 -0.132  -0.285 -0.132  0.003 -0.132  0.274 -0.200  0.549 -0.253  0.837 -0.253  1.097 -0.369  1.000 -0.604  0.867 -0.858  0.629 -0.976  0.374 -1.108  0.171 -1.312  -0.102 -1.346  -0.221 -1.185  -0.209 -0.898  -0.197 -0.611  -0.185 -0.323  -0.173 -0.036  -0.161 0.251  -0.149 0.538  -0.137 0.825  -0.125 1.113  -0.114 1.400  -0.106 1.451  -0.106 1.164  -0.106 0.876  -0.106 0.589  -0.106 0.301  -0.106 0.014  -0.106 -0.273  -0.106 -0.561  -0.106 -0.848  -0.106 -1.136  -0.106 -1.423  -0.106 -1.711
2#app#app19#app1918/%  -0.358 0.045  -0.529 0.190  -0.760 0.190  -0.991 0.190  -1.080 0.048  -1.225 -0.039  -1.369 -0.125  -1.290 -0.164  -1.225 0.040  -1.080 0.211  -1.080 0.442  -0.936 0.529  -0.936 0.760  -0.791 0.931  -0.791 1.162  -0.614 1.234  -0.429 1.345  -0.245 1.232  -0.081 1.069  0.075 0.987  0.186 0.802  0.220 0.585  0.220 0.354  0.220 0.123  0.111 -0.063  0.075 -0.279  -0.011 -0.474  -0.072 -0.680  -0.214 -0.852  -0.130 -0.883  0.033 -0.720  0.196 -0.556  0.360 -0.393  0.523 -0.230  0.653 -0.146  0.559 -0.338  0.509 -0.548  0.407 -0.677  0.408 -0.821  0.639 -0.821  0.870 -0.821  1.084 -0.750  1.278 -0.630  1.442 -0.466  1.520 -0.268  1.373 -0.099  1.142 -0.099  0.911 -0.099  0.714 -0.182  0.509 -0.244
2#app#app19#app1918/^  -0.984 -1.621  -0.984 -1.490  -0.984 -1.359  -0.984 -1.228  -0.984 -1.097  -0.886 -1.063  -0.798 -1.021  -0.798 -0.890  -0.714 -0.793  -0.621 -0.701  -0.612 -0.574  -0.612 -0.443  -0.606 -0.314  -0.513 -0.221  -0.426 -0.126  -0.426 0.005  -0.367 0.111  -0.274 0.204  -0.182 0.296  -0.089 0.389  -0.018 0.497  0.041 0.614  0.099 0.731  0.174 0.837  0.266 0.930  0.317 1.040  0.320 1.170  0.413 1.262  0.503 1.348  0.503 1.217  0.422 1.166  0.317 1.141  0.317 1.010  0.317 0.879  0.317 0.748  0.317 0.617  0.317 0.486  0.317 0.355  0.326 0.228  0.419 0.135  0.503 0.039  0.503 -0.092  0.566 -0.197  0.658 -0.290  0.688 -0.408  0.688 -0.539  0.688 -0.670  0.798 -0.692  0.874 -0.747  0.874 -0.878
2#app#app19#app1918/&  0.598 -1.291  0.474 -1.242  0.377 -1.166  0.349 -1.020  0.300 -0.868  0.225 -0.726  0.110 -0.668  0.073 -0.516  -0.024 -0.383  -0.084 -0.234  -0.149 -0.088  -0.241 0.047  -0.398 0.082  -0.398 0.255  -0.398 0.428  -0.398 0.601  -0.398 0.774  -0.398 0.947  -0.241 0.983  -0.149 1.117  -0.084 1.264  0.064 1.324  0.197 1.421  0.344 1.508  0.502 1.573  0.598 1.497  0.598 1.324  0.476 1.201  0.453 1.034  0.376 0.879  0.269 0.745  0.163 0.609  0.067 0.465  -0.030 0.322  -0.149 0.198  -0.149 0.025  -0.221 -0.118  -0.343 -0.240  -0.398 -0.391  -0.463 -0.549  -0.522 -0.708  -0.522 -0.881  -0.510 -1.042  -0.398 -1.102  -0.320 -1.243  -0.167 -1.291  0.006 -1.291  0.156 -1.235  0.301 -1.166  0.474 -1.166
2#app#app19#app1918/*  -1.211 0.190  -0.839 0.190  -0.626 0.031  -0.416 -0.132  -0.216 -0.329  0.060 -0.493  0.219 -0.707  0.489 -0.874  0.236 -0.886  -0.133 -0.839  -0.502 -0.793  -0.734 -0.903  -0.893 -1.048  -0.893 -0.676  -0.633 -0.504  -0.324 -0.353  -0.060 -0.090  0.203 0.173  0.531 0.346  0.855 0.396  0.914 0.489  0.548 0.420  0.182 0.352  -0.184 0.283  -0.550 0.214  -0.916 0.146  -1.282 0.077  -1.529 -0.090  -1.231 0.021  -0.861 0.031  -0.488 0.031  -0.116 0.031  0.199 -0.108  0.541 -0.103  0.598 0.265  0.654 0.633  0.711 1.001  0.768 1.369  0.824 1.737  0.855 1.770  0.698 1.463  0.696 1.091  0.537 0.785  0.537 0.412  0.537 0.040  0.506 -0.319  0.378 -0.639  0.378 -1.011  0.442 -1.368  0.537 -1.718
2#app#app19#app1918/(  0.682 0.951  0.682 1.035  0.663 1.099  0.579 1.099  0.534 1.138  0.534 1.222  0.476 1.247  0.392 1.247  0.331 1.192  0.272 1.133  0.238 1.063  0.238 0.979  0.183 0.951  0.099 0.951  0.090 0.876  0.083 0.795  0.023 0.736  -0.036 0.677  -0.058 0.602  -0.058 0.518  -0.058 0.435  -0.063 0.353  -0.123 0.294  -0.182 0.235  -0.206 0.161  -0.206 0.077  -0.237 0.001  -0.274 -0.074  -0.312 -0.149  -0.349 -0.224  -0.354 -0.307  -0.354 -0.390  -0.354 -0.474  -0.354 -0.558  -0.354 -0.642  -0.354 -0.725  -0.354 -0.809  -0.354 -0.893  -0.352 -0.976  -0.293 -1.035  -0.233 -1.094  -0.206 -1.166  -0.206 -1.250  -0.161 -1.315  -0.101 -1.374  -0.042 -1.434  0.017 -1.493  0.076 -1.552  0.154 -1.566  0.238 -1.566
2#app#app19#app1918/)  -0.955 1.159  -0.878 1.159  -0.801 1.159  -0.725 1.159  -0.648 1.159  -0.571 1.159  -0.495 1.159  -0.475 1.102  -0.475 1.025  -0.425 0.999  -0.348 0.999  -0.315 0.955  -0.315 0.879  -0.289 0.813  -0.235 0.759  -0.181 0.705  -0.126 0.650  -0.072 0.596  -0.018 0.542  0.036 0.488  0.090 0.434  0.145 0.379  0.165 0.311  0.165 0.235  0.165 0.158  0.165 0.081  0.180 0.008  0.215 -0.060  0.249 -0.129  0.283 -0.197  0.317 -0.266  0.325 -0.341  0.325 -0.417  0.325 -0.494  0.325 -0.571  0.325 -0.647  0.325 -0.724  0.325 -0.800  0.325 -0.877  0.325 -0.954  0.325 -1.030  0.325 -1.107  0.325 -1.184  0.325 -1.260  0.325 -1.337  0.325 -1.414  0.325 -1.490  0.325 -1.567  0.325 -1.643  0.325 -1.720
2#app#app19#app1918/`  -0.962 0.949  -0.962 0.859  -0.962 0.769  -0.962 0.680  -0.962 0.760  -0.962 0.850  -0.962 0.940  -0.881 0.949  -0.792 0.949  -0.702 0.949  -0.688 0.873  -0.688 0.783  -0.688 0.693  -0.617 0.675  -0.527 0.675  -0.437 0.675  -0.367 0.628  -0.304 0.564  -0.240 0.501  -0.177 0.437  -0.141 0.362  -0.141 0.272  -0.141 0.183  -0.106 0.127  -0.016 0.127  0.073 0.127  0.133 0.097  0.133 0.008  0.133 -0.082  0.144 -0.169  0.185 -0.249  0.225 -0.330  0.265 -0.410  0.305 -0.490  0.345 -0.571  0.385 -0.651  0.449 -0.694  0.538 -0.694  0.628 -0.694  0.707 -0.720  0.770 -0.784  0.834 -0.847  0.897 -0.911  0.954 -0.977  0.954 -1.067  0.954 -1.156  0.959 -1.242  1.049 -1.242  1.139 -1.242  1.228 -1.242
