1b#tos#f2#f2061066/D  -0.377 1.144  -0.445 0.977  -0.465 0.771  -0.524 0.572  -0.524 0.363  -0.524 0.154  -0.524 -0.055  -0.524 -0.263  -0.524 -0.472  -0.524 -0.681  -0.496 -0.885  -0.436 -1.071  -0.361 -1.253  -0.304 -1.278  -0.304 -1.069  -0.304 -0.861  -0.304 -0.652  -0.304 -0.443  -0.304 -0.234  -0.304 -0.026  -0.304 0.183  -0.304 0.392  -0.304 0.601  -0.304 0.810  -0.304 1.018  -0.424 1.104  -0.622 1.038  -0.441 1.049  -0.236 1.070  -0.027 1.070  0.182 1.070  0.376 1.005  0.558 0.905  0.747 0.834  0.939 0.777  1.061 0.654  1.126 0.465  1.126 0.256  1.126 0.047  1.059 -0.134  1.007 -0.323  0.912 -0.501  0.752 -0.634  0.577 -0.748  0.421 -0.872  0.306 -1.020  0.119 -1.110  -0.051 -1.203  -0.245 -1.265  -0.451 -1.277
1b#tos#f2#f2061066/E  -0.587 1.225  -0.812 1.076  -0.644 1.048  -0.368 0.982  -0.082 0.982  0.202 0.959  0.487 0.948  0.774 0.948  1.060 0.948  0.951 0.966  0.666 0.994  0.381 1.021  0.096 1.048  -0.189 1.075  -0.451 1.037  -0.622 0.829  -0.657 0.577  -0.657 0.290  -0.627 0.006  -0.622 -0.280  -0.560 -0.556  -0.518 -0.839  -0.435 -1.101  -0.310 -1.305  -0.349 -1.021  -0.387 -0.737  -0.426 -0.453  -0.465 -0.169  -0.504 0.115  -0.678 0.149  -0.499 0.014  -0.213 0.010  0.073 0.010  0.360 0.010  0.646 0.010  0.928 -0.030  1.098 -0.112  0.829 -0.211  0.560 -0.309  0.291 -0.408  0.022 -0.506  -0.247 -0.605  -0.321 -0.858  -0.433 -1.066  -0.175 -1.135  0.112 -1.135  0.398 -1.135  0.685 -1.135  0.969 -1.106  1.253 -1.066
1b#tos#f2#f2061066/G  0.165 1.204  0.165 1.134  0.023 1.274  -0.133 1.377  -0.311 1.427  -0.524 1.362  -0.682 1.210  -0.796 1.032  -0.944 0.870  -0.989 0.650  -1.027 0.429  -1.138 0.232  -1.138 0.004  -1.138 -0.224  -1.106 -0.449  -1.064 -0.639  -0.901 -0.773  -0.786 -0.966  -0.589 -1.067  -0.365 -1.103  -0.137 -1.105  0.084 -1.053  0.277 -0.955  0.391 -0.764  0.533 -0.587  0.574 -0.377  0.574 -0.149  0.487 0.032  0.295 0.155  0.104 0.279  -0.093 0.385  -0.245 0.309  -0.127 0.198  0.101 0.198  0.327 0.192  0.539 0.124  0.733 0.028  0.959 0.012  1.187 0.012  1.024 0.110  0.823 0.217  0.618 0.310  0.481 0.143  0.388 -0.031  0.436 -0.245  0.479 -0.460  0.537 -0.670  0.574 -0.894  0.632 -1.108  0.723 -1.291
1b#tos#f2#f2061066/J  0.049 0.400  0.062 0.341  -0.060 0.422  -0.182 0.503  -0.303 0.584  -0.425 0.665  -0.546 0.746  -0.681 0.783  -0.812 0.745  -0.861 0.742  -0.721 0.707  -0.576 0.686  -0.432 0.668  -0.286 0.668  -0.140 0.668  0.006 0.668  0.153 0.668  0.299 0.668  0.445 0.668  0.590 0.666  0.714 0.592  0.860 0.592  0.795 0.630  0.680 0.707  0.534 0.707  0.388 0.707  0.279 0.669  0.164 0.609  0.035 0.592  0.018 0.477  0.049 0.362  0.055 0.216  0.084 0.073  0.137 -0.058  0.164 -0.196  0.164 -0.342  0.164 -0.488  0.164 -0.634  0.164 -0.780  0.164 -0.927  0.164 -1.073  0.113 -1.202  0.031 -1.323  -0.034 -1.453  -0.066 -1.592  -0.103 -1.727  -0.193 -1.842  -0.286 -1.948  -0.421 -2.001  -0.564 -2.015
1b#tos#f2#f2061066/K  -0.801 1.693  -0.759 1.492  -0.759 1.273  -0.759 1.054  -0.759 0.835  -0.759 0.617  -0.759 0.398  -0.759 0.179  -0.754 -0.039  -0.718 -0.254  -0.718 -0.473  -0.718 -0.692  -0.707 -0.908  -0.676 -1.119  -0.676 -1.338  -0.543 -1.175  -0.408 -1.003  -0.272 -0.832  -0.136 -0.661  0.000 -0.489  0.136 -0.318  0.272 -0.146  0.408 0.025  0.543 0.196  0.679 0.368  0.815 0.539  0.951 0.711  1.097 0.861  1.033 0.737  0.814 0.737  0.630 0.653  0.446 0.570  0.227 0.570  0.033 0.489  -0.176 0.446  -0.378 0.365  -0.547 0.242  -0.646 0.071  -0.540 -0.005  -0.353 -0.095  -0.160 -0.178  0.037 -0.245  0.236 -0.303  0.419 -0.392  0.621 -0.475  0.811 -0.582  0.979 -0.702  1.172 -0.793  1.355 -0.896  1.528 -1.010
1b#tos#f2#f2061066/L  -0.141 1.812  -0.212 1.774  -0.254 1.679  -0.254 1.570  -0.254 1.462  -0.254 1.353  -0.254 1.245  -0.254 1.136  -0.277 1.037  -0.329 0.950  -0.329 0.842  -0.329 0.733  -0.329 0.625  -0.329 0.516  -0.329 0.407  -0.329 0.299  -0.329 0.190  -0.329 0.082  -0.329 -0.027  -0.329 -0.135  -0.329 -0.244  -0.329 -0.352  -0.344 -0.446  -0.394 -0.527  -0.429 -0.630  -0.442 -0.737  -0.518 -0.792  -0.546 -0.889  -0.570 -0.808  -0.593 -0.710  -0.493 -0.672  -0.384 -0.672  -0.278 -0.655  -0.173 -0.634  -0.065 -0.634  0.044 -0.634  0.145 -0.604  0.243 -0.559  0.352 -0.559  0.460 -0.559  0.569 -0.559  0.677 -0.559  0.786 -0.559  0.895 -0.559  1.003 -0.559  1.086 -0.498  1.189 -0.484  1.298 -0.484  1.406 -0.484  1.515 -0.484
1b#tos#f2#f2061066/M  -0.556 0.968  -0.651 0.819  -0.651 0.602  -0.651 0.384  -0.683 0.169  -0.683 -0.048  -0.683 -0.266  -0.651 -0.480  -0.651 -0.698  -0.651 -0.915  -0.556 -1.101  -0.524 -1.313  -0.493 -1.312  -0.496 -1.094  -0.499 -0.877  -0.502 -0.659  -0.505 -0.442  -0.508 -0.224  -0.511 -0.007  -0.514 0.211  -0.517 0.428  -0.519 0.646  -0.522 0.863  -0.635 0.984  -0.778 0.991  -0.648 0.839  -0.568 0.672  -0.442 0.504  -0.349 0.316  -0.225 0.156  -0.086 -0.011  0.046 -0.146  0.200 -0.210  0.338 -0.046  0.489 0.105  0.590 0.293  0.744 0.424  0.866 0.603  0.999 0.762  1.131 0.895  1.131 0.696  1.131 0.478  1.131 0.261  1.131 0.043  1.131 -0.174  1.131 -0.392  1.131 -0.610  1.131 -0.827  1.195 -1.030  1.258 -1.228
1b#tos#f2#f2061066/N  -0.538 1.162  -0.654 1.068  -0.711 0.908  -0.711 0.708  -0.711 0.508  -0.711 0.308  -0.711 0.108  -0.712 -0.092  -0.745 -0.289  -0.745 -0.489  -0.745 -0.689  -0.745 -0.889  -0.745 -1.089  -0.727 -1.022  -0.700 -0.824  -0.672 -0.626  -0.645 -0.427  -0.618 -0.229  -0.590 -0.031  -0.563 0.167  -0.536 0.365  -0.508 0.563  -0.481 0.762  -0.475 0.954  -0.606 1.023  -0.487 0.891  -0.378 0.738  -0.262 0.575  -0.134 0.424  0.013 0.292  0.118 0.126  0.266 -0.008  0.432 -0.120  0.534 -0.291  0.644 -0.449  0.796 -0.571  0.911 -0.735  1.057 -0.867  1.190 -1.015  1.260 -1.026  1.191 -0.847  1.191 -0.647  1.122 -0.476  1.078 -0.284  1.053 -0.089  1.024 0.107  0.992 0.304  0.922 0.489  0.892 0.686  0.880 0.885
1b#tos#f2#f2061066/P  -0.216 1.261  -0.249 1.067  -0.249 0.860  -0.249 0.652  -0.249 0.445  -0.249 0.238  -0.249 0.030  -0.292 -0.169  -0.316 -0.372  -0.316 -0.580  -0.316 -0.787  -0.316 -0.994  -0.316 -1.202  -0.316 -1.409  -0.316 -1.617  -0.183 -1.757  -0.118 -1.776  -0.130 -1.569  -0.142 -1.361  -0.154 -1.154  -0.166 -0.947  -0.178 -0.740  -0.190 -0.533  -0.202 -0.326  -0.214 -0.119  -0.226 0.088  -0.238 0.295  -0.250 0.503  -0.262 0.710  -0.274 0.917  -0.344 1.063  -0.518 1.096  -0.410 1.162  -0.202 1.162  0.005 1.162  0.213 1.162  0.415 1.120  0.575 1.014  0.768 0.945  0.902 0.812  1.008 0.661  0.997 0.454  0.975 0.249  0.920 0.075  0.740 -0.027  0.581 -0.159  0.406 -0.271  0.231 -0.382  0.030 -0.424  -0.150 -0.526
1b#tos#f2#f2061066/Q  -0.006 1.213  -0.219 1.213  -0.305 1.050  -0.460 0.930  -0.513 0.739  -0.612 0.553  -0.707 0.366  -0.786 0.169  -0.863 -0.029  -0.892 -0.236  -0.892 -0.449  -0.892 -0.662  -0.867 -0.872  -0.732 -1.021  -0.535 -1.093  -0.339 -1.150  -0.127 -1.150  0.086 -1.150  0.266 -1.042  0.425 -0.903  0.596 -0.777  0.746 -0.631  0.857 -0.450  0.886 -0.244  0.953 -0.043  0.953 0.170  0.953 0.382  0.881 0.581  0.853 0.791  0.746 0.966  0.611 1.122  0.440 1.213  0.227 1.213  0.026 1.171  -0.117 1.026  -0.221 0.867  -0.329 0.683  -0.436 0.500  -0.544 0.317  -0.659 0.179  -0.533 0.059  -0.379 -0.058  -0.232 -0.209  -0.065 -0.323  0.057 -0.497  0.225 -0.620  0.361 -0.779  0.531 -0.906  0.705 -1.028  0.880 -1.150
1b#tos#f2#f2061066/R  -0.568 1.249  -0.705 1.143  -0.520 1.178  -0.300 1.178  -0.080 1.178  0.140 1.178  0.361 1.178  0.581 1.178  0.780 1.108  0.950 1.004  0.937 0.786  0.844 0.640  0.688 0.498  0.518 0.360  0.331 0.261  0.144 0.160  -0.071 0.132  -0.289 0.119  -0.443 0.200  -0.486 0.416  -0.529 0.632  -0.591 0.825  -0.541 0.693  -0.519 0.480  -0.497 0.265  -0.497 0.045  -0.497 -0.176  -0.497 -0.396  -0.497 -0.616  -0.497 -0.836  -0.497 -1.056  -0.497 -1.276  -0.497 -1.497  -0.461 -1.368  -0.385 -1.161  -0.310 -0.954  -0.235 -0.748  -0.160 -0.541  -0.084 -0.334  -0.009 -0.127  0.066 0.080  0.085 -0.127  0.179 -0.324  0.292 -0.512  0.409 -0.681  0.568 -0.812  0.707 -0.979  0.863 -1.135  1.048 -1.253  1.267 -1.257
