1d#tos#f1#f1078063/\"  -0.823 0.582  -0.969 0.417  -1.194 0.301  -1.028 0.212  -0.773 0.212  -0.638 0.091  -0.638 -0.164  -0.692 -0.397  -0.823 -0.543  -0.823 -0.798  -0.823 -0.745  -0.916 -0.511  -1.096 -0.436  -1.194 -0.279  -1.286 -0.116  -1.082 -0.066  -0.827 -0.066  -0.983 0.027  -1.101 -0.110  -1.194 -0.273  -1.112 -0.395  -0.884 -0.281  -0.656 -0.167  -0.428 -0.053  -0.199 0.061  0.029 0.175  0.257 0.289  0.485 0.403  0.713 0.517  0.941 0.631  0.869 0.675  0.658 0.631  0.678 0.397  0.933 0.397  1.151 0.336  1.329 0.212  1.398 0.026  1.398 -0.229  1.305 -0.392  1.188 -0.529  0.971 -0.436  0.911 -0.227  0.750 -0.093  0.658 0.070  0.863 0.119  1.118 0.119  1.052 0.119  0.843 0.164  0.843 0.189  0.843 -0.066
1d#tos#f1#f1078063/#  -0.828 0.513  -1.122 0.319  -0.702 0.319  -0.284 0.341  0.131 0.383  0.535 0.448  0.955 0.448  0.826 0.386  0.459 0.181  0.093 -0.024  -0.274 -0.229  -0.651 -0.395  -1.019 -0.520  -0.765 -0.589  -0.345 -0.589  0.075 -0.589  0.469 -0.459  0.874 -0.358  1.112 -0.245  0.845 0.079  0.579 0.404  0.312 0.729  0.045 1.053  -0.221 1.378  -0.552 1.414  -0.569 1.034  -0.569 0.614  -0.569 0.194  -0.504 -0.218  -0.504 -0.638  -0.504 -1.058  -0.504 -1.478  -0.425 -1.366  -0.302 -0.965  -0.179 -0.563  -0.056 -0.161  0.067 0.240  0.190 0.642  0.313 1.044  0.436 1.445  0.209 1.499  0.274 1.144  0.274 0.724  0.274 0.304  0.283 -0.115  0.338 -0.530  0.338 -0.950  0.338 -1.370  0.338 -1.790  0.468 -2.080
1d#tos#f1#f1078063/%  1.256 1.286  0.962 1.286  0.860 1.053  0.716 0.806  0.566 0.552  0.472 0.277  0.305 0.036  0.173 -0.227  0.026 -0.477  -0.175 -0.682  -0.336 -0.928  -0.506 -1.168  -0.666 -1.382  -0.689 -1.522  -0.639 -1.232  -0.590 -0.942  -0.540 -0.652  -0.491 -0.362  -0.442 -0.072  -0.392 0.218  -0.343 0.508  -0.294 0.798  -0.397 0.960  -0.691 0.960  -0.919 0.893  -1.082 0.721  -1.136 0.439  -1.027 0.254  -0.788 0.199  -0.592 0.297  -0.484 0.483  -0.550 0.742  -0.736 0.842  -0.471 0.713  -0.207 0.585  0.058 0.457  0.323 0.328  0.588 0.200  0.853 0.071  0.975 -0.078  0.724 -0.229  0.521 -0.348  0.441 -0.581  0.441 -0.876  0.559 -1.052  0.853 -1.052  0.968 -0.851  1.001 -0.595  0.883 -0.366  0.658 -0.291
1d#tos#f1#f1078063/&  0.696 1.127  0.594 1.075  0.488 1.124  0.389 1.179  0.246 1.231  0.092 1.231  -0.063 1.231  -0.217 1.231  -0.369 1.218  -0.514 1.179  -0.597 1.080  -0.707 1.002  -0.707 0.847  -0.707 0.693  -0.707 0.538  -0.644 0.440  -0.534 0.331  -0.394 0.295  -0.240 0.295  -0.085 0.295  0.017 0.243  -0.031 0.144  -0.168 0.107  -0.306 0.054  -0.422 -0.019  -0.547 -0.068  -0.551 -0.218  -0.655 -0.330  -0.655 -0.485  -0.655 -0.639  -0.551 -0.690  -0.551 -0.844  -0.400 -0.848  -0.308 -0.943  -0.177 -1.004  -0.022 -1.004  0.121 -0.954  0.267 -0.904  0.411 -0.860  0.540 -0.795  0.540 -0.640  0.540 -0.486  0.592 -0.481  0.698 -0.592  0.747 -0.739  0.893 -0.775  0.992 -0.848  1.085 -0.963  1.216 -1.005  1.320 -1.056
1d#tos#f1#f1078063/+  -0.912 -0.072  -1.079 -0.098  -1.180 -0.248  -1.091 -0.298  -0.911 -0.298  -0.730 -0.298  -0.549 -0.298  -0.368 -0.298  -0.187 -0.298  -0.006 -0.298  0.175 -0.298  0.349 -0.269  0.519 -0.223  0.698 -0.212  0.869 -0.155  1.049 -0.148  1.230 -0.148  1.411 -0.148  1.420 -0.084  1.283 0.035  1.146 0.153  1.009 0.271  0.872 0.389  0.735 0.507  0.599 0.626  0.462 0.744  0.325 0.862  0.188 0.980  0.051 1.099  -0.086 1.217  -0.243 1.281  -0.412 1.230  -0.512 1.130  -0.461 1.049  -0.461 0.868  -0.416 0.695  -0.386 0.519  -0.386 0.338  -0.386 0.157  -0.386 -0.024  -0.386 -0.205  -0.377 -0.382  -0.310 -0.536  -0.310 -0.716  -0.310 -0.897  -0.310 -1.078  -0.310 -1.259  -0.310 -1.440  -0.310 -1.621  -0.310 -1.802
1d#tos#f1#f1078063/,  0.997 0.745  0.815 0.745  0.657 0.666  0.505 0.565  0.354 0.464  0.203 0.364  0.040 0.301  -0.142 0.301  -0.324 0.301  -0.335 0.472  -0.204 0.523  -0.022 0.523  0.160 0.523  0.321 0.518  0.159 0.437  -0.004 0.356  -0.113 0.361  -0.131 0.532  -0.294 0.613  -0.456 0.695  -0.557 0.814  -0.528 0.967  -0.346 0.967  -0.164 0.967  0.018 0.967  0.109 0.876  0.160 0.745  0.331 0.734  0.331 0.552  0.483 0.523  0.553 0.410  0.553 0.228  0.553 0.047  0.553 -0.135  0.553 -0.317  0.433 -0.425  0.270 -0.506  0.107 -0.587  -0.075 -0.587  -0.113 -0.730  -0.113 -0.912  -0.141 -1.087  -0.223 -1.250  -0.304 -1.413  -0.429 -1.537  -0.580 -1.638  -0.731 -1.739  -0.883 -1.840  -1.001 -1.958  -1.001 -2.140
1d#tos#f1#f1078063/.  1.263 0.012  1.263 -0.277  1.263 -0.567  1.202 -0.796  0.912 -0.796  0.623 -0.796  0.333 -0.796  0.043 -0.796  -0.247 -0.796  -0.536 -0.796  -0.767 -0.653  -0.893 -0.416  -0.893 -0.126  -0.893 0.164  -0.893 0.453  -0.734 0.658  -0.493 0.819  -0.252 0.979  0.004 1.091  0.294 1.091  0.584 1.091  0.830 0.985  0.993 0.763  0.993 0.473  0.993 0.183  0.993 -0.107  0.993 -0.396  0.993 -0.686  0.814 -0.796  0.524 -0.796  0.234 -0.796  -0.056 -0.796  -0.269 -0.612  -0.524 -0.527  -0.624 -0.337  -0.624 -0.047  -0.624 0.242  -0.624 0.532  -0.433 0.743  -0.175 0.821  0.114 0.821  0.185 0.602  0.185 0.312  -0.075 0.282  -0.362 0.275  -0.567 0.070  -0.833 0.012  -1.123 0.012  -1.412 0.012  -1.702 0.012
1d#tos#f1#f1078063/;  0.047 1.585  -0.021 1.498  -0.021 1.383  -0.136 1.382  -0.224 1.410  -0.216 1.518  -0.101 1.518  -0.021 1.482  -0.021 1.367  -0.084 1.315  -0.149 1.272  -0.132 1.158  -0.114 1.044  -0.097 0.930  -0.079 0.816  -0.062 0.702  -0.044 0.588  -0.027 0.474  -0.009 0.360  0.008 0.246  0.026 0.132  0.044 0.018  0.061 -0.096  0.079 -0.210  0.096 -0.324  0.114 -0.438  0.047 -0.485  0.047 -0.601  0.049 -0.715  0.066 -0.715  -0.050 -0.715  -0.156 -0.705  -0.156 -0.590  -0.051 -0.579  0.064 -0.579  0.115 -0.644  0.115 -0.759  0.022 -0.782  -0.021 -0.710  0.032 -0.647  0.115 -0.680  0.115 -0.795  0.115 -0.910  0.115 -1.026  0.115 -1.141  0.115 -1.256  0.115 -1.372  0.115 -1.487  0.061 -1.580  -0.021 -1.662
1d#tos#f1#f1078063/<  0.475 1.255  0.380 1.255  0.327 1.297  0.288 1.354  0.192 1.354  0.151 1.287  0.072 1.234  0.015 1.163  -0.015 1.073  -0.046 0.982  -0.083 0.895  -0.150 0.828  -0.227 0.770  -0.306 0.717  -0.319 0.628  -0.373 0.555  -0.450 0.510  -0.530 0.485  -0.576 0.402  -0.644 0.334  -0.712 0.266  -0.765 0.193  -0.716 0.147  -0.657 0.104  -0.616 0.026  -0.532 0.014  -0.446 -0.008  -0.378 -0.075  -0.310 -0.143  -0.243 -0.211  -0.167 -0.269  -0.088 -0.322  -0.037 -0.401  0.021 -0.475  0.083 -0.546  0.113 -0.637  0.169 -0.708  0.249 -0.761  0.277 -0.842  0.325 -0.912  0.405 -0.965  0.465 -1.037  0.518 -1.117  0.575 -1.190  0.575 -1.286  0.630 -1.326  0.711 -1.363  0.773 -1.432  0.773 -1.528  0.823 -1.574
1d#tos#f1#f1078063/=  -0.918 0.840  -1.029 0.739  -1.119 0.608  -0.996 0.608  -0.812 0.608  -0.627 0.608  -0.442 0.608  -0.258 0.608  -0.073 0.608  0.112 0.608  0.296 0.608  0.481 0.608  0.662 0.622  0.832 0.685  1.017 0.685  1.201 0.685  1.280 0.661  1.114 0.581  0.948 0.500  0.782 0.420  0.615 0.339  0.449 0.259  0.283 0.178  0.117 0.098  -0.049 0.018  -0.216 -0.063  -0.382 -0.143  -0.548 -0.224  -0.714 -0.304  -0.881 -0.385  -1.047 -0.465  -1.196 -0.555  -1.305 -0.631  -1.277 -0.788  -1.109 -0.747  -0.940 -0.710  -0.755 -0.710  -0.570 -0.710  -0.401 -0.646  -0.219 -0.633  -0.035 -0.633  0.150 -0.633  0.335 -0.633  0.507 -0.603  0.672 -0.555  0.856 -0.555  1.041 -0.555  1.226 -0.555  1.378 -0.478  1.563 -0.478
1d#tos#f1#f1078063/[  0.622 1.267  0.534 1.267  0.446 1.267  0.359 1.267  0.271 1.267  0.183 1.267  0.125 1.220  0.073 1.162  -0.014 1.160  -0.093 1.120  -0.178 1.109  -0.266 1.109  -0.220 1.081  -0.220 0.993  -0.220 0.906  -0.220 0.818  -0.220 0.730  -0.220 0.642  -0.220 0.555  -0.220 0.467  -0.220 0.379  -0.220 0.292  -0.220 0.204  -0.220 0.116  -0.220 0.028  -0.220 -0.059  -0.220 -0.147  -0.220 -0.235  -0.220 -0.323  -0.220 -0.410  -0.220 -0.498  -0.220 -0.586  -0.220 -0.673  -0.220 -0.761  -0.220 -0.849  -0.220 -0.937  -0.220 -1.024  -0.220 -1.112  -0.173 -1.153  -0.085 -1.153  0.003 -1.153  0.090 -1.153  0.178 -1.153  0.266 -1.153  0.353 -1.153  0.432 -1.190  0.516 -1.205  0.604 -1.205  0.692 -1.205  0.780 -1.205
