3#apa#apa09#app0988/[  0.345 1.042  0.434 1.042  0.505 0.998  0.569 0.935  0.655 0.926  0.643 0.926  0.554 0.934  0.469 0.962  0.385 0.990  0.300 1.019  0.214 1.042  0.124 1.042  0.035 1.042  -0.055 1.042  -0.145 1.042  -0.234 1.042  -0.237 0.955  -0.237 0.866  -0.237 0.776  -0.237 0.687  -0.237 0.597  -0.237 0.508  -0.237 0.418  -0.237 0.328  -0.237 0.239  -0.237 0.149  -0.237 0.060  -0.237 -0.030  -0.237 -0.119  -0.237 -0.209  -0.237 -0.299  -0.237 -0.388  -0.234 -0.477  -0.206 -0.562  -0.178 -0.647  -0.149 -0.732  -0.121 -0.817  -0.121 -0.907  -0.121 -0.996  -0.121 -1.086  -0.121 -1.176  -0.121 -1.265  -0.121 -1.355  -0.121 -1.444  -0.103 -1.517  -0.014 -1.517  0.076 -1.517  0.166 -1.517  0.255 -1.517  0.345 -1.517
3#apa#apa09#app0988/O  -0.045 0.333  -0.180 0.401  -0.315 0.468  -0.450 0.535  -0.585 0.475  -0.719 0.407  -0.854 0.340  -0.867 0.197  -0.867 0.046  -0.867 -0.104  -0.867 -0.255  -0.867 -0.406  -0.846 -0.553  -0.798 -0.696  -0.751 -0.839  -0.703 -0.982  -0.641 -1.106  -0.490 -1.106  -0.339 -1.106  -0.189 -1.106  -0.038 -1.106  0.113 -1.106  0.233 -1.033  0.340 -0.926  0.461 -0.837  0.586 -0.753  0.712 -0.670  0.837 -0.586  0.963 -0.502  0.983 -0.362  0.983 -0.212  0.983 -0.061  0.983 0.090  0.983 0.241  0.983 0.391  0.983 0.542  0.983 0.693  0.888 0.776  0.745 0.823  0.602 0.871  0.459 0.919  0.314 0.950  0.163 0.950  0.012 0.950  -0.136 0.927  -0.282 0.891  -0.429 0.854  -0.575 0.817  -0.721 0.781  -0.867 0.744
3#apa#apa09#app0988/R  -0.473 0.259  -0.473 0.402  -0.473 0.210  -0.473 0.019  -0.473 -0.173  -0.473 -0.365  -0.473 -0.556  -0.473 -0.748  -0.473 -0.940  -0.473 -1.131  -0.473 -1.172  -0.485 -0.981  -0.509 -0.791  -0.533 -0.601  -0.557 -0.411  -0.580 -0.221  -0.604 -0.030  -0.628 0.160  -0.669 0.346  -0.730 0.528  -0.790 0.710  -0.808 0.898  -0.663 1.001  -0.492 1.086  -0.305 1.129  -0.118 1.167  0.070 1.205  0.258 1.242  0.448 1.263  0.628 1.215  0.800 1.129  0.866 0.979  0.866 0.787  0.792 0.613  0.706 0.441  0.621 0.270  0.535 0.099  0.402 -0.038  0.240 -0.138  0.069 -0.224  0.029 -0.391  0.033 -0.580  0.205 -0.666  0.374 -0.755  0.509 -0.891  0.687 -0.952  0.873 -0.998  1.059 -1.045  1.233 -1.112  1.368 -1.248
3#apa#apa09#app0988/E  -0.266 0.176  -0.355 -0.090  -0.444 -0.357  -0.457 -0.636  -0.556 -0.876  -0.647 -0.815  -0.647 -0.534  -0.711 -0.268  -0.837 -0.017  -0.838 0.264  -0.838 0.545  -0.838 0.826  -0.687 1.013  -0.433 1.128  -0.158 1.165  0.108 1.253  0.379 1.319  0.660 1.319  0.940 1.319  1.176 1.210  1.119 1.036  0.886 0.881  0.652 0.725  0.418 0.569  0.184 0.413  -0.049 0.257  -0.283 0.101  -0.529 -0.014  -0.485 -0.014  -0.204 -0.014  0.077 -0.014  0.345 0.063  0.612 0.151  0.889 0.176  0.979 0.123  0.738 -0.021  0.497 -0.166  0.256 -0.310  0.015 -0.455  -0.226 -0.600  -0.467 -0.744  -0.707 -0.889  -0.838 -1.096  -0.619 -1.157  -0.338 -1.157  -0.057 -1.157  0.224 -1.157  0.505 -1.157  0.786 -1.157  1.067 -1.157
3#apa#apa09#app0988/L  0.260 1.483  0.260 1.575  0.260 1.666  0.260 1.617  0.260 1.526  0.260 1.434  0.260 1.343  0.260 1.251  0.260 1.160  0.256 1.070  0.205 0.994  0.154 0.918  0.104 0.842  0.053 0.765  0.002 0.689  -0.048 0.613  -0.099 0.537  -0.149 0.461  -0.171 0.372  -0.193 0.284  -0.215 0.195  -0.238 0.106  -0.260 0.017  -0.282 -0.071  -0.304 -0.160  -0.326 -0.249  -0.348 -0.337  -0.386 -0.420  -0.427 -0.502  -0.468 -0.584  -0.509 -0.665  -0.550 -0.747  -0.556 -0.837  -0.556 -0.928  -0.500 -0.964  -0.408 -0.964  -0.317 -0.964  -0.225 -0.964  -0.134 -0.964  -0.043 -0.964  0.049 -0.964  0.140 -0.964  0.232 -0.964  0.323 -0.964  0.414 -0.964  0.506 -0.964  0.597 -0.964  0.689 -0.964  0.780 -0.964  0.871 -0.964
3#apa#apa09#app0988/S  0.906 0.723  0.851 0.834  0.795 0.945  0.739 1.056  0.646 1.106  0.521 1.106  0.397 1.106  0.273 1.106  0.148 1.106  0.024 1.106  -0.100 1.106  -0.225 1.106  -0.318 1.032  -0.406 0.944  -0.494 0.856  -0.582 0.768  -0.627 0.662  -0.627 0.538  -0.510 0.531  -0.400 0.496  -0.312 0.408  -0.224 0.320  -0.137 0.232  -0.049 0.144  0.039 0.056  0.127 -0.032  0.215 -0.120  0.303 -0.208  0.391 -0.296  0.479 -0.384  0.567 -0.472  0.655 -0.559  0.697 -0.655  0.641 -0.766  0.585 -0.877  0.530 -0.988  0.414 -1.002  0.290 -1.002  0.165 -1.002  0.041 -1.002  -0.083 -1.002  -0.208 -1.002  -0.332 -1.002  -0.456 -1.002  -0.581 -1.002  -0.705 -1.002  -0.829 -1.002  -0.954 -1.002  -1.078 -1.002  -1.202 -1.002
3#apa#apa09#app0988/E  -0.711 -0.098  -0.522 -0.152  -0.522 -0.395  -0.522 -0.638  -0.522 -0.881  -0.578 -0.988  -0.711 -0.800  -0.732 -0.559  -0.780 -0.321  -0.828 -0.083  -0.875 0.155  -0.900 0.396  -0.900 0.639  -0.877 0.872  -0.703 1.040  -0.472 1.117  -0.242 1.194  -0.011 1.271  0.219 1.347  0.451 1.416  0.694 1.416  0.803 1.281  0.682 1.082  0.527 0.895  0.371 0.709  0.216 0.522  0.060 0.336  -0.095 0.149  0.024 0.091  0.267 0.091  0.510 0.091  0.753 0.091  0.996 0.091  1.128 0.068  0.906 -0.031  0.684 -0.130  0.462 -0.228  0.240 -0.327  0.018 -0.426  -0.204 -0.524  -0.426 -0.623  -0.522 -0.804  -0.520 -1.044  -0.277 -1.044  -0.034 -1.044  0.209 -1.044  0.452 -1.044  0.695 -1.044  0.938 -1.044  1.181 -1.044
3#apa#apa09#app0988/{  0.118 0.897  0.118 1.027  0.118 1.157  0.169 1.237  0.279 1.285  0.345 1.388  0.345 1.409  0.275 1.333  0.148 1.301  0.022 1.269  -0.105 1.238  -0.198 1.148  -0.290 1.056  -0.382 0.963  -0.485 0.897  -0.546 0.846  -0.504 0.723  -0.463 0.599  -0.388 0.496  -0.296 0.404  -0.198 0.322  -0.074 0.280  0.049 0.239  0.150 0.168  0.222 0.060  0.295 -0.049  0.345 -0.164  0.345 -0.295  0.292 -0.403  0.200 -0.495  0.104 -0.582  -0.020 -0.623  -0.143 -0.664  -0.264 -0.712  -0.381 -0.770  -0.395 -0.804  -0.264 -0.804  -0.134 -0.804  -0.004 -0.804  0.091 -0.890  0.089 -1.005  0.047 -1.128  0.006 -1.252  -0.109 -1.269  -0.080 -1.371  0.050 -1.371  0.180 -1.371  0.311 -1.371  0.441 -1.371  0.571 -1.371
3#apa#apa09#app0988/y  -0.505 1.313  -0.606 1.212  -0.661 1.092  -0.661 0.948  -0.661 0.805  -0.661 0.662  -0.661 0.519  -0.660 0.377  -0.532 0.441  -0.404 0.505  -0.291 0.590  -0.190 0.691  -0.089 0.792  0.012 0.894  0.113 0.995  0.214 1.096  0.332 1.157  0.451 1.118  0.515 0.990  0.579 0.862  0.612 0.723  0.640 0.583  0.668 0.443  0.696 0.302  0.724 0.162  0.744 0.021  0.744 -0.122  0.744 -0.265  0.742 -0.408  0.697 -0.544  0.652 -0.679  0.606 -0.815  0.521 -0.922  0.406 -1.008  0.292 -1.094  0.177 -1.179  0.063 -1.265  -0.055 -1.340  -0.198 -1.340  -0.341 -1.340  -0.445 -1.244  -0.531 -1.132  -0.595 -1.004  -0.659 -0.876  -0.599 -0.748  -0.535 -0.620  -0.471 -0.492  -0.407 -0.364  -0.336 -0.247  -0.193 -0.247
3#apa#apa09#app0988/o  -0.313 0.269  -0.415 0.371  -0.517 0.472  -0.618 0.574  -0.758 0.585  -0.902 0.585  -0.946 0.485  -0.946 0.342  -0.946 0.198  -0.946 0.054  -0.946 -0.090  -0.946 -0.234  -0.939 -0.377  -0.875 -0.505  -0.811 -0.634  -0.746 -0.763  -0.682 -0.891  -0.603 -0.997  -0.459 -0.997  -0.315 -0.997  -0.171 -0.997  -0.027 -0.997  0.117 -0.997  0.260 -0.997  0.380 -0.937  0.481 -0.835  0.583 -0.733  0.685 -0.631  0.787 -0.530  0.888 -0.428  0.976 -0.316  1.041 -0.187  1.105 -0.059  1.169 0.070  1.234 0.199  1.222 0.315  1.120 0.417  1.019 0.519  0.905 0.601  0.768 0.647  0.632 0.692  0.495 0.738  0.359 0.783  0.222 0.829  0.086 0.874  -0.054 0.902  -0.198 0.902  -0.342 0.902  -0.485 0.902  -0.629 0.902
3#apa#apa09#app0988/u  -0.417 0.343  -0.500 0.427  -0.584 0.511  -0.667 0.594  -0.751 0.625  -0.835 0.541  -0.918 0.458  -1.002 0.374  -1.032 0.268  -1.032 0.150  -1.032 0.032  -1.032 -0.086  -1.032 -0.205  -0.997 -0.308  -0.913 -0.392  -0.829 -0.475  -0.746 -0.559  -0.662 -0.642  -0.579 -0.726  -0.495 -0.810  -0.409 -0.888  -0.291 -0.888  -0.173 -0.888  -0.054 -0.888  0.064 -0.888  0.182 -0.888  0.300 -0.888  0.419 -0.888  0.516 -0.860  0.554 -0.748  0.591 -0.635  0.629 -0.523  0.666 -0.411  0.703 -0.299  0.741 -0.187  0.778 -0.074  0.815 0.038  0.815 0.156  0.815 0.274  0.815 0.393  0.815 0.511  0.815 0.629  0.815 0.747  0.815 0.865  0.815 0.984  0.815 1.102  0.815 1.220  0.743 1.267  0.625 1.267  0.507 1.267
