1b#tos#f3#f3042066/A  -1.187 -1.077  -1.234 -1.189  -1.149 -1.060  -1.079 -0.862  -1.000 -0.702  -0.926 -0.519  -0.807 -0.341  -0.711 -0.154  -0.597 0.021  -0.506 0.211  -0.378 0.382  -0.259 0.559  -0.108 0.710  -0.018 0.899  0.077 1.090  0.198 1.266  0.306 1.446  0.343 1.652  0.455 1.667  0.481 1.457  0.493 1.245  0.493 1.031  0.558 0.835  0.567 0.622  0.605 0.414  0.625 0.204  0.646 -0.007  0.679 -0.216  0.717 -0.424  0.737 -0.633  0.791 -0.837  0.828 -1.042  0.882 -1.056  0.734 -0.925  0.549 -0.816  0.365 -0.707  0.181 -0.599  -0.004 -0.490  -0.188 -0.381  -0.373 -0.272  -0.557 -0.164  -0.764 -0.161  -0.800 -0.182  -0.586 -0.182  -0.371 -0.182  -0.160 -0.158  0.052 -0.142  0.257 -0.094  0.465 -0.070  0.679 -0.070
1b#tos#f3#f3042066/C  0.770 0.907  0.664 0.893  0.664 0.773  0.664 0.652  0.664 0.576  0.628 0.660  0.523 0.695  0.446 0.766  0.382 0.822  0.305 0.907  0.185 0.907  0.068 0.923  -0.047 0.943  -0.168 0.943  -0.268 0.883  -0.378 0.855  -0.452 0.761  -0.547 0.699  -0.655 0.649  -0.727 0.553  -0.821 0.483  -0.862 0.371  -0.891 0.263  -0.932 0.159  -0.962 0.051  -0.962 -0.069  -0.962 -0.189  -0.962 -0.310  -0.879 -0.386  -0.809 -0.479  -0.714 -0.549  -0.659 -0.624  -0.541 -0.647  -0.441 -0.713  -0.325 -0.745  -0.209 -0.775  -0.091 -0.801  0.027 -0.825  0.141 -0.860  0.262 -0.860  0.382 -0.860  0.502 -0.860  0.623 -0.860  0.743 -0.860  0.863 -0.860  0.984 -0.860  1.104 -0.860  1.216 -0.825  1.255 -0.729  1.195 -0.684
1b#tos#f3#f3042066/F  -0.326 0.893  -0.515 0.893  -0.497 0.893  -0.308 0.893  -0.119 0.893  0.070 0.893  0.259 0.893  0.444 0.906  0.627 0.932  0.816 0.932  1.005 0.932  0.935 0.969  0.747 0.955  0.558 0.942  0.370 0.929  0.182 0.915  -0.007 0.902  -0.188 0.874  -0.263 0.707  -0.287 0.524  -0.287 0.335  -0.287 0.146  -0.350 -0.024  -0.365 -0.208  -0.365 -0.397  -0.420 -0.575  -0.444 -0.760  -0.444 -0.948  -0.497 -1.127  -0.561 -1.296  -0.561 -1.485  -0.582 -1.654  -0.631 -1.524  -0.600 -1.337  -0.569 -1.151  -0.538 -0.965  -0.507 -0.778  -0.476 -0.592  -0.445 -0.406  -0.417 -0.400  -0.228 -0.400  -0.042 -0.375  0.142 -0.332  0.330 -0.322  0.486 -0.243  0.675 -0.243  0.848 -0.192  1.029 -0.165  1.209 -0.126  1.397 -0.126
1b#tos#f3#f3042066/G  0.793 1.299  0.717 1.420  0.561 1.460  0.375 1.411  0.192 1.340  0.015 1.255  -0.159 1.182  -0.287 1.034  -0.429 0.902  -0.570 0.770  -0.736 0.664  -0.867 0.529  -0.959 0.367  -1.109 0.241  -1.237 0.093  -1.257 -0.099  -1.297 -0.286  -1.274 -0.478  -1.150 -0.604  -0.959 -0.631  -0.762 -0.631  -0.569 -0.662  -0.374 -0.671  -0.177 -0.671  0.020 -0.671  0.209 -0.652  0.364 -0.551  0.561 -0.551  0.750 -0.548  0.597 -0.424  0.444 -0.300  0.291 -0.176  0.138 -0.052  -0.015 0.072  -0.190 0.133  -0.036 0.133  0.161 0.133  0.358 0.133  0.554 0.133  0.751 0.133  0.948 0.133  0.954 -0.058  0.892 -0.233  0.753 -0.361  0.668 -0.524  0.630 -0.713  0.512 -0.847  0.447 -1.017  0.407 -1.202  0.351 -1.355
1b#tos#f3#f3042066/H  -0.724 1.039  -0.766 1.198  -0.628 1.222  -0.599 1.027  -0.599 0.826  -0.599 0.624  -0.599 0.423  -0.625 0.225  -0.692 0.035  -0.760 -0.154  -0.766 -0.355  -0.833 -0.542  -0.891 -0.726  -0.891 -0.927  -0.974 -1.044  -0.966 -0.843  -0.957 -0.641  -0.947 -0.440  -0.938 -0.239  -1.019 -0.134  -0.942 -0.211  -0.740 -0.211  -0.552 -0.143  -0.353 -0.128  -0.152 -0.128  0.049 -0.128  0.251 -0.128  0.452 -0.128  0.651 -0.107  0.850 -0.086  0.917 -0.086  0.867 0.057  0.883 0.258  0.900 0.459  0.916 0.660  0.932 0.860  0.943 1.061  0.859 0.981  0.859 0.779  0.859 0.578  0.859 0.377  0.859 0.175  0.818 -0.020  0.818 -0.221  0.777 -0.418  0.693 -0.599  0.671 -0.796  0.609 -0.975  0.609 -1.177  0.609 -1.128
1b#tos#f3#f3042066/I  0.026 1.164  -0.081 1.123  -0.198 1.105  -0.295 1.041  -0.188 1.041  -0.064 1.041  0.060 1.041  0.184 1.041  0.309 1.041  0.429 1.065  0.550 1.082  0.674 1.082  0.588 1.041  0.464 1.041  0.381 1.000  0.314 0.943  0.215 0.917  0.091 0.917  0.013 0.864  -0.053 0.760  -0.057 0.637  -0.098 0.530  -0.098 0.406  -0.098 0.282  -0.098 0.158  -0.085 0.039  -0.057 -0.074  -0.019 -0.189  -0.015 -0.312  -0.015 -0.436  -0.015 -0.560  -0.015 -0.685  -0.015 -0.809  -0.086 -0.889  -0.098 -1.006  -0.124 -1.114  -0.241 -1.143  -0.365 -1.143  -0.489 -1.143  -0.613 -1.143  -0.629 -1.184  -0.505 -1.184  -0.380 -1.184  -0.256 -1.184  -0.132 -1.184  -0.008 -1.184  0.116 -1.184  0.240 -1.184  0.355 -1.143  0.479 -1.143
1b#tos#f3#f3042066/J  -0.793 0.455  -0.940 0.455  -1.086 0.455  -1.014 0.509  -0.874 0.524  -0.736 0.570  -0.600 0.622  -0.458 0.659  -0.316 0.694  -0.174 0.730  -0.034 0.773  0.096 0.830  0.227 0.866  0.368 0.899  0.510 0.935  0.656 0.935  0.776 1.010  0.914 1.038  0.782 1.038  0.684 0.960  0.545 0.935  0.441 0.832  0.325 0.757  0.219 0.695  0.201 0.567  0.235 0.435  0.243 0.289  0.270 0.146  0.294 0.004  0.304 -0.141  0.304 -0.287  0.304 -0.434  0.317 -0.578  0.357 -0.718  0.373 -0.863  0.373 -1.009  0.373 -1.155  0.318 -1.279  0.270 -1.385  0.135 -1.397  -0.012 -1.397  -0.142 -1.360  -0.250 -1.318  -0.346 -1.225  -0.474 -1.164  -0.519 -1.032  -0.613 -0.934  -0.622 -0.790  -0.622 -0.643  -0.588 -0.505
1b#tos#f3#f3042066/M  -0.731 -1.060  -0.806 -1.176  -0.820 -1.311  -0.781 -1.172  -0.767 -1.015  -0.767 -0.856  -0.767 -0.698  -0.767 -0.539  -0.767 -0.380  -0.767 -0.221  -0.803 -0.068  -0.803 0.091  -0.803 0.250  -0.839 0.403  -0.839 0.562  -0.839 0.720  -0.839 0.879  -0.831 0.932  -0.772 0.785  -0.708 0.645  -0.675 0.498  -0.588 0.369  -0.562 0.216  -0.450 0.114  -0.338 0.017  -0.209 -0.056  -0.086 -0.091  0.073 -0.091  0.220 -0.055  0.356 0.027  0.482 0.121  0.583 0.235  0.703 0.339  0.749 0.469  0.847 0.568  0.918 0.655  0.924 0.811  0.990 0.883  0.990 0.724  0.990 0.565  0.990 0.406  0.990 0.247  0.990 0.088  0.990 -0.071  0.990 -0.229  0.990 -0.388  0.990 -0.547  0.990 -0.706  0.990 -0.865  0.990 -1.024
1b#tos#f3#f3042066/Q  0.283 -0.622  0.148 -0.690  -0.056 -0.690  -0.260 -0.690  -0.464 -0.690  -0.668 -0.690  -0.832 -0.622  -0.998 -0.518  -1.117 -0.373  -1.117 -0.169  -1.115 0.034  -1.033 0.214  -0.980 0.396  -0.841 0.542  -0.697 0.686  -0.537 0.812  -0.377 0.938  -0.201 1.035  -0.034 1.143  0.153 1.225  0.347 1.283  0.549 1.297  0.750 1.325  0.951 1.315  1.067 1.157  1.137 0.982  1.137 0.778  1.119 0.580  1.027 0.399  0.964 0.211  0.830 0.060  0.744 -0.099  0.632 -0.266  0.500 -0.411  0.354 -0.536  0.177 -0.626  -0.009 -0.690  -0.185 -0.759  -0.389 -0.759  -0.555 -0.687  -0.605 -0.520  -0.523 -0.370  -0.371 -0.281  -0.167 -0.281  0.010 -0.328  0.078 -0.489  0.190 -0.641  0.267 -0.829  0.328 -1.019  0.386 -1.066
1b#tos#f3#f3042066/R  0.123 1.263  0.077 1.160  0.046 0.923  -0.067 0.722  -0.123 0.489  -0.212 0.266  -0.294 0.041  -0.354 -0.190  -0.461 -0.405  -0.492 -0.637  -0.560 -0.856  -0.605 -1.089  -0.605 -1.329  -0.605 -1.182  -0.583 -0.943  -0.550 -0.705  -0.516 -0.468  -0.483 -0.230  -0.450 0.008  -0.416 0.246  -0.383 0.484  -0.350 0.722  -0.316 0.960  -0.287 1.198  -0.287 1.438  -0.054 1.445  0.186 1.445  0.378 1.327  0.552 1.208  0.728 1.053  0.760 0.820  0.760 0.580  0.727 0.345  0.631 0.134  0.442 -0.010  0.301 -0.147  0.071 -0.193  -0.169 -0.193  -0.390 -0.147  -0.405 -0.074  -0.267 -0.193  -0.150 -0.379  -0.001 -0.550  0.183 -0.704  0.360 -0.859  0.486 -1.056  0.669 -1.209  0.846 -1.370  0.985 -1.512  1.124 -1.649
1b#tos#f3#f3042066/T  -1.309 0.275  -1.330 0.285  -1.203 0.311  -1.074 0.316  -0.953 0.360  -0.837 0.417  -0.709 0.424  -0.583 0.445  -0.463 0.494  -0.334 0.499  -0.208 0.522  -0.081 0.548  0.047 0.569  0.169 0.612  0.292 0.648  0.421 0.648  0.547 0.669  0.672 0.705  0.799 0.723  0.929 0.723  1.044 0.772  0.998 0.798  0.875 0.769  0.783 0.696  0.683 0.625  0.562 0.580  0.440 0.536  0.319 0.491  0.197 0.446  0.075 0.401  -0.002 0.411  -0.002 0.282  -0.002 0.152  -0.002 0.023  -0.002 -0.107  -0.002 -0.237  -0.002 -0.366  -0.016 -0.494  -0.039 -0.621  -0.039 -0.750  -0.039 -0.880  -0.039 -1.010  -0.047 -1.138  -0.077 -1.264  -0.077 -1.394  -0.077 -1.523  -0.077 -1.653  -0.077 -1.783  -0.077 -1.912  -0.077 -2.042
