2#app#app19#app1937/@  -0.157 -0.363  -0.209 -0.241  -0.280 -0.345  -0.280 -0.519  -0.219 -0.668  -0.070 -0.730  0.104 -0.730  0.278 -0.730  0.452 -0.730  0.575 -0.608  0.698 -0.484  0.822 -0.361  0.942 -0.237  0.942 -0.063  0.942 0.111  0.942 0.285  0.942 0.459  0.942 0.634  0.942 0.808  0.819 0.860  0.765 0.980  0.697 1.086  0.575 1.138  0.487 1.224  0.313 1.224  0.139 1.224  -0.035 1.224  -0.158 1.102  -0.280 1.049  -0.354 0.906  -0.477 0.782  -0.600 0.659  -0.646 0.504  -0.760 0.377  -0.883 0.254  -0.920 0.095  -1.012 -0.040  -1.012 -0.214  -1.012 -0.388  -1.012 -0.563  -0.955 -0.723  -0.869 -0.873  -0.737 -0.974  -0.563 -0.974  -0.389 -0.974  -0.214 -0.974  -0.053 -0.922  0.105 -0.852  0.279 -0.852  0.453 -0.852
2#app#app19#app1937/1  0.296 1.644  0.264 1.582  0.233 1.519  0.202 1.457  0.171 1.394  0.139 1.332  0.108 1.269  0.077 1.206  0.045 1.144  0.014 1.081  -0.017 1.019  -0.039 0.954  -0.039 0.884  -0.039 0.814  -0.039 0.744  -0.039 0.674  -0.039 0.604  -0.039 0.534  -0.039 0.464  -0.039 0.394  -0.039 0.324  -0.039 0.254  -0.039 0.184  -0.039 0.114  -0.039 0.044  -0.039 -0.026  -0.039 -0.096  -0.039 -0.166  -0.039 -0.236  -0.039 -0.306  -0.039 -0.376  -0.039 -0.446  -0.039 -0.515  -0.039 -0.585  -0.039 -0.655  -0.039 -0.725  -0.039 -0.795  -0.039 -0.865  -0.039 -0.935  -0.039 -1.005  -0.039 -1.075  -0.039 -1.145  -0.039 -1.215  -0.039 -1.285  -0.039 -1.355  -0.039 -1.425  -0.039 -1.495  -0.039 -1.565  -0.039 -1.635  -0.039 -1.705
2#app#app19#app1937/2  -0.926 1.310  -0.802 1.310  -0.678 1.310  -0.555 1.310  -0.431 1.310  -0.307 1.310  -0.218 1.228  -0.130 1.140  -0.022 1.102  0.101 1.102  0.117 0.993  0.140 0.893  0.264 0.893  0.388 0.893  0.511 0.893  0.534 0.792  0.534 0.668  0.534 0.544  0.534 0.421  0.534 0.297  0.467 0.201  0.380 0.113  0.279 0.059  0.155 0.059  0.056 -0.002  -0.031 -0.089  -0.092 -0.188  -0.092 -0.312  -0.146 -0.413  -0.234 -0.500  -0.321 -0.588  -0.409 -0.675  -0.496 -0.763  -0.509 -0.881  -0.530 -0.984  -0.654 -0.984  -0.657 -0.984  -0.534 -0.984  -0.410 -0.984  -0.286 -0.984  -0.163 -0.984  -0.039 -0.984  0.085 -0.984  0.209 -0.984  0.332 -0.984  0.456 -0.984  0.580 -0.984  0.704 -0.984  0.827 -0.984  0.951 -0.984
2#app#app19#app1937/:  -0.188 1.708  -0.188 1.637  -0.188 1.566  -0.188 1.495  -0.188 1.424  -0.188 1.353  -0.188 1.282  -0.188 1.211  -0.188 1.140  -0.186 1.069  -0.174 0.999  -0.163 0.929  -0.151 0.859  -0.139 0.789  -0.128 0.719  -0.116 0.649  -0.104 0.579  -0.093 0.509  -0.081 0.439  -0.069 0.369  -0.058 0.299  -0.046 0.229  -0.034 0.159  -0.023 0.089  -0.011 0.019  0.001 -0.051  0.012 -0.121  0.024 -0.191  0.036 -0.261  0.047 -0.331  0.059 -0.401  0.071 -0.471  0.082 -0.541  0.094 -0.611  0.106 -0.681  0.117 -0.751  0.126 -0.822  0.126 -0.893  0.126 -0.964  0.126 -1.035  0.126 -1.106  0.126 -1.177  0.126 -1.247  0.126 -1.318  0.126 -1.389  0.156 -1.431  0.227 -1.431  0.298 -1.431  0.369 -1.431  0.440 -1.431
2#app#app19#app1937/3  -1.241 0.973  -1.141 1.073  -1.038 1.165  -0.897 1.165  -0.755 1.165  -0.614 1.165  -0.473 1.165  -0.332 1.165  -0.217 1.100  -0.117 1.000  0.013 0.973  0.102 0.921  0.102 0.780  0.102 0.639  0.037 0.524  -0.063 0.424  -0.193 0.397  -0.282 0.345  -0.283 0.205  -0.424 0.205  -0.474 0.113  -0.515 0.014  -0.656 0.014  -0.533 0.014  -0.392 0.014  -0.251 0.014  -0.110 0.014  0.032 0.014  0.173 0.014  0.314 0.014  0.455 0.014  0.486 -0.097  0.546 -0.178  0.685 -0.185  0.784 -0.285  0.870 -0.391  0.870 -0.532  0.870 -0.673  0.827 -0.797  0.727 -0.897  0.678 -1.018  0.656 -1.138  0.515 -1.138  0.374 -1.138  0.294 -1.199  0.283 -1.330  0.142 -1.330  0.102 -1.431  0.051 -1.521  -0.090 -1.521
2#app#app19#app1937/4  -1.262 0.499  -1.262 0.345  -1.340 0.270  -1.489 0.268  -1.380 0.159  -1.271 0.050  -1.162 -0.059  -1.053 -0.168  -0.908 -0.189  -0.768 -0.224  -0.659 -0.333  -0.540 -0.418  -0.386 -0.418  -0.232 -0.418  -0.078 -0.418  0.076 -0.418  0.143 -0.307  0.180 -0.157  0.217 -0.008  0.255 0.142  0.292 0.291  0.330 0.441  0.367 0.590  0.404 0.740  0.442 0.889  0.479 1.038  0.516 1.188  0.554 1.337  0.574 1.345  0.574 1.191  0.574 1.037  0.574 0.883  0.574 0.729  0.574 0.575  0.574 0.421  0.572 0.268  0.463 0.159  0.354 0.050  0.344 -0.100  0.344 -0.254  0.344 -0.408  0.344 -0.562  0.344 -0.716  0.344 -0.871  0.344 -1.025  0.344 -1.179  0.344 -1.333  0.344 -1.487  0.344 -1.641  0.344 -1.795
2#app#app19#app1937/:  -0.117 1.313  -0.193 1.313  -0.269 1.313  -0.345 1.313  -0.421 1.313  -0.425 1.240  -0.425 1.164  -0.425 1.088  -0.425 1.012  -0.356 1.004  -0.280 1.004  -0.204 1.004  -0.128 1.004  -0.104 0.941  -0.089 0.866  -0.074 0.792  -0.059 0.717  -0.044 0.643  -0.029 0.568  -0.014 0.493  0.001 0.419  0.015 0.344  0.030 0.269  0.045 0.195  0.060 0.120  0.075 0.046  0.090 -0.029  0.105 -0.104  0.120 -0.178  0.135 -0.253  0.150 -0.328  0.165 -0.402  0.180 -0.477  0.192 -0.552  0.192 -0.628  0.192 -0.704  0.192 -0.780  0.192 -0.856  0.192 -0.932  0.192 -1.008  0.192 -1.084  0.192 -1.161  0.192 -1.237  0.192 -1.313  0.192 -1.389  0.192 -1.465  0.192 -1.541  0.192 -1.617  0.192 -1.693  0.192 -1.769
2#app#app19#app1937/5  -0.536 0.605  -0.703 0.605  -0.703 0.438  -0.703 0.270  -0.821 0.152  -0.871 0.005  -0.774 -0.066  -0.606 -0.066  -0.439 -0.066  -0.272 -0.066  -0.200 -0.162  -0.105 -0.233  0.063 -0.233  0.202 -0.301  0.328 -0.401  0.470 -0.426  0.470 -0.594  0.470 -0.761  0.445 -0.903  0.302 -0.928  0.278 -1.071  0.135 -1.095  0.111 -1.239  -0.056 -1.239  -0.217 -1.255  -0.335 -1.374  -0.346 -1.287  -0.315 -1.123  -0.284 -0.958  -0.253 -0.794  -0.222 -0.629  -0.191 -0.465  -0.161 -0.300  -0.130 -0.136  -0.099 0.029  -0.068 0.193  -0.037 0.358  -0.006 0.522  0.025 0.687  0.055 0.851  0.086 1.016  0.117 1.180  0.206 1.275  0.352 1.325  0.471 1.443  0.638 1.443  0.806 1.443  0.973 1.443  1.141 1.443  1.308 1.443
2#app#app19#app1937/6  -0.609 1.608  -0.609 1.462  -0.609 1.316  -0.704 1.265  -0.780 1.196  -0.780 1.050  -0.794 0.910  -0.897 0.807  -0.952 0.684  -0.952 0.538  -0.952 0.392  -0.952 0.247  -0.952 0.101  -0.952 -0.045  -0.890 -0.165  -0.787 -0.268  -0.684 -0.371  -0.581 -0.474  -0.478 -0.577  -0.438 -0.706  -0.374 -0.788  -0.228 -0.788  -0.083 -0.788  0.063 -0.788  0.209 -0.788  0.355 -0.788  0.500 -0.788  0.646 -0.788  0.782 -0.765  0.885 -0.662  1.012 -0.617  1.141 -0.577  1.245 -0.474  1.273 -0.340  1.273 -0.194  1.234 -0.065  1.131 0.038  1.028 0.141  0.923 0.239  0.777 0.239  0.631 0.239  0.486 0.239  0.340 0.239  0.209 0.202  0.106 0.099  -0.026 0.068  -0.096 -0.009  -0.096 -0.154  -0.071 -0.275  0.075 -0.275
2#app#app19#app1937/_  -1.377 -0.309  -1.377 -0.221  -1.377 -0.133  -1.377 -0.044  -1.377 0.044  -1.377 0.133  -1.377 0.221  -1.359 0.291  -1.271 0.291  -1.182 0.291  -1.094 0.291  -1.006 0.291  -0.917 0.291  -0.829 0.291  -0.741 0.291  -0.652 0.291  -0.564 0.291  -0.475 0.291  -0.387 0.291  -0.299 0.291  -0.210 0.291  -0.122 0.291  -0.034 0.291  0.055 0.291  0.125 0.273  0.125 0.185  0.125 0.097  0.125 0.008  0.196 -0.009  0.284 -0.009  0.373 -0.009  0.461 -0.009  0.550 -0.009  0.638 -0.009  0.726 -0.009  0.726 -0.098  0.726 -0.186  0.726 -0.274  0.779 -0.309  0.868 -0.309  0.956 -0.309  1.044 -0.309  1.133 -0.309  1.221 -0.309  1.309 -0.309  1.377 -0.360  1.439 -0.422  1.502 -0.485  1.564 -0.547  1.627 -0.610
2#app#app19#app1937/J  0.471 1.488  0.380 1.488  0.349 1.548  0.349 1.582  0.349 1.491  0.260 1.488  0.226 1.431  0.215 1.343  0.174 1.261  0.133 1.179  0.104 1.095  0.104 1.004  0.104 0.912  0.104 0.821  0.104 0.730  0.104 0.639  0.104 0.547  0.104 0.456  0.104 0.365  0.104 0.273  0.104 0.182  0.104 0.091  0.104 -0.000  0.104 -0.092  0.104 -0.183  0.104 -0.274  0.104 -0.365  0.104 -0.457  0.104 -0.548  0.104 -0.639  0.104 -0.730  0.104 -0.822  0.104 -0.913  0.104 -1.004  0.104 -1.096  0.104 -1.187  0.034 -1.209  -0.046 -1.182  -0.110 -1.118  -0.189 -1.086  -0.264 -1.071  -0.264 -0.979  -0.340 -0.964  -0.418 -0.932  -0.483 -0.868  -0.547 -0.803  -0.612 -0.739  -0.695 -0.718  -0.786 -0.718  -0.877 -0.718
2#app#app19#app1937/u  -1.076 0.863  -1.155 0.785  -1.233 0.706  -1.249 0.602  -1.249 0.491  -1.249 0.380  -1.249 0.269  -1.249 0.158  -1.249 0.047  -1.249 -0.064  -1.246 -0.174  -1.167 -0.252  -1.089 -0.331  -0.983 -0.343  -0.881 -0.366  -0.803 -0.444  -0.721 -0.515  -0.610 -0.515  -0.499 -0.515  -0.388 -0.515  -0.277 -0.515  -0.171 -0.494  -0.072 -0.444  0.027 -0.395  0.126 -0.345  0.237 -0.343  0.335 -0.311  0.413 -0.233  0.498 -0.171  0.609 -0.171  0.699 -0.119  0.778 -0.041  0.820 0.053  0.820 0.164  0.820 0.275  0.820 0.386  0.820 0.497  0.731 0.519  0.667 0.499  0.745 0.421  0.820 0.341  0.820 0.230  0.875 0.174  0.986 0.174  1.066 0.100  1.145 0.021  1.223 -0.057  1.302 -0.136  1.398 -0.171  1.509 -0.171
2#app#app19#app1937/g  -0.045 0.935  -0.133 0.944  -0.149 1.031  -0.235 1.074  -0.323 1.110  -0.420 1.110  -0.516 1.110  -0.613 1.110  -0.709 1.110  -0.746 1.051  -0.746 0.955  -0.669 0.935  -0.598 0.874  -0.571 0.789  -0.504 0.760  -0.407 0.760  -0.336 0.700  -0.251 0.672  -0.174 0.625  -0.105 0.557  -0.034 0.497  0.063 0.497  0.151 0.476  0.218 0.407  0.218 0.311  0.218 0.214  0.218 0.118  0.218 0.021  0.218 -0.075  0.218 -0.172  0.263 -0.249  0.305 -0.328  0.305 -0.425  0.305 -0.521  0.305 -0.618  0.305 -0.714  0.305 -0.811  0.369 -0.881  0.393 -0.968  0.393 -1.064  0.450 -1.137  0.480 -1.221  0.480 -1.317  0.480 -1.414  0.424 -1.487  0.341 -1.518  0.244 -1.518  0.218 -1.449  0.139 -1.431  0.042 -1.431
2#app#app19#app1937/g  -0.046 0.947  -0.139 0.947  -0.209 1.004  -0.257 1.078  -0.270 1.158  -0.363 1.158  -0.457 1.158  -0.550 1.158  -0.643 1.158  -0.680 1.101  -0.680 1.008  -0.680 0.914  -0.665 0.827  -0.599 0.761  -0.533 0.695  -0.467 0.630  -0.373 0.630  -0.304 0.571  -0.230 0.524  -0.141 0.514  -0.075 0.448  0.006 0.419  0.088 0.391  0.154 0.325  0.220 0.259  0.292 0.207  0.377 0.199  0.377 0.105  0.377 0.012  0.377 -0.081  0.377 -0.175  0.377 -0.268  0.377 -0.361  0.377 -0.455  0.377 -0.548  0.377 -0.642  0.377 -0.735  0.377 -0.828  0.377 -0.922  0.377 -1.015  0.377 -1.108  0.377 -1.202  0.360 -1.288  0.294 -1.354  0.271 -1.438  0.271 -1.531  0.234 -1.588  0.141 -1.588  0.048 -1.588  -0.046 -1.588
2#app#app19#app1937/l  -0.973 -1.184  -0.844 -1.150  -0.777 -1.055  -0.615 -1.055  -0.493 -0.961  -0.345 -0.927  -0.226 -0.822  -0.074 -0.799  -0.040 -0.670  0.102 -0.623  0.216 -0.508  0.331 -0.394  0.440 -0.277  0.481 -0.156  0.568 -0.082  0.568 0.080  0.568 0.242  0.568 0.404  0.511 0.543  0.440 0.675  0.373 0.809  0.312 0.946  0.235 1.076  0.120 1.191  0.055 1.325  0.055 1.487  -0.041 1.609  -0.190 1.642  -0.217 1.498  -0.331 1.383  -0.331 1.221  -0.331 1.059  -0.331 0.897  -0.331 0.735  -0.331 0.573  -0.307 0.415  -0.256 0.262  -0.205 0.108  -0.202 -0.054  -0.202 -0.216  -0.137 -0.350  -0.074 -0.486  0.002 -0.617  0.055 -0.757  0.140 -0.884  0.254 -0.998  0.312 -1.137  0.393 -1.265  0.535 -1.312  0.568 -1.441
2#app#app19#app1937/e  -1.265 0.125  -1.458 0.125  -1.506 -0.021  -1.408 -0.117  -1.214 -0.117  -1.021 -0.119  -0.885 -0.256  -0.733 -0.358  -0.540 -0.358  -0.346 -0.358  -0.153 -0.358  -0.059 -0.259  -0.007 -0.117  0.187 -0.117  0.380 -0.117  0.574 -0.117  0.737 -0.045  0.874 0.092  1.054 0.125  1.148 0.225  1.148 0.418  1.143 0.607  0.949 0.607  0.906 0.758  0.803 0.848  0.626 0.887  0.489 1.024  0.323 1.089  0.129 1.089  -0.064 1.089  -0.258 1.089  -0.407 0.982  -0.541 0.844  -0.541 0.650  -0.541 0.457  -0.541 0.263  -0.502 0.086  -0.365 -0.051  -0.300 -0.217  -0.247 -0.358  -0.059 -0.363  -0.059 -0.557  0.048 -0.706  0.183 -0.844  0.183 -1.037  0.332 -1.082  0.496 -1.153  0.633 -1.290  0.769 -1.427  0.906 -1.564
2#app#app19#app1937/r  -0.473 0.214  -0.473 0.080  -0.542 0.016  -0.672 0.011  -0.672 -0.124  -0.672 -0.258  -0.672 -0.392  -0.672 -0.526  -0.615 -0.637  -0.520 -0.732  -0.473 -0.846  -0.473 -0.980  -0.473 -1.115  -0.422 -1.228  -0.327 -1.323  -0.274 -1.317  -0.274 -1.183  -0.146 -1.177  -0.075 -1.114  -0.075 -0.979  -0.075 -0.845  -0.075 -0.711  -0.075 -0.577  -0.075 -0.443  -0.127 -0.330  -0.222 -0.235  -0.274 -0.123  -0.274 0.012  -0.274 0.146  -0.274 0.280  -0.274 0.414  -0.274 0.548  -0.274 0.683  -0.270 0.815  -0.175 0.910  -0.080 1.005  0.052 1.010  0.186 1.010  0.321 1.010  0.416 0.916  0.511 0.821  0.641 0.811  0.775 0.811  0.909 0.811  1.043 0.811  1.177 0.811  1.312 0.811  1.446 0.811  1.580 0.811  1.714 0.811
2#app#app19#app1937/s  0.129 0.442  0.267 0.442  0.305 0.541  0.366 0.618  0.482 0.641  0.482 0.779  0.482 0.917  0.398 0.971  0.305 1.016  0.299 1.148  0.161 1.148  0.023 1.148  -0.115 1.148  -0.253 1.148  -0.391 1.148  -0.492 1.057  -0.594 0.971  -0.732 0.971  -0.754 0.855  -0.754 0.717  -0.754 0.579  -0.753 0.442  -0.615 0.442  -0.577 0.342  -0.522 0.238  -0.399 0.176  -0.275 0.114  -0.167 0.031  -0.070 -0.066  0.028 -0.164  0.126 -0.261  0.223 -0.359  0.305 -0.463  0.305 -0.601  0.427 -0.618  0.482 -0.700  0.513 -0.825  0.611 -0.923  0.658 -1.041  0.626 -1.147  0.488 -1.147  0.350 -1.147  0.305 -1.240  0.251 -1.324  0.113 -1.324  -0.025 -1.324  -0.163 -1.324  -0.301 -1.324  -0.401 -1.362  -0.401 -1.500
