2#app#app05#app0597/w  -1.306 1.241  -1.255 1.051  -1.134 0.892  -1.081 0.703  -1.023 0.517  -0.880 0.374  -0.862 0.179  -0.740 0.020  -0.689 -0.170  -0.608 -0.339  -0.515 -0.518  -0.450 -0.710  -0.339 -0.873  -0.258 -1.042  -0.159 -1.203  -0.071 -1.318  -0.071 -1.115  -0.087 -0.916  -0.151 -0.724  -0.159 -0.522  -0.159 -0.320  -0.159 -0.118  -0.247 0.048  -0.247 0.251  -0.247 0.453  -0.224 0.424  -0.144 0.255  -0.001 0.112  0.129 -0.041  0.194 -0.228  0.303 -0.389  0.370 -0.576  0.514 -0.667  0.635 -0.819  0.723 -0.985  0.723 -0.918  0.723 -0.716  0.723 -0.513  0.723 -0.311  0.723 -0.109  0.684 0.085  0.635 0.276  0.635 0.478  0.635 0.680  0.635 0.883  0.635 1.085  0.668 1.274  0.723 1.454  0.723 1.656  0.811 1.770
2#app#app05#app0597/a  -1.041 0.856  -0.858 0.919  -0.673 0.976  -0.464 0.976  -0.255 0.976  -0.056 0.954  0.113 0.856  0.305 0.785  0.473 0.666  0.535 0.483  0.643 0.319  0.746 0.152  0.764 -0.049  0.764 -0.258  0.764 -0.467  0.702 -0.650  0.637 -0.828  0.523 -0.923  0.358 -0.993  0.211 -1.141  0.022 -1.189  -0.187 -1.189  -0.373 -1.135  -0.521 -0.987  -0.669 -0.839  -0.731 -0.656  -0.800 -0.476  -0.920 -0.317  -0.920 -0.108  -0.920 0.100  -0.920 0.309  -0.920 0.518  -0.920 0.727  -0.800 0.886  -0.682 0.976  -0.473 0.976  -0.280 0.938  -0.199 0.763  -0.036 0.654  0.043 0.494  0.180 0.339  0.274 0.152  0.416 0.001  0.549 -0.158  0.642 -0.345  0.704 -0.528  0.852 -0.676  1.000 -0.823  1.156 -0.948  1.245 -1.069
2#app#app05#app0597/r  -0.460 0.103  -0.460 -0.016  -0.443 -0.118  -0.331 -0.136  -0.247 -0.220  -0.239 -0.335  -0.157 -0.420  -0.073 -0.504  0.001 -0.596  0.054 -0.703  0.115 -0.803  0.199 -0.887  0.205 -1.004  0.290 -1.088  0.374 -1.172  0.425 -1.270  0.480 -1.334  0.472 -1.334  0.425 -1.262  0.368 -1.166  0.314 -1.070  0.278 -0.966  0.204 -0.877  0.194 -0.761  0.140 -0.654  0.087 -0.548  0.034 -0.442  -0.019 -0.335  -0.073 -0.229  -0.126 -0.122  -0.128 -0.004  -0.136 0.112  -0.221 0.196  -0.239 0.307  -0.239 0.426  -0.239 0.545  -0.239 0.664  -0.239 0.783  -0.239 0.902  -0.239 1.021  -0.239 1.140  -0.239 1.259  -0.212 1.372  -0.159 1.479  -0.079 1.541  0.023 1.582  0.108 1.666  0.192 1.750  0.306 1.762  0.425 1.762
2#app#app05#app0597/m  -1.105 0.624  -0.991 0.489  -0.921 0.257  -0.877 0.018  -0.851 -0.226  -0.762 -0.454  -0.648 -0.656  -0.648 -0.905  -0.534 -1.107  -0.506 -1.345  -0.407 -1.546  -0.305 -1.399  -0.420 -1.197  -0.420 -0.948  -0.534 -0.746  -0.534 -0.496  -0.534 -0.247  -0.534 0.002  -0.534 0.252  -0.534 0.501  -0.534 0.750  -0.511 0.990  -0.414 1.196  -0.191 1.169  -0.077 0.967  -0.062 0.724  0.114 0.548  0.152 0.314  0.152 0.064  0.239 -0.149  0.266 -0.387  0.266 -0.636  0.266 -0.836  0.266 -0.587  0.266 -0.338  0.266 -0.088  0.266 0.161  0.266 0.410  0.372 0.616  0.387 0.859  0.495 1.064  0.725 1.079  0.902 0.903  1.066 0.722  1.093 0.483  1.180 0.270  1.284 0.064  1.294 -0.181  1.394 -0.389  1.409 -0.632
2#app#app05#app0597/c  0.430 1.160  0.430 1.251  0.410 1.322  0.319 1.322  0.228 1.322  0.138 1.322  0.065 1.278  -0.011 1.241  -0.087 1.207  -0.152 1.143  -0.216 1.079  -0.280 1.014  -0.295 0.930  -0.351 0.862  -0.394 0.785  -0.422 0.698  -0.451 0.612  -0.457 0.522  -0.457 0.432  -0.457 0.341  -0.457 0.250  -0.457 0.159  -0.457 0.068  -0.457 -0.022  -0.457 -0.113  -0.457 -0.204  -0.457 -0.295  -0.450 -0.384  -0.410 -0.465  -0.376 -0.548  -0.365 -0.636  -0.324 -0.717  -0.276 -0.794  -0.212 -0.858  -0.148 -0.922  -0.063 -0.936  0.028 -0.936  0.092 -1.001  0.176 -1.016  0.267 -1.016  0.358 -1.016  0.449 -1.016  0.539 -1.016  0.630 -1.016  0.716 -0.995  0.797 -0.954  0.883 -0.936  0.914 -0.876  0.984 -0.855  0.995 -0.775
2#app#app05#app0597/u  -1.083 1.348  -1.083 1.172  -1.065 0.999  -0.986 0.842  -0.978 0.667  -0.968 0.494  -0.890 0.336  -0.874 0.163  -0.825 -0.001  -0.770 -0.165  -0.756 -0.335  -0.665 -0.474  -0.612 -0.637  -0.561 -0.802  -0.465 -0.938  -0.353 -1.068  -0.264 -1.156  -0.192 -1.260  -0.053 -1.169  0.013 -1.051  0.065 -0.927  0.065 -0.751  0.065 -0.574  0.158 -0.437  0.169 -0.265  0.169 -0.089  0.169 0.087  0.244 0.246  0.273 0.415  0.273 0.591  0.273 0.768  0.273 0.944  0.334 1.095  0.378 1.253  0.378 1.266  0.412 1.104  0.482 0.957  0.482 0.780  0.488 0.606  0.567 0.448  0.586 0.276  0.657 0.130  0.690 -0.033  0.690 -0.209  0.690 -0.385  0.751 -0.547  0.795 -0.713  0.899 -0.846  0.953 -1.000  1.003 -1.156
2#app#app05#app0597/p  -0.442 0.886  -0.360 0.785  -0.296 0.639  -0.238 0.480  -0.238 0.296  -0.195 0.131  -0.137 -0.029  -0.137 -0.212  -0.137 -0.396  -0.072 -0.564  -0.035 -0.738  -0.035 -0.922  -0.035 -1.105  0.065 -1.247  0.067 -1.430  0.067 -1.614  0.167 -1.755  0.168 -1.778  0.067 -1.637  0.067 -1.453  0.067 -1.270  -0.035 -1.129  -0.035 -0.945  -0.035 -0.762  -0.137 -0.620  -0.137 -0.437  -0.137 -0.253  -0.209 -0.087  -0.238 0.090  -0.238 0.273  -0.238 0.456  -0.289 0.632  -0.340 0.807  -0.338 0.990  -0.238 1.132  -0.151 1.279  -0.035 1.414  0.067 1.496  0.250 1.496  0.372 1.434  0.473 1.352  0.473 1.169  0.473 0.986  0.473 0.802  0.473 0.619  0.442 0.448  0.372 0.294  0.326 0.129  0.196 -0.001  0.067 -0.130
2#app#app05#app0597/s  -0.065 1.613  0.037 1.613  0.052 1.526  0.052 1.424  0.052 1.322  0.010 1.262  -0.065 1.235  -0.074 1.136  -0.146 1.064  -0.183 0.977  -0.183 0.874  -0.203 0.793  -0.300 0.787  -0.300 0.685  -0.393 0.676  -0.472 0.621  -0.534 0.544  -0.534 0.442  -0.534 0.340  -0.448 0.324  -0.346 0.324  -0.260 0.284  -0.188 0.212  -0.088 0.207  -0.009 0.150  0.063 0.078  0.136 0.006  0.169 -0.083  0.209 -0.145  0.286 -0.170  0.286 -0.272  0.286 -0.374  0.383 -0.379  0.403 -0.461  0.403 -0.564  0.403 -0.666  0.403 -0.768  0.403 -0.870  0.396 -0.965  0.294 -0.965  0.244 -1.049  0.198 -1.141  0.169 -1.236  0.148 -1.317  0.052 -1.323  0.052 -1.425  0.052 -1.528  -0.027 -1.551  -0.110 -1.596  -0.183 -1.668
2#app#app05#app0597/o  -0.825 0.266  -0.796 0.408  -0.712 0.527  -0.636 0.605  -0.596 0.718  -0.455 0.750  -0.335 0.831  -0.204 0.888  -0.074 0.944  0.047 1.025  0.187 1.057  0.341 1.057  0.473 1.002  0.602 0.944  0.643 0.831  0.756 0.790  0.756 0.637  0.843 0.519  0.869 0.376  0.869 0.222  0.869 0.068  0.869 -0.086  0.869 -0.240  0.869 -0.394  0.869 -0.548  0.824 -0.683  0.715 -0.792  0.643 -0.916  0.578 -1.043  0.469 -1.151  0.336 -1.203  0.182 -1.203  0.028 -1.203  -0.126 -1.203  -0.280 -1.203  -0.416 -1.160  -0.511 -1.041  -0.580 -0.903  -0.599 -0.754  -0.706 -0.644  -0.712 -0.493  -0.712 -0.339  -0.712 -0.185  -0.712 -0.031  -0.712 0.122  -0.710 0.276  -0.673 0.425  -0.635 0.575  -0.595 0.722  -0.486 0.831
2#app#app05#app0597/f  -0.480 0.052  -0.312 -0.034  -0.211 -0.145  -0.138 -0.330  -0.036 -0.494  0.055 -0.675  0.119 -0.863  0.198 -1.047  0.264 -1.239  0.290 -1.438  0.337 -1.621  0.311 -1.744  0.282 -1.565  0.163 -1.405  0.110 -1.214  0.012 -1.038  -0.052 -0.862  -0.079 -0.665  -0.138 -0.477  -0.141 -0.274  -0.174 -0.074  -0.207 0.126  -0.223 0.328  -0.223 0.530  -0.223 0.733  -0.223 0.936  -0.196 1.132  -0.105 1.314  -0.052 1.504  0.091 1.648  0.234 1.791  0.361 1.811  0.285 1.622  0.210 1.434  0.135 1.246  0.059 1.057  -0.016 0.869  -0.091 0.681  -0.167 0.492  -0.242 0.304  -0.317 0.116  -0.393 -0.073  -0.468 -0.261  -0.394 -0.376  -0.195 -0.362  -0.009 -0.290  0.194 -0.290  0.397 -0.290  0.600 -0.290  0.802 -0.290
2#app#app05#app0597/b  -0.892 1.945  -0.816 1.796  -0.771 1.626  -0.690 1.464  -0.663 1.290  -0.597 1.125  -0.517 0.964  -0.458 0.793  -0.434 0.617  -0.384 0.446  -0.317 0.278  -0.281 0.104  -0.266 -0.072  -0.185 -0.234  -0.128 -0.401  -0.128 -0.582  -0.114 -0.759  -0.052 -0.925  -0.002 -1.085  0.024 -1.254  0.024 -1.435  0.024 -1.525  -0.052 -1.376  -0.098 -1.203  -0.128 -1.027  -0.179 -0.858  -0.205 -0.684  -0.205 -0.504  -0.205 -0.323  -0.205 -0.143  -0.205 0.038  -0.183 0.209  -0.096 0.362  -0.052 0.536  0.052 0.673  0.202 0.747  0.361 0.799  0.541 0.799  0.674 0.684  0.788 0.550  0.844 0.383  0.865 0.207  0.865 0.027  0.865 -0.154  0.802 -0.319  0.741 -0.489  0.650 -0.639  0.507 -0.729  0.426 -0.863  0.254 -0.882
