1b#tos#t2#t2017063/C  0.561 1.015  0.471 1.044  0.471 1.162  0.432 1.241  0.313 1.241  0.195 1.241  0.110 1.208  0.007 1.185  -0.079 1.106  -0.116 1.025  -0.134 0.921  -0.249 0.892  -0.297 0.811  -0.304 0.699  -0.413 0.674  -0.464 0.577  -0.539 0.487  -0.585 0.378  -0.614 0.264  -0.614 0.145  -0.642 0.038  -0.704 -0.055  -0.752 -0.161  -0.839 -0.225  -0.839 -0.344  -0.839 -0.462  -0.839 -0.581  -0.794 -0.654  -0.734 -0.747  -0.639 -0.786  -0.553 -0.837  -0.434 -0.837  -0.334 -0.883  -0.216 -0.883  -0.097 -0.883  0.022 -0.883  0.140 -0.883  0.253 -0.856  0.344 -0.783  0.447 -0.734  0.563 -0.711  0.640 -0.636  0.743 -0.611  0.856 -0.574  0.953 -0.511  1.064 -0.471  1.165 -0.431  1.239 -0.386  1.302 -0.295  1.375 -0.250
1b#tos#t2#t2017063/D  -0.145 1.237  -0.239 1.117  -0.239 0.903  -0.239 0.688  -0.333 0.532  -0.351 0.320  -0.380 0.109  -0.380 -0.105  -0.416 -0.315  -0.427 -0.528  -0.427 -0.743  -0.450 -0.947  -0.474 -1.152  -0.474 -1.328  -0.474 -1.114  -0.474 -0.899  -0.474 -0.685  -0.474 -0.471  -0.474 -0.256  -0.474 -0.042  -0.474 0.172  -0.474 0.387  -0.474 0.601  -0.475 0.814  -0.568 0.842  -0.426 0.933  -0.256 1.049  -0.041 1.049  0.162 1.096  0.376 1.096  0.582 1.062  0.748 1.003  0.909 0.864  1.030 0.736  1.124 0.550  1.171 0.383  1.218 0.215  1.218 0.001  1.055 -0.113  0.938 -0.219  0.772 -0.336  0.646 -0.505  0.490 -0.642  0.332 -0.779  0.160 -0.902  -0.019 -0.987  -0.190 -1.111  -0.402 -1.123  -0.561 -1.206  -0.756 -1.253
1b#tos#t2#t2017063/F  -0.213 0.616  -0.381 0.650  -0.280 0.657  -0.113 0.692  0.037 0.767  0.173 0.860  0.341 0.882  0.477 0.980  0.644 1.013  0.813 1.027  0.977 1.063  1.108 1.104  1.110 1.125  0.952 1.078  0.797 1.005  0.641 0.932  0.486 0.860  0.330 0.787  0.175 0.714  0.019 0.641  -0.136 0.568  -0.292 0.495  -0.294 0.325  -0.294 0.153  -0.330 -0.014  -0.335 -0.185  -0.356 -0.351  -0.416 -0.504  -0.416 -0.676  -0.416 -0.847  -0.457 -1.002  -0.457 -1.174  -0.461 -1.345  -0.513 -1.505  -0.538 -1.673  -0.526 -1.643  -0.504 -1.472  -0.483 -1.302  -0.462 -1.132  -0.441 -0.961  -0.419 -0.791  -0.398 -0.620  -0.377 -0.450  -0.303 -0.320  -0.136 -0.301  0.031 -0.279  0.174 -0.187  0.337 -0.150  0.486 -0.076  0.641 -0.035
1b#tos#t2#t2017063/G  0.800 1.411  0.697 1.500  0.530 1.526  0.403 1.590  0.216 1.568  0.036 1.538  0.016 1.366  -0.095 1.234  -0.178 1.092  -0.294 0.959  -0.368 0.790  -0.368 0.598  -0.517 0.532  -0.637 0.442  -0.637 0.250  -0.768 0.112  -0.772 -0.079  -0.826 -0.242  -0.907 -0.391  -0.952 -0.565  -0.964 -0.745  -0.996 -0.905  -0.914 -1.014  -0.722 -1.014  -0.529 -1.014  -0.337 -1.014  -0.233 -0.900  -0.072 -0.835  0.117 -0.803  0.267 -0.693  0.430 -0.621  0.544 -0.492  0.665 -0.363  0.550 -0.215  0.421 -0.072  0.292 0.070  0.187 0.089  0.146 0.019  0.306 0.077  0.440 0.135  0.570 0.198  0.665 0.101  0.620 -0.072  0.620 -0.265  0.530 -0.420  0.484 -0.565  0.436 -0.713  0.396 -0.899  0.396 -1.091  0.306 -1.194
1b#tos#t2#t2017063/K  -0.225 1.717  -0.365 1.617  -0.365 1.377  -0.365 1.137  -0.365 0.897  -0.365 0.657  -0.411 0.464  -0.411 0.223  -0.483 -0.003  -0.551 -0.231  -0.579 -0.467  -0.621 -0.697  -0.691 -0.916  -0.785 -1.117  -0.826 -1.316  -0.851 -1.417  -0.715 -1.220  -0.578 -1.022  -0.442 -0.825  -0.305 -0.627  -0.169 -0.429  -0.032 -0.232  0.104 -0.034  0.241 0.163  0.377 0.361  0.514 0.558  0.650 0.756  0.787 0.953  0.942 1.113  0.849 1.121  0.685 0.982  0.545 0.848  0.410 0.681  0.239 0.534  0.019 0.439  -0.130 0.272  -0.274 0.174  -0.439 0.037  -0.411 0.050  -0.287 0.091  -0.114 -0.009  0.032 -0.103  0.161 -0.272  0.338 -0.432  0.535 -0.558  0.686 -0.734  0.870 -0.884  0.913 -1.101  1.082 -1.216  1.175 -1.363
1b#tos#t2#t2017063/M  -0.270 1.031  -0.448 0.952  -0.467 0.743  -0.504 0.539  -0.585 0.342  -0.656 0.136  -0.750 -0.064  -0.782 -0.288  -0.840 -0.504  -0.881 -0.723  -0.940 -0.931  -1.019 -1.110  -0.996 -1.177  -0.931 -0.959  -0.867 -0.741  -0.803 -0.523  -0.739 -0.305  -0.675 -0.087  -0.611 0.131  -0.546 0.350  -0.482 0.568  -0.459 0.755  -0.506 0.630  -0.407 0.479  -0.332 0.312  -0.276 0.097  -0.202 -0.101  -0.112 -0.245  0.019 -0.166  0.208 -0.103  0.302 0.103  0.452 0.260  0.594 0.436  0.749 0.591  0.908 0.715  0.992 0.912  1.150 1.005  1.150 0.987  1.110 0.799  1.071 0.611  1.003 0.412  0.992 0.189  0.913 -0.006  0.913 -0.233  0.834 -0.437  0.834 -0.664  0.755 -0.859  0.755 -1.086  0.704 -1.281  0.677 -1.492
1b#tos#t2#t2017063/P  0.204 1.334  0.036 1.288  0.021 1.089  -0.025 0.881  -0.071 0.686  -0.071 0.472  -0.116 0.264  -0.117 0.050  -0.174 -0.156  -0.242 -0.358  -0.254 -0.571  -0.254 -0.786  -0.296 -0.970  -0.391 -1.116  -0.391 -1.330  -0.450 -1.531  -0.529 -1.727  -0.571 -1.758  -0.536 -1.547  -0.502 -1.335  -0.467 -1.124  -0.432 -0.912  -0.397 -0.700  -0.363 -0.489  -0.328 -0.277  -0.293 -0.065  -0.259 0.146  -0.224 0.358  -0.189 0.570  -0.155 0.781  -0.120 0.993  -0.290 1.018  -0.132 1.105  0.072 1.151  0.287 1.151  0.501 1.151  0.707 1.121  0.891 1.013  0.983 0.837  0.983 0.622  1.029 0.427  0.948 0.246  0.848 0.057  0.699 -0.074  0.525 -0.188  0.398 -0.311  0.195 -0.361  -0.019 -0.361  -0.234 -0.361  -0.437 -0.407
1b#tos#t2#t2017063/R  -0.233 1.332  -0.369 1.183  -0.369 0.936  -0.369 0.688  -0.369 0.441  -0.369 0.193  -0.369 -0.054  -0.369 -0.301  -0.369 -0.549  -0.369 -0.796  -0.369 -1.044  -0.369 -1.291  -0.369 -1.438  -0.373 -1.191  -0.377 -0.943  -0.381 -0.696  -0.385 -0.449  -0.389 -0.201  -0.394 0.046  -0.398 0.293  -0.402 0.541  -0.406 0.788  -0.410 1.035  -0.415 1.283  -0.262 1.196  -0.015 1.196  0.233 1.196  0.480 1.196  0.726 1.192  0.950 1.144  0.897 0.923  0.850 0.715  0.708 0.544  0.571 0.377  0.359 0.307  0.246 0.120  0.060 -0.033  -0.126 -0.168  -0.324 -0.260  -0.515 -0.351  -0.404 -0.351  -0.177 -0.418  -0.005 -0.537  0.158 -0.702  0.358 -0.828  0.512 -0.988  0.669 -1.162  0.858 -1.259  1.008 -1.364  1.177 -1.488
1b#tos#t2#t2017063/T  -1.199 0.654  -1.274 0.541  -1.175 0.489  -1.041 0.482  -0.906 0.482  -0.771 0.482  -0.636 0.482  -0.501 0.482  -0.366 0.482  -0.230 0.482  -0.095 0.482  0.040 0.482  0.175 0.482  0.310 0.482  0.427 0.540  0.554 0.568  0.689 0.568  0.811 0.581  0.916 0.611  1.051 0.611  1.186 0.611  1.072 0.602  0.937 0.588  0.803 0.573  0.669 0.559  0.535 0.544  0.400 0.530  0.266 0.516  0.132 0.501  -0.003 0.487  -0.130 0.475  -0.130 0.340  -0.130 0.205  -0.130 0.070  -0.130 -0.065  -0.130 -0.201  -0.130 -0.336  -0.130 -0.471  -0.130 -0.606  -0.130 -0.741  -0.130 -0.876  -0.130 -1.011  -0.130 -1.146  -0.130 -1.281  -0.130 -1.416  -0.130 -1.551  -0.130 -1.686  -0.184 -1.777  -0.215 -1.907  -0.173 -1.999
1b#tos#t2#t2017063/V  -0.746 1.454  -0.836 1.409  -0.838 1.276  -0.802 1.163  -0.746 1.062  -0.715 0.935  -0.655 0.814  -0.605 0.695  -0.560 0.573  -0.527 0.442  -0.475 0.318  -0.473 0.184  -0.436 0.058  -0.377 -0.064  -0.334 -0.192  -0.290 -0.316  -0.290 -0.451  -0.203 -0.550  -0.153 -0.664  -0.153 -0.799  -0.153 -0.934  -0.140 -1.055  -0.108 -1.158  -0.108 -1.293  -0.028 -1.375  -0.016 -1.434  -0.016 -1.299  -0.016 -1.164  0.010 -1.055  0.131 -1.034  0.180 -0.909  0.212 -0.778  0.212 -0.643  0.212 -0.508  0.296 -0.434  0.368 -0.339  0.394 -0.208  0.426 -0.080  0.486 0.041  0.512 0.167  0.593 0.275  0.623 0.400  0.623 0.535  0.686 0.651  0.714 0.775  0.748 0.895  0.792 1.018  0.832 1.143  0.896 1.228  0.851 1.226
1b#tos#t2#t2017063/W  -1.018 1.198  -1.182 1.119  -1.100 0.994  -1.100 0.786  -0.957 0.660  -0.862 0.491  -0.853 0.285  -0.793 0.091  -0.730 -0.104  -0.709 -0.303  -0.606 -0.476  -0.556 -0.671  -0.491 -0.867  -0.474 -1.065  -0.359 -1.158  -0.359 -1.011  -0.359 -0.803  -0.359 -0.596  -0.359 -0.388  -0.359 -0.181  -0.318 0.022  -0.277 0.223  -0.236 0.421  -0.221 0.626  -0.193 0.746  -0.114 0.602  -0.045 0.432  -0.030 0.230  0.011 0.033  0.080 -0.146  0.176 -0.315  0.217 -0.481  0.258 -0.679  0.340 -0.860  0.453 -0.972  0.505 -1.134  0.546 -0.969  0.618 -0.808  0.669 -0.609  0.752 -0.435  0.782 -0.237  0.885 -0.057  0.943 0.141  0.957 0.347  0.964 0.553  1.071 0.730  1.141 0.925  1.202 1.113  1.204 1.320  1.245 1.239
