1c#apb#apb10#app1030/c  1.399 0.856  1.318 0.856  1.237 0.863  1.159 0.885  1.081 0.907  1.002 0.921  0.923 0.903  0.844 0.886  0.764 0.868  0.686 0.848  0.609 0.822  0.531 0.796  0.454 0.771  0.380 0.740  0.311 0.696  0.242 0.652  0.174 0.609  0.105 0.565  0.037 0.521  -0.028 0.472  -0.091 0.420  -0.153 0.369  -0.216 0.317  -0.279 0.266  -0.342 0.214  -0.394 0.152  -0.442 0.086  -0.490 0.020  -0.537 -0.045  -0.585 -0.111  -0.633 -0.177  -0.647 -0.257  -0.660 -0.337  -0.673 -0.417  -0.687 -0.498  -0.700 -0.578  -0.688 -0.657  -0.670 -0.737  -0.652 -0.816  -0.635 -0.895  -0.583 -0.958  -0.529 -1.018  -0.475 -1.079  -0.421 -1.140  -0.367 -1.201  -0.293 -1.229  -0.214 -1.250  -0.136 -1.272  -0.057 -1.293  0.021 -1.314
1c#apb#apb10#app1030/h  -0.111 0.708  -0.095 0.837  0.051 0.939  0.200 1.039  0.335 1.158  0.455 1.293  0.566 1.435  0.674 1.579  0.715 1.614  0.626 1.457  0.532 1.304  0.437 1.150  0.341 0.997  0.245 0.844  0.150 0.691  0.057 0.536  -0.036 0.381  -0.128 0.226  -0.208 0.065  -0.284 -0.099  -0.360 -0.263  -0.443 -0.423  -0.529 -0.581  -0.615 -0.740  -0.695 -0.902  -0.776 -1.063  -0.849 -1.228  -0.937 -1.383  -0.916 -1.330  -0.824 -1.175  -0.731 -1.021  -0.638 -0.866  -0.545 -0.711  -0.452 -0.556  -0.316 -0.452  -0.163 -0.356  -0.002 -0.276  0.164 -0.205  0.318 -0.113  0.469 -0.014  0.616 0.091  0.740 0.126  0.656 -0.033  0.568 -0.191  0.478 -0.348  0.387 -0.503  0.300 -0.661  0.219 -0.822  0.158 -0.992  0.195 -1.160
1c#apb#apb10#app1030/e  -0.299 -0.449  -0.202 -0.362  -0.085 -0.303  0.033 -0.248  0.159 -0.212  0.285 -0.176  0.386 -0.093  0.485 -0.007  0.584 0.079  0.676 0.172  0.769 0.265  0.844 0.371  0.909 0.485  0.966 0.602  0.998 0.729  0.998 0.860  0.983 0.987  0.904 1.086  0.776 1.112  0.648 1.106  0.520 1.077  0.392 1.049  0.271 0.999  0.152 0.945  0.032 0.891  -0.082 0.830  -0.179 0.741  -0.276 0.653  -0.373 0.565  -0.470 0.477  -0.541 0.369  -0.603 0.253  -0.666 0.138  -0.728 0.023  -0.778 -0.097  -0.801 -0.226  -0.824 -0.355  -0.848 -0.484  -0.821 -0.612  -0.793 -0.740  -0.756 -0.864  -0.687 -0.975  -0.617 -1.087  -0.534 -1.185  -0.427 -1.261  -0.321 -1.337  -0.200 -1.386  -0.076 -1.427  0.048 -1.469  0.173 -1.510
1c#apb#apb10#app1030/d  -0.287 -0.695  -0.294 -0.531  -0.211 -0.387  -0.160 -0.239  -0.265 -0.116  -0.424 -0.058  -0.595 -0.045  -0.766 -0.061  -0.922 -0.130  -1.078 -0.201  -1.192 -0.329  -1.275 -0.477  -1.322 -0.641  -1.333 -0.811  -1.226 -0.937  -1.070 -1.004  -0.899 -1.004  -0.737 -0.949  -0.614 -0.836  -0.502 -0.706  -0.390 -0.577  -0.279 -0.447  -0.167 -0.317  -0.056 -0.187  0.056 -0.057  0.167 0.073  0.279 0.203  0.390 0.333  0.502 0.463  0.614 0.593  0.725 0.723  0.837 0.853  0.948 0.983  1.060 1.113  1.171 1.243  1.273 1.347  1.183 1.202  1.102 1.051  1.001 0.913  0.895 0.778  0.809 0.630  0.724 0.481  0.628 0.340  0.530 0.199  0.430 0.060  0.327 -0.077  0.231 -0.219  0.148 -0.368  0.062 -0.516  -0.030 -0.661
1c#apb#apb10#app1030/u  -0.678 0.583  -0.765 0.496  -0.869 0.412  -0.968 0.322  -1.063 0.227  -1.152 0.127  -1.239 0.026  -1.320 -0.081  -1.398 -0.190  -1.446 -0.313  -1.446 -0.447  -1.366 -0.541  -1.242 -0.570  -1.108 -0.570  -0.974 -0.570  -0.840 -0.570  -0.706 -0.570  -0.572 -0.570  -0.438 -0.569  -0.307 -0.543  -0.176 -0.517  -0.043 -0.498  0.090 -0.481  0.181 -0.383  0.273 -0.285  0.364 -0.187  0.455 -0.089  0.546 0.009  0.637 0.107  0.729 0.205  0.820 0.303  0.911 0.401  1.002 0.499  1.093 0.597  1.185 0.695  1.271 0.794  1.202 0.889  1.135 0.811  1.047 0.712  0.952 0.617  0.879 0.505  0.806 0.393  0.734 0.280  0.665 0.165  0.605 0.046  0.545 -0.074  0.512 -0.203  0.486 -0.335  0.485 -0.467  0.504 -0.599
1c#apb#apb10#app1030/l  -0.482 0.086  -0.373 0.086  -0.287 0.145  -0.191 0.198  -0.097 0.254  -0.008 0.318  0.080 0.383  0.168 0.449  0.250 0.522  0.327 0.600  0.405 0.678  0.479 0.759  0.553 0.840  0.627 0.922  0.704 1.000  0.782 1.077  0.815 1.174  0.815 1.193  0.775 1.096  0.713 1.004  0.650 0.914  0.587 0.824  0.533 0.729  0.484 0.631  0.435 0.533  0.386 0.434  0.329 0.341  0.263 0.253  0.197 0.165  0.131 0.077  0.065 -0.011  0.000 -0.099  -0.063 -0.189  -0.125 -0.280  -0.188 -0.370  -0.251 -0.460  -0.314 -0.550  -0.374 -0.642  -0.432 -0.735  -0.491 -0.828  -0.549 -0.921  -0.607 -1.015  -0.665 -1.108  -0.721 -1.202  -0.775 -1.298  -0.828 -1.394  -0.882 -1.490  -0.919 -1.593  -0.951 -1.698  -0.983 -1.803
1c#apb#apb10#app1030/e  -0.623 -0.216  -0.546 -0.133  -0.406 -0.091  -0.275 -0.025  -0.151 0.053  -0.029 0.135  0.099 0.205  0.238 0.252  0.374 0.304  0.487 0.398  0.585 0.503  0.651 0.634  0.667 0.777  0.661 0.923  0.621 1.065  0.546 1.182  0.420 1.244  0.273 1.244  0.142 1.190  0.018 1.111  -0.106 1.032  -0.220 0.940  -0.328 0.842  -0.437 0.743  -0.543 0.642  -0.642 0.533  -0.740 0.423  -0.831 0.311  -0.872 0.169  -0.912 0.028  -0.952 -0.113  -0.922 -0.250  -0.867 -0.387  -0.797 -0.512  -0.684 -0.605  -0.570 -0.698  -0.456 -0.791  -0.314 -0.824  -0.170 -0.856  -0.027 -0.888  0.116 -0.920  0.260 -0.950  0.403 -0.981  0.547 -1.011  0.691 -1.041  0.835 -1.070  0.979 -1.094  1.124 -1.118  1.269 -1.142  1.414 -1.167
1c#apb#apb10#app1030/s  0.834 1.117  0.877 1.225  0.775 1.244  0.655 1.244  0.539 1.220  0.427 1.176  0.315 1.132  0.203 1.087  0.095 1.033  -0.012 0.979  -0.120 0.925  -0.227 0.870  -0.332 0.811  -0.437 0.752  -0.542 0.693  -0.647 0.633  -0.699 0.537  -0.667 0.433  -0.585 0.347  -0.478 0.290  -0.372 0.233  -0.264 0.181  -0.149 0.147  -0.033 0.113  0.082 0.078  0.195 0.036  0.308 -0.006  0.419 -0.051  0.512 -0.128  0.606 -0.204  0.685 -0.293  0.747 -0.392  0.709 -0.506  0.650 -0.607  0.561 -0.688  0.472 -0.770  0.372 -0.834  0.263 -0.885  0.154 -0.936  0.043 -0.984  -0.068 -1.030  -0.179 -1.076  -0.294 -1.111  -0.412 -1.132  -0.531 -1.153  -0.650 -1.162  -0.770 -1.153  -0.890 -1.145  -1.011 -1.144  -1.131 -1.144
1c#apb#apb10#app1030/h  -0.419 0.140  -0.283 0.276  -0.132 0.396  0.015 0.518  0.113 0.684  0.219 0.846  0.327 1.005  0.437 1.164  0.546 1.323  0.666 1.474  0.787 1.621  0.760 1.622  0.642 1.470  0.547 1.302  0.451 1.134  0.354 0.968  0.256 0.802  0.153 0.638  0.050 0.475  -0.055 0.313  -0.162 0.153  -0.269 -0.008  -0.376 -0.168  -0.483 -0.329  -0.590 -0.489  -0.691 -0.654  -0.790 -0.819  -0.882 -0.989  -0.971 -1.160  -0.985 -1.237  -0.876 -1.078  -0.767 -0.918  -0.659 -0.759  -0.541 -0.610  -0.366 -0.529  -0.202 -0.427  -0.031 -0.338  0.142 -0.253  0.317 -0.170  0.484 -0.076  0.648 0.026  0.657 -0.140  0.587 -0.318  0.499 -0.490  0.401 -0.656  0.301 -0.821  0.197 -0.983  0.089 -1.144  -0.020 -1.303  -0.095 -1.480
1c#apb#apb10#app1030/a  1.078 0.181  1.098 0.315  1.130 0.447  1.153 0.576  1.110 0.705  1.031 0.816  0.950 0.925  0.822 0.928  0.687 0.913  0.554 0.943  0.422 0.973  0.291 0.985  0.167 0.928  0.044 0.871  -0.079 0.813  -0.201 0.752  -0.323 0.691  -0.444 0.629  -0.540 0.533  -0.637 0.437  -0.733 0.340  -0.828 0.243  -0.920 0.142  -1.011 0.042  -1.094 -0.064  -1.125 -0.196  -1.155 -0.329  -1.174 -0.463  -1.174 -0.599  -1.084 -0.698  -0.981 -0.777  -0.845 -0.777  -0.708 -0.777  -0.573 -0.764  -0.440 -0.739  -0.306 -0.714  -0.173 -0.685  -0.050 -0.628  0.073 -0.570  0.197 -0.512  0.306 -0.432  0.408 -0.343  0.520 -0.267  0.622 -0.287  0.662 -0.417  0.684 -0.550  0.684 -0.686  0.649 -0.817  0.628 -0.950  0.628 -1.087
1c#apb#apb10#app1030/r  -0.217 1.328  -0.281 1.265  -0.249 1.135  -0.217 1.004  -0.217 0.869  -0.217 0.735  -0.218 0.600  -0.235 0.466  -0.252 0.333  -0.269 0.199  -0.285 0.066  -0.319 -0.064  -0.356 -0.194  -0.393 -0.323  -0.430 -0.453  -0.480 -0.578  -0.530 -0.703  -0.581 -0.827  -0.641 -0.948  -0.701 -1.068  -0.751 -1.191  -0.743 -1.323  -0.671 -1.399  -0.615 -1.277  -0.558 -1.155  -0.501 -1.033  -0.444 -0.911  -0.387 -0.788  -0.331 -0.666  -0.274 -0.544  -0.217 -0.422  -0.160 -0.300  -0.104 -0.178  -0.047 -0.056  0.010 0.066  0.033 0.196  0.095 0.295  0.210 0.364  0.340 0.400  0.470 0.436  0.600 0.471  0.726 0.517  0.853 0.563  0.979 0.609  1.109 0.645  1.239 0.681  1.369 0.716  1.494 0.764  1.619 0.814  1.744 0.864
