2#app#app35#app3513/1  -0.137 1.700  -0.137 1.629  -0.137 1.558  -0.137 1.487  -0.137 1.416  -0.137 1.346  -0.137 1.275  -0.137 1.204  -0.137 1.133  -0.137 1.062  -0.137 0.992  -0.137 0.921  -0.113 0.856  -0.081 0.792  -0.050 0.729  -0.038 0.661  -0.038 0.590  -0.038 0.520  -0.038 0.449  -0.038 0.378  -0.038 0.307  -0.038 0.236  -0.038 0.166  -0.031 0.096  0.000 0.033  0.032 -0.030  0.062 -0.094  0.062 -0.165  0.062 -0.236  0.062 -0.307  0.062 -0.377  0.062 -0.448  0.062 -0.519  0.062 -0.590  0.062 -0.661  0.062 -0.731  0.062 -0.802  0.062 -0.873  0.062 -0.944  0.062 -1.014  0.062 -1.085  0.062 -1.156  0.092 -1.214  0.142 -1.264  0.161 -1.327  0.161 -1.398  0.161 -1.469  0.161 -1.540  0.161 -1.610  0.161 -1.681
2#app#app35#app3513/0  -0.129 0.802  -0.169 0.900  -0.308 0.900  -0.411 0.816  -0.510 0.718  -0.538 0.590  -0.623 0.487  -0.623 0.348  -0.692 0.238  -0.722 0.112  -0.739 -0.023  -0.801 -0.147  -0.821 -0.282  -0.821 -0.420  -0.821 -0.559  -0.814 -0.696  -0.752 -0.821  -0.722 -0.952  -0.614 -0.988  -0.516 -1.086  -0.414 -1.176  -0.275 -1.176  -0.136 -1.176  -0.011 -1.118  0.113 -1.055  0.237 -0.993  0.361 -0.931  0.481 -0.863  0.579 -0.765  0.684 -0.682  0.804 -0.639  0.860 -0.523  0.860 -0.384  0.860 -0.245  0.860 -0.106  0.860 0.033  0.860 0.171  0.828 0.305  0.784 0.437  0.731 0.565  0.669 0.689  0.575 0.790  0.509 0.911  0.436 1.028  0.326 1.098  0.188 1.098  0.084 1.182  -0.049 1.197  -0.188 1.197  -0.327 1.197
2#app#app35#app3513/0  -0.287 1.364  -0.316 1.261  -0.391 1.203  -0.477 1.157  -0.576 1.076  -0.598 0.952  -0.656 0.834  -0.701 0.712  -0.701 0.580  -0.764 0.474  -0.804 0.358  -0.804 0.226  -0.804 0.094  -0.804 -0.039  -0.804 -0.171  -0.804 -0.303  -0.775 -0.423  -0.701 -0.525  -0.701 -0.657  -0.641 -0.765  -0.527 -0.808  -0.423 -0.879  -0.305 -0.911  -0.206 -0.992  -0.083 -1.015  0.049 -1.015  0.182 -1.015  0.314 -1.015  0.443 -1.008  0.537 -0.915  0.661 -0.894  0.757 -0.808  0.878 -0.780  0.954 -0.679  0.954 -0.547  0.954 -0.415  0.954 -0.283  0.942 -0.152  0.900 -0.027  0.859 0.099  0.803 0.219  0.742 0.335  0.648 0.429  0.555 0.522  0.461 0.616  0.393 0.728  0.334 0.846  0.240 0.940  0.117 0.960  0.023 1.054
2#app#app35#app3513/%  -0.895 0.852  -1.064 0.757  -1.186 0.599  -1.259 0.421  -1.259 0.213  -1.095 0.126  -0.910 0.183  -0.738 0.271  -0.605 0.388  -0.629 0.586  -0.725 0.755  -0.893 0.852  -0.696 0.905  -0.495 0.958  -0.294 1.011  -0.092 1.064  0.109 1.117  0.311 1.170  0.486 1.189  0.413 1.011  0.331 0.835  0.238 0.648  0.168 0.454  0.113 0.253  0.020 0.067  -0.023 -0.131  -0.101 -0.321  -0.168 -0.514  -0.168 -0.722  -0.241 -0.900  -0.241 -1.108  -0.196 -1.214  -0.044 -1.072  0.108 -0.929  0.260 -0.787  0.413 -0.645  0.565 -0.503  0.717 -0.361  0.830 -0.257  0.716 -0.383  0.580 -0.456  0.486 -0.612  0.486 -0.820  0.592 -0.965  0.800 -0.965  0.983 -0.903  1.140 -0.802  1.140 -0.594  1.090 -0.406  0.922 -0.310
2#app#app35#app3513/o  0.138 1.300  0.138 1.159  0.001 1.156  -0.140 1.156  -0.150 1.025  -0.241 0.921  -0.340 0.821  -0.440 0.722  -0.540 0.622  -0.619 0.508  -0.682 0.381  -0.728 0.251  -0.728 0.110  -0.742 -0.027  -0.805 -0.154  -0.868 -0.280  -0.873 -0.420  -0.873 -0.561  -0.873 -0.702  -0.873 -0.843  -0.755 -0.866  -0.728 -0.980  -0.617 -1.011  -0.476 -1.011  -0.335 -1.011  -0.194 -1.011  -0.053 -1.011  0.088 -1.011  0.229 -1.011  0.370 -1.011  0.427 -0.927  0.499 -0.831  0.625 -0.767  0.744 -0.694  0.843 -0.595  0.860 -0.461  0.860 -0.320  0.860 -0.179  0.860 -0.038  0.860 0.103  0.790 0.215  0.716 0.326  0.701 0.463  0.638 0.589  0.575 0.715  0.572 0.856  0.480 0.959  0.380 1.058  0.279 1.156  0.138 1.156
2#app#app35#app3513/f  0.561 1.875  0.423 1.875  0.305 1.829  0.192 1.771  0.081 1.709  0.004 1.598  -0.058 1.475  -0.119 1.352  -0.171 1.227  -0.171 1.090  -0.171 0.953  -0.171 0.816  -0.171 0.678  -0.171 0.541  -0.171 0.404  -0.171 0.267  -0.171 0.129  -0.171 -0.008  -0.148 -0.135  -0.067 -0.239  -0.067 -0.376  -0.027 -0.504  0.034 -0.627  0.038 -0.763  0.078 -0.884  0.142 -0.994  0.198 -1.109  0.247 -1.226  0.247 -1.363  0.147 -1.279  0.043 -1.189  -0.060 -1.098  -0.163 -1.008  -0.266 -0.918  -0.370 -0.827  -0.473 -0.737  -0.576 -0.647  -0.575 -0.530  -0.485 -0.483  -0.405 -0.426  -0.301 -0.346  -0.174 -0.321  -0.037 -0.321  0.094 -0.293  0.217 -0.232  0.350 -0.216  0.473 -0.156  0.600 -0.112  0.737 -0.112  0.874 -0.112
2#app#app35#app3513/#  0.204 1.876  0.115 1.474  -0.020 1.082  -0.113 0.681  -0.276 0.293  -0.356 -0.121  -0.468 -0.518  -0.559 -0.903  -0.580 -1.318  -0.425 -1.037  -0.248 -0.653  -0.070 -0.269  0.107 0.115  0.284 0.500  0.462 0.884  0.639 1.268  0.876 1.528  0.876 1.105  0.793 0.701  0.669 0.324  0.607 -0.073  0.540 -0.469  0.428 -0.866  0.428 -1.289  0.272 -1.318  -0.017 -1.009  -0.307 -0.700  -0.596 -0.391  -0.886 -0.083  -1.175 0.226  -1.165 0.308  -0.760 0.352  -0.364 0.420  0.032 0.532  0.429 0.644  0.808 0.834  1.005 0.791  0.676 0.525  0.347 0.258  0.018 -0.008  -0.311 -0.274  -0.640 -0.541  -0.969 -0.807  -1.193 -1.036  -0.813 -0.893  -0.443 -0.688  -0.044 -0.588  0.349 -0.460  0.728 -0.270  1.100 -0.140
2#app#app35#app3513/'  -1.143 0.926  -1.056 0.926  -0.969 0.926  -0.882 0.926  -0.796 0.926  -0.709 0.926  -0.622 0.926  -0.535 0.926  -0.448 0.926  -0.361 0.926  -0.274 0.926  -0.187 0.926  -0.100 0.926  -0.013 0.926  0.074 0.926  0.161 0.926  0.248 0.926  0.277 0.868  0.277 0.781  0.277 0.694  0.277 0.607  0.277 0.520  0.277 0.433  0.277 0.346  0.277 0.259  0.277 0.172  0.277 0.085  0.277 -0.002  0.277 -0.089  0.277 -0.176  0.277 -0.263  0.277 -0.350  0.277 -0.437  0.277 -0.524  0.277 -0.611  0.277 -0.698  0.277 -0.784  0.277 -0.871  0.277 -0.958  0.277 -1.045  0.277 -1.132  0.277 -1.219  0.277 -1.306  0.277 -1.393  0.238 -1.442  0.152 -1.442  0.065 -1.442  -0.022 -1.442  -0.109 -1.442  -0.196 -1.442
2#app#app35#app3513/s  0.435 1.136  0.287 1.136  0.159 1.090  0.040 1.022  -0.108 1.022  -0.243 0.969  -0.376 0.907  -0.511 0.878  -0.616 0.774  -0.722 0.673  -0.854 0.607  -0.977 0.528  -1.091 0.448  -1.219 0.400  -1.285 0.280  -1.285 0.133  -1.166 0.104  -1.019 0.104  -0.871 0.104  -0.724 0.104  -0.576 0.104  -0.429 0.104  -0.281 0.104  -0.134 0.104  0.014 0.104  0.161 0.104  0.309 0.104  0.456 0.104  0.604 0.104  0.726 0.043  0.851 -0.010  0.968 -0.085  1.099 -0.125  1.210 -0.212  1.237 -0.349  1.237 -0.496  1.195 -0.626  1.078 -0.698  0.953 -0.754  0.830 -0.813  0.711 -0.881  0.583 -0.928  0.435 -0.928  0.288 -0.928  0.140 -0.928  -0.007 -0.928  -0.155 -0.928  -0.302 -0.928  -0.450 -0.928  -0.597 -0.928
2#app#app35#app3513/  0.724 1.481  0.720 1.415  0.652 1.409  0.603 1.360  0.567 1.300  0.536 1.237  0.526 1.169  0.490 1.114  0.440 1.064  0.392 1.014  0.370 0.947  0.347 0.880  0.325 0.814  0.303 0.747  0.281 0.681  0.259 0.614  0.236 0.547  0.214 0.481  0.190 0.415  0.151 0.357  0.112 0.298  0.073 0.240  0.046 0.176  0.024 0.109  0.002 0.043  -0.020 -0.024  -0.042 -0.091  -0.065 -0.157  -0.087 -0.224  -0.109 -0.290  -0.131 -0.357  -0.166 -0.417  -0.205 -0.476  -0.244 -0.534  -0.277 -0.596  -0.299 -0.662  -0.321 -0.729  -0.344 -0.795  -0.366 -0.862  -0.388 -0.929  -0.414 -0.994  -0.445 -1.056  -0.477 -1.119  -0.508 -1.182  -0.539 -1.245  -0.571 -1.308  -0.602 -1.370  -0.633 -1.433  -0.665 -1.496  -0.667 -1.566
2#app#app35#app3513/0  0.017 1.010  -0.118 1.010  -0.216 0.974  -0.305 0.922  -0.400 0.826  -0.514 0.778  -0.581 0.668  -0.607 0.540  -0.667 0.419  -0.706 0.291  -0.739 0.161  -0.795 0.044  -0.837 -0.074  -0.837 -0.208  -0.837 -0.343  -0.837 -0.477  -0.837 -0.612  -0.759 -0.714  -0.759 -0.849  -0.666 -0.945  -0.557 -1.007  -0.430 -1.025  -0.320 -1.084  -0.185 -1.084  -0.051 -1.084  0.084 -1.084  0.218 -1.084  0.323 -1.011  0.450 -0.984  0.568 -0.921  0.663 -0.825  0.715 -0.712  0.792 -0.610  0.792 -0.475  0.792 -0.341  0.792 -0.206  0.792 -0.072  0.792 0.063  0.739 0.185  0.715 0.314  0.715 0.448  0.663 0.571  0.603 0.691  0.543 0.811  0.483 0.932  0.443 1.050  0.347 1.145  0.252 1.240  0.172 1.341  0.094 1.398
