1c#app#app18#app1887/f  0.499 0.921  0.571 1.003  0.581 1.146  0.499 1.217  0.458 1.329  0.338 1.409  0.255 1.480  0.114 1.492  -0.039 1.492  -0.181 1.464  -0.235 1.334  -0.235 1.181  -0.235 1.028  -0.235 0.874  -0.235 0.721  -0.186 0.580  -0.153 0.434  -0.153 0.281  -0.090 0.143  -0.072 -0.006  -0.026 -0.148  0.042 -0.285  0.110 -0.422  0.173 -0.560  0.174 -0.713  0.243 -0.850  0.269 -0.998  0.317 -1.143  0.336 -1.293  0.337 -1.446  0.406 -1.583  0.335 -1.512  0.235 -1.396  0.135 -1.281  0.035 -1.165  -0.066 -1.049  -0.166 -0.934  -0.266 -0.818  -0.367 -0.702  -0.467 -0.587  -0.567 -0.471  -0.605 -0.384  -0.561 -0.275  -0.479 -0.203  -0.416 -0.076  -0.316 -0.012  -0.212 0.076  -0.091 0.168  0.020 0.269  0.173 0.269
1c#app#app18#app1887/o  0.145 0.495  -0.020 0.495  -0.028 0.652  -0.178 0.668  -0.201 0.809  -0.335 0.841  -0.501 0.841  -0.631 0.757  -0.748 0.640  -0.865 0.523  -1.018 0.495  -1.067 0.378  -1.067 0.212  -1.138 0.077  -1.240 -0.046  -1.226 -0.198  -1.067 -0.204  -1.067 -0.369  -0.951 -0.487  -0.894 -0.628  -0.818 -0.717  -0.653 -0.717  -0.505 -0.760  -0.388 -0.877  -0.228 -0.890  -0.063 -0.890  0.102 -0.890  0.268 -0.890  0.421 -0.839  0.569 -0.765  0.723 -0.717  0.873 -0.681  0.990 -0.565  1.107 -0.448  1.224 -0.331  1.340 -0.214  1.357 -0.055  1.357 0.110  1.357 0.275  1.237 0.321  1.084 0.371  0.936 0.445  0.782 0.495  0.617 0.495  0.452 0.495  0.287 0.495  0.121 0.495  -0.044 0.495  -0.201 0.487  -0.201 0.321
1c#app#app18#app1887/x  -1.303 1.061  -1.303 1.228  -1.208 1.356  -1.084 1.459  -0.916 1.459  -0.795 1.349  -0.705 1.219  -0.699 1.055  -0.581 0.936  -0.506 0.800  -0.486 0.642  -0.367 0.523  -0.249 0.405  -0.131 0.287  0.026 0.264  0.092 0.162  0.154 0.033  0.304 -0.042  0.453 -0.116  0.616 -0.135  0.756 -0.201  0.874 -0.319  1.035 -0.334  1.169 -0.415  1.287 -0.533  1.130 -0.586  0.971 -0.639  0.813 -0.692  0.654 -0.745  0.495 -0.798  0.337 -0.851  0.178 -0.903  0.020 -0.956  -0.139 -1.009  -0.297 -1.062  -0.456 -1.115  -0.506 -1.017  -0.448 -0.874  -0.330 -0.756  -0.307 -0.598  -0.307 -0.431  -0.236 -0.334  -0.090 -0.300  -0.016 -0.150  0.059 -0.001  0.159 0.131  0.277 0.249  0.395 0.367  0.523 0.463  0.690 0.463
1c#app#app18#app1887/y  -1.475 0.264  -1.395 0.184  -1.302 0.138  -1.189 0.138  -1.076 0.138  -0.963 0.138  -0.850 0.138  -0.737 0.138  -0.647 0.201  -0.563 0.276  -0.478 0.351  -0.394 0.426  -0.310 0.501  -0.225 0.576  -0.141 0.651  -0.056 0.726  0.028 0.801  0.113 0.876  0.197 0.951  0.282 1.027  0.366 1.102  0.418 1.104  0.418 0.991  0.401 0.895  0.292 0.891  0.292 0.778  0.292 0.665  0.292 0.552  0.292 0.439  0.292 0.326  0.292 0.213  0.292 0.100  0.292 -0.013  0.300 -0.123  0.380 -0.202  0.418 -0.300  0.418 -0.413  0.418 -0.526  0.418 -0.639  0.418 -0.752  0.418 -0.865  0.418 -0.978  0.418 -1.091  0.418 -1.204  0.418 -1.317  0.418 -1.430  0.418 -1.543  0.418 -1.656  0.418 -1.769  0.418 -1.882
1c#app#app18#app1887/z  -0.609 0.739  -0.609 0.934  -0.609 1.128  -0.597 1.310  -0.495 1.402  -0.329 1.450  -0.155 1.537  0.039 1.539  0.233 1.539  0.313 1.425  0.419 1.335  0.533 1.255  0.533 1.061  0.533 0.867  0.533 0.672  0.429 0.521  0.338 0.350  0.302 0.164  0.215 -0.010  0.128 -0.184  0.076 -0.365  0.006 -0.543  -0.081 -0.717  -0.177 -0.884  -0.267 -1.042  -0.333 -1.220  -0.381 -1.403  -0.267 -1.311  -0.181 -1.202  -0.035 -1.085  0.102 -0.947  0.260 -0.859  0.411 -0.753  0.602 -0.745  0.672 -0.884  0.699 -0.948  0.519 -0.873  0.340 -0.798  0.161 -0.723  -0.019 -0.649  -0.198 -0.574  -0.377 -0.499  -0.557 -0.424  -0.609 -0.265  -0.609 -0.071  -0.495 0.076  -0.393 0.168  -0.198 0.168  -0.004 0.168  0.190 0.168
1c#app#app18#app1887/u  -0.880 0.530  -0.880 0.640  -0.880 0.751  -0.905 0.837  -1.016 0.837  -1.033 0.744  -1.033 0.633  -1.033 0.523  -1.033 0.412  -1.033 0.302  -1.011 0.200  -0.933 0.122  -0.880 0.033  -0.880 -0.077  -0.880 -0.188  -0.837 -0.280  -0.759 -0.359  -0.727 -0.456  -0.705 -0.544  -0.594 -0.544  -0.483 -0.544  -0.387 -0.578  -0.308 -0.656  -0.215 -0.698  -0.105 -0.698  0.006 -0.698  0.117 -0.698  0.227 -0.698  0.338 -0.698  0.448 -0.698  0.542 -0.657  0.620 -0.579  0.654 -0.482  0.674 -0.391  0.784 -0.391  0.869 -0.329  0.947 -0.251  0.961 -0.146  0.995 -0.050  1.073 0.028  1.115 0.122  1.115 0.232  1.115 0.343  1.115 0.454  1.090 0.554  1.012 0.632  0.961 0.722  0.961 0.832  0.886 0.912  0.808 0.990
1c#app#app18#app1887/l  -0.119 1.702  -0.119 1.631  -0.119 1.561  -0.119 1.490  -0.119 1.420  -0.119 1.349  -0.119 1.279  -0.119 1.208  -0.119 1.138  -0.119 1.067  -0.119 0.997  -0.119 0.926  -0.119 0.856  -0.119 0.785  -0.119 0.714  -0.119 0.644  -0.119 0.573  -0.119 0.503  -0.119 0.432  -0.119 0.362  -0.119 0.291  -0.119 0.221  -0.101 0.154  -0.070 0.091  -0.038 0.028  -0.011 -0.036  -0.011 -0.107  -0.011 -0.177  -0.011 -0.248  -0.011 -0.318  -0.011 -0.389  -0.010 -0.459  0.021 -0.522  0.053 -0.585  0.084 -0.648  0.097 -0.716  0.098 -0.786  0.115 -0.855  0.132 -0.923  0.149 -0.992  0.166 -1.060  0.184 -1.128  0.201 -1.197  0.205 -1.267  0.205 -1.337  0.205 -1.408  0.205 -1.479  0.213 -1.546  0.263 -1.596  0.313 -1.645
1c#app#app18#app1887/u  -1.239 0.583  -1.239 0.733  -1.154 0.848  -1.059 0.927  -1.059 0.777  -1.059 0.626  -1.059 0.476  -1.059 0.326  -1.059 0.175  -1.059 0.025  -1.059 -0.125  -1.059 -0.276  -0.950 -0.317  -0.879 -0.396  -0.879 -0.546  -0.860 -0.678  -0.709 -0.678  -0.600 -0.776  -0.483 -0.858  -0.333 -0.858  -0.183 -0.858  -0.032 -0.858  0.090 -0.790  0.196 -0.683  0.344 -0.678  0.462 -0.598  0.568 -0.492  0.674 -0.386  0.742 -0.263  0.742 -0.113  0.742 0.037  0.742 0.188  0.742 0.338  0.742 0.488  0.742 0.638  0.742 0.789  0.742 0.939  0.596 0.943  0.562 0.827  0.562 0.676  0.562 0.526  0.581 0.384  0.688 0.277  0.742 0.150  0.773 0.012  0.879 -0.094  0.922 -0.227  0.982 -0.317  1.102 -0.347  1.102 -0.498
1c#app#app18#app1887/s  0.529 0.683  0.614 0.768  0.669 0.865  0.669 0.986  0.664 1.102  0.544 1.102  0.529 1.207  0.443 1.242  0.323 1.242  0.216 1.208  0.131 1.123  0.020 1.102  -0.080 1.052  -0.165 0.967  -0.250 0.882  -0.342 0.806  -0.450 0.752  -0.557 0.698  -0.589 0.598  -0.635 0.497  -0.720 0.411  -0.729 0.295  -0.729 0.174  -0.729 0.054  -0.678 -0.016  -0.589 -0.047  -0.577 -0.156  -0.457 -0.156  -0.348 -0.206  -0.241 -0.260  -0.170 -0.336  -0.148 -0.435  -0.028 -0.437  0.057 -0.522  0.155 -0.575  0.268 -0.593  0.353 -0.678  0.438 -0.763  0.523 -0.848  0.529 -0.966  0.529 -1.086  0.456 -1.134  0.389 -1.187  0.355 -1.273  0.234 -1.273  0.114 -1.273  0.028 -1.355  -0.069 -1.413  -0.189 -1.413  -0.309 -1.413
1c#app#app18#app1887/q  -0.207 0.228  -0.167 0.308  -0.127 0.388  -0.127 0.507  -0.127 0.626  -0.127 0.746  -0.129 0.863  -0.207 0.905  -0.265 1.000  -0.349 1.085  -0.461 1.102  -0.581 1.102  -0.695 1.090  -0.763 0.998  -0.763 0.879  -0.745 0.767  -0.661 0.682  -0.576 0.598  -0.492 0.513  -0.392 0.466  -0.273 0.466  -0.153 0.466  -0.034 0.466  0.085 0.466  0.177 0.533  0.168 0.625  0.111 0.563  0.111 0.444  0.111 0.325  0.127 0.212  0.190 0.119  0.190 -0.000  0.239 -0.108  0.270 -0.220  0.275 -0.338  0.328 -0.445  0.349 -0.560  0.349 -0.679  0.349 -0.798  0.400 -0.906  0.428 -1.018  0.428 -1.138  0.428 -1.257  0.428 -1.377  0.428 -1.496  0.436 -1.613  0.490 -1.720  0.508 -1.835  0.508 -1.955  0.508 -2.074
1c#app#app18#app1887/u  -1.134 0.738  -1.047 0.825  -1.040 0.878  -1.134 0.849  -1.134 0.727  -1.134 0.606  -1.134 0.484  -1.134 0.362  -1.134 0.240  -1.072 0.180  -0.994 0.136  -0.994 0.014  -0.990 -0.107  -0.936 -0.215  -0.881 -0.324  -0.810 -0.422  -0.724 -0.508  -0.715 -0.626  -0.624 -0.656  -0.502 -0.656  -0.380 -0.656  -0.259 -0.656  -0.137 -0.656  -0.015 -0.656  0.107 -0.656  0.197 -0.581  0.283 -0.495  0.370 -0.409  0.456 -0.323  0.540 -0.236  0.540 -0.114  0.540 0.008  0.540 0.129  0.540 0.251  0.540 0.373  0.540 0.495  0.553 0.586  0.639 0.500  0.744 0.459  0.819 0.413  0.840 0.300  0.926 0.214  1.012 0.127  1.098 0.041  1.220 0.041  1.238 -0.063  1.315 -0.137  1.424 -0.191  1.517 -0.256  1.517 -0.378
