2#apb#apb15#app1537/L  -0.035 1.719  -0.074 1.801  -0.100 1.729  -0.111 1.632  -0.126 1.535  -0.140 1.438  -0.154 1.341  -0.168 1.244  -0.182 1.147  -0.191 1.049  -0.200 0.952  -0.209 0.854  -0.218 0.756  -0.228 0.659  -0.238 0.561  -0.250 0.464  -0.261 0.367  -0.273 0.269  -0.284 0.172  -0.295 0.075  -0.302 -0.023  -0.309 -0.121  -0.316 -0.219  -0.323 -0.316  -0.329 -0.414  -0.333 -0.512  -0.337 -0.610  -0.341 -0.708  -0.345 -0.806  -0.345 -0.904  -0.345 -1.002  -0.345 -1.100  -0.301 -1.092  -0.232 -1.023  -0.155 -0.962  -0.079 -0.900  0.008 -0.856  0.097 -0.815  0.186 -0.774  0.277 -0.738  0.369 -0.703  0.460 -0.667  0.552 -0.634  0.645 -0.602  0.737 -0.569  0.834 -0.558  0.932 -0.551  1.029 -0.535  1.125 -0.516  1.222 -0.532
2#apb#apb15#app1537/e  -1.034 -0.327  -0.971 -0.240  -0.826 -0.185  -0.684 -0.126  -0.543 -0.061  -0.403 0.004  -0.253 0.041  -0.102 0.073  0.048 0.111  0.192 0.166  0.337 0.222  0.482 0.273  0.629 0.322  0.754 0.412  0.874 0.509  0.960 0.638  0.977 0.787  0.949 0.933  0.863 1.061  0.719 1.119  0.575 1.174  0.421 1.161  0.267 1.148  0.128 1.085  -0.008 1.012  -0.142 0.935  -0.260 0.835  -0.378 0.735  -0.496 0.635  -0.559 0.494  -0.622 0.352  -0.684 0.211  -0.727 0.064  -0.738 -0.090  -0.749 -0.244  -0.712 -0.393  -0.666 -0.541  -0.620 -0.688  -0.516 -0.795  -0.393 -0.890  -0.270 -0.984  -0.129 -1.042  0.018 -1.089  0.166 -1.136  0.313 -1.183  0.462 -1.225  0.612 -1.262  0.762 -1.300  0.912 -1.337  1.062 -1.375
2#apb#apb15#app1537/a  0.938 0.748  0.804 0.848  0.670 0.949  0.502 0.949  0.335 0.949  0.167 0.949  -0.001 0.949  -0.168 0.949  -0.328 0.910  -0.482 0.844  -0.636 0.778  -0.778 0.691  -0.910 0.588  -1.041 0.484  -1.167 0.373  -1.283 0.256  -1.336 0.097  -1.358 -0.060  -1.283 -0.210  -1.184 -0.341  -1.057 -0.450  -0.911 -0.528  -0.754 -0.585  -0.594 -0.627  -0.426 -0.627  -0.259 -0.624  -0.100 -0.571  0.056 -0.512  0.198 -0.423  0.325 -0.319  0.411 -0.175  0.497 -0.031  0.547 0.128  0.596 0.289  0.626 0.453  0.602 0.614  0.530 0.484  0.482 0.324  0.461 0.158  0.451 -0.009  0.440 -0.176  0.454 -0.341  0.492 -0.505  0.529 -0.668  0.594 -0.822  0.665 -0.974  0.735 -1.126  0.858 -1.240  0.982 -1.353  1.106 -1.465
2#apb#apb15#app1537/v  -0.815 1.023  -0.870 0.966  -0.859 0.849  -0.847 0.732  -0.831 0.615  -0.814 0.498  -0.797 0.381  -0.778 0.265  -0.750 0.151  -0.721 0.036  -0.692 -0.078  -0.664 -0.192  -0.618 -0.301  -0.571 -0.409  -0.523 -0.517  -0.476 -0.625  -0.416 -0.725  -0.337 -0.812  -0.257 -0.899  -0.178 -0.987  -0.093 -1.068  -0.004 -1.145  0.086 -1.221  0.181 -1.292  0.271 -1.266  0.318 -1.157  0.355 -1.046  0.376 -0.930  0.397 -0.814  0.412 -0.697  0.420 -0.580  0.428 -0.462  0.436 -0.344  0.442 -0.227  0.447 -0.109  0.453 0.009  0.458 0.127  0.463 0.245  0.468 0.362  0.482 0.479  0.502 0.595  0.522 0.712  0.543 0.828  0.563 0.944  0.583 1.060  0.607 1.176  0.634 1.290  0.661 1.405  0.688 1.520  0.715 1.635
2#apb#apb15#app1537/i  0.081 -0.145  0.068 -0.241  0.059 -0.338  0.053 -0.435  0.047 -0.531  0.034 -0.627  0.015 -0.723  0.014 -0.818  0.027 -0.914  0.041 -1.010  0.051 -1.107  0.061 -1.203  0.062 -1.300  0.081 -1.394  0.078 -1.393  0.073 -1.296  0.068 -1.199  0.062 -1.103  0.057 -1.006  0.051 -0.909  0.046 -0.812  0.040 -0.715  0.035 -0.618  0.029 -0.521  0.024 -0.424  0.019 -0.327  0.013 -0.231  0.008 -0.134  0.002 -0.037  -0.003 0.060  -0.009 0.157  -0.014 0.254  -0.020 0.351  -0.025 0.448  -0.030 0.544  -0.036 0.641  -0.041 0.738  -0.047 0.835  -0.052 0.932  -0.058 1.029  -0.063 1.126  -0.068 1.223  -0.074 1.320  -0.079 1.416  -0.085 1.513  -0.090 1.610  -0.096 1.707  -0.101 1.804  -0.107 1.901  -0.201 1.904
2#apb#apb15#app1537/n  -0.759 1.182  -0.720 1.025  -0.688 0.866  -0.677 0.704  -0.667 0.542  -0.659 0.380  -0.671 0.218  -0.684 0.056  -0.691 -0.106  -0.691 -0.268  -0.691 -0.431  -0.699 -0.593  -0.710 -0.755  -0.722 -0.917  -0.738 -1.078  -0.756 -1.239  -0.700 -1.387  -0.627 -1.276  -0.548 -1.134  -0.470 -0.992  -0.418 -0.839  -0.373 -0.682  -0.329 -0.526  -0.257 -0.381  -0.177 -0.240  -0.096 -0.099  -0.016 0.041  0.065 0.182  0.145 0.323  0.226 0.464  0.306 0.605  0.387 0.746  0.468 0.887  0.548 1.028  0.629 1.169  0.739 1.282  0.812 1.136  0.840 0.981  0.840 0.818  0.840 0.656  0.840 0.494  0.840 0.331  0.840 0.169  0.828 0.007  0.816 -0.155  0.810 -0.317  0.826 -0.478  0.843 -0.640  0.870 -0.800  0.874 -0.962
2#apb#apb15#app1537/g  0.080 0.824  0.040 0.940  -0.060 1.015  -0.180 1.041  -0.301 1.009  -0.411 0.955  -0.513 0.882  -0.596 0.790  -0.662 0.687  -0.693 0.567  -0.649 0.454  -0.554 0.373  -0.433 0.340  -0.312 0.342  -0.189 0.366  -0.072 0.408  0.043 0.457  0.152 0.518  0.258 0.583  0.347 0.671  0.417 0.772  0.468 0.886  0.496 1.005  0.427 0.975  0.374 0.866  0.344 0.744  0.314 0.623  0.295 0.500  0.277 0.376  0.259 0.253  0.246 0.129  0.237 0.004  0.228 -0.121  0.219 -0.245  0.206 -0.369  0.193 -0.494  0.180 -0.618  0.166 -0.742  0.151 -0.866  0.137 -0.990  0.121 -1.114  0.105 -1.238  0.089 -1.361  0.057 -1.481  0.008 -1.596  -0.058 -1.701  -0.136 -1.798  -0.251 -1.847  -0.369 -1.881  -0.494 -1.892
2#apb#apb15#app1537/f  1.313 0.739  1.348 0.896  1.304 1.056  1.199 1.186  1.058 1.263  0.890 1.274  0.723 1.264  0.559 1.236  0.401 1.177  0.254 1.100  0.114 1.006  0.008 0.881  -0.077 0.736  -0.131 0.580  -0.157 0.414  -0.182 0.248  -0.194 0.081  -0.200 -0.087  -0.206 -0.255  -0.185 -0.421  -0.160 -0.588  -0.134 -0.754  -0.113 -0.920  -0.091 -1.087  -0.053 -1.250  -0.004 -1.411  -0.009 -1.464  -0.105 -1.326  -0.201 -1.189  -0.297 -1.051  -0.393 -0.913  -0.489 -0.775  -0.585 -0.637  -0.682 -0.499  -0.778 -0.361  -0.874 -0.223  -0.970 -0.086  -1.066 0.052  -0.989 0.095  -0.821 0.089  -0.653 0.079  -0.486 0.063  -0.319 0.045  -0.152 0.027  0.015 0.006  0.181 -0.016  0.348 -0.038  0.514 -0.060  0.681 -0.081  0.848 -0.101
2#apb#apb15#app1537/o  -0.281 0.814  -0.413 0.765  -0.544 0.715  -0.664 0.645  -0.776 0.561  -0.888 0.477  -0.981 0.372  -1.068 0.262  -1.083 0.123  -1.099 -0.016  -1.074 -0.147  -1.004 -0.269  -0.927 -0.384  -0.818 -0.473  -0.709 -0.561  -0.601 -0.650  -0.486 -0.724  -0.347 -0.749  -0.209 -0.773  -0.071 -0.797  0.067 -0.822  0.206 -0.837  0.346 -0.837  0.486 -0.837  0.626 -0.837  0.766 -0.832  0.904 -0.807  1.042 -0.782  1.176 -0.751  1.239 -0.626  1.229 -0.491  1.202 -0.353  1.174 -0.216  1.083 -0.110  0.988 -0.007  0.894 0.096  0.799 0.200  0.694 0.291  0.573 0.362  0.452 0.433  0.331 0.504  0.211 0.575  0.090 0.646  -0.023 0.730  -0.134 0.815  -0.245 0.901  -0.356 0.986  -0.470 1.068  -0.592 1.137  -0.714 1.207
2#apb#apb15#app1537/r  -1.132 0.008  -1.061 -0.075  -0.989 -0.158  -0.908 -0.229  -0.814 -0.286  -0.720 -0.342  -0.630 -0.403  -0.553 -0.480  -0.475 -0.558  -0.398 -0.635  -0.337 -0.725  -0.283 -0.820  -0.225 -0.913  -0.165 -1.004  -0.140 -1.103  -0.194 -1.154  -0.288 -1.098  -0.353 -1.014  -0.407 -0.919  -0.440 -0.817  -0.448 -0.708  -0.456 -0.599  -0.465 -0.490  -0.441 -0.384  -0.414 -0.278  -0.386 -0.172  -0.358 -0.066  -0.330 0.039  -0.285 0.137  -0.219 0.224  -0.152 0.311  -0.086 0.398  -0.019 0.485  0.047 0.572  0.130 0.639  0.228 0.688  0.326 0.737  0.424 0.786  0.523 0.829  0.631 0.847  0.739 0.865  0.847 0.883  0.955 0.901  1.063 0.914  1.172 0.899  1.280 0.884  1.389 0.870  1.497 0.855  1.605 0.840  1.714 0.825
2#apb#apb15#app1537/U  -0.796 0.852  -0.825 0.834  -0.860 0.675  -0.897 0.517  -0.917 0.355  -0.934 0.194  -0.963 0.034  -0.995 -0.126  -1.012 -0.287  -1.020 -0.450  -1.024 -0.613  -1.024 -0.775  -0.985 -0.931  -0.898 -1.062  -0.739 -1.041  -0.588 -0.982  -0.454 -0.889  -0.328 -0.788  -0.213 -0.672  -0.107 -0.549  -0.004 -0.423  0.086 -0.288  0.163 -0.145  0.241 -0.002  0.310 0.145  0.372 0.295  0.435 0.446  0.494 0.597  0.541 0.753  0.588 0.909  0.634 1.065  0.690 1.217  0.732 1.372  0.681 1.269  0.635 1.113  0.596 0.955  0.569 0.795  0.557 0.633  0.545 0.471  0.539 0.308  0.539 0.146  0.539 -0.017  0.548 -0.179  0.562 -0.342  0.578 -0.504  0.602 -0.665  0.626 -0.825  0.664 -0.983  0.712 -1.138  0.803 -1.273
