1c#tos#t2#t2017063/a  0.582 1.136  0.447 1.268  0.257 1.268  0.067 1.268  -0.094 1.196  -0.239 1.086  -0.374 0.989  -0.479 0.864  -0.524 0.693  -0.618 0.529  -0.723 0.371  -0.744 0.187  -0.753 0.002  -0.911 -0.103  -0.991 -0.268  -1.010 -0.455  -1.010 -0.645  -1.010 -0.835  -1.010 -1.025  -0.848 -1.053  -0.666 -1.005  -0.611 -0.854  -0.452 -0.775  -0.346 -0.650  -0.275 -0.482  -0.214 -0.310  -0.099 -0.181  0.025 -0.046  0.052 0.138  0.118 0.312  0.148 0.472  0.278 0.555  0.383 0.672  0.383 0.862  0.450 0.888  0.450 0.698  0.450 0.508  0.440 0.320  0.383 0.143  0.383 -0.047  0.416 -0.223  0.456 -0.397  0.528 -0.560  0.602 -0.722  0.713 -0.850  0.818 -0.987  1.008 -0.987  1.198 -0.987  1.387 -0.987  1.577 -0.987
1c#tos#t2#t2017063/b  -0.076 2.153  -0.211 2.071  -0.182 1.964  -0.182 1.794  -0.182 1.624  -0.182 1.454  -0.182 1.284  -0.182 1.114  -0.182 0.944  -0.266 0.800  -0.289 0.637  -0.289 0.467  -0.289 0.297  -0.289 0.127  -0.289 -0.044  -0.289 -0.214  -0.289 -0.384  -0.289 -0.554  -0.289 -0.724  -0.289 -0.894  -0.289 -1.064  -0.280 -1.083  -0.260 -0.914  -0.240 -0.746  -0.219 -0.577  -0.199 -0.408  -0.179 -0.239  -0.159 -0.070  -0.138 0.098  -0.210 0.137  -0.118 0.183  0.041 0.231  0.211 0.231  0.381 0.231  0.551 0.231  0.721 0.231  0.829 0.130  0.832 -0.039  0.832 -0.209  0.775 -0.365  0.707 -0.521  0.618 -0.651  0.466 -0.727  0.344 -0.846  0.245 -0.975  0.172 -1.124  0.039 -1.212  -0.129 -1.214  -0.226 -1.318  -0.396 -1.318
1c#tos#t2#t2017063/f  0.533 1.259  0.533 1.232  0.533 1.364  0.493 1.455  0.411 1.507  0.375 1.633  0.263 1.652  0.177 1.592  0.140 1.483  0.119 1.355  0.100 1.227  0.100 1.096  0.075 0.971  0.061 0.843  0.061 0.712  0.061 0.581  0.061 0.450  0.061 0.319  0.061 0.188  0.061 0.057  0.027 -0.067  0.022 -0.196  0.022 -0.327  0.022 -0.459  -0.007 -0.578  -0.018 -0.705  -0.018 -0.836  -0.018 -0.967  -0.018 -1.098  -0.075 -1.215  -0.123 -1.337  -0.136 -1.466  -0.152 -1.470  -0.185 -1.343  -0.217 -1.216  -0.250 -1.089  -0.283 -0.962  -0.316 -0.835  -0.348 -0.708  -0.381 -0.581  -0.414 -0.454  -0.447 -0.327  -0.529 -0.353  -0.437 -0.393  -0.306 -0.393  -0.179 -0.375  -0.053 -0.352  0.075 -0.327  0.205 -0.314  0.258 -0.235
1c#tos#t2#t2017063/g  0.273 0.732  0.316 0.920  0.388 1.074  0.404 1.262  0.404 1.460  0.237 1.528  0.054 1.541  -0.041 1.380  -0.121 1.241  -0.252 1.113  -0.252 0.915  -0.340 0.743  -0.340 0.545  -0.340 0.347  -0.150 0.338  0.037 0.365  0.190 0.474  0.276 0.612  0.316 0.747  0.258 0.571  0.229 0.379  0.185 0.192  0.098 0.047  0.098 -0.151  0.056 -0.337  0.010 -0.521  0.010 -0.719  0.010 -0.917  -0.034 -1.105  -0.093 -1.281  -0.209 -1.424  -0.209 -1.623  -0.355 -1.748  -0.550 -1.762  -0.591 -1.577  -0.602 -1.381  -0.602 -1.183  -0.548 -1.007  -0.494 -0.843  -0.409 -0.694  -0.296 -0.560  -0.203 -0.400  -0.111 -0.267  0.048 -0.148  0.146 -0.010  0.291 0.075  0.432 0.177  0.612 0.250  0.793 0.294  0.973 0.338
1c#tos#t2#t2017063/h  -0.001 2.142  -0.133 2.126  -0.133 1.978  -0.133 1.830  -0.133 1.682  -0.133 1.534  -0.133 1.386  -0.133 1.238  -0.133 1.090  -0.133 0.942  -0.133 0.795  -0.133 0.647  -0.137 0.499  -0.173 0.356  -0.177 0.208  -0.177 0.060  -0.177 -0.087  -0.177 -0.235  -0.177 -0.383  -0.177 -0.531  -0.177 -0.679  -0.221 -0.783  -0.221 -0.931  -0.232 -1.078  -0.261 -1.223  -0.305 -1.329  -0.308 -1.185  -0.308 -1.037  -0.288 -0.893  -0.265 -0.751  -0.221 -0.647  -0.221 -0.499  -0.213 -0.355  -0.123 -0.238  -0.089 -0.100  -0.001 -0.040  0.030 0.077  0.134 0.122  0.271 0.165  0.375 0.121  0.476 0.045  0.482 -0.102  0.526 -0.232  0.526 -0.379  0.565 -0.521  0.570 -0.668  0.570 -0.816  0.570 -0.964  0.570 -1.112  0.614 -1.242
1c#tos#t2#t2017063/j  0.556 0.758  0.478 0.698  0.478 0.560  0.478 0.422  0.478 0.284  0.478 0.146  0.478 0.008  0.478 -0.130  0.478 -0.268  0.478 -0.406  0.478 -0.544  0.478 -0.682  0.408 -0.791  0.354 -0.884  0.323 -1.009  0.263 -1.110  0.176 -1.179  0.047 -1.209  -0.087 -1.227  -0.221 -1.246  -0.327 -1.332  -0.460 -1.344  -0.573 -1.318  -0.563 -1.181  -0.535 -1.046  -0.508 -0.911  -0.480 -0.775  -0.452 -0.640  -0.424 -0.505  -0.396 -0.370  -0.369 -0.234  -0.341 -0.099  -0.313 0.036  -0.285 0.171  -0.258 0.307  -0.230 0.442  -0.202 0.577  -0.174 0.712  -0.146 0.848  -0.119 0.983  -0.091 1.118  -0.063 1.253  -0.035 1.389  -0.007 1.524  0.007 1.572  -0.091 1.474  -0.067 1.351  0.024 1.304  0.152 1.280  0.245 1.226
1c#tos#t2#t2017063/k  -0.182 2.335  -0.260 2.184  -0.294 2.007  -0.294 1.808  -0.294 1.609  -0.294 1.410  -0.294 1.211  -0.294 1.013  -0.294 0.814  -0.294 0.615  -0.294 0.416  -0.294 0.217  -0.294 0.019  -0.294 -0.180  -0.294 -0.379  -0.349 -0.569  -0.363 -0.765  -0.406 -0.953  -0.406 -1.152  -0.380 -1.252  -0.283 -1.079  -0.186 -0.905  -0.089 -0.731  0.008 -0.558  0.105 -0.384  0.201 -0.211  0.298 -0.037  0.395 0.136  0.492 0.310  0.589 0.483  0.600 0.596  0.544 0.453  0.423 0.370  0.267 0.267  0.191 0.090  0.008 0.014  -0.122 -0.116  -0.260 -0.180  -0.294 -0.345  -0.434 -0.404  -0.292 -0.406  -0.182 -0.560  -0.037 -0.639  0.129 -0.713  0.314 -0.772  0.458 -0.901  0.618 -0.963  0.817 -0.963  0.848 -1.130  1.047 -1.130
1c#tos#t2#t2017063/l  0.007 1.548  -0.064 1.548  -0.091 1.504  -0.074 1.450  -0.042 1.411  -0.030 1.353  0.007 1.319  0.007 1.248  0.007 1.177  0.007 1.106  0.007 1.036  0.007 0.965  0.007 0.894  0.007 0.823  0.007 0.753  0.007 0.682  0.007 0.611  0.007 0.540  0.007 0.470  0.007 0.399  0.007 0.328  0.007 0.257  0.007 0.187  0.007 0.116  0.007 0.045  0.007 -0.026  0.007 -0.096  0.007 -0.167  0.007 -0.238  0.007 -0.309  0.007 -0.379  0.007 -0.450  0.007 -0.521  0.007 -0.592  0.007 -0.662  0.007 -0.733  0.007 -0.804  0.007 -0.875  0.007 -0.945  0.007 -1.016  0.007 -1.087  0.007 -1.158  0.007 -1.229  0.007 -1.299  0.007 -1.370  0.007 -1.441  0.007 -1.512  0.007 -1.582  0.007 -1.653  0.007 -1.626
1c#tos#t2#t2017063/m  -0.772 0.855  -0.878 0.761  -0.878 0.563  -0.878 0.364  -0.878 0.165  -0.898 -0.029  -0.937 -0.219  -0.983 -0.411  -0.983 -0.610  -1.058 -0.786  -1.088 -0.975  -1.088 -0.909  -1.036 -0.732  -0.983 -0.545  -0.930 -0.399  -0.930 -0.200  -0.859 -0.022  -0.825 0.163  -0.720 0.257  -0.614 0.350  -0.505 0.462  -0.336 0.546  -0.148 0.592  0.026 0.531  0.167 0.390  0.176 0.195  0.207 0.003  0.229 -0.190  0.229 -0.389  0.229 -0.588  0.229 -0.664  0.229 -0.465  0.229 -0.266  0.291 -0.084  0.394 0.072  0.439 0.252  0.545 0.346  0.703 0.387  0.802 0.486  0.861 0.626  1.042 0.644  1.188 0.592  1.335 0.539  1.335 0.341  1.387 0.164  1.387 -0.035  1.387 -0.234  1.387 -0.433  1.387 -0.632  1.387 -0.831
1c#tos#t2#t2017063/n  -0.444 1.227  -0.576 1.187  -0.576 1.016  -0.576 0.845  -0.576 0.673  -0.576 0.502  -0.576 0.330  -0.576 0.159  -0.576 -0.013  -0.576 -0.184  -0.576 -0.355  -0.576 -0.527  -0.576 -0.698  -0.576 -0.870  -0.576 -1.041  -0.576 -1.212  -0.576 -1.315  -0.576 -1.144  -0.576 -0.972  -0.576 -0.801  -0.576 -0.629  -0.576 -0.458  -0.570 -0.293  -0.510 -0.181  -0.510 -0.010  -0.510 0.162  -0.374 0.260  -0.290 0.389  -0.164 0.500  -0.113 0.620  -0.028 0.718  0.093 0.839  0.234 0.913  0.385 0.963  0.557 0.963  0.728 0.963  0.808 0.834  0.812 0.665  0.877 0.534  1.010 0.431  1.010 0.259  1.010 0.088  1.010 -0.084  1.010 -0.255  1.010 -0.426  1.010 -0.598  1.010 -0.769  1.010 -0.941  1.010 -1.112  1.010 -1.151
1c#tos#t2#t2017063/p  0.113 1.692  -0.040 1.587  -0.058 1.377  -0.058 1.155  -0.058 0.933  -0.058 0.711  -0.058 0.489  -0.058 0.267  -0.058 0.045  -0.058 -0.177  -0.058 -0.398  -0.058 -0.620  -0.116 -0.829  -0.258 -0.985  -0.287 -1.188  -0.287 -1.410  -0.287 -1.632  -0.287 -1.854  -0.345 -1.812  -0.327 -1.591  -0.309 -1.370  -0.290 -1.149  -0.272 -0.928  -0.254 -0.707  -0.235 -0.486  -0.217 -0.264  -0.198 -0.043  -0.180 0.178  -0.161 0.399  -0.143 0.620  -0.125 0.841  -0.230 0.948  -0.287 1.113  -0.072 1.120  0.149 1.120  0.371 1.120  0.593 1.120  0.680 0.955  0.801 0.816  0.801 0.594  0.801 0.373  0.704 0.203  0.583 0.064  0.400 -0.032  0.400 -0.254  0.179 -0.255  0.030 -0.390  -0.116 -0.498  -0.295 -0.541  -0.402 -0.427
