1d#tos#t1#t1050062/#  -0.849 0.638  -1.264 0.638  -1.316 0.542  -0.901 0.542  -0.485 0.542  -0.069 0.542  0.324 0.638  0.728 0.685  0.902 0.608  0.564 0.367  0.226 0.125  -0.112 -0.116  -0.410 -0.397  -0.705 -0.680  -0.439 -0.792  -0.023 -0.792  0.392 -0.792  0.779 -0.697  1.153 -0.628  0.887 -0.318  0.602 -0.016  0.317 0.287  0.032 0.590  -0.253 0.892  -0.391 1.258  -0.658 1.483  -0.591 1.076  -0.559 0.663  -0.515 0.251  -0.420 -0.149  -0.420 -0.565  -0.386 -0.976  -0.297 -1.372  -0.229 -1.772  -0.175 -1.403  -0.118 -0.992  -0.061 -0.580  -0.004 -0.169  0.053 0.243  0.110 0.655  0.167 1.066  0.121 1.401  0.268 1.047  0.438 0.690  0.486 0.294  0.512 -0.120  0.534 -0.534  0.629 -0.920  0.657 -1.333  0.772 -1.650
1d#tos#t1#t1050062/$  0.478 1.163  0.342 1.054  0.097 1.054  -0.148 1.054  -0.281 0.942  -0.317 0.734  -0.317 0.489  -0.172 0.333  -0.052 0.174  0.044 0.012  0.226 -0.102  0.370 -0.203  0.520 -0.319  0.638 -0.486  0.659 -0.720  0.542 -0.897  0.383 -1.036  0.216 -1.155  0.032 -1.259  -0.213 -1.259  -0.455 -1.244  -0.642 -1.143  -0.649 -0.939  -0.582 -0.703  -0.514 -0.468  -0.447 -0.232  -0.380 0.003  -0.313 0.239  -0.245 0.474  -0.178 0.710  -0.111 0.945  -0.044 1.180  0.024 1.416  0.091 1.651  0.039 1.711  0.044 1.468  0.044 1.223  0.055 0.979  0.067 0.734  0.078 0.490  0.090 0.245  0.101 0.000  0.113 -0.244  0.125 -0.489  0.136 -0.733  0.148 -0.978  0.044 -1.114  0.081 -1.353  0.081 -1.598  0.153 -1.801
1d#tos#t1#t1050062/&  1.285 -1.290  1.120 -1.272  0.958 -1.148  0.824 -1.049  0.628 -0.998  0.488 -0.860  0.292 -0.808  0.174 -0.632  0.043 -0.491  -0.157 -0.412  -0.302 -0.339  -0.466 -0.238  -0.635 -0.102  -0.809 -0.046  -0.842 0.141  -0.948 0.315  -0.948 0.533  -0.985 0.715  -0.920 0.921  -0.790 1.076  -0.682 1.236  -0.540 1.315  -0.368 1.441  -0.189 1.419  -0.008 1.382  0.077 1.248  0.077 1.030  0.077 0.812  -0.022 0.621  -0.120 0.428  -0.268 0.268  -0.422 0.114  -0.525 -0.078  -0.655 -0.237  -0.655 -0.455  -0.651 -0.670  -0.453 -0.741  -0.235 -0.741  -0.017 -0.741  0.113 -0.654  0.260 -0.526  0.370 -0.354  0.516 -0.282  0.553 -0.070  0.553 0.148  0.730 0.210  0.862 0.113  1.031 -0.001  1.190 -0.097  1.395 -0.156
1d#tos#t1#t1050062/(  0.431 1.532  0.355 1.532  0.290 1.515  0.256 1.447  0.202 1.392  0.149 1.338  0.122 1.273  0.080 1.211  0.034 1.150  -0.011 1.089  -0.011 1.012  -0.057 0.955  -0.111 0.902  -0.151 0.840  -0.169 0.766  -0.188 0.692  -0.188 0.616  -0.203 0.541  -0.222 0.467  -0.232 0.392  -0.232 0.316  -0.232 0.240  -0.232 0.164  -0.232 0.087  -0.232 0.011  -0.232 -0.065  -0.232 -0.141  -0.232 -0.217  -0.232 -0.294  -0.232 -0.370  -0.232 -0.446  -0.232 -0.522  -0.194 -0.583  -0.143 -0.638  -0.124 -0.712  -0.106 -0.786  -0.071 -0.853  -0.029 -0.916  -0.011 -0.987  0.003 -1.060  0.041 -1.124  0.109 -1.158  0.150 -1.220  0.206 -1.253  0.274 -1.272  0.328 -1.326  0.382 -1.380  0.456 -1.385  0.532 -1.385  0.608 -1.385
1d#tos#t1#t1050062/*  -0.600 0.348  -0.978 0.264  -0.735 0.125  -0.325 0.159  0.089 0.159  0.504 0.159  0.908 0.220  1.322 0.222  1.175 0.427  0.858 0.694  0.541 0.961  0.224 1.228  -0.032 1.074  0.026 0.673  0.177 0.288  0.220 -0.119  0.220 -0.534  0.228 -0.947  0.283 -1.355  0.283 -1.769  0.335 -1.539  0.402 -1.130  0.469 -0.721  0.536 -0.312  0.602 0.097  0.669 0.506  0.736 0.915  0.703 1.189  0.498 0.897  0.290 0.614  0.031 0.305  -0.197 -0.000  -0.383 -0.357  -0.653 -0.598  -0.863 -0.913  -1.037 -1.225  -1.017 -0.820  -0.992 -0.407  -0.966 0.007  -0.941 0.421  -0.916 0.834  -1.294 0.870  -1.007 0.788  -0.756 0.521  -0.480 0.229  -0.179 0.001  0.077 -0.262  0.383 -0.490  0.651 -0.724  0.914 -0.976
1d#tos#t1#t1050062/+  -1.362 0.174  -1.526 0.119  -1.681 0.081  -1.575 0.015  -1.408 -0.023  -1.243 -0.065  -1.070 -0.065  -0.898 -0.065  -0.726 -0.065  -0.553 -0.065  -0.381 -0.065  -0.209 -0.065  -0.036 -0.065  0.129 -0.019  0.295 0.015  0.468 0.015  0.640 0.015  0.812 0.015  0.985 0.015  1.157 0.015  1.329 0.015  1.502 0.015  1.365 0.113  1.224 0.212  1.084 0.311  0.943 0.411  0.802 0.510  0.661 0.610  0.520 0.709  0.380 0.808  0.239 0.908  0.086 0.970  -0.086 0.970  -0.247 0.959  -0.247 0.787  -0.221 0.625  -0.168 0.475  -0.168 0.303  -0.168 0.130  -0.135 -0.038  -0.093 -0.205  -0.088 -0.377  -0.088 -0.549  -0.088 -0.722  -0.088 -0.894  -0.032 -1.053  -0.009 -1.220  -0.009 -1.392  -0.009 -1.565  -0.009 -1.737
1d#tos#t1#t1050062/,  0.300 1.611  0.300 1.536  0.300 1.462  0.229 1.459  0.155 1.459  0.149 1.391  0.149 1.317  0.149 1.242  0.149 1.168  0.149 1.094  0.149 1.020  0.149 0.945  0.149 0.871  0.149 0.797  0.149 0.723  0.149 0.648  0.149 0.574  0.149 0.500  0.149 0.425  0.149 0.351  0.149 0.277  0.149 0.203  0.149 0.128  0.149 0.054  0.149 -0.020  0.149 -0.094  0.149 -0.169  0.138 -0.241  0.114 -0.312  0.091 -0.382  0.067 -0.453  0.044 -0.523  0.020 -0.593  -0.003 -0.664  -0.003 -0.738  -0.003 -0.813  -0.003 -0.887  -0.003 -0.961  -0.064 -0.997  -0.131 -1.031  -0.197 -1.064  -0.264 -1.097  -0.328 -1.133  -0.390 -1.174  -0.452 -1.215  -0.514 -1.257  -0.576 -1.298  -0.637 -1.339  -0.699 -1.380  -0.761 -1.421
1d#tos#t1#t1050062/.  0.064 1.656  0.030 1.588  -0.004 1.520  -0.038 1.453  -0.072 1.385  -0.106 1.318  -0.139 1.250  -0.165 1.180  -0.165 1.105  -0.165 1.029  -0.165 0.953  -0.165 0.878  -0.165 0.802  -0.165 0.727  -0.165 0.651  -0.165 0.575  -0.150 0.515  -0.074 0.515  0.002 0.515  0.064 0.501  0.064 0.426  0.064 0.350  0.064 0.274  0.064 0.199  0.064 0.123  0.064 0.048  0.064 -0.028  0.064 -0.104  0.064 -0.179  0.064 -0.255  0.064 -0.330  0.064 -0.406  0.064 -0.482  0.064 -0.557  0.064 -0.633  0.064 -0.708  0.064 -0.784  0.064 -0.860  0.064 -0.935  0.064 -1.011  0.064 -1.086  0.064 -1.162  0.064 -1.238  0.064 -1.313  0.064 -1.389  0.064 -1.464  0.064 -1.540  0.064 -1.616  0.064 -1.691  0.064 -1.767
1d#tos#t1#t1050062/;  0.058 1.555  -0.015 1.555  -0.083 1.548  -0.101 1.477  -0.119 1.405  -0.137 1.334  -0.151 1.262  -0.151 1.189  -0.131 1.136  -0.081 1.112  -0.081 1.038  -0.081 0.965  -0.057 0.902  -0.011 0.847  -0.004 0.774  0.003 0.701  0.009 0.628  0.016 0.554  0.022 0.481  0.029 0.408  0.036 0.335  0.042 0.262  0.049 0.189  0.056 0.115  0.062 0.042  0.069 -0.031  0.076 -0.104  0.082 -0.177  0.089 -0.250  0.096 -0.324  0.102 -0.397  0.109 -0.470  0.116 -0.543  0.122 -0.616  0.128 -0.689  0.128 -0.763  0.128 -0.836  0.128 -0.910  0.112 -0.977  0.060 -1.029  0.058 -1.101  0.056 -1.174  0.023 -1.240  -0.009 -1.306  -0.042 -1.371  -0.075 -1.437  -0.081 -1.509  -0.144 -1.520  -0.218 -1.520  -0.291 -1.520
1d#tos#t1#t1050062/?  -0.392 0.883  -0.244 0.932  -0.095 0.982  0.055 1.027  0.136 0.952  0.136 0.795  0.136 0.638  0.136 0.481  0.136 0.324  0.136 0.168  0.088 0.022  0.088 -0.135  0.088 -0.292  0.088 -0.448  0.088 -0.605  0.140 -0.713  0.203 -0.857  0.266 -1.001  0.329 -1.144  0.392 -1.288  0.455 -1.432  0.473 -1.585  0.473 -1.742  0.427 -1.633  0.374 -1.486  0.321 -1.338  0.268 -1.190  0.215 -1.043  0.162 -0.895  0.108 -0.748  0.055 -0.600  0.002 -0.452  -0.051 -0.305  -0.104 -0.157  -0.157 -0.010  -0.210 0.138  -0.263 0.286  -0.316 0.433  -0.369 0.581  -0.422 0.728  -0.475 0.876  -0.528 1.024  -0.581 1.171  -0.630 1.314  -0.484 1.267  -0.344 1.285  -0.266 1.267  -0.129 1.219  -0.008 1.184  0.088 1.123
1d#tos#t1#t1050062/@  1.043 -0.737  0.953 -0.848  0.911 -1.007  0.736 -1.094  0.592 -1.188  0.427 -1.277  0.245 -1.322  0.089 -1.367  -0.101 -1.322  -0.216 -1.236  -0.306 -1.125  -0.448 -1.000  -0.531 -0.833  -0.666 -0.707  -0.711 -0.516  -0.820 -0.384  -0.870 -0.194  -0.936 -0.009  -0.936 0.192  -0.936 0.393  -0.891 0.575  -0.788 0.683  -0.717 0.837  -0.621 0.968  -0.487 1.061  -0.332 1.171  -0.142 1.197  0.059 1.197  0.260 1.197  0.405 1.107  0.506 1.005  0.576 0.837  0.683 0.709  0.773 0.564  0.773 0.363  0.773 0.162  0.728 0.006  0.633 -0.152  0.477 -0.197  0.295 -0.242  0.131 -0.332  -0.059 -0.287  -0.140 -0.156  -0.216 -0.005  -0.216 0.196  -0.207 0.387  -0.126 0.507  -0.024 0.663  0.099 0.771  0.278 0.792
