3#app#app07#app0716/!  0.115 1.366  0.115 1.443  0.115 1.521  0.075 1.558  0.051 1.505  0.051 1.428  0.051 1.351  0.038 1.276  0.004 1.207  -0.013 1.134  -0.013 1.056  -0.013 0.979  -0.020 0.903  -0.055 0.834  -0.077 0.762  -0.077 0.684  -0.094 0.610  -0.119 0.536  -0.142 0.462  -0.142 0.385  -0.142 0.308  -0.142 0.230  -0.142 0.153  -0.142 0.075  -0.142 -0.002  -0.142 -0.079  -0.142 -0.157  -0.142 -0.234  -0.136 -0.309  -0.081 -0.364  -0.077 -0.440  -0.056 -0.496  -0.013 -0.531  0.034 -0.560  0.051 -0.621  0.056 -0.698  0.062 -0.776  0.067 -0.853  0.073 -0.930  0.078 -1.007  0.084 -1.084  0.089 -1.162  0.095 -1.239  0.100 -1.316  0.106 -1.393  0.111 -1.471  0.115 -1.499  0.115 -1.497  0.166 -1.523  0.244 -1.523
3#app#app07#app0716/@  0.303 0.118  0.484 0.118  0.657 0.138  0.805 0.208  0.878 0.359  0.888 0.536  0.805 0.633  0.726 0.781  0.573 0.850  0.400 0.869  0.220 0.869  0.073 0.786  -0.024 0.702  -0.031 0.528  -0.009 0.368  0.088 0.285  0.269 0.285  0.387 0.348  0.471 0.445  0.554 0.592  0.484 0.702  0.411 0.845  0.240 0.869  0.059 0.869  -0.112 0.829  -0.274 0.748  -0.421 0.646  -0.549 0.518  -0.677 0.390  -0.805 0.262  -0.932 0.135  -1.044 -0.008  -1.152 -0.153  -1.200 -0.318  -1.200 -0.499  -1.167 -0.666  -1.068 -0.814  -0.960 -0.957  -0.823 -1.072  -0.657 -1.135  -0.476 -1.135  -0.295 -1.135  -0.114 -1.135  0.067 -1.135  0.248 -1.135  0.426 -1.122  0.598 -1.064  0.777 -1.051  0.958 -1.051  1.139 -1.051
3#app#app07#app0716/#  0.031 1.065  -0.175 0.818  -0.402 0.468  -0.471 0.081  -0.626 -0.186  -0.765 -0.550  -0.790 -0.961  -0.582 -0.830  -0.305 -0.513  -0.027 -0.196  0.251 0.121  0.528 0.439  0.806 0.756  1.084 1.073  1.361 1.391  1.366 1.417  1.130 1.081  0.973 0.695  0.675 0.397  0.493 0.051  0.359 -0.315  0.359 -0.737  0.276 -1.030  -0.108 -0.856  -0.492 -0.681  -0.875 -0.507  -1.259 -0.332  -1.282 -0.195  -1.015 0.020  -0.669 0.202  -0.265 0.245  0.156 0.245  0.578 0.245  0.763 0.548  0.909 0.901  1.058 0.811  0.721 0.558  0.384 0.305  0.046 0.052  -0.291 -0.201  -0.628 -0.454  -0.966 -0.707  -1.303 -0.960  -1.272 -0.904  -0.918 -0.740  -0.534 -0.648  -0.159 -0.506  0.240 -0.411  0.621 -0.313  1.015 -0.247
3#app#app07#app0716/$  0.370 0.599  0.152 0.487  -0.070 0.386  -0.316 0.309  -0.563 0.239  -0.777 0.090  -0.905 -0.059  -0.799 -0.217  -0.569 -0.251  -0.324 -0.329  -0.066 -0.357  0.198 -0.357  0.462 -0.357  0.724 -0.369  0.974 -0.452  1.114 -0.648  0.915 -0.768  0.702 -0.888  0.450 -0.968  0.235 -1.101  -0.005 -1.158  -0.249 -1.207  -0.469 -1.176  -0.386 -0.926  -0.303 -0.675  -0.219 -0.425  -0.136 -0.174  -0.052 0.076  0.031 0.326  0.115 0.577  0.198 0.827  0.282 1.078  0.365 1.328  0.449 1.578  0.532 1.829  0.582 1.875  0.476 1.636  0.395 1.392  0.277 1.156  0.159 0.920  0.041 0.683  -0.078 0.447  -0.215 0.226  -0.383 0.029  -0.447 -0.227  -0.521 -0.481  -0.586 -0.734  -0.586 -0.998  -0.586 -1.262  -0.586 -1.526
3#app#app07#app0716/%  0.715 1.046  0.583 0.888  0.494 0.622  0.319 0.409  0.217 0.168  0.091 -0.082  -0.051 -0.321  -0.204 -0.552  -0.246 -0.822  -0.366 -1.052  -0.366 -1.332  -0.486 -1.563  -0.508 -1.353  -0.534 -1.073  -0.559 -0.794  -0.584 -0.515  -0.610 -0.236  -0.635 0.043  -0.661 0.322  -0.686 0.601  -0.711 0.880  -0.726 0.932  -0.880 0.806  -0.967 0.612  -0.783 0.445  -0.533 0.518  -0.366 0.659  -0.246 0.819  -0.366 1.049  -0.481 1.281  -0.704 1.262  -0.513 1.056  -0.322 0.851  -0.132 0.646  0.059 0.440  0.250 0.235  0.440 0.030  0.631 -0.176  0.822 -0.381  0.616 -0.495  0.475 -0.716  0.355 -0.876  0.585 -0.997  0.821 -0.890  1.076 -0.856  1.196 -0.696  1.316 -0.466  1.226 -0.276  1.104 -0.064  0.835 -0.035
3#app#app07#app0716/^  -1.300 -0.538  -1.300 -0.414  -1.300 -0.290  -1.300 -0.165  -1.260 -0.081  -1.135 -0.081  -1.071 -0.021  -1.071 0.103  -0.991 0.147  -0.866 0.147  -0.772 0.218  -0.684 0.306  -0.588 0.376  -0.464 0.376  -0.385 0.422  -0.385 0.546  -0.319 0.605  -0.195 0.605  -0.157 0.691  -0.157 0.815  -0.050 0.833  0.072 0.835  0.072 0.960  0.072 1.039  0.072 0.915  0.072 0.791  0.072 0.666  0.072 0.542  0.072 0.417  0.072 0.293  0.072 0.169  0.145 0.075  0.232 -0.013  0.300 -0.110  0.300 -0.234  0.349 -0.310  0.473 -0.310  0.529 -0.378  0.529 -0.503  0.592 -0.601  0.680 -0.689  0.772 -0.767  0.896 -0.767  1.010 -0.791  1.098 -0.879  1.186 -0.967  1.299 -0.996  1.423 -0.996  1.547 -0.996  1.672 -0.996
3#app#app07#app0716/&  1.153 1.478  0.989 1.478  0.869 1.370  0.801 1.233  0.775 1.074  0.701 0.926  0.627 0.779  0.513 0.661  0.396 0.544  0.279 0.428  0.203 0.282  0.129 0.135  0.032 0.004  -0.081 -0.114  -0.081 -0.279  -0.193 -0.397  -0.257 -0.536  -0.257 -0.701  -0.257 -0.866  -0.257 -1.031  -0.257 -1.195  -0.268 -1.330  -0.376 -1.205  -0.483 -1.080  -0.590 -0.955  -0.698 -0.829  -0.805 -0.704  -0.912 -0.579  -1.020 -0.454  -1.127 -0.329  -1.234 -0.203  -1.275 -0.109  -1.118 -0.088  -1.002 0.028  -0.853 0.067  -0.688 0.067  -0.523 0.067  -0.380 0.121  -0.264 0.237  -0.102 0.244  0.063 0.244  0.228 0.244  0.393 0.244  0.558 0.244  0.723 0.244  0.879 0.205  1.026 0.131  1.176 0.067  1.341 0.067  1.506 0.067
3#app#app07#app0716/*  -0.723 0.992  -0.508 1.110  -0.293 0.992  -0.128 0.752  0.123 0.587  0.233 0.273  0.462 0.034  0.581 -0.250  0.699 -0.535  0.386 -0.612  0.059 -0.678  -0.268 -0.743  -0.596 -0.809  -0.923 -0.874  -0.961 -0.780  -0.842 -0.495  -0.632 -0.267  -0.410 -0.041  -0.198 0.213  0.038 0.449  0.318 0.623  0.491 0.902  0.734 1.128  1.013 1.305  1.280 1.466  1.114 1.288  0.900 1.036  0.711 0.766  0.475 0.530  0.362 0.218  0.221 -0.084  0.107 -0.391  -0.012 -0.697  -0.012 -1.031  -0.012 -1.365  -0.067 -1.557  -0.293 -1.311  -0.518 -1.065  -0.744 -0.818  -0.970 -0.572  -1.195 -0.326  -1.198 -0.158  -0.946 -0.075  -0.662 0.043  -0.328 0.043  -0.034 0.140  0.291 0.162  0.625 0.162  0.958 0.162  1.292 0.162
3#app#app07#app0716/(  0.845 1.427  0.763 1.427  0.739 1.370  0.706 1.321  0.627 1.316  0.569 1.258  0.511 1.200  0.454 1.143  0.390 1.093  0.317 1.057  0.244 1.020  0.189 0.966  0.152 0.893  0.116 0.820  0.079 0.747  0.043 0.674  0.006 0.601  -0.023 0.525  -0.049 0.448  -0.075 0.370  -0.101 0.293  -0.144 0.226  -0.202 0.168  -0.259 0.110  -0.317 0.053  -0.357 -0.018  -0.393 -0.091  -0.430 -0.164  -0.432 -0.245  -0.432 -0.327  -0.432 -0.409  -0.432 -0.490  -0.432 -0.572  -0.432 -0.653  -0.432 -0.735  -0.432 -0.817  -0.432 -0.898  -0.432 -0.980  -0.391 -1.020  -0.314 -1.032  -0.256 -1.090  -0.198 -1.147  -0.141 -1.205  -0.071 -1.233  0.011 -1.233  0.093 -1.233  0.174 -1.233  0.256 -1.233  0.338 -1.233  0.419 -1.233
3#app#app07#app0716/)  -0.316 1.650  -0.316 1.575  -0.316 1.500  -0.289 1.436  -0.236 1.383  -0.222 1.314  -0.222 1.239  -0.210 1.169  -0.157 1.116  -0.128 1.053  -0.128 0.978  -0.128 0.903  -0.077 0.849  -0.024 0.796  0.029 0.742  0.059 0.680  0.059 0.605  0.059 0.530  0.108 0.475  0.153 0.419  0.153 0.344  0.153 0.269  0.175 0.199  0.209 0.132  0.242 0.064  0.247 -0.009  0.247 -0.084  0.247 -0.160  0.247 -0.235  0.247 -0.310  0.247 -0.385  0.247 -0.460  0.239 -0.533  0.215 -0.605  0.191 -0.676  0.168 -0.747  0.140 -0.817  0.106 -0.884  0.073 -0.951  0.059 -1.023  0.048 -1.095  0.014 -1.162  -0.019 -1.229  -0.064 -1.289  -0.117 -1.342  -0.170 -1.395  -0.223 -1.448  -0.276 -1.501  -0.335 -1.541  -0.410 -1.541
3#app#app07#app0716/`  -0.507 0.835  -0.507 0.916  -0.507 0.997  -0.507 1.078  -0.507 1.159  -0.507 1.240  -0.507 1.321  -0.465 1.299  -0.407 1.242  -0.350 1.185  -0.293 1.127  -0.236 1.070  -0.178 1.013  -0.121 0.956  -0.064 0.898  -0.006 0.841  0.000 0.763  0.000 0.682  0.000 0.601  0.000 0.520  0.000 0.439  0.000 0.357  0.000 0.276  0.000 0.195  0.000 0.114  0.000 0.033  0.000 -0.048  0.000 -0.129  0.000 -0.210  0.000 -0.291  0.000 -0.372  0.000 -0.453  0.000 -0.534  0.000 -0.615  0.006 -0.693  0.064 -0.750  0.121 -0.808  0.178 -0.865  0.236 -0.922  0.293 -0.980  0.350 -1.037  0.407 -1.094  0.465 -1.151  0.507 -1.215  0.507 -1.296  0.507 -1.377  0.507 -1.458  0.507 -1.539  0.507 -1.620  0.507 -1.701
3#app#app07#app0716/~  -1.188 -0.642  -1.188 -0.528  -1.245 -0.438  -1.326 -0.358  -1.336 -0.248  -1.336 -0.134  -1.302 -0.053  -1.188 -0.053  -1.188 0.061  -1.132 0.151  -1.051 0.231  -0.970 0.312  -0.888 0.388  -0.774 0.388  -0.747 0.475  -0.694 0.536  -0.580 0.536  -0.466 0.536  -0.352 0.536  -0.305 0.469  -0.271 0.388  -0.158 0.388  -0.158 0.275  -0.101 0.184  -0.020 0.104  -0.010 -0.006  -0.010 -0.120  0.023 -0.201  0.137 -0.201  0.137 -0.315  0.217 -0.348  0.318 -0.381  0.398 -0.462  0.498 -0.495  0.612 -0.495  0.726 -0.495  0.840 -0.495  0.930 -0.438  1.011 -0.358  1.121 -0.348  1.168 -0.281  1.191 -0.177  1.272 -0.096  1.315 -0.000  1.315 0.113  1.315 0.227  1.315 0.341  1.315 0.455  1.348 0.536  1.462 0.536
3#app#app07#app0716/  -1.341 -0.579  -1.341 -0.503  -1.341 -0.428  -1.341 -0.352  -1.341 -0.276  -1.341 -0.201  -1.341 -0.125  -1.311 -0.079  -1.236 -0.079  -1.160 -0.079  -1.085 -0.079  -1.009 -0.079  -0.934 -0.079  -0.858 -0.079  -0.783 -0.079  -0.707 -0.079  -0.632 -0.079  -0.556 -0.079  -0.480 -0.079  -0.405 -0.079  -0.329 -0.079  -0.254 -0.079  -0.178 -0.079  -0.103 -0.079  -0.027 -0.079  0.048 -0.079  0.124 -0.079  0.199 -0.079  0.275 -0.079  0.350 -0.079  0.426 -0.079  0.501 -0.079  0.577 -0.079  0.653 -0.079  0.707 -0.028  0.760 0.025  0.814 0.078  0.867 0.132  0.921 0.185  0.974 0.239  1.027 0.292  1.081 0.346  1.134 0.399  1.201 0.420  1.277 0.420  1.352 0.420  1.428 0.420  1.503 0.420  1.579 0.420  1.654 0.420
3#app#app07#app0716/_  -1.713 -0.089  -1.641 -0.089  -1.570 -0.089  -1.499 -0.089  -1.427 -0.089  -1.356 -0.089  -1.284 -0.089  -1.213 -0.089  -1.141 -0.089  -1.070 -0.089  -0.999 -0.089  -0.927 -0.089  -0.856 -0.089  -0.784 -0.089  -0.713 -0.089  -0.642 -0.089  -0.570 -0.089  -0.499 -0.089  -0.427 -0.089  -0.356 -0.089  -0.284 -0.089  -0.213 -0.089  -0.142 -0.089  -0.070 -0.089  0.001 -0.089  0.073 -0.089  0.130 -0.055  0.180 -0.005  0.231 0.046  0.281 0.096  0.346 0.112  0.418 0.112  0.489 0.112  0.561 0.112  0.632 0.112  0.704 0.112  0.775 0.112  0.846 0.112  0.918 0.112  0.989 0.112  1.061 0.112  1.132 0.112  1.203 0.112  1.275 0.112  1.346 0.112  1.418 0.112  1.489 0.112  1.561 0.112  1.632 0.112  1.703 0.112
3#app#app07#app0716/+  -1.448 -0.345  -1.275 -0.345  -1.102 -0.345  -0.928 -0.345  -0.755 -0.345  -0.581 -0.345  -0.408 -0.345  -0.234 -0.345  -0.061 -0.345  0.113 -0.345  0.286 -0.345  0.438 -0.396  0.561 -0.518  0.722 -0.549  0.895 -0.549  1.069 -0.549  1.187 -0.515  1.109 -0.360  1.031 -0.204  0.954 -0.049  0.876 0.106  0.799 0.261  0.721 0.416  0.644 0.571  0.566 0.726  0.488 0.882  0.411 1.037  0.333 1.192  0.256 1.347  0.171 1.491  -0.002 1.491  -0.020 1.336  -0.020 1.162  -0.087 1.016  -0.210 0.894  -0.224 0.726  -0.224 0.553  -0.265 0.389  -0.343 0.234  -0.420 0.079  -0.428 -0.093  -0.428 -0.266  -0.428 -0.440  -0.428 -0.613  -0.428 -0.786  -0.430 -0.959  -0.553 -1.082  -0.632 -1.222  -0.632 -1.396  -0.632 -1.569
3#app#app07#app0716/=  -1.034 0.959  -0.931 0.855  -0.825 0.759  -0.679 0.759  -0.533 0.759  -0.401 0.794  -0.298 0.897  -0.178 0.959  -0.032 0.959  0.114 0.959  0.260 0.959  0.406 0.959  0.552 0.959  0.698 0.959  0.819 0.899  0.922 0.796  1.053 0.759  1.127 0.734  1.014 0.641  0.901 0.549  0.789 0.457  0.676 0.364  0.563 0.272  0.450 0.179  0.337 0.087  0.224 -0.005  0.111 -0.098  -0.002 -0.190  -0.115 -0.283  -0.228 -0.375  -0.341 -0.467  -0.454 -0.560  -0.567 -0.652  -0.680 -0.745  -0.792 -0.837  -0.905 -0.929  -1.018 -1.022  -0.909 -1.035  -0.763 -1.035  -0.617 -1.035  -0.471 -1.035  -0.325 -1.035  -0.196 -0.994  -0.093 -0.891  0.030 -0.835  0.176 -0.835  0.322 -0.835  0.468 -0.835  0.614 -0.835  0.760 -0.835
3#app#app07#app0716/[  0.929 1.185  0.840 1.193  0.775 1.258  0.686 1.265  0.595 1.265  0.529 1.239  0.491 1.185  0.399 1.185  0.308 1.185  0.289 1.112  0.206 1.101  0.141 1.037  0.076 0.972  0.011 0.907  -0.046 0.836  -0.087 0.754  -0.111 0.668  -0.146 0.590  -0.210 0.526  -0.271 0.459  -0.271 0.367  -0.292 0.284  -0.351 0.217  -0.351 0.125  -0.351 0.033  -0.351 -0.058  -0.351 -0.150  -0.351 -0.242  -0.351 -0.334  -0.351 -0.425  -0.351 -0.517  -0.351 -0.609  -0.351 -0.701  -0.392 -0.776  -0.431 -0.851  -0.479 -0.895  -0.511 -0.954  -0.461 -1.025  -0.382 -1.055  -0.290 -1.055  -0.206 -1.088  -0.124 -1.129  -0.034 -1.135  0.058 -1.135  0.150 -1.135  0.242 -1.135  0.333 -1.135  0.425 -1.135  0.517 -1.135  0.609 -1.135
