3#app#app40#app4075/B  -0.362 -0.624  -0.362 -0.854  -0.362 -1.084  -0.333 -1.285  -0.157 -1.250  -0.251 -1.040  -0.344 -0.829  -0.438 -0.619  -0.531 -0.409  -0.625 -0.199  -0.718 0.012  -0.811 0.222  -0.905 0.432  -0.998 0.642  -0.853 0.698  -0.623 0.698  -0.449 0.831  -0.255 0.918  -0.024 0.918  0.168 1.008  0.344 1.139  0.520 1.194  0.584 1.359  0.814 1.359  0.901 1.299  0.737 1.139  0.520 1.126  0.504 0.903  0.341 0.740  0.179 0.577  -0.010 0.477  -0.142 0.379  -0.250 0.257  -0.362 0.139  -0.362 -0.091  -0.224 -0.184  -0.037 -0.079  0.145 0.037  0.353 -0.017  0.515 -0.179  0.740 -0.187  0.740 -0.417  0.740 -0.647  0.717 -0.868  0.554 -1.031  0.338 -1.065  0.299 -1.256  0.098 -1.285  0.079 -1.496  -0.142 -1.506
3#app#app40#app4075/Y  -1.760 0.706  -1.632 0.578  -1.504 0.450  -1.350 0.383  -1.169 0.383  -1.115 0.256  -1.115 0.075  -0.948 0.060  -0.792 0.035  -0.792 -0.146  -0.746 -0.309  -0.617 -0.437  -0.489 -0.565  -0.361 -0.693  -0.233 -0.822  -0.087 -0.908  0.094 -0.908  0.204 -0.813  0.254 -0.639  0.303 -0.464  0.353 -0.290  0.403 -0.116  0.453 0.059  0.503 0.233  0.553 0.407  0.602 0.582  0.652 0.756  0.702 0.931  0.752 1.105  0.802 1.279  0.822 1.246  0.822 1.065  0.822 0.883  0.818 0.706  0.637 0.706  0.500 0.662  0.500 0.481  0.500 0.299  0.500 0.118  0.376 0.060  0.194 0.060  0.177 -0.103  0.177 -0.284  0.177 -0.466  0.177 -0.647  0.177 -0.828  0.177 -1.010  0.177 -1.191  0.177 -1.372  0.177 -1.554
3#app#app40#app4075/T  -0.100 0.744  0.025 0.619  0.151 0.493  0.179 0.328  0.179 0.151  0.179 -0.027  0.179 -0.204  0.179 -0.381  0.179 -0.558  0.121 -0.711  -0.005 -0.837  -0.100 -0.975  -0.100 -1.152  -0.017 -1.295  0.108 -1.420  0.139 -1.426  0.045 -1.276  -0.049 -1.125  -0.143 -0.975  -0.237 -0.825  -0.331 -0.674  -0.425 -0.524  -0.519 -0.374  -0.613 -0.223  -0.707 -0.073  -0.801 0.077  -0.895 0.228  -0.989 0.378  -1.083 0.528  -1.177 0.679  -1.117 0.744  -0.940 0.744  -0.763 0.744  -0.659 0.671  -0.659 0.494  -0.510 0.465  -0.333 0.465  -0.156 0.465  0.021 0.465  0.199 0.465  0.376 0.465  0.553 0.465  0.730 0.465  0.908 0.465  1.085 0.465  1.262 0.465  1.440 0.465  1.605 0.493  1.730 0.619  1.856 0.744
3#app#app40#app4075/H  -1.141 0.638  -0.886 0.638  -0.848 0.421  -0.848 0.166  -0.848 -0.089  -0.848 -0.345  -0.848 -0.600  -0.848 -0.855  -0.848 -1.110  -0.676 -1.294  -0.533 -1.334  -0.465 -1.088  -0.398 -0.842  -0.331 -0.595  -0.264 -0.349  -0.197 -0.103  -0.130 0.143  -0.063 0.389  0.005 0.635  0.072 0.882  0.139 1.128  0.206 1.374  0.273 1.620  0.325 1.754  0.344 1.518  0.600 1.518  0.618 1.281  0.618 1.026  0.618 0.771  0.618 0.516  0.618 0.261  0.618 0.006  0.618 -0.250  0.618 -0.505  0.618 -0.760  0.805 -0.829  0.912 -0.977  0.826 -1.053  0.626 -0.893  0.427 -0.734  0.228 -0.575  0.028 -0.415  -0.171 -0.256  -0.370 -0.096  -0.536 0.051  -0.281 0.051  -0.095 -0.115  0.108 -0.242  0.363 -0.242  0.618 -0.242
3#app#app40#app4075/E  -0.889 0.640  -0.707 0.459  -0.589 0.250  -0.639 0.042  -0.889 0.034  -0.889 -0.223  -0.889 -0.480  -0.889 -0.737  -0.749 -0.855  -0.589 -0.953  -0.589 -1.098  -0.589 -0.841  -0.589 -0.584  -0.589 -0.327  -0.589 -0.069  -0.589 0.188  -0.589 0.445  -0.527 0.640  -0.276 0.655  -0.094 0.837  0.088 1.019  0.270 1.200  0.511 1.239  0.768 1.239  0.906 1.358  0.866 1.471  0.734 1.251  0.601 1.030  0.469 0.809  0.337 0.589  0.204 0.368  0.072 0.148  0.143 0.042  0.401 0.042  0.643 0.078  0.825 0.260  0.806 0.241  0.624 0.059  0.442 -0.123  0.260 -0.305  0.078 -0.487  -0.104 -0.669  -0.286 -0.851  -0.290 -1.106  -0.081 -1.154  0.176 -1.154  0.433 -1.154  0.691 -1.154  0.948 -1.154  1.205 -1.154
3#app#app40#app4075/F  -0.712 0.505  -0.712 0.271  -0.578 0.170  -0.377 0.137  -0.377 -0.097  -0.377 -0.331  -0.377 -0.566  -0.377 -0.800  -0.377 -1.034  -0.377 -1.269  -0.377 -1.503  -0.463 -1.290  -0.550 -1.072  -0.637 -0.855  -0.724 -0.637  -0.811 -0.420  -0.898 -0.202  -0.985 0.015  -0.979 0.170  -0.745 0.170  -0.510 0.170  -0.305 0.241  -0.140 0.407  0.026 0.573  0.192 0.738  0.357 0.904  0.523 1.070  0.714 1.175  0.948 1.175  1.118 1.330  1.284 1.496  1.162 1.346  1.012 1.166  0.862 0.986  0.712 0.806  0.562 0.626  0.412 0.446  0.262 0.266  0.112 0.086  -0.038 -0.094  -0.188 -0.274  -0.338 -0.454  -0.254 -0.623  -0.088 -0.789  0.127 -0.835  0.361 -0.835  0.596 -0.835  0.629 -0.634  0.729 -0.500  0.964 -0.500
3#app#app40#app4075/L  -0.450 1.756  -0.450 1.666  -0.450 1.576  -0.450 1.486  -0.450 1.396  -0.450 1.305  -0.450 1.215  -0.450 1.125  -0.450 1.035  -0.450 0.945  -0.450 0.855  -0.450 0.765  -0.450 0.675  -0.450 0.585  -0.450 0.495  -0.450 0.405  -0.450 0.315  -0.450 0.225  -0.450 0.135  -0.450 0.045  -0.450 -0.045  -0.450 -0.135  -0.450 -0.225  -0.450 -0.315  -0.450 -0.405  -0.405 -0.450  -0.315 -0.450  -0.225 -0.450  -0.135 -0.450  -0.045 -0.450  0.045 -0.450  0.135 -0.450  0.225 -0.450  0.315 -0.450  0.405 -0.450  0.432 -0.513  0.432 -0.603  0.432 -0.693  0.432 -0.783  0.432 -0.873  0.504 -0.891  0.594 -0.891  0.684 -0.891  0.774 -0.891  0.864 -0.891  0.954 -0.891  1.044 -0.891  1.134 -0.891  1.224 -0.891  1.315 -0.891
3#app#app40#app4075/A  -0.258 0.543  -0.258 0.271  -0.520 0.260  -0.542 0.009  -0.782 -0.024  -0.825 -0.252  -0.979 -0.461  -1.109 -0.680  -1.109 -0.953  -1.041 -1.158  -0.825 -1.101  -0.779 -0.874  -0.542 -0.839  -0.525 -0.574  -0.332 -0.381  -0.258 -0.139  -0.147 0.088  0.025 0.289  0.025 0.561  0.025 0.834  0.025 1.107  0.025 1.379  0.025 1.652  0.200 1.852  0.309 1.843  0.309 1.570  0.309 1.297  0.309 1.025  0.309 0.752  0.309 0.480  0.309 0.207  0.339 -0.053  0.531 -0.246  0.592 -0.493  0.716 -0.715  0.876 -0.921  0.876 -1.194  0.862 -1.420  0.711 -1.194  0.560 -0.967  0.408 -0.740  0.257 -0.513  0.106 -0.286  -0.045 -0.060  -0.196 0.167  -0.144 0.146  0.058 -0.024  0.331 -0.024  0.603 -0.024  0.876 -0.024
3#app#app40#app4075/V  -0.820 0.545  -0.820 0.425  -0.820 0.305  -0.820 0.186  -0.820 0.066  -0.820 -0.054  -0.820 -0.173  -0.820 -0.293  -0.820 -0.413  -0.820 -0.532  -0.820 -0.652  -0.820 -0.772  -0.820 -0.891  -0.807 -0.998  -0.687 -0.998  -0.568 -0.998  -0.448 -0.998  -0.328 -0.998  -0.209 -0.998  -0.202 -0.885  -0.202 -0.765  -0.158 -0.690  -0.039 -0.690  0.081 -0.690  0.106 -0.595  0.106 -0.476  0.132 -0.381  0.251 -0.381  0.371 -0.381  0.415 -0.305  0.415 -0.186  0.415 -0.066  0.415 0.054  0.415 0.173  0.472 0.236  0.591 0.236  0.711 0.236  0.724 0.343  0.724 0.463  0.724 0.583  0.724 0.702  0.724 0.822  0.724 0.942  0.724 1.061  0.724 1.181  0.724 1.301  0.724 1.420  0.724 1.540  0.724 1.660  0.724 1.779
3#app#app40#app4075/O  0.213 0.596  0.213 0.740  0.213 0.884  0.213 1.028  0.213 1.172  0.176 1.279  0.032 1.279  -0.112 1.279  -0.129 1.152  -0.129 1.008  -0.181 0.885  -0.283 0.783  -0.384 0.681  -0.493 0.596  -0.637 0.596  -0.781 0.596  -0.812 0.482  -0.812 0.338  -0.812 0.194  -0.812 0.050  -0.812 -0.094  -0.812 -0.238  -0.812 -0.382  -0.812 -0.526  -0.812 -0.670  -0.782 -0.802  -0.680 -0.904  -0.578 -1.006  -0.476 -1.107  -0.335 -1.113  -0.191 -1.113  -0.046 -1.113  0.098 -1.113  0.233 -1.093  0.335 -0.991  0.437 -0.889  0.539 -0.788  0.676 -0.772  0.821 -0.772  0.897 -0.704  0.897 -0.560  0.897 -0.416  0.897 -0.271  0.897 -0.127  0.897 0.017  0.897 0.161  0.861 0.290  0.759 0.392  0.657 0.494  0.555 0.596
3#app#app40#app4075/R  -0.364 0.867  -0.364 0.636  -0.364 0.405  -0.364 0.174  -0.364 -0.057  -0.364 -0.288  -0.511 -0.459  -0.659 -0.628  -0.659 -0.859  -0.659 -1.090  -0.659 -1.322  -0.597 -1.491  -0.366 -1.491  -0.364 -1.262  -0.364 -1.031  -0.364 -0.800  -0.364 -0.569  -0.364 -0.338  -0.364 -0.106  -0.364 0.125  -0.364 0.356  -0.364 0.587  -0.364 0.818  -0.364 1.049  -0.246 1.162  -0.015 1.162  0.216 1.162  0.225 1.384  0.383 1.456  0.614 1.456  0.815 1.426  0.815 1.195  0.815 0.963  0.815 0.732  0.744 0.572  0.520 0.565  0.520 0.334  0.345 0.278  0.225 0.167  0.225 -0.064  0.225 -0.296  0.011 -0.312  -0.070 -0.463  -0.070 -0.694  -0.046 -0.901  0.185 -0.901  0.416 -0.901  0.647 -0.901  0.878 -0.901  1.109 -0.901
3#app#app40#app4075/O  0.184 1.450  0.184 1.303  0.184 1.157  0.107 1.088  -0.040 1.088  -0.186 1.088  -0.332 1.088  -0.479 1.088  -0.539 1.002  -0.539 0.856  -0.539 0.710  -0.539 0.563  -0.539 0.417  -0.633 0.365  -0.780 0.365  -0.901 0.340  -0.901 0.193  -0.901 0.047  -0.901 -0.099  -0.901 -0.246  -0.867 -0.358  -0.721 -0.358  -0.574 -0.358  -0.539 -0.469  -0.539 -0.616  -0.509 -0.750  -0.406 -0.853  -0.302 -0.957  -0.199 -1.060  -0.061 -1.081  0.085 -1.081  0.231 -1.081  0.378 -1.081  0.524 -1.081  0.546 -0.957  0.546 -0.811  0.601 -0.720  0.748 -0.720  0.894 -0.720  0.907 -0.587  0.907 -0.441  0.907 -0.294  0.907 -0.148  0.907 -0.002  0.907 0.145  0.907 0.291  0.856 0.416  0.753 0.520  0.649 0.623  0.546 0.726
3#app#app40#app4075/U  -1.072 0.767  -1.072 0.620  -1.072 0.473  -1.072 0.326  -1.072 0.178  -1.213 0.172  -1.360 0.172  -1.370 0.034  -1.370 -0.113  -1.274 -0.221  -1.170 -0.325  -1.072 -0.432  -1.072 -0.579  -1.067 -0.721  -0.919 -0.721  -0.772 -0.721  -0.625 -0.721  -0.478 -0.721  -0.330 -0.721  -0.183 -0.721  -0.078 -0.620  0.026 -0.516  0.131 -0.412  0.235 -0.307  0.339 -0.203  0.416 -0.088  0.416 0.059  0.451 0.172  0.598 0.172  0.714 0.203  0.714 0.351  0.714 0.498  0.714 0.645  0.714 0.792  0.714 0.940  0.714 1.043  0.714 0.896  0.714 0.749  0.714 0.601  0.714 0.454  0.714 0.307  0.714 0.159  0.714 0.012  0.723 -0.126  0.871 -0.126  1.012 -0.132  1.012 -0.279  1.015 -0.423  1.162 -0.423  1.309 -0.423
