1b#tos#t2#t2064064/A  0.684 1.758  0.423 1.683  0.276 1.460  0.225 1.196  0.123 0.968  -0.025 0.722  -0.166 0.511  -0.258 0.250  -0.407 0.037  -0.483 -0.241  -0.634 -0.477  -0.734 -0.747  -0.840 -1.014  -0.978 -1.186  -0.868 -1.022  -0.734 -0.766  -0.601 -0.511  -0.468 -0.255  -0.335 0.001  -0.202 0.256  -0.069 0.512  0.065 0.768  0.198 1.024  0.331 1.279  0.303 1.377  0.185 1.202  0.334 0.994  0.401 0.723  0.441 0.449  0.598 0.219  0.687 -0.048  0.798 -0.296  0.961 -0.527  0.961 -0.815  1.072 -1.068  1.040 -1.189  0.784 -1.057  0.528 -0.925  0.271 -0.793  0.015 -0.660  -0.241 -0.528  -0.497 -0.396  -0.701 -0.421  -0.952 -0.459  -0.961 -0.403  -0.680 -0.359  -0.394 -0.348  -0.114 -0.292  0.174 -0.292  0.462 -0.292
1b#tos#t2#t2064064/C  0.696 0.515  0.748 0.595  0.803 0.673  0.803 0.785  0.803 0.897  0.803 1.009  0.753 1.101  0.643 1.105  0.531 1.105  0.419 1.105  0.308 1.099  0.208 1.049  0.108 0.999  0.015 0.937  -0.080 0.878  -0.162 0.817  -0.233 0.748  -0.326 0.687  -0.416 0.620  -0.496 0.545  -0.538 0.443  -0.562 0.354  -0.674 0.354  -0.699 0.267  -0.699 0.155  -0.699 0.043  -0.720 -0.064  -0.752 -0.168  -0.752 -0.280  -0.752 -0.392  -0.752 -0.504  -0.699 -0.584  -0.622 -0.657  -0.561 -0.749  -0.502 -0.843  -0.466 -0.933  -0.354 -0.933  -0.250 -0.952  -0.171 -1.032  -0.062 -1.040  0.050 -1.040  0.162 -1.040  0.274 -1.040  0.386 -1.040  0.486 -1.001  0.580 -0.938  0.690 -0.933  0.802 -0.933  0.911 -0.914  1.017 -0.879
1b#tos#t2#t2064064/D  -0.009 0.771  -0.064 0.924  -0.166 0.815  -0.260 0.628  -0.373 0.452  -0.419 0.254  -0.419 0.045  -0.557 -0.090  -0.619 -0.285  -0.624 -0.494  -0.668 -0.696  -0.675 -0.904  -0.717 -1.049  -0.641 -0.854  -0.566 -0.659  -0.490 -0.464  -0.415 -0.269  -0.339 -0.074  -0.264 0.121  -0.188 0.316  -0.113 0.511  -0.316 0.514  -0.483 0.617  -0.521 0.788  -0.500 0.976  -0.295 0.990  -0.113 1.078  0.096 1.078  0.305 1.078  0.514 1.078  0.720 1.050  0.914 0.975  1.062 0.827  1.170 0.654  1.170 0.445  1.170 0.236  1.170 0.027  1.076 -0.143  1.036 -0.336  0.905 -0.497  0.757 -0.641  0.597 -0.775  0.435 -0.903  0.242 -0.984  0.071 -1.096  -0.126 -1.125  -0.306 -1.221  -0.513 -1.228  -0.722 -1.228  -0.931 -1.228
1b#tos#t2#t2064064/E  -0.404 0.991  -0.649 0.895  -0.493 0.951  -0.244 0.999  0.002 1.088  0.260 1.141  0.519 1.187  0.775 1.262  1.040 1.281  1.031 1.259  0.781 1.165  0.530 1.071  0.280 0.977  0.029 0.883  -0.232 0.847  -0.404 0.723  -0.501 0.496  -0.501 0.228  -0.597 -0.010  -0.633 -0.267  -0.693 -0.516  -0.693 -0.784  -0.742 -1.044  -0.708 -1.050  -0.602 -0.804  -0.497 -0.558  -0.392 -0.312  -0.363 -0.117  -0.612 -0.197  -0.560 -0.165  -0.305 -0.104  -0.055 -0.015  0.195 0.062  0.446 0.145  0.711 0.172  0.922 0.148  0.736 -0.045  0.550 -0.238  0.364 -0.430  0.179 -0.623  -0.007 -0.815  -0.193 -1.008  -0.389 -1.177  -0.448 -1.247  -0.187 -1.217  0.055 -1.129  0.322 -1.129  0.555 -1.064  0.778 -0.966  1.042 -0.936
1b#tos#t2#t2064064/F  0.166 0.726  0.017 0.636  -0.177 0.606  -0.378 0.571  -0.531 0.571  -0.326 0.571  -0.178 0.675  -0.000 0.726  0.189 0.789  0.384 0.829  0.582 0.857  0.768 0.933  0.969 0.966  1.168 0.995  1.343 1.036  1.143 0.996  0.945 0.947  0.747 0.897  0.549 0.848  0.350 0.798  0.200 0.726  -0.001 0.705  -0.144 0.618  -0.210 0.439  -0.286 0.249  -0.299 0.047  -0.395 -0.125  -0.453 -0.310  -0.503 -0.506  -0.505 -0.711  -0.608 -0.884  -0.608 -1.088  -0.634 -1.286  -0.660 -1.485  -0.660 -1.689  -0.599 -1.515  -0.534 -1.322  -0.469 -1.128  -0.405 -0.934  -0.382 -0.770  -0.587 -0.770  -0.636 -0.745  -0.460 -0.646  -0.285 -0.548  -0.087 -0.498  0.108 -0.438  0.305 -0.409  0.494 -0.340  0.684 -0.306  0.888 -0.306
1b#tos#t2#t2064064/I  -0.195 0.955  -0.319 0.924  -0.445 0.911  -0.360 0.945  -0.236 0.959  -0.144 1.047  -0.023 1.087  0.104 1.090  0.232 1.090  0.359 1.090  0.487 1.090  0.615 1.090  0.742 1.090  0.624 1.057  0.501 1.023  0.378 0.990  0.255 0.956  0.132 0.930  0.029 0.889  0.029 0.761  0.029 0.634  0.014 0.508  -0.016 0.385  -0.016 0.258  -0.016 0.130  -0.023 0.005  -0.094 -0.102  -0.106 -0.226  -0.106 -0.353  -0.106 -0.481  -0.133 -0.604  -0.150 -0.729  -0.234 -0.819  -0.330 -0.903  -0.426 -0.987  -0.526 -1.059  -0.624 -1.130  -0.726 -1.193  -0.611 -1.193  -0.486 -1.182  -0.366 -1.149  -0.239 -1.149  -0.111 -1.149  0.017 -1.149  0.140 -1.134  0.246 -1.063  0.373 -1.059  0.498 -1.049  0.617 -1.014  0.745 -1.014
1b#tos#t2#t2064064/J  0.453 1.436  0.357 1.436  0.357 1.531  0.310 1.578  0.310 1.482  0.310 1.386  0.341 1.295  0.357 1.201  0.357 1.105  0.357 1.009  0.398 0.923  0.405 0.828  0.429 0.742  0.453 0.656  0.453 0.560  0.453 0.464  0.453 0.368  0.453 0.272  0.453 0.176  0.453 0.080  0.453 -0.016  0.453 -0.113  0.424 -0.202  0.405 -0.293  0.398 -0.382  0.352 -0.435  0.274 -0.478  0.262 -0.562  0.262 -0.658  0.186 -0.707  0.140 -0.765  0.118 -0.839  0.043 -0.861  -0.053 -0.861  -0.101 -0.909  -0.197 -0.909  -0.293 -0.909  -0.389 -0.909  -0.484 -0.899  -0.575 -0.869  -0.663 -0.845  -0.741 -0.790  -0.819 -0.737  -0.905 -0.708  -0.982 -0.660  -0.992 -0.574  -1.071 -0.532  -1.105 -0.451  -1.139 -0.369  -1.173 -0.287
1b#tos#t2#t2064064/K  -0.502 1.339  -0.603 1.367  -0.603 1.132  -0.603 0.897  -0.603 0.662  -0.603 0.427  -0.603 0.192  -0.603 -0.043  -0.603 -0.278  -0.603 -0.514  -0.603 -0.749  -0.552 -0.963  -0.552 -1.198  -0.552 -1.433  -0.513 -1.629  -0.405 -1.428  -0.302 -1.216  -0.200 -1.004  -0.098 -0.793  0.004 -0.581  0.106 -0.369  0.209 -0.157  0.311 0.054  0.413 0.266  0.515 0.478  0.618 0.690  0.720 0.901  0.822 1.113  0.867 1.289  0.682 1.238  0.514 1.117  0.335 0.969  0.133 0.852  -0.021 0.687  -0.199 0.535  -0.351 0.421  -0.498 0.333  -0.603 0.203  -0.552 0.119  -0.375 0.031  -0.200 -0.029  -0.066 -0.162  0.144 -0.267  0.337 -0.372  0.560 -0.424  0.712 -0.573  0.927 -0.623  1.058 -0.757  1.225 -0.824  1.360 -0.925
1b#tos#t2#t2064064/L  -0.107 1.405  -0.143 1.457  -0.231 1.457  -0.319 1.457  -0.407 1.457  -0.419 1.381  -0.419 1.293  -0.419 1.205  -0.419 1.117  -0.419 1.029  -0.419 0.941  -0.399 0.856  -0.378 0.770  -0.367 0.684  -0.367 0.596  -0.367 0.508  -0.367 0.420  -0.367 0.332  -0.367 0.244  -0.367 0.156  -0.367 0.068  -0.367 -0.020  -0.367 -0.108  -0.367 -0.196  -0.367 -0.284  -0.367 -0.372  -0.367 -0.460  -0.367 -0.548  -0.367 -0.636  -0.367 -0.724  -0.286 -0.731  -0.200 -0.737  -0.121 -0.776  -0.035 -0.783  0.053 -0.783  0.141 -0.783  0.229 -0.783  0.317 -0.783  0.405 -0.783  0.493 -0.783  0.581 -0.783  0.669 -0.783  0.757 -0.783  0.845 -0.783  0.933 -0.783  1.021 -0.783  1.109 -0.783  1.197 -0.783  1.274 -0.757  1.352 -0.731
1b#tos#t2#t2064064/M  -0.394 0.988  -0.572 0.932  -0.572 0.698  -0.572 0.464  -0.572 0.229  -0.572 -0.005  -0.528 -0.229  -0.528 -0.463  -0.528 -0.697  -0.528 -0.931  -0.528 -1.165  -0.508 -1.380  -0.499 -1.171  -0.516 -0.938  -0.534 -0.704  -0.552 -0.471  -0.569 -0.237  -0.587 -0.004  -0.604 0.230  -0.622 0.463  -0.640 0.697  -0.657 0.931  -0.796 1.031  -0.752 1.166  -0.662 1.023  -0.559 0.854  -0.511 0.658  -0.363 0.479  -0.304 0.267  -0.174 0.096  -0.081 -0.081  0.061 -0.245  0.187 -0.402  0.353 -0.359  0.432 -0.152  0.562 -0.004  0.682 0.188  0.820 0.376  0.902 0.591  0.918 0.809  1.036 0.666  1.036 0.432  1.084 0.217  1.125 -0.011  1.125 -0.245  1.125 -0.479  1.155 -0.709  1.215 -0.922  1.259 -1.146  1.304 -1.335
1b#tos#t2#t2064064/N  -0.092 1.098  -0.297 0.973  -0.407 0.699  -0.537 0.435  -0.637 0.180  -0.768 -0.080  -0.855 -0.359  -0.938 -0.620  -1.036 -0.880  -1.098 -1.161  -1.236 -1.409  -1.115 -1.374  -0.924 -1.148  -0.733 -0.922  -0.542 -0.697  -0.351 -0.471  -0.160 -0.245  0.031 -0.019  0.222 0.207  0.413 0.432  0.604 0.658  0.796 0.884  0.987 1.110  1.137 1.316  1.040 1.061  0.998 0.772  0.891 0.505  0.832 0.219  0.780 -0.068  0.726 -0.355  0.617 -0.606  0.575 -0.892  0.446 -0.678  0.316 -0.412  0.187 -0.146  0.058 0.120  -0.071 0.386  -0.200 0.652  -0.330 0.918  -0.581 0.989  -0.582 0.990  -0.395 0.763  -0.258 0.508  -0.083 0.272  0.083 0.030  0.197 -0.242  0.352 -0.490  0.525 -0.726  0.632 -0.988  0.780 -1.190
