3#apa#apa00#app0040/O  0.281 0.603  0.320 0.733  0.371 0.858  0.371 1.003  0.371 1.149  0.311 1.235  0.173 1.217  0.057 1.145  -0.060 1.075  -0.163 0.972  -0.264 0.867  -0.330 0.737  -0.420 0.625  -0.523 0.522  -0.624 0.417  -0.659 0.275  -0.694 0.134  -0.744 -0.002  -0.803 -0.134  -0.803 -0.280  -0.803 -0.426  -0.803 -0.572  -0.803 -0.718  -0.803 -0.864  -0.748 -0.987  -0.644 -1.090  -0.541 -1.193  -0.437 -1.293  -0.291 -1.293  -0.145 -1.293  0.001 -1.293  0.100 -1.246  0.191 -1.157  0.281 -1.066  0.353 -0.950  0.425 -0.824  0.490 -0.694  0.552 -0.563  0.552 -0.417  0.605 -0.284  0.642 -0.146  0.642 -0.001  0.642 0.145  0.642 0.291  0.642 0.437  0.642 0.583  0.642 0.729  0.642 0.875  0.617 1.015  0.552 1.145
3#apa#apa00#app0040/v  -0.654 0.950  -0.654 1.095  -0.597 1.183  -0.476 1.244  -0.354 1.300  -0.209 1.300  -0.186 1.177  -0.186 1.032  -0.231 0.905  -0.303 0.790  -0.303 0.644  -0.303 0.499  -0.311 0.357  -0.414 0.254  -0.420 0.111  -0.420 -0.034  -0.420 -0.180  -0.420 -0.325  -0.480 -0.456  -0.537 -0.588  -0.537 -0.734  -0.537 -0.879  -0.463 -0.994  -0.420 -1.122  -0.420 -1.267  -0.395 -1.388  -0.250 -1.388  -0.104 -1.388  0.041 -1.388  0.063 -1.255  0.166 -1.152  0.269 -1.050  0.371 -0.947  0.398 -0.812  0.398 -0.667  0.432 -0.536  0.515 -0.425  0.515 -0.279  0.515 -0.134  0.515 0.012  0.515 0.157  0.515 0.302  0.515 0.448  0.515 0.593  0.515 0.739  0.566 0.833  0.712 0.833  0.857 0.833  0.997 0.847  1.099 0.950
3#apa#apa00#app0040/e  -0.371 -0.089  -0.228 -0.089  -0.211 0.036  -0.104 0.071  0.013 0.134  0.115 0.231  0.257 0.231  0.362 0.323  0.476 0.392  0.610 0.411  0.711 0.512  0.837 0.552  0.911 0.620  0.962 0.712  1.039 0.712  0.911 0.727  0.911 0.869  0.772 0.873  0.630 0.873  0.518 0.946  0.411 1.033  0.269 1.033  0.126 1.033  0.021 0.944  -0.092 0.873  -0.211 0.848  -0.215 0.708  -0.316 0.607  -0.417 0.506  -0.518 0.406  -0.531 0.269  -0.606 0.157  -0.692 0.050  -0.692 -0.092  -0.692 -0.235  -0.692 -0.377  -0.692 -0.520  -0.692 -0.662  -0.692 -0.805  -0.692 -0.947  -0.664 -1.078  -0.563 -1.179  -0.463 -1.280  -0.358 -1.371  -0.216 -1.371  -0.113 -1.469  0.003 -1.532  0.146 -1.532  0.288 -1.532  0.431 -1.532
3#apa#apa00#app0040/r  -0.452 1.455  -0.452 1.316  -0.452 1.177  -0.452 1.038  -0.452 0.898  -0.452 0.759  -0.452 0.620  -0.452 0.481  -0.452 0.342  -0.452 0.203  -0.452 0.063  -0.452 -0.076  -0.452 -0.215  -0.452 -0.354  -0.452 -0.493  -0.360 -0.595  -0.274 -0.698  -0.274 -0.837  -0.274 -0.976  -0.274 -1.116  -0.246 -1.243  -0.147 -1.341  -0.096 -1.459  -0.096 -1.543  -0.096 -1.404  -0.096 -1.265  -0.096 -1.126  -0.096 -0.986  -0.096 -0.847  -0.096 -0.708  -0.096 -0.569  -0.096 -0.430  -0.072 -0.301  0.027 -0.202  0.082 -0.086  0.082 0.053  0.082 0.192  0.205 0.209  0.319 0.268  0.418 0.367  0.438 0.497  0.489 0.616  0.587 0.714  0.686 0.813  0.784 0.911  0.882 1.009  0.981 1.108  1.079 1.206  1.189 1.277  1.328 1.277
3#apa#apa00#app0040/T  0.242 0.774  0.339 0.718  0.260 0.597  0.242 0.452  0.242 0.298  0.178 0.160  0.145 0.015  0.145 -0.138  0.145 -0.291  0.145 -0.444  0.145 -0.598  0.145 -0.751  0.233 -0.867  0.242 -1.017  0.312 -1.141  0.339 -1.283  0.339 -1.436  0.431 -1.551  0.413 -1.610  0.340 -1.475  0.268 -1.340  0.195 -1.205  0.122 -1.070  0.050 -0.935  -0.023 -0.801  -0.095 -0.666  -0.168 -0.531  -0.241 -0.396  -0.313 -0.261  -0.386 -0.126  -0.458 0.008  -0.531 0.143  -0.604 0.278  -0.676 0.413  -0.749 0.548  -0.821 0.683  -0.894 0.817  -0.830 0.871  -0.717 0.968  -0.564 0.968  -0.424 1.023  -0.281 1.065  -0.128 1.065  0.018 1.098  0.156 1.162  0.309 1.162  0.462 1.162  0.615 1.162  0.768 1.162  0.921 1.162
3#apa#apa00#app0040/h  -0.331 2.059  -0.331 1.903  -0.402 1.776  -0.436 1.634  -0.436 1.478  -0.436 1.322  -0.457 1.171  -0.527 1.031  -0.542 0.878  -0.542 0.722  -0.542 0.566  -0.542 0.410  -0.493 0.265  -0.436 0.122  -0.436 -0.034  -0.436 -0.190  -0.436 -0.346  -0.428 -0.501  -0.358 -0.640  -0.331 -0.790  -0.331 -0.946  -0.267 -1.076  -0.225 -1.215  -0.184 -1.331  -0.119 -1.240  -0.119 -1.084  -0.058 -0.953  -0.013 -0.815  -0.013 -0.659  -0.013 -0.503  -0.013 -0.347  0.044 -0.214  0.093 -0.078  0.093 0.078  0.093 0.234  0.187 0.352  0.297 0.462  0.450 0.470  0.517 0.381  0.551 0.258  0.623 0.174  0.623 0.018  0.678 -0.115  0.729 -0.250  0.729 -0.407  0.764 -0.554  0.834 -0.694  0.941 -0.806  0.941 -0.963  1.047 -1.013
3#apa#apa00#app0040/e  -0.426 0.121  -0.294 0.121  -0.161 0.121  -0.045 0.137  -0.024 0.249  0.109 0.249  0.232 0.271  0.326 0.365  0.454 0.376  0.587 0.376  0.682 0.466  0.799 0.503  0.846 0.588  0.937 0.631  0.974 0.726  0.974 0.859  0.868 0.885  0.846 0.997  0.730 1.012  0.597 1.012  0.465 1.012  0.334 1.009  0.240 0.915  0.120 0.885  0.015 0.818  -0.079 0.724  -0.172 0.630  -0.266 0.536  -0.299 0.417  -0.364 0.312  -0.457 0.218  -0.551 0.124  -0.555 -0.007  -0.649 -0.101  -0.681 -0.220  -0.681 -0.352  -0.681 -0.485  -0.681 -0.617  -0.681 -0.750  -0.681 -0.883  -0.628 -1.003  -0.569 -1.121  -0.510 -1.240  -0.450 -1.358  -0.371 -1.462  -0.268 -1.533  -0.146 -1.560  -0.052 -1.653  0.077 -1.661  0.210 -1.661
3#apa#apa00#app0040/L  -0.069 1.913  -0.069 1.819  -0.069 1.725  -0.069 1.631  -0.069 1.538  -0.069 1.444  -0.069 1.350  -0.069 1.256  -0.069 1.162  -0.069 1.068  -0.069 0.974  -0.069 0.880  -0.078 0.788  -0.120 0.704  -0.155 0.618  -0.155 0.525  -0.155 0.431  -0.155 0.337  -0.155 0.243  -0.155 0.149  -0.185 0.062  -0.227 -0.022  -0.240 -0.113  -0.240 -0.207  -0.298 -0.277  -0.325 -0.359  -0.325 -0.453  -0.325 -0.547  -0.325 -0.641  -0.325 -0.735  -0.325 -0.829  -0.340 -0.917  -0.407 -0.983  -0.322 -0.987  -0.229 -0.987  -0.135 -0.987  -0.069 -0.958  -0.032 -0.902  0.062 -0.902  0.150 -0.877  0.234 -0.835  0.323 -0.816  0.417 -0.816  0.511 -0.816  0.605 -0.816  0.699 -0.816  0.790 -0.810  0.857 -0.743  0.946 -0.731  1.039 -0.731
3#apa#apa00#app0040/a  -0.916 1.203  -0.896 1.317  -0.762 1.317  -0.628 1.317  -0.494 1.317  -0.359 1.317  -0.225 1.317  -0.091 1.317  0.044 1.317  0.111 1.251  0.189 1.164  0.309 1.104  0.340 0.989  0.340 0.855  0.340 0.721  0.340 0.586  0.340 0.452  0.279 0.343  0.184 0.248  0.111 0.144  0.060 0.061  -0.003 -0.010  -0.068 -0.118  -0.163 -0.213  -0.258 -0.308  -0.353 -0.403  -0.447 -0.498  -0.542 -0.592  -0.574 -0.714  -0.574 -0.848  -0.558 -0.966  -0.460 -1.002  -0.404 -1.081  -0.292 -1.134  -0.182 -1.195  -0.048 -1.195  0.086 -1.195  0.220 -1.195  0.317 -1.104  0.442 -1.081  0.568 -1.073  0.568 -0.939  0.568 -0.804  0.568 -0.670  0.568 -0.536  0.568 -0.402  0.562 -0.269  0.502 -0.149  0.435 -0.034  0.340 0.061
3#apa#apa00#app0040/z  -0.928 1.234  -0.869 1.361  -0.682 1.361  -0.495 1.361  -0.308 1.361  -0.122 1.361  0.065 1.361  0.243 1.339  0.348 1.197  0.348 1.010  0.238 0.869  0.197 0.699  0.093 0.556  0.023 0.398  -0.109 0.266  -0.162 0.101  -0.193 -0.073  -0.290 -0.219  -0.290 -0.406  -0.408 -0.544  -0.417 -0.727  -0.417 -0.913  -0.545 -0.972  -0.545 -1.159  -0.517 -1.318  -0.330 -1.318  -0.162 -1.299  -0.085 -1.190  0.102 -1.190  0.269 -1.142  0.423 -1.063  0.609 -1.063  0.796 -1.063  0.946 -0.975  0.894 -0.843  0.762 -0.711  0.630 -0.579  0.498 -0.447  0.366 -0.315  0.234 -0.183  0.102 -0.051  -0.030 0.081  -0.162 0.213  -0.294 0.345  -0.405 0.468  -0.218 0.468  -0.070 0.561  0.102 0.596  0.289 0.596  0.476 0.596
3#apa#apa00#app0040/y  -0.702 1.186  -0.551 1.186  -0.484 1.271  -0.332 1.271  -0.280 1.172  -0.280 1.020  -0.364 0.904  -0.432 0.780  -0.489 0.642  -0.533 0.498  -0.533 0.346  -0.533 0.195  -0.533 0.043  -0.514 -0.100  -0.390 -0.166  -0.275 -0.077  -0.168 0.030  -0.061 0.137  -0.014 0.269  0.058 0.391  0.081 0.533  0.171 0.652  0.227 0.790  0.293 0.914  0.341 1.046  0.396 1.029  0.396 0.877  0.396 0.726  0.396 0.574  0.396 0.423  0.396 0.271  0.396 0.120  0.421 -0.022  0.481 -0.148  0.481 -0.300  0.481 -0.452  0.481 -0.603  0.481 -0.755  0.481 -0.906  0.460 -1.053  0.396 -1.189  0.396 -1.341  0.270 -1.390  0.221 -1.518  0.070 -1.518  -0.047 -1.603  -0.198 -1.603  -0.350 -1.603  -0.466 -1.518  -0.533 -1.434
