1d#apa#apa09#app0981/!  0.010 1.059  0.010 1.136  0.010 1.214  0.010 1.291  0.010 1.369  0.010 1.447  0.010 1.458  0.010 1.381  0.010 1.303  0.010 1.226  0.010 1.148  0.010 1.071  0.010 0.993  0.010 0.915  0.010 0.838  0.010 0.760  0.010 0.683  0.010 0.605  0.010 0.528  0.010 0.450  0.010 0.373  -0.003 0.297  -0.028 0.224  -0.053 0.150  -0.077 0.076  -0.102 0.003  -0.126 -0.071  -0.124 -0.146  -0.109 -0.222  -0.093 -0.298  -0.078 -0.374  -0.063 -0.450  -0.048 -0.526  -0.033 -0.602  -0.017 -0.678  -0.002 -0.755  0.013 -0.831  0.028 -0.907  0.043 -0.983  0.059 -1.059  0.074 -1.135  0.089 -1.211  0.104 -1.287  0.120 -1.363  0.135 -1.439  0.150 -1.515  0.099 -1.537  0.021 -1.537  -0.057 -1.537  -0.134 -1.537
1d#apa#apa09#app0981/@  0.456 0.289  0.419 0.487  0.184 0.487  -0.018 0.410  -0.184 0.244  -0.350 0.078  -0.516 -0.088  -0.443 -0.293  -0.338 -0.503  -0.116 -0.431  0.107 -0.356  0.333 -0.306  0.506 -0.205  0.611 0.005  0.654 -0.048  0.497 -0.186  0.287 -0.291  0.257 -0.507  0.257 -0.742  0.333 -0.901  0.549 -0.839  0.745 -0.708  0.940 -0.578  1.050 -0.402  1.112 -0.182  1.217 0.028  1.175 0.238  1.070 0.448  0.965 0.658  0.860 0.868  0.699 1.037  0.483 1.082  0.248 1.082  0.013 1.082  -0.219 1.062  -0.447 1.005  -0.675 0.948  -0.903 0.891  -1.046 0.714  -1.176 0.519  -1.306 0.323  -1.268 0.105  -1.194 -0.117  -1.122 -0.341  -1.065 -0.569  -1.008 -0.796  -0.951 -1.024  -0.783 -1.149  -0.560 -1.223  -0.338 -1.298
1d#apa#apa09#app0981/#  0.043 0.587  0.043 0.968  0.043 1.069  0.018 0.691  -0.075 0.321  -0.168 -0.049  -0.260 -0.420  -0.353 -0.790  -0.372 -1.169  -0.349 -1.432  -0.207 -1.078  -0.066 -0.724  0.076 -0.369  0.218 -0.015  0.359 0.339  0.501 0.693  0.643 1.047  0.784 1.402  0.937 1.751  1.063 1.984  0.942 1.622  0.821 1.260  0.701 0.898  0.580 0.536  0.459 0.174  0.459 -0.207  0.415 -0.582  0.294 -0.943  0.066 -0.915  -0.224 -0.667  -0.514 -0.419  -0.803 -0.170  -1.093 0.078  -1.034 0.340  -0.675 0.315  -0.301 0.240  0.074 0.172  0.455 0.172  0.797 0.002  0.596 -0.137  0.237 -0.267  -0.121 -0.398  -0.480 -0.528  -0.838 -0.659  -1.197 -0.789  -1.254 -0.866  -0.873 -0.866  -0.497 -0.808  -0.123 -0.734  0.251 -0.659
1d#apa#apa09#app0981/$  1.359 0.540  1.151 0.679  0.942 0.818  0.712 0.887  0.465 0.847  0.220 0.798  -0.026 0.748  -0.274 0.713  -0.524 0.713  -0.449 0.512  -0.315 0.304  -0.126 0.141  0.083 0.002  0.292 -0.137  0.473 -0.310  0.650 -0.487  0.827 -0.664  0.795 -0.892  0.618 -1.070  0.421 -1.210  0.175 -1.260  -0.071 -1.309  -0.317 -1.358  -0.566 -1.370  -0.790 -1.304  -0.853 -1.108  -0.741 -0.884  -0.648 -0.651  -0.558 -0.417  -0.468 -0.183  -0.378 0.051  -0.288 0.285  -0.198 0.519  -0.108 0.753  -0.018 0.987  0.073 1.221  0.144 1.458  0.016 1.581  -0.029 1.376  -0.029 1.125  -0.056 0.876  -0.091 0.628  -0.127 0.380  -0.162 0.132  -0.197 -0.117  -0.203 -0.367  -0.203 -0.618  -0.203 -0.868  -0.203 -1.119  -0.203 -1.370
1d#apa#apa09#app0981/%  -0.234 0.595  -0.447 0.595  -0.542 0.477  -0.519 0.287  -0.306 0.287  -0.134 0.387  0.017 0.538  0.168 0.688  0.139 0.839  -0.047 0.904  -0.260 0.904  -0.448 0.843  -0.465 0.775  -0.263 0.842  -0.060 0.910  0.142 0.977  0.344 1.045  0.546 1.112  0.748 1.179  0.766 1.290  0.616 1.291  0.465 1.140  0.314 0.989  0.188 0.821  0.092 0.631  -0.030 0.456  -0.158 0.286  -0.285 0.115  -0.398 -0.063  -0.450 -0.269  -0.501 -0.476  -0.542 -0.684  -0.437 -0.777  -0.226 -0.746  -0.015 -0.716  0.196 -0.686  0.407 -0.656  0.464 -0.674  0.273 -0.769  0.113 -0.907  -0.038 -1.058  -0.148 -1.238  -0.234 -1.431  -0.234 -1.644  -0.093 -1.716  0.107 -1.684  0.258 -1.533  0.383 -1.372  0.383 -1.159  0.383 -0.946
1d#apa#apa09#app0981/^  0.136 0.908  0.050 0.822  -0.036 0.735  -0.122 0.649  -0.208 0.563  -0.295 0.477  -0.381 0.391  -0.467 0.304  -0.531 0.202  -0.586 0.093  -0.640 -0.016  -0.695 -0.125  -0.749 -0.234  -0.804 -0.343  -0.858 -0.452  -0.913 -0.561  -0.967 -0.670  -1.022 -0.779  -1.076 -0.888  -1.113 -0.972  -1.027 -0.885  -0.940 -0.799  -0.854 -0.713  -0.768 -0.627  -0.682 -0.541  -0.596 -0.454  -0.509 -0.368  -0.423 -0.282  -0.337 -0.196  -0.251 -0.110  -0.164 -0.023  -0.078 0.063  0.008 0.149  0.094 0.235  0.198 0.278  0.320 0.278  0.442 0.278  0.564 0.278  0.686 0.278  0.808 0.278  0.930 0.278  1.052 0.278  1.174 0.278  1.296 0.278  1.418 0.278  1.539 0.278  1.661 0.278  1.783 0.278  1.905 0.278  2.027 0.278
1d#apa#apa09#app0981/&  0.059 -1.457  0.152 -1.318  0.244 -1.179  0.337 -1.040  0.369 -1.100  0.369 -1.267  0.369 -1.433  0.226 -1.457  0.177 -1.306  0.136 -1.144  0.096 -0.983  0.059 -0.820  0.059 -0.654  0.059 -0.487  0.059 -0.320  0.059 -0.153  0.059 0.013  0.059 0.180  0.059 0.347  0.059 0.513  0.059 0.680  0.086 0.844  0.118 1.008  0.151 1.171  0.184 1.335  0.224 1.493  0.373 1.567  0.522 1.642  0.524 1.479  0.524 1.312  0.499 1.157  0.371 1.050  0.243 0.944  0.115 0.837  -0.013 0.730  -0.141 0.623  -0.269 0.517  -0.398 0.410  -0.475 0.263  -0.550 0.114  -0.640 -0.026  -0.732 -0.165  -0.825 -0.303  -0.871 -0.456  -0.774 -0.527  -0.608 -0.527  -0.441 -0.527  -0.274 -0.527  -0.107 -0.527  0.059 -0.527
1d#apa#apa09#app0981/*  0.187 1.248  -0.066 1.243  -0.003 0.992  0.060 0.740  0.123 0.489  0.186 0.237  0.301 0.005  0.416 -0.227  0.532 -0.458  0.648 -0.690  0.694 -0.938  0.694 -0.875  0.694 -0.616  0.694 -0.357  0.694 -0.098  0.694 0.161  0.694 0.420  0.694 0.679  0.694 0.939  0.604 1.176  0.488 1.408  0.332 1.393  0.187 1.194  0.187 0.935  0.187 0.676  0.148 0.428  0.004 0.213  -0.140 -0.003  -0.283 -0.219  -0.381 -0.456  -0.463 -0.702  -0.545 -0.948  -0.692 -1.154  -0.858 -1.231  -0.974 -0.999  -1.099 -0.783  -1.358 -0.783  -1.590 -0.755  -1.561 -0.514  -1.329 -0.398  -1.097 -0.282  -0.840 -0.275  -0.581 -0.275  -0.329 -0.213  -0.078 -0.151  0.174 -0.088  0.425 -0.025  0.684 -0.021  0.943 -0.021  1.202 -0.021
1d#apa#apa09#app0981/(  0.733 1.086  0.733 1.160  0.733 1.234  0.721 1.289  0.655 1.256  0.589 1.223  0.522 1.190  0.456 1.157  0.390 1.124  0.324 1.091  0.269 1.041  0.217 0.989  0.164 0.936  0.112 0.884  0.087 0.815  0.067 0.744  0.047 0.673  0.026 0.602  0.006 0.530  -0.014 0.459  -0.035 0.388  -0.055 0.317  -0.075 0.245  -0.096 0.174  -0.116 0.103  -0.137 0.032  -0.157 -0.039  -0.177 -0.111  -0.198 -0.182  -0.218 -0.253  -0.238 -0.324  -0.259 -0.396  -0.279 -0.467  -0.299 -0.538  -0.314 -0.610  -0.314 -0.684  -0.314 -0.758  -0.314 -0.832  -0.314 -0.906  -0.314 -0.980  -0.314 -1.054  -0.314 -1.129  -0.314 -1.203  -0.314 -1.277  -0.314 -1.351  -0.314 -1.425  -0.262 -1.477  -0.209 -1.530  -0.157 -1.582  -0.104 -1.634
1d#apa#apa09#app0981/)  0.023 0.932  -0.014 1.004  -0.050 1.077  -0.086 1.150  -0.123 1.222  -0.159 1.295  -0.195 1.367  -0.189 1.381  -0.132 1.324  -0.074 1.266  -0.017 1.209  0.023 1.144  0.023 1.063  0.023 0.982  0.023 0.901  0.023 0.819  0.023 0.738  0.029 0.657  0.042 0.577  0.055 0.497  0.069 0.417  0.082 0.337  0.095 0.257  0.109 0.177  0.122 0.097  0.136 0.016  0.149 -0.064  0.162 -0.144  0.176 -0.224  0.189 -0.304  0.202 -0.384  0.216 -0.464  0.229 -0.544  0.242 -0.625  0.256 -0.705  0.229 -0.775  0.180 -0.840  0.132 -0.905  0.083 -0.970  0.034 -1.035  -0.014 -1.100  -0.063 -1.165  -0.112 -1.230  -0.161 -1.295  -0.209 -1.360  -0.258 -1.425  -0.307 -1.490  -0.356 -1.555  -0.404 -1.620  -0.453 -1.685
1d#apa#apa09#app0981/`  -1.600 0.548  -1.512 0.548  -1.425 0.548  -1.337 0.548  -1.249 0.548  -1.162 0.548  -1.074 0.548  -0.986 0.548  -0.899 0.548  -0.811 0.548  -0.723 0.548  -0.636 0.548  -0.548 0.548  -0.460 0.548  -0.373 0.548  -0.285 0.548  -0.197 0.548  -0.110 0.548  -0.022 0.548  0.066 0.548  0.153 0.548  0.241 0.548  0.329 0.548  0.416 0.548  0.504 0.548  0.548 0.504  0.548 0.416  0.548 0.329  0.548 0.241  0.548 0.153  0.548 0.066  0.548 -0.022  0.548 -0.110  0.548 -0.197  0.548 -0.285  0.548 -0.373  0.548 -0.460  0.548 -0.548  0.548 -0.636  0.548 -0.723  0.548 -0.811  0.548 -0.899  0.548 -0.986  0.548 -1.074  0.548 -1.162  0.548 -1.249  0.548 -1.337  0.548 -1.425  0.548 -1.512  0.548 -1.600
