1c#tos#t3#t3012065/c  0.668 0.517  0.668 0.626  0.719 0.684  0.724 0.788  0.724 0.897  0.648 0.963  0.561 1.014  0.477 1.074  0.377 1.108  0.273 1.129  0.164 1.129  0.055 1.129  -0.053 1.129  -0.055 1.023  -0.142 0.960  -0.231 0.898  -0.313 0.828  -0.403 0.767  -0.445 0.681  -0.445 0.572  -0.483 0.479  -0.560 0.402  -0.627 0.319  -0.667 0.219  -0.667 0.111  -0.667 0.002  -0.667 -0.107  -0.667 -0.215  -0.667 -0.324  -0.667 -0.433  -0.641 -0.535  -0.611 -0.637  -0.569 -0.736  -0.556 -0.841  -0.487 -0.908  -0.384 -0.929  -0.281 -0.955  -0.179 -0.985  -0.076 -1.015  0.029 -1.040  0.138 -1.040  0.246 -1.040  0.355 -1.040  0.464 -1.040  0.572 -1.040  0.674 -1.010  0.771 -0.961  0.870 -0.917  0.974 -0.883  1.058 -0.818
1c#tos#t3#t3012065/d  0.546 -0.209  0.610 -0.039  0.504 0.152  0.320 0.272  0.135 0.393  -0.075 0.487  -0.282 0.555  -0.489 0.621  -0.724 0.621  -0.897 0.483  -0.987 0.281  -1.101 0.117  -1.115 -0.109  -1.115 -0.343  -1.079 -0.572  -0.986 -0.786  -0.877 -0.987  -0.770 -1.193  -0.552 -1.231  -0.318 -1.231  -0.083 -1.231  0.015 -1.056  0.082 -0.832  0.157 -0.610  0.162 -0.377  0.224 -0.152  0.226 0.082  0.226 0.316  0.271 0.545  0.290 0.777  0.290 1.011  0.290 1.245  0.290 1.480  0.290 1.714  0.290 1.593  0.290 1.359  0.290 1.125  0.290 0.890  0.290 0.656  0.226 0.485  0.226 0.251  0.226 0.017  0.226 -0.218  0.318 -0.421  0.354 -0.649  0.482 -0.805  0.482 -1.039  0.673 -1.082  0.865 -1.125  0.993 -1.231
1c#tos#t3#t3012065/e  -1.796 0.395  -1.609 0.395  -1.421 0.395  -1.233 0.395  -1.045 0.395  -0.858 0.395  -0.670 0.395  -0.489 0.389  -0.489 0.201  -0.489 0.013  -0.311 0.003  -0.123 0.003  0.064 0.003  0.252 0.003  0.413 0.068  0.601 0.068  0.780 0.121  0.950 0.200  1.015 0.360  1.015 0.548  0.875 0.601  0.770 0.754  0.612 0.826  0.458 0.918  0.270 0.918  0.082 0.918  -0.105 0.918  -0.203 0.794  -0.314 0.680  -0.358 0.503  -0.434 0.370  -0.581 0.275  -0.620 0.097  -0.620 -0.091  -0.620 -0.279  -0.565 -0.444  -0.453 -0.592  -0.356 -0.752  -0.240 -0.899  -0.085 -0.978  0.030 -1.074  0.210 -1.108  0.397 -1.108  0.585 -1.108  0.743 -1.025  0.923 -0.978  1.058 -0.892  1.195 -0.771  1.316 -0.636  1.473 -0.585
1c#tos#t3#t3012065/f  1.118 1.631  0.977 1.590  0.830 1.572  0.679 1.572  0.527 1.572  0.383 1.551  0.257 1.467  0.240 1.325  0.229 1.175  0.192 1.028  0.133 0.890  0.123 0.741  0.123 0.590  0.123 0.438  0.123 0.287  0.123 0.136  0.123 -0.015  0.123 -0.166  0.123 -0.317  0.123 -0.469  0.123 -0.620  0.123 -0.771  0.123 -0.922  0.123 -1.073  0.182 -1.200  0.182 -1.351  0.077 -1.250  -0.030 -1.143  -0.137 -1.036  -0.244 -0.929  -0.351 -0.822  -0.457 -0.715  -0.564 -0.608  -0.671 -0.501  -0.788 -0.418  -0.939 -0.418  -1.090 -0.418  -1.038 -0.325  -0.892 -0.301  -0.745 -0.291  -0.638 -0.184  -0.487 -0.184  -0.336 -0.184  -0.185 -0.184  -0.047 -0.125  0.104 -0.125  0.255 -0.125  0.406 -0.125  0.557 -0.125  0.709 -0.125
1c#tos#t3#t3012065/g  0.809 1.258  0.658 1.258  0.508 1.258  0.406 1.305  0.311 1.389  0.164 1.400  0.014 1.400  -0.134 1.385  -0.232 1.306  -0.271 1.172  -0.326 1.045  -0.326 0.895  -0.326 0.745  -0.241 0.643  -0.091 0.643  0.043 0.682  0.099 0.809  0.216 0.810  0.241 0.671  0.241 0.521  0.241 0.371  0.241 0.220  0.241 0.070  0.238 -0.079  0.209 -0.227  0.147 -0.356  0.147 -0.506  0.147 -0.656  0.147 -0.806  0.087 -0.942  0.020 -1.076  -0.043 -1.211  -0.072 -1.354  -0.181 -1.437  -0.284 -1.484  -0.386 -1.437  -0.482 -1.359  -0.563 -1.241  -0.563 -1.091  -0.563 -0.941  -0.540 -0.800  -0.434 -0.694  -0.296 -0.639  -0.232 -0.549  -0.184 -0.446  -0.036 -0.444  0.110 -0.434  0.225 -0.350  0.375 -0.350  0.525 -0.350
1c#tos#t3#t3012065/h  -0.119 1.691  -0.287 1.691  -0.437 1.708  -0.359 1.669  -0.331 1.506  -0.331 1.338  -0.331 1.170  -0.331 1.002  -0.331 0.835  -0.331 0.667  -0.337 0.500  -0.378 0.337  -0.384 0.170  -0.428 0.013  -0.437 -0.153  -0.437 -0.321  -0.437 -0.488  -0.475 -0.650  -0.490 -0.815  -0.490 -0.983  -0.565 -0.924  -0.596 -0.776  -0.596 -0.608  -0.596 -0.440  -0.596 -0.273  -0.596 -0.105  -0.490 -0.003  -0.432 0.111  -0.341 0.249  -0.233 0.349  -0.074 0.365  0.093 0.365  0.252 0.356  0.358 0.294  0.358 0.126  0.358 -0.041  0.358 -0.209  0.358 -0.377  0.358 -0.545  0.370 -0.708  0.411 -0.858  0.464 -1.014  0.631 -1.014  0.799 -1.014  0.944 -0.959  1.059 -0.838  1.152 -0.699  1.317 -0.692  1.432 -0.571  1.525 -0.431
1c#tos#t3#t3012065/i  -0.212 1.178  -0.298 1.171  -0.380 1.143  -0.463 1.116  -0.381 1.115  -0.294 1.115  -0.207 1.115  -0.120 1.115  -0.033 1.115  0.054 1.115  0.141 1.115  0.211 1.073  0.289 1.051  0.359 1.034  0.359 0.947  0.359 0.860  0.334 0.777  0.309 0.693  0.284 0.610  0.259 0.526  0.234 0.443  0.209 0.359  0.184 0.276  0.169 0.191  0.169 0.104  0.153 0.026  0.080 -0.023  0.008 -0.071  -0.022 -0.142  -0.022 -0.230  -0.054 -0.297  -0.131 -0.336  -0.100 -0.392  -0.085 -0.473  -0.085 -0.560  -0.085 -0.647  -0.085 -0.735  -0.085 -0.822  -0.085 -0.909  -0.085 -0.996  -0.085 -1.083  -0.085 -1.170  -0.085 -1.257  -0.085 -1.344  -0.085 -1.431  -0.085 -1.518  -0.085 -1.605  -0.085 -1.693  -0.085 -1.780  -0.085 -1.867
1c#tos#t3#t3012065/l  0.044 1.174  0.021 1.244  -0.002 1.314  -0.015 1.386  -0.015 1.460  -0.074 1.466  -0.074 1.392  -0.074 1.318  -0.074 1.244  -0.074 1.170  -0.074 1.096  -0.074 1.022  -0.074 0.948  -0.074 0.874  -0.074 0.800  -0.074 0.726  -0.074 0.652  -0.074 0.578  -0.074 0.504  -0.074 0.430  -0.074 0.356  -0.074 0.282  -0.056 0.210  -0.038 0.139  -0.020 0.067  -0.015 -0.006  -0.015 -0.080  -0.015 -0.154  -0.015 -0.228  -0.015 -0.302  -0.015 -0.376  -0.015 -0.450  -0.015 -0.524  -0.015 -0.598  -0.015 -0.672  -0.015 -0.746  0.006 -0.814  0.047 -0.875  0.088 -0.937  0.104 -1.006  0.104 -1.080  0.104 -1.154  0.104 -1.228  0.104 -1.302  0.104 -1.376  0.110 -1.448  0.143 -1.515  0.163 -1.584  0.163 -1.658  0.163 -1.732
1c#tos#t3#t3012065/o  -0.410 0.783  -0.410 0.929  -0.489 0.884  -0.568 0.770  -0.569 0.624  -0.672 0.520  -0.726 0.396  -0.726 0.250  -0.783 0.117  -0.804 -0.025  -0.804 -0.171  -0.804 -0.317  -0.804 -0.464  -0.804 -0.610  -0.786 -0.752  -0.717 -0.881  -0.613 -0.985  -0.486 -1.032  -0.355 -1.097  -0.212 -1.109  -0.065 -1.109  0.081 -1.109  0.228 -1.109  0.374 -1.109  0.479 -1.008  0.602 -0.951  0.734 -0.891  0.772 -0.768  0.778 -0.624  0.844 -0.493  0.929 -0.380  0.929 -0.234  0.929 -0.088  0.929 0.059  0.929 0.205  0.911 0.347  0.851 0.479  0.850 0.626  0.746 0.729  0.643 0.833  0.539 0.936  0.395 0.940  0.248 0.940  0.102 0.940  -0.045 0.940  -0.189 0.932  -0.320 0.867  -0.433 0.783  -0.579 0.783  -0.647 0.704
1c#tos#t3#t3012065/q  0.370 0.637  0.370 0.805  0.370 0.972  0.290 1.059  0.129 1.066  0.075 1.180  -0.080 1.208  -0.235 1.240  -0.402 1.240  -0.535 1.205  -0.593 1.062  -0.595 0.895  -0.622 0.744  -0.715 0.635  -0.715 0.467  -0.715 0.300  -0.715 0.132  -0.684 -0.028  -0.553 -0.087  -0.474 -0.175  -0.407 -0.301  -0.246 -0.328  -0.078 -0.328  0.089 -0.328  0.169 -0.207  0.255 -0.068  0.308 0.091  0.310 0.258  0.357 0.418  0.370 0.583  0.423 0.697  0.430 0.537  0.310 0.490  0.310 0.323  0.310 0.155  0.263 0.034  0.249 -0.119  0.249 -0.287  0.193 -0.441  0.189 -0.608  0.189 -0.775  0.189 -0.943  0.189 -1.110  0.189 -1.277  0.189 -1.445  0.189 -1.612  0.189 -1.780  0.189 -1.947  0.216 -2.104  0.249 -2.137
1c#tos#t3#t3012065/r  -0.093 1.157  -0.249 1.157  -0.404 1.157  -0.350 1.289  -0.327 1.190  -0.327 1.034  -0.327 0.879  -0.327 0.724  -0.327 0.568  -0.282 0.422  -0.224 0.278  -0.171 0.132  -0.171 -0.023  -0.171 -0.178  -0.171 -0.333  -0.171 -0.489  -0.171 -0.644  -0.171 -0.799  -0.171 -0.955  -0.171 -1.110  -0.171 -1.265  -0.171 -1.420  -0.171 -1.576  -0.179 -1.712  -0.249 -1.586  -0.249 -1.430  -0.249 -1.275  -0.249 -1.120  -0.249 -0.964  -0.249 -0.809  -0.249 -0.654  -0.249 -0.498  -0.249 -0.343  -0.249 -0.188  -0.210 -0.049  -0.171 0.090  -0.150 0.229  0.001 0.267  0.140 0.314  0.140 0.469  0.220 0.575  0.359 0.644  0.488 0.727  0.598 0.837  0.749 0.846  0.872 0.923  1.028 0.923  1.183 0.923  1.329 0.900  1.384 0.768
