3#app#app34#app3495/A  -0.185 1.631  -0.185 1.365  -0.185 1.099  -0.211 0.844  -0.312 0.619  -0.312 0.354  -0.312 0.088  -0.312 -0.178  -0.389 -0.426  -0.439 -0.680  -0.478 -0.907  -0.566 -1.085  -0.566 -1.351  -0.566 -1.212  -0.566 -0.946  -0.566 -0.680  -0.566 -0.414  -0.566 -0.148  -0.448 0.090  -0.439 0.354  -0.439 0.620  -0.439 0.886  -0.439 1.152  -0.439 1.418  -0.312 1.557  -0.185 1.566  -0.041 1.359  0.068 1.139  0.068 0.873  0.256 0.748  0.375 0.510  0.449 0.262  0.576 0.048  0.665 -0.197  0.830 -0.401  0.830 -0.667  0.957 -0.806  0.984 -1.061  1.084 -1.286  0.861 -1.146  0.637 -1.003  0.412 -0.861  0.188 -0.718  -0.036 -0.575  -0.261 -0.432  -0.107 -0.399  0.068 -0.309  0.298 -0.273  0.564 -0.273  0.703 -0.146
3#app#app34#app3495/Q  -0.291 1.177  -0.405 1.082  -0.573 1.009  -0.721 0.861  -0.869 0.713  -0.974 0.547  -0.974 0.337  -0.974 0.128  -0.974 -0.082  -0.974 -0.291  -0.974 -0.500  -0.929 -0.691  -0.860 -0.872  -0.674 -0.966  -0.517 -1.101  -0.307 -1.101  -0.098 -1.101  0.112 -1.101  0.309 -1.071  0.483 -0.987  0.643 -0.862  0.830 -0.769  0.924 -0.646  0.962 -0.475  0.962 -0.266  0.962 -0.056  0.881 0.120  0.849 0.316  0.746 0.482  0.598 0.631  0.450 0.779  0.302 0.927  0.234 1.108  0.053 1.177  -0.129 1.243  -0.286 1.264  -0.255 1.057  -0.223 0.850  -0.191 0.643  -0.159 0.436  -0.127 0.229  -0.095 0.022  -0.064 -0.185  0.115 -0.254  0.279 -0.329  0.393 -0.425  0.495 -0.532  0.566 -0.705  0.735 -0.778  0.735 -0.987
3#app#app34#app3495/u  -0.929 0.799  -0.929 0.926  -0.865 0.989  -0.739 0.989  -0.739 0.863  -0.739 0.736  -0.739 0.609  -0.739 0.483  -0.739 0.356  -0.739 0.229  -0.739 0.103  -0.739 -0.024  -0.739 -0.150  -0.739 -0.277  -0.739 -0.404  -0.739 -0.530  -0.613 -0.531  -0.549 -0.594  -0.549 -0.720  -0.423 -0.721  -0.359 -0.784  -0.359 -0.910  -0.270 -1.000  -0.180 -1.090  -0.058 -1.101  0.055 -1.068  0.144 -0.978  0.243 -0.911  0.370 -0.911  0.469 -0.844  0.558 -0.754  0.648 -0.665  0.737 -0.575  0.781 -0.467  0.781 -0.340  0.781 -0.214  0.781 -0.087  0.781 0.040  0.781 0.166  0.781 0.293  0.781 0.419  0.781 0.546  0.781 0.673  0.781 0.799  0.781 0.926  0.718 0.989  0.591 0.989  0.591 1.116  0.591 1.243  0.591 1.369
3#app#app34#app3495/i  -0.093 0.368  -0.093 0.254  -0.093 0.141  -0.093 0.028  -0.093 -0.085  -0.093 -0.198  -0.093 -0.311  -0.077 -0.420  -0.027 -0.521  0.024 -0.623  0.074 -0.724  0.097 -0.832  0.097 -0.945  0.097 -1.058  0.097 -1.171  0.097 -1.284  0.097 -1.397  0.097 -1.510  0.091 -1.429  0.086 -1.316  0.080 -1.203  0.074 -1.090  0.068 -0.977  0.062 -0.864  0.056 -0.751  0.050 -0.638  0.044 -0.525  0.038 -0.413  0.032 -0.300  0.026 -0.187  0.020 -0.074  0.014 0.039  0.008 0.152  0.002 0.265  -0.004 0.378  -0.010 0.491  -0.015 0.604  -0.021 0.717  -0.027 0.830  -0.033 0.942  -0.039 1.055  -0.045 1.168  -0.051 1.281  -0.057 1.394  -0.063 1.507  -0.069 1.620  -0.075 1.733  -0.081 1.846  -0.087 1.959  -0.093 2.072
3#app#app34#app3495/c  0.752 1.376  0.648 1.376  0.544 1.376  0.440 1.376  0.369 1.342  0.369 1.238  0.318 1.185  0.214 1.185  0.130 1.137  0.056 1.063  -0.018 0.989  -0.091 0.916  -0.165 0.842  -0.239 0.768  -0.313 0.695  -0.386 0.621  -0.397 0.521  -0.397 0.417  -0.397 0.313  -0.415 0.227  -0.520 0.227  -0.589 0.192  -0.589 0.087  -0.589 -0.017  -0.589 -0.121  -0.589 -0.225  -0.589 -0.329  -0.589 -0.434  -0.589 -0.538  -0.589 -0.642  -0.574 -0.732  -0.470 -0.732  -0.397 -0.763  -0.397 -0.868  -0.349 -0.923  -0.244 -0.923  -0.140 -0.923  -0.036 -0.923  0.068 -0.923  0.172 -0.923  0.277 -0.923  0.381 -0.923  0.485 -0.923  0.589 -0.923  0.694 -0.923  0.785 -0.891  0.858 -0.817  0.932 -0.743  1.031 -0.732  1.136 -0.732
3#app#app34#app3495/k  -1.035 2.011  -0.953 1.880  -0.903 1.718  -0.824 1.537  -0.771 1.346  -0.771 1.134  -0.696 0.939  -0.640 0.739  -0.640 0.526  -0.556 0.348  -0.508 0.155  -0.466 -0.047  -0.376 -0.239  -0.376 -0.452  -0.376 -0.665  -0.376 -0.877  -0.245 -1.036  -0.245 -1.248  -0.156 -1.121  -0.051 -0.935  0.053 -0.750  0.157 -0.564  0.262 -0.379  0.366 -0.194  0.470 -0.008  0.575 0.177  0.679 0.363  0.783 0.548  0.888 0.734  0.940 0.721  0.808 0.640  0.712 0.467  0.561 0.316  0.410 0.169  0.244 0.093  0.147 -0.095  -0.066 -0.095  -0.147 -0.226  -0.245 -0.342  -0.376 -0.423  -0.494 -0.490  -0.281 -0.490  -0.068 -0.490  0.145 -0.490  0.303 -0.621  0.516 -0.621  0.675 -0.751  0.864 -0.808  1.014 -0.959  1.072 -1.148
3#app#app34#app3495/B  -0.672 1.379  -0.636 1.170  -0.567 0.993  -0.567 0.747  -0.567 0.502  -0.567 0.257  -0.567 0.012  -0.567 -0.234  -0.510 -0.455  -0.463 -0.681  -0.463 -0.916  -0.479 -0.671  -0.506 -0.428  -0.533 -0.184  -0.560 0.060  -0.587 0.304  -0.614 0.547  -0.642 0.791  -0.669 1.035  -0.459 1.069  -0.255 1.170  -0.020 1.194  0.192 1.274  0.420 1.199  0.636 1.116  0.687 0.892  0.687 0.647  0.582 0.445  0.383 0.343  0.210 0.170  0.036 -0.004  -0.149 -0.111  -0.192 -0.189  -0.045 -0.091  0.194 -0.085  0.440 -0.085  0.685 -0.085  0.859 -0.257  1.001 -0.382  1.089 -0.591  1.105 -0.830  0.996 -1.030  0.793 -1.130  0.662 -1.259  0.450 -1.339  0.205 -1.339  -0.041 -1.339  -0.181 -1.235  -0.081 -1.235  -0.149 -1.130
3#app#app34#app3495/r  -0.351 0.422  -0.351 0.572  -0.223 0.594  -0.178 0.700  -0.178 0.683  -0.178 0.533  -0.178 0.383  -0.178 0.233  -0.178 0.083  -0.178 -0.067  -0.178 -0.217  -0.178 -0.367  -0.178 -0.517  -0.178 -0.667  -0.178 -0.818  -0.178 -0.968  -0.178 -1.118  -0.178 -1.268  -0.178 -1.418  -0.178 -1.568  -0.178 -1.576  -0.178 -1.426  -0.205 -1.302  -0.351 -1.298  -0.351 -1.148  -0.351 -0.998  -0.351 -0.848  -0.289 -0.724  -0.183 -0.617  -0.178 -0.469  -0.178 -0.319  -0.178 -0.169  -0.178 -0.019  -0.178 0.131  -0.156 0.272  -0.050 0.378  -0.006 0.510  -0.006 0.660  0.025 0.797  0.131 0.903  0.166 1.039  0.244 1.111  0.394 1.111  0.535 1.135  0.641 1.241  0.773 1.284  0.923 1.284  1.073 1.284  1.223 1.284  1.373 1.284
3#app#app34#app3495/o  0.157 1.218  0.004 1.218  -0.106 1.115  -0.215 1.007  -0.323 0.898  -0.325 0.746  -0.426 0.634  -0.485 0.506  -0.547 0.415  -0.646 0.360  -0.646 0.207  -0.646 0.054  -0.669 -0.090  -0.777 -0.199  -0.807 -0.340  -0.807 -0.493  -0.807 -0.646  -0.807 -0.799  -0.749 -0.928  -0.638 -1.031  -0.485 -1.032  -0.485 -1.185  -0.339 -1.192  -0.186 -1.192  -0.033 -1.192  0.084 -1.105  0.207 -1.031  0.360 -1.031  0.479 -0.997  0.506 -0.871  0.639 -0.851  0.648 -0.701  0.757 -0.593  0.800 -0.458  0.800 -0.305  0.723 -0.228  0.639 -0.159  0.639 -0.006  0.639 0.148  0.606 0.287  0.498 0.395  0.479 0.541  0.479 0.694  0.400 0.815  0.318 0.934  0.318 1.087  0.296 1.218  0.157 1.233  0.157 1.386  0.157 1.539
3#app#app34#app3495/w  -1.348 0.874  -1.188 0.860  -1.188 0.685  -1.158 0.522  -1.034 0.399  -1.027 0.227  -1.027 0.052  -1.027 -0.123  -0.980 -0.251  -0.866 -0.312  -0.866 -0.487  -0.777 -0.573  -0.706 -0.676  -0.706 -0.850  -0.574 -0.894  -0.545 -1.039  -0.545 -0.895  -0.545 -0.721  -0.533 -0.549  -0.455 -0.392  -0.384 -0.234  -0.362 -0.068  -0.238 0.055  -0.223 0.224  -0.218 0.397  -0.095 0.520  -0.063 0.682  0.081 0.713  0.098 0.555  0.109 0.392  0.259 0.366  0.287 0.203  0.410 0.079  0.421 -0.091  0.591 -0.101  0.715 -0.225  0.741 -0.389  0.893 -0.412  0.907 -0.573  1.062 -0.553  1.096 -0.412  1.223 -0.364  1.223 -0.189  1.223 -0.015  1.223 0.160  1.223 0.335  1.223 0.510  1.223 0.685  1.223 0.860  1.223 1.034
3#app#app34#app3495/n  -0.910 0.638  -0.778 0.627  -0.778 0.485  -0.778 0.343  -0.778 0.201  -0.778 0.058  -0.778 -0.084  -0.778 -0.226  -0.778 -0.369  -0.778 -0.511  -0.778 -0.653  -0.778 -0.795  -0.778 -0.938  -0.778 -0.815  -0.778 -0.673  -0.778 -0.531  -0.747 -0.419  -0.646 -0.378  -0.646 -0.236  -0.646 -0.094  -0.614 0.041  -0.550 0.168  -0.486 0.296  -0.423 0.423  -0.382 0.555  -0.339 0.680  -0.234 0.770  -0.099 0.788  0.002 0.889  0.138 0.902  0.281 0.902  0.422 0.896  0.549 0.833  0.676 0.769  0.777 0.668  0.807 0.539  0.807 0.396  0.892 0.289  0.939 0.167  0.999 0.049  1.071 -0.063  1.071 -0.206  1.071 -0.348  1.071 -0.490  1.071 -0.632  1.071 -0.775  1.071 -0.917  1.071 -1.059  1.193 -1.080  1.336 -1.080
