1b#tos#f1#f1009062/C  1.077 0.589  0.962 0.589  0.904 0.646  0.874 0.749  0.808 0.805  0.775 0.886  0.683 0.935  0.611 1.003  0.507 1.021  0.392 1.021  0.278 1.021  0.163 1.021  0.048 1.021  -0.067 1.021  -0.167 0.987  -0.192 0.892  -0.294 0.860  -0.355 0.781  -0.435 0.707  -0.510 0.638  -0.532 0.535  -0.564 0.434  -0.603 0.335  -0.608 0.222  -0.696 0.171  -0.737 0.086  -0.737 -0.029  -0.716 -0.141  -0.694 -0.253  -0.694 -0.368  -0.694 -0.483  -0.643 -0.584  -0.579 -0.677  -0.537 -0.777  -0.517 -0.884  -0.451 -0.976  -0.365 -1.044  -0.295 -1.095  -0.180 -1.095  -0.066 -1.095  0.049 -1.095  0.164 -1.095  0.272 -1.079  0.376 -1.052  0.456 -0.997  0.543 -0.930  0.646 -0.879  0.688 -0.806  0.789 -0.793  0.861 -0.750
1b#tos#f1#f1009062/D  -0.280 1.244  -0.389 1.136  -0.334 0.942  -0.334 0.726  -0.334 0.510  -0.334 0.293  -0.389 0.090  -0.389 -0.126  -0.443 -0.288  -0.443 -0.505  -0.443 -0.721  -0.443 -0.937  -0.443 -1.154  -0.431 -1.043  -0.416 -0.827  -0.401 -0.611  -0.385 -0.396  -0.370 -0.180  -0.354 0.036  -0.339 0.252  -0.323 0.467  -0.308 0.683  -0.293 0.899  -0.311 1.065  -0.443 1.101  -0.261 1.135  -0.044 1.135  0.172 1.135  0.388 1.135  0.567 1.074  0.639 0.893  0.755 0.769  0.863 0.662  0.972 0.522  0.972 0.306  1.081 0.198  1.081 -0.018  1.029 -0.222  0.984 -0.411  0.809 -0.510  0.748 -0.682  0.597 -0.813  0.416 -0.892  0.247 -1.006  0.046 -1.043  -0.144 -1.111  -0.344 -1.184  -0.555 -1.206  -0.717 -1.261  -0.933 -1.261
1b#tos#f1#f1009062/E  -0.678 1.181  -0.662 1.140  -0.447 1.173  -0.226 1.181  -0.003 1.181  0.221 1.181  0.444 1.181  0.661 1.155  0.873 1.123  1.045 1.057  0.901 0.991  0.681 0.958  0.460 0.924  0.239 0.891  0.019 0.857  -0.202 0.824  -0.404 0.776  -0.471 0.569  -0.554 0.380  -0.554 0.157  -0.554 -0.066  -0.545 -0.287  -0.512 -0.503  -0.471 -0.716  -0.470 -0.926  -0.438 -0.706  -0.407 -0.485  -0.375 -0.264  -0.366 -0.062  -0.369 -0.074  -0.149 -0.062  0.074 -0.062  0.297 -0.062  0.521 -0.062  0.461 -0.192  0.292 -0.337  0.122 -0.482  -0.048 -0.627  -0.218 -0.771  -0.388 -0.916  -0.554 -1.063  -0.574 -1.140  -0.351 -1.140  -0.128 -1.140  0.092 -1.118  0.312 -1.099  0.535 -1.099  0.758 -1.099  0.964 -1.140  1.146 -1.182
1b#tos#f1#f1009062/G  0.538 1.365  0.333 1.333  0.119 1.322  -0.089 1.365  -0.308 1.365  -0.414 1.220  -0.552 1.134  -0.717 1.054  -0.771 0.889  -0.847 0.713  -0.963 0.586  -0.977 0.370  -1.020 0.162  -1.064 -0.039  -1.064 -0.257  -1.064 -0.476  -1.020 -0.651  -0.934 -0.783  -0.778 -0.855  -0.567 -0.886  -0.349 -0.886  -0.130 -0.886  0.088 -0.886  0.307 -0.886  0.452 -0.787  0.625 -0.741  0.654 -0.627  0.533 -0.445  0.412 -0.263  0.291 -0.082  0.169 0.100  0.048 0.282  -0.077 0.456  -0.241 0.351  -0.144 0.283  0.074 0.283  0.293 0.283  0.506 0.250  0.723 0.240  0.941 0.240  1.047 0.218  0.844 0.137  0.668 0.037  0.668 -0.181  0.635 -0.366  0.625 -0.575  0.625 -0.793  0.625 -1.012  0.625 -1.230  0.625 -1.449
1b#tos#f1#f1009062/H  -0.860 0.925  -1.031 0.913  -1.031 0.729  -1.031 0.546  -1.031 0.363  -1.031 0.180  -0.988 0.015  -0.988 -0.169  -0.972 -0.348  -0.946 -0.525  -0.946 -0.708  -0.946 -0.891  -0.928 -0.927  -0.886 -0.749  -0.844 -0.571  -0.801 -0.393  -0.759 -0.215  -0.796 -0.113  -0.834 -0.144  -0.651 -0.144  -0.510 -0.102  -0.327 -0.102  -0.144 -0.102  0.039 -0.102  0.222 -0.102  0.405 -0.102  0.580 -0.138  0.762 -0.144  0.778 -0.051  0.796 0.132  0.813 0.314  0.831 0.496  0.849 0.679  0.866 0.861  0.884 1.043  0.808 1.137  0.722 1.039  0.748 0.882  0.765 0.716  0.765 0.532  0.765 0.349  0.765 0.166  0.765 -0.017  0.765 -0.200  0.765 -0.383  0.765 -0.566  0.765 -0.750  0.765 -0.933  0.765 -1.116  0.765 -1.214
1b#tos#f1#f1009062/J  -0.340 0.988  -0.447 0.988  -0.554 0.988  -0.495 0.988  -0.388 0.988  -0.281 0.988  -0.174 0.988  -0.066 0.988  0.041 0.988  0.148 0.988  0.255 0.988  0.363 0.988  0.470 0.988  0.577 0.988  0.587 1.018  0.485 0.985  0.383 0.951  0.297 0.928  0.297 0.821  0.297 0.714  0.297 0.606  0.297 0.499  0.297 0.392  0.297 0.285  0.297 0.177  0.297 0.070  0.297 -0.037  0.297 -0.144  0.276 -0.247  0.257 -0.349  0.220 -0.441  0.217 -0.548  0.217 -0.655  0.217 -0.762  0.217 -0.869  0.217 -0.977  0.143 -1.038  0.094 -1.124  0.002 -1.160  -0.105 -1.160  -0.141 -1.232  -0.240 -1.240  -0.347 -1.240  -0.455 -1.240  -0.562 -1.240  -0.664 -1.217  -0.758 -1.179  -0.857 -1.159  -0.877 -1.060  -0.897 -0.961
1b#tos#f1#f1009062/L  -0.367 1.638  -0.416 1.593  -0.457 1.541  -0.457 1.447  -0.441 1.369  -0.412 1.305  -0.412 1.212  -0.412 1.118  -0.412 1.025  -0.412 0.932  -0.412 0.838  -0.412 0.745  -0.412 0.651  -0.412 0.558  -0.412 0.464  -0.412 0.371  -0.412 0.278  -0.412 0.184  -0.412 0.091  -0.403 -0.001  -0.373 -0.090  -0.367 -0.182  -0.402 -0.268  -0.412 -0.359  -0.412 -0.452  -0.436 -0.536  -0.470 -0.615  -0.542 -0.646  -0.448 -0.646  -0.355 -0.646  -0.261 -0.646  -0.168 -0.646  -0.075 -0.646  0.019 -0.646  0.112 -0.646  0.206 -0.646  0.299 -0.646  0.393 -0.646  0.486 -0.646  0.580 -0.646  0.673 -0.646  0.766 -0.646  0.860 -0.646  0.953 -0.646  1.047 -0.646  1.140 -0.646  1.234 -0.646  1.327 -0.646  1.421 -0.646  1.514 -0.646
1b#tos#f1#f1009062/M  -0.652 0.859  -0.778 0.786  -0.736 0.605  -0.736 0.406  -0.736 0.208  -0.736 0.010  -0.736 -0.189  -0.736 -0.387  -0.736 -0.585  -0.736 -0.784  -0.736 -0.982  -0.736 -1.180  -0.730 -1.241  -0.714 -1.044  -0.698 -0.846  -0.682 -0.648  -0.666 -0.451  -0.650 -0.253  -0.633 -0.055  -0.617 0.142  -0.601 0.340  -0.585 0.538  -0.570 0.734  -0.736 0.701  -0.605 0.597  -0.493 0.484  -0.403 0.318  -0.233 0.231  -0.110 0.132  -0.019 0.025  0.057 -0.098  0.252 -0.100  0.357 0.033  0.483 0.150  0.631 0.256  0.682 0.443  0.798 0.525  0.891 0.680  0.986 0.817  1.141 0.857  1.141 0.659  1.141 0.461  1.141 0.262  1.180 0.073  1.199 -0.123  1.225 -0.318  1.261 -0.507  1.308 -0.663  1.308 -0.861  1.350 -1.018
1b#tos#f1#f1009062/N  -0.559 1.199  -0.653 1.098  -0.653 0.837  -0.653 0.575  -0.653 0.314  -0.653 0.052  -0.653 -0.209  -0.653 -0.471  -0.653 -0.732  -0.653 -0.994  -0.653 -1.255  -0.701 -1.469  -0.710 -1.251  -0.720 -0.990  -0.729 -0.728  -0.739 -0.467  -0.749 -0.206  -0.759 0.055  -0.769 0.317  -0.779 0.578  -0.789 0.839  -0.859 0.946  -0.773 0.787  -0.583 0.633  -0.409 0.491  -0.269 0.302  -0.087 0.223  0.101 0.067  0.296 -0.040  0.432 -0.198  0.573 -0.373  0.763 -0.501  0.904 -0.676  1.045 -0.796  1.018 -0.604  0.986 -0.345  0.954 -0.085  0.923 0.174  0.891 0.434  0.859 0.693  0.828 0.953  0.707 1.077  0.668 0.840  0.668 0.578  0.762 0.356  0.762 0.094  0.806 -0.160  0.809 -0.421  0.857 -0.663  0.904 -0.877
1b#tos#f1#f1009062/O  0.156 1.017  0.003 1.017  -0.142 0.999  -0.285 0.975  -0.374 0.857  -0.503 0.819  -0.590 0.737  -0.698 0.666  -0.771 0.546  -0.884 0.453  -0.910 0.311  -0.964 0.173  -1.004 0.030  -1.004 -0.122  -1.044 -0.266  -1.044 -0.418  -0.983 -0.533  -0.952 -0.663  -0.846 -0.738  -0.716 -0.790  -0.617 -0.863  -0.475 -0.880  -0.361 -0.943  -0.208 -0.943  -0.056 -0.943  0.057 -0.983  0.210 -0.983  0.323 -0.943  0.475 -0.943  0.595 -0.863  0.708 -0.799  0.800 -0.699  0.876 -0.601  0.924 -0.478  0.996 -0.355  0.996 -0.202  0.996 -0.049  1.036 0.063  1.036 0.216  0.996 0.329  0.972 0.465  0.876 0.548  0.757 0.596  0.627 0.642  0.543 0.737  0.390 0.737  0.237 0.737  0.101 0.777  -0.051 0.777  -0.204 0.777
1b#tos#f1#f1009062/Q  0.076 -0.713  -0.028 -0.857  -0.277 -0.857  -0.527 -0.857  -0.716 -0.761  -0.773 -0.568  -0.984 -0.530  -1.080 -0.341  -1.080 -0.092  -1.080 0.158  -1.080 0.407  -1.032 0.608  -0.956 0.781  -0.839 0.913  -0.758 1.118  -0.598 1.244  -0.375 1.311  -0.126 1.311  0.123 1.311  0.361 1.263  0.538 1.090  0.703 0.957  0.799 0.804  0.862 0.606  0.895 0.365  0.895 0.116  0.895 -0.133  0.792 -0.279  0.651 -0.424  0.499 -0.525  0.308 -0.616  0.071 -0.665  -0.178 -0.665  -0.406 -0.643  -0.502 -0.453  -0.598 -0.300  -0.598 -0.051  -0.458 0.058  -0.354 0.203  -0.105 0.203  0.144 0.203  0.221 0.030  0.332 -0.142  0.468 -0.307  0.558 -0.510  0.654 -0.700  0.847 -0.784  1.071 -0.809  1.272 -0.761  1.473 -0.713
