2#tos#t3#t3007062/!  0.048 1.623  0.070 1.643  0.090 1.578  0.105 1.510  0.131 1.444  0.131 1.372  0.131 1.299  0.131 1.227  0.131 1.155  0.131 1.083  0.131 1.010  0.131 0.938  0.131 0.866  0.131 0.794  0.131 0.722  0.131 0.649  0.131 0.577  0.121 0.506  0.104 0.436  0.090 0.365  0.090 0.293  0.090 0.221  0.090 0.149  0.076 0.078  0.059 0.008  0.048 -0.063  0.036 -0.130  -0.015 -0.181  -0.035 -0.245  -0.035 -0.317  -0.035 -0.390  -0.037 -0.462  -0.049 -0.533  -0.060 -0.604  -0.072 -0.675  -0.084 -0.747  -0.096 -0.818  -0.108 -0.889  -0.120 -0.960  -0.132 -1.032  -0.144 -1.103  -0.155 -1.174  -0.167 -1.242  -0.227 -1.282  -0.283 -1.324  -0.283 -1.396  -0.258 -1.444  -0.202 -1.483  -0.148 -1.527  -0.076 -1.527
2#tos#t3#t3007062/#  -0.715 0.421  -1.050 0.245  -0.954 0.187  -0.532 0.187  -0.129 0.288  0.278 0.388  0.670 0.522  0.923 0.551  0.553 0.348  0.182 0.145  -0.189 -0.057  -0.559 -0.260  -0.838 -0.533  -1.084 -0.776  -0.874 -0.750  -0.465 -0.670  -0.070 -0.528  0.336 -0.426  0.730 -0.315  1.081 -0.215  0.919 0.084  0.638 0.399  0.357 0.715  0.076 1.030  -0.205 1.345  -0.448 1.233  -0.448 0.810  -0.481 0.392  -0.544 -0.023  -0.571 -0.442  -0.602 -0.858  -0.682 -1.264  -0.682 -1.687  -0.539 -1.361  -0.382 -0.969  -0.226 -0.576  -0.070 -0.184  0.086 0.209  0.242 0.601  0.399 0.994  0.555 1.386  0.590 1.625  0.590 1.202  0.590 0.780  0.590 0.357  0.590 -0.065  0.590 -0.488  0.590 -0.910  0.590 -1.332  0.590 -1.755
2#tos#t3#t3007062/&  0.689 0.225  0.483 0.122  0.674 0.096  0.928 0.096  1.174 0.077  1.040 0.081  0.793 0.089  0.663 -0.035  0.575 -0.209  0.405 -0.350  0.240 -0.508  0.057 -0.654  -0.168 -0.765  -0.401 -0.863  -0.650 -0.887  -0.888 -0.939  -1.136 -0.913  -1.313 -0.799  -1.278 -0.603  -1.157 -0.447  -0.955 -0.325  -0.744 -0.221  -0.550 -0.127  -0.363 0.009  -0.210 0.179  -0.080 0.387  0.070 0.589  0.150 0.827  0.198 1.070  0.157 1.315  0.049 1.525  -0.142 1.659  -0.391 1.674  -0.526 1.535  -0.526 1.281  -0.501 1.031  -0.416 0.798  -0.301 0.572  -0.192 0.356  -0.124 0.117  -0.025 -0.116  0.076 -0.348  0.200 -0.555  0.339 -0.748  0.519 -0.857  0.677 -0.810  0.767 -0.630  0.715 -0.747  0.710 -1.000  0.689 -1.249
2#tos#t3#t3007062/)  -0.287 1.366  -0.362 1.352  -0.423 1.306  -0.432 1.306  -0.368 1.266  -0.311 1.209  -0.240 1.186  -0.167 1.156  -0.093 1.126  -0.047 1.092  0.007 1.066  0.055 1.004  0.099 0.937  0.142 0.869  0.178 0.797  0.239 0.765  0.254 0.700  0.254 0.619  0.286 0.552  0.314 0.483  0.314 0.403  0.314 0.322  0.314 0.242  0.314 0.161  0.314 0.081  0.314 0.000  0.314 -0.080  0.301 -0.157  0.256 -0.224  0.212 -0.290  0.194 -0.365  0.194 -0.446  0.194 -0.526  0.172 -0.602  0.136 -0.674  0.100 -0.746  0.073 -0.820  0.050 -0.893  0.006 -0.960  -0.039 -1.027  -0.076 -1.098  -0.114 -1.169  -0.158 -1.236  -0.203 -1.303  -0.260 -1.356  -0.332 -1.392  -0.404 -1.428  -0.474 -1.466  -0.531 -1.523  -0.588 -1.580
2#tos#t3#t3007062/,  0.821 1.370  0.821 1.288  0.821 1.205  0.821 1.123  0.821 1.041  0.821 0.958  0.821 0.876  0.821 0.794  0.821 0.712  0.821 0.629  0.821 0.547  0.821 0.465  0.821 0.382  0.821 0.300  0.821 0.218  0.750 0.206  0.668 0.206  0.585 0.206  0.503 0.206  0.421 0.206  0.338 0.206  0.256 0.206  0.174 0.206  0.091 0.206  0.029 0.174  -0.008 0.100  -0.045 0.027  -0.081 -0.047  -0.118 -0.121  -0.155 -0.194  -0.192 -0.268  -0.229 -0.341  -0.265 -0.415  -0.302 -0.489  -0.339 -0.562  -0.413 -0.593  -0.491 -0.619  -0.569 -0.645  -0.647 -0.671  -0.726 -0.697  -0.804 -0.723  -0.882 -0.749  -0.960 -0.775  -1.038 -0.801  -1.116 -0.827  -1.194 -0.853  -1.272 -0.879  -1.350 -0.905  -1.428 -0.931  -1.506 -0.957
2#tos#t3#t3007062/  -0.958 0.300  -0.958 0.219  -0.972 0.145  -1.039 0.100  -1.106 0.055  -1.174 0.010  -1.241 -0.035  -1.308 -0.079  -1.375 -0.124  -1.339 -0.138  -1.258 -0.138  -1.178 -0.138  -1.097 -0.138  -1.016 -0.138  -0.935 -0.138  -0.854 -0.138  -0.773 -0.138  -0.692 -0.138  -0.611 -0.138  -0.530 -0.138  -0.450 -0.138  -0.369 -0.138  -0.288 -0.138  -0.207 -0.138  -0.126 -0.138  -0.047 -0.126  0.030 -0.100  0.106 -0.075  0.183 -0.049  0.260 -0.023  0.337 0.002  0.417 0.008  0.497 0.008  0.578 0.008  0.659 0.008  0.740 0.008  0.812 0.029  0.870 0.086  0.927 0.143  1.003 0.154  1.084 0.154  1.165 0.154  1.246 0.154  1.327 0.154  1.408 0.154  1.489 0.154  1.570 0.154  1.650 0.154  1.731 0.154  1.812 0.154
2#tos#t3#t3007062/;  0.259 1.673  0.259 1.598  0.259 1.523  0.259 1.448  0.184 1.447  0.183 1.374  0.183 1.299  0.183 1.224  0.183 1.149  0.183 1.074  0.183 0.999  0.183 0.924  0.183 0.849  0.183 0.774  0.183 0.699  0.183 0.624  0.183 0.549  0.183 0.474  0.183 0.399  0.183 0.324  0.183 0.249  0.183 0.174  0.183 0.099  0.183 0.024  0.183 -0.051  0.183 -0.126  0.183 -0.201  0.183 -0.276  0.162 -0.347  0.138 -0.418  0.114 -0.489  0.053 -0.508  0.033 -0.563  -0.022 -0.583  -0.081 -0.622  -0.134 -0.675  -0.187 -0.728  -0.222 -0.793  -0.256 -0.860  -0.295 -0.924  -0.336 -0.987  -0.378 -1.049  -0.418 -1.112  -0.418 -1.187  -0.419 -1.261  -0.464 -1.321  -0.509 -1.381  -0.554 -1.441  -0.599 -1.501  -0.644 -1.561
2#tos#t3#t3007062/=  -0.584 1.053  -0.737 0.977  -0.860 0.859  -0.980 0.739  -1.113 0.648  -1.021 0.648  -0.850 0.648  -0.679 0.648  -0.509 0.648  -0.338 0.648  -0.168 0.648  0.003 0.648  0.174 0.648  0.344 0.648  0.515 0.648  0.685 0.648  0.856 0.648  1.026 0.648  1.197 0.648  1.236 0.701  1.093 0.609  0.949 0.517  0.805 0.426  0.661 0.334  0.517 0.243  0.373 0.151  0.229 0.060  0.085 -0.032  -0.059 -0.124  -0.203 -0.215  -0.347 -0.307  -0.491 -0.398  -0.573 -0.546  -0.705 -0.649  -0.844 -0.747  -0.964 -0.868  -1.018 -0.893  -0.847 -0.893  -0.676 -0.893  -0.506 -0.893  -0.335 -0.893  -0.165 -0.893  0.006 -0.893  0.176 -0.893  0.347 -0.893  0.518 -0.893  0.688 -0.893  0.859 -0.893  1.029 -0.893  1.200 -0.893
2#tos#t3#t3007062/>  -0.595 1.022  -0.714 0.999  -0.833 0.975  -0.953 0.951  -0.981 0.853  -1.041 0.791  -1.033 0.713  -0.911 0.713  -0.821 0.636  -0.700 0.636  -0.578 0.636  -0.460 0.617  -0.344 0.578  -0.226 0.559  -0.106 0.550  0.010 0.512  0.126 0.481  0.248 0.481  0.366 0.454  0.484 0.424  0.603 0.404  0.723 0.400  0.809 0.314  0.904 0.250  1.025 0.250  1.115 0.172  1.129 0.172  1.028 0.151  1.028 0.030  0.919 0.018  0.831 -0.046  0.764 -0.147  0.680 -0.227  0.565 -0.266  0.455 -0.315  0.358 -0.388  0.261 -0.461  0.168 -0.538  0.100 -0.640  0.033 -0.741  -0.050 -0.829  -0.136 -0.915  -0.222 -1.001  -0.312 -1.082  -0.413 -1.149  -0.515 -1.217  -0.601 -1.302  -0.687 -1.388  -0.750 -1.484  -0.750 -1.606
2#tos#t3#t3007062/?  -0.193 0.595  -0.314 0.578  -0.372 0.462  -0.447 0.371  -0.577 0.371  -0.688 0.418  -0.753 0.489  -0.753 0.620  -0.722 0.738  -0.606 0.780  -0.492 0.844  -0.383 0.916  -0.257 0.931  -0.130 0.938  -0.019 0.987  0.111 0.987  0.242 0.987  0.366 0.950  0.494 0.931  0.615 0.891  0.719 0.819  0.758 0.728  0.796 0.613  0.861 0.501  0.815 0.427  0.814 0.298  0.722 0.259  0.653 0.160  0.542 0.095  0.525 -0.021  0.410 -0.046  0.343 -0.156  0.240 -0.236  0.129 -0.300  0.024 -0.363  -0.083 -0.417  -0.124 -0.541  -0.226 -0.580  -0.301 -0.636  -0.290 -0.762  -0.275 -0.891  -0.260 -1.021  -0.245 -1.151  -0.229 -1.280  -0.214 -1.410  -0.199 -1.540  -0.205 -1.667  -0.264 -1.784  -0.305 -1.905  -0.249 -1.979
2#tos#t3#t3007062/^  -0.939 -0.554  -0.962 -0.640  -1.052 -0.685  -1.115 -0.757  -1.160 -0.846  -1.144 -0.927  -1.089 -0.882  -1.089 -0.782  -1.073 -0.688  -1.002 -0.616  -0.936 -0.543  -0.904 -0.447  -0.872 -0.352  -0.796 -0.295  -0.711 -0.246  -0.666 -0.156  -0.621 -0.066  -0.576 0.024  -0.531 0.114  -0.480 0.197  -0.385 0.228  -0.289 0.260  -0.268 0.345  -0.242 0.430  -0.152 0.474  -0.056 0.491  0.019 0.554  0.031 0.649  0.066 0.715  0.166 0.715  0.267 0.715  0.367 0.715  0.433 0.659  0.477 0.569  0.548 0.497  0.619 0.426  0.715 0.414  0.812 0.389  0.910 0.365  1.002 0.336  1.002 0.236  1.042 0.152  1.113 0.081  1.172 0.001  1.217 -0.089  1.307 -0.106  1.389 -0.135  1.434 -0.225  1.479 -0.315  1.524 -0.404
2#tos#t3#t3007062/_  -0.629 0.399  -0.710 0.379  -0.792 0.358  -0.873 0.338  -0.955 0.317  -1.036 0.297  -1.118 0.277  -1.199 0.256  -1.246 0.209  -1.289 0.168  -1.323 0.118  -1.266 0.090  -1.182 0.090  -1.098 0.090  -1.014 0.090  -0.930 0.090  -0.846 0.090  -0.762 0.090  -0.683 0.075  -0.613 0.028  -0.543 -0.018  -0.473 -0.064  -0.389 -0.064  -0.305 -0.064  -0.221 -0.064  -0.137 -0.064  -0.053 -0.064  0.031 -0.064  0.115 -0.064  0.199 -0.064  0.283 -0.064  0.367 -0.064  0.449 -0.083  0.530 -0.103  0.612 -0.123  0.694 -0.141  0.778 -0.141  0.862 -0.141  0.946 -0.141  1.030 -0.141  1.114 -0.141  1.195 -0.158  1.275 -0.184  1.354 -0.211  1.437 -0.218  1.521 -0.218  1.605 -0.218  1.689 -0.220  1.764 -0.258  1.839 -0.295
2#tos#t3#t3007062/`  -0.419 1.340  -0.493 1.340  -0.568 1.340  -0.618 1.300  -0.651 1.233  -0.684 1.167  -0.718 1.100  -0.751 1.033  -0.764 0.970  -0.711 0.917  -0.659 0.864  -0.606 0.811  -0.553 0.759  -0.500 0.706  -0.447 0.653  -0.404 0.594  -0.370 0.527  -0.337 0.460  -0.303 0.394  -0.270 0.327  -0.237 0.260  -0.203 0.193  -0.170 0.127  -0.137 0.060  -0.103 -0.007  -0.070 -0.073  -0.022 -0.130  0.030 -0.183  0.083 -0.236  0.136 -0.288  0.189 -0.341  0.242 -0.394  0.294 -0.447  0.347 -0.499  0.400 -0.552  0.453 -0.605  0.476 -0.670  0.476 -0.744  0.484 -0.816  0.537 -0.868  0.590 -0.921  0.643 -0.974  0.655 -1.043  0.655 -1.118  0.679 -1.178  0.746 -1.211  0.813 -1.244  0.880 -1.278  0.946 -1.311  1.013 -1.344
2#tos#t3#t3007062/|  0.202 1.602  0.126 1.602  0.049 1.602  -0.004 1.579  -0.004 1.502  -0.004 1.426  -0.004 1.349  -0.004 1.273  -0.004 1.196  -0.004 1.119  -0.004 1.043  -0.004 0.966  -0.004 0.890  -0.004 0.813  -0.004 0.737  -0.004 0.660  -0.004 0.584  -0.004 0.507  -0.001 0.431  0.004 0.354  0.008 0.278  0.012 0.201  0.016 0.125  0.021 0.049  0.025 -0.028  0.029 -0.104  0.033 -0.181  0.038 -0.257  0.042 -0.334  0.046 -0.410  0.050 -0.486  0.055 -0.563  0.059 -0.639  0.063 -0.716  0.065 -0.792  0.005 -0.809  -0.071 -0.809  -0.142 -0.815  -0.142 -0.892  -0.142 -0.968  -0.114 -1.016  -0.073 -1.052  -0.073 -1.129  -0.073 -1.205  -0.031 -1.265  -0.004 -1.330  -0.004 -1.407  -0.004 -1.483  -0.004 -1.560  -0.004 -1.636
2#tos#t3#t3007062/}  -0.451 1.402  -0.558 1.375  -0.555 1.349  -0.441 1.349  -0.328 1.349  -0.215 1.349  -0.101 1.349  0.000 1.322  0.079 1.272  0.079 1.159  0.079 1.046  0.132 0.985  0.132 0.872  0.124 0.766  0.026 0.751  0.026 0.638  -0.004 0.555  -0.064 0.502  -0.080 0.404  -0.080 0.291  -0.080 0.178  -0.080 0.064  -0.027 0.004  0.001 -0.081  0.079 -0.148  0.153 -0.187  0.266 -0.187  0.370 -0.148  0.471 -0.097  0.429 -0.095  0.335 -0.158  0.238 -0.195  0.238 -0.308  0.163 -0.346  0.079 -0.376  0.079 -0.489  0.079 -0.602  0.079 -0.716  0.079 -0.829  0.079 -0.942  0.079 -1.056  0.079 -1.169  0.079 -1.282  0.079 -1.395  0.029 -1.459  -0.023 -1.557  -0.127 -1.588  -0.233 -1.618  -0.343 -1.635  -0.451 -1.671
2#tos#t3#t3007062/~  -0.771 -0.012  -0.853 -0.079  -0.955 -0.113  -1.008 -0.183  -1.008 -0.290  -1.098 -0.308  -1.194 -0.291  -1.242 -0.194  -1.245 -0.087  -1.204 0.010  -1.186 0.114  -1.129 0.165  -1.022 0.165  -0.985 0.256  -0.959 0.361  -0.903 0.448  -0.810 0.501  -0.707 0.520  -0.599 0.520  -0.492 0.520  -0.390 0.503  -0.300 0.443  -0.239 0.368  -0.165 0.306  -0.080 0.243  -0.061 0.143  -0.061 0.035  -0.002 -0.013  0.075 -0.089  0.151 -0.165  0.185 -0.258  0.235 -0.345  0.320 -0.367  0.428 -0.367  0.535 -0.367  0.643 -0.367  0.751 -0.367  0.858 -0.367  0.960 -0.353  1.049 -0.308  1.063 -0.215  1.143 -0.170  1.248 -0.144  1.354 -0.131  1.461 -0.131  1.506 -0.044  1.547 0.052  1.643 0.100  1.739 0.131  1.774 0.224
2#tos#t3#t3007062/0  0.605 1.051  0.484 1.073  0.392 1.158  0.313 1.232  0.171 1.232  0.029 1.232  -0.107 1.208  -0.207 1.116  -0.308 1.051  -0.400 0.970  -0.432 0.835  -0.477 0.700  -0.541 0.583  -0.562 0.445  -0.601 0.309  -0.601 0.167  -0.601 0.025  -0.601 -0.117  -0.601 -0.259  -0.603 -0.401  -0.667 -0.528  -0.722 -0.657  -0.722 -0.799  -0.662 -0.898  -0.541 -0.953  -0.541 -1.095  -0.451 -1.194  -0.332 -1.268  -0.228 -1.360  -0.086 -1.360  0.026 -1.312  0.106 -1.196  0.216 -1.119  0.243 -1.004  0.304 -0.876  0.373 -0.757  0.424 -0.667  0.436 -0.526  0.471 -0.388  0.544 -0.273  0.591 -0.145  0.665 -0.025  0.665 0.117  0.665 0.259  0.665 0.401  0.665 0.543  0.665 0.685  0.665 0.827  0.665 0.969  0.544 0.991
2#tos#t3#t3007062/1  -0.165 1.238  -0.271 1.205  -0.355 1.101  -0.462 1.025  -0.578 1.025  -0.440 1.025  -0.301 1.025  -0.162 1.025  -0.033 1.065  0.091 1.127  0.207 1.185  0.323 1.238  0.462 1.238  0.525 1.268  0.525 1.129  0.525 0.990  0.525 0.852  0.525 0.713  0.525 0.574  0.498 0.442  0.472 0.309  0.472 0.171  0.472 0.032  0.472 -0.107  0.422 -0.195  0.419 -0.331  0.416 -0.469  0.372 -0.601  0.353 -0.725  0.215 -0.716  0.076 -0.707  -0.062 -0.697  -0.200 -0.688  -0.339 -0.679  -0.430 -0.720  -0.509 -0.792  -0.646 -0.815  -0.749 -0.866  -0.762 -0.991  -0.901 -0.991  -0.776 -0.991  -0.638 -0.991  -0.499 -0.991  -0.360 -0.991  -0.222 -0.991  -0.083 -0.991  0.056 -0.991  0.194 -0.991  0.333 -0.991  0.472 -0.991
2#tos#t3#t3007062/2  -0.476 0.648  -0.590 0.556  -0.705 0.467  -0.747 0.584  -0.747 0.744  -0.694 0.882  -0.581 0.995  -0.455 1.076  -0.333 1.161  -0.239 1.282  -0.079 1.282  0.081 1.282  0.241 1.282  0.378 1.218  0.476 1.136  0.511 1.010  0.521 0.861  0.521 0.701  0.521 0.541  0.521 0.381  0.521 0.221  0.400 0.164  0.364 0.015  0.249 -0.048  0.130 -0.106  0.041 -0.213  -0.057 -0.328  -0.204 -0.350  -0.268 -0.490  -0.387 -0.577  -0.526 -0.638  -0.636 -0.711  -0.740 -0.802  -0.883 -0.853  -0.944 -0.893  -0.784 -0.893  -0.624 -0.893  -0.464 -0.893  -0.304 -0.893  -0.144 -0.893  0.005 -0.847  0.165 -0.847  0.325 -0.847  0.485 -0.844  0.638 -0.802  0.798 -0.802  0.958 -0.802  1.107 -0.757  1.267 -0.757  1.382 -0.711
2#tos#t3#t3007062/9  0.502 0.705  0.418 0.622  0.368 0.705  0.330 0.877  0.234 0.974  0.088 1.074  -0.041 1.153  -0.229 1.153  -0.417 1.153  -0.583 1.099  -0.711 1.017  -0.838 0.892  -0.887 0.723  -0.967 0.588  -0.976 0.402  -0.976 0.214  -0.976 0.026  -0.931 -0.151  -0.839 -0.282  -0.750 -0.415  -0.566 -0.422  -0.411 -0.504  -0.223 -0.504  -0.036 -0.504  0.097 -0.371  0.248 -0.295  0.323 -0.159  0.470 -0.056  0.597 0.044  0.681 0.204  0.705 0.390  0.739 0.575  0.760 0.750  0.587 0.697  0.540 0.523  0.457 0.386  0.424 0.208  0.367 0.037  0.364 -0.149  0.323 -0.320  0.323 -0.508  0.282 -0.679  0.276 -0.865  0.232 -1.043  0.188 -1.224  0.163 -1.406  0.143 -1.589  0.066 -1.745  0.054 -1.928  0.009 -2.072
