1b#app#app25#app2585/Z  -0.529 1.120  -0.390 1.236  -0.135 1.236  0.072 1.351  0.327 1.351  0.466 1.236  0.693 1.169  0.927 1.120  1.067 1.005  1.088 0.771  0.972 0.632  0.807 0.543  0.626 0.401  0.510 0.262  0.322 0.196  0.115 0.081  -0.025 -0.035  -0.232 -0.150  -0.431 -0.283  -0.611 -0.463  -0.804 -0.612  -1.059 -0.612  -1.222 -0.772  -1.039 -0.843  -0.811 -0.908  -0.577 -0.959  -0.323 -0.959  -0.101 -1.040  0.139 -1.074  0.346 -1.190  0.601 -1.190  0.447 -1.046  0.248 -0.887  0.049 -0.728  -0.150 -0.569  -0.349 -0.410  -0.548 -0.251  -0.747 -0.092  -0.946 0.068  -1.072 0.231  -0.851 0.312  -0.613 0.238  -0.369 0.196  -0.114 0.196  0.114 0.131  0.348 0.081  0.576 0.016  0.809 -0.035  1.064 -0.035  1.319 -0.035
1b#app#app25#app2585/A  -1.349 -1.353  -1.349 -1.160  -1.349 -0.967  -1.222 -0.827  -1.085 -0.691  -0.998 -0.519  -0.912 -0.346  -0.826 -0.174  -0.661 -0.079  -0.502 0.025  -0.385 0.176  -0.299 0.349  -0.170 0.490  -0.033 0.627  0.103 0.763  0.239 0.900  0.376 1.036  0.513 1.171  0.644 1.233  0.730 1.390  0.777 1.564  0.777 1.383  0.777 1.190  0.777 0.997  0.705 0.834  0.644 0.667  0.644 0.474  0.578 0.308  0.511 0.143  0.511 -0.050  0.511 -0.243  0.511 -0.436  0.511 -0.629  0.511 -0.822  0.373 -0.954  0.245 -1.019  0.245 -1.212  0.143 -1.066  0.036 -0.906  -0.071 -0.745  -0.178 -0.585  -0.285 -0.424  -0.392 -0.264  -0.499 -0.103  -0.453 -0.024  -0.261 -0.024  -0.068 -0.024  0.125 -0.024  0.318 -0.024  0.511 -0.024
1b#app#app25#app2585/P  0.116 0.983  0.116 0.787  0.116 0.590  0.116 0.394  -0.019 0.253  -0.122 0.100  -0.179 -0.083  -0.242 -0.265  -0.302 -0.447  -0.361 -0.630  -0.461 -0.785  -0.480 -0.973  -0.480 -1.170  -0.566 -1.280  -0.643 -1.399  -0.718 -1.521  -0.798 -1.638  -0.794 -1.487  -0.740 -1.298  -0.686 -1.109  -0.632 -0.920  -0.578 -0.731  -0.524 -0.542  -0.470 -0.353  -0.416 -0.165  -0.362 0.024  -0.308 0.213  -0.254 0.402  -0.200 0.591  -0.147 0.780  -0.122 0.973  0.044 1.031  0.211 1.102  0.407 1.102  0.484 1.222  0.681 1.222  0.831 1.175  0.834 0.980  0.950 0.831  1.060 0.745  1.069 0.558  1.069 0.361  1.069 0.165  0.937 0.030  0.741 0.030  0.544 0.030  0.348 0.030  0.151 0.030  -0.045 0.030  -0.242 0.030
1b#app#app25#app2585/K  0.147 1.416  -0.006 1.322  -0.030 1.086  -0.158 0.892  -0.230 0.662  -0.311 0.435  -0.423 0.234  -0.598 0.060  -0.664 -0.159  -0.839 -0.334  -0.923 -0.546  -0.972 -0.772  -1.075 -0.976  -1.045 -1.155  -0.860 -0.991  -0.675 -0.828  -0.490 -0.665  -0.305 -0.502  -0.120 -0.338  0.066 -0.175  0.251 -0.012  0.436 0.151  0.621 0.315  0.806 0.478  0.991 0.641  1.176 0.804  1.361 0.968  1.492 1.111  1.282 1.022  1.063 0.956  0.878 0.805  0.669 0.715  0.465 0.582  0.256 0.455  0.147 0.253  -0.030 0.169  -0.223 0.041  -0.470 0.041  -0.717 0.041  -0.770 -0.153  -0.635 -0.265  -0.464 -0.341  -0.294 -0.418  -0.158 -0.529  0.031 -0.607  0.147 -0.806  0.300 -0.900  0.300 -1.147  0.300 -1.394  0.300 -1.640
1b#app#app25#app2585/A  -1.044 -1.633  -1.044 -1.445  -1.044 -1.257  -1.044 -1.070  -0.929 -0.929  -0.896 -0.755  -0.872 -0.577  -0.739 -0.444  -0.606 -0.312  -0.521 -0.145  -0.454 0.027  -0.398 0.192  -0.307 0.342  -0.236 0.501  -0.124 0.648  -0.040 0.816  0.077 0.961  0.135 1.124  0.281 1.167  0.414 1.298  0.448 1.461  0.636 1.461  0.725 1.362  0.823 1.215  0.753 1.167  0.725 1.007  0.725 0.819  0.725 0.631  0.725 0.444  0.706 0.264  0.577 0.129  0.544 -0.045  0.430 -0.186  0.430 -0.374  0.354 -0.530  0.283 -0.688  0.283 -0.876  0.283 -1.064  0.250 -1.140  0.151 -0.980  0.051 -0.821  -0.048 -0.662  -0.148 -0.502  -0.247 -0.343  -0.347 -0.184  -0.446 -0.025  -0.281 -0.012  -0.093 -0.012  0.095 -0.012  0.283 -0.012
1b#app#app25#app2585/P  0.278 0.949  0.187 0.839  0.059 0.703  0.006 0.516  -0.051 0.329  -0.124 0.146  -0.166 -0.043  -0.270 -0.200  -0.372 -0.358  -0.464 -0.535  -0.514 -0.719  -0.599 -0.884  -0.660 -1.023  -0.708 -1.175  -0.708 -1.375  -0.818 -1.466  -0.913 -1.571  -0.851 -1.462  -0.767 -1.303  -0.707 -1.112  -0.646 -0.921  -0.585 -0.731  -0.525 -0.540  -0.464 -0.349  -0.403 -0.158  -0.343 0.032  -0.282 0.223  -0.221 0.414  -0.160 0.605  -0.100 0.795  -0.012 0.949  0.079 1.058  0.247 1.137  0.387 1.121  0.525 1.058  0.725 1.058  0.925 1.058  1.015 0.949  1.106 0.839  1.154 0.687  1.060 0.526  1.045 0.332  1.010 0.147  0.840 0.072  0.750 -0.037  0.595 -0.147  0.395 -0.147  0.194 -0.147  0.013 -0.101  -0.161 -0.037
1b#app#app25#app2585/O  0.436 0.897  0.292 0.897  0.148 0.897  0.019 0.861  -0.073 0.755  -0.104 0.642  -0.234 0.608  -0.336 0.507  -0.437 0.405  -0.539 0.303  -0.641 0.201  -0.709 0.085  -0.709 -0.059  -0.766 -0.179  -0.882 -0.248  -1.007 -0.292  -1.090 -0.402  -1.090 -0.546  -1.090 -0.690  -1.090 -0.834  -1.024 -0.951  -0.906 -1.012  -0.762 -1.012  -0.618 -1.012  -0.474 -1.012  -0.330 -1.012  -0.190 -1.002  -0.088 -0.900  0.050 -0.884  0.190 -0.876  0.292 -0.774  0.394 -0.672  0.496 -0.571  0.597 -0.469  0.691 -0.363  0.711 -0.228  0.813 -0.126  0.915 -0.024  0.945 0.107  0.945 0.251  0.945 0.395  0.945 0.539  0.945 0.683  0.904 0.810  0.818 0.918  0.780 1.024  0.652 1.063  0.544 1.151  0.411 1.126  0.309 1.024
1b#app#app25#app2585/W  -1.132 0.850  -1.132 0.672  -1.132 0.495  -1.132 0.317  -1.132 0.140  -1.132 -0.037  -1.132 -0.215  -1.132 -0.392  -1.049 -0.486  -1.011 -0.625  -0.937 -0.729  -0.881 -0.608  -0.723 -0.562  -0.647 -0.416  -0.558 -0.276  -0.432 -0.150  -0.397 0.014  -0.318 0.172  -0.212 0.312  -0.087 0.438  0.038 0.563  0.082 0.723  0.203 0.849  0.203 0.672  0.203 0.495  0.084 0.366  0.082 0.190  0.005 0.044  -0.040 -0.114  -0.074 -0.278  -0.161 -0.419  -0.161 -0.596  -0.161 -0.773  -0.061 -0.850  0.107 -0.826  0.232 -0.700  0.325 -0.561  0.427 -0.486  0.558 -0.374  0.714 -0.291  0.860 -0.194  1.007 -0.122  1.146 -0.029  1.236 0.122  1.326 0.273  1.452 0.398  1.539 0.539  1.617 0.685  1.742 0.810  1.782 0.971
1b#app#app25#app2585/K  -0.015 1.630  -0.015 1.393  -0.135 1.204  -0.254 1.016  -0.254 0.779  -0.313 0.555  -0.374 0.332  -0.443 0.123  -0.568 -0.076  -0.614 -0.303  -0.708 -0.502  -0.734 -0.729  -0.875 -0.908  -0.974 -1.105  -0.974 -1.343  -0.826 -1.211  -0.662 -1.039  -0.498 -0.867  -0.334 -0.695  -0.170 -0.523  -0.006 -0.351  0.158 -0.178  0.321 -0.006  0.485 0.166  0.649 0.338  0.813 0.510  0.977 0.682  1.141 0.854  1.305 1.026  1.377 1.104  1.209 0.936  1.064 0.829  0.887 0.735  0.679 0.659  0.466 0.552  0.298 0.385  0.091 0.312  -0.108 0.218  -0.276 0.050  -0.473 -0.048  -0.711 -0.048  -0.639 -0.168  -0.451 -0.287  -0.254 -0.329  -0.142 -0.520  0.061 -0.603  0.145 -0.806  0.225 -1.011  0.225 -1.248  0.225 -1.486
1b#app#app25#app2585/E  0.031 0.996  0.165 1.063  0.031 0.862  -0.104 0.739  -0.238 0.616  -0.373 0.414  -0.490 0.206  -0.507 -0.044  -0.664 -0.237  -0.846 -0.418  -1.028 -0.600  -1.210 -0.782  -1.313 -0.997  -1.349 -1.020  -1.091 -1.020  -0.834 -1.020  -0.577 -1.020  -0.320 -1.020  -0.062 -1.020  0.147 -1.136  0.329 -1.318  0.325 -1.423  0.287 -1.192  0.272 -0.936  0.258 -0.679  0.244 -0.422  0.230 -0.165  0.215 0.092  0.201 0.349  0.187 0.605  0.172 0.862  0.042 0.996  0.277 0.996  0.534 0.996  0.791 0.996  0.987 1.115  1.194 0.996  1.308 0.958  1.085 0.830  0.861 0.702  0.638 0.575  0.415 0.447  0.191 0.320  -0.032 0.192  -0.255 0.064  -0.479 -0.063  -0.282 -0.079  -0.025 -0.079  0.232 -0.079  0.434 -0.214
1b#app#app25#app2585/R  0.344 1.510  0.201 1.324  0.200 1.080  0.058 0.894  0.056 0.650  -0.117 0.477  -0.228 0.278  -0.313 0.054  -0.371 -0.177  -0.513 -0.363  -0.596 -0.573  -0.668 -0.788  -0.799 -0.978  -0.799 -1.223  -0.919 -1.348  -0.910 -1.134  -0.811 -0.910  -0.712 -0.686  -0.612 -0.463  -0.513 -0.239  -0.413 -0.016  -0.314 0.208  -0.215 0.432  -0.115 0.655  -0.016 0.879  0.083 1.102  0.183 1.326  0.401 1.367  0.641 1.355  0.814 1.182  0.915 0.980  0.915 0.735  0.902 0.496  0.773 0.305  0.630 0.203  0.507 0.081  0.263 0.081  0.018 0.081  -0.227 0.081  -0.299 0.009  -0.085 -0.063  -0.013 -0.277  0.060 -0.491  0.201 -0.595  0.264 -0.777  0.344 -0.941  0.344 -1.186  0.344 -1.430  0.487 -1.532  0.630 -1.634
