3#app#app31#app3175/P  -0.342 0.315  -0.215 0.419  -0.134 0.569  -0.238 0.758  -0.134 0.723  -0.121 0.495  -0.031 0.285  -0.031 0.054  -0.031 -0.177  -0.031 -0.408  -0.031 -0.639  -0.031 -0.870  -0.077 -1.082  -0.134 -1.289  -0.134 -1.520  -0.134 -1.751  -0.033 -1.854  -0.071 -1.626  -0.109 -1.398  -0.147 -1.170  -0.185 -0.942  -0.223 -0.714  -0.261 -0.486  -0.299 -0.258  -0.337 -0.030  -0.481 0.143  -0.550 0.345  -0.550 0.576  -0.550 0.807  -0.406 0.979  -0.242 1.142  -0.079 1.305  0.115 1.395  0.320 1.458  0.552 1.458  0.783 1.458  0.878 1.276  0.904 1.056  0.904 0.825  0.808 0.634  0.793 0.408  0.665 0.216  0.521 0.036  0.368 -0.134  0.255 -0.334  0.069 -0.466  -0.146 -0.527  -0.338 -0.620  -0.533 -0.532  -0.550 -0.308
3#app#app31#app3175/e  -1.033 0.195  -0.874 0.195  -0.716 0.195  -0.557 0.195  -0.443 0.239  -0.437 0.392  -0.279 0.392  -0.120 0.392  0.038 0.392  0.197 0.392  0.355 0.392  0.514 0.392  0.633 0.485  0.749 0.589  0.908 0.589  1.027 0.682  1.130 0.798  1.130 0.957  0.997 0.982  0.839 0.982  0.680 0.982  0.522 0.982  0.363 0.982  0.205 0.982  0.076 0.911  -0.036 0.799  -0.148 0.687  -0.246 0.569  -0.246 0.411  -0.345 0.293  -0.457 0.181  -0.569 0.069  -0.640 -0.060  -0.640 -0.219  -0.640 -0.377  -0.640 -0.536  -0.640 -0.694  -0.640 -0.853  -0.613 -0.984  -0.454 -0.984  -0.443 -1.131  -0.334 -1.181  -0.176 -1.181  -0.050 -1.214  -0.050 -1.372  0.103 -1.378  0.262 -1.378  0.420 -1.378  0.579 -1.378  0.737 -1.378
3#app#app31#app3175/r  0.119 0.749  0.119 0.602  0.090 0.483  -0.058 0.483  -0.146 0.424  -0.146 0.276  -0.146 0.128  -0.146 -0.020  -0.266 -0.048  -0.412 -0.049  -0.412 -0.197  -0.412 -0.345  -0.412 -0.493  -0.412 -0.641  -0.412 -0.789  -0.412 -0.937  -0.412 -1.085  -0.412 -1.233  -0.412 -1.380  -0.412 -1.528  -0.412 -1.613  -0.412 -1.465  -0.412 -1.317  -0.412 -1.169  -0.348 -1.048  -0.243 -0.943  -0.146 -0.836  -0.146 -0.688  -0.146 -0.540  -0.146 -0.392  -0.146 -0.244  -0.146 -0.096  -0.146 0.052  -0.146 0.200  -0.055 0.309  0.050 0.414  0.119 0.533  0.119 0.681  0.176 0.806  0.280 0.910  0.385 1.015  0.385 1.162  0.414 1.281  0.562 1.281  0.710 1.281  0.858 1.281  1.006 1.281  1.154 1.281  1.183 1.163  1.183 1.015
3#app#app31#app3175/h  -0.093 2.082  -0.093 1.973  -0.093 1.865  -0.093 1.756  -0.093 1.647  -0.093 1.538  -0.093 1.430  -0.093 1.321  -0.093 1.212  -0.093 1.104  -0.093 0.995  -0.093 0.886  -0.093 0.777  -0.093 0.669  -0.093 0.560  -0.093 0.451  -0.123 0.350  -0.172 0.252  -0.192 0.148  -0.192 0.040  -0.192 -0.069  -0.192 -0.178  -0.192 -0.286  -0.192 -0.395  -0.192 -0.504  -0.192 -0.612  -0.192 -0.721  -0.192 -0.830  -0.192 -0.939  -0.192 -1.047  -0.192 -1.156  -0.191 -1.067  -0.093 -1.056  -0.093 -0.947  -0.079 -0.842  -0.031 -0.745  0.034 -0.673  0.103 -0.634  0.103 -0.525  0.146 -0.434  0.231 -0.378  0.328 -0.406  0.399 -0.486  0.399 -0.595  0.399 -0.703  0.399 -0.812  0.434 -0.906  0.511 -0.983  0.588 -1.060  0.694 -1.067
3#app#app31#app3175/a  0.736 0.624  0.736 0.805  0.665 0.915  0.484 0.915  0.303 0.915  0.122 0.915  -0.059 0.915  -0.240 0.915  -0.421 0.915  -0.427 0.741  -0.492 0.624  -0.673 0.624  -0.718 0.489  -0.736 0.315  -0.864 0.187  -0.992 0.059  -1.120 -0.069  -1.248 -0.197  -1.300 -0.356  -1.300 -0.537  -1.300 -0.718  -1.231 -0.830  -1.050 -0.830  -0.869 -0.830  -0.688 -0.830  -0.507 -0.830  -0.356 -0.759  -0.228 -0.631  -0.100 -0.503  0.028 -0.375  0.154 -0.246  0.154 -0.065  0.206 0.094  0.334 0.222  0.445 0.357  0.445 0.538  0.540 0.624  0.721 0.624  0.736 0.458  0.736 0.277  0.736 0.096  0.736 -0.085  0.736 -0.266  0.736 -0.447  0.825 -0.540  1.006 -0.540  1.027 -0.699  1.062 -0.865  1.190 -0.993  1.318 -1.121
3#app#app31#app3175/p  0.137 0.854  0.137 0.703  0.137 0.553  0.137 0.403  0.137 0.252  0.116 0.105  0.069 -0.038  0.039 -0.183  0.039 -0.334  0.039 -0.484  0.039 -0.634  0.008 -0.778  -0.059 -0.912  -0.059 -1.062  -0.062 -1.212  -0.129 -1.347  -0.158 -1.490  -0.186 -1.629  -0.256 -1.646  -0.354 -1.594  -0.354 -1.444  -0.354 -1.293  -0.354 -1.143  -0.354 -0.992  -0.354 -0.842  -0.354 -0.692  -0.329 -0.545  -0.282 -0.402  -0.256 -0.256  -0.256 -0.106  -0.256 0.045  -0.247 0.193  -0.199 0.336  -0.149 0.478  -0.082 0.612  -0.028 0.752  0.020 0.895  0.039 1.042  0.103 1.178  0.137 1.320  0.226 1.434  0.332 1.540  0.467 1.505  0.530 1.380  0.530 1.230  0.530 1.080  0.513 0.936  0.431 0.819  0.345 0.756  0.235 0.657
3#app#app31#app3175/s  0.834 1.117  0.727 1.117  0.629 1.137  0.553 1.213  0.478 1.288  0.376 1.302  0.269 1.302  0.163 1.302  0.056 1.302  -0.051 1.302  -0.091 1.235  -0.091 1.128  -0.159 1.049  -0.234 0.973  -0.276 0.884  -0.276 0.777  -0.330 0.692  -0.406 0.617  -0.461 0.533  -0.461 0.426  -0.461 0.319  -0.461 0.212  -0.422 0.115  -0.374 0.019  -0.327 -0.077  -0.279 -0.172  -0.205 -0.249  -0.130 -0.325  -0.054 -0.400  0.022 -0.476  0.094 -0.553  0.094 -0.659  0.127 -0.733  0.234 -0.733  0.279 -0.795  0.279 -0.902  0.370 -0.918  0.464 -0.931  0.464 -1.037  0.423 -1.103  0.316 -1.103  0.209 -1.103  0.102 -1.103  -0.005 -1.103  -0.112 -1.103  -0.218 -1.103  -0.325 -1.103  -0.432 -1.103  -0.461 -1.181  -0.461 -1.288
3#app#app31#app3175/t  -0.304 1.169  -0.192 1.281  -0.079 1.394  0.034 1.507  0.082 1.646  0.204 1.684  0.211 1.532  0.211 1.373  0.211 1.214  0.211 1.054  0.211 0.895  0.211 0.735  0.211 0.576  0.211 0.417  0.178 0.261  0.139 0.107  0.100 -0.048  0.082 -0.205  0.082 -0.364  0.082 -0.524  0.082 -0.683  0.082 -0.843  0.082 -1.002  0.082 -1.161  0.082 -1.321  0.133 -1.459  0.175 -1.506  0.054 -1.403  -0.067 -1.299  -0.189 -1.195  -0.310 -1.091  -0.431 -0.988  -0.552 -0.884  -0.673 -0.780  -0.820 -0.758  -0.820 -0.599  -0.772 -0.459  -0.659 -0.346  -0.547 -0.234  -0.434 -0.121  -0.292 -0.049  -0.146 0.009  -0.004 0.051  0.116 0.154  0.258 0.225  0.401 0.297  0.543 0.368  0.696 0.395  0.842 0.453  0.985 0.524
3#app#app31#app3175/h  -0.199 1.964  -0.090 1.954  -0.090 1.835  -0.090 1.716  -0.119 1.608  -0.199 1.522  -0.199 1.403  -0.199 1.284  -0.199 1.165  -0.199 1.046  -0.224 0.932  -0.278 0.826  -0.308 0.714  -0.308 0.595  -0.308 0.475  -0.308 0.356  -0.308 0.237  -0.308 0.118  -0.308 -0.001  -0.308 -0.120  -0.308 -0.240  -0.308 -0.359  -0.308 -0.478  -0.308 -0.597  -0.308 -0.716  -0.308 -0.836  -0.308 -0.955  -0.308 -1.074  -0.308 -1.193  -0.195 -1.199  -0.090 -1.184  -0.073 -1.072  0.012 -0.988  0.096 -0.903  0.128 -0.797  0.187 -0.703  0.272 -0.619  0.346 -0.530  0.346 -0.411  0.370 -0.302  0.454 -0.218  0.464 -0.108  0.564 -0.127  0.564 -0.247  0.564 -0.366  0.564 -0.485  0.606 -0.587  0.673 -0.678  0.698 -0.787  0.782 -0.871
3#app#app31#app3175/e  -0.765 -0.082  -0.765 -0.244  -0.765 -0.104  -0.765 0.058  -0.637 0.092  -0.487 0.144  -0.342 0.217  -0.207 0.303  -0.092 0.418  0.061 0.439  0.188 0.525  0.303 0.639  0.418 0.754  0.567 0.787  0.624 0.892  0.624 1.054  0.542 1.134  0.379 1.134  0.235 1.092  0.120 0.977  -0.036 0.960  -0.198 0.960  -0.326 0.878  -0.441 0.764  -0.556 0.649  -0.671 0.534  -0.765 0.411  -0.765 0.249  -0.765 0.086  -0.765 -0.076  -0.765 -0.238  -0.765 -0.400  -0.765 -0.563  -0.679 -0.689  -0.564 -0.804  -0.449 -0.919  -0.300 -0.950  -0.138 -0.950  0.025 -0.950  0.187 -0.950  0.349 -0.950  0.512 -0.950  0.674 -0.950  0.825 -0.923  0.940 -0.808  1.089 -0.776  1.251 -0.776  1.413 -0.776  1.551 -0.718  1.666 -0.603
3#app#app31#app3175/g  0.341 0.966  0.244 1.062  0.112 1.071  -0.024 1.071  -0.160 1.071  -0.294 1.065  -0.390 0.969  -0.517 0.946  -0.613 0.850  -0.707 0.753  -0.742 0.652  -0.811 0.586  -0.811 0.449  -0.787 0.338  -0.651 0.338  -0.515 0.338  -0.379 0.338  -0.243 0.338  -0.107 0.338  0.029 0.339  0.151 0.400  0.272 0.461  0.394 0.522  0.524 0.547  0.655 0.553  0.692 0.652  0.759 0.584  0.759 0.448  0.733 0.338  0.637 0.283  0.594 0.154  0.550 0.025  0.537 -0.108  0.476 -0.229  0.397 -0.338  0.316 -0.445  0.255 -0.567  0.236 -0.698  0.222 -0.828  0.125 -0.924  0.029 -1.021  0.026 -1.156  -0.015 -1.274  -0.078 -1.384  -0.134 -1.497  -0.230 -1.594  -0.326 -1.690  -0.434 -1.756  -0.497 -1.683  -0.602 -1.652
