3#apa#apa10#app1033/B  -0.236 1.313  -0.236 1.061  -0.236 0.809  -0.236 0.557  -0.236 0.306  -0.236 0.054  -0.236 -0.198  -0.236 -0.450  -0.162 -0.690  -0.099 -0.931  -0.137 -0.855  -0.194 -0.610  -0.252 -0.365  -0.310 -0.120  -0.367 0.125  -0.425 0.370  -0.483 0.615  -0.540 0.861  -0.598 1.106  -0.608 1.313  -0.356 1.313  -0.104 1.313  0.148 1.313  0.399 1.313  0.590 1.169  0.703 0.944  0.659 0.707  0.565 0.483  0.326 0.404  0.085 0.331  -0.159 0.270  -0.395 0.194  -0.422 0.058  -0.178 -0.003  0.065 -0.068  0.299 -0.162  0.533 -0.255  0.767 -0.346  1.006 -0.426  1.135 -0.585  1.060 -0.799  0.858 -0.950  0.657 -1.101  0.427 -1.194  0.183 -1.255  -0.062 -1.311  -0.309 -1.360  -0.556 -1.410  -0.806 -1.428  -1.058 -1.428
3#apa#apa10#app1033/r  -0.397 0.393  -0.263 0.393  -0.128 0.393  -0.022 0.324  0.074 0.229  0.169 0.133  0.217 0.018  0.217 -0.117  0.207 -0.250  0.164 -0.378  0.122 -0.506  0.079 -0.634  0.036 -0.762  -0.006 -0.889  -0.049 -1.017  -0.093 -1.144  -0.188 -1.240  -0.283 -1.335  -0.379 -1.431  -0.474 -1.372  -0.570 -1.277  -0.665 -1.182  -0.680 -1.067  -0.637 -0.939  -0.594 -0.812  -0.552 -0.684  -0.509 -0.556  -0.466 -0.428  -0.424 -0.300  -0.397 -0.169  -0.397 -0.034  -0.397 0.100  -0.397 0.235  -0.397 0.370  -0.318 0.472  -0.223 0.567  -0.128 0.663  -0.032 0.758  0.063 0.854  0.158 0.949  0.267 1.020  0.398 1.053  0.529 1.085  0.660 1.118  0.791 1.151  0.921 1.183  1.052 1.216  1.183 1.249  1.314 1.281  1.445 1.314
3#apa#apa10#app1033/o  0.120 0.254  0.010 0.364  -0.100 0.474  -0.212 0.579  -0.367 0.579  -0.523 0.579  -0.678 0.579  -0.834 0.579  -0.950 0.483  -1.060 0.373  -1.170 0.263  -1.178 0.111  -1.178 -0.044  -1.121 -0.186  -1.051 -0.325  -0.982 -0.464  -0.912 -0.603  -0.830 -0.728  -0.682 -0.777  -0.535 -0.826  -0.387 -0.875  -0.240 -0.924  -0.092 -0.974  0.055 -1.023  0.182 -0.983  0.292 -0.873  0.402 -0.763  0.539 -0.720  0.695 -0.720  0.850 -0.720  1.006 -0.720  1.094 -0.652  1.094 -0.497  1.094 -0.341  1.094 -0.186  1.094 -0.030  1.094 0.125  1.076 0.273  0.966 0.383  0.856 0.493  0.746 0.603  0.636 0.713  0.526 0.823  0.404 0.904  0.248 0.904  0.093 0.904  -0.063 0.904  -0.218 0.904  -0.374 0.904  -0.529 0.904
3#apa#apa10#app1033/k  -0.410 1.760  -0.410 1.897  -0.410 1.901  -0.410 1.763  -0.410 1.626  -0.410 1.489  -0.410 1.352  -0.410 1.215  -0.410 1.077  -0.410 0.940  -0.410 0.803  -0.410 0.666  -0.410 0.529  -0.410 0.392  -0.410 0.254  -0.410 0.117  -0.410 -0.020  -0.410 -0.157  -0.410 -0.294  -0.410 -0.432  -0.410 -0.569  -0.410 -0.706  -0.410 -0.843  -0.393 -0.905  -0.331 -0.782  -0.270 -0.660  -0.208 -0.537  -0.092 -0.470  0.031 -0.408  0.154 -0.347  0.263 -0.267  0.360 -0.170  0.472 -0.110  0.610 -0.110  0.747 -0.110  0.884 -0.110  1.021 -0.110  0.962 -0.191  0.865 -0.288  0.768 -0.385  0.671 -0.482  0.560 -0.559  0.437 -0.621  0.315 -0.682  0.213 -0.756  0.213 -0.893  0.213 -1.030  0.226 -1.162  0.323 -1.259  0.420 -1.356
3#apa#apa10#app1033/e  -0.436 -0.084  -0.554 0.034  -0.673 0.152  -0.681 0.161  -0.563 0.043  -0.445 -0.075  -0.281 -0.084  -0.114 -0.084  0.053 -0.084  0.220 -0.084  0.387 -0.084  0.554 -0.084  0.721 -0.084  0.888 -0.084  1.055 -0.084  1.062 0.076  1.062 0.243  1.062 0.410  1.062 0.577  1.062 0.744  0.993 0.883  0.875 1.001  0.755 1.114  0.588 1.114  0.421 1.114  0.254 1.114  0.100 1.072  -0.039 0.980  -0.178 0.887  -0.317 0.794  -0.456 0.702  -0.595 0.609  -0.734 0.516  -0.736 0.350  -0.736 0.183  -0.736 0.016  -0.736 -0.151  -0.736 -0.318  -0.736 -0.485  -0.736 -0.652  -0.736 -0.819  -0.733 -0.984  -0.583 -1.059  -0.434 -1.134  -0.285 -1.209  -0.135 -1.283  0.014 -1.358  0.164 -1.433  0.313 -1.507  0.463 -1.582
3#apa#apa10#app1033/n  -0.634 0.435  -0.634 0.311  -0.634 0.187  -0.643 0.067  -0.730 -0.020  -0.818 -0.108  -0.905 -0.195  -0.992 -0.282  -0.993 -0.406  -0.993 -0.530  -0.993 -0.653  -0.993 -0.777  -0.993 -0.900  -0.993 -0.976  -0.993 -0.852  -0.993 -0.728  -0.967 -0.615  -0.879 -0.528  -0.792 -0.441  -0.705 -0.353  -0.617 -0.266  -0.530 -0.178  -0.442 -0.091  -0.355 -0.003  -0.267 0.084  -0.180 0.171  -0.093 0.259  -0.005 0.346  0.082 0.434  0.193 0.489  0.303 0.545  0.414 0.600  0.524 0.655  0.635 0.710  0.745 0.766  0.863 0.793  0.986 0.793  1.110 0.793  1.159 0.719  1.159 0.595  1.159 0.471  1.159 0.348  1.159 0.224  1.159 0.101  1.159 -0.023  1.159 -0.147  1.159 -0.270  1.159 -0.394  1.159 -0.518  1.159 -0.641
3#apa#apa10#app1033/M  -1.076 0.435  -0.896 0.435  -0.819 0.330  -0.819 0.150  -0.819 -0.031  -0.851 -0.208  -0.895 -0.383  -0.939 -0.559  -0.948 -0.738  -0.948 -0.919  -1.001 -1.087  -1.073 -1.227  -1.016 -1.056  -0.958 -0.884  -0.901 -0.713  -0.844 -0.541  -0.781 -0.372  -0.714 -0.204  -0.647 -0.036  -0.580 0.132  -0.489 0.287  -0.388 0.437  -0.280 0.579  -0.130 0.680  0.021 0.780  0.158 0.744  0.210 0.585  0.210 0.405  0.210 0.224  0.210 0.043  0.210 -0.137  0.210 -0.318  0.234 -0.443  0.357 -0.311  0.457 -0.161  0.557 -0.011  0.662 0.136  0.771 0.281  0.879 0.426  0.989 0.569  1.116 0.697  1.246 0.821  1.368 0.762  1.368 0.582  1.358 0.403  1.301 0.231  1.243 0.060  1.199 -0.116  1.155 -0.291  1.111 -0.466
3#apa#apa10#app1033/o  0.773 0.228  0.618 0.305  0.464 0.383  0.309 0.460  0.155 0.537  0.120 0.688  0.120 0.861  -0.033 0.880  -0.206 0.880  -0.328 0.759  -0.450 0.636  -0.572 0.514  -0.694 0.392  -0.816 0.270  -0.909 0.127  -0.986 -0.028  -1.063 -0.182  -1.141 -0.337  -1.184 -0.499  -1.184 -0.672  -1.100 -0.792  -0.946 -0.870  -0.791 -0.947  -0.637 -1.024  -0.477 -1.077  -0.304 -1.077  -0.131 -1.077  0.041 -1.077  0.214 -1.077  0.387 -1.077  0.526 -0.997  0.648 -0.875  0.771 -0.753  0.893 -0.631  1.015 -0.508  1.082 -0.373  1.027 -0.210  0.973 -0.046  0.918 0.118  0.863 0.282  0.809 0.446  0.731 0.596  0.609 0.718  0.487 0.840  0.331 0.880  0.159 0.880  -0.014 0.880  -0.187 0.880  -0.359 0.880  -0.532 0.880
3#apa#apa10#app1033/o  0.091 0.516  -0.046 0.516  -0.184 0.516  -0.322 0.516  -0.459 0.516  -0.570 0.451  -0.667 0.354  -0.765 0.257  -0.829 0.139  -0.873 0.009  -0.917 -0.122  -0.960 -0.253  -1.004 -0.383  -1.047 -0.514  -1.091 -0.644  -1.028 -0.750  -0.930 -0.847  -0.833 -0.944  -0.708 -0.974  -0.570 -0.974  -0.432 -0.974  -0.295 -0.974  -0.157 -0.974  -0.019 -0.974  0.115 -0.962  0.239 -0.900  0.362 -0.839  0.485 -0.777  0.608 -0.716  0.703 -0.630  0.746 -0.499  0.790 -0.369  0.833 -0.238  0.877 -0.107  0.920 0.023  0.964 0.154  0.954 0.281  0.893 0.404  0.831 0.527  0.770 0.650  0.708 0.773  0.687 0.906  0.687 1.043  0.619 1.113  0.481 1.113  0.344 1.113  0.206 1.113  0.068 1.113  -0.069 1.113  -0.207 1.113
3#apa#apa10#app1033/n  -0.408 -0.009  -0.503 0.086  -0.598 0.182  -0.694 0.277  -0.789 0.231  -0.884 0.136  -0.979 0.041  -1.028 -0.073  -1.028 -0.208  -1.028 -0.343  -1.028 -0.477  -1.028 -0.612  -1.028 -0.746  -1.028 -0.881  -0.952 -0.939  -0.817 -0.939  -0.718 -0.903  -0.718 -0.769  -0.718 -0.634  -0.718 -0.500  -0.718 -0.365  -0.645 -0.270  -0.533 -0.195  -0.421 -0.121  -0.309 -0.046  -0.197 0.029  -0.085 0.103  0.027 0.178  0.139 0.253  0.245 0.334  0.340 0.429  0.435 0.525  0.530 0.620  0.625 0.715  0.721 0.810  0.816 0.905  0.943 0.922  1.078 0.922  1.142 0.851  1.142 0.717  1.142 0.582  1.142 0.448  1.142 0.313  1.142 0.178  1.142 0.044  1.142 -0.091  1.142 -0.225  1.142 -0.360  1.142 -0.494  1.142 -0.629
3#apa#apa10#app1033/s  -1.299 0.041  -1.419 0.041  -1.509 0.012  -1.509 -0.108  -1.509 -0.228  -1.509 -0.348  -1.421 -0.379  -1.301 -0.379  -1.215 -0.296  -1.131 -0.211  -1.035 -0.142  -0.927 -0.088  -0.820 -0.035  -0.713 0.019  -0.606 0.072  -0.499 0.126  -0.391 0.180  -0.284 0.233  -0.177 0.287  -0.070 0.341  0.038 0.394  0.145 0.448  0.257 0.490  0.371 0.528  0.484 0.566  0.598 0.603  0.712 0.641  0.827 0.672  0.947 0.672  1.051 0.634  1.136 0.550  1.220 0.465  1.224 0.346  1.224 0.226  1.224 0.107  1.185 0.003  1.100 -0.082  1.016 -0.167  0.931 -0.252  0.846 -0.336  0.761 -0.421  0.676 -0.506  0.591 -0.589  0.471 -0.589  0.351 -0.589  0.232 -0.589  0.112 -0.589  -0.008 -0.589  -0.128 -0.589  -0.248 -0.589
