3#apa#apa00#app0099/A  0.080 1.476  0.007 1.387  -0.053 1.135  -0.139 0.890  -0.200 0.634  -0.284 0.382  -0.368 0.131  -0.452 -0.121  -0.536 -0.373  -0.578 -0.632  -0.651 -0.886  -0.714 -1.136  -0.797 -1.382  -0.718 -1.279  -0.652 -1.022  -0.586 -0.765  -0.520 -0.508  -0.454 -0.250  -0.388 0.007  -0.322 0.264  -0.256 0.521  -0.190 0.779  -0.124 1.036  -0.058 1.293  0.007 1.550  0.171 1.695  0.373 1.546  0.373 1.280  0.416 1.025  0.446 0.766  0.446 0.501  0.515 0.246  0.566 -0.007  0.592 -0.267  0.665 -0.515  0.753 -0.761  0.847 -1.009  0.958 -1.192  0.824 -1.222  0.596 -1.085  0.368 -0.948  0.141 -0.812  -0.087 -0.675  -0.315 -0.539  -0.460 -0.425  -0.341 -0.279  -0.109 -0.190  0.143 -0.132  0.401 -0.071  0.665 -0.059
3#apa#apa00#app0099/s  0.664 1.266  0.548 1.266  0.431 1.266  0.314 1.266  0.198 1.266  0.092 1.220  -0.013 1.168  -0.124 1.145  -0.234 1.118  -0.339 1.066  -0.438 1.007  -0.521 0.924  -0.629 0.904  -0.662 0.820  -0.662 0.703  -0.662 0.586  -0.662 0.470  -0.593 0.422  -0.495 0.376  -0.409 0.301  -0.295 0.296  -0.212 0.214  -0.130 0.131  -0.042 0.060  0.074 0.060  0.188 0.054  0.271 -0.029  0.367 -0.092  0.471 -0.145  0.569 -0.206  0.652 -0.289  0.664 -0.400  0.664 -0.517  0.664 -0.633  0.664 -0.750  0.664 -0.867  0.608 -0.960  0.526 -1.043  0.443 -1.125  0.335 -1.145  0.218 -1.145  0.102 -1.145  -0.015 -1.145  -0.132 -1.145  -0.249 -1.145  -0.365 -1.145  -0.482 -1.145  -0.582 -1.105  -0.666 -1.025  -0.782 -1.025
3#apa#apa00#app0099/m  -1.104 1.122  -1.104 0.898  -1.104 0.673  -1.104 0.449  -1.104 0.225  -1.104 0.000  -1.104 -0.224  -1.104 -0.448  -0.999 -0.629  -0.942 -0.830  -0.894 -0.932  -0.894 -0.708  -0.815 -0.562  -0.789 -0.364  -0.741 -0.151  -0.616 0.032  -0.578 0.240  -0.447 0.411  -0.289 0.569  -0.119 0.701  0.000 0.806  0.225 0.806  0.185 0.701  0.159 0.502  0.054 0.383  0.054 0.159  0.033 -0.057  -0.052 -0.246  -0.052 -0.471  -0.052 -0.695  0.052 -0.876  0.159 -0.972  0.251 -0.786  0.264 -0.566  0.345 -0.376  0.429 -0.186  0.492 0.017  0.563 0.229  0.701 0.401  0.860 0.560  1.001 0.664  1.188 0.701  1.317 0.606  1.317 0.381  1.304 0.162  1.212 -0.024  1.212 -0.248  1.212 -0.473  1.212 -0.697  1.317 -0.878
3#apa#apa00#app0099/a  -0.764 0.905  -0.764 1.034  -0.764 1.163  -0.752 1.280  -0.623 1.280  -0.494 1.280  -0.365 1.280  -0.236 1.280  -0.107 1.280  0.022 1.280  0.151 1.280  0.236 1.236  0.270 1.121  0.361 1.030  0.361 0.901  0.361 0.772  0.361 0.644  0.350 0.519  0.259 0.428  0.236 0.309  0.165 0.209  0.111 0.102  0.111 -0.026  0.051 -0.095  -0.014 -0.159  -0.062 -0.268  -0.148 -0.363  -0.206 -0.479  -0.263 -0.594  -0.267 -0.720  -0.389 -0.727  -0.389 -0.856  -0.389 -0.985  -0.389 -1.113  -0.366 -1.220  -0.245 -1.238  -0.154 -1.330  -0.031 -1.345  0.065 -1.265  0.175 -1.220  0.284 -1.172  0.375 -1.080  0.467 -0.989  0.486 -0.868  0.486 -0.739  0.486 -0.611  0.486 -0.482  0.486 -0.353  0.486 -0.224  0.486 -0.095
3#apa#apa00#app0099/l  -0.004 1.765  -0.004 1.688  -0.004 1.611  -0.004 1.534  -0.019 1.463  -0.073 1.409  -0.100 1.342  -0.100 1.265  -0.100 1.188  -0.100 1.112  -0.100 1.035  -0.100 0.958  -0.100 0.881  -0.100 0.804  -0.100 0.727  -0.100 0.650  -0.100 0.573  -0.100 0.496  -0.100 0.419  -0.100 0.342  -0.100 0.265  -0.100 0.188  -0.100 0.111  -0.100 0.034  -0.100 -0.043  -0.100 -0.120  -0.100 -0.197  -0.085 -0.271  -0.051 -0.340  -0.016 -0.408  -0.004 -0.483  -0.004 -0.560  -0.004 -0.637  -0.004 -0.714  -0.004 -0.791  0.033 -0.852  0.088 -0.907  0.092 -0.982  0.092 -1.059  0.092 -1.136  0.092 -1.213  0.092 -1.290  0.018 -1.293  0.051 -1.293  0.118 -1.267  0.172 -1.212  0.243 -1.197  0.320 -1.197  0.397 -1.197  0.474 -1.197
3#apa#apa00#app0099/l  -0.026 1.803  -0.026 1.723  -0.026 1.642  -0.026 1.562  -0.067 1.499  -0.114 1.437  -0.114 1.357  -0.114 1.276  -0.114 1.196  -0.114 1.115  -0.114 1.035  -0.114 0.954  -0.114 0.874  -0.114 0.793  -0.114 0.713  -0.114 0.632  -0.114 0.552  -0.114 0.471  -0.114 0.391  -0.114 0.310  -0.114 0.230  -0.114 0.149  -0.114 0.069  -0.114 -0.012  -0.114 -0.092  -0.114 -0.173  -0.098 -0.250  -0.062 -0.322  -0.026 -0.394  -0.026 -0.474  -0.026 -0.555  -0.026 -0.635  -0.026 -0.716  -0.026 -0.796  -0.026 -0.877  -0.026 -0.957  -0.026 -1.038  -0.026 -1.118  -0.026 -1.199  -0.019 -1.272  0.062 -1.272  0.062 -1.192  0.135 -1.184  0.196 -1.138  0.259 -1.096  0.336 -1.086  0.393 -1.029  0.464 -1.008  0.532 -0.978  0.589 -0.921
3#apa#apa00#app0099/,  0.290 1.695  0.290 1.621  0.290 1.547  0.290 1.473  0.290 1.399  0.290 1.325  0.290 1.251  0.290 1.177  0.290 1.102  0.290 1.028  0.290 0.954  0.290 0.880  0.290 0.806  0.290 0.732  0.290 0.658  0.290 0.584  0.290 0.510  0.290 0.436  0.290 0.362  0.278 0.292  0.226 0.240  0.173 0.188  0.121 0.135  0.068 0.083  0.016 0.030  -0.036 -0.022  -0.089 -0.074  -0.141 -0.127  -0.174 -0.187  -0.174 -0.261  -0.174 -0.335  -0.174 -0.409  -0.174 -0.484  -0.174 -0.558  -0.174 -0.632  -0.174 -0.706  -0.174 -0.780  -0.174 -0.854  -0.174 -0.928  -0.174 -1.002  -0.174 -1.076  -0.219 -1.132  -0.271 -1.184  -0.324 -1.237  -0.376 -1.289  -0.428 -1.341  -0.481 -1.394  -0.533 -1.446  -0.585 -1.498  -0.638 -1.551
3#apa#apa00#app0099/g  0.136 0.921  0.136 1.068  0.077 1.191  -0.037 1.273  -0.180 1.256  -0.315 1.203  -0.382 1.108  -0.465 0.988  -0.500 0.849  -0.591 0.735  -0.639 0.599  -0.639 0.451  -0.616 0.310  -0.569 0.173  -0.484 0.061  -0.360 0.004  -0.213 0.004  -0.139 0.082  -0.034 0.186  0.042 0.310  0.066 0.452  0.088 0.591  0.136 0.718  0.197 0.841  0.207 0.984  0.277 0.921  0.279 0.774  0.326 0.634  0.348 0.490  0.348 0.342  0.348 0.195  0.360 0.050  0.418 -0.084  0.418 -0.231  0.418 -0.379  0.418 -0.526  0.418 -0.674  0.418 -0.821  0.418 -0.969  0.376 -1.109  0.348 -1.252  0.348 -1.400  0.247 -1.506  0.187 -1.617  0.040 -1.617  -0.108 -1.617  -0.255 -1.617  -0.374 -1.547  -0.444 -1.460  -0.498 -1.335
3#apa#apa00#app0099/r  -0.305 1.564  -0.305 1.425  -0.305 1.287  -0.334 1.160  -0.430 1.062  -0.430 0.924  -0.430 0.785  -0.430 0.647  -0.430 0.509  -0.430 0.370  -0.430 0.232  -0.430 0.094  -0.430 -0.045  -0.376 -0.170  -0.314 -0.294  -0.305 -0.430  -0.303 -0.568  -0.259 -0.700  -0.215 -0.831  -0.180 -0.963  -0.180 -1.102  -0.180 -1.240  -0.180 -1.379  -0.180 -1.517  -0.223 -1.476  -0.285 -1.352  -0.305 -1.219  -0.305 -1.080  -0.305 -0.942  -0.300 -0.806  -0.202 -0.708  -0.180 -0.579  -0.180 -0.440  -0.086 -0.341  -0.055 -0.215  0.022 -0.109  0.101 0.002  0.163 0.126  0.243 0.237  0.340 0.335  0.438 0.433  0.536 0.531  0.651 0.605  0.775 0.667  0.882 0.751  0.980 0.849  1.081 0.939  1.219 0.939  1.347 0.966  1.444 1.064
3#apa#apa00#app0099/e  -0.088 0.117  0.034 0.117  0.051 0.223  0.141 0.256  0.263 0.256  0.369 0.297  0.456 0.383  0.543 0.470  0.639 0.535  0.757 0.545  0.843 0.632  0.885 0.737  0.885 0.860  0.864 0.973  0.777 1.060  0.667 1.091  0.544 1.091  0.422 1.091  0.299 1.091  0.180 1.081  0.094 0.995  0.007 0.908  -0.080 0.821  -0.166 0.734  -0.253 0.648  -0.340 0.561  -0.366 0.449  -0.415 0.347  -0.502 0.260  -0.558 0.151  -0.613 0.042  -0.645 -0.073  -0.645 -0.196  -0.645 -0.319  -0.645 -0.441  -0.645 -0.564  -0.645 -0.687  -0.580 -0.782  -0.506 -0.874  -0.504 -0.996  -0.418 -1.083  -0.366 -1.185  -0.343 -1.297  -0.256 -1.384  -0.145 -1.413  -0.023 -1.413  0.051 -1.462  0.084 -1.552  0.206 -1.552  0.329 -1.552
3#apa#apa00#app0099/e  -0.253 -0.350  -0.132 -0.332  -0.132 -0.193  -0.079 -0.107  0.039 -0.057  0.138 0.041  0.232 0.141  0.255 0.257  0.382 0.285  0.480 0.384  0.579 0.482  0.710 0.500  0.811 0.593  0.839 0.720  0.956 0.743  0.961 0.876  0.940 1.007  0.841 1.105  0.703 1.107  0.564 1.107  0.425 1.107  0.286 1.107  0.232 1.022  0.130 0.985  0.026 0.900  -0.072 0.802  -0.171 0.704  -0.253 0.599  -0.281 0.472  -0.380 0.373  -0.478 0.275  -0.576 0.177  -0.654 0.063  -0.716 -0.061  -0.739 -0.194  -0.739 -0.333  -0.739 -0.472  -0.739 -0.611  -0.739 -0.750  -0.701 -0.874  -0.617 -0.978  -0.590 -1.106  -0.492 -1.204  -0.393 -1.302  -0.295 -1.401  -0.174 -1.442  -0.045 -1.486  0.080 -1.548  0.215 -1.564  0.354 -1.564
