3#app#app41#app4127/h  -0.814 1.506  -0.814 1.663  -0.716 1.722  -0.598 1.683  -0.598 1.526  -0.598 1.369  -0.598 1.211  -0.598 1.054  -0.598 0.897  -0.598 0.740  -0.598 0.583  -0.598 0.426  -0.598 0.269  -0.598 0.112  -0.570 -0.033  -0.458 -0.144  -0.382 -0.270  -0.382 -0.427  -0.382 -0.584  -0.382 -0.741  -0.352 -0.868  -0.195 -0.868  -0.167 -0.996  -0.167 -1.153  -0.159 -1.292  -0.048 -1.181  0.049 -1.064  0.049 -0.907  0.049 -0.750  0.091 -0.610  0.202 -0.499  0.265 -0.368  0.265 -0.211  0.265 -0.054  0.265 0.103  0.314 0.211  0.471 0.211  0.481 0.359  0.481 0.339  0.511 0.211  0.668 0.211  0.697 0.083  0.697 -0.074  0.707 -0.220  0.864 -0.220  0.913 -0.329  0.948 -0.471  1.059 -0.582  1.128 -0.711  1.128 -0.868
3#app#app41#app4127/e  -0.612 -0.032  -0.457 -0.032  -0.301 -0.032  -0.146 -0.032  0.010 -0.032  0.165 -0.032  0.321 -0.032  0.435 0.009  0.435 0.165  0.438 0.317  0.593 0.317  0.749 0.317  0.784 0.437  0.784 0.593  0.784 0.748  0.784 0.904  0.752 1.046  0.642 1.156  0.532 1.266  0.435 1.346  0.435 1.190  0.435 1.035  0.300 1.014  0.144 1.014  0.086 0.918  0.086 0.762  0.027 0.666  -0.128 0.666  -0.263 0.645  -0.263 0.490  -0.263 0.334  -0.361 0.219  -0.471 0.109  -0.580 -0.001  -0.612 -0.143  -0.612 -0.298  -0.612 -0.454  -0.612 -0.609  -0.612 -0.765  -0.612 -0.920  -0.612 -1.076  -0.612 -1.231  -0.612 -1.386  -0.498 -1.428  -0.342 -1.428  -0.187 -1.428  -0.032 -1.428  0.086 -1.466  0.086 -1.621  0.086 -1.776
3#app#app41#app4127/s  0.997 0.880  0.903 0.974  0.809 1.068  0.705 1.138  0.573 1.138  0.440 1.138  0.308 1.138  0.175 1.138  0.042 1.138  -0.073 1.097  -0.167 1.004  -0.261 0.910  -0.381 0.880  -0.514 0.880  -0.548 0.782  -0.548 0.649  -0.654 0.623  -0.787 0.623  -0.805 0.509  -0.805 0.376  -0.683 0.366  -0.550 0.366  -0.548 0.236  -0.542 0.108  -0.410 0.108  -0.281 0.099  -0.187 0.005  -0.094 -0.088  0.014 -0.149  0.146 -0.149  0.224 -0.204  0.224 -0.336  0.287 -0.406  0.419 -0.406  0.482 -0.477  0.482 -0.609  0.482 -0.742  0.482 -0.874  0.482 -1.007  0.482 -1.139  0.388 -1.178  0.256 -1.178  0.123 -1.178  -0.009 -1.178  -0.033 -1.288  -0.033 -1.420  -0.150 -1.436  -0.282 -1.436  -0.290 -1.311  -0.290 -1.178
3#app#app41#app4127/o  0.198 0.861  0.030 0.861  -0.138 0.861  -0.289 0.821  -0.408 0.702  -0.527 0.583  -0.646 0.465  -0.793 0.414  -0.961 0.414  -1.129 0.414  -1.143 0.261  -1.143 0.093  -1.143 -0.075  -1.143 -0.243  -1.143 -0.411  -1.043 -0.479  -0.875 -0.479  -0.707 -0.479  -0.696 -0.636  -0.696 -0.804  -0.651 -0.926  -0.483 -0.926  -0.315 -0.926  -0.147 -0.926  0.021 -0.926  0.189 -0.926  0.357 -0.926  0.525 -0.926  0.644 -0.878  0.644 -0.710  0.644 -0.542  0.750 -0.479  0.918 -0.479  1.085 -0.479  1.091 -0.317  1.091 -0.149  1.091 0.019  1.091 0.187  1.091 0.355  0.983 0.414  0.815 0.414  0.647 0.414  0.644 0.579  0.644 0.747  0.590 0.861  0.422 0.861  0.254 0.861  0.087 0.861  -0.081 0.861  -0.249 0.861
3#app#app41#app4127/o  0.501 1.147  0.501 0.990  0.501 0.832  0.455 0.720  0.298 0.720  0.140 0.720  -0.017 0.720  -0.175 0.720  -0.332 0.720  -0.449 0.624  -0.561 0.513  -0.672 0.401  -0.783 0.290  -0.895 0.179  -1.006 0.067  -1.117 -0.044  -1.207 -0.164  -1.207 -0.322  -1.207 -0.479  -1.153 -0.614  -1.042 -0.726  -0.930 -0.837  -0.819 -0.948  -0.678 -0.987  -0.520 -0.987  -0.363 -0.987  -0.205 -0.987  -0.048 -0.987  0.109 -0.987  0.267 -0.987  0.424 -0.987  0.558 -0.930  0.669 -0.818  0.781 -0.707  0.892 -0.596  0.927 -0.453  0.927 -0.296  0.927 -0.138  0.927 0.019  0.927 0.177  0.887 0.293  0.729 0.293  0.572 0.293  0.501 0.379  0.501 0.537  0.501 0.694  0.408 0.813  0.296 0.924  0.185 1.036  0.074 1.147
3#app#app41#app4127/n  -1.075 0.546  -1.075 0.409  -1.075 0.271  -1.075 0.134  -1.075 -0.004  -1.075 -0.141  -1.075 -0.279  -1.075 -0.416  -1.075 -0.554  -1.010 -0.626  -0.873 -0.626  -0.735 -0.626  -0.684 -0.713  -0.684 -0.850  -0.684 -0.988  -0.684 -0.909  -0.684 -0.772  -0.684 -0.634  -0.555 -0.626  -0.417 -0.626  -0.293 -0.612  -0.293 -0.475  -0.293 -0.338  -0.258 -0.235  -0.121 -0.235  0.017 -0.235  0.123 -0.184  0.184 -0.061  0.246 0.061  0.307 0.184  0.369 0.307  0.430 0.430  0.488 0.554  0.488 0.692  0.488 0.829  0.518 0.937  0.655 0.937  0.793 0.937  0.879 0.886  0.879 0.749  0.879 0.611  0.952 0.546  1.089 0.546  1.227 0.546  1.270 0.452  1.270 0.315  1.270 0.177  1.270 0.040  1.270 -0.098  1.270 -0.235
3#app#app41#app4127/t  0.154 1.877  0.154 1.683  0.154 1.489  0.154 1.295  0.154 1.101  0.154 0.907  0.154 0.713  0.111 0.536  -0.026 0.399  -0.163 0.262  -0.170 0.071  -0.170 -0.123  -0.170 -0.317  -0.170 -0.511  -0.170 -0.705  -0.170 -0.899  -0.170 -1.093  -0.170 -1.287  -0.055 -1.366  0.139 -1.366  0.333 -1.366  0.527 -1.366  0.721 -1.366  0.724 -1.287  0.587 -1.150  0.450 -1.013  0.312 -0.876  0.175 -0.738  0.038 -0.601  -0.099 -0.464  -0.236 -0.327  -0.374 -0.190  -0.511 -0.052  -0.648 0.085  -0.785 0.222  -0.922 0.359  -1.059 0.496  -1.066 0.579  -0.872 0.579  -0.678 0.579  -0.484 0.579  -0.290 0.579  -0.096 0.579  0.098 0.579  0.292 0.579  0.486 0.579  0.680 0.579  0.853 0.530  0.990 0.392  1.127 0.255
3#app#app41#app4127/o  0.406 1.228  0.279 1.228  0.153 1.228  0.041 1.192  -0.049 1.103  -0.138 1.013  -0.227 0.924  -0.344 0.899  -0.470 0.899  -0.582 0.884  -0.582 0.757  -0.582 0.631  -0.628 0.523  -0.717 0.434  -0.807 0.344  -0.896 0.255  -0.911 0.135  -0.911 0.008  -0.911 -0.118  -0.911 -0.245  -0.911 -0.371  -0.911 -0.498  -0.911 -0.624  -0.908 -0.748  -0.782 -0.748  -0.655 -0.748  -0.529 -0.748  -0.402 -0.748  -0.276 -0.748  -0.149 -0.748  -0.023 -0.748  0.104 -0.748  0.231 -0.748  0.357 -0.748  0.484 -0.748  0.610 -0.748  0.735 -0.746  0.735 -0.620  0.735 -0.493  0.787 -0.419  0.913 -0.419  1.040 -0.419  1.064 -0.316  1.064 -0.190  1.064 -0.063  1.064 0.063  1.064 0.190  1.064 0.316  1.064 0.443  1.064 0.569
3#app#app41#app4127/o  0.644 1.102  0.517 1.102  0.389 1.102  0.262 1.102  0.134 1.102  0.007 1.102  -0.119 1.100  -0.210 1.010  -0.300 0.920  -0.390 0.829  -0.480 0.739  -0.600 0.722  -0.728 0.722  -0.855 0.722  -0.878 0.617  -0.878 0.490  -0.878 0.362  -0.878 0.235  -0.878 0.107  -0.878 -0.020  -0.878 -0.147  -0.878 -0.275  -0.878 -0.402  -0.767 -0.419  -0.640 -0.419  -0.512 -0.419  -0.497 -0.532  -0.497 -0.659  -0.497 -0.787  -0.383 -0.800  -0.255 -0.800  -0.128 -0.800  -0.001 -0.800  0.127 -0.800  0.254 -0.800  0.382 -0.800  0.509 -0.800  0.637 -0.800  0.764 -0.800  0.891 -0.800  1.019 -0.800  1.025 -0.678  1.025 -0.551  1.025 -0.423  1.025 -0.296  1.025 -0.168  1.025 -0.041  1.025 0.087  1.025 0.214  1.025 0.342
3#app#app41#app4127/k  -0.693 2.083  -0.693 1.919  -0.693 1.755  -0.693 1.590  -0.693 1.426  -0.693 1.261  -0.693 1.097  -0.693 0.933  -0.693 0.768  -0.693 0.604  -0.693 0.440  -0.672 0.284  -0.556 0.168  -0.439 0.052  -0.338 -0.071  -0.338 -0.235  -0.338 -0.399  -0.338 -0.564  -0.338 -0.728  -0.338 -0.892  -0.338 -1.057  -0.338 -1.011  -0.338 -0.847  -0.260 -0.761  -0.095 -0.761  0.018 -0.709  0.018 -0.545  0.035 -0.387  0.151 -0.271  0.268 -0.155  0.384 -0.039  0.500 0.077  0.616 0.194  0.734 0.306  0.899 0.306  1.063 0.306  0.941 0.306  0.776 0.306  0.729 0.189  0.729 0.025  0.665 -0.113  0.549 -0.229  0.433 -0.346  0.373 -0.485  0.373 -0.650  0.373 -0.814  0.373 -0.978  0.400 -1.116  0.564 -1.116  0.729 -1.116
3#app#app41#app4127/e  -0.501 0.705  -0.501 0.490  -0.501 0.275  -0.348 0.213  -0.133 0.213  -0.009 0.122  -0.009 -0.093  0.020 -0.279  0.235 -0.279  0.450 -0.279  0.483 -0.461  0.483 -0.676  0.603 -0.771  0.818 -0.771  0.975 -0.712  0.975 -0.498  0.975 -0.283  0.975 -0.068  0.975 0.147  0.975 0.362  0.975 0.577  0.887 0.705  0.673 0.705  0.483 0.730  0.483 0.945  0.483 1.160  0.305 1.196  0.090 1.196  -0.125 1.196  -0.340 1.196  -0.501 1.142  -0.501 0.927  -0.501 0.712  -0.501 0.497  -0.501 0.282  -0.646 0.213  -0.861 0.213  -0.992 0.129  -0.992 -0.086  -0.992 -0.300  -0.992 -0.515  -0.992 -0.730  -0.869 -0.894  -0.717 -1.046  -0.565 -1.198  -0.377 -1.262  -0.162 -1.262  0.053 -1.262  0.268 -1.262  0.483 -1.262
