1c#apa#apa00#app0004/k  -0.445 1.915  -0.445 1.711  -0.445 1.508  -0.401 1.312  -0.377 1.112  -0.377 0.909  -0.377 0.705  -0.377 0.502  -0.377 0.299  -0.377 0.095  -0.377 -0.108  -0.377 -0.311  -0.379 -0.514  -0.445 -0.702  -0.471 -0.900  -0.512 -1.093  -0.512 -1.297  -0.512 -1.500  -0.546 -1.421  -0.512 -1.231  -0.512 -1.028  -0.502 -0.827  -0.445 -0.637  -0.410 -0.442  -0.349 -0.253  -0.289 -0.064  -0.174 0.101  -0.109 0.294  -0.015 0.458  0.094 0.616  0.253 0.726  0.417 0.823  0.589 0.927  0.707 1.039  0.836 0.964  0.836 0.761  0.768 0.586  0.701 0.450  0.597 0.329  0.499 0.166  0.337 0.069  0.229 -0.050  0.229 -0.254  0.239 -0.453  0.351 -0.578  0.451 -0.732  0.614 -0.829  0.768 -0.929  0.894 -1.041  1.038 -1.184
1c#apa#apa00#app0004/e  -0.303 -0.212  -0.212 -0.167  -0.148 -0.056  -0.051 0.041  0.069 0.075  0.131 0.197  0.213 0.304  0.309 0.401  0.406 0.498  0.503 0.595  0.535 0.718  0.615 0.822  0.615 0.959  0.615 1.096  0.568 1.213  0.523 1.331  0.405 1.350  0.268 1.350  0.166 1.268  0.069 1.171  -0.028 1.128  -0.065 1.000  -0.130 0.880  -0.227 0.784  -0.323 0.687  -0.395 0.580  -0.452 0.467  -0.487 0.344  -0.516 0.219  -0.579 0.109  -0.579 -0.028  -0.579 -0.165  -0.579 -0.302  -0.579 -0.439  -0.579 -0.576  -0.550 -0.700  -0.487 -0.811  -0.394 -0.856  -0.303 -0.955  -0.266 -1.076  -0.185 -1.184  -0.123 -1.307  0.009 -1.314  0.064 -1.396  0.191 -1.406  0.328 -1.406  0.455 -1.382  0.563 -1.314  0.700 -1.314  0.799 -1.222
1c#apa#apa00#app0004/e  -0.265 -0.541  -0.163 -0.438  -0.132 -0.306  -0.060 -0.190  0.000 -0.070  0.042 0.057  0.054 0.200  0.119 0.329  0.232 0.380  0.339 0.473  0.349 0.614  0.420 0.688  0.451 0.802  0.451 0.947  0.451 1.092  0.451 1.237  0.451 1.382  0.328 1.404  0.183 1.404  0.069 1.329  -0.033 1.226  -0.136 1.124  -0.167 0.995  -0.265 0.947  -0.329 0.829  -0.367 0.699  -0.389 0.563  -0.470 0.452  -0.470 0.307  -0.552 0.196  -0.572 0.059  -0.572 -0.086  -0.572 -0.231  -0.572 -0.376  -0.572 -0.521  -0.572 -0.666  -0.525 -0.792  -0.470 -0.914  -0.393 -1.027  -0.290 -1.130  -0.188 -1.232  -0.053 -1.257  0.092 -1.257  0.237 -1.257  0.382 -1.257  0.528 -1.257  0.673 -1.257  0.818 -1.257  0.963 -1.257  1.065 -1.155
1c#apa#apa00#app0004/p  -0.174 1.353  -0.198 1.191  -0.242 1.037  -0.242 0.865  -0.242 0.693  -0.241 0.521  -0.208 0.352  -0.174 0.183  -0.174 0.011  -0.174 -0.161  -0.159 -0.329  -0.105 -0.489  -0.105 -0.661  -0.105 -0.833  -0.105 -1.005  -0.105 -1.177  -0.093 -1.344  -0.036 -1.492  -0.036 -1.664  -0.058 -1.815  -0.105 -1.689  -0.169 -1.544  -0.187 -1.374  -0.202 -1.203  -0.216 -1.032  -0.230 -0.860  -0.244 -0.689  -0.259 -0.517  -0.273 -0.346  -0.287 -0.174  -0.302 -0.003  -0.311 0.169  -0.311 0.341  -0.242 0.485  -0.242 0.657  -0.175 0.801  -0.100 0.939  0.040 1.015  0.162 1.137  0.328 1.156  0.486 1.215  0.658 1.215  0.761 1.146  0.790 1.003  0.790 0.831  0.721 0.687  0.653 0.544  0.592 0.397  0.470 0.275  0.377 0.182
1c#apa#apa00#app0004/v  -1.179 -0.124  -1.179 0.039  -1.060 0.094  -0.982 0.224  -0.970 0.381  -0.855 0.496  -0.740 0.610  -0.687 0.751  -0.552 0.799  -0.490 0.936  -0.392 1.000  -0.293 1.063  -0.293 1.085  -0.293 0.923  -0.293 0.761  -0.293 0.599  -0.324 0.467  -0.392 0.373  -0.392 0.211  -0.392 0.048  -0.392 -0.114  -0.392 -0.276  -0.392 -0.438  -0.333 -0.576  -0.293 -0.722  -0.293 -0.884  -0.197 -1.007  -0.135 -1.108  -0.097 -1.232  -0.007 -1.304  0.100 -1.249  0.199 -1.186  0.258 -1.048  0.395 -1.000  0.395 -0.838  0.521 -0.785  0.636 -0.671  0.691 -0.531  0.740 -0.419  0.825 -0.311  0.876 -0.157  0.977 -0.034  0.986 0.125  1.037 0.275  1.084 0.426  1.084 0.588  1.023 0.725  0.978 0.869  0.887 0.993  0.887 1.156
1c#apa#apa00#app0004/e  -0.615 -0.325  -0.497 -0.300  -0.461 -0.171  -0.351 -0.088  -0.222 -0.051  -0.120 0.051  -0.017 0.149  0.119 0.171  0.221 0.273  0.323 0.375  0.424 0.477  0.526 0.579  0.652 0.624  0.690 0.730  0.809 0.755  0.809 0.899  0.809 1.043  0.747 1.162  0.626 1.218  0.482 1.218  0.337 1.218  0.216 1.195  0.173 1.078  0.044 1.013  -0.072 0.930  -0.140 0.814  -0.213 0.743  -0.259 0.645  -0.263 0.502  -0.364 0.400  -0.378 0.262  -0.410 0.149  -0.497 0.092  -0.497 -0.052  -0.497 -0.196  -0.497 -0.341  -0.497 -0.485  -0.497 -0.629  -0.497 -0.773  -0.414 -0.883  -0.378 -1.012  -0.378 -1.156  -0.276 -1.258  -0.174 -1.360  -0.072 -1.462  0.043 -1.545  0.172 -1.610  0.311 -1.631  0.443 -1.685  0.572 -1.750
1c#apa#apa00#app0004/x  -1.085 0.316  -1.078 0.531  -0.982 0.708  -0.918 0.898  -0.822 1.042  -0.605 1.042  -0.388 1.042  -0.255 0.958  -0.322 0.768  -0.359 0.566  -0.359 0.349  -0.416 0.156  -0.463 -0.042  -0.423 -0.242  -0.359 -0.433  -0.263 -0.610  -0.183 -0.794  -0.048 -0.955  0.056 -1.068  0.205 -1.136  0.319 -1.239  0.517 -1.194  0.678 -1.104  0.823 -1.032  0.989 -0.920  0.971 -0.705  0.939 -0.490  0.907 -0.276  0.875 -0.061  0.843 0.154  0.810 0.368  0.778 0.583  0.746 0.798  0.714 1.012  0.682 1.227  0.678 1.056  0.574 0.943  0.404 0.835  0.240 0.708  0.086 0.555  0.056 0.350  -0.074 0.187  -0.227 0.033  -0.354 -0.142  -0.463 -0.326  -0.484 -0.534  -0.637 -0.688  -0.670 -0.891  -0.774 -1.065  -0.878 -1.239
1c#apa#apa00#app0004/i  -0.133 0.510  -0.161 0.413  -0.230 0.358  -0.230 0.233  -0.326 0.206  -0.326 0.081  -0.326 -0.043  -0.326 -0.167  -0.326 -0.292  -0.326 -0.416  -0.326 -0.540  -0.326 -0.665  -0.326 -0.789  -0.326 -0.913  -0.323 -1.034  -0.230 -1.065  -0.188 -1.173  -0.100 -1.260  -0.002 -1.324  0.122 -1.324  0.246 -1.324  0.365 -1.309  0.446 -1.218  0.439 -1.095  0.417 -0.972  0.394 -0.850  0.371 -0.728  0.349 -0.606  0.326 -0.483  0.303 -0.361  0.281 -0.239  0.258 -0.117  0.235 0.006  0.213 0.128  0.190 0.250  0.168 0.372  0.145 0.495  0.122 0.617  0.100 0.739  0.077 0.861  0.054 0.984  0.032 1.106  0.009 1.228  -0.014 1.350  -0.036 1.473  -0.055 1.590  -0.133 1.681  -0.133 1.806  -0.202 1.861  -0.230 1.958
1c#apa#apa00#app0004/n  -0.900 1.032  -0.900 0.855  -0.900 0.678  -0.900 0.501  -0.881 0.332  -0.763 0.204  -0.763 0.027  -0.763 -0.150  -0.763 -0.327  -0.642 -0.453  -0.627 -0.624  -0.627 -0.801  -0.627 -0.978  -0.624 -1.153  -0.499 -1.279  -0.490 -1.122  -0.490 -0.945  -0.490 -0.768  -0.490 -0.591  -0.452 -0.430  -0.354 -0.293  -0.354 -0.117  -0.270 0.025  -0.218 0.181  -0.116 0.316  -0.081 0.478  -0.006 0.637  0.084 0.788  0.192 0.920  0.238 1.078  0.328 1.217  0.417 1.305  0.464 1.175  0.498 1.032  0.601 0.958  0.601 0.781  0.737 0.740  0.737 0.563  0.737 0.386  0.737 0.210  0.737 0.033  0.737 -0.144  0.737 -0.321  0.737 -0.498  0.737 -0.675  0.737 -0.852  0.874 -0.892  0.929 -1.014  1.106 -1.014  1.283 -1.014
1c#apa#apa00#app0004/g  -0.035 1.041  -0.035 1.174  -0.160 1.182  -0.222 1.111  -0.285 1.041  -0.389 0.970  -0.483 0.875  -0.577 0.781  -0.672 0.687  -0.672 0.554  -0.672 0.420  -0.601 0.358  -0.504 0.306  -0.389 0.261  -0.256 0.261  -0.152 0.332  -0.044 0.394  0.036 0.494  0.107 0.557  0.107 0.690  0.107 0.823  0.107 0.957  0.036 1.019  0.107 0.958  0.107 0.824  0.107 0.691  0.178 0.587  0.187 0.456  0.247 0.337  0.249 0.204  0.284 0.085  0.320 -0.034  0.353 -0.159  0.390 -0.284  0.390 -0.417  0.390 -0.550  0.390 -0.684  0.390 -0.817  0.390 -0.951  0.390 -1.084  0.390 -1.217  0.390 -1.351  0.358 -1.471  0.314 -1.586  0.207 -1.651  0.074 -1.651  -0.059 -1.651  -0.193 -1.651  -0.318 -1.642  -0.389 -1.580
1c#apa#apa00#app0004/m  -1.343 0.888  -1.132 0.842  -1.095 0.629  -1.095 0.400  -1.095 0.171  -1.095 -0.058  -1.095 -0.287  -1.095 -0.515  -1.095 -0.614  -1.013 -0.468  -0.993 -0.247  -0.930 -0.044  -0.828 0.145  -0.764 0.311  -0.602 0.473  -0.499 0.659  -0.337 0.821  -0.218 0.805  -0.106 0.689  -0.121 0.475  -0.188 0.314  -0.271 0.104  -0.271 -0.125  -0.271 -0.353  -0.271 -0.582  -0.221 -0.597  -0.166 -0.410  -0.063 -0.224  0.099 -0.062  0.146 0.145  0.292 0.228  0.342 0.428  0.517 0.558  0.637 0.614  0.637 0.385  0.637 0.156  0.583 -0.019  0.554 -0.219  0.554 -0.448  0.554 -0.677  0.554 -0.906  0.762 -0.927  0.957 -0.844  1.069 -0.679  1.249 -0.561  1.353 -0.375  1.515 -0.213  1.626 -0.079  1.761 0.063  1.874 0.228
