3#apa#apa15#app1527/[  0.626 1.164  0.626 1.256  0.551 1.273  0.458 1.273  0.365 1.273  0.273 1.273  0.181 1.270  0.098 1.228  0.015 1.187  -0.072 1.164  -0.164 1.164  -0.250 1.157  -0.250 1.064  -0.250 0.972  -0.250 0.879  -0.250 0.786  -0.250 0.694  -0.250 0.601  -0.250 0.508  -0.250 0.416  -0.250 0.323  -0.250 0.231  -0.250 0.138  -0.250 0.045  -0.252 -0.047  -0.274 -0.137  -0.296 -0.227  -0.319 -0.317  -0.341 -0.407  -0.360 -0.497  -0.360 -0.590  -0.360 -0.682  -0.360 -0.775  -0.360 -0.868  -0.330 -0.948  -0.264 -1.013  -0.250 -1.100  -0.195 -1.137  -0.102 -1.137  -0.009 -1.137  0.083 -1.135  0.166 -1.094  0.248 -1.052  0.335 -1.028  0.428 -1.028  0.520 -1.028  0.613 -1.028  0.706 -1.028  0.780 -0.984  0.846 -0.918
3#apa#apa15#app1527/O  0.112 0.801  0.013 0.901  -0.060 0.989  0.081 0.989  0.190 0.912  0.290 0.812  0.413 0.745  0.539 0.681  0.666 0.618  0.768 0.522  0.866 0.421  0.866 0.280  0.909 0.149  0.972 0.023  1.036 -0.103  1.024 -0.235  0.979 -0.369  0.934 -0.503  0.890 -0.637  0.819 -0.754  0.719 -0.854  0.597 -0.916  0.460 -0.950  0.324 -0.984  0.187 -1.018  0.050 -1.053  -0.087 -1.080  -0.221 -1.036  -0.355 -0.991  -0.489 -0.946  -0.623 -0.902  -0.727 -0.810  -0.827 -0.710  -0.891 -0.584  -0.955 -0.458  -1.018 -0.332  -1.018 -0.191  -1.018 -0.049  -1.018 0.092  -1.018 0.233  -0.920 0.333  -0.820 0.433  -0.721 0.533  -0.621 0.633  -0.521 0.733  -0.413 0.821  -0.286 0.884  -0.160 0.947  -0.029 0.989  0.112 0.989
3#apa#apa15#app1527/R  -0.443 0.747  -0.630 0.710  -0.630 0.486  -0.596 0.268  -0.525 0.055  -0.454 -0.157  -0.443 -0.380  -0.443 -0.604  -0.443 -0.828  -0.443 -1.052  -0.443 -1.276  -0.443 -1.500  -0.443 -1.286  -0.443 -1.062  -0.468 -0.841  -0.522 -0.623  -0.577 -0.406  -0.630 -0.188  -0.630 0.036  -0.630 0.260  -0.630 0.484  -0.630 0.708  -0.630 0.932  -0.596 1.122  -0.380 1.153  -0.179 1.254  0.032 1.310  0.249 1.267  0.461 1.196  0.674 1.125  0.835 0.970  0.871 0.761  0.871 0.537  0.815 0.353  0.603 0.282  0.390 0.211  0.211 0.087  0.024 -0.004  -0.200 -0.004  -0.255 -0.173  -0.050 -0.191  0.174 -0.191  0.389 -0.232  0.589 -0.332  0.782 -0.445  0.969 -0.569  1.155 -0.694  1.246 -0.869  1.246 -1.093  1.246 -1.317
3#apa#apa15#app1527/E  -0.886 0.776  -0.886 0.576  -0.886 0.377  -0.980 0.216  -1.041 0.042  -1.041 -0.157  -1.041 -0.357  -1.041 -0.557  -1.041 -0.756  -0.915 -0.903  -0.727 -0.932  -0.527 -0.932  -0.328 -0.932  -0.143 -0.871  0.036 -0.782  0.234 -0.777  0.434 -0.777  0.633 -0.777  0.833 -0.777  1.032 -0.777  1.133 -0.876  1.133 -1.076  1.092 -0.904  1.048 -0.709  1.005 -0.514  0.962 -0.319  0.919 -0.125  0.875 0.070  0.832 0.265  0.669 0.310  0.469 0.310  0.279 0.271  0.100 0.182  -0.093 0.155  -0.292 0.155  -0.492 0.155  -0.487 0.230  -0.336 0.360  -0.184 0.490  -0.033 0.620  0.119 0.750  0.270 0.880  0.422 1.010  0.430 1.086  0.230 1.086  0.031 1.086  -0.169 1.086  -0.368 1.086  -0.552 1.020  -0.731 0.931
3#apa#apa15#app1527/L  -0.479 1.672  -0.479 1.590  -0.479 1.507  -0.479 1.425  -0.479 1.342  -0.479 1.260  -0.479 1.177  -0.479 1.095  -0.479 1.012  -0.479 0.930  -0.479 0.847  -0.479 0.765  -0.479 0.682  -0.479 0.600  -0.479 0.517  -0.479 0.435  -0.479 0.352  -0.479 0.270  -0.467 0.189  -0.441 0.111  -0.415 0.033  -0.389 -0.045  -0.363 -0.124  -0.337 -0.202  -0.311 -0.280  -0.285 -0.358  -0.253 -0.434  -0.216 -0.508  -0.179 -0.582  -0.142 -0.655  -0.105 -0.729  -0.068 -0.803  0.012 -0.807  0.094 -0.807  0.177 -0.807  0.259 -0.807  0.342 -0.807  0.424 -0.807  0.506 -0.807  0.587 -0.796  0.665 -0.770  0.744 -0.744  0.822 -0.718  0.900 -0.692  0.978 -0.666  1.057 -0.640  1.135 -0.614  1.215 -0.601  1.298 -0.601  1.380 -0.601
3#apa#apa15#app1527/S  0.376 1.033  0.242 1.033  0.107 1.033  -0.028 1.033  -0.162 1.033  -0.297 1.033  -0.425 1.003  -0.545 0.943  -0.666 0.882  -0.776 0.808  -0.871 0.712  -0.966 0.617  -1.061 0.522  -1.107 0.406  -1.087 0.291  -0.952 0.291  -0.817 0.291  -0.682 0.291  -0.548 0.291  -0.413 0.291  -0.278 0.291  -0.144 0.291  -0.009 0.291  0.126 0.291  0.259 0.274  0.389 0.242  0.520 0.209  0.651 0.176  0.781 0.144  0.912 0.111  0.933 -0.008  0.977 -0.124  1.072 -0.219  1.079 -0.323  1.004 -0.435  0.930 -0.547  0.855 -0.659  0.780 -0.772  0.680 -0.855  0.560 -0.915  0.439 -0.975  0.315 -1.027  0.187 -1.070  0.059 -1.112  -0.068 -1.155  -0.197 -1.192  -0.332 -1.192  -0.466 -1.192  -0.601 -1.192  -0.736 -1.192
3#apa#apa15#app1527/E  -0.935 0.410  -0.935 0.202  -0.935 -0.007  -0.935 -0.216  -0.935 -0.424  -0.935 -0.633  -0.931 -0.839  -0.744 -0.932  -0.558 -1.025  -0.371 -1.119  -0.170 -1.149  0.039 -1.149  0.248 -1.149  0.456 -1.149  0.665 -1.149  0.863 -1.107  1.050 -1.014  1.069 -0.833  1.039 -0.626  1.010 -0.420  0.980 -0.213  0.951 -0.007  0.936 0.201  0.826 0.145  0.637 0.098  0.428 0.098  0.220 0.098  0.011 0.098  -0.187 0.036  -0.385 -0.030  -0.589 -0.057  -0.763 -0.047  -0.592 0.073  -0.421 0.193  -0.251 0.312  -0.080 0.432  0.091 0.551  0.262 0.671  0.433 0.791  0.604 0.910  0.775 1.030  0.578 1.034  0.369 1.034  0.161 1.034  -0.048 1.034  -0.256 1.034  -0.465 1.034  -0.623 0.983  -0.726 0.878  -0.935 0.878
3#apa#apa15#app1527/{  0.398 1.421  0.307 1.421  0.292 1.498  0.230 1.527  0.153 1.494  0.088 1.429  0.036 1.355  -0.015 1.279  -0.065 1.203  -0.116 1.127  -0.131 1.040  -0.166 0.963  -0.230 0.899  -0.237 0.810  -0.237 0.719  -0.237 0.628  -0.221 0.540  -0.180 0.459  -0.139 0.377  -0.079 0.309  -0.015 0.245  0.050 0.180  0.080 0.101  0.080 0.010  0.062 -0.062  -0.030 -0.062  -0.121 -0.062  -0.131 -0.143  -0.065 -0.168  0.011 -0.205  0.075 -0.269  0.080 -0.358  0.080 -0.450  0.042 -0.525  -0.023 -0.590  -0.026 -0.680  -0.026 -0.771  -0.067 -0.845  -0.131 -0.910  -0.131 -1.001  -0.131 -1.092  -0.104 -1.177  -0.063 -1.259  -0.026 -1.341  -0.026 -1.432  0.049 -1.478  0.131 -1.518  0.216 -1.546  0.307 -1.546  0.398 -1.546
3#apa#apa15#app1527/y  -0.834 1.004  -0.834 1.124  -0.897 1.092  -0.982 1.007  -0.985 0.888  -0.985 0.768  -0.985 0.648  -0.985 0.528  -0.985 0.408  -0.935 0.300  -0.882 0.192  -0.824 0.088  -0.739 0.003  -0.642 -0.053  -0.522 -0.053  -0.402 -0.053  -0.311 0.017  -0.226 0.102  -0.141 0.187  -0.056 0.272  0.028 0.356  0.113 0.441  0.198 0.526  0.299 0.589  0.407 0.643  0.514 0.696  0.525 0.810  0.525 0.776  0.525 0.656  0.525 0.536  0.525 0.416  0.525 0.296  0.525 0.176  0.525 0.056  0.525 -0.064  0.525 -0.185  0.525 -0.305  0.525 -0.425  0.525 -0.545  0.525 -0.665  0.525 -0.785  0.525 -0.905  0.525 -1.025  0.525 -1.145  0.525 -1.265  0.525 -1.385  0.525 -1.505  0.525 -1.625  0.525 -1.746  0.525 -1.866
3#apa#apa15#app1527/o  0.320 0.540  0.320 0.704  0.320 0.867  0.320 1.031  0.320 1.194  0.291 1.329  0.128 1.329  -0.008 1.263  -0.124 1.147  -0.205 1.017  -0.205 0.854  -0.247 0.698  -0.308 0.546  -0.369 0.394  -0.430 0.243  -0.490 0.091  -0.551 -0.061  -0.612 -0.213  -0.673 -0.365  -0.731 -0.517  -0.731 -0.681  -0.731 -0.845  -0.731 -1.008  -0.731 -1.172  -0.731 -1.335  -0.731 -1.499  -0.649 -1.509  -0.513 -1.418  -0.377 -1.328  -0.241 -1.237  -0.105 -1.146  0.031 -1.055  0.117 -0.920  0.190 -0.774  0.263 -0.627  0.340 -0.483  0.431 -0.347  0.521 -0.211  0.612 -0.075  0.703 0.061  0.794 0.198  0.846 0.345  0.846 0.509  0.846 0.672  0.817 0.788  0.671 0.715  0.524 0.642  0.378 0.569  0.221 0.540  0.058 0.540
3#apa#apa15#app1527/u  -0.712 1.257  -0.850 1.257  -0.972 1.257  -0.834 1.257  -0.712 1.241  -0.712 1.103  -0.712 0.965  -0.712 0.827  -0.712 0.689  -0.712 0.551  -0.712 0.413  -0.712 0.275  -0.712 0.137  -0.712 -0.001  -0.712 -0.139  -0.712 -0.277  -0.712 -0.415  -0.712 -0.554  -0.712 -0.692  -0.712 -0.830  -0.632 -0.888  -0.494 -0.888  -0.382 -0.826  -0.284 -0.729  -0.187 -0.631  -0.089 -0.533  0.008 -0.436  0.101 -0.335  0.163 -0.211  0.225 -0.088  0.286 0.036  0.348 0.159  0.361 0.294  0.361 0.432  0.478 0.453  0.616 0.453  0.629 0.327  0.629 0.189  0.762 0.184  0.898 0.181  0.942 0.050  0.985 -0.081  1.029 -0.212  1.073 -0.343  1.116 -0.474  1.160 -0.605  1.165 -0.742  1.165 -0.880  1.165 -1.018  1.165 -1.156
