2#apb#apb15#app1529/W  -0.584 1.398  -0.544 1.406  -0.568 1.245  -0.620 1.089  -0.669 0.932  -0.703 0.771  -0.736 0.610  -0.769 0.449  -0.794 0.286  -0.819 0.124  -0.844 -0.039  -0.867 -0.202  -0.890 -0.365  -0.905 -0.528  -0.905 -0.693  -0.879 -0.852  -0.766 -0.931  -0.627 -0.844  -0.502 -0.739  -0.399 -0.612  -0.295 -0.484  -0.204 -0.347  -0.114 -0.209  -0.030 -0.068  0.048 0.077  0.113 0.177  0.061 0.021  0.014 -0.137  -0.034 -0.294  -0.062 -0.455  -0.062 -0.619  -0.016 -0.774  0.088 -0.891  0.242 -0.923  0.403 -0.898  0.547 -0.820  0.668 -0.712  0.760 -0.577  0.838 -0.432  0.882 -0.275  0.910 -0.113  0.944 0.048  0.980 0.209  1.017 0.369  1.043 0.532  1.067 0.694  1.091 0.857  1.123 1.018  1.163 1.178  1.203 1.338
2#apb#apb15#app1529/e  -0.292 -0.217  -0.275 -0.178  -0.141 -0.115  -0.002 -0.063  0.134 -0.004  0.267 0.062  0.395 0.135  0.500 0.240  0.602 0.348  0.698 0.461  0.744 0.592  0.744 0.741  0.715 0.883  0.654 1.019  0.557 1.112  0.415 1.155  0.272 1.174  0.127 1.143  -0.019 1.112  -0.156 1.062  -0.281 0.982  -0.406 0.902  -0.531 0.822  -0.624 0.706  -0.715 0.590  -0.807 0.473  -0.886 0.349  -0.936 0.210  -0.986 0.070  -1.020 -0.072  -1.009 -0.220  -0.997 -0.368  -0.938 -0.496  -0.843 -0.610  -0.748 -0.724  -0.635 -0.811  -0.492 -0.850  -0.349 -0.890  -0.206 -0.930  -0.060 -0.945  0.088 -0.939  0.236 -0.934  0.385 -0.928  0.533 -0.922  0.681 -0.913  0.827 -0.890  0.974 -0.866  1.121 -0.843  1.267 -0.819  1.414 -0.796
2#apb#apb15#app1529/'  0.822 1.461  0.773 1.412  0.723 1.362  0.674 1.313  0.625 1.264  0.575 1.215  0.526 1.165  0.477 1.116  0.427 1.067  0.378 1.017  0.349 0.955  0.323 0.890  0.297 0.825  0.272 0.760  0.246 0.696  0.220 0.631  0.194 0.566  0.168 0.502  0.142 0.437  0.116 0.372  0.090 0.307  0.064 0.243  0.038 0.178  0.013 0.113  -0.013 0.048  -0.039 -0.016  -0.065 -0.081  -0.091 -0.146  -0.116 -0.211  -0.141 -0.276  -0.166 -0.341  -0.191 -0.406  -0.216 -0.471  -0.241 -0.536  -0.266 -0.601  -0.291 -0.666  -0.316 -0.732  -0.341 -0.797  -0.366 -0.862  -0.391 -0.927  -0.416 -0.992  -0.441 -1.057  -0.466 -1.122  -0.491 -1.187  -0.516 -1.252  -0.541 -1.317  -0.566 -1.382  -0.591 -1.447  -0.616 -1.512  -0.641 -1.577
2#apb#apb15#app1529/l  0.462 1.638  0.444 1.571  0.425 1.504  0.407 1.437  0.387 1.370  0.366 1.303  0.345 1.237  0.324 1.171  0.303 1.104  0.282 1.038  0.261 0.971  0.241 0.905  0.223 0.837  0.205 0.770  0.187 0.703  0.169 0.635  0.151 0.568  0.133 0.501  0.115 0.434  0.097 0.366  0.079 0.299  0.058 0.233  0.036 0.166  0.014 0.100  -0.008 0.034  -0.030 -0.032  -0.052 -0.098  -0.074 -0.164  -0.096 -0.230  -0.118 -0.296  -0.140 -0.362  -0.162 -0.428  -0.184 -0.495  -0.202 -0.562  -0.219 -0.629  -0.236 -0.697  -0.254 -0.764  -0.271 -0.832  -0.289 -0.899  -0.306 -0.967  -0.324 -1.034  -0.331 -1.103  -0.327 -1.172  -0.323 -1.242  -0.320 -1.311  -0.316 -1.381  -0.313 -1.450  -0.296 -1.517  -0.271 -1.582  -0.247 -1.648
2#apb#apb15#app1529/l  0.391 1.652  0.368 1.587  0.344 1.521  0.321 1.456  0.298 1.390  0.274 1.325  0.261 1.256  0.251 1.188  0.241 1.119  0.231 1.050  0.220 0.981  0.210 0.912  0.200 0.843  0.190 0.774  0.180 0.706  0.167 0.637  0.147 0.571  0.126 0.504  0.106 0.438  0.085 0.371  0.065 0.305  0.044 0.238  0.024 0.172  0.003 0.105  -0.017 0.038  -0.034 -0.029  -0.050 -0.097  -0.066 -0.165  -0.082 -0.232  -0.098 -0.300  -0.114 -0.368  -0.129 -0.436  -0.145 -0.503  -0.161 -0.571  -0.177 -0.639  -0.193 -0.707  -0.205 -0.775  -0.217 -0.844  -0.229 -0.912  -0.241 -0.981  -0.253 -1.050  -0.265 -1.118  -0.277 -1.187  -0.288 -1.255  -0.283 -1.324  -0.270 -1.392  -0.257 -1.461  -0.244 -1.529  -0.232 -1.597  -0.219 -1.666
2#apb#apb15#app1529/b  -0.357 1.975  -0.357 1.824  -0.335 1.675  -0.318 1.526  -0.332 1.375  -0.346 1.225  -0.360 1.075  -0.381 0.926  -0.403 0.777  -0.425 0.627  -0.454 0.479  -0.482 0.331  -0.511 0.183  -0.536 0.034  -0.559 -0.115  -0.581 -0.264  -0.604 -0.413  -0.627 -0.562  -0.589 -0.646  -0.503 -0.522  -0.417 -0.398  -0.309 -0.293  -0.197 -0.193  -0.084 -0.093  0.030 0.006  0.145 0.103  0.261 0.200  0.376 0.297  0.513 0.362  0.649 0.426  0.791 0.465  0.926 0.445  0.963 0.299  0.963 0.148  0.963 -0.003  0.918 -0.146  0.868 -0.288  0.800 -0.421  0.707 -0.539  0.614 -0.658  0.511 -0.769  0.408 -0.879  0.305 -0.989  0.179 -1.070  0.049 -1.148  -0.084 -1.217  -0.224 -1.275  -0.370 -1.295  -0.521 -1.295  -0.672 -1.295
2#apb#apb15#app1529/e  -1.198 -0.349  -1.052 -0.276  -0.901 -0.218  -0.745 -0.173  -0.589 -0.128  -0.435 -0.079  -0.285 -0.017  -0.135 0.046  0.017 0.103  0.172 0.151  0.328 0.198  0.482 0.250  0.632 0.311  0.783 0.371  0.910 0.472  1.011 0.587  1.002 0.746  0.887 0.861  0.764 0.961  0.606 0.995  0.447 1.029  0.288 1.063  0.128 1.035  -0.032 1.007  -0.192 0.979  -0.347 0.939  -0.473 0.837  -0.598 0.734  -0.724 0.631  -0.790 0.483  -0.854 0.333  -0.917 0.184  -0.909 0.034  -0.849 -0.117  -0.779 -0.262  -0.669 -0.381  -0.558 -0.500  -0.447 -0.619  -0.337 -0.738  -0.191 -0.806  -0.041 -0.870  0.108 -0.934  0.257 -0.998  0.407 -1.062  0.566 -1.088  0.727 -1.107  0.889 -1.126  1.050 -1.144  1.212 -1.163  1.373 -1.182
2#apb#apb15#app1529/a  1.013 0.799  0.866 0.873  0.714 0.934  0.550 0.952  0.385 0.970  0.221 0.960  0.056 0.945  -0.108 0.930  -0.249 0.846  -0.389 0.757  -0.528 0.668  -0.656 0.565  -0.773 0.448  -0.890 0.331  -1.006 0.214  -1.123 0.097  -1.230 -0.028  -1.338 -0.154  -1.379 -0.304  -1.379 -0.469  -1.280 -0.590  -1.155 -0.697  -1.016 -0.773  -0.851 -0.791  -0.687 -0.809  -0.533 -0.750  -0.380 -0.689  -0.226 -0.629  -0.069 -0.576  0.088 -0.524  0.219 -0.430  0.336 -0.314  0.449 -0.195  0.485 -0.034  0.521 0.128  0.535 0.291  0.535 0.457  0.535 0.622  0.535 0.463  0.535 0.298  0.535 0.133  0.535 -0.033  0.595 -0.183  0.674 -0.328  0.752 -0.474  0.830 -0.619  0.968 -0.705  1.114 -0.784  1.259 -0.862  1.405 -0.940
2#apb#apb15#app1529/t  0.702 1.435  0.611 1.304  0.520 1.172  0.470 1.022  0.424 0.869  0.381 0.715  0.355 0.558  0.329 0.400  0.303 0.243  0.290 0.084  0.279 -0.075  0.267 -0.234  0.258 -0.394  0.258 -0.553  0.258 -0.713  0.258 -0.872  0.266 -1.031  0.282 -1.190  0.298 -1.349  0.311 -1.508  0.313 -1.666  0.252 -1.618  0.180 -1.475  0.109 -1.333  0.038 -1.190  -0.034 -1.047  -0.105 -0.904  -0.176 -0.762  -0.248 -0.619  -0.319 -0.476  -0.390 -0.334  -0.462 -0.191  -0.533 -0.048  -0.605 0.095  -0.676 0.237  -0.747 0.380  -0.819 0.523  -0.890 0.666  -0.961 0.808  -0.892 0.864  -0.733 0.854  -0.574 0.843  -0.414 0.833  -0.255 0.822  -0.096 0.818  0.064 0.815  0.224 0.811  0.383 0.808  0.543 0.804  0.702 0.801
2#apb#apb15#app1529/S  0.973 1.253  1.008 1.353  0.909 1.338  0.817 1.279  0.726 1.221  0.632 1.167  0.536 1.115  0.441 1.064  0.345 1.012  0.249 0.961  0.153 0.911  0.056 0.861  -0.040 0.811  -0.137 0.761  -0.233 0.711  -0.329 0.659  -0.424 0.606  -0.518 0.554  -0.608 0.493  -0.690 0.422  -0.726 0.326  -0.708 0.223  -0.664 0.123  -0.573 0.065  -0.481 0.007  -0.389 -0.050  -0.293 -0.101  -0.196 -0.151  -0.100 -0.202  -0.005 -0.254  0.083 -0.318  0.171 -0.381  0.259 -0.445  0.329 -0.525  0.388 -0.617  0.447 -0.708  0.442 -0.815  0.433 -0.923  0.356 -1.000  0.279 -1.077  0.184 -1.124  0.081 -1.160  -0.021 -1.196  -0.129 -1.201  -0.237 -1.201  -0.346 -1.201  -0.454 -1.192  -0.562 -1.178  -0.668 -1.157  -0.768 -1.114
2#apb#apb15#app1529/u  -1.156 0.419  -1.177 0.461  -1.156 0.374  -1.156 0.281  -1.156 0.189  -1.156 0.097  -1.156 0.004  -1.135 -0.085  -1.109 -0.174  -1.082 -0.262  -1.046 -0.345  -0.980 -0.410  -0.915 -0.475  -0.850 -0.541  -0.762 -0.567  -0.672 -0.589  -0.583 -0.612  -0.493 -0.634  -0.401 -0.640  -0.309 -0.640  -0.217 -0.640  -0.124 -0.640  -0.033 -0.630  0.056 -0.605  0.145 -0.579  0.233 -0.554  0.322 -0.529  0.402 -0.487  0.470 -0.425  0.539 -0.363  0.608 -0.301  0.676 -0.239  0.728 -0.163  0.777 -0.085  0.827 -0.007  0.876 0.071  0.907 0.156  0.920 0.248  0.933 0.339  0.946 0.431  0.959 0.522  0.949 0.613  0.933 0.704  0.916 0.795  0.900 0.886  0.851 0.964  0.802 1.043  0.753 1.121  0.716 1.206  0.682 1.291
