1c#pri#pri0#150/b  -0.675 1.729  -0.697 1.731  -0.697 1.590  -0.697 1.449  -0.697 1.309  -0.697 1.168  -0.694 1.027  -0.683 0.887  -0.675 0.746  -0.675 0.606  -0.675 0.465  -0.652 0.326  -0.629 0.187  -0.619 0.047  -0.607 -0.093  -0.580 -0.231  -0.557 -0.370  -0.542 -0.510  -0.519 -0.649  -0.502 -0.787  -0.404 -0.747  -0.341 -0.621  -0.303 -0.486  -0.259 -0.352  -0.205 -0.222  -0.145 -0.095  -0.072 0.025  0.010 0.139  0.118 0.222  0.251 0.270  0.388 0.287  0.529 0.287  0.667 0.265  0.794 0.208  0.908 0.126  1.016 0.037  1.103 -0.074  1.158 -0.203  1.166 -0.342  1.137 -0.479  1.059 -0.596  0.954 -0.689  0.843 -0.775  0.727 -0.854  0.601 -0.917  0.472 -0.975  0.340 -1.021  0.202 -1.045  0.062 -1.045  -0.009 -0.956
1c#pri#pri0#150/c  0.734 0.428  0.734 0.530  0.734 0.632  0.718 0.732  0.688 0.829  0.664 0.928  0.587 0.991  0.499 1.041  0.408 1.086  0.306 1.089  0.204 1.089  0.102 1.089  0.006 1.070  -0.082 1.017  -0.169 0.964  -0.253 0.907  -0.338 0.851  -0.404 0.775  -0.461 0.691  -0.517 0.605  -0.562 0.514  -0.608 0.423  -0.650 0.330  -0.690 0.236  -0.730 0.143  -0.747 0.042  -0.761 -0.059  -0.759 -0.158  -0.731 -0.256  -0.703 -0.354  -0.658 -0.445  -0.608 -0.534  -0.557 -0.622  -0.479 -0.686  -0.396 -0.745  -0.313 -0.804  -0.221 -0.847  -0.127 -0.885  -0.032 -0.923  0.063 -0.961  0.162 -0.985  0.261 -1.008  0.360 -1.031  0.460 -1.054  0.559 -1.076  0.660 -1.091  0.761 -1.105  0.862 -1.120  0.963 -1.134  1.064 -1.148
1c#pri#pri0#150/d  0.075 -1.395  0.075 -1.183  0.075 -0.971  0.108 -0.763  0.128 -0.552  0.128 -0.341  0.121 -0.129  0.049 0.065  -0.101 0.207  -0.305 0.245  -0.503 0.176  -0.687 0.071  -0.861 -0.049  -0.980 -0.223  -1.094 -0.399  -1.165 -0.599  -1.174 -0.809  -1.114 -1.003  -0.922 -1.050  -0.715 -1.021  -0.512 -0.959  -0.323 -0.867  -0.152 -0.743  -0.025 -0.574  0.074 -0.387  0.141 -0.187  0.193 0.018  0.234 0.226  0.269 0.435  0.287 0.645  0.287 0.857  0.287 1.069  0.287 1.280  0.287 1.492  0.287 1.704  0.287 1.830  0.287 1.618  0.287 1.406  0.287 1.194  0.302 0.983  0.320 0.772  0.339 0.561  0.375 0.353  0.423 0.146  0.480 -0.057  0.559 -0.254  0.649 -0.445  0.755 -0.628  0.882 -0.798  1.005 -0.970
1c#pri#pri0#150/j  -0.086 0.912  -0.041 0.795  -0.009 0.671  0.022 0.547  0.050 0.422  0.078 0.297  0.109 0.173  0.141 0.049  0.175 -0.074  0.207 -0.198  0.237 -0.323  0.265 -0.447  0.293 -0.572  0.319 -0.698  0.343 -0.823  0.361 -0.950  0.368 -1.077  0.363 -1.205  0.341 -1.330  0.277 -1.437  0.168 -1.501  0.042 -1.503  -0.048 -1.426  -0.055 -1.298  -0.062 -1.170  -0.069 -1.043  -0.076 -0.915  -0.083 -0.787  -0.090 -0.659  -0.098 -0.532  -0.105 -0.404  -0.112 -0.276  -0.119 -0.148  -0.126 -0.021  -0.133 0.107  -0.140 0.235  -0.147 0.363  -0.155 0.490  -0.162 0.618  -0.169 0.746  -0.176 0.874  -0.183 1.002  -0.190 1.129  -0.197 1.257  -0.204 1.385  -0.212 1.513  -0.219 1.640  -0.226 1.768  -0.233 1.896  -0.233 1.928
1c#pri#pri0#150/k  -0.898 2.031  -0.852 1.876  -0.843 1.714  -0.808 1.554  -0.778 1.393  -0.750 1.232  -0.723 1.071  -0.697 0.909  -0.672 0.747  -0.649 0.585  -0.626 0.423  -0.600 0.262  -0.574 0.100  -0.562 -0.063  -0.545 -0.225  -0.519 -0.387  -0.492 -0.548  -0.465 -0.709  -0.446 -0.872  -0.384 -0.934  -0.249 -0.841  -0.114 -0.749  0.021 -0.656  0.156 -0.564  0.291 -0.471  0.426 -0.379  0.561 -0.286  0.695 -0.193  0.830 -0.101  0.965 -0.008  1.100 0.084  1.035 0.181  0.883 0.234  0.721 0.253  0.557 0.253  0.401 0.209  0.241 0.177  0.097 0.100  -0.019 -0.013  -0.115 -0.145  -0.122 -0.304  -0.052 -0.450  0.061 -0.568  0.193 -0.663  0.335 -0.744  0.481 -0.818  0.638 -0.862  0.798 -0.898  0.954 -0.946  1.111 -0.994
1c#pri#pri0#150/l  0.121 1.668  0.092 1.628  0.092 1.558  0.092 1.488  0.090 1.419  0.081 1.350  0.072 1.280  0.064 1.211  0.053 1.143  0.041 1.074  0.030 1.005  0.018 0.936  0.007 0.868  -0.003 0.799  -0.012 0.730  -0.021 0.661  -0.031 0.592  -0.040 0.523  -0.049 0.454  -0.054 0.384  -0.054 0.315  -0.054 0.245  -0.054 0.175  -0.054 0.106  -0.054 0.036  -0.054 -0.034  -0.054 -0.103  -0.054 -0.173  -0.054 -0.243  -0.054 -0.312  -0.054 -0.382  -0.054 -0.452  -0.054 -0.521  -0.054 -0.591  -0.054 -0.661  -0.054 -0.730  -0.054 -0.800  -0.050 -0.869  -0.041 -0.938  -0.032 -1.007  -0.023 -1.077  -0.013 -1.146  -0.004 -1.215  0.006 -1.283  0.025 -1.350  0.044 -1.417  0.063 -1.484  0.082 -1.551  0.102 -1.618  0.121 -1.685
1c#pri#pri0#150/n  -1.430 0.652  -1.415 0.567  -1.384 0.488  -1.340 0.415  -1.308 0.335  -1.270 0.258  -1.226 0.184  -1.175 0.115  -1.121 0.048  -1.063 -0.016  -1.002 -0.076  -0.941 -0.137  -0.880 -0.198  -0.819 -0.259  -0.755 -0.316  -0.685 -0.366  -0.619 -0.419  -0.536 -0.440  -0.456 -0.417  -0.383 -0.370  -0.320 -0.312  -0.259 -0.251  -0.198 -0.190  -0.137 -0.130  -0.076 -0.069  -0.015 -0.008  0.046 0.053  0.108 0.113  0.177 0.165  0.241 0.221  0.305 0.278  0.382 0.316  0.466 0.324  0.553 0.324  0.637 0.316  0.717 0.284  0.794 0.246  0.868 0.201  0.936 0.149  1.002 0.094  1.067 0.038  1.128 -0.023  1.189 -0.084  1.254 -0.140  1.323 -0.192  1.392 -0.243  1.459 -0.297  1.524 -0.354  1.589 -0.410  1.654 -0.467
1c#pri#pri0#150/o  -0.326 0.815  -0.421 0.907  -0.553 0.897  -0.678 0.854  -0.795 0.792  -0.909 0.723  -1.003 0.630  -1.083 0.524  -1.157 0.414  -1.206 0.290  -1.218 0.159  -1.209 0.027  -1.188 -0.104  -1.115 -0.215  -1.033 -0.318  -0.932 -0.405  -0.828 -0.486  -0.706 -0.540  -0.585 -0.594  -0.457 -0.628  -0.328 -0.660  -0.199 -0.692  -0.066 -0.692  0.067 -0.692  0.200 -0.692  0.333 -0.692  0.466 -0.692  0.599 -0.686  0.729 -0.662  0.860 -0.638  0.987 -0.599  1.111 -0.552  1.207 -0.466  1.281 -0.358  1.323 -0.231  1.318 -0.102  1.274 0.020  1.189 0.122  1.093 0.212  0.986 0.292  0.876 0.365  0.753 0.414  0.629 0.463  0.499 0.485  0.367 0.497  0.234 0.507  0.101 0.507  -0.031 0.507  -0.164 0.493  -0.295 0.477
1c#pri#pri0#150/s  -1.113 -0.822  -1.177 -0.757  -1.218 -0.676  -1.232 -0.587  -1.232 -0.495  -1.232 -0.404  -1.221 -0.314  -1.192 -0.226  -1.159 -0.141  -1.118 -0.059  -1.077 0.023  -1.021 0.096  -0.963 0.167  -0.904 0.238  -0.836 0.299  -0.767 0.360  -0.691 0.410  -0.609 0.451  -0.526 0.489  -0.437 0.512  -0.348 0.534  -0.258 0.546  -0.166 0.546  -0.074 0.546  0.017 0.539  0.109 0.530  0.198 0.512  0.285 0.483  0.372 0.454  0.454 0.412  0.533 0.366  0.612 0.320  0.688 0.268  0.764 0.216  0.838 0.162  0.907 0.101  0.975 0.040  1.040 -0.025  1.100 -0.094  1.157 -0.165  1.203 -0.245  1.243 -0.327  1.261 -0.414  1.230 -0.495  1.151 -0.542  1.066 -0.577  0.976 -0.584  0.885 -0.578  0.794 -0.565  0.711 -0.525
1c#pri#pri0#150/t  -0.041 1.449  -0.104 1.299  -0.139 1.112  -0.149 0.922  -0.144 0.732  -0.123 0.542  -0.102 0.353  -0.081 0.163  -0.036 -0.022  0.014 -0.206  0.078 -0.385  0.149 -0.562  0.249 -0.723  0.363 -0.875  0.502 -1.005  0.648 -1.127  0.810 -1.228  0.977 -1.317  1.158 -1.377  1.169 -1.338  1.029 -1.210  0.888 -1.081  0.748 -0.952  0.607 -0.823  0.466 -0.695  0.326 -0.566  0.185 -0.437  0.044 -0.309  -0.096 -0.180  -0.237 -0.051  -0.377 0.078  -0.518 0.206  -0.659 0.335  -0.799 0.464  -0.968 0.521  -1.158 0.521  -1.349 0.521  -1.399 0.521  -1.208 0.521  -1.018 0.521  -0.827 0.521  -0.637 0.534  -0.446 0.547  -0.256 0.559  -0.066 0.571  0.124 0.583  0.315 0.593  0.505 0.593  0.696 0.593  0.887 0.593
1c#pri#pri0#150/u  -1.106 1.109  -1.116 1.020  -1.149 0.936  -1.171 0.848  -1.176 0.758  -1.176 0.667  -1.163 0.577  -1.149 0.488  -1.126 0.400  -1.098 0.314  -1.067 0.229  -1.010 0.158  -0.953 0.087  -0.896 0.017  -0.837 -0.053  -0.779 -0.123  -0.711 -0.181  -0.635 -0.231  -0.559 -0.282  -0.479 -0.324  -0.398 -0.364  -0.314 -0.398  -0.225 -0.411  -0.135 -0.424  -0.044 -0.430  0.047 -0.430  0.137 -0.430  0.228 -0.430  0.318 -0.423  0.406 -0.401  0.478 -0.349  0.540 -0.284  0.587 -0.206  0.634 -0.128  0.684 -0.052  0.724 0.028  0.756 0.113  0.782 0.198  0.856 0.234  0.920 0.184  0.972 0.110  1.029 0.039  1.086 -0.032  1.144 -0.101  1.204 -0.170  1.263 -0.239  1.323 -0.307  1.387 -0.371  1.452 -0.435  1.516 -0.500
