1c#apa#apa10#app1039/b  0.094 1.353  0.094 1.483  0.094 1.613  0.051 1.700  -0.079 1.700  -0.120 1.578  -0.161 1.454  -0.203 1.331  -0.244 1.207  -0.281 1.083  -0.316 0.958  -0.352 0.833  -0.388 0.708  -0.424 0.582  -0.459 0.457  -0.495 0.332  -0.531 0.207  -0.566 0.082  -0.600 -0.043  -0.600 -0.173  -0.600 -0.303  -0.584 -0.431  -0.543 -0.554  -0.502 -0.678  -0.461 -0.801  -0.411 -0.919  -0.319 -1.011  -0.219 -1.089  -0.095 -1.130  0.028 -1.171  0.152 -1.212  0.273 -1.246  0.365 -1.154  0.457 -1.062  0.549 -0.970  0.604 -0.869  0.562 -0.746  0.521 -0.622  0.480 -0.499  0.436 -0.377  0.344 -0.285  0.245 -0.209  0.115 -0.209  0.203 -0.209  0.332 -0.194  0.458 -0.162  0.584 -0.130  0.710 -0.099  0.836 -0.067  0.962 -0.036
1c#apa#apa10#app1039/o  0.080 0.723  -0.048 0.723  -0.177 0.723  -0.306 0.723  -0.435 0.723  -0.564 0.723  -0.692 0.723  -0.758 0.621  -0.816 0.506  -0.873 0.391  -0.931 0.275  -0.969 0.156  -0.969 0.027  -0.969 -0.102  -0.969 -0.231  -0.969 -0.360  -0.969 -0.488  -0.969 -0.617  -0.969 -0.746  -0.945 -0.851  -0.816 -0.851  -0.687 -0.851  -0.559 -0.851  -0.430 -0.851  -0.301 -0.851  -0.173 -0.848  -0.051 -0.807  0.072 -0.766  0.194 -0.726  0.316 -0.685  0.438 -0.644  0.560 -0.603  0.663 -0.531  0.754 -0.440  0.845 -0.349  0.936 -0.257  1.027 -0.166  1.118 -0.075  1.130 0.049  1.130 0.178  1.130 0.306  1.130 0.435  1.057 0.534  0.966 0.625  0.875 0.716  0.784 0.807  0.693 0.898  0.600 0.986  0.472 0.986  0.343 0.986
1c#apa#apa10#app1039/x  -1.154 0.412  -1.292 0.550  -1.296 0.633  -1.100 0.633  -0.906 0.624  -0.721 0.562  -0.535 0.500  -0.350 0.438  -0.271 0.299  -0.271 0.104  -0.271 -0.092  -0.271 -0.287  -0.281 -0.476  -0.456 -0.564  -0.631 -0.651  -0.811 -0.725  -0.997 -0.787  -1.182 -0.849  -1.368 -0.910  -1.241 -0.779  -1.089 -0.660  -0.915 -0.572  -0.740 -0.485  -0.565 -0.397  -0.390 -0.310  -0.215 -0.223  -0.040 -0.135  0.135 -0.048  0.310 0.040  0.484 0.127  0.659 0.215  0.834 0.302  1.009 0.390  1.184 0.477  1.359 0.564  1.452 0.633  1.257 0.633  1.061 0.633  0.866 0.633  0.670 0.633  0.551 0.509  0.463 0.335  0.407 0.160  0.495 -0.015  0.582 -0.190  0.737 -0.281  0.926 -0.329  1.116 -0.376  1.306 -0.424  1.495 -0.471
1c#apa#apa10#app1039/s  -0.939 -0.460  -1.073 -0.460  -1.208 -0.460  -1.342 -0.460  -1.476 -0.460  -1.499 -0.434  -1.378 -0.374  -1.258 -0.314  -1.139 -0.253  -1.027 -0.179  -0.915 -0.104  -0.804 -0.030  -0.692 0.045  -0.580 0.119  -0.497 0.219  -0.437 0.339  -0.377 0.459  -0.306 0.564  -0.174 0.591  -0.043 0.617  0.089 0.643  0.221 0.670  0.352 0.696  0.484 0.722  0.616 0.749  0.748 0.764  0.883 0.764  1.017 0.764  1.137 0.729  1.231 0.634  1.297 0.532  1.254 0.405  1.212 0.278  1.169 0.150  1.127 0.023  1.063 -0.091  0.968 -0.186  0.873 -0.281  0.778 -0.376  0.680 -0.467  0.560 -0.527  0.440 -0.587  0.320 -0.647  0.190 -0.664  0.056 -0.664  -0.078 -0.664  -0.213 -0.664  -0.341 -0.650  -0.436 -0.555  -0.531 -0.460
1c#apa#apa10#app1039/a  0.725 0.889  0.576 0.889  0.426 0.889  0.277 0.889  0.128 0.889  -0.015 0.863  -0.149 0.796  -0.282 0.729  -0.416 0.662  -0.549 0.596  -0.677 0.520  -0.782 0.414  -0.888 0.309  -0.993 0.203  -1.099 0.098  -1.204 -0.008  -1.310 -0.113  -1.341 -0.250  -1.341 -0.399  -1.281 -0.488  -1.132 -0.488  -0.982 -0.488  -0.833 -0.488  -0.684 -0.488  -0.569 -0.405  -0.463 -0.300  -0.358 -0.194  -0.242 -0.101  -0.118 -0.018  0.006 0.065  0.130 0.148  0.254 0.231  0.378 0.313  0.503 0.396  0.627 0.479  0.725 0.513  0.725 0.363  0.725 0.214  0.725 0.065  0.725 -0.084  0.753 -0.229  0.800 -0.371  0.847 -0.512  0.895 -0.654  0.942 -0.795  0.989 -0.937  1.036 -1.079  1.115 -1.177  1.264 -1.177  1.413 -1.177
1c#apa#apa10#app1039/i  -0.920 -0.090  -0.920 -0.187  -0.920 -0.284  -0.920 -0.381  -0.920 -0.478  -0.920 -0.576  -0.859 -0.647  -0.790 -0.716  -0.721 -0.785  -0.647 -0.846  -0.560 -0.890  -0.473 -0.933  -0.386 -0.977  -0.300 -1.020  -0.213 -1.064  -0.126 -1.057  -0.039 -1.013  0.048 -0.970  0.135 -0.926  0.222 -0.883  0.309 -0.839  0.332 -0.750  0.346 -0.653  0.359 -0.557  0.373 -0.461  0.387 -0.365  0.401 -0.269  0.414 -0.172  0.428 -0.076  0.442 0.020  0.456 0.116  0.469 0.212  0.483 0.309  0.497 0.405  0.511 0.501  0.524 0.597  0.538 0.694  0.552 0.790  0.566 0.886  0.511 0.959  0.442 1.028  0.374 1.097  0.305 1.166  0.236 1.234  0.168 1.303  0.099 1.372  0.030 1.440  -0.039 1.509  -0.107 1.578  -0.176 1.647
1c#apa#apa10#app1039/d  0.488 -0.462  0.358 -0.331  0.227 -0.201  0.073 -0.128  -0.111 -0.128  -0.296 -0.128  -0.480 -0.128  -0.657 -0.176  -0.832 -0.235  -1.007 -0.293  -1.069 -0.464  -1.127 -0.639  -1.180 -0.815  -1.163 -0.995  -1.080 -1.160  -0.981 -1.285  -0.806 -1.227  -0.631 -1.169  -0.471 -1.087  -0.342 -0.956  -0.247 -0.797  -0.152 -0.639  -0.057 -0.481  0.038 -0.323  0.133 -0.165  0.207 0.003  0.276 0.175  0.344 0.346  0.413 0.517  0.481 0.688  0.528 0.867  0.573 1.045  0.618 1.224  0.655 1.404  0.655 1.589  0.608 1.659  0.486 1.524  0.455 1.343  0.425 1.161  0.395 0.979  0.364 0.797  0.334 0.615  0.321 0.431  0.321 0.247  0.321 0.063  0.381 -0.110  0.450 -0.282  0.518 -0.453  0.587 -0.624  0.655 -0.795
1c#apa#apa10#app1039/t  0.536 1.486  0.422 1.600  0.309 1.674  0.195 1.560  0.100 1.434  0.040 1.285  -0.019 1.135  -0.079 0.986  -0.139 0.837  -0.198 0.687  -0.258 0.538  -0.323 0.391  -0.395 0.247  -0.467 0.103  -0.539 -0.040  -0.611 -0.184  -0.682 -0.328  -0.709 -0.483  -0.709 -0.644  -0.709 -0.804  -0.709 -0.965  -0.709 -1.126  -0.633 -1.211  -0.472 -1.211  -0.311 -1.211  -0.150 -1.211  0.011 -1.211  0.172 -1.211  0.331 -1.208  0.445 -1.094  0.559 -0.980  0.672 -0.867  0.786 -0.753  0.900 -0.639  0.882 -0.533  0.756 -0.432  0.631 -0.332  0.505 -0.232  0.380 -0.131  0.254 -0.031  0.128 0.070  0.003 0.170  -0.107 0.283  -0.179 0.427  -0.251 0.571  -0.229 0.657  -0.068 0.657  0.093 0.657  0.215 0.750  0.329 0.864
1c#apa#apa10#app1039/s  -1.466 -0.099  -1.466 -0.224  -1.464 -0.344  -1.375 -0.255  -1.287 -0.167  -1.198 -0.078  -1.110 0.010  -1.021 0.099  -0.917 0.148  -0.791 0.148  -0.684 0.190  -0.595 0.278  -0.507 0.367  -0.418 0.455  -0.330 0.544  -0.241 0.632  -0.126 0.677  -0.007 0.717  0.112 0.756  0.231 0.796  0.349 0.835  0.468 0.875  0.591 0.888  0.716 0.888  0.816 0.828  0.905 0.739  0.993 0.651  1.003 0.530  1.003 0.404  1.003 0.279  1.003 0.154  1.003 0.029  1.003 -0.096  1.003 -0.221  1.002 -0.346  0.898 -0.416  0.794 -0.485  0.690 -0.555  0.586 -0.624  0.482 -0.693  0.377 -0.763  0.273 -0.832  0.150 -0.840  0.025 -0.840  -0.100 -0.840  -0.225 -0.840  -0.350 -0.840  -0.475 -0.840  -0.600 -0.840  -0.726 -0.840
1c#apa#apa10#app1039/n  -0.382 0.229  -0.382 0.370  -0.401 0.466  -0.502 0.366  -0.602 0.266  -0.702 0.166  -0.802 0.066  -0.898 -0.037  -0.942 -0.171  -0.987 -0.305  -1.032 -0.439  -1.077 -0.574  -1.121 -0.708  -1.150 -0.845  -1.150 -0.986  -1.074 -1.051  -0.932 -1.051  -0.821 -0.978  -0.721 -0.878  -0.625 -0.774  -0.546 -0.657  -0.468 -0.539  -0.389 -0.421  -0.311 -0.304  -0.232 -0.186  -0.154 -0.068  -0.061 0.038  0.039 0.138  0.139 0.238  0.239 0.338  0.339 0.438  0.439 0.538  0.539 0.638  0.639 0.738  0.739 0.838  0.839 0.938  0.956 0.997  1.097 0.997  1.153 0.911  1.153 0.770  1.153 0.628  1.153 0.487  1.153 0.345  1.136 0.211  1.035 0.111  0.935 0.011  0.897 -0.115  0.897 -0.256  0.897 -0.397  0.897 -0.539
1c#apa#apa10#app1039/o  -0.072 0.625  -0.203 0.625  -0.333 0.623  -0.426 0.531  -0.519 0.438  -0.611 0.346  -0.704 0.253  -0.796 0.160  -0.853 0.053  -0.853 -0.078  -0.877 -0.203  -0.935 -0.321  -0.994 -0.438  -1.052 -0.555  -1.111 -0.672  -1.026 -0.766  -0.933 -0.858  -0.835 -0.938  -0.704 -0.938  -0.573 -0.938  -0.442 -0.938  -0.311 -0.938  -0.180 -0.938  -0.049 -0.938  0.082 -0.938  0.203 -0.919  0.282 -0.814  0.360 -0.709  0.439 -0.604  0.517 -0.500  0.596 -0.395  0.675 -0.290  0.753 -0.185  0.832 -0.080  0.910 0.024  0.970 0.135  0.970 0.266  0.970 0.397  0.970 0.528  0.970 0.659  0.970 0.790  0.935 0.896  0.811 0.938  0.687 0.979  0.563 1.021  0.438 1.062  0.314 1.104  0.190 1.145  0.059 1.145  -0.072 1.145
