2#app#app26#app2628/T  0.418 0.941  0.418 0.780  0.368 0.639  0.292 0.510  0.230 0.374  0.165 0.240  0.091 0.110  0.039 -0.030  -0.048 -0.155  -0.162 -0.269  -0.213 -0.409  -0.301 -0.534  -0.339 -0.679  -0.439 -0.799  -0.466 -0.949  -0.466 -1.110  -0.466 -1.272  -0.568 -1.330  -0.603 -1.456  -0.715 -1.410  -0.706 -1.249  -0.696 -1.088  -0.687 -0.927  -0.677 -0.766  -0.668 -0.605  -0.658 -0.445  -0.649 -0.284  -0.639 -0.123  -0.630 0.038  -0.621 0.199  -0.611 0.360  -0.602 0.521  -0.592 0.682  -0.438 0.689  -0.277 0.689  -0.115 0.689  -0.080 0.563  0.069 0.533  0.190 0.436  0.351 0.436  0.512 0.436  0.635 0.528  0.782 0.563  0.943 0.563  1.088 0.602  1.213 0.689  1.374 0.689  1.504 0.765  1.644 0.815  1.806 0.815
2#app#app26#app2628/w  -0.323 1.156  -0.465 1.014  -0.607 0.872  -0.729 0.723  -0.754 0.547  -0.932 0.525  -0.932 0.324  -0.932 0.124  -0.947 -0.062  -1.135 -0.074  -1.145 -0.265  -1.338 -0.272  -1.338 -0.472  -1.337 -0.671  -1.136 -0.671  -0.936 -0.671  -0.793 -0.532  -0.651 -0.390  -0.503 -0.265  -0.308 -0.250  -0.167 -0.108  -0.025 0.033  0.083 0.189  0.115 0.376  0.257 0.518  0.446 0.547  0.646 0.547  0.537 0.547  0.381 0.439  0.240 0.298  0.098 0.156  0.083 -0.038  0.083 -0.239  -0.091 -0.265  -0.120 -0.437  -0.120 -0.637  0.046 -0.671  0.247 -0.671  0.447 -0.671  0.601 -0.559  0.764 -0.468  0.895 -0.399  0.942 -0.218  1.084 -0.076  1.279 -0.062  1.479 -0.062  1.628 0.062  1.707 0.230  1.768 0.405  1.910 0.547
2#app#app26#app2628/o  -0.101 0.892  -0.213 0.780  -0.325 0.668  -0.437 0.557  -0.549 0.445  -0.660 0.333  -0.772 0.221  -0.830 0.087  -0.830 -0.071  -0.830 -0.229  -0.830 -0.387  -0.830 -0.545  -0.830 -0.703  -0.830 -0.861  -0.830 -1.019  -0.740 -1.140  -0.628 -1.252  -0.487 -1.293  -0.344 -1.278  -0.344 -1.120  -0.256 -1.051  -0.098 -1.051  0.060 -1.051  0.141 -0.974  0.141 -0.816  0.141 -0.658  0.207 -0.565  0.365 -0.565  0.482 -0.467  0.594 -0.355  0.706 -0.243  0.818 -0.131  0.870 0.005  0.870 0.163  0.870 0.321  0.870 0.479  0.870 0.637  0.870 0.795  0.870 0.953  0.870 1.112  0.735 1.135  0.577 1.135  0.419 1.135  0.384 1.011  0.346 0.892  0.187 0.892  0.029 0.892  -0.121 0.873  -0.232 0.761  -0.344 0.649
2#app#app26#app2628/f  1.368 1.534  1.228 1.441  1.088 1.348  0.948 1.254  0.795 1.203  0.626 1.203  0.482 1.145  0.363 1.026  0.244 0.907  0.125 0.788  0.005 0.669  -0.114 0.549  -0.123 0.385  -0.123 0.216  -0.123 0.048  -0.123 -0.121  -0.123 -0.289  -0.120 -0.456  -0.001 -0.576  0.043 -0.726  0.043 -0.894  0.043 -1.063  -0.038 -1.198  -0.157 -1.248  -0.276 -1.129  -0.440 -1.117  -0.608 -1.117  -0.777 -1.117  -0.945 -1.117  -0.928 -0.956  -0.905 -0.789  -0.881 -0.623  -0.857 -0.456  -0.833 -0.289  -0.809 -0.122  -0.785 0.044  -0.666 0.163  -0.546 0.282  -0.427 0.348  -0.308 0.228  -0.148 0.209  -0.123 0.065  0.023 0.043  0.192 0.043  0.360 0.043  0.529 0.043  0.697 0.043  0.866 0.043  1.034 0.043  1.203 0.043
2#app#app26#app2628/l  1.272 0.995  1.198 0.995  1.123 0.995  1.062 0.982  1.062 0.908  1.062 0.834  1.044 0.767  0.992 0.715  0.939 0.662  0.887 0.610  0.827 0.575  0.753 0.575  0.679 0.575  0.616 0.548  0.563 0.496  0.511 0.444  0.458 0.391  0.395 0.365  0.321 0.365  0.247 0.365  0.187 0.330  0.135 0.277  0.082 0.225  0.030 0.173  -0.023 0.120  -0.075 0.068  -0.127 0.015  -0.180 -0.037  -0.232 -0.090  -0.285 -0.142  -0.337 -0.194  -0.389 -0.247  -0.442 -0.299  -0.494 -0.352  -0.547 -0.404  -0.599 -0.457  -0.652 -0.509  -0.704 -0.561  -0.756 -0.614  -0.809 -0.666  -0.827 -0.733  -0.827 -0.807  -0.827 -0.881  -0.870 -0.937  -0.923 -0.990  -0.975 -1.042  -1.028 -1.095  -1.098 -1.104  -1.172 -1.104  -1.246 -1.104
2#app#app26#app2628/o  0.507 0.983  0.346 0.983  0.185 0.983  0.024 0.983  -0.137 0.983  -0.265 0.950  -0.265 0.789  -0.362 0.726  -0.523 0.725  -0.637 0.612  -0.750 0.498  -0.864 0.384  -0.978 0.270  -1.036 0.134  -1.036 -0.027  -1.036 -0.188  -1.036 -0.349  -1.036 -0.510  -1.036 -0.671  -1.021 -0.817  -0.860 -0.817  -0.699 -0.817  -0.538 -0.817  -0.378 -0.817  -0.265 -0.865  -0.265 -1.026  -0.152 -1.074  0.009 -1.074  0.170 -1.074  0.249 -0.993  0.249 -0.832  0.395 -0.817  0.507 -0.767  0.507 -0.606  0.507 -0.445  0.524 -0.302  0.685 -0.302  0.822 -0.244  0.936 -0.130  1.021 -0.005  1.021 0.156  1.021 0.317  1.021 0.478  1.021 0.639  0.947 0.726  0.786 0.726  0.626 0.726  0.477 0.756  0.363 0.870  0.249 0.983
2#app#app26#app2628/w  -0.732 0.895  -0.934 0.895  -0.936 0.695  -0.936 0.494  -1.131 0.487  -1.140 0.294  -1.140 0.093  -1.140 -0.109  -1.272 -0.256  -1.344 -0.428  -1.344 -0.629  -1.248 -0.735  -1.046 -0.735  -0.845 -0.735  -0.732 -0.646  -0.671 -0.470  -0.528 -0.328  -0.326 -0.328  -0.325 -0.128  -0.185 0.016  -0.042 0.159  0.083 0.308  0.105 0.487  0.301 0.502  0.444 0.644  0.490 0.827  0.490 0.761  0.490 0.559  0.361 0.487  0.286 0.360  0.198 0.195  0.083 0.041  0.083 -0.160  0.048 -0.328  -0.121 -0.360  -0.091 -0.531  0.110 -0.531  0.312 -0.531  0.514 -0.531  0.715 -0.531  0.898 -0.512  0.915 -0.328  1.101 -0.313  1.114 -0.124  1.305 -0.113  1.314 0.080  1.509 0.086  1.513 0.283  1.713 0.286  1.713 0.487
2#app#app26#app2628/e  -0.772 0.189  -0.597 0.189  -0.421 0.189  -0.246 0.189  -0.071 0.189  0.104 0.189  0.279 0.189  0.454 0.189  0.630 0.189  0.790 0.204  0.790 0.380  0.932 0.412  1.013 0.507  1.013 0.682  1.013 0.857  1.013 1.032  0.887 1.082  0.712 1.082  0.537 1.082  0.361 1.082  0.232 0.970  0.103 0.859  -0.072 0.859  -0.103 0.714  -0.189 0.592  -0.346 0.514  -0.502 0.436  -0.672 0.412  -0.825 0.359  -0.949 0.235  -0.995 0.079  -0.995 -0.096  -0.995 -0.271  -0.995 -0.446  -0.995 -0.622  -0.901 -0.703  -0.772 -0.749  -0.772 -0.924  -0.599 -0.926  -0.460 -1.015  -0.336 -1.139  -0.166 -1.149  0.010 -1.149  0.185 -1.149  0.344 -1.133  0.344 -0.958  0.487 -0.926  0.662 -0.926  0.838 -0.926  1.013 -0.926
2#app#app26#app2628/r  0.589 1.252  0.589 1.086  0.527 0.982  0.362 0.982  0.320 0.858  0.306 0.699  0.189 0.582  0.071 0.465  0.051 0.308  0.028 0.152  -0.089 0.035  -0.206 -0.082  -0.219 -0.243  -0.250 -0.395  -0.367 -0.513  -0.484 -0.630  -0.601 -0.747  -0.719 -0.864  -0.807 -1.002  -0.881 -1.150  -0.955 -1.298  -1.026 -1.435  -1.026 -1.269  -1.026 -1.103  -1.026 -0.938  -0.934 -0.810  -0.817 -0.693  -0.700 -0.576  -0.583 -0.459  -0.488 -0.333  -0.488 -0.167  -0.395 -0.095  -0.230 -0.095  -0.219 0.060  -0.168 0.175  -0.002 0.175  0.051 0.287  0.060 0.444  0.225 0.444  0.391 0.444  0.557 0.444  0.683 0.538  0.800 0.655  0.942 0.713  1.107 0.713  1.273 0.713  1.397 0.671  1.397 0.506  1.397 0.340  1.397 0.175
2#app#app26#app2628/h  0.804 1.858  0.804 1.672  0.641 1.648  0.594 1.508  0.512 1.356  0.380 1.224  0.248 1.092  0.174 0.935  0.147 0.755  0.064 0.588  -0.020 0.421  -0.142 0.282  -0.246 0.138  -0.257 -0.044  -0.389 -0.176  -0.456 -0.335  -0.525 -0.453  -0.666 -0.498  -0.666 -0.685  -0.666 -0.871  -0.852 -0.873  -0.876 -1.035  -1.015 -1.083  -1.087 -0.968  -1.022 -0.808  -0.890 -0.676  -0.876 -0.494  -0.774 -0.350  -0.642 -0.218  -0.510 -0.086  -0.345 -0.032  -0.184 0.029  -0.052 0.161  0.128 0.178  0.314 0.178  0.384 0.295  0.478 0.388  0.594 0.458  0.594 0.551  0.594 0.364  0.594 0.177  0.594 -0.009  0.594 -0.196  0.594 -0.383  0.594 -0.569  0.594 -0.756  0.594 -0.943  0.594 -1.130  0.571 -1.293  0.384 -1.293
2#app#app26#app2628/a  0.892 1.051  0.706 1.051  0.521 1.051  0.336 1.051  0.151 1.051  -0.035 1.051  -0.173 0.938  -0.306 0.813  -0.492 0.813  -0.536 0.672  -0.598 0.513  -0.729 0.382  -0.896 0.337  -1.061 0.288  -1.192 0.157  -1.353 0.099  -1.488 0.049  -1.488 -0.137  -1.488 -0.322  -1.358 -0.377  -1.173 -0.377  -0.987 -0.377  -0.802 -0.377  -0.663 -0.488  -0.530 -0.615  -0.345 -0.615  -0.160 -0.615  0.025 -0.615  0.201 -0.591  0.332 -0.460  0.483 -0.377  0.654 -0.363  0.654 -0.177  0.757 -0.035  0.888 0.096  1.019 0.227  1.100 0.337  0.915 0.337  0.892 0.175  0.814 0.022  0.683 -0.109  0.552 -0.240  0.421 -0.371  0.416 -0.554  0.416 -0.739  0.487 -0.853  0.667 -0.839  0.798 -0.708  0.944 -0.615  1.130 -0.615
