2#apb#apb18#app1834/O  0.429 -0.584  0.503 -0.436  0.557 -0.281  0.595 -0.121  0.595 0.044  0.590 0.209  0.574 0.374  0.542 0.534  0.487 0.690  0.435 0.847  0.385 1.004  0.327 1.159  0.264 1.311  0.202 1.464  0.085 1.574  -0.067 1.547  -0.159 1.410  -0.233 1.264  -0.283 1.106  -0.329 0.947  -0.374 0.789  -0.413 0.628  -0.451 0.467  -0.488 0.307  -0.516 0.144  -0.543 -0.019  -0.570 -0.182  -0.597 -0.345  -0.624 -0.508  -0.651 -0.671  -0.668 -0.835  -0.683 -1.000  -0.685 -1.165  -0.663 -1.325  -0.578 -1.461  -0.437 -1.518  -0.296 -1.431  -0.175 -1.323  -0.077 -1.190  0.021 -1.058  0.102 -0.914  0.179 -0.768  0.257 -0.622  0.329 -0.474  0.393 -0.321  0.457 -0.169  0.520 -0.017  0.559 0.143  0.592 0.305  0.580 0.469
2#apb#apb18#app1834/k  -0.048 1.504  0.003 1.351  -0.038 1.141  -0.117 0.940  -0.174 0.732  -0.225 0.522  -0.280 0.313  -0.347 0.108  -0.413 -0.098  -0.480 -0.303  -0.545 -0.509  -0.610 -0.715  -0.668 -0.923  -0.719 -1.133  -0.767 -1.344  -0.785 -1.540  -0.653 -1.376  -0.527 -1.201  -0.400 -1.026  -0.274 -0.850  -0.147 -0.675  -0.021 -0.500  0.106 -0.325  0.232 -0.150  0.359 0.025  0.485 0.200  0.612 0.375  0.738 0.551  0.865 0.726  0.991 0.901  1.118 1.076  1.201 1.221  0.991 1.175  0.781 1.125  0.576 1.072  0.406 0.941  0.239 0.804  0.089 0.649  -0.064 0.496  -0.225 0.353  -0.366 0.190  -0.493 0.015  -0.551 -0.187  -0.466 -0.384  -0.318 -0.541  -0.154 -0.681  0.027 -0.799  0.197 -0.932  0.357 -1.077  0.503 -1.236
2#apb#apb18#app1834/l  0.427 1.615  0.454 1.564  0.445 1.496  0.436 1.427  0.428 1.358  0.406 1.292  0.384 1.226  0.362 1.160  0.340 1.094  0.318 1.028  0.297 0.962  0.277 0.896  0.258 0.829  0.239 0.762  0.220 0.695  0.201 0.628  0.182 0.561  0.164 0.495  0.145 0.428  0.126 0.361  0.103 0.295  0.079 0.230  0.055 0.165  0.032 0.100  0.008 0.034  -0.016 -0.031  -0.040 -0.096  -0.064 -0.161  -0.088 -0.227  -0.111 -0.292  -0.131 -0.359  -0.151 -0.425  -0.170 -0.492  -0.190 -0.558  -0.210 -0.625  -0.230 -0.692  -0.249 -0.758  -0.269 -0.825  -0.288 -0.892  -0.306 -0.959  -0.324 -1.026  -0.341 -1.093  -0.359 -1.160  -0.377 -1.227  -0.395 -1.294  -0.403 -1.363  -0.409 -1.432  -0.416 -1.502  -0.422 -1.571  -0.428 -1.640
2#apb#apb18#app1834/a  0.267 -0.314  0.381 -0.152  0.477 0.020  0.559 0.199  0.593 0.393  0.608 0.589  0.578 0.784  0.531 0.975  0.477 1.165  0.444 1.360  0.380 1.545  0.274 1.701  0.105 1.608  -0.019 1.454  -0.127 1.289  -0.219 1.114  -0.308 0.938  -0.387 0.757  -0.465 0.576  -0.542 0.394  -0.613 0.210  -0.684 0.025  -0.754 -0.159  -0.808 -0.349  -0.862 -0.539  -0.902 -0.732  -0.927 -0.928  -0.918 -1.115  -0.740 -1.156  -0.578 -1.054  -0.433 -0.920  -0.298 -0.777  -0.162 -0.633  -0.036 -0.481  0.075 -0.318  0.187 -0.155  0.275 0.021  0.353 0.202  0.432 0.382  0.476 0.256  0.443 0.062  0.403 -0.132  0.362 -0.325  0.337 -0.521  0.313 -0.717  0.291 -0.913  0.291 -1.111  0.291 -1.308  0.291 -1.506  0.291 -1.703
2#apb#apb18#app1834/h  0.306 2.123  0.318 1.997  0.294 1.873  0.267 1.750  0.241 1.626  0.216 1.503  0.190 1.379  0.165 1.255  0.128 1.135  0.085 1.016  0.041 0.897  -0.002 0.779  -0.045 0.660  -0.084 0.540  -0.121 0.419  -0.158 0.299  -0.195 0.178  -0.232 0.057  -0.270 -0.063  -0.317 -0.181  -0.364 -0.298  -0.411 -0.415  -0.458 -0.532  -0.503 -0.650  -0.545 -0.769  -0.588 -0.888  -0.625 -1.009  -0.654 -1.132  -0.571 -1.147  -0.474 -1.067  -0.378 -0.986  -0.295 -0.890  -0.212 -0.795  -0.129 -0.700  -0.046 -0.604  0.037 -0.509  0.119 -0.414  0.197 -0.314  0.269 -0.210  0.341 -0.107  0.419 -0.029  0.472 -0.144  0.491 -0.265  0.482 -0.391  0.473 -0.517  0.459 -0.642  0.439 -0.767  0.418 -0.891  0.408 -1.017  0.401 -1.143
2#apb#apb18#app1834/o  0.037 -0.120  0.070 0.043  0.094 0.208  0.103 0.374  0.113 0.540  0.126 0.706  0.141 0.872  0.155 1.038  0.170 1.204  0.193 1.369  0.217 1.534  0.169 1.605  0.120 1.448  0.057 1.294  -0.006 1.140  -0.052 0.980  -0.095 0.819  -0.138 0.658  -0.181 0.497  -0.224 0.337  -0.276 0.178  -0.329 0.020  -0.382 -0.138  -0.434 -0.296  -0.485 -0.454  -0.534 -0.614  -0.582 -0.773  -0.631 -0.933  -0.663 -1.096  -0.687 -1.260  -0.701 -1.426  -0.631 -1.547  -0.481 -1.572  -0.343 -1.480  -0.204 -1.388  -0.082 -1.278  0.016 -1.144  0.114 -1.009  0.212 -0.874  0.307 -0.738  0.371 -0.584  0.435 -0.430  0.499 -0.276  0.563 -0.122  0.599 0.040  0.634 0.203  0.670 0.366  0.686 0.529  0.652 0.692  0.617 0.854
2#apb#apb18#app1834/m  -0.465 1.037  -0.512 0.820  -0.559 0.603  -0.606 0.386  -0.674 0.175  -0.748 -0.035  -0.821 -0.244  -0.914 -0.446  -1.008 -0.647  -1.104 -0.847  -1.204 -1.045  -1.334 -0.990  -1.234 -0.802  -1.109 -0.619  -0.982 -0.437  -0.854 -0.255  -0.726 -0.074  -0.589 0.100  -0.437 0.261  -0.285 0.423  -0.143 0.592  -0.044 0.791  0.055 0.989  0.198 1.156  0.290 1.023  0.270 0.802  0.251 0.581  0.232 0.359  0.183 0.143  0.132 -0.073  0.080 -0.289  0.003 -0.497  -0.075 -0.705  -0.102 -0.922  0.071 -0.925  0.246 -0.792  0.403 -0.635  0.542 -0.465  0.651 -0.271  0.760 -0.078  0.877 0.111  0.994 0.300  1.115 0.486  1.242 0.668  1.323 0.601  1.335 0.379  1.348 0.158  1.331 -0.063  1.310 -0.284  1.289 -0.505
2#apb#apb18#app1834/a  0.265 -0.102  0.317 0.067  0.356 0.238  0.343 0.415  0.335 0.593  0.335 0.770  0.335 0.948  0.325 1.125  0.312 1.302  0.325 1.479  0.335 1.656  0.271 1.546  0.177 1.396  0.083 1.245  -0.010 1.094  -0.102 0.942  -0.194 0.790  -0.286 0.638  -0.375 0.485  -0.464 0.331  -0.554 0.178  -0.636 0.021  -0.716 -0.138  -0.795 -0.297  -0.873 -0.456  -0.944 -0.619  -1.015 -0.781  -1.048 -0.955  -0.927 -1.042  -0.755 -1.020  -0.602 -0.931  -0.465 -0.822  -0.353 -0.684  -0.241 -0.546  -0.136 -0.404  -0.033 -0.259  0.069 -0.114  0.161 0.038  0.255 0.189  0.355 0.075  0.414 -0.092  0.472 -0.260  0.514 -0.432  0.540 -0.607  0.566 -0.783  0.628 -0.949  0.696 -1.113  0.788 -1.260  0.914 -1.386  1.040 -1.511
2#apb#apb18#app1834/C  0.725 0.763  0.675 0.841  0.625 0.920  0.560 0.987  0.491 1.049  0.428 1.118  0.370 1.191  0.318 1.268  0.276 1.351  0.219 1.414  0.187 1.326  0.155 1.238  0.127 1.149  0.099 1.060  0.071 0.971  0.043 0.882  0.015 0.793  -0.013 0.704  -0.040 0.614  -0.067 0.525  -0.093 0.435  -0.119 0.346  -0.146 0.256  -0.172 0.167  -0.199 0.077  -0.225 -0.013  -0.251 -0.102  -0.275 -0.192  -0.300 -0.283  -0.324 -0.373  -0.349 -0.463  -0.374 -0.553  -0.399 -0.643  -0.426 -0.732  -0.453 -0.821  -0.480 -0.911  -0.475 -1.004  -0.468 -1.097  -0.430 -1.179  -0.370 -1.247  -0.280 -1.271  -0.190 -1.295  -0.101 -1.295  -0.013 -1.264  0.076 -1.233  0.164 -1.202  0.242 -1.152  0.316 -1.096  0.390 -1.039  0.464 -0.982
2#apb#apb18#app1834/i  0.037 1.700  0.037 1.630  0.037 1.561  0.037 1.491  0.037 1.422  0.037 1.352  0.037 1.282  0.037 1.213  0.037 1.143  0.037 1.074  0.037 1.004  0.037 0.935  0.037 0.865  0.037 0.795  0.037 0.726  0.037 0.656  0.037 0.587  0.037 0.517  0.037 0.448  0.037 0.378  0.037 0.309  0.037 0.239  0.037 0.169  0.037 0.100  0.037 0.030  0.037 -0.039  0.037 -0.109  0.037 -0.178  0.037 -0.248  0.037 -0.318  0.037 -0.387  0.037 -0.457  0.037 -0.526  0.037 -0.596  0.037 -0.665  0.032 -0.734  0.015 -0.802  -0.002 -0.869  -0.019 -0.937  -0.036 -1.004  -0.053 -1.072  -0.069 -1.139  -0.086 -1.207  -0.103 -1.274  -0.120 -1.342  -0.137 -1.409  -0.154 -1.477  -0.171 -1.544  -0.188 -1.612  -0.204 -1.679
2#apb#apb18#app1834/t  1.599 -0.581  1.431 -0.581  1.265 -0.561  1.100 -0.533  0.934 -0.506  0.767 -0.488  0.600 -0.488  0.432 -0.488  0.264 -0.488  0.096 -0.487  -0.072 -0.478  -0.239 -0.469  -0.407 -0.460  -0.569 -0.421  -0.728 -0.368  -0.888 -0.315  -0.855 -0.188  -0.773 -0.042  -0.691 0.105  -0.608 0.251  -0.526 0.397  -0.444 0.544  -0.362 0.690  -0.279 0.836  -0.197 0.983  -0.115 1.129  -0.032 1.275  0.050 1.422  0.132 1.568  0.180 1.604  0.162 1.437  0.145 1.270  0.128 1.103  0.110 0.936  0.093 0.769  0.068 0.603  0.043 0.437  0.018 0.271  -0.007 0.105  -0.031 -0.061  -0.056 -0.227  -0.081 -0.393  -0.108 -0.559  -0.136 -0.725  -0.165 -0.890  -0.193 -1.056  -0.221 -1.221  -0.250 -1.387  -0.278 -1.552  -0.306 -1.718
