3#app#app18#app1858/[  0.961 1.066  0.961 1.175  0.879 1.202  0.770 1.202  0.668 1.183  0.591 1.105  0.498 1.066  0.388 1.066  0.279 1.066  0.169 1.066  0.060 1.066  0.005 1.012  -0.022 0.929  -0.132 0.929  -0.241 0.929  -0.269 0.847  -0.323 0.792  -0.405 0.765  -0.405 0.656  -0.405 0.546  -0.405 0.437  -0.405 0.327  -0.405 0.218  -0.405 0.108  -0.405 -0.001  -0.405 -0.111  -0.405 -0.220  -0.405 -0.330  -0.405 -0.439  -0.405 -0.548  -0.405 -0.658  -0.405 -0.767  -0.405 -0.877  -0.405 -0.986  -0.405 -1.096  -0.405 -1.205  -0.365 -1.217  -0.288 -1.140  -0.269 -1.038  -0.213 -0.984  -0.104 -0.984  0.006 -0.984  0.115 -0.984  0.224 -0.984  0.318 -0.945  0.395 -0.867  0.496 -0.848  0.606 -0.848  0.715 -0.848  0.825 -0.848
3#app#app18#app1858/O  0.065 1.065  -0.029 1.159  -0.122 1.253  -0.149 1.185  -0.162 1.065  -0.295 1.065  -0.409 1.020  -0.503 0.926  -0.596 0.832  -0.690 0.738  -0.784 0.645  -0.793 0.515  -0.793 0.383  -0.793 0.250  -0.793 0.117  -0.793 -0.015  -0.793 -0.148  -0.793 -0.280  -0.793 -0.413  -0.793 -0.546  -0.773 -0.670  -0.679 -0.764  -0.585 -0.858  -0.455 -0.865  -0.364 -0.906  -0.364 -1.038  -0.272 -1.079  -0.139 -1.079  -0.007 -1.079  0.108 -1.036  0.202 -0.943  0.303 -0.865  0.435 -0.865  0.546 -0.813  0.640 -0.719  0.734 -0.625  0.828 -0.531  0.921 -0.438  0.923 -0.305  0.923 -0.173  0.923 -0.040  0.923 0.092  0.923 0.225  0.923 0.358  0.874 0.470  0.780 0.564  0.708 0.667  0.708 0.800  0.627 0.850  0.494 0.850
3#app#app18#app1858/R  -0.432 0.818  -0.432 0.999  -0.432 0.767  -0.432 0.535  -0.432 0.304  -0.432 0.072  -0.432 -0.160  -0.432 -0.391  -0.432 -0.623  -0.432 -0.855  -0.432 -1.086  -0.432 -1.318  -0.441 -1.345  -0.460 -1.115  -0.479 -0.884  -0.498 -0.653  -0.518 -0.422  -0.537 -0.191  -0.556 0.040  -0.575 0.271  -0.594 0.501  -0.614 0.732  -0.633 0.963  -0.468 1.024  -0.432 1.220  -0.210 1.230  0.021 1.230  0.253 1.230  0.485 1.230  0.716 1.230  0.804 1.086  0.804 0.854  0.804 0.622  0.647 0.456  0.483 0.292  0.320 0.128  0.143 -0.006  -0.088 -0.006  -0.160 -0.072  0.014 -0.212  0.186 -0.272  0.272 -0.418  0.392 -0.529  0.529 -0.624  0.598 -0.786  0.786 -0.829  0.955 -0.981  1.010 -1.190  1.010 -1.422  1.216 -1.447
3#app#app18#app1858/E  -0.613 0.715  -0.548 0.449  -0.411 0.213  -0.411 -0.080  -0.468 -0.349  -0.613 -0.582  -0.613 -0.874  -0.544 -1.099  -0.426 -0.939  -0.452 -0.648  -0.479 -0.357  -0.505 -0.065  -0.532 0.226  -0.558 0.518  -0.585 0.809  -0.611 1.101  -0.411 1.192  -0.246 1.319  0.047 1.319  0.340 1.319  0.632 1.319  0.925 1.319  1.188 1.308  0.967 1.115  0.747 0.922  0.527 0.730  0.307 0.537  0.086 0.344  -0.134 0.151  -0.354 -0.041  -0.199 -0.080  0.015 0.110  0.307 0.110  0.600 0.110  0.865 0.043  0.905 -0.133  0.637 -0.252  0.370 -0.371  0.103 -0.490  -0.165 -0.609  -0.432 -0.727  -0.700 -0.846  -0.814 -1.065  -0.556 -1.099  -0.263 -1.099  0.030 -1.099  0.322 -1.099  0.615 -1.099  0.908 -1.099  1.200 -1.099
3#app#app18#app1858/L  -0.351 1.149  -0.351 1.251  -0.351 1.352  -0.430 1.375  -0.532 1.375  -0.522 1.375  -0.421 1.375  -0.351 1.343  -0.351 1.241  -0.351 1.140  -0.351 1.038  -0.351 0.936  -0.351 0.834  -0.351 0.733  -0.351 0.631  -0.351 0.529  -0.351 0.428  -0.351 0.326  -0.351 0.224  -0.351 0.122  -0.351 0.021  -0.351 -0.081  -0.351 -0.183  -0.351 -0.285  -0.351 -0.386  -0.351 -0.488  -0.351 -0.590  -0.351 -0.691  -0.351 -0.793  -0.347 -0.890  -0.245 -0.890  -0.143 -0.890  -0.042 -0.890  0.060 -0.890  0.102 -0.830  0.102 -0.728  0.139 -0.664  0.241 -0.664  0.342 -0.664  0.444 -0.664  0.546 -0.664  0.647 -0.664  0.749 -0.664  0.851 -0.664  0.953 -0.664  1.054 -0.664  1.156 -0.664  1.258 -0.664  1.360 -0.664  1.461 -0.664
3#app#app18#app1858/S  0.319 0.934  0.319 1.072  0.254 1.144  0.117 1.144  -0.020 1.144  -0.158 1.144  -0.295 1.144  -0.432 1.144  -0.555 1.109  -0.652 1.012  -0.757 0.934  -0.895 0.934  -0.940 0.842  -0.940 0.705  -0.940 0.567  -0.940 0.430  -0.927 0.305  -0.790 0.305  -0.653 0.305  -0.516 0.305  -0.378 0.305  -0.261 0.256  -0.164 0.159  -0.053 0.095  0.084 0.095  0.221 0.095  0.319 0.056  0.319 -0.082  0.424 -0.115  0.529 -0.147  0.529 -0.284  0.626 -0.324  0.739 -0.349  0.739 -0.486  0.802 -0.597  0.899 -0.694  0.949 -0.811  0.949 -0.948  0.855 -1.047  0.758 -1.144  0.629 -1.164  0.492 -1.164  0.354 -1.164  0.217 -1.164  0.088 -1.143  -0.009 -1.046  -0.108 -0.954  -0.245 -0.954  -0.383 -0.954  -0.520 -0.954
3#app#app18#app1858/E  -0.705 1.238  -0.612 1.032  -0.499 0.847  -0.499 0.548  -0.499 0.250  -0.499 -0.049  -0.499 -0.348  -0.499 -0.647  -0.499 -0.945  -0.490 -1.235  -0.309 -1.135  -0.358 -0.841  -0.407 -0.546  -0.456 -0.251  -0.505 0.043  -0.555 0.338  -0.604 0.633  -0.653 0.927  -0.702 1.222  -0.629 1.032  -0.330 1.032  -0.031 1.032  0.268 1.032  0.566 1.032  0.865 1.032  1.139 1.026  0.872 0.893  0.604 0.759  0.337 0.626  0.070 0.492  -0.197 0.358  -0.464 0.225  -0.444 0.002  -0.145 0.002  0.153 0.002  0.452 0.002  0.751 0.002  0.870 -0.073  0.659 -0.284  0.448 -0.495  0.237 -0.706  0.025 -0.918  -0.186 -1.129  -0.188 -1.130  0.069 -1.029  0.368 -1.029  0.532 -1.164  0.759 -1.235  1.058 -1.235  1.357 -1.235
3#app#app18#app1858/{  0.466 1.216  0.466 1.406  0.281 1.410  0.092 1.410  -0.098 1.410  -0.288 1.410  -0.477 1.410  -0.505 1.248  -0.505 1.059  -0.505 0.869  -0.505 0.679  -0.362 0.633  -0.311 0.494  -0.177 0.438  0.013 0.438  0.078 0.314  -0.042 0.244  -0.117 0.129  -0.227 0.050  -0.311 -0.056  -0.412 -0.145  -0.602 -0.145  -0.792 -0.145  -0.894 -0.057  -0.811 0.050  -0.622 0.050  -0.432 0.050  -0.242 0.050  -0.117 0.114  -0.057 0.244  0.117 0.205  0.251 0.071  0.272 -0.110  0.272 -0.300  0.122 -0.339  0.078 -0.485  -0.063 -0.533  -0.117 -0.670  -0.117 -0.859  -0.117 -1.049  0.006 -1.117  0.161 -1.200  0.305 -1.311  0.494 -1.311  0.684 -1.311  0.874 -1.311  1.050 -1.297  1.059 -1.117  1.249 -1.117  1.438 -1.117
3#app#app18#app1858/y  -0.927 1.108  -0.759 1.108  -0.727 0.972  -0.727 0.804  -0.777 0.657  -0.895 0.538  -0.927 0.383  -0.927 0.216  -0.869 0.106  -0.727 0.080  -0.727 -0.088  -0.565 -0.094  -0.397 -0.094  -0.229 -0.094  -0.061 -0.094  0.075 -0.063  0.075 0.105  0.242 0.106  0.275 0.241  0.275 0.409  0.275 0.577  0.302 0.734  0.420 0.852  0.475 0.997  0.475 1.050  0.493 0.925  0.612 1.044  0.676 1.030  0.644 0.875  0.525 0.756  0.475 0.609  0.475 0.441  0.475 0.273  0.475 0.105  0.475 -0.063  0.339 -0.094  0.275 -0.198  0.275 -0.366  0.275 -0.534  0.275 -0.702  0.275 -0.870  0.175 -0.996  0.075 -1.123  0.075 -1.290  0.075 -1.458  0.075 -1.626  -0.022 -1.697  -0.126 -1.762  -0.093 -1.897  0.075 -1.897
3#app#app18#app1858/o  -0.181 1.383  -0.181 1.241  -0.181 1.099  -0.217 0.993  -0.358 0.993  -0.500 0.993  -0.571 0.922  -0.571 0.780  -0.571 0.638  -0.571 0.497  -0.571 0.355  -0.572 0.214  -0.713 0.214  -0.855 0.214  -0.960 0.178  -0.960 0.036  -0.960 -0.106  -0.888 -0.175  -0.746 -0.175  -0.605 -0.175  -0.571 -0.283  -0.571 -0.425  -0.571 -0.567  -0.571 -0.708  -0.571 -0.850  -0.533 -0.954  -0.391 -0.954  -0.250 -0.954  -0.108 -0.954  0.034 -0.954  0.175 -0.954  0.317 -0.954  0.459 -0.954  0.600 -0.953  0.700 -0.852  0.800 -0.752  0.901 -0.652  0.988 -0.546  0.988 -0.404  0.988 -0.263  0.988 -0.121  0.988 0.021  0.988 0.162  0.988 0.304  0.988 0.446  0.988 0.588  0.899 0.693  0.798 0.793  0.698 0.893  0.598 0.993
3#app#app18#app1858/u  -0.644 1.022  -0.811 1.022  -0.978 1.022  -1.128 1.005  -1.128 0.838  -1.128 0.670  -1.128 0.503  -1.128 0.336  -1.128 0.169  -1.128 0.001  -1.128 -0.166  -0.984 -0.189  -0.817 -0.189  -0.650 -0.189  -0.483 -0.189  -0.315 -0.189  -0.159 -0.178  -0.159 -0.011  -0.056 0.053  0.083 0.081  0.083 0.249  0.203 0.295  0.325 0.341  0.325 0.508  0.325 0.675  0.262 0.780  0.095 0.780  0.238 0.780  0.325 0.700  0.320 0.538  0.153 0.538  0.083 0.440  0.083 0.273  0.083 0.106  0.083 -0.061  0.111 -0.217  0.229 -0.335  0.325 -0.463  0.325 -0.630  0.449 -0.674  0.567 -0.722  0.567 -0.890  0.708 -0.916  0.856 -0.962  0.974 -1.081  1.110 -1.158  1.277 -1.158  1.444 -1.158  1.536 -1.083  1.536 -0.916
3#app#app18#app1858/k  -0.453 1.970  -0.624 1.799  -0.712 1.594  -0.712 1.353  -0.712 1.111  -0.649 0.933  -0.453 0.888  -0.453 0.646  -0.453 0.405  -0.453 0.164  -0.453 -0.078  -0.453 -0.319  -0.453 -0.560  -0.453 -0.802  -0.569 -0.995  -0.712 -1.177  -0.692 -1.398  -0.453 -1.395  -0.453 -1.153  -0.453 -0.912  -0.453 -0.671  -0.453 -0.429  -0.453 -0.188  -0.453 0.053  -0.315 0.156  -0.074 0.156  0.065 0.053  0.125 -0.163  0.296 -0.334  0.324 -0.563  0.508 -0.621  0.583 -0.787  0.688 -0.985  0.842 -1.115  0.842 -0.874  0.842 -0.632  0.842 -0.391  0.842 -0.150  0.842 0.092  0.842 0.333  0.842 0.574  0.842 0.816  0.842 0.810  0.736 0.674  0.583 0.586  0.512 0.415  0.271 0.415  0.065 0.380  0.047 0.156  -0.194 0.156
