2#apb#apb16#app1601/S  0.535 0.732  0.573 0.842  0.621 0.947  0.714 1.017  0.791 1.096  0.878 1.152  0.805 1.221  0.689 1.216  0.574 1.201  0.467 1.155  0.360 1.109  0.267 1.039  0.174 0.968  0.082 0.897  -0.016 0.834  -0.114 0.770  -0.211 0.707  -0.310 0.644  -0.408 0.583  -0.507 0.521  -0.575 0.426  -0.643 0.332  -0.708 0.236  -0.699 0.126  -0.643 0.025  -0.559 -0.054  -0.466 -0.124  -0.364 -0.179  -0.261 -0.234  -0.157 -0.286  -0.053 -0.338  0.043 -0.403  0.138 -0.471  0.230 -0.543  0.317 -0.620  0.387 -0.712  0.425 -0.821  0.411 -0.930  0.344 -1.022  0.256 -1.098  0.158 -1.161  0.057 -1.216  -0.057 -1.241  -0.171 -1.260  -0.287 -1.252  -0.403 -1.243  -0.517 -1.217  -0.629 -1.186  -0.735 -1.139  -0.804 -1.049
2#apb#apb16#app1601/r  -0.365 0.387  -0.441 0.539  -0.517 0.692  -0.593 0.844  -0.681 0.910  -0.581 0.832  -0.564 0.663  -0.539 0.496  -0.488 0.333  -0.438 0.171  -0.387 0.009  -0.332 -0.152  -0.275 -0.312  -0.218 -0.473  -0.155 -0.630  -0.079 -0.782  -0.003 -0.934  0.075 -1.085  0.158 -1.234  0.243 -1.381  0.349 -1.514  0.381 -1.663  0.327 -1.501  0.240 -1.358  0.133 -1.226  0.027 -1.093  -0.042 -0.939  -0.104 -0.780  -0.166 -0.622  -0.227 -0.463  -0.282 -0.303  -0.333 -0.140  -0.384 0.022  -0.435 0.184  -0.440 0.353  -0.440 0.523  -0.440 0.693  -0.367 0.833  -0.229 0.910  -0.059 0.910  0.111 0.910  0.281 0.910  0.451 0.910  0.617 0.875  0.783 0.838  0.952 0.822  1.122 0.808  1.289 0.784  1.452 0.735  1.615 0.686
2#apb#apb16#app1601/.  -0.626 -0.594  -0.626 -0.673  -0.626 -0.753  -0.626 -0.833  -0.626 -0.913  -0.626 -0.993  -0.626 -1.073  -0.626 -1.153  -0.626 -1.232  -0.607 -1.191  -0.581 -1.115  -0.556 -1.040  -0.531 -0.964  -0.506 -0.888  -0.480 -0.812  -0.455 -0.737  -0.430 -0.661  -0.401 -0.587  -0.345 -0.531  -0.288 -0.474  -0.232 -0.418  -0.179 -0.359  -0.138 -0.290  -0.097 -0.222  -0.056 -0.153  -0.015 -0.085  0.026 -0.016  0.067 0.052  0.109 0.121  0.150 0.189  0.191 0.258  0.232 0.326  0.273 0.394  0.314 0.463  0.355 0.531  0.396 0.600  0.437 0.668  0.477 0.738  0.513 0.809  0.548 0.880  0.584 0.952  0.620 1.023  0.655 1.095  0.691 1.166  0.727 1.237  0.763 1.309  0.798 1.380  0.834 1.452  0.870 1.523  0.905 1.595
2#apb#apb16#app1601/E  0.021 0.927  -0.150 0.865  -0.233 0.625  -0.290 0.380  -0.312 0.128  -0.351 -0.122  -0.392 -0.372  -0.425 -0.623  -0.457 -0.874  -0.493 -1.125  -0.532 -1.192  -0.541 -0.944  -0.522 -0.692  -0.522 -0.439  -0.495 -0.187  -0.468 0.065  -0.474 0.318  -0.481 0.571  -0.479 0.824  -0.468 1.077  -0.515 1.325  -0.375 1.343  -0.135 1.266  0.112 1.207  0.355 1.138  0.605 1.114  0.858 1.114  1.106 1.068  1.242 0.916  1.043 0.760  0.844 0.603  0.645 0.447  0.446 0.290  0.247 0.134  0.047 -0.023  -0.057 -0.070  0.175 -0.143  0.425 -0.177  0.672 -0.209  0.648 -0.334  0.437 -0.474  0.226 -0.615  0.016 -0.755  -0.195 -0.896  -0.406 -1.036  -0.488 -1.219  -0.338 -1.419  -0.110 -1.516  0.142 -1.526  0.395 -1.526
2#apb#apb16#app1601/n  -0.873 0.765  -0.932 0.913  -0.893 0.753  -0.863 0.592  -0.796 0.441  -0.738 0.288  -0.695 0.128  -0.653 -0.031  -0.615 -0.192  -0.583 -0.354  -0.551 -0.515  -0.541 -0.680  -0.541 -0.844  -0.541 -1.009  -0.541 -1.174  -0.541 -1.293  -0.541 -1.128  -0.508 -0.968  -0.460 -0.810  -0.410 -0.653  -0.356 -0.497  -0.301 -0.341  -0.247 -0.186  -0.197 -0.029  -0.157 0.132  -0.117 0.292  -0.077 0.452  -0.045 0.613  -0.021 0.777  0.004 0.940  0.028 1.103  0.122 1.235  0.253 1.307  0.376 1.205  0.492 1.088  0.580 0.952  0.645 0.801  0.710 0.649  0.769 0.495  0.825 0.340  0.860 0.179  0.882 0.016  0.903 -0.148  0.919 -0.312  0.934 -0.476  0.967 -0.638  0.997 -0.799  0.997 -0.964  1.012 -1.127  1.057 -1.286
2#apb#apb16#app1601/g  0.272 0.777  0.286 0.915  0.249 1.046  0.164 1.146  0.030 1.161  -0.103 1.131  -0.223 1.064  -0.328 0.975  -0.416 0.868  -0.483 0.750  -0.527 0.618  -0.572 0.488  -0.613 0.356  -0.608 0.219  -0.535 0.102  -0.405 0.062  -0.274 0.100  -0.145 0.151  -0.028 0.218  0.048 0.333  0.133 0.443  0.196 0.564  0.229 0.697  0.239 0.835  0.239 0.974  0.177 0.985  0.172 0.849  0.172 0.710  0.172 0.572  0.172 0.433  0.172 0.295  0.172 0.156  0.179 0.018  0.189 -0.120  0.199 -0.258  0.206 -0.396  0.206 -0.535  0.206 -0.673  0.206 -0.812  0.196 -0.950  0.186 -1.088  0.176 -1.226  0.167 -1.364  0.160 -1.503  0.138 -1.638  0.100 -1.772  0.032 -1.890  -0.070 -1.977  -0.201 -1.945  -0.312 -1.862
2#apb#apb16#app1601/i  0.158 0.245  0.138 0.144  0.135 0.035  0.112 -0.072  0.088 -0.178  0.064 -0.285  0.058 -0.393  0.058 -0.502  0.058 -0.611  0.051 -0.720  0.036 -0.828  0.020 -0.936  0.001 -1.043  -0.018 -1.150  -0.033 -1.259  -0.046 -1.367  -0.058 -1.475  -0.067 -1.428  -0.058 -1.320  -0.055 -1.211  -0.053 -1.102  -0.050 -0.993  -0.047 -0.884  -0.044 -0.775  -0.041 -0.666  -0.038 -0.556  -0.035 -0.447  -0.032 -0.338  -0.029 -0.229  -0.026 -0.120  -0.023 -0.011  -0.020 0.098  -0.017 0.207  -0.014 0.316  -0.012 0.425  -0.009 0.534  -0.006 0.643  -0.003 0.752  0.000 0.861  0.003 0.970  0.006 1.079  0.009 1.188  0.012 1.298  0.015 1.407  0.018 1.516  0.002 1.623  -0.025 1.728  -0.046 1.835  -0.058 1.944  -0.080 2.050
2#apb#apb16#app1601/n  -0.571 1.688  -0.530 1.506  -0.484 1.325  -0.430 1.146  -0.416 0.962  -0.416 0.775  -0.403 0.589  -0.373 0.405  -0.354 0.220  -0.354 0.033  -0.352 -0.153  -0.326 -0.338  -0.299 -0.523  -0.292 -0.709  -0.292 -0.895  -0.312 -1.081  -0.341 -1.265  -0.414 -1.431  -0.509 -1.548  -0.509 -1.362  -0.490 -1.176  -0.465 -0.991  -0.431 -0.808  -0.369 -0.632  -0.307 -0.456  -0.246 -0.280  -0.184 -0.104  -0.123 0.073  -0.062 0.249  -0.001 0.426  0.062 0.601  0.133 0.774  0.204 0.947  0.282 1.114  0.414 1.246  0.546 1.253  0.627 1.094  0.664 0.911  0.669 0.725  0.669 0.538  0.659 0.352  0.643 0.166  0.638 -0.021  0.638 -0.207  0.644 -0.394  0.658 -0.580  0.663 -0.765  0.626 -0.948  0.607 -1.133  0.607 -1.320
2#apb#apb16#app1601/e  0.056 0.752  0.056 0.582  0.059 0.413  0.073 0.245  0.078 0.077  0.052 -0.091  0.025 -0.257  -0.019 -0.421  -0.047 -0.584  -0.006 -0.748  0.123 -0.846  0.275 -0.805  0.394 -0.685  0.505 -0.558  0.609 -0.424  0.703 -0.284  0.794 -0.141  0.833 0.016  0.833 0.186  0.826 0.354  0.811 0.523  0.768 0.685  0.708 0.843  0.649 1.002  0.523 1.109  0.384 1.205  0.240 1.291  0.080 1.345  -0.081 1.384  -0.225 1.317  -0.322 1.179  -0.401 1.032  -0.442 0.868  -0.483 0.704  -0.524 0.540  -0.551 0.373  -0.578 0.206  -0.604 0.039  -0.610 -0.130  -0.610 -0.299  -0.610 -0.468  -0.610 -0.638  -0.610 -0.807  -0.610 -0.976  -0.580 -1.141  -0.539 -1.305  -0.498 -1.469  -0.416 -1.617  -0.313 -1.744  -0.166 -1.828
2#apb#apb16#app1601/e  0.166 0.212  0.082 0.095  -0.019 -0.003  -0.094 -0.126  -0.130 -0.259  -0.055 -0.379  0.059 -0.468  0.203 -0.468  0.347 -0.468  0.472 -0.416  0.582 -0.322  0.686 -0.221  0.788 -0.119  0.864 0.002  0.928 0.131  0.973 0.268  1.005 0.409  0.974 0.547  0.933 0.686  0.851 0.804  0.765 0.920  0.653 1.011  0.541 1.103  0.420 1.177  0.281 1.215  0.142 1.238  0.007 1.187  -0.104 1.103  -0.197 0.992  -0.289 0.881  -0.364 0.758  -0.429 0.629  -0.494 0.500  -0.558 0.371  -0.594 0.231  -0.624 0.090  -0.653 -0.051  -0.681 -0.193  -0.699 -0.336  -0.717 -0.480  -0.733 -0.623  -0.733 -0.768  -0.733 -0.912  -0.733 -1.057  -0.706 -1.199  -0.678 -1.340  -0.589 -1.454  -0.500 -1.568  -0.375 -1.635  -0.243 -1.693
2#apb#apb16#app1601/r  -0.017 0.662  -0.070 0.819  -0.121 0.972  -0.121 1.141  -0.198 1.285  -0.280 1.416  -0.363 1.453  -0.349 1.285  -0.326 1.118  -0.309 0.951  -0.289 0.784  -0.239 0.623  -0.188 0.462  -0.138 0.301  -0.094 0.138  -0.053 -0.025  -0.012 -0.189  0.030 -0.352  0.078 -0.513  0.126 -0.675  0.173 -0.837  0.215 -1.000  0.252 -1.164  0.290 -1.329  0.324 -1.494  0.357 -1.659  0.396 -1.823  0.314 -1.714  0.248 -1.559  0.186 -1.403  0.123 -1.246  0.055 -1.092  -0.014 -0.938  -0.062 -0.777  -0.110 -0.615  -0.158 -0.453  -0.198 -0.290  -0.223 -0.123  -0.248 0.043  -0.273 0.210  -0.288 0.376  -0.250 0.541  -0.212 0.705  -0.141 0.850  -0.012 0.955  0.143 0.995  0.286 0.906  0.431 0.822  0.588 0.759  0.744 0.697
