2#apa#apa03#app0370/A  -0.113 0.863  -0.241 0.708  -0.214 0.708  -0.269 0.790  -0.411 0.566  -0.534 0.397  -0.637 0.184  -0.735 -0.059  -0.890 -0.278  -1.019 -0.508  -1.109 -0.754  -1.201 -1.000  -1.111 -1.067  -0.960 -0.831  -0.890 -0.564  -0.710 -0.355  -0.510 -0.155  -0.421 0.092  -0.294 0.346  -0.237 0.616  -0.109 0.868  0.042 1.089  0.182 1.314  0.432 1.447  0.706 1.485  0.819 1.315  0.819 1.031  0.819 0.748  0.819 0.465  0.819 0.181  0.819 -0.102  0.819 -0.386  0.724 -0.630  0.664 -0.888  0.664 -1.172  0.664 -1.455  0.742 -1.382  0.552 -1.171  0.363 -0.960  0.173 -0.750  -0.016 -0.539  -0.206 -0.328  -0.396 -0.118  -0.570 0.086  -0.287 0.086  -0.004 0.086  0.280 0.086  0.508 0.032  0.691 -0.069  0.975 -0.069
2#apa#apa03#app0370/Q  -0.271 0.799  -0.342 0.931  -0.413 0.799  -0.535 0.718  -0.671 0.599  -0.799 0.475  -0.891 0.311  -0.996 0.140  -1.087 -0.042  -1.178 -0.223  -1.194 -0.422  -1.194 -0.625  -1.150 -0.783  -0.959 -0.835  -0.775 -0.915  -0.572 -0.915  -0.379 -0.892  -0.221 -0.783  -0.018 -0.783  0.165 -0.698  0.327 -0.581  0.505 -0.520  0.677 -0.470  0.768 -0.288  0.902 -0.138  1.046 0.005  1.048 0.207  1.048 0.410  1.048 0.613  1.036 0.811  0.893 0.955  0.740 1.085  0.559 1.176  0.360 1.195  0.157 1.195  -0.007 1.157  -0.007 0.954  -0.007 0.751  -0.007 0.548  -0.007 0.345  -0.007 0.142  -0.007 -0.061  0.092 -0.223  0.125 -0.412  0.192 -0.587  0.257 -0.763  0.389 -0.834  0.389 -1.037  0.450 -1.179  0.521 -1.311
2#apa#apa03#app0370/U  -0.585 1.125  -0.585 1.013  -0.585 0.900  -0.585 0.788  -0.640 0.730  -0.752 0.730  -0.783 0.648  -0.783 0.535  -0.860 0.455  -0.940 0.375  -0.980 0.279  -0.980 0.167  -0.980 0.054  -0.980 -0.058  -0.980 -0.171  -0.962 -0.276  -0.883 -0.355  -0.803 -0.435  -0.724 -0.514  -0.644 -0.594  -0.565 -0.674  -0.485 -0.753  -0.406 -0.833  -0.301 -0.851  -0.188 -0.851  -0.076 -0.851  0.037 -0.851  0.149 -0.851  0.245 -0.811  0.325 -0.731  0.404 -0.652  0.484 -0.572  0.564 -0.493  0.661 -0.456  0.773 -0.456  0.798 -0.368  0.800 -0.256  0.880 -0.177  0.959 -0.097  0.996 -0.000  0.996 0.113  0.996 0.225  0.996 0.338  0.996 0.450  0.996 0.563  0.996 0.675  0.996 0.788  0.996 0.900  0.996 1.013  0.996 1.125
2#apa#apa03#app0370/I  0.437 1.642  0.437 1.568  0.437 1.493  0.437 1.419  0.437 1.344  0.437 1.270  0.437 1.196  0.437 1.121  0.437 1.047  0.437 0.972  0.437 0.898  0.401 0.838  0.348 0.786  0.296 0.733  0.243 0.680  0.191 0.628  0.181 0.558  0.181 0.483  0.181 0.409  0.161 0.342  0.109 0.290  0.056 0.237  0.003 0.185  -0.049 0.132  -0.075 0.068  -0.075 -0.006  -0.075 -0.080  -0.079 -0.153  -0.131 -0.206  -0.184 -0.259  -0.237 -0.311  -0.289 -0.364  -0.331 -0.421  -0.331 -0.495  -0.331 -0.570  -0.331 -0.644  -0.331 -0.718  -0.331 -0.793  -0.331 -0.867  -0.331 -0.942  -0.331 -1.016  -0.331 -1.090  -0.331 -1.165  -0.331 -1.239  -0.331 -1.314  -0.331 -1.388  -0.331 -1.462  -0.331 -1.537  -0.331 -1.611  -0.331 -1.686
2#apa#apa03#app0370/C  0.710 0.567  0.817 0.567  0.875 0.616  0.875 0.723  0.875 0.830  0.875 0.937  0.875 1.044  0.787 1.063  0.680 1.063  0.573 1.063  0.466 1.063  0.379 1.043  0.379 0.936  0.310 0.898  0.206 0.891  0.130 0.815  0.055 0.739  -0.050 0.733  -0.145 0.705  -0.221 0.629  -0.297 0.553  -0.372 0.478  -0.448 0.402  -0.496 0.306  -0.544 0.210  -0.592 0.114  -0.614 0.013  -0.614 -0.095  -0.689 -0.170  -0.765 -0.246  -0.779 -0.347  -0.779 -0.454  -0.779 -0.561  -0.724 -0.646  -0.648 -0.721  -0.614 -0.814  -0.614 -0.921  -0.538 -0.997  -0.462 -1.073  -0.361 -1.087  -0.254 -1.087  -0.147 -1.087  -0.040 -1.087  0.067 -1.087  0.174 -1.087  0.281 -1.087  0.388 -1.087  0.496 -1.087  0.603 -1.087  0.710 -1.087
2#apa#apa03#app0370/K  -0.759 1.249  -0.607 1.098  -0.595 0.888  -0.633 0.683  -0.729 0.491  -0.759 0.284  -0.783 0.079  -0.923 -0.078  -0.923 -0.292  -0.923 -0.506  -0.923 -0.721  -0.923 -0.935  -0.923 -1.150  -0.824 -1.084  -0.690 -0.917  -0.556 -0.749  -0.422 -0.582  -0.288 -0.414  -0.154 -0.247  -0.021 -0.079  0.113 0.088  0.247 0.256  0.381 0.423  0.515 0.591  0.649 0.758  0.783 0.926  0.917 1.093  1.053 1.239  1.204 1.088  1.057 0.936  0.879 0.891  0.797 0.758  0.715 0.626  0.532 0.594  0.338 0.545  0.186 0.393  0.024 0.267  -0.104 0.181  -0.201 0.006  -0.268 -0.180  -0.268 -0.395  -0.227 -0.593  -0.064 -0.716  0.060 -0.807  0.202 -0.879  0.416 -0.879  0.607 -0.936  0.777 -1.043  0.992 -1.043  1.042 -1.207
2#apa#apa03#app0370/B  -0.225 0.323  -0.076 0.454  -0.039 0.472  -0.225 0.378  -0.385 0.163  -0.551 -0.055  -0.639 -0.322  -0.689 -0.590  -0.824 -0.815  -0.875 -1.075  -0.973 -1.315  -0.850 -1.472  -0.794 -1.220  -0.761 -0.941  -0.728 -0.662  -0.695 -0.383  -0.663 -0.104  -0.630 0.175  -0.597 0.453  -0.564 0.732  -0.531 1.011  -0.304 1.071  -0.082 1.214  0.196 1.220  0.476 1.220  0.757 1.220  0.971 1.154  1.121 1.023  0.994 0.795  0.860 0.550  0.632 0.452  0.381 0.327  0.101 0.323  -0.118 0.173  -0.351 0.173  -0.071 0.173  0.210 0.173  0.456 0.090  0.710 0.024  0.990 0.024  1.271 0.023  1.271 -0.258  1.070 -0.425  0.808 -0.507  0.581 -0.666  0.339 -0.758  0.106 -0.874  -0.146 -0.944  -0.393 -1.024  -0.524 -1.173
2#apa#apa03#app0370/R  -0.841 0.511  -0.708 0.369  -0.708 0.172  -0.708 -0.025  -0.708 -0.222  -0.765 -0.406  -0.841 -0.584  -0.904 -0.756  -0.975 -0.923  -0.971 -1.069  -0.941 -0.874  -0.911 -0.679  -0.881 -0.484  -0.851 -0.289  -0.821 -0.095  -0.791 0.100  -0.761 0.295  -0.731 0.490  -0.679 0.673  -0.526 0.779  -0.361 0.857  -0.187 0.912  0.010 0.912  0.207 0.912  0.404 0.912  0.601 0.912  0.799 0.912  0.996 0.912  1.185 0.893  1.324 0.754  1.433 0.602  1.358 0.436  1.218 0.296  1.043 0.244  0.900 0.112  0.722 0.068  0.563 -0.024  0.404 -0.117  0.229 -0.163  0.161 -0.292  -0.036 -0.292  -0.100 -0.425  -0.172 -0.550  -0.001 -0.597  0.157 -0.693  0.317 -0.781  0.496 -0.827  0.693 -0.827  0.764 -0.953  0.898 -1.094
2#apa#apa03#app0370/O  -0.412 0.581  -0.412 0.449  -0.486 0.391  -0.618 0.391  -0.750 0.391  -0.856 0.328  -0.949 0.235  -0.983 0.117  -0.983 -0.015  -0.983 -0.147  -0.983 -0.279  -0.983 -0.411  -0.983 -0.543  -0.903 -0.642  -0.810 -0.735  -0.696 -0.801  -0.578 -0.860  -0.460 -0.919  -0.334 -0.943  -0.202 -0.943  -0.070 -0.943  0.062 -0.943  0.194 -0.943  0.326 -0.943  0.458 -0.943  0.575 -0.908  0.669 -0.814  0.731 -0.708  0.731 -0.576  0.814 -0.478  0.907 -0.385  0.921 -0.259  0.921 -0.127  0.921 0.005  0.921 0.137  0.872 0.249  0.779 0.342  0.731 0.454  0.728 0.586  0.669 0.704  0.610 0.822  0.551 0.940  0.464 1.038  0.371 1.131  0.248 1.153  0.116 1.153  -0.016 1.153  -0.148 1.153  -0.280 1.153  -0.412 1.153
2#apa#apa03#app0370/W  -1.132 0.560  -0.995 0.551  -1.013 0.422  -1.132 0.395  -1.158 0.259  -1.262 0.155  -1.269 0.012  -1.269 -0.135  -1.269 -0.281  -1.251 -0.420  -1.147 -0.524  -1.007 -0.538  -0.995 -0.673  -0.851 -0.676  -0.704 -0.676  -0.583 -0.650  -0.548 -0.538  -0.415 -0.507  -0.311 -0.404  -0.171 -0.396  -0.156 -0.264  -0.034 -0.240  -0.034 -0.093  -0.034 0.053  0.018 0.148  0.103 0.209  0.103 0.356  0.103 0.502  0.103 0.471  0.103 0.324  0.103 0.178  0.103 0.031  0.103 -0.115  0.199 -0.222  0.328 -0.264  0.475 -0.264  0.621 -0.264  0.768 -0.264  0.914 -0.264  1.022 -0.169  1.103 -0.049  1.169 0.082  1.274 0.148  1.339 0.230  1.339 0.376  1.439 0.422  1.476 0.532  1.476 0.679  1.476 0.825  1.476 0.972
2#apa#apa03#app0370/N  -0.606 0.405  -0.606 0.228  -0.662 0.075  -0.742 -0.068  -0.815 -0.214  -0.879 -0.364  -1.006 -0.414  -1.015 -0.581  -1.065 -0.736  -1.151 -0.877  -1.085 -0.892  -0.937 -0.823  -0.795 -0.739  -0.742 -0.585  -0.737 -0.414  -0.606 -0.368  -0.606 -0.192  -0.480 -0.141  -0.469 0.025  -0.469 0.201  -0.392 0.346  -0.333 0.498  -0.333 0.674  -0.211 0.800  -0.197 0.658  -0.197 0.481  -0.197 0.305  -0.197 0.128  -0.197 -0.048  -0.113 -0.141  -0.060 -0.265  0.076 -0.305  0.144 -0.414  0.213 -0.521  0.360 -0.550  0.537 -0.550  0.686 -0.485  0.833 -0.414  0.976 -0.332  1.031 -0.179  1.129 -0.043  1.167 0.118  1.167 0.294  1.214 0.451  1.304 0.590  1.304 0.767  1.304 0.943  1.424 1.070  1.452 1.235  1.577 1.360
