2#apb#apb07#app0724/A  0.128 1.256  0.027 1.209  0.023 0.950  0.047 0.691  0.120 0.441  0.191 0.191  0.258 -0.061  0.322 -0.313  0.383 -0.566  0.436 -0.821  0.446 -1.043  0.436 -0.784  0.460 -0.525  0.499 -0.267  0.541 -0.011  0.536 0.249  0.522 0.509  0.472 0.762  0.390 1.009  0.275 1.241  0.140 1.464  -0.024 1.663  -0.188 1.493  -0.285 1.253  -0.360 1.004  -0.448 0.759  -0.541 0.516  -0.640 0.275  -0.740 0.035  -0.843 -0.204  -0.962 -0.435  -1.090 -0.662  -1.179 -0.907  -1.205 -1.160  -1.065 -1.358  -0.848 -1.329  -0.623 -1.198  -0.398 -1.068  -0.173 -0.937  0.053 -0.806  0.278 -0.676  0.503 -0.545  0.728 -0.415  0.954 -0.284  1.052 -0.172  0.797 -0.118  0.539 -0.090  0.279 -0.071  0.019 -0.071  -0.241 -0.071
2#apb#apb07#app0724/B  -0.261 1.347  -0.464 1.459  -0.643 1.337  -0.685 1.086  -0.667 0.829  -0.606 0.577  -0.543 0.326  -0.476 0.076  -0.406 -0.173  -0.331 -0.422  -0.258 -0.670  -0.202 -0.923  -0.219 -1.177  -0.387 -1.185  -0.468 -0.939  -0.503 -0.682  -0.527 -0.425  -0.504 -0.167  -0.480 0.091  -0.462 0.349  -0.446 0.608  -0.413 0.863  -0.339 1.112  -0.177 1.311  0.065 1.329  0.264 1.173  0.424 0.970  0.557 0.747  0.685 0.522  0.779 0.283  0.745 0.034  0.554 -0.120  0.295 -0.135  0.037 -0.114  -0.220 -0.084  -0.475 -0.040  -0.728 0.015  -0.543 -0.029  -0.292 -0.094  -0.048 -0.182  0.195 -0.270  0.436 -0.366  0.671 -0.475  0.904 -0.587  1.098 -0.758  1.264 -0.951  1.275 -1.169  1.079 -1.330  0.842 -1.436  0.606 -1.542
2#apb#apb07#app0724/C  0.706 0.445  0.769 0.529  0.718 0.623  0.693 0.729  0.637 0.825  0.581 0.920  0.508 1.003  0.428 1.076  0.331 1.129  0.223 1.149  0.113 1.162  0.006 1.145  -0.102 1.119  -0.204 1.083  -0.290 1.014  -0.376 0.944  -0.461 0.874  -0.508 0.774  -0.554 0.674  -0.601 0.574  -0.646 0.473  -0.669 0.365  -0.693 0.257  -0.717 0.150  -0.741 0.042  -0.730 -0.066  -0.705 -0.174  -0.681 -0.281  -0.656 -0.389  -0.620 -0.492  -0.571 -0.591  -0.521 -0.690  -0.472 -0.789  -0.407 -0.876  -0.327 -0.952  -0.246 -1.028  -0.146 -1.068  -0.039 -1.095  0.068 -1.122  0.176 -1.110  0.284 -1.087  0.392 -1.065  0.497 -1.033  0.592 -0.977  0.687 -0.921  0.772 -0.854  0.825 -0.758  0.878 -0.661  0.902 -0.557  0.902 -0.446
2#apb#apb07#app0724/D  -0.493 1.247  -0.478 1.049  -0.472 0.851  -0.451 0.653  -0.434 0.455  -0.417 0.257  -0.400 0.059  -0.380 -0.139  -0.353 -0.336  -0.324 -0.532  -0.293 -0.729  -0.262 -0.925  -0.259 -0.916  -0.275 -0.718  -0.292 -0.520  -0.309 -0.322  -0.325 -0.124  -0.342 0.074  -0.359 0.272  -0.375 0.470  -0.392 0.668  -0.408 0.866  -0.425 1.064  -0.400 1.242  -0.212 1.269  -0.014 1.265  0.171 1.198  0.352 1.116  0.520 1.013  0.671 0.883  0.793 0.728  0.913 0.569  0.994 0.387  1.074 0.205  1.108 0.010  1.137 -0.187  1.108 -0.381  1.064 -0.574  0.933 -0.724  0.785 -0.853  0.612 -0.951  0.429 -1.020  0.232 -1.045  0.035 -1.070  -0.163 -1.050  -0.360 -1.029  -0.558 -1.006  -0.751 -0.961  -0.944 -0.914  -1.008 -0.843
2#apb#apb07#app0724/D  -0.668 0.989  -0.588 0.902  -0.560 0.707  -0.543 0.511  -0.521 0.316  -0.498 0.121  -0.446 -0.069  -0.390 -0.257  -0.323 -0.442  -0.252 -0.625  -0.186 -0.810  -0.138 -0.998  -0.149 -1.194  -0.218 -1.177  -0.258 -0.985  -0.298 -0.792  -0.338 -0.600  -0.379 -0.407  -0.419 -0.215  -0.459 -0.022  -0.499 0.170  -0.539 0.362  -0.579 0.555  -0.620 0.747  -0.660 0.940  -0.684 1.125  -0.522 1.229  -0.330 1.254  -0.136 1.224  0.053 1.169  0.238 1.103  0.407 1.004  0.575 0.902  0.730 0.781  0.885 0.660  0.999 0.499  1.101 0.333  1.161 0.146  1.181 -0.045  1.160 -0.241  1.084 -0.422  0.972 -0.578  0.826 -0.710  0.669 -0.825  0.490 -0.905  0.310 -0.986  0.125 -1.050  -0.061 -1.114  -0.255 -1.135  -0.452 -1.144
2#apb#apb07#app0724/E  0.397 1.376  0.408 1.411  0.276 1.356  0.146 1.303  0.006 1.276  -0.135 1.261  -0.278 1.261  -0.420 1.252  -0.562 1.230  -0.679 1.154  -0.701 1.016  -0.677 0.875  -0.629 0.741  -0.591 0.604  -0.576 0.463  -0.600 0.322  -0.631 0.183  -0.663 0.043  -0.687 -0.097  -0.703 -0.239  -0.703 -0.382  -0.697 -0.525  -0.671 -0.664  -0.608 -0.791  -0.513 -0.899  -0.394 -0.977  -0.255 -0.989  -0.112 -0.983  0.030 -0.968  0.173 -0.955  0.316 -0.949  0.458 -0.942  0.601 -0.928  0.743 -0.913  0.885 -0.898  0.956 -0.938  0.814 -0.919  0.714 -0.855  0.683 -0.715  0.652 -0.576  0.621 -0.436  0.590 -0.296  0.559 -0.157  0.528 -0.017  0.497 0.123  0.571 0.141  0.429 0.131  0.287 0.146  0.145 0.162  0.003 0.177
2#apb#apb07#app0724/F  0.607 1.362  0.617 1.353  0.482 1.297  0.350 1.233  0.210 1.200  0.064 1.192  -0.083 1.199  -0.229 1.206  -0.372 1.236  -0.515 1.270  -0.659 1.299  -0.633 1.233  -0.562 1.107  -0.529 0.964  -0.503 0.820  -0.489 0.674  -0.473 0.528  -0.446 0.384  -0.420 0.240  -0.390 0.097  -0.351 -0.045  -0.312 -0.186  -0.274 -0.327  -0.227 -0.466  -0.175 -0.603  -0.124 -0.741  -0.073 -0.878  -0.038 -1.020  -0.002 -1.163  0.013 -1.306  -0.003 -1.450  -0.118 -1.442  -0.054 -1.338  0.045 -1.230  0.144 -1.122  0.243 -1.013  0.342 -0.905  0.440 -0.797  0.539 -0.689  0.638 -0.580  0.737 -0.472  0.836 -0.364  0.723 -0.302  0.582 -0.262  0.437 -0.237  0.293 -0.212  0.147 -0.198  0.001 -0.190  -0.146 -0.182  -0.292 -0.173
2#apb#apb07#app0724/G  0.246 0.967  0.352 1.082  0.300 1.238  0.157 1.325  -0.017 1.372  -0.198 1.372  -0.373 1.327  -0.518 1.224  -0.648 1.100  -0.755 0.954  -0.839 0.796  -0.899 0.625  -0.965 0.458  -1.042 0.294  -1.094 0.122  -1.127 -0.056  -1.122 -0.234  -0.958 -0.283  -0.804 -0.341  -0.714 -0.497  -0.584 -0.615  -0.448 -0.734  -0.320 -0.861  -0.165 -0.955  -0.018 -1.059  0.138 -1.150  0.308 -1.204  0.488 -1.211  0.653 -1.151  0.774 -1.024  0.848 -0.860  0.870 -0.681  0.880 -0.501  0.880 -0.320  0.839 -0.149  0.759 0.013  0.594 0.082  0.421 0.133  0.250 0.160  0.073 0.122  -0.093 0.049  -0.248 -0.038  -0.117 -0.101  0.063 -0.107  0.244 -0.107  0.425 -0.107  0.606 -0.107  0.786 -0.107  0.967 -0.107  1.144 -0.143
2#apb#apb07#app0724/H  -0.712 1.743  -0.748 1.557  -0.764 1.337  -0.785 1.116  -0.794 0.895  -0.802 0.673  -0.802 0.452  -0.801 0.230  -0.776 0.010  -0.752 -0.210  -0.708 -0.427  -0.659 -0.643  -0.613 -0.860  -0.568 -1.076  -0.541 -1.200  -0.490 -0.984  -0.428 -0.772  -0.365 -0.559  -0.303 -0.347  -0.240 -0.134  -0.178 0.078  -0.115 0.291  -0.053 0.503  0.010 0.716  0.072 0.928  0.135 1.141  0.197 1.353  0.334 1.229  0.383 1.013  0.421 0.794  0.457 0.576  0.486 0.356  0.516 0.137  0.546 -0.083  0.576 -0.302  0.601 -0.522  0.616 -0.743  0.630 -0.964  0.580 -1.180  0.545 -1.398  0.595 -1.242  0.657 -1.029  0.718 -0.817  0.780 -0.604  0.842 -0.391  0.890 -0.182  0.684 -0.137  0.463 -0.131  0.242 -0.107  0.022 -0.084
2#apb#apb07#app0724/I  -0.130 1.003  -0.207 1.125  -0.197 1.178  -0.178 1.227  -0.114 1.287  -0.081 1.222  -0.035 1.062  0.007 0.902  0.059 0.744  0.071 0.578  0.061 0.412  0.037 0.249  0.021 0.084  0.044 -0.081  0.054 -0.247  0.054 -0.414  0.041 -0.578  0.065 -0.739  0.152 -0.878  0.264 -1.002  0.375 -1.126  0.486 -1.250  0.590 -1.312  0.550 -1.243  0.383 -1.243  0.217 -1.233  0.051 -1.216  -0.114 -1.192  -0.278 -1.164  -0.443 -1.146  -0.609 -1.156  -0.625 -1.059  -0.561 -0.905  -0.496 -0.751  -0.432 -0.597  -0.368 -0.443  -0.304 -0.289  -0.240 -0.135  -0.176 0.018  -0.112 0.172  -0.048 0.326  0.016 0.480  0.081 0.634  0.145 0.788  0.209 0.942  0.273 1.096  0.337 1.249  0.401 1.403  0.416 1.563  0.289 1.656
2#apb#apb07#app0724/K  -0.657 1.917  -0.571 1.825  -0.523 1.617  -0.496 1.404  -0.492 1.190  -0.499 0.976  -0.499 0.762  -0.493 0.548  -0.487 0.333  -0.480 0.119  -0.474 -0.095  -0.467 -0.309  -0.461 -0.524  -0.454 -0.738  -0.447 -0.952  -0.440 -1.166  -0.440 -1.381  -0.464 -1.507  -0.479 -1.303  -0.370 -1.118  -0.261 -0.934  -0.152 -0.749  -0.043 -0.565  0.066 -0.380  0.176 -0.196  0.285 -0.011  0.394 0.173  0.503 0.357  0.612 0.542  0.721 0.726  0.821 0.916  0.738 0.801  0.598 0.640  0.410 0.538  0.216 0.448  0.013 0.382  -0.200 0.360  -0.413 0.372  -0.414 0.354  -0.220 0.265  -0.032 0.163  0.136 0.033  0.292 -0.115  0.420 -0.285  0.534 -0.466  0.647 -0.648  0.782 -0.815  0.919 -0.980  1.024 -1.166  1.120 -1.357
