1b#apa#apa02#app0252/A  -0.675 -1.403  -0.675 -1.491  -0.675 -1.298  -0.675 -1.105  -0.675 -0.912  -0.675 -0.719  -0.675 -0.526  -0.614 -0.358  -0.534 -0.199  -0.534 -0.006  -0.534 0.187  -0.491 0.370  -0.405 0.543  -0.393 0.733  -0.337 0.902  -0.253 1.060  -0.253 1.253  -0.126 1.394  -0.112 1.581  -0.027 1.689  0.166 1.689  0.169 1.499  0.241 1.336  0.309 1.171  0.309 0.978  0.309 0.785  0.359 0.604  0.446 0.432  0.450 0.240  0.450 0.047  0.450 -0.146  0.450 -0.339  0.450 -0.532  0.467 -0.717  0.590 -0.859  0.590 -1.052  0.678 -1.209  0.647 -1.179  0.511 -1.042  0.374 -0.906  0.238 -0.769  0.102 -0.633  -0.035 -0.497  -0.171 -0.360  -0.253 -0.201  -0.161 -0.046  0.011 0.003  0.204 0.003  0.397 0.003  0.590 0.003
1b#apa#apa02#app0252/Q  -0.151 0.965  -0.029 1.126  0.093 1.216  0.024 1.400  -0.162 1.443  -0.312 1.293  -0.462 1.143  -0.612 0.993  -0.640 0.792  -0.653 0.585  -0.762 0.418  -0.762 0.206  -0.762 -0.006  -0.762 -0.219  -0.762 -0.431  -0.748 -0.637  -0.640 -0.805  -0.573 -1.001  -0.455 -1.175  -0.305 -1.325  -0.106 -1.357  0.093 -1.343  0.166 -1.161  0.316 -1.011  0.460 -0.859  0.460 -0.646  0.582 -0.485  0.582 -0.272  0.582 -0.060  0.582 0.152  0.582 0.364  0.582 0.577  0.582 0.789  0.556 0.991  0.460 1.163  0.337 1.165  0.299 0.959  0.238 0.755  0.177 0.552  0.116 0.349  0.055 0.145  -0.006 -0.058  0.093 -0.145  0.093 -0.357  0.093 -0.569  0.093 -0.782  0.182 -0.957  0.332 -1.107  0.396 -1.293  0.460 -1.479
1b#apa#apa02#app0252/U  -0.616 0.808  -0.616 0.888  -0.707 0.808  -0.741 0.671  -0.741 0.501  -0.741 0.330  -0.741 0.159  -0.741 -0.011  -0.741 -0.182  -0.741 -0.353  -0.741 -0.523  -0.741 -0.694  -0.741 -0.865  -0.741 -1.035  -0.731 -1.202  -0.616 -1.325  -0.563 -1.443  -0.392 -1.443  -0.347 -1.318  -0.195 -1.272  -0.115 -1.134  -0.115 -0.963  -0.010 -0.837  0.111 -0.716  0.140 -0.556  0.216 -0.404  0.312 -0.265  0.385 -0.124  0.421 0.041  0.475 0.202  0.510 0.367  0.510 0.538  0.510 0.709  0.510 0.879  0.510 1.050  0.510 1.221  0.427 1.309  0.385 1.430  0.385 1.259  0.452 1.117  0.510 0.970  0.510 0.799  0.510 0.629  0.541 0.463  0.595 0.301  0.635 0.137  0.635 -0.034  0.732 -0.164  0.853 -0.285  0.885 -0.442
1b#apa#apa02#app0252/I  0.091 1.328  0.091 1.101  0.091 0.875  0.091 0.648  0.091 0.421  0.091 0.195  0.091 -0.032  0.091 -0.258  0.091 -0.485  0.091 -0.711  0.091 -0.938  0.091 -1.165  -0.029 -1.271  -0.034 -1.378  -0.054 -1.152  -0.074 -0.927  -0.093 -0.701  -0.113 -0.475  -0.133 -0.250  -0.152 -0.024  -0.172 0.202  -0.191 0.428  -0.211 0.653  -0.231 0.879  -0.250 1.105  -0.267 1.328  -0.072 1.405  0.136 1.448  0.363 1.448  0.590 1.448  0.811 1.445  0.699 1.248  0.588 1.050  0.476 0.853  0.365 0.656  0.253 0.459  0.142 0.261  0.030 0.064  -0.081 -0.133  -0.193 -0.330  -0.304 -0.528  -0.416 -0.725  -0.527 -0.922  -0.639 -1.119  -0.750 -1.317  -0.525 -1.317  -0.348 -1.197  -0.122 -1.197  0.105 -1.197  0.332 -1.197
1b#apa#apa02#app0252/C  0.667 0.998  0.667 1.090  0.667 1.182  0.631 1.238  0.540 1.238  0.448 1.238  0.356 1.238  0.307 1.196  0.292 1.118  0.200 1.118  0.131 1.063  0.066 0.998  -0.026 0.998  -0.099 0.953  -0.164 0.888  -0.174 0.800  -0.209 0.723  -0.274 0.658  -0.294 0.575  -0.294 0.483  -0.299 0.393  -0.364 0.328  -0.414 0.257  -0.414 0.165  -0.414 0.073  -0.414 -0.019  -0.414 -0.111  -0.414 -0.202  -0.414 -0.294  -0.414 -0.386  -0.414 -0.478  -0.414 -0.570  -0.414 -0.662  -0.414 -0.754  -0.384 -0.833  -0.319 -0.898  -0.294 -0.979  -0.266 -1.043  -0.174 -1.043  -0.109 -1.108  -0.040 -1.163  0.052 -1.163  0.144 -1.163  0.236 -1.163  0.328 -1.163  0.419 -1.163  0.511 -1.163  0.603 -1.163  0.695 -1.163  0.787 -1.163
1b#apa#apa02#app0252/K  -0.502 1.903  -0.366 1.818  -0.366 1.596  -0.281 1.409  -0.230 1.209  -0.230 0.987  -0.230 0.766  -0.323 0.583  -0.366 0.379  -0.366 0.157  -0.366 -0.064  -0.372 -0.284  -0.502 -0.451  -0.502 -0.673  -0.502 -0.895  -0.502 -1.116  -0.502 -1.338  -0.342 -1.320  -0.242 -1.121  -0.143 -0.923  -0.044 -0.725  0.055 -0.527  0.154 -0.328  0.253 -0.130  0.352 0.068  0.451 0.267  0.551 0.465  0.650 0.663  0.749 0.861  0.848 1.060  0.724 1.028  0.582 0.949  0.387 0.884  0.315 0.692  0.130 0.627  -0.026 0.470  -0.220 0.403  -0.366 0.248  -0.366 0.026  -0.366 -0.196  -0.363 -0.414  -0.167 -0.477  -0.093 -0.668  0.043 -0.753  0.150 -0.930  0.315 -1.004  0.445 -1.096  0.530 -1.232  0.704 -1.348  0.861 -1.505
1b#apa#apa02#app0252/B  -0.649 0.615  -0.649 0.390  -0.649 0.164  -0.649 -0.061  -0.649 -0.287  -0.649 -0.512  -0.649 -0.738  -0.649 -0.963  -0.649 -1.189  -0.649 -1.414  -0.641 -1.295  -0.629 -1.070  -0.618 -0.844  -0.607 -0.619  -0.596 -0.394  -0.584 -0.169  -0.573 0.057  -0.562 0.282  -0.551 0.507  -0.532 0.719  -0.411 0.824  -0.289 0.928  -0.157 1.079  0.016 1.177  0.215 1.240  0.427 1.275  0.623 1.344  0.809 1.304  0.768 1.095  0.682 0.905  0.523 0.746  0.412 0.551  0.288 0.434  0.133 0.303  0.080 0.267  0.269 0.303  0.495 0.303  0.616 0.199  0.832 0.175  0.991 0.016  1.121 -0.156  1.121 -0.382  0.993 -0.554  0.833 -0.714  0.643 -0.799  0.479 -0.947  0.294 -1.045  0.071 -1.051  -0.154 -1.051  -0.337 -0.947
1b#apa#apa02#app0252/R  -0.252 1.337  -0.252 1.125  -0.252 0.912  -0.252 0.700  -0.252 0.487  -0.252 0.275  -0.252 0.062  -0.252 -0.150  -0.252 -0.363  -0.252 -0.575  -0.252 -0.788  -0.252 -1.000  -0.252 -1.213  -0.258 -1.360  -0.297 -1.151  -0.336 -0.942  -0.376 -0.733  -0.415 -0.524  -0.454 -0.315  -0.493 -0.107  -0.532 0.102  -0.571 0.311  -0.593 0.522  -0.479 0.687  -0.462 0.883  -0.284 0.965  -0.138 1.050  -0.024 1.149  0.111 1.234  0.301 1.329  0.511 1.337  0.705 1.291  0.772 1.106  0.772 0.894  0.710 0.707  0.559 0.556  0.409 0.406  0.259 0.256  0.189 0.072  0.039 -0.078  -0.024 -0.264  -0.024 -0.477  0.041 -0.662  0.111 -0.846  0.262 -0.996  0.412 -1.146  0.562 -1.296  0.658 -1.469  0.772 -1.568  0.885 -1.733
1b#apa#apa02#app0252/O  0.297 0.808  0.297 0.939  0.246 1.019  0.192 1.095  0.090 1.124  0.065 1.229  -0.066 1.229  -0.124 1.156  -0.222 1.124  -0.334 1.106  -0.365 0.988  -0.457 0.896  -0.548 0.802  -0.606 0.685  -0.665 0.568  -0.723 0.452  -0.755 0.329  -0.755 0.198  -0.755 0.067  -0.755 -0.063  -0.755 -0.194  -0.755 -0.324  -0.755 -0.455  -0.755 -0.585  -0.718 -0.701  -0.650 -0.803  -0.608 -0.916  -0.515 -1.008  -0.416 -1.084  -0.286 -1.084  -0.155 -1.084  -0.025 -1.084  0.106 -1.084  0.223 -1.053  0.324 -0.979  0.449 -0.956  0.565 -0.897  0.667 -0.819  0.717 -0.709  0.778 -0.603  0.823 -0.491  0.852 -0.366  0.893 -0.242  0.928 -0.117  0.928 0.014  0.896 0.137  0.837 0.253  0.823 0.381  0.810 0.506  0.717 0.598
1b#apa#apa02#app0252/W  -0.932 1.279  -0.932 1.085  -0.932 0.890  -0.932 0.695  -0.932 0.500  -0.932 0.305  -0.932 0.110  -0.932 -0.085  -0.932 -0.280  -0.932 -0.475  -0.932 -0.670  -0.932 -0.865  -0.932 -1.059  -0.841 -1.164  -0.646 -1.164  -0.490 -1.071  -0.352 -0.933  -0.296 -0.761  -0.159 -0.623  -0.108 -0.448  -0.021 -0.273  -0.001 -0.083  0.078 0.079  0.116 0.258  0.116 0.453  0.116 0.648  0.116 0.843  0.116 0.823  -0.001 0.676  -0.001 0.481  -0.001 0.286  0.017 0.099  0.116 -0.055  0.128 -0.245  0.232 -0.397  0.288 -0.579  0.409 -0.698  0.604 -0.698  0.799 -0.698  0.859 -0.537  0.930 -0.372  1.046 -0.225  1.085 -0.039  1.163 0.137  1.163 0.332  1.163 0.527  1.163 0.722  1.117 0.906  1.046 1.085  1.046 1.279
1b#apa#apa02#app0252/N  -1.041 -1.084  -0.925 -1.029  -0.925 -0.859  -0.890 -0.703  -0.810 -0.566  -0.810 -0.396  -0.695 -0.273  -0.695 -0.103  -0.695 0.068  -0.579 0.190  -0.536 0.343  -0.464 0.483  -0.464 0.654  -0.401 0.761  -0.348 0.879  -0.348 0.935  -0.348 0.765  -0.348 0.594  -0.348 0.424  -0.348 0.254  -0.277 0.113  -0.233 -0.039  -0.233 -0.210  -0.233 -0.380  -0.233 -0.550  -0.233 -0.721  -0.125 -0.846  -0.118 -1.014  -0.018 -1.084  0.037 -1.200  0.207 -1.200  0.252 -1.060  0.344 -0.928  0.412 -0.785  0.532 -0.665  0.574 -0.512  0.648 -0.359  0.690 -0.199  0.690 -0.028  0.722 0.134  0.798 0.287  0.805 0.456  0.805 0.626  0.805 0.796  0.833 0.962  0.887 1.124  0.920 1.289  0.920 1.459  0.920 1.629  0.920 1.569
