2#apa#apa14#app1420/k  -0.384 1.815  -0.475 1.997  -0.431 1.992  -0.384 1.808  -0.384 1.605  -0.384 1.401  -0.384 1.198  -0.384 0.994  -0.384 0.791  -0.384 0.587  -0.384 0.384  -0.369 0.182  -0.329 -0.018  -0.289 -0.217  -0.248 -0.416  -0.199 -0.614  -0.149 -0.811  -0.125 -1.012  -0.125 -1.215  -0.040 -1.384  0.039 -1.295  0.088 -1.098  0.138 -0.900  0.187 -0.703  0.236 -0.505  0.286 -0.308  0.335 -0.111  0.384 0.087  0.434 0.284  0.483 0.482  0.501 0.670  0.357 0.814  0.232 0.841  0.141 0.659  0.050 0.477  -0.027 0.290  -0.092 0.097  -0.125 -0.101  -0.221 -0.276  -0.333 -0.445  -0.384 -0.633  -0.328 -0.521  -0.131 -0.562  0.062 -0.627  0.255 -0.691  0.448 -0.755  0.611 -0.868  0.782 -0.974  0.914 -1.096  0.914 -1.300
2#apa#apa14#app1420/e  -0.939 0.496  -0.763 0.496  -0.593 0.466  -0.426 0.410  -0.259 0.355  -0.093 0.299  0.074 0.244  0.249 0.238  0.424 0.238  0.600 0.238  0.775 0.238  0.951 0.238  1.119 0.246  1.119 0.422  1.119 0.597  1.099 0.753  0.923 0.753  0.747 0.753  0.572 0.753  0.396 0.753  0.220 0.753  0.045 0.753  -0.131 0.753  -0.306 0.753  -0.465 0.712  -0.589 0.588  -0.714 0.464  -0.838 0.340  -0.962 0.215  -1.086 0.091  -1.196 -0.039  -1.196 -0.214  -1.145 -0.378  -1.067 -0.535  -0.988 -0.692  -0.893 -0.837  -0.769 -0.961  -0.629 -1.048  -0.453 -1.048  -0.278 -1.048  -0.105 -1.027  0.061 -0.972  0.228 -0.916  0.394 -0.861  0.561 -0.805  0.721 -0.732  0.878 -0.654  1.035 -0.575  1.200 -0.533  1.376 -0.533
2#apa#apa14#app1420/e  -0.022 0.063  -0.125 0.165  -0.227 0.268  -0.232 0.329  -0.087 0.329  0.058 0.329  0.202 0.329  0.347 0.329  0.491 0.329  0.599 0.418  0.701 0.521  0.777 0.634  0.777 0.779  0.777 0.923  0.777 1.068  0.693 1.129  0.548 1.129  0.404 1.129  0.259 1.129  0.128 1.071  -0.001 1.006  -0.130 0.941  -0.260 0.877  -0.368 0.783  -0.470 0.680  -0.566 0.574  -0.631 0.444  -0.695 0.315  -0.760 0.186  -0.821 0.055  -0.821 -0.089  -0.821 -0.234  -0.821 -0.378  -0.821 -0.523  -0.821 -0.667  -0.753 -0.770  -0.624 -0.835  -0.495 -0.899  -0.365 -0.964  -0.247 -1.044  -0.145 -1.146  -0.042 -1.248  0.094 -1.269  0.238 -1.269  0.383 -1.269  0.526 -1.261  0.655 -1.196  0.784 -1.132  0.914 -1.067  1.043 -1.002
2#apa#apa14#app1420/p  -0.013 1.009  -0.150 1.145  -0.264 1.228  -0.264 1.036  -0.223 0.848  -0.177 0.661  -0.130 0.474  -0.083 0.288  -0.037 0.101  -0.013 -0.089  -0.013 -0.281  -0.013 -0.474  -0.013 -0.666  -0.013 -0.859  -0.013 -1.051  -0.013 -1.244  -0.013 -1.437  -0.013 -1.629  -0.013 -1.822  -0.013 -1.975  -0.013 -1.783  -0.013 -1.590  -0.013 -1.398  -0.013 -1.205  -0.013 -1.013  -0.013 -0.820  -0.050 -0.634  -0.111 -0.451  -0.172 -0.268  -0.233 -0.086  -0.264 0.102  -0.264 0.294  -0.264 0.487  -0.264 0.679  -0.264 0.872  -0.264 1.064  -0.264 1.257  -0.073 1.259  0.119 1.259  0.290 1.206  0.426 1.070  0.562 0.934  0.698 0.798  0.738 0.622  0.662 0.483  0.480 0.422  0.297 0.361  0.114 0.301  -0.071 0.258  -0.264 0.258
2#apa#apa14#app1420/v  -1.174 0.734  -1.089 0.819  -1.004 0.903  -0.920 0.988  -0.911 0.888  -0.911 0.768  -0.911 0.649  -0.911 0.529  -0.911 0.409  -0.911 0.289  -0.883 0.180  -0.798 0.096  -0.714 0.011  -0.636 -0.079  -0.582 -0.186  -0.529 -0.294  -0.475 -0.401  -0.422 -0.508  -0.368 -0.615  -0.314 -0.723  -0.261 -0.830  -0.207 -0.937  -0.153 -1.044  -0.071 -1.105  0.049 -1.105  0.166 -1.092  0.273 -1.039  0.380 -0.985  0.487 -0.932  0.595 -0.878  0.665 -0.802  0.665 -0.682  0.665 -0.562  0.665 -0.442  0.665 -0.322  0.665 -0.202  0.665 -0.082  0.665 0.038  0.665 0.158  0.665 0.278  0.665 0.398  0.698 0.504  0.783 0.589  0.868 0.674  0.903 0.758  0.819 0.843  0.734 0.928  0.665 1.019  0.665 1.139  0.665 1.259
2#apa#apa14#app1420/e  -0.887 0.239  -0.887 0.426  -0.887 0.447  -0.887 0.259  -0.720 0.239  -0.532 0.239  -0.344 0.239  -0.172 0.173  -0.004 0.089  0.164 0.005  0.338 -0.053  0.526 -0.053  0.699 0.010  0.867 0.094  1.035 0.178  1.157 0.290  1.157 0.478  1.157 0.666  1.126 0.822  0.938 0.822  0.750 0.822  0.562 0.822  0.374 0.822  0.191 0.793  0.013 0.733  -0.165 0.674  -0.343 0.614  -0.521 0.555  -0.693 0.481  -0.861 0.397  -1.029 0.313  -1.179 0.218  -1.179 0.030  -1.179 -0.158  -1.179 -0.345  -1.011 -0.429  -0.843 -0.513  -0.675 -0.597  -0.525 -0.707  -0.392 -0.840  -0.242 -0.929  -0.054 -0.929  0.134 -0.929  0.322 -0.929  0.510 -0.929  0.698 -0.929  0.885 -0.929  1.073 -0.929  1.261 -0.929  1.449 -0.929
2#apa#apa14#app1420/x  -0.738 0.433  -0.916 0.522  -1.095 0.611  -1.273 0.700  -1.202 0.731  -1.036 0.697  -1.036 0.498  -0.916 0.373  -0.738 0.284  -0.559 0.195  -0.385 0.099  -0.220 -0.012  -0.054 -0.122  0.112 -0.233  0.277 -0.343  0.443 -0.454  0.585 -0.593  0.726 -0.734  0.867 -0.874  1.008 -1.015  1.023 -0.912  0.990 -0.715  0.957 -0.519  0.925 -0.322  0.892 -0.126  0.859 0.070  0.826 0.267  0.794 0.463  0.761 0.660  0.659 0.821  0.518 0.962  0.452 1.133  0.452 1.319  0.452 1.120  0.376 0.952  0.235 0.811  0.127 0.650  0.064 0.461  0.001 0.272  -0.062 0.083  -0.125 -0.106  -0.143 -0.302  -0.173 -0.489  -0.314 -0.630  -0.455 -0.771  -0.596 -0.912  -0.736 -1.052  -0.738 -1.251  -0.837 -1.352  -1.036 -1.352
2#apa#apa14#app1420/i  -0.010 0.345  -0.010 0.231  -0.010 0.116  0.037 0.021  0.118 -0.060  0.198 -0.140  0.268 -0.226  0.268 -0.340  0.268 -0.455  0.268 -0.569  0.268 -0.683  0.268 -0.798  0.268 -0.912  0.268 -1.026  0.338 -1.112  0.419 -1.192  0.499 -1.273  0.495 -1.319  0.381 -1.319  0.268 -1.318  0.240 -1.207  0.212 -1.096  0.184 -0.985  0.157 -0.874  0.129 -0.764  0.101 -0.653  0.073 -0.542  0.046 -0.431  0.018 -0.320  -0.010 -0.209  -0.037 -0.098  -0.065 0.013  -0.093 0.124  -0.121 0.235  -0.148 0.345  -0.176 0.456  -0.204 0.567  -0.232 0.678  -0.259 0.789  -0.287 0.900  -0.315 1.011  -0.342 1.122  -0.370 1.233  -0.398 1.344  -0.426 1.455  -0.453 1.565  -0.481 1.676  -0.509 1.787  -0.536 1.898  -0.564 2.009
2#apa#apa14#app1420/n  -0.951 0.464  -0.951 0.322  -0.951 0.180  -0.951 0.038  -0.951 -0.104  -0.951 -0.246  -0.941 -0.385  -0.878 -0.512  -0.814 -0.639  -0.751 -0.766  -0.687 -0.893  -0.674 -0.808  -0.674 -0.666  -0.621 -0.537  -0.557 -0.410  -0.494 -0.283  -0.430 -0.156  -0.397 -0.022  -0.397 0.120  -0.397 0.262  -0.397 0.404  -0.397 0.546  -0.397 0.688  -0.397 0.830  -0.397 0.972  -0.301 1.018  -0.159 1.018  -0.017 1.018  0.125 1.018  0.267 1.018  0.409 1.018  0.486 0.914  0.549 0.787  0.613 0.660  0.676 0.533  0.711 0.399  0.711 0.257  0.711 0.115  0.711 -0.027  0.767 -0.146  0.867 -0.246  0.968 -0.347  0.988 -0.480  0.988 -0.622  0.988 -0.764  0.988 -0.906  0.988 -1.048  0.988 -1.190  1.122 -1.197  1.264 -1.197
2#apa#apa14#app1420/g  -0.211 0.800  -0.211 0.945  -0.325 0.976  -0.387 1.059  -0.424 1.114  -0.526 1.012  -0.562 0.882  -0.562 0.737  -0.585 0.602  -0.688 0.499  -0.790 0.397  -0.892 0.295  -0.913 0.159  -0.854 0.039  -0.751 -0.064  -0.625 -0.021  -0.496 0.044  -0.387 0.121  -0.387 0.266  -0.264 0.335  -0.135 0.400  -0.012 0.473  0.090 0.576  0.193 0.678  0.295 0.780  0.315 0.917  0.315 0.890  0.276 0.761  0.174 0.659  0.139 0.528  0.169 0.390  0.234 0.261  0.298 0.131  0.315 -0.009  0.315 -0.154  0.348 -0.285  0.450 -0.388  0.518 -0.511  0.564 -0.648  0.610 -0.786  0.655 -0.923  0.666 -1.066  0.666 -1.211  0.666 -1.356  0.666 -1.500  0.666 -1.645  0.546 -1.716  0.417 -1.781  0.284 -1.832  0.139 -1.832
2#apa#apa14#app1420/m  -1.426 0.479  -1.275 0.479  -1.212 0.392  -1.212 0.241  -1.212 0.091  -1.162 -0.048  -1.095 -0.183  -1.028 -0.318  -0.997 -0.461  -0.984 -0.606  -0.877 -0.713  -0.783 -0.790  -0.783 -0.640  -0.783 -0.489  -0.783 -0.339  -0.783 -0.188  -0.783 -0.037  -0.755 0.107  -0.687 0.241  -0.620 0.376  -0.533 0.479  -0.382 0.479  -0.232 0.479  -0.098 0.437  0.008 0.331  0.115 0.224  0.221 0.118  0.289 -0.005  0.289 -0.156  0.352 -0.291  0.420 -0.426  0.487 -0.561  0.503 -0.479  0.503 -0.328  0.503 -0.177  0.503 -0.027  0.536 0.116  0.603 0.251  0.671 0.385  0.764 0.479  0.914 0.479  1.065 0.479  1.195 0.430  1.302 0.323  1.360 0.197  1.363 0.047  1.470 -0.059  1.576 -0.166  1.683 -0.272  1.789 -0.379
