3#apb#apb08#app0808/F  -0.318 0.765  -0.296 0.535  -0.299 0.303  -0.341 0.075  -0.380 -0.154  -0.414 -0.383  -0.444 -0.613  -0.471 -0.843  -0.497 -1.074  -0.497 -1.306  -0.502 -1.537  -0.530 -1.723  -0.452 -1.514  -0.452 -1.282  -0.488 -1.055  -0.542 -0.829  -0.597 -0.604  -0.651 -0.378  -0.705 -0.153  -0.759 0.073  -0.813 0.298  -0.819 0.510  -0.645 0.631  -0.422 0.686  -0.192 0.710  0.037 0.736  0.263 0.790  0.488 0.844  0.714 0.897  0.940 0.949  1.165 1.006  1.385 1.079  1.540 0.983  1.414 0.797  1.199 0.712  0.982 0.633  0.764 0.553  0.546 0.474  0.328 0.395  0.110 0.315  -0.108 0.236  -0.287 0.112  -0.369 -0.101  -0.397 -0.332  -0.261 -0.472  -0.037 -0.450  0.190 -0.400  0.415 -0.344  0.639 -0.284  0.868 -0.264
3#apb#apb08#app0808/a  0.059 0.378  0.187 0.378  0.163 0.497  0.087 0.598  0.004 0.697  -0.108 0.755  -0.226 0.805  -0.351 0.826  -0.479 0.842  -0.598 0.806  -0.715 0.754  -0.824 0.693  -0.898 0.588  -0.971 0.483  -1.045 0.378  -1.109 0.266  -1.172 0.155  -1.204 0.031  -1.231 -0.094  -1.209 -0.209  -1.134 -0.313  -1.051 -0.407  -0.940 -0.472  -0.829 -0.537  -0.719 -0.601  -0.597 -0.632  -0.469 -0.641  -0.341 -0.651  -0.215 -0.651  -0.091 -0.618  0.033 -0.584  0.152 -0.540  0.257 -0.467  0.362 -0.393  0.466 -0.318  0.556 -0.228  0.647 -0.137  0.735 -0.044  0.798 0.067  0.862 0.178  0.970 0.244  1.050 0.177  1.091 0.055  1.147 -0.060  1.228 -0.157  1.319 -0.248  1.414 -0.333  1.530 -0.386  1.647 -0.439  1.764 -0.492
3#apb#apb08#app0808/x  1.343 1.110  1.260 1.114  1.138 0.996  1.024 0.870  0.910 0.743  0.819 0.598  0.729 0.454  0.638 0.309  0.544 0.168  0.439 0.033  0.334 -0.101  0.230 -0.236  0.125 -0.371  0.035 -0.515  -0.053 -0.661  -0.141 -0.808  -0.239 -0.947  -0.350 -1.076  -0.498 -1.124  -0.636 -1.045  -0.756 -0.925  -0.808 -0.770  -0.832 -0.601  -0.856 -0.432  -0.880 -0.263  -0.904 -0.094  -0.928 0.074  -0.953 0.243  -0.977 0.412  -1.001 0.581  -1.025 0.750  -1.049 0.918  -0.972 0.904  -0.843 0.793  -0.713 0.682  -0.584 0.571  -0.446 0.470  -0.309 0.369  -0.172 0.268  -0.035 0.167  0.104 0.068  0.245 -0.028  0.386 -0.124  0.527 -0.220  0.668 -0.316  0.809 -0.412  0.951 -0.507  1.093 -0.601  1.235 -0.696  1.376 -0.791
3#apb#apb08#app0808/i  -0.125 1.693  -0.112 1.624  -0.098 1.556  -0.084 1.488  -0.071 1.420  -0.057 1.351  -0.043 1.283  -0.030 1.215  -0.019 1.146  -0.019 1.077  -0.019 1.007  -0.019 0.937  -0.019 0.868  -0.019 0.798  -0.019 0.728  -0.019 0.659  -0.016 0.589  -0.010 0.520  -0.005 0.450  0.000 0.381  0.006 0.312  0.011 0.242  0.016 0.173  0.022 0.103  0.027 0.034  0.032 -0.035  0.035 -0.105  0.035 -0.175  0.035 -0.244  0.035 -0.314  0.035 -0.384  0.035 -0.453  0.035 -0.523  0.035 -0.592  0.029 -0.662  0.022 -0.731  0.015 -0.800  0.008 -0.870  0.001 -0.939  -0.006 -1.008  -0.013 -1.077  -0.017 -1.147  -0.007 -1.216  0.003 -1.284  0.013 -1.353  0.023 -1.422  0.032 -1.491  0.064 -1.552  0.103 -1.610  0.141 -1.668
3#apb#apb08#app0808/t  -0.060 2.058  0.051 1.946  0.111 1.788  0.144 1.622  0.177 1.456  0.190 1.288  0.190 1.119  0.190 0.950  0.190 0.780  0.201 0.612  0.227 0.445  0.254 0.278  0.280 0.111  0.306 -0.056  0.322 -0.225  0.331 -0.394  0.340 -0.563  0.350 -0.732  0.357 -0.901  0.357 -1.070  0.357 -1.239  0.347 -1.407  0.291 -1.503  0.187 -1.371  0.082 -1.238  -0.023 -1.105  -0.128 -0.972  -0.233 -0.840  -0.338 -0.707  -0.443 -0.574  -0.548 -0.441  -0.653 -0.309  -0.758 -0.176  -0.863 -0.043  -0.968 0.089  -1.073 0.222  -1.067 0.150  -0.909 0.118  -0.741 0.097  -0.572 0.095  -0.403 0.095  -0.233 0.095  -0.065 0.086  0.103 0.066  0.271 0.046  0.439 0.027  0.607 0.018  0.774 0.044  0.942 0.069  1.109 0.095
3#apb#apb08#app0808/K  -0.983 1.996  -0.913 1.811  -0.844 1.625  -0.774 1.440  -0.715 1.251  -0.658 1.061  -0.602 0.871  -0.554 0.679  -0.506 0.487  -0.458 0.295  -0.401 0.105  -0.344 -0.084  -0.303 -0.277  -0.279 -0.474  -0.264 -0.671  -0.264 -0.869  -0.251 -1.067  -0.223 -1.263  -0.129 -1.375  -0.056 -1.191  0.017 -1.007  0.090 -0.823  0.164 -0.639  0.237 -0.454  0.310 -0.270  0.383 -0.086  0.457 0.098  0.530 0.282  0.603 0.466  0.676 0.650  0.749 0.834  0.699 0.818  0.516 0.742  0.330 0.675  0.158 0.578  -0.008 0.470  -0.164 0.349  -0.289 0.198  -0.412 0.043  -0.383 -0.135  -0.282 -0.305  -0.134 -0.434  0.023 -0.555  0.201 -0.639  0.385 -0.713  0.559 -0.806  0.730 -0.905  0.928 -0.922  1.125 -0.930  1.323 -0.930
3#apb#apb08#app0808/a  0.397 0.680  0.397 0.827  0.338 0.934  0.203 0.991  0.063 1.023  -0.083 1.023  -0.229 1.018  -0.371 0.983  -0.512 0.947  -0.646 0.889  -0.780 0.829  -0.898 0.748  -0.993 0.637  -1.088 0.526  -1.145 0.391  -1.200 0.257  -1.176 0.112  -1.131 -0.025  -1.061 -0.153  -0.991 -0.282  -0.913 -0.404  -0.805 -0.503  -0.697 -0.601  -0.589 -0.700  -0.472 -0.784  -0.337 -0.842  -0.199 -0.871  -0.055 -0.847  0.052 -0.756  0.147 -0.645  0.222 -0.523  0.264 -0.383  0.306 -0.243  0.342 -0.101  0.373 0.042  0.414 0.182  0.483 0.310  0.586 0.413  0.669 0.294  0.772 0.191  0.832 0.064  0.861 -0.080  0.890 -0.223  0.942 -0.359  0.997 -0.495  1.050 -0.632  1.096 -0.770  1.142 -0.909  1.219 -1.032  1.310 -1.146
3#apb#apb08#app0808/t  -0.462 2.074  -0.351 2.002  -0.284 1.867  -0.248 1.720  -0.211 1.573  -0.175 1.426  -0.141 1.278  -0.106 1.131  -0.071 0.983  -0.050 0.833  -0.035 0.683  -0.020 0.532  -0.005 0.381  0.008 0.230  0.016 0.079  0.023 -0.073  0.031 -0.224  0.039 -0.375  0.055 -0.526  0.072 -0.677  0.090 -0.827  0.105 -0.977  0.078 -1.127  0.050 -1.276  0.040 -1.426  -0.032 -1.312  -0.109 -1.181  -0.185 -1.050  -0.262 -0.920  -0.339 -0.789  -0.415 -0.658  -0.492 -0.527  -0.568 -0.397  -0.645 -0.266  -0.721 -0.135  -0.694 -0.082  -0.545 -0.098  -0.397 -0.120  -0.253 -0.165  -0.101 -0.165  0.051 -0.165  0.202 -0.165  0.354 -0.165  0.505 -0.165  0.657 -0.165  0.807 -0.152  0.958 -0.132  1.108 -0.112  1.259 -0.098  1.410 -0.098
3#apb#apb08#app0808/e  -1.325 0.258  -1.177 0.159  -1.020 0.077  -0.855 0.012  -0.678 -0.008  -0.501 -0.030  -0.325 -0.057  -0.149 -0.084  0.028 -0.091  0.206 -0.091  0.383 -0.080  0.553 -0.027  0.723 0.025  0.869 0.118  0.978 0.252  1.003 0.429  0.957 0.596  0.891 0.762  0.769 0.882  0.621 0.981  0.463 1.061  0.298 1.127  0.127 1.163  -0.052 1.163  -0.204 1.087  -0.344 0.978  -0.467 0.852  -0.568 0.705  -0.669 0.559  -0.752 0.404  -0.805 0.233  -0.857 0.063  -0.872 -0.113  -0.872 -0.291  -0.834 -0.463  -0.783 -0.634  -0.678 -0.772  -0.553 -0.898  -0.402 -0.976  -0.226 -1.005  -0.050 -1.029  0.126 -1.007  0.303 -0.984  0.480 -0.962  0.649 -0.907  0.818 -0.851  0.987 -0.795  1.140 -0.705  1.291 -0.611  1.357 -0.474
3#apb#apb08#app0808/a  0.412 0.621  0.391 0.681  0.268 0.733  0.145 0.781  0.018 0.823  -0.108 0.866  -0.234 0.908  -0.360 0.950  -0.485 0.959  -0.607 0.906  -0.728 0.852  -0.847 0.792  -0.966 0.733  -1.054 0.634  -1.139 0.532  -1.169 0.405  -1.188 0.274  -1.177 0.141  -1.163 0.009  -1.130 -0.114  -1.036 -0.208  -0.942 -0.302  -0.826 -0.354  -0.695 -0.377  -0.564 -0.401  -0.434 -0.396  -0.303 -0.372  -0.172 -0.348  -0.044 -0.313  0.082 -0.271  0.209 -0.231  0.340 -0.212  0.465 -0.180  0.559 -0.086  0.653 0.008  0.747 0.102  0.857 0.159  0.954 0.092  0.981 -0.032  0.981 -0.165  0.953 -0.294  0.917 -0.422  0.897 -0.553  0.880 -0.685  0.874 -0.818  0.875 -0.951  0.890 -1.083  0.905 -1.215  0.992 -1.278  1.123 -1.300
3#apb#apb08#app0808/t  -0.072 1.704  -0.008 1.631  0.016 1.473  0.028 1.315  0.012 1.156  -0.004 0.998  -0.020 0.839  -0.034 0.680  -0.049 0.521  -0.063 0.362  -0.077 0.203  -0.092 0.044  -0.102 -0.115  -0.107 -0.274  -0.113 -0.434  -0.119 -0.593  -0.124 -0.753  -0.140 -0.911  -0.155 -1.070  -0.171 -1.229  -0.209 -1.383  -0.267 -1.523  -0.385 -1.433  -0.473 -1.304  -0.504 -1.148  -0.535 -0.991  -0.567 -0.835  -0.598 -0.679  -0.629 -0.522  -0.661 -0.366  -0.692 -0.209  -0.723 -0.053  -0.754 0.104  -0.755 0.235  -0.606 0.287  -0.457 0.284  -0.305 0.235  -0.146 0.235  0.014 0.235  0.173 0.249  0.331 0.265  0.490 0.281  0.649 0.296  0.808 0.312  0.967 0.314  1.127 0.314  1.286 0.314  1.446 0.314  1.605 0.314  1.765 0.314
3#apb#apb08#app0808/I  -0.142 0.876  -0.125 0.952  -0.108 1.028  -0.090 1.104  -0.072 1.180  -0.070 1.258  -0.041 1.327  -0.022 1.399  -0.022 1.376  -0.022 1.298  -0.013 1.221  -0.002 1.144  0.009 1.066  0.020 0.989  0.026 0.912  0.026 0.834  0.026 0.756  0.026 0.678  0.026 0.600  0.026 0.522  0.026 0.444  0.026 0.366  0.023 0.288  0.020 0.210  0.017 0.133  0.014 0.055  0.011 -0.023  0.008 -0.101  0.005 -0.179  0.002 -0.257  0.005 -0.335  0.008 -0.413  0.011 -0.491  0.014 -0.568  0.017 -0.646  0.020 -0.724  0.023 -0.802  0.026 -0.880  0.026 -0.958  0.026 -1.036  0.026 -1.114  0.026 -1.192  0.026 -1.270  0.026 -1.348  0.026 -1.426  0.026 -1.503  0.026 -1.581  0.026 -1.659  0.002 -1.732  0.002 -1.780
3#apb#apb08#app0808/B  -0.583 -0.031  -0.499 -0.178  -0.417 -0.326  -0.345 -0.480  -0.288 -0.639  -0.276 -0.807  -0.353 -0.919  -0.473 -0.822  -0.556 -0.674  -0.636 -0.525  -0.692 -0.364  -0.748 -0.204  -0.799 -0.043  -0.840 0.122  -0.881 0.286  -0.905 0.454  -0.918 0.623  -0.883 0.788  -0.808 0.939  -0.692 1.048  -0.532 1.104  -0.369 1.150  -0.205 1.192  -0.038 1.225  0.128 1.232  0.293 1.194  0.456 1.146  0.609 1.078  0.720 0.959  0.761 0.797  0.735 0.632  0.675 0.474  0.583 0.334  0.449 0.229  0.331 0.108  0.206 -0.004  0.224 -0.098  0.363 -0.196  0.503 -0.291  0.646 -0.382  0.795 -0.462  0.912 -0.580  0.916 -0.741  0.858 -0.898  0.771 -1.043  0.649 -1.160  0.516 -1.264  0.368 -1.346  0.200 -1.352  0.066 -1.285
