2#app#app31#app3173/f  1.259 0.748  1.366 0.868  1.316 1.011  1.175 1.068  1.118 1.175  0.981 1.240  0.834 1.282  0.670 1.282  0.505 1.282  0.360 1.237  0.297 1.099  0.203 0.974  0.087 0.857  0.012 0.711  -0.023 0.555  -0.043 0.397  -0.134 0.260  -0.225 0.124  -0.301 -0.022  -0.344 -0.176  -0.352 -0.338  -0.426 -0.485  -0.450 -0.644  -0.450 -0.808  -0.450 -0.972  -0.383 -1.069  -0.331 -1.188  -0.206 -1.283  -0.041 -1.283  0.055 -1.256  -0.067 -1.146  -0.189 -1.037  -0.312 -0.927  -0.434 -0.817  -0.556 -0.707  -0.678 -0.597  -0.800 -0.487  -0.922 -0.377  -0.985 -0.241  -0.847 -0.214  -0.683 -0.214  -0.530 -0.187  -0.399 -0.107  -0.235 -0.107  -0.088 -0.065  0.050 -0.000  0.176 0.092  0.334 0.107  0.471 0.173  0.618 0.213
2#app#app31#app3173/a  0.956 1.066  0.793 1.066  0.629 1.066  0.476 1.025  0.330 0.952  0.183 0.879  0.023 0.867  -0.140 0.867  -0.285 0.821  -0.400 0.706  -0.516 0.590  -0.631 0.475  -0.747 0.359  -0.862 0.244  -0.978 0.128  -1.093 0.013  -1.209 -0.103  -1.234 -0.255  -1.234 -0.419  -1.234 -0.582  -1.234 -0.745  -1.234 -0.909  -1.086 -0.924  -0.923 -0.924  -0.760 -0.924  -0.596 -0.924  -0.434 -0.921  -0.319 -0.806  -0.203 -0.690  -0.088 -0.575  0.028 -0.459  0.143 -0.344  0.300 -0.327  0.432 -0.253  0.548 -0.138  0.625 0.006  0.698 0.152  0.788 0.270  0.951 0.270  0.956 0.429  0.833 0.469  0.757 0.382  0.757 0.219  0.757 0.056  0.757 -0.108  0.757 -0.271  0.864 -0.327  0.956 -0.399  0.992 -0.526  1.155 -0.526
2#app#app31#app3173/i  -0.016 0.319  -0.016 0.204  -0.016 0.090  -0.016 -0.024  -0.016 -0.139  -0.016 -0.253  -0.016 -0.367  -0.016 -0.482  -0.016 -0.596  -0.016 -0.710  -0.016 -0.825  -0.016 -0.939  -0.016 -1.054  -0.016 -1.168  -0.016 -1.282  -0.016 -1.397  0.041 -1.454  0.156 -1.454  0.175 -1.365  0.167 -1.251  0.158 -1.137  0.150 -1.023  0.142 -0.909  0.134 -0.795  0.126 -0.681  0.118 -0.567  0.110 -0.453  0.101 -0.339  0.093 -0.225  0.085 -0.111  0.077 0.003  0.069 0.118  0.061 0.232  0.053 0.346  0.044 0.460  0.036 0.574  0.028 0.688  0.020 0.802  0.012 0.916  0.004 1.030  -0.005 1.144  -0.013 1.258  -0.016 1.372  -0.016 1.487  -0.117 1.500  -0.226 1.513  -0.306 1.594  -0.387 1.675  -0.410 1.780  -0.410 1.894
2#app#app31#app3173/l  0.064 1.285  0.064 1.357  0.064 1.430  0.064 1.503  0.064 1.501  0.064 1.428  0.064 1.355  0.064 1.282  0.064 1.209  0.064 1.136  0.064 1.064  0.064 0.991  0.064 0.918  0.064 0.845  0.064 0.772  0.064 0.699  0.064 0.626  0.064 0.553  0.054 0.481  0.037 0.411  0.019 0.340  0.001 0.269  -0.017 0.199  -0.034 0.128  -0.052 0.057  -0.063 -0.015  -0.063 -0.087  -0.063 -0.160  -0.063 -0.233  -0.063 -0.306  -0.063 -0.379  -0.063 -0.452  -0.063 -0.525  -0.063 -0.598  -0.063 -0.671  -0.063 -0.744  -0.063 -0.817  -0.063 -0.889  -0.063 -0.962  -0.063 -1.035  -0.063 -1.108  -0.063 -1.181  -0.063 -1.254  -0.063 -1.327  -0.063 -1.400  -0.063 -1.473  -0.027 -1.510  0.046 -1.510  0.064 -1.565  0.064 -1.637
2#app#app31#app3173/e  -0.905 -0.241  -0.905 -0.069  -0.804 0.002  -0.632 0.002  -0.460 0.002  -0.326 0.095  -0.205 0.217  -0.044 0.244  0.128 0.244  0.300 0.244  0.309 0.407  0.401 0.487  0.573 0.487  0.745 0.487  0.881 0.574  1.002 0.696  1.160 0.730  1.279 0.783  1.279 0.955  1.125 0.972  0.953 0.972  0.785 0.964  0.663 0.842  0.538 0.730  0.366 0.730  0.194 0.730  0.035 0.699  -0.087 0.577  -0.217 0.467  -0.371 0.390  -0.524 0.313  -0.675 0.232  -0.796 0.110  -0.905 -0.017  -0.905 -0.189  -0.905 -0.361  -0.905 -0.533  -0.905 -0.705  -0.905 -0.877  -0.825 -0.969  -0.653 -0.969  -0.481 -0.969  -0.342 -1.047  -0.220 -1.169  -0.066 -1.212  0.106 -1.212  0.278 -1.212  0.450 -1.212  0.622 -1.212  0.794 -1.212
2#app#app31#app3173/d  0.321 -0.165  0.259 -0.026  0.058 -0.026  -0.143 -0.026  -0.344 -0.026  -0.527 -0.103  -0.694 -0.210  -0.788 -0.372  -0.919 -0.442  -0.926 -0.635  -0.926 -0.836  -0.898 -1.025  -0.742 -1.135  -0.541 -1.135  -0.350 -1.113  -0.208 -0.971  -0.095 -0.816  -0.095 -0.616  0.022 -0.463  0.044 -0.271  0.110 -0.098  0.182 0.073  0.182 0.274  0.182 0.475  0.182 0.676  0.182 0.877  0.182 1.077  0.270 1.258  0.321 1.446  0.321 1.647  0.321 1.848  0.321 1.779  0.233 1.599  0.182 1.410  0.182 1.209  0.182 1.008  0.182 0.807  0.182 0.606  0.182 0.406  0.182 0.205  0.182 0.004  0.182 -0.197  0.182 -0.398  0.195 -0.593  0.321 -0.742  0.321 -0.943  0.330 -1.135  0.459 -1.206  0.459 -1.407  0.598 -1.551
2#app#app31#app3173/w  -0.824 0.625  -0.694 0.625  -0.808 0.625  -0.824 0.512  -0.824 0.382  -0.824 0.253  -0.824 0.124  -0.882 0.019  -0.961 -0.078  -0.961 -0.207  -0.962 -0.336  -1.053 -0.427  -1.098 -0.538  -1.098 -0.667  -1.047 -0.746  -0.961 -0.702  -0.936 -0.584  -0.844 -0.492  -0.724 -0.471  -0.621 -0.406  -0.530 -0.315  -0.439 -0.224  -0.320 -0.197  -0.275 -0.113  -0.199 -0.060  -0.070 -0.060  0.060 -0.060  0.136 -0.113  0.136 -0.242  0.136 -0.372  0.165 -0.471  0.294 -0.471  0.410 -0.458  0.415 -0.332  0.531 -0.274  0.646 -0.216  0.746 -0.136  0.837 -0.044  0.928 0.047  1.045 0.077  1.095 0.156  1.146 0.264  1.232 0.358  1.232 0.487  1.323 0.579  1.369 0.689  1.369 0.818  1.391 0.942  1.449 1.058  1.506 1.173
2#app#app31#app3173/i  0.275 0.394  0.154 0.394  0.103 0.324  0.103 0.203  0.103 0.082  0.040 -0.013  -0.045 -0.098  -0.069 -0.209  -0.069 -0.330  -0.069 -0.451  -0.069 -0.572  -0.069 -0.693  -0.069 -0.814  -0.069 -0.934  -0.069 -1.055  -0.069 -1.176  -0.069 -1.297  -0.069 -1.418  -0.028 -1.498  0.093 -1.498  0.097 -1.388  0.091 -1.267  0.084 -1.146  0.078 -1.025  0.072 -0.905  0.065 -0.784  0.059 -0.663  0.053 -0.543  0.046 -0.422  0.040 -0.301  0.034 -0.180  0.027 -0.060  0.021 0.061  0.015 0.182  0.008 0.302  0.002 0.423  -0.005 0.544  -0.011 0.665  -0.017 0.785  -0.024 0.906  -0.030 1.027  -0.036 1.147  -0.043 1.268  -0.049 1.389  -0.055 1.510  -0.062 1.630  -0.068 1.751  -0.069 1.872  -0.120 1.942  -0.241 1.942
2#app#app31#app3173/z  -0.090 1.384  0.063 1.419  0.131 1.538  0.318 1.538  0.506 1.538  0.676 1.520  0.624 1.384  0.522 1.299  0.438 1.147  0.305 1.014  0.173 0.882  0.040 0.749  -0.092 0.617  -0.224 0.484  -0.357 0.352  -0.489 0.220  -0.622 0.087  -0.703 -0.066  -0.751 -0.242  -0.834 -0.410  -0.856 -0.592  -0.843 -0.774  -0.710 -0.906  -0.533 -0.930  -0.400 -1.063  -0.215 -1.066  -0.027 -1.066  0.160 -1.066  0.347 -1.066  0.534 -1.066  0.722 -1.066  0.909 -1.066  0.882 -1.011  0.718 -0.920  0.554 -0.829  0.391 -0.738  0.227 -0.647  0.063 -0.556  -0.100 -0.465  -0.264 -0.374  -0.432 -0.301  -0.550 -0.231  -0.550 -0.044  -0.412 0.006  -0.243 0.083  -0.074 0.159  0.063 0.210  0.148 0.312  0.335 0.312  0.522 0.312
2#app#app31#app3173/a  -0.077 0.736  -0.249 0.736  -0.420 0.736  -0.592 0.736  -0.764 0.736  -0.897 0.643  -1.018 0.522  -1.140 0.401  -1.261 0.279  -1.288 0.119  -1.288 -0.053  -1.288 -0.225  -1.172 -0.348  -1.051 -0.470  -0.881 -0.475  -0.710 -0.475  -0.538 -0.475  -0.366 -0.475  -0.231 -0.387  -0.110 -0.265  0.012 -0.144  0.133 -0.022  0.254 0.099  0.376 0.220  0.407 0.379  0.447 0.534  0.569 0.656  0.650 0.794  0.650 0.965  0.650 1.137  0.650 1.133  0.650 0.961  0.650 0.790  0.566 0.653  0.444 0.531  0.407 0.375  0.407 0.203  0.407 0.032  0.407 -0.140  0.407 -0.312  0.407 -0.483  0.407 -0.655  0.407 -0.827  0.407 -0.998  0.407 -1.170  0.548 -1.201  0.699 -1.251  0.820 -1.372  0.962 -1.444  1.134 -1.444
2#app#app31#app3173/r  -0.243 -0.448  -0.243 -0.544  -0.243 -0.639  -0.243 -0.734  -0.243 -0.829  -0.243 -0.924  -0.267 -0.995  -0.363 -0.995  -0.458 -0.995  -0.516 -1.032  -0.516 -1.127  -0.516 -1.222  -0.516 -1.219  -0.516 -1.124  -0.516 -1.028  -0.516 -0.933  -0.516 -0.838  -0.516 -0.743  -0.464 -0.669  -0.396 -0.602  -0.329 -0.535  -0.262 -0.467  -0.243 -0.380  -0.243 -0.285  -0.243 -0.190  -0.186 -0.118  -0.118 -0.051  -0.051 0.017  0.016 0.084  0.030 0.173  0.030 0.269  0.030 0.364  0.092 0.433  0.160 0.501  0.227 0.568  0.294 0.635  0.304 0.727  0.304 0.822  0.304 0.917  0.370 0.985  0.438 1.052  0.505 1.119  0.572 1.187  0.640 1.254  0.707 1.321  0.774 1.388  0.842 1.456  0.933 1.465  1.028 1.465  1.124 1.465
