2#tos#t1#t1006065/\"  -0.785 1.068  -0.924 1.050  -0.924 0.893  -0.924 0.736  -0.924 0.579  -0.924 0.422  -0.912 0.266  -0.862 0.117  -0.855 -0.038  -0.855 -0.195  -0.855 -0.353  -0.855 -0.510  -0.855 -0.667  -0.855 -0.824  -0.855 -0.981  -0.804 -0.948  -0.678 -0.892  -0.590 -0.761  -0.503 -0.630  -0.416 -0.499  -0.329 -0.369  -0.242 -0.238  -0.155 -0.107  -0.068 0.023  0.019 0.154  0.107 0.285  0.194 0.415  0.281 0.546  0.368 0.677  0.455 0.807  0.542 0.938  0.629 1.069  0.605 1.132  0.605 0.975  0.605 0.818  0.632 0.667  0.675 0.520  0.675 0.363  0.743 0.235  0.745 0.078  0.745 -0.079  0.782 -0.221  0.814 -0.364  0.814 -0.522  0.869 -0.656  0.953 -0.737  0.953 -0.894  0.953 -1.051  1.023 -1.139  1.162 -1.157
2#tos#t1#t1006065/#  -0.637 0.453  -0.580 0.412  -0.191 0.412  0.198 0.412  0.581 0.453  0.501 0.322  0.162 0.132  -0.178 -0.058  -0.517 -0.247  -0.801 -0.483  -0.506 -0.522  -0.117 -0.522  0.271 -0.522  0.660 -0.522  0.856 -0.505  0.657 -0.170  0.459 0.164  0.261 0.498  0.063 0.833  -0.135 1.167  -0.333 1.502  -0.515 1.504  -0.515 1.115  -0.474 0.743  -0.474 0.355  -0.474 -0.034  -0.474 -0.423  -0.474 -0.811  -0.474 -1.200  -0.474 -1.589  -0.432 -1.590  -0.348 -1.210  -0.264 -0.831  -0.181 -0.451  -0.097 -0.072  -0.013 0.308  0.071 0.687  0.155 1.067  0.239 1.446  0.216 1.676  0.257 1.297  0.338 0.924  0.338 0.536  0.338 0.147  0.394 -0.228  0.462 -0.584  0.500 -0.950  0.500 -1.338  0.541 -1.718  0.663 -1.984
2#tos#t1#t1006065/&  0.618 -0.121  0.523 -0.247  0.464 -0.423  0.402 -0.598  0.340 -0.755  0.278 -0.936  0.184 -1.078  0.062 -1.211  -0.123 -1.263  -0.311 -1.232  -0.524 -1.227  -0.586 -1.070  -0.678 -0.920  -0.716 -0.738  -0.740 -0.544  -0.648 -0.394  -0.586 -0.237  -0.470 -0.075  -0.366 0.064  -0.230 0.204  -0.092 0.311  0.038 0.465  0.168 0.620  0.278 0.728  0.314 0.938  0.371 1.138  0.371 1.357  0.256 1.484  0.111 1.577  -0.061 1.623  -0.234 1.608  -0.370 1.501  -0.432 1.344  -0.454 1.158  -0.401 0.975  -0.352 0.805  -0.277 0.661  -0.212 0.465  -0.117 0.342  -0.002 0.221  0.103 0.064  0.186 -0.095  0.248 -0.275  0.309 -0.433  0.388 -0.586  0.434 -0.769  0.525 -0.897  0.587 -1.054  0.680 -1.181  0.741 -1.294
2#tos#t1#t1006065/(  0.618 1.300  0.555 1.236  0.511 1.222  0.446 1.247  0.356 1.247  0.265 1.247  0.175 1.247  0.085 1.247  -0.005 1.247  -0.037 1.180  -0.077 1.107  -0.131 1.070  -0.131 0.980  -0.167 0.926  -0.184 0.853  -0.209 0.769  -0.237 0.685  -0.237 0.595  -0.284 0.551  -0.291 0.468  -0.291 0.378  -0.291 0.288  -0.291 0.198  -0.340 0.128  -0.344 0.039  -0.344 -0.051  -0.344 -0.141  -0.344 -0.231  -0.344 -0.321  -0.344 -0.412  -0.304 -0.492  -0.237 -0.526  -0.237 -0.616  -0.184 -0.684  -0.184 -0.774  -0.106 -0.786  -0.077 -0.848  -0.077 -0.938  -0.041 -1.019  0.028 -1.054  0.083 -1.089  0.134 -1.158  0.223 -1.161  0.260 -1.214  0.335 -1.251  0.418 -1.268  0.458 -1.318  0.511 -1.355  0.582 -1.375  0.672 -1.375
2#tos#t1#t1006065/*  -0.804 -0.164  -0.773 -0.227  -0.339 -0.220  0.088 -0.164  0.524 -0.164  0.681 -0.047  0.569 0.374  0.457 0.795  0.344 1.216  0.232 1.636  0.007 1.584  0.018 1.176  -0.046 0.767  -0.046 0.331  -0.046 -0.105  -0.109 -0.514  -0.109 -0.950  0.018 -1.308  0.018 -1.743  -0.098 -1.325  -0.233 -0.911  -0.368 -0.497  -0.503 -0.083  -0.637 0.332  -0.772 0.746  -0.997 1.036  -0.997 0.795  -0.804 0.501  -0.547 0.271  -0.338 -0.038  -0.156 -0.377  0.081 -0.690  0.395 -0.921  0.586 -1.167  0.692 -0.939  0.753 -0.508  0.815 -0.077  0.877 0.355  0.938 0.786  1.000 1.217  0.861 1.248  0.712 0.948  0.429 0.642  0.208 0.404  0.040 0.089  -0.106 -0.284  -0.359 -0.541  -0.488 -0.850  -0.740 -1.070  -0.930 -1.364
2#tos#t1#t1006065/,  0.682 1.466  0.605 1.466  0.528 1.466  0.451 1.466  0.418 1.423  0.418 1.346  0.389 1.276  0.354 1.207  0.320 1.138  0.286 1.069  0.286 0.992  0.276 0.918  0.241 0.849  0.207 0.780  0.172 0.711  0.154 0.639  0.154 0.562  0.154 0.485  0.154 0.408  0.154 0.331  0.154 0.254  0.154 0.177  0.154 0.100  0.154 0.023  0.106 -0.034  0.052 -0.088  -0.002 -0.143  -0.057 -0.197  -0.111 -0.252  -0.111 -0.329  -0.111 -0.406  -0.111 -0.483  -0.111 -0.560  -0.111 -0.636  -0.170 -0.677  -0.239 -0.711  -0.307 -0.746  -0.375 -0.781  -0.375 -0.858  -0.375 -0.935  -0.375 -1.012  -0.375 -1.089  -0.375 -1.166  -0.442 -1.176  -0.507 -1.187  -0.507 -1.264  -0.507 -1.341  -0.507 -1.418  -0.507 -1.495  -0.507 -1.572
2#tos#t1#t1006065/.  0.084 1.504  -0.005 1.504  -0.093 1.504  -0.181 1.504  -0.270 1.504  -0.310 1.456  -0.310 1.367  -0.310 1.279  -0.310 1.191  -0.310 1.102  -0.310 1.014  -0.310 0.926  -0.310 0.837  -0.310 0.749  -0.310 0.661  -0.310 0.572  -0.310 0.484  -0.310 0.396  -0.310 0.308  -0.310 0.219  -0.310 0.131  -0.310 0.043  -0.310 -0.046  -0.310 -0.134  -0.310 -0.222  -0.310 -0.311  -0.310 -0.399  -0.286 -0.463  -0.198 -0.463  -0.109 -0.463  -0.021 -0.463  0.067 -0.463  0.156 -0.463  0.244 -0.463  0.332 -0.463  0.421 -0.463  0.477 -0.495  0.477 -0.584  0.477 -0.672  0.477 -0.760  0.477 -0.849  0.477 -0.937  0.477 -1.025  0.477 -1.114  0.477 -1.202  0.477 -1.290  0.477 -1.379  0.477 -1.467  0.477 -1.555  0.477 -1.644
2#tos#t1#t1006065/:  0.074 1.520  0.074 1.444  0.033 1.384  -0.021 1.330  -0.075 1.276  -0.134 1.237  -0.211 1.237  -0.287 1.237  -0.303 1.177  -0.303 1.100  -0.280 1.048  -0.208 1.042  -0.192 0.968  -0.177 0.893  -0.161 0.818  -0.145 0.743  -0.130 0.669  -0.114 0.594  -0.099 0.519  -0.083 0.445  -0.068 0.370  -0.052 0.295  -0.037 0.221  -0.021 0.146  -0.005 0.071  0.010 -0.004  0.026 -0.078  0.041 -0.153  0.057 -0.228  0.072 -0.302  0.088 -0.377  0.104 -0.452  0.119 -0.526  0.135 -0.601  0.150 -0.676  0.166 -0.751  0.181 -0.825  0.197 -0.900  0.212 -0.975  0.228 -1.049  0.244 -1.124  0.259 -1.199  0.224 -1.258  0.170 -1.312  0.116 -1.366  0.062 -1.420  0.008 -1.474  -0.020 -1.539  -0.002 -1.597  0.074 -1.597
2#tos#t1#t1006065/=  -0.794 1.045  -0.880 0.957  -0.971 0.872  -0.971 0.697  -0.979 0.691  -0.804 0.691  -0.629 0.691  -0.454 0.691  -0.279 0.691  -0.104 0.691  0.071 0.691  0.246 0.691  0.421 0.691  0.596 0.691  0.771 0.691  0.857 0.780  0.976 0.835  1.023 0.834  0.887 0.724  0.751 0.614  0.615 0.504  0.479 0.394  0.343 0.284  0.207 0.174  0.071 0.064  -0.065 -0.046  -0.201 -0.156  -0.337 -0.266  -0.473 -0.376  -0.609 -0.486  -0.745 -0.597  -0.887 -0.698  -1.032 -0.795  -1.059 -0.956  -0.918 -0.990  -0.794 -0.940  -0.657 -0.902  -0.496 -0.869  -0.344 -0.813  -0.170 -0.809  -0.031 -0.725  0.144 -0.725  0.319 -0.725  0.480 -0.690  0.633 -0.636  0.807 -0.636  0.982 -0.636  1.157 -0.636  1.332 -0.636  1.507 -0.636
2#tos#t1#t1006065/[  0.474 1.408  0.433 1.363  0.384 1.324  0.305 1.318  0.226 1.283  0.142 1.273  0.061 1.246  -0.021 1.228  -0.108 1.228  -0.194 1.228  -0.201 1.148  -0.201 1.061  -0.201 0.974  -0.184 0.895  -0.201 0.865  -0.201 0.778  -0.201 0.691  -0.201 0.605  -0.201 0.518  -0.201 0.431  -0.201 0.345  -0.201 0.258  -0.201 0.171  -0.201 0.085  -0.201 -0.002  -0.201 -0.089  -0.201 -0.175  -0.201 -0.262  -0.201 -0.349  -0.201 -0.435  -0.201 -0.522  -0.201 -0.609  -0.201 -0.695  -0.201 -0.782  -0.201 -0.869  -0.201 -0.955  -0.201 -1.042  -0.201 -1.129  -0.145 -1.159  -0.058 -1.159  0.028 -1.159  0.115 -1.159  0.202 -1.159  0.288 -1.159  0.375 -1.159  0.462 -1.159  0.548 -1.159  0.635 -1.159  0.715 -1.144  0.745 -1.069
2#tos#t1#t1006065/]  -0.882 1.107  -0.928 1.027  -0.886 0.971  -0.788 0.971  -0.690 0.971  -0.592 0.971  -0.494 0.971  -0.429 1.004  -0.343 1.016  -0.244 1.016  -0.146 1.016  -0.094 1.061  0.005 1.061  0.103 1.061  0.115 1.066  0.162 1.014  0.206 0.926  0.206 0.828  0.206 0.730  0.206 0.632  0.206 0.533  0.206 0.435  0.237 0.350  0.251 0.258  0.251 0.160  0.251 0.061  0.251 -0.037  0.268 -0.118  0.297 -0.188  0.297 -0.286  0.297 -0.384  0.297 -0.482  0.297 -0.580  0.297 -0.678  0.297 -0.777  0.328 -0.843  0.342 -0.927  0.387 -0.980  0.387 -1.078  0.387 -1.177  0.364 -1.251  0.266 -1.251  0.167 -1.251  0.069 -1.251  -0.029 -1.251  -0.127 -1.251  -0.225 -1.251  -0.293 -1.282  -0.376 -1.297  -0.338 -1.342
