3#apb#apb12#app1216/I  -0.315 1.623  -0.349 1.672  -0.336 1.598  -0.324 1.524  -0.311 1.450  -0.298 1.376  -0.286 1.302  -0.273 1.228  -0.260 1.154  -0.247 1.080  -0.235 1.006  -0.222 0.932  -0.209 0.858  -0.196 0.784  -0.184 0.710  -0.171 0.636  -0.158 0.562  -0.145 0.488  -0.133 0.414  -0.120 0.340  -0.107 0.266  -0.095 0.192  -0.082 0.118  -0.068 0.044  -0.049 -0.028  -0.030 -0.101  -0.011 -0.174  0.008 -0.246  0.027 -0.319  0.045 -0.392  0.066 -0.464  0.088 -0.536  0.109 -0.608  0.131 -0.680  0.153 -0.751  0.174 -0.823  0.195 -0.896  0.216 -0.968  0.237 -1.040  0.262 -1.110  0.288 -1.181  0.315 -1.251  0.349 -1.318  0.376 -1.388  0.372 -1.367  0.362 -1.292  0.354 -1.218  0.347 -1.143  0.359 -1.070  0.379 -0.998
3#apb#apb12#app1216/n  -0.829 0.328  -0.788 0.195  -0.746 0.062  -0.706 -0.071  -0.666 -0.205  -0.627 -0.339  -0.594 -0.474  -0.565 -0.610  -0.539 -0.747  -0.519 -0.885  -0.502 -1.023  -0.502 -1.162  -0.506 -1.100  -0.512 -0.961  -0.518 -0.822  -0.525 -0.683  -0.531 -0.544  -0.537 -0.405  -0.543 -0.265  -0.549 -0.126  -0.555 0.013  -0.561 0.152  -0.567 0.291  -0.574 0.430  -0.580 0.570  -0.586 0.709  -0.548 0.832  -0.456 0.937  -0.343 1.013  -0.211 1.048  -0.072 1.048  0.063 1.014  0.195 0.972  0.315 0.901  0.435 0.831  0.530 0.729  0.624 0.626  0.722 0.527  0.825 0.433  0.927 0.339  1.000 0.221  1.068 0.099  1.136 -0.022  1.184 -0.153  1.228 -0.285  1.258 -0.421  1.287 -0.557  1.302 -0.696  1.339 -0.826  1.420 -0.939
3#apb#apb12#app1216/  -1.354 -0.242  -1.425 -0.242  -1.494 -0.232  -1.510 -0.196  -1.454 -0.153  -1.393 -0.122  -1.322 -0.115  -1.251 -0.109  -1.181 -0.102  -1.110 -0.096  -1.039 -0.089  -0.969 -0.083  -0.898 -0.077  -0.827 -0.070  -0.756 -0.064  -0.686 -0.057  -0.615 -0.051  -0.544 -0.045  -0.474 -0.038  -0.403 -0.032  -0.332 -0.025  -0.262 -0.019  -0.191 -0.012  -0.120 -0.006  -0.050 0.000  0.021 0.007  0.092 0.013  0.162 0.020  0.233 0.026  0.304 0.033  0.374 0.039  0.445 0.045  0.516 0.052  0.587 0.058  0.657 0.065  0.728 0.071  0.799 0.078  0.869 0.084  0.940 0.090  1.011 0.097  1.081 0.103  1.152 0.110  1.223 0.116  1.293 0.123  1.364 0.129  1.435 0.135  1.505 0.142  1.571 0.166  1.624 0.212  1.674 0.262
3#apb#apb12#app1216/Y  -1.118 0.827  -1.023 0.637  -0.923 0.450  -0.816 0.266  -0.675 0.109  -0.521 -0.037  -0.345 -0.150  -0.190 -0.070  -0.059 0.097  0.073 0.264  0.204 0.431  0.336 0.597  0.467 0.764  0.599 0.931  0.654 1.131  0.717 1.332  0.766 1.538  0.901 1.643  0.915 1.476  0.808 1.293  0.700 1.109  0.592 0.926  0.485 0.743  0.377 0.560  0.269 0.377  0.162 0.194  0.054 0.011  -0.053 -0.172  -0.102 -0.352  -0.113 -0.564  -0.124 -0.776  -0.135 -0.988  -0.144 -1.198  -0.156 -1.002  -0.177 -0.791  -0.203 -0.580  -0.277 -0.383  -0.337 -0.179  -0.373 0.029  -0.363 0.058  -0.300 -0.145  -0.238 -0.348  -0.192 -0.556  -0.153 -0.764  -0.116 -0.974  -0.073 -1.181  -0.023 -1.388  0.033 -1.593  0.079 -1.800  0.129 -1.798
3#apb#apb12#app1216/u  -1.356 0.956  -1.329 0.822  -1.320 0.686  -1.341 0.550  -1.359 0.414  -1.368 0.277  -1.347 0.152  -1.248 0.056  -1.150 -0.040  -1.052 -0.137  -0.954 -0.233  -0.856 -0.329  -0.758 -0.425  -0.660 -0.521  -0.561 -0.617  -0.463 -0.713  -0.354 -0.668  -0.251 -0.578  -0.160 -0.476  -0.077 -0.366  0.005 -0.256  0.069 -0.136  0.118 -0.008  0.172 0.119  0.224 0.245  0.263 0.377  0.285 0.512  0.282 0.648  0.255 0.783  0.235 0.877  0.216 0.748  0.216 0.610  0.224 0.474  0.255 0.340  0.284 0.206  0.308 0.071  0.358 -0.057  0.404 -0.186  0.457 -0.306  0.565 -0.390  0.687 -0.449  0.821 -0.475  0.958 -0.470  1.094 -0.450  1.228 -0.420  1.354 -0.371  1.471 -0.299  1.591 -0.233  1.719 -0.182  1.846 -0.131
3#apb#apb12#app1216/n  -1.168 0.346  -1.087 0.261  -1.032 0.153  -0.981 0.042  -0.933 -0.069  -0.888 -0.182  -0.843 -0.295  -0.798 -0.408  -0.753 -0.521  -0.708 -0.634  -0.662 -0.747  -0.617 -0.860  -0.572 -0.973  -0.566 -0.883  -0.574 -0.763  -0.606 -0.645  -0.630 -0.527  -0.630 -0.405  -0.629 -0.284  -0.617 -0.163  -0.600 -0.042  -0.577 0.077  -0.543 0.194  -0.501 0.308  -0.447 0.416  -0.380 0.517  -0.302 0.610  -0.214 0.694  -0.121 0.773  -0.009 0.798  0.113 0.798  0.234 0.798  0.353 0.778  0.468 0.740  0.582 0.697  0.691 0.643  0.792 0.576  0.889 0.503  0.959 0.404  1.026 0.303  1.089 0.198  1.152 0.094  1.202 -0.017  1.250 -0.128  1.291 -0.243  1.328 -0.358  1.328 -0.480  1.371 -0.591  1.397 -0.705  1.478 -0.795
3#apb#apb12#app1216/g  -0.336 0.335  -0.206 0.423  -0.104 0.551  -0.077 0.708  -0.062 0.872  -0.046 1.035  -0.128 1.156  -0.281 1.192  -0.436 1.140  -0.586 1.074  -0.723 0.987  -0.837 0.870  -0.940 0.742  -1.030 0.607  -1.082 0.452  -1.115 0.291  -1.138 0.130  -1.121 -0.032  -1.057 -0.180  -0.924 -0.271  -0.769 -0.320  -0.605 -0.320  -0.445 -0.283  -0.286 -0.242  -0.132 -0.189  0.020 -0.127  0.160 -0.047  0.217 0.106  0.221 0.270  0.221 0.434  0.236 0.534  0.348 0.418  0.475 0.315  0.591 0.200  0.697 0.074  0.788 -0.062  0.879 -0.199  0.975 -0.332  1.056 -0.474  1.109 -0.628  1.138 -0.789  1.123 -0.948  1.035 -1.087  0.910 -1.191  0.767 -1.258  0.603 -1.269  0.440 -1.258  0.281 -1.222  0.138 -1.146  0.041 -1.040
3#apb#apb12#app1216/J  0.202 0.556  0.240 0.450  0.276 0.296  0.310 0.141  0.343 -0.014  0.376 -0.169  0.409 -0.324  0.443 -0.479  0.476 -0.634  0.509 -0.790  0.542 -0.945  0.576 -1.100  0.535 -1.211  0.382 -1.248  0.225 -1.222  0.070 -1.190  -0.082 -1.145  -0.228 -1.086  -0.368 -1.012  -0.508 -0.937  -0.622 -0.832  -0.566 -0.711  -0.419 -0.655  -0.413 -0.540  -0.491 -0.402  -0.569 -0.264  -0.647 -0.126  -0.725 0.012  -0.803 0.150  -0.881 0.288  -0.999 0.359  -1.133 0.432  -1.115 0.567  -0.965 0.603  -0.808 0.629  -0.652 0.656  -0.495 0.682  -0.339 0.708  -0.183 0.735  -0.026 0.761  0.130 0.788  0.286 0.814  0.443 0.840  0.599 0.867  0.755 0.893  0.912 0.920  1.068 0.946  1.225 0.973  1.381 0.999  1.325 0.972
3#apb#apb12#app1216/.  0.499 0.947  0.429 1.017  0.359 1.087  0.289 1.157  0.191 1.158  0.093 1.158  0.077 1.076  0.077 0.977  0.107 0.885  0.152 0.797  0.196 0.709  0.240 0.620  0.284 0.532  0.378 0.525  0.477 0.525  0.576 0.525  0.675 0.525  0.773 0.525  0.872 0.525  0.887 0.490  0.817 0.420  0.747 0.350  0.677 0.280  0.607 0.210  0.537 0.140  0.467 0.070  0.398 0.001  0.328 -0.069  0.258 -0.139  0.188 -0.209  0.118 -0.279  0.045 -0.344  -0.034 -0.404  -0.113 -0.463  -0.192 -0.522  -0.271 -0.582  -0.351 -0.641  -0.430 -0.700  -0.509 -0.759  -0.588 -0.819  -0.667 -0.878  -0.746 -0.937  -0.827 -0.993  -0.909 -1.048  -0.991 -1.103  -1.074 -1.158  -1.156 -1.213  -1.238 -1.267  -1.320 -1.322  -1.402 -1.377
3#apb#apb12#app1216/M  -1.251 0.475  -1.220 0.332  -1.169 0.142  -1.118 -0.048  -1.066 -0.238  -1.015 -0.428  -0.964 -0.618  -0.912 -0.809  -0.949 -0.828  -0.968 -0.633  -0.962 -0.437  -0.924 -0.244  -0.907 -0.048  -0.886 0.148  -0.860 0.343  -0.802 0.530  -0.734 0.715  -0.627 0.877  -0.459 0.952  -0.312 0.829  -0.200 0.667  -0.104 0.495  -0.030 0.313  0.039 0.129  0.102 -0.058  0.167 -0.244  0.237 -0.428  0.288 -0.618  0.339 -0.808  0.383 -0.884  0.383 -0.687  0.383 -0.490  0.383 -0.293  0.408 -0.099  0.442 0.095  0.480 0.289  0.525 0.479  0.606 0.659  0.711 0.825  0.851 0.885  0.966 0.730  1.041 0.549  1.084 0.357  1.126 0.165  1.167 -0.028  1.200 -0.222  1.229 -0.416  1.248 -0.612  1.276 -0.807  1.374 -0.954
3#apb#apb12#app1216/a  -1.237 -0.818  -1.197 -1.015  -1.189 -1.051  -1.209 -0.852  -1.144 -0.666  -1.061 -0.483  -0.979 -0.300  -0.896 -0.118  -0.814 0.065  -0.731 0.248  -0.648 0.431  -0.566 0.613  -0.483 0.796  -0.401 0.979  -0.318 1.162  -0.236 1.344  -0.091 1.431  0.101 1.380  0.254 1.261  0.388 1.111  0.493 0.940  0.595 0.768  0.684 0.588  0.763 0.404  0.814 0.211  0.863 0.016  0.909 -0.179  0.952 -0.375  0.988 -0.572  1.037 -0.766  1.018 -0.852  0.829 -0.786  0.639 -0.720  0.450 -0.655  0.260 -0.589  0.071 -0.523  -0.119 -0.458  -0.308 -0.392  -0.498 -0.326  -0.687 -0.261  -0.623 -0.221  -0.425 -0.194  -0.226 -0.168  -0.027 -0.141  0.172 -0.115  0.371 -0.090  0.571 -0.073  0.769 -0.043  0.964 -0.000  1.158 0.052
