3#apa#apa02#app0283/o  -0.147 1.000  -0.010 1.000  0.028 1.099  -0.032 1.176  -0.163 1.160  -0.261 1.062  -0.372 1.000  -0.499 0.989  -0.499 0.852  -0.577 0.746  -0.674 0.649  -0.675 0.512  -0.773 0.472  -0.851 0.413  -0.851 0.275  -0.851 0.138  -0.851 -0.000  -0.851 -0.138  -0.851 -0.275  -0.851 -0.413  -0.851 -0.550  -0.747 -0.584  -0.675 -0.649  -0.648 -0.760  -0.510 -0.760  -0.499 -0.886  -0.411 -0.936  -0.274 -0.936  -0.136 -0.936  0.002 -0.936  0.139 -0.936  0.277 -0.936  0.414 -0.936  0.552 -0.936  0.650 -0.841  0.748 -0.744  0.845 -0.647  0.908 -0.535  0.915 -0.401  1.012 -0.304  1.084 -0.196  1.084 -0.058  1.084 0.079  1.015 0.189  0.918 0.286  0.908 0.419  0.848 0.532  0.751 0.629  0.653 0.726  0.556 0.824
3#apa#apa02#app0283/r  -0.772 0.610  -0.772 0.466  -0.695 0.354  -0.594 0.253  -0.594 0.109  -0.594 -0.035  -0.594 -0.178  -0.553 -0.282  -0.415 -0.288  -0.415 -0.431  -0.415 -0.575  -0.415 -0.719  -0.415 -0.862  -0.404 -0.995  -0.261 -0.995  -0.237 -1.115  -0.237 -1.259  -0.186 -1.352  -0.070 -1.340  -0.172 -1.239  -0.237 -1.122  -0.237 -0.978  -0.237 -0.835  -0.326 -0.728  -0.415 -0.621  -0.415 -0.477  -0.415 -0.334  -0.415 -0.190  -0.375 -0.063  -0.273 0.039  -0.237 0.167  -0.179 0.253  -0.059 0.276  -0.059 0.420  0.073 0.432  0.120 0.529  0.183 0.610  0.318 0.630  0.420 0.731  0.521 0.833  0.623 0.935  0.753 0.967  0.897 0.967  1.011 0.996  1.011 1.140  1.150 1.145  1.294 1.145  1.368 1.076  1.403 0.967  1.546 0.967
3#apa#apa02#app0283/*  0.709 0.983  1.009 1.087  1.160 1.225  0.997 0.983  0.740 0.744  0.472 0.445  0.268 0.100  0.031 -0.222  -0.149 -0.584  -0.386 -0.906  -0.610 -1.237  -0.790 -1.567  -0.942 -1.830  -0.942 -1.426  -0.832 -1.047  -0.785 -0.654  -0.642 -0.283  -0.624 0.117  -0.492 0.491  -0.492 0.895  -0.350 1.266  -0.256 1.584  -0.058 1.299  0.109 0.964  0.196 0.595  0.420 0.371  0.600 0.041  0.859 -0.168  0.671 -0.029  0.312 0.082  -0.074 0.193  -0.322 0.383  -0.665 0.533  -1.032 0.623  -1.092 0.364  -0.855 0.145  -0.539 -0.068  -0.239 -0.321  0.135 -0.394  0.488 -0.518  0.893 -0.518  1.021 -0.518  0.679 -0.668  0.274 -0.668  -0.068 -0.518  -0.434 -0.426  -0.187 -0.291  0.200 -0.218  0.605 -0.218  1.009 -0.218
3#apa#apa02#app0283/Z  -0.853 0.788  -0.929 0.967  -0.957 1.167  -0.782 1.203  -0.571 1.203  -0.360 1.203  -0.159 1.261  0.045 1.306  0.213 1.203  0.391 1.170  0.355 0.995  0.248 0.892  0.153 0.757  0.077 0.578  -0.072 0.429  -0.147 0.249  -0.272 0.083  -0.335 -0.113  -0.438 -0.281  -0.474 -0.456  -0.542 -0.600  -0.542 -0.810  -0.509 -1.008  -0.360 -1.157  -0.160 -1.182  0.051 -1.182  0.262 -1.182  0.473 -1.182  0.684 -1.182  0.885 -1.142  1.081 -1.078  1.249 -0.975  1.194 -0.958  1.015 -0.845  0.837 -0.732  0.659 -0.620  0.480 -0.507  0.302 -0.395  0.124 -0.282  -0.055 -0.169  -0.233 -0.057  -0.411 0.056  -0.589 0.168  -0.734 0.285  -0.560 0.373  -0.349 0.373  -0.138 0.373  0.073 0.373  0.284 0.373  0.391 0.269
3#apa#apa02#app0283/A  -0.735 -1.404  -0.735 -1.199  -0.735 -0.994  -0.735 -0.789  -0.735 -0.584  -0.735 -0.380  -0.662 -0.205  -0.594 -0.028  -0.594 0.176  -0.594 0.381  -0.594 0.586  -0.594 0.791  -0.594 0.996  -0.594 1.200  -0.594 1.405  -0.413 1.452  -0.249 1.552  -0.045 1.552  0.110 1.502  0.191 1.330  0.250 1.150  0.381 1.000  0.426 0.814  0.532 0.653  0.532 0.448  0.532 0.243  0.607 0.069  0.673 -0.108  0.673 -0.313  0.673 -0.518  0.673 -0.723  0.673 -0.928  0.813 -0.992  0.813 -1.196  0.705 -1.177  0.545 -1.049  0.386 -0.921  0.226 -0.793  0.066 -0.665  -0.094 -0.537  -0.254 -0.409  -0.414 -0.281  -0.574 -0.153  -0.415 -0.137  -0.211 -0.137  -0.006 -0.137  0.199 -0.137  0.404 -0.137  0.609 -0.137  0.813 -0.137
3#apa#apa02#app0283/P  -0.202 0.737  -0.202 0.532  -0.202 0.327  -0.202 0.122  -0.202 -0.083  -0.202 -0.287  -0.202 -0.492  -0.202 -0.697  -0.202 -0.902  -0.202 -1.107  -0.202 -1.312  -0.202 -1.516  -0.202 -1.721  -0.242 -1.616  -0.294 -1.418  -0.346 -1.220  -0.398 -1.022  -0.451 -0.824  -0.503 -0.626  -0.555 -0.428  -0.607 -0.230  -0.659 -0.031  -0.711 0.167  -0.763 0.365  -0.815 0.563  -0.828 0.766  -0.719 0.862  -0.640 0.987  -0.435 0.987  -0.259 1.056  -0.077 1.113  0.128 1.113  0.299 1.079  0.412 0.987  0.617 0.987  0.800 0.966  0.901 0.862  0.981 0.737  1.060 0.611  1.176 0.522  1.132 0.361  1.051 0.238  0.925 0.158  0.814 -0.001  0.741 -0.140  0.537 -0.146  0.354 -0.238  0.198 -0.367  0.003 -0.391  -0.202 -0.391
3#apa#apa02#app0283/*  0.454 0.292  0.790 0.292  0.933 0.484  1.030 0.724  0.895 0.734  0.658 0.496  0.406 0.292  0.126 0.157  -0.111 -0.081  -0.349 -0.318  -0.586 -0.556  -0.824 -0.793  -1.062 -1.031  -1.276 -1.278  -1.276 -1.261  -1.276 -0.925  -1.240 -0.597  -1.090 -0.297  -0.992 -0.000  -0.890 0.293  -0.653 0.531  -0.507 0.807  -0.313 1.061  0.023 1.061  0.359 1.061  0.488 0.834  0.726 0.596  0.838 0.307  0.929 0.009  1.031 -0.284  1.222 -0.429  1.126 -0.669  0.860 -0.499  0.623 -0.261  0.385 -0.024  0.100 0.100  -0.156 0.292  -0.492 0.292  -0.734 0.519  -1.005 0.677  -1.038 0.439  -0.763 0.292  -0.643 0.043  -0.363 -0.092  -0.106 -0.284  0.183 -0.398  0.486 -0.477  0.771 -0.601  1.079 -0.669  1.222 -0.861
3#apa#apa02#app0283/,  -0.512 1.483  -0.450 1.422  -0.389 1.360  -0.327 1.299  -0.266 1.237  -0.204 1.175  -0.143 1.114  -0.081 1.052  0.005 1.049  0.092 1.049  0.179 1.049  0.266 1.049  0.353 1.049  0.356 0.965  0.356 0.878  0.356 0.791  0.356 0.704  0.356 0.617  0.356 0.530  0.356 0.443  0.356 0.356  0.356 0.269  0.356 0.182  0.356 0.095  0.356 0.008  0.356 -0.079  0.356 -0.166  0.356 -0.253  0.294 -0.315  0.233 -0.376  0.171 -0.438  0.109 -0.500  0.048 -0.561  -0.014 -0.623  -0.075 -0.684  -0.078 -0.770  -0.078 -0.857  -0.078 -0.944  -0.078 -1.031  -0.078 -1.118  -0.162 -1.121  -0.249 -1.121  -0.337 -1.121  -0.424 -1.121  -0.511 -1.121  -0.512 -1.207  -0.512 -1.294  -0.512 -1.381  -0.512 -1.468  -0.512 -1.555
3#apa#apa02#app0283/*  1.032 0.339  1.032 0.655  0.864 0.564  0.780 0.283  0.523 0.143  0.276 -0.023  0.247 -0.326  0.108 -0.584  -0.115 -0.807  -0.199 -1.087  -0.342 -1.343  -0.563 -1.452  -0.734 -1.550  -0.599 -1.291  -0.538 -1.001  -0.538 -0.686  -0.538 -0.371  -0.401 -0.112  -0.342 0.178  -0.233 0.448  -0.146 0.728  -0.065 1.009  0.051 1.277  0.125 1.517  0.247 1.711  0.247 1.401  0.413 1.154  0.497 0.874  0.639 0.618  0.804 0.371  1.027 0.148  1.144 -0.053  0.997 -0.053  0.682 -0.053  0.395 0.069  0.098 0.143  -0.217 0.143  -0.533 0.143  -0.815 0.223  -1.082 0.339  -1.323 0.266  -1.323 -0.049  -1.127 -0.168  -0.904 -0.276  -0.659 -0.446  -0.344 -0.446  -0.110 -0.642  0.205 -0.642  0.520 -0.642  0.836 -0.642
3#apa#apa02#app0283/K  -0.785 1.255  -0.785 1.503  -0.630 1.534  -0.630 1.286  -0.477 1.101  -0.475 0.854  -0.475 0.606  -0.389 0.393  -0.320 0.174  -0.320 -0.075  -0.320 -0.323  -0.320 -0.571  -0.320 -0.819  -0.320 -1.067  -0.320 -1.315  -0.338 -1.556  -0.448 -1.645  -0.328 -1.428  -0.207 -1.211  -0.087 -0.994  0.034 -0.777  0.154 -0.560  0.275 -0.343  0.395 -0.127  0.516 0.090  0.636 0.307  0.757 0.524  0.877 0.741  0.998 0.958  1.015 1.039  0.806 0.944  0.619 0.797  0.374 0.789  0.177 0.666  -0.044 0.600  -0.242 0.479  -0.440 0.359  -0.674 0.324  -0.785 0.187  -0.630 0.094  -0.462 0.014  -0.320 -0.092  -0.134 -0.172  0.063 -0.297  0.263 -0.414  0.474 -0.539  0.706 -0.607  0.799 -0.762  1.011 -0.851  1.076 -1.072
3#apa#apa02#app0283/A  -0.594 -1.659  -0.594 -1.446  -0.594 -1.232  -0.594 -1.018  -0.594 -0.805  -0.594 -0.591  -0.594 -0.377  -0.594 -0.164  -0.594 0.050  -0.594 0.264  -0.594 0.477  -0.594 0.691  -0.594 0.904  -0.594 1.118  -0.461 1.276  -0.461 1.490  -0.298 1.541  -0.085 1.541  0.073 1.485  0.208 1.406  0.339 1.246  0.416 1.064  0.473 0.874  0.606 0.716  0.606 0.502  0.643 0.304  0.739 0.130  0.739 -0.084  0.739 -0.297  0.739 -0.511  0.739 -0.725  0.606 -0.883  0.606 -1.097  0.698 -1.096  0.525 -0.970  0.353 -0.845  0.180 -0.719  0.007 -0.593  -0.166 -0.468  -0.339 -0.342  -0.511 -0.216  -0.684 -0.091  -0.567 -0.059  -0.354 -0.059  -0.140 -0.059  0.073 -0.059  0.287 -0.059  0.453 -0.173  0.659 -0.192  0.873 -0.192
