3#app#app32#app3249/B  -0.178 0.988  -0.178 1.244  -0.250 1.121  -0.280 0.878  -0.280 0.623  -0.280 0.368  -0.352 0.129  -0.382 -0.119  -0.382 -0.374  -0.382 -0.629  -0.382 -0.885  -0.382 -1.140  -0.382 -1.395  -0.325 -1.307  -0.305 -1.072  -0.338 -0.819  -0.371 -0.565  -0.404 -0.312  -0.437 -0.059  -0.470 0.194  -0.503 0.447  -0.536 0.701  -0.569 0.954  -0.470 1.091  -0.257 1.193  -0.023 1.245  0.212 1.295  0.425 1.398  0.578 1.295  0.641 1.103  0.613 0.859  0.505 0.648  0.334 0.464  0.186 0.330  0.027 0.200  -0.157 0.170  0.098 0.170  0.334 0.150  0.486 0.018  0.666 -0.163  0.845 -0.344  0.948 -0.557  0.948 -0.812  0.838 -0.962  0.658 -1.143  0.452 -1.262  0.239 -1.365  -0.016 -1.365  -0.272 -1.365  -0.485 -1.262
3#app#app32#app3249/Y  -0.742 1.192  -0.742 1.256  -0.742 1.077  -0.742 0.899  -0.742 0.720  -0.669 0.559  -0.621 0.392  -0.616 0.216  -0.499 0.085  -0.449 -0.072  -0.378 -0.221  -0.368 -0.396  -0.257 -0.528  -0.202 -0.684  -0.135 -0.835  -0.086 -0.739  -0.025 -0.571  0.037 -0.404  0.099 -0.236  0.160 -0.069  0.222 0.099  0.284 0.266  0.346 0.434  0.407 0.601  0.469 0.769  0.531 0.936  0.592 1.104  0.654 1.271  0.714 1.430  0.695 1.255  0.638 1.085  0.577 0.918  0.498 0.758  0.472 0.586  0.447 0.413  0.367 0.254  0.287 0.094  0.229 -0.071  0.229 -0.249  0.156 -0.410  0.107 -0.577  0.105 -0.755  0.025 -0.915  -0.078 -1.058  -0.135 -1.212  -0.146 -1.389  -0.202 -1.559  -0.257 -1.728  -0.257 -1.907  -0.257 -2.085
3#app#app32#app3249/T  0.363 0.526  0.363 0.380  0.363 0.235  0.363 0.090  0.334 -0.044  0.255 -0.156  0.255 -0.301  0.255 -0.447  0.255 -0.592  0.255 -0.737  0.255 -0.883  0.255 -1.028  0.255 -1.173  0.255 -1.319  0.255 -1.464  0.207 -1.459  0.123 -1.340  0.040 -1.222  -0.044 -1.103  -0.128 -0.984  -0.212 -0.865  -0.296 -0.747  -0.379 -0.628  -0.463 -0.509  -0.547 -0.391  -0.631 -0.272  -0.715 -0.153  -0.798 -0.034  -0.882 0.084  -0.966 0.203  -1.041 0.325  -0.989 0.418  -0.933 0.507  -0.809 0.534  -0.679 0.599  -0.541 0.634  -0.427 0.708  -0.295 0.742  -0.157 0.784  -0.019 0.830  0.123 0.850  0.256 0.904  0.388 0.958  0.533 0.958  0.650 1.028  0.779 1.066  0.925 1.066  1.064 1.092  1.194 1.157  1.335 1.174
3#app#app32#app3249/H  -0.525 1.327  -0.555 1.164  -0.657 1.030  -0.657 0.855  -0.657 0.679  -0.657 0.503  -0.657 0.327  -0.657 0.151  -0.648 -0.023  -0.593 -0.190  -0.537 -0.357  -0.525 -0.531  -0.525 -0.707  -0.525 -0.882  -0.525 -1.058  -0.525 -1.234  -0.525 -1.410  -0.525 -1.586  -0.487 -1.415  -0.449 -1.243  -0.410 -1.071  -0.372 -0.900  -0.334 -0.728  -0.296 -0.556  -0.260 -0.385  -0.222 -0.224  -0.127 -0.088  -0.079 0.073  0.022 0.217  0.123 0.361  0.224 0.505  0.325 0.649  0.426 0.793  0.526 0.937  0.627 1.081  0.728 1.225  0.800 1.276  0.800 1.100  0.702 0.965  0.667 0.803  0.667 0.627  0.667 0.452  0.667 0.276  0.742 0.118  0.800 -0.045  0.800 -0.221  0.800 -0.396  0.800 -0.572  0.800 -0.748  0.800 -0.924
3#app#app32#app3249/E  -0.154 1.313  -0.267 1.171  -0.313 0.994  -0.408 0.833  -0.492 0.679  -0.492 0.490  -0.492 0.302  -0.605 0.160  -0.605 -0.029  -0.605 -0.217  -0.605 -0.406  -0.605 -0.594  -0.605 -0.783  -0.506 -0.930  -0.452 -1.097  -0.294 -1.170  -0.105 -1.170  0.083 -1.170  0.272 -1.170  0.411 -1.120  0.536 -1.057  0.699 -0.994  0.862 -0.939  0.942 -0.831  1.018 -0.718  0.972 -0.689  0.789 -0.644  0.606 -0.598  0.423 -0.552  0.240 -0.506  0.057 -0.461  -0.126 -0.415  -0.228 -0.360  -0.059 -0.276  0.111 -0.228  0.269 -0.154  0.215 -0.017  0.118 0.145  0.021 0.307  -0.076 0.468  -0.173 0.630  -0.270 0.792  -0.367 0.953  -0.379 1.139  -0.290 1.290  -0.123 1.344  0.010 1.477  0.173 1.539  0.343 1.618  0.523 1.652
3#app#app32#app3249/F  0.724 1.494  0.724 1.251  0.629 1.031  0.582 0.800  0.473 0.583  0.452 0.346  0.400 0.112  0.323 -0.118  0.316 -0.360  0.316 -0.602  0.316 -0.845  0.316 -1.087  0.386 -1.300  0.452 -1.515  0.536 -1.723  0.489 -1.638  0.347 -1.442  0.205 -1.245  0.063 -1.049  -0.079 -0.852  -0.220 -0.655  -0.362 -0.459  -0.504 -0.262  -0.646 -0.066  -0.788 0.131  -0.930 0.327  -1.072 0.524  -1.128 0.676  -0.933 0.790  -0.708 0.846  -0.493 0.957  -0.303 1.085  -0.079 1.160  0.149 1.221  0.369 1.316  0.388 1.221  0.286 1.002  0.183 0.782  0.081 0.562  -0.022 0.342  -0.124 0.123  -0.227 -0.097  -0.329 -0.317  -0.432 -0.536  -0.424 -0.686  -0.317 -0.549  -0.093 -0.531  0.018 -0.358  0.235 -0.249  0.452 -0.141
3#app#app32#app3249/L  0.155 1.808  0.155 1.720  0.155 1.633  0.155 1.545  0.149 1.460  0.087 1.398  0.041 1.330  0.041 1.242  -0.019 1.179  -0.073 1.114  -0.073 1.027  -0.073 0.939  -0.073 0.852  -0.082 0.766  -0.121 0.688  -0.160 0.610  -0.186 0.529  -0.187 0.441  -0.215 0.358  -0.242 0.275  -0.270 0.192  -0.298 0.109  -0.300 0.022  -0.300 -0.066  -0.300 -0.153  -0.300 -0.241  -0.300 -0.328  -0.300 -0.416  -0.300 -0.503  -0.300 -0.591  -0.300 -0.678  -0.300 -0.766  -0.255 -0.808  -0.186 -0.827  -0.186 -0.915  -0.186 -1.002  -0.138 -1.060  -0.060 -1.099  0.019 -1.138  0.103 -1.149  0.180 -1.124  0.242 -1.062  0.319 -1.036  0.399 -1.019  0.461 -0.957  0.534 -0.922  0.618 -0.913  0.680 -0.851  0.750 -0.808  0.837 -0.808
3#app#app32#app3249/A  -0.375 0.908  -0.375 0.693  -0.375 0.477  -0.418 0.269  -0.486 0.064  -0.503 -0.149  -0.503 -0.365  -0.598 -0.558  -0.630 -0.766  -0.630 -0.982  -0.630 -1.197  -0.630 -1.413  -0.630 -1.407  -0.630 -1.191  -0.630 -0.976  -0.630 -0.760  -0.595 -0.553  -0.500 -0.359  -0.448 -0.150  -0.396 0.059  -0.317 0.259  -0.228 0.455  -0.160 0.659  -0.081 0.859  0.020 1.049  0.136 1.217  0.145 1.428  0.311 1.547  0.527 1.547  0.715 1.479  0.774 1.288  0.839 1.099  0.902 0.910  0.902 0.694  0.902 0.478  0.902 0.263  0.902 0.047  0.902 -0.169  0.902 -0.384  0.902 -0.600  0.711 -0.643  0.497 -0.664  0.282 -0.686  0.067 -0.707  -0.147 -0.729  -0.362 -0.750  -0.322 -0.571  -0.149 -0.447  0.008 -0.329  0.136 -0.241
3#app#app32#app3249/V  -0.729 1.491  -0.729 1.362  -0.639 1.270  -0.598 1.158  -0.598 1.029  -0.598 0.900  -0.598 0.770  -0.598 0.641  -0.598 0.512  -0.598 0.383  -0.598 0.253  -0.598 0.124  -0.598 -0.005  -0.559 -0.118  -0.468 -0.210  -0.467 -0.339  -0.467 -0.468  -0.379 -0.560  -0.336 -0.672  -0.336 -0.801  -0.290 -0.911  -0.198 -1.003  -0.107 -1.094  -0.074 -1.210  -0.017 -1.315  0.082 -1.388  0.187 -1.364  0.203 -1.241  0.295 -1.150  0.318 -1.031  0.318 -0.901  0.318 -0.772  0.318 -0.643  0.381 -0.540  0.449 -0.439  0.449 -0.309  0.449 -0.180  0.449 -0.051  0.461 0.076  0.519 0.191  0.577 0.307  0.580 0.435  0.580 0.564  0.580 0.694  0.580 0.823  0.661 0.918  0.711 1.027  0.711 1.156  0.751 1.269  0.842 1.361
3#app#app32#app3249/O  0.061 1.379  -0.027 1.290  -0.116 1.201  -0.205 1.113  -0.293 1.024  -0.382 0.935  -0.468 0.845  -0.524 0.732  -0.580 0.620  -0.594 0.498  -0.657 0.399  -0.725 0.301  -0.725 0.176  -0.738 0.056  -0.826 -0.033  -0.856 -0.146  -0.856 -0.272  -0.856 -0.397  -0.856 -0.523  -0.856 -0.648  -0.816 -0.757  -0.727 -0.846  -0.725 -0.970  -0.609 -0.979  -0.483 -0.979  -0.358 -0.979  -0.232 -0.979  -0.107 -0.979  0.019 -0.979  0.120 -0.921  0.213 -0.838  0.325 -0.782  0.437 -0.726  0.529 -0.642  0.618 -0.554  0.707 -0.465  0.796 -0.376  0.847 -0.272  0.880 -0.160  0.969 -0.072  0.978 0.050  0.978 0.175  0.978 0.301  0.978 0.426  0.938 0.542  0.882 0.654  0.847 0.771  0.810 0.874  0.698 0.930  0.585 0.986
3#app#app32#app3249/R  -0.153 0.435  -0.153 0.222  -0.253 0.050  -0.403 -0.101  -0.439 -0.299  -0.439 -0.512  -0.552 -0.678  -0.582 -0.878  -0.679 -0.994  -0.725 -1.161  -0.725 -1.374  -0.721 -1.544  -0.677 -1.336  -0.633 -1.128  -0.589 -0.919  -0.545 -0.711  -0.501 -0.502  -0.457 -0.294  -0.413 -0.086  -0.370 0.123  -0.326 0.331  -0.282 0.540  -0.238 0.748  -0.194 0.957  -0.142 1.161  -0.011 1.319  0.086 1.435  0.299 1.435  0.512 1.435  0.719 1.420  0.870 1.270  0.990 1.106  0.990 0.893  0.949 0.721  0.847 0.610  0.704 0.540  0.608 0.387  0.417 0.292  0.225 0.242  0.050 0.149  -0.020 0.006  -0.153 -0.073  -0.147 -0.280  -0.011 -0.356  0.093 -0.526  0.273 -0.636  0.454 -0.744  0.623 -0.851  0.836 -0.851  0.990 -0.994
