2#apb#apb22#app2253/.  -1.436 -1.806  -1.372 -1.679  -1.309 -1.552  -1.245 -1.424  -1.182 -1.297  -1.118 -1.170  -1.054 -1.043  -0.991 -0.916  -0.927 -0.789  -0.864 -0.661  -0.783 -0.546  -0.683 -0.446  -0.582 -0.345  -0.482 -0.245  -0.381 -0.144  -0.280 -0.043  -0.222 0.074  -0.222 0.217  -0.182 0.319  -0.040 0.319  0.102 0.319  0.245 0.319  0.385 0.319  0.242 0.319  0.100 0.319  0.206 0.319  0.348 0.319  0.281 0.319  0.139 0.319  0.143 0.380  0.243 0.480  0.344 0.581  0.469 0.623  0.611 0.623  0.625 0.623  0.483 0.623  0.430 0.623  0.573 0.623  0.689 0.597  0.689 0.455  0.683 0.319  0.541 0.319  0.399 0.319  0.515 0.319  0.657 0.319  0.788 0.368  0.915 0.432  1.042 0.496  1.169 0.559  1.296 0.623
2#apb#apb22#app2253/,  -0.629 1.110  -0.629 1.189  -0.629 1.268  -0.650 1.214  -0.675 1.140  -0.733 1.110  -0.791 1.060  -0.728 1.054  -0.649 1.054  -0.607 0.999  -0.578 0.926  -0.549 0.853  -0.519 0.780  -0.461 0.728  -0.399 0.679  -0.338 0.630  -0.276 0.581  -0.213 0.533  -0.148 0.489  -0.082 0.446  -0.017 0.402  0.049 0.358  0.109 0.310  0.148 0.241  0.188 0.173  0.227 0.104  0.266 0.036  0.305 -0.032  0.340 -0.103  0.371 -0.175  0.402 -0.248  0.434 -0.320  0.465 -0.392  0.495 -0.465  0.479 -0.542  0.464 -0.620  0.448 -0.697  0.443 -0.774  0.454 -0.852  0.465 -0.931  0.477 -1.009  0.488 -1.087  0.482 -1.161  0.444 -1.230  0.405 -1.299  0.367 -1.368  0.329 -1.437  0.291 -1.506  0.252 -1.575  0.214 -1.644
2#apb#apb22#app2253/;  -0.129 1.353  -0.167 1.399  -0.186 1.432  -0.230 1.466  -0.242 1.418  -0.240 1.437  -0.235 1.360  -0.230 1.283  -0.224 1.206  -0.219 1.129  -0.214 1.052  -0.208 0.975  -0.203 0.898  -0.198 0.821  -0.192 0.744  -0.187 0.667  -0.182 0.590  -0.176 0.513  -0.171 0.436  -0.166 0.359  -0.161 0.282  -0.155 0.205  -0.150 0.128  -0.145 0.051  -0.139 -0.026  -0.134 -0.103  -0.129 -0.180  -0.130 -0.257  -0.119 -0.284  -0.074 -0.338  -0.038 -0.405  0.012 -0.465  0.061 -0.524  0.115 -0.579  0.179 -0.621  0.243 -0.664  0.282 -0.727  0.306 -0.800  0.334 -0.872  0.368 -0.941  0.386 -1.015  0.397 -1.091  0.407 -1.168  0.407 -1.245  0.407 -1.322  0.379 -1.394  0.349 -1.465  0.314 -1.532  0.247 -1.571  0.181 -1.611
2#apb#apb22#app2253/:  -0.387 1.600  -0.311 1.600  -0.305 1.613  -0.293 1.539  -0.279 1.465  -0.265 1.391  -0.251 1.317  -0.237 1.244  -0.222 1.170  -0.208 1.096  -0.194 1.022  -0.180 0.948  -0.166 0.874  -0.152 0.800  -0.137 0.726  -0.123 0.653  -0.109 0.579  -0.095 0.505  -0.081 0.431  -0.067 0.357  -0.053 0.283  -0.038 0.209  -0.024 0.136  -0.010 0.062  0.004 -0.012  0.018 -0.086  0.032 -0.160  0.047 -0.234  0.061 -0.308  0.075 -0.381  0.089 -0.455  0.103 -0.529  0.117 -0.603  0.132 -0.677  0.146 -0.751  0.160 -0.825  0.174 -0.899  0.188 -0.972  0.202 -1.046  0.217 -1.120  0.231 -1.194  0.245 -1.268  0.259 -1.342  0.266 -1.340  0.266 -1.264  0.266 -1.189  0.266 -1.234  0.213 -1.256  0.184 -1.221  0.225 -1.256
2#apb#apb22#app2253/$  0.851 0.783  0.851 1.015  0.683 1.077  0.452 1.067  0.229 1.012  0.008 0.946  -0.209 0.873  -0.416 0.774  -0.642 0.727  -0.863 0.659  -1.026 0.498  -0.941 0.391  -0.730 0.302  -0.505 0.253  -0.275 0.233  -0.048 0.200  0.167 0.116  0.385 0.040  0.611 -0.011  0.830 -0.077  1.030 -0.192  1.217 -0.326  1.341 -0.514  1.377 -0.735  1.270 -0.925  1.088 -1.062  0.876 -1.154  0.655 -1.215  0.427 -1.250  0.198 -1.286  -0.029 -1.326  -0.164 -1.217  -0.228 -0.995  -0.293 -0.773  -0.358 -0.551  -0.422 -0.329  -0.487 -0.108  -0.552 0.114  -0.616 0.336  -0.681 0.558  -0.746 0.780  -0.811 1.002  -0.716 0.795  -0.640 0.577  -0.568 0.358  -0.485 0.142  -0.407 -0.076  -0.330 -0.293  -0.230 -0.501  -0.127 -0.708
2#apb#apb22#app2253/#  -0.850 0.819  -0.619 0.523  -0.451 0.189  -0.309 -0.158  -0.178 -0.509  0.037 -0.816  0.210 -1.149  0.401 -1.305  0.401 -0.930  0.401 -0.554  0.401 -0.179  0.401 0.197  0.401 0.572  0.401 0.948  0.401 1.324  0.401 1.684  0.402 1.309  0.454 0.937  0.529 0.572  0.663 0.222  0.831 -0.115  1.055 -0.415  1.270 -0.722  1.474 -1.037  1.207 -0.934  0.870 -0.769  0.532 -0.605  0.195 -0.440  -0.143 -0.276  -0.481 -0.111  -0.818 0.053  -1.156 0.218  -1.457 0.405  -1.182 0.583  -0.813 0.516  -0.477 0.684  -0.134 0.830  0.237 0.886  0.512 0.895  0.235 0.641  -0.041 0.387  -0.318 0.133  -0.595 -0.121  -0.871 -0.375  -1.148 -0.629  -1.185 -0.792  -0.838 -0.660  -0.462 -0.660  -0.087 -0.643  0.288 -0.622
2#apb#apb22#app2253/&  0.079 -0.543  0.135 -0.342  -0.022 -0.181  -0.216 -0.100  -0.412 0.009  -0.590 0.149  -0.727 0.338  -0.837 0.544  -0.933 0.756  -0.934 0.987  -0.871 1.211  -0.712 1.371  -0.500 1.468  -0.269 1.470  -0.104 1.366  0.005 1.176  0.006 0.943  -0.091 0.733  -0.244 0.559  -0.438 0.430  -0.623 0.290  -0.781 0.120  -0.941 -0.044  -1.096 -0.219  -1.172 -0.423  -1.107 -0.598  -0.898 -0.688  -0.666 -0.657  -0.433 -0.653  -0.201 -0.631  0.029 -0.603  0.261 -0.633  0.492 -0.664  0.724 -0.694  0.955 -0.724  1.187 -0.754  1.133 -0.661  1.021 -0.480  0.869 -0.303  0.683 -0.169  0.808 -0.314  0.968 -0.484  1.128 -0.654  1.207 -0.689  1.137 -0.487  0.997 -0.342  0.802 -0.215  0.602 -0.095  0.385 -0.011  0.207 0.133
2#apb#apb22#app2253/!  -0.420 1.683  -0.352 1.665  -0.311 1.598  -0.272 1.530  -0.237 1.460  -0.202 1.390  -0.167 1.320  -0.132 1.250  -0.097 1.179  -0.072 1.106  -0.059 1.029  -0.049 0.951  -0.049 0.873  -0.049 0.794  -0.035 0.720  0.008 0.655  0.021 0.578  0.034 0.500  0.036 0.422  0.036 0.344  0.065 0.271  0.095 0.199  0.151 0.143  0.206 0.088  0.196 0.011  0.184 -0.067  0.172 -0.144  0.161 -0.222  0.149 -0.299  0.137 -0.377  0.126 -0.454  0.114 -0.532  0.102 -0.609  0.091 -0.687  0.079 -0.764  0.067 -0.842  0.055 -0.919  0.044 -0.997  0.032 -1.074  0.020 -1.152  0.009 -1.229  -0.003 -1.307  -0.015 -1.384  -0.021 -1.386  -0.021 -1.308  -0.021 -1.229  0.053 -1.225  0.036 -1.170  0.036 -1.186  0.065 -1.196
2#apb#apb22#app2253/?  -0.961 0.531  -0.932 0.628  -0.858 0.704  -0.790 0.785  -0.705 0.834  -0.600 0.847  -0.497 0.869  -0.395 0.895  -0.291 0.916  -0.188 0.936  -0.085 0.961  0.017 0.986  0.123 0.987  0.229 0.988  0.333 1.002  0.438 1.003  0.542 0.988  0.591 0.931  0.633 0.835  0.637 0.730  0.613 0.629  0.578 0.530  0.549 0.428  0.490 0.342  0.422 0.261  0.353 0.181  0.261 0.132  0.171 0.083  0.112 -0.005  0.051 -0.091  -0.010 -0.177  -0.069 -0.265  -0.149 -0.319  -0.182 -0.420  -0.271 -0.471  -0.276 -0.574  -0.239 -0.670  -0.162 -0.742  -0.080 -0.808  -0.051 -0.907  -0.029 -1.011  -0.007 -1.114  0.015 -1.217  0.038 -1.320  0.060 -1.424  0.082 -1.527  0.104 -1.630  0.126 -1.733  0.125 -1.785  0.135 -1.729
2#apb#apb22#app2253/  0.680 1.457  0.678 1.477  0.639 1.419  0.591 1.368  0.542 1.318  0.508 1.256  0.474 1.195  0.440 1.134  0.426 1.066  0.416 0.996  0.407 0.927  0.398 0.857  0.389 0.787  0.363 0.722  0.337 0.657  0.311 0.592  0.285 0.526  0.259 0.461  0.229 0.398  0.197 0.335  0.166 0.273  0.134 0.210  0.103 0.147  0.072 0.084  0.049 0.018  0.026 -0.049  0.002 -0.115  -0.021 -0.181  -0.044 -0.247  -0.070 -0.312  -0.102 -0.375  -0.133 -0.438  -0.165 -0.501  -0.196 -0.563  -0.227 -0.626  -0.259 -0.689  -0.292 -0.751  -0.332 -0.808  -0.372 -0.866  -0.412 -0.924  -0.452 -0.982  -0.493 -1.038  -0.543 -1.088  -0.592 -1.137  -0.642 -1.187  -0.690 -1.238  -0.722 -1.300  -0.753 -1.363  -0.788 -1.423  -0.822 -1.479
2#apb#apb22#app2253/'  -0.122 1.645  -0.144 1.578  -0.167 1.511  -0.189 1.444  -0.211 1.377  -0.234 1.310  -0.256 1.243  -0.278 1.176  -0.301 1.109  -0.323 1.042  -0.345 0.975  -0.329 0.908  -0.304 0.842  -0.279 0.776  -0.255 0.710  -0.230 0.644  -0.205 0.578  -0.180 0.512  -0.155 0.445  -0.131 0.379  -0.106 0.313  -0.081 0.247  -0.056 0.181  -0.031 0.115  -0.007 0.048  0.004 -0.021  0.016 -0.091  0.027 -0.161  0.039 -0.230  0.051 -0.300  0.062 -0.370  0.074 -0.439  0.085 -0.509  0.097 -0.579  0.112 -0.648  0.134 -0.715  0.156 -0.782  0.179 -0.849  0.201 -0.916  0.223 -0.983  0.246 -1.050  0.268 -1.117  0.290 -1.184  0.313 -1.251  0.335 -1.318  0.357 -1.385  0.380 -1.452  0.402 -1.519  0.424 -1.586  0.447 -1.653
