2#apa#apa01#app0103/s  0.169 0.755  0.300 0.755  0.427 0.762  0.519 0.854  0.478 0.946  0.419 1.052  0.367 1.130  0.237 1.130  0.106 1.130  -0.024 1.130  -0.154 1.130  -0.261 1.074  -0.353 0.982  -0.445 0.890  -0.571 0.880  -0.666 0.795  -0.758 0.702  -0.830 0.602  -0.830 0.472  -0.803 0.353  -0.711 0.261  -0.584 0.255  -0.454 0.255  -0.323 0.255  -0.193 0.255  -0.065 0.247  0.051 0.189  0.168 0.131  0.260 0.039  0.352 -0.053  0.444 -0.145  0.536 -0.237  0.628 -0.329  0.669 -0.442  0.669 -0.572  0.669 -0.702  0.607 -0.807  0.544 -0.911  0.511 -1.027  0.419 -1.119  0.294 -1.124  0.284 -1.244  0.154 -1.244  0.030 -1.259  -0.062 -1.351  -0.185 -1.369  -0.315 -1.369  -0.445 -1.369  -0.575 -1.369  -0.705 -1.369
2#apa#apa01#app0103/c  0.612 1.455  0.516 1.455  0.436 1.417  0.368 1.350  0.286 1.317  0.197 1.310  0.197 1.214  0.154 1.136  0.086 1.068  0.002 1.040  -0.080 1.026  -0.080 0.930  -0.128 0.854  -0.196 0.786  -0.247 0.706  -0.290 0.620  -0.333 0.534  -0.357 0.444  -0.357 0.348  -0.424 0.280  -0.492 0.212  -0.536 0.127  -0.579 0.042  -0.622 -0.044  -0.634 -0.137  -0.634 -0.233  -0.634 -0.329  -0.634 -0.425  -0.607 -0.510  -0.539 -0.578  -0.471 -0.646  -0.404 -0.714  -0.357 -0.790  -0.357 -0.886  -0.273 -0.899  -0.177 -0.899  -0.081 -0.899  0.015 -0.899  0.110 -0.899  0.206 -0.899  0.302 -0.899  0.398 -0.899  0.494 -0.899  0.590 -0.899  0.686 -0.899  0.782 -0.899  0.878 -0.899  0.974 -0.899  1.070 -0.899  1.166 -0.899
2#apa#apa01#app0103/r  -0.505 1.272  -0.505 1.128  -0.505 0.985  -0.505 0.841  -0.452 0.720  -0.350 0.618  -0.339 0.479  -0.339 0.336  -0.339 0.192  -0.339 0.049  -0.339 -0.095  -0.339 -0.238  -0.339 -0.382  -0.339 -0.525  -0.289 -0.657  -0.224 -0.786  -0.172 -0.917  -0.172 -1.060  -0.172 -1.204  -0.172 -1.347  -0.172 -1.491  -0.172 -1.476  -0.172 -1.332  -0.206 -1.222  -0.339 -1.211  -0.339 -1.068  -0.339 -0.924  -0.339 -0.781  -0.339 -0.637  -0.339 -0.494  -0.310 -0.362  -0.208 -0.261  -0.172 -0.132  -0.123 -0.009  -0.021 0.093  -0.006 0.230  0.064 0.344  0.168 0.440  0.312 0.440  0.417 0.531  0.493 0.643  0.507 0.773  0.651 0.773  0.755 0.868  0.856 0.970  0.958 1.071  1.082 1.136  1.218 1.181  1.354 1.226  1.491 1.272
2#apa#apa01#app0103/e  -0.786 -0.280  -0.636 -0.280  -0.627 -0.140  -0.496 -0.121  -0.467 0.000  -0.368 0.089  -0.233 0.156  -0.094 0.198  0.043 0.230  0.149 0.336  0.290 0.358  0.408 0.435  0.524 0.518  0.667 0.535  0.773 0.641  0.879 0.747  0.992 0.837  1.129 0.850  1.126 0.997  0.976 0.997  0.826 0.997  0.676 0.997  0.526 0.997  0.376 0.997  0.227 0.997  0.104 0.930  -0.002 0.824  -0.108 0.717  -0.214 0.611  -0.320 0.505  -0.426 0.399  -0.532 0.293  -0.627 0.183  -0.627 0.033  -0.627 -0.117  -0.627 -0.267  -0.627 -0.417  -0.627 -0.567  -0.627 -0.717  -0.627 -0.867  -0.557 -0.988  -0.451 -1.095  -0.345 -1.201  -0.211 -1.238  -0.086 -1.300  0.020 -1.406  0.126 -1.512  0.257 -1.558  0.385 -1.611  0.491 -1.717
2#apa#apa01#app0103/a  -1.325 0.780  -1.204 0.901  -1.173 1.060  -1.025 1.083  -0.854 1.083  -0.682 1.083  -0.511 1.083  -0.339 1.083  -0.167 1.083  0.004 1.083  0.176 1.083  0.302 0.974  0.456 0.931  0.496 0.800  0.496 0.628  0.477 0.476  0.344 0.437  0.303 0.283  0.193 0.157  0.168 -0.004  0.046 -0.126  -0.111 -0.143  -0.134 -0.305  -0.255 -0.427  -0.376 -0.548  -0.497 -0.669  -0.619 -0.790  -0.718 -0.921  -0.718 -1.092  -0.648 -1.193  -0.476 -1.193  -0.304 -1.193  -0.133 -1.193  0.039 -1.193  0.161 -1.074  0.319 -1.042  0.490 -1.042  0.613 -0.924  0.771 -0.890  0.800 -0.747  0.800 -0.576  0.800 -0.404  0.800 -0.233  0.800 -0.061  0.736 0.084  0.615 0.205  0.493 0.324  0.328 0.341  0.206 0.462  0.041 0.476
2#apa#apa01#app0103/m  -1.186 0.616  -1.132 0.449  -1.073 0.284  -1.073 0.094  -1.073 -0.096  -1.073 -0.286  -1.073 -0.475  -1.073 -0.665  -0.995 -0.822  -0.960 -0.998  -0.960 -0.981  -0.846 -0.838  -0.846 -0.649  -0.846 -0.459  -0.803 -0.276  -0.743 -0.096  -0.703 0.080  -0.619 0.235  -0.506 0.311  -0.427 0.469  -0.279 0.531  -0.175 0.616  -0.005 0.569  0.061 0.407  0.174 0.264  0.174 0.074  0.151 -0.110  0.066 -0.280  0.061 -0.469  0.061 -0.658  0.061 -0.640  0.174 -0.564  0.276 -0.416  0.288 -0.231  0.384 -0.081  0.438 0.086  0.572 0.220  0.677 0.375  0.788 0.503  0.862 0.624  1.008 0.730  1.163 0.812  1.308 0.811  1.308 0.621  1.308 0.432  1.421 0.355  1.421 0.165  1.421 -0.024  1.421 -0.214  1.421 -0.404
2#apa#apa01#app0103/e  -1.044 -0.027  -0.887 -0.027  -0.881 0.123  -0.737 0.135  -0.621 0.233  -0.491 0.298  -0.335 0.298  -0.194 0.336  -0.083 0.446  0.067 0.460  0.224 0.460  0.380 0.460  0.502 0.544  0.626 0.623  0.743 0.662  0.776 0.785  0.905 0.813  0.890 0.963  0.779 1.073  0.638 1.110  0.482 1.110  0.352 1.044  0.236 0.947  0.084 0.938  -0.027 0.827  -0.138 0.717  -0.255 0.623  -0.394 0.605  -0.406 0.460  -0.556 0.454  -0.556 0.298  -0.556 0.142  -0.556 -0.015  -0.556 -0.171  -0.495 -0.313  -0.425 -0.453  -0.394 -0.602  -0.336 -0.735  -0.232 -0.848  -0.229 -1.001  -0.072 -1.001  0.039 -1.110  0.093 -1.244  0.167 -1.326  0.324 -1.326  0.418 -1.388  0.468 -1.514  0.608 -1.584  0.749 -1.651  0.905 -1.651
2#apa#apa01#app0103/d  -0.058 -0.020  0.041 0.093  0.021 0.295  -0.157 0.374  -0.335 0.293  -0.451 0.188  -0.649 0.175  -0.743 -0.014  -0.943 -0.027  -1.027 -0.203  -1.139 -0.367  -1.238 -0.480  -1.238 -0.690  -1.153 -0.849  -1.041 -0.990  -0.873 -1.073  -0.673 -1.102  -0.463 -1.102  -0.282 -1.030  -0.126 -0.890  0.041 -0.783  0.137 -0.612  0.286 -0.463  0.336 -0.273  0.434 -0.103  0.447 0.105  0.532 0.296  0.548 0.503  0.631 0.694  0.643 0.902  0.710 1.102  0.827 1.269  0.827 1.480  0.827 1.613  0.729 1.444  0.631 1.331  0.533 1.161  0.384 1.012  0.336 0.821  0.298 0.615  0.247 0.411  0.139 0.242  0.139 0.031  0.139 -0.179  0.139 -0.390  0.139 -0.601  0.229 -0.790  0.304 -0.971  0.383 -1.149  0.532 -1.298
2#apa#apa01#app0103/a  -1.034 0.741  -1.032 0.896  -0.921 1.006  -0.782 1.047  -0.656 1.118  -0.534 1.199  -0.378 1.199  -0.223 1.199  -0.067 1.199  0.073 1.162  0.183 1.051  0.188 0.898  0.188 0.742  0.186 0.588  0.035 0.583  0.030 0.430  -0.080 0.320  -0.117 0.179  -0.224 0.130  -0.270 0.021  -0.382 -0.023  -0.504 -0.104  -0.575 -0.231  -0.575 -0.386  -0.575 -0.542  -0.575 -0.698  -0.575 -0.854  -0.575 -1.009  -0.524 -1.144  -0.410 -1.245  -0.254 -1.245  -0.098 -1.245  0.058 -1.245  0.211 -1.233  0.350 -1.164  0.489 -1.094  0.644 -1.092  0.647 -0.938  0.757 -0.828  0.799 -0.690  0.799 -0.534  0.799 -0.378  0.799 -0.223  0.799 -0.067  0.799 0.089  0.718 0.211  0.646 0.337  0.646 0.493  0.604 0.631  0.494 0.741
2#apa#apa01#app0103/t  -0.130 2.115  -0.022 2.007  -0.014 1.858  -0.056 1.723  -0.130 1.601  -0.130 1.449  -0.130 1.296  -0.130 1.143  -0.130 0.991  -0.130 0.838  -0.130 0.686  -0.130 0.533  -0.130 0.381  -0.130 0.228  -0.130 0.076  -0.130 -0.077  -0.130 -0.229  -0.130 -0.382  -0.130 -0.534  -0.130 -0.687  -0.130 -0.840  -0.130 -0.992  -0.209 -1.112  -0.247 -1.249  -0.112 -1.267  0.025 -1.228  0.145 -1.150  0.297 -1.150  0.336 -1.036  0.476 -1.010  0.590 -0.917  0.742 -0.917  0.868 -0.851  0.854 -0.754  0.730 -0.665  0.606 -0.576  0.482 -0.488  0.357 -0.399  0.233 -0.310  0.109 -0.222  -0.015 -0.133  -0.139 -0.044  -0.263 0.044  -0.387 0.133  -0.511 0.222  -0.636 0.310  -0.656 0.366  -0.504 0.366  -0.355 0.374  -0.247 0.482
2#apa#apa01#app0103/h  -0.340 2.063  -0.340 1.898  -0.340 1.734  -0.340 1.570  -0.340 1.406  -0.340 1.241  -0.340 1.077  -0.340 0.913  -0.340 0.748  -0.340 0.584  -0.340 0.420  -0.340 0.256  -0.340 0.091  -0.340 -0.073  -0.340 -0.237  -0.340 -0.401  -0.340 -0.566  -0.382 -0.713  -0.459 -0.845  -0.459 -1.009  -0.459 -1.174  -0.532 -1.265  -0.578 -1.147  -0.546 -0.996  -0.459 -0.868  -0.459 -0.703  -0.366 -0.578  -0.334 -0.427  -0.221 -0.309  -0.221 -0.145  -0.153 -0.009  -0.103 0.135  0.016 0.180  0.062 0.325  0.196 0.399  0.329 0.474  0.475 0.518  0.639 0.518  0.729 0.443  0.729 0.279  0.729 0.115  0.729 -0.049  0.826 -0.174  0.848 -0.329  0.848 -0.493  0.848 -0.657  0.848 -0.822  0.848 -0.986  0.851 -1.149  0.967 -1.265
