2#lou#lou0#jl_vo_c/3  -0.384 1.120  -0.384 1.233  -0.309 1.272  -0.227 1.351  -0.125 1.402  -0.024 1.398  0.078 1.346  0.151 1.263  0.151 1.149  0.124 1.039  0.088 0.931  0.025 0.841  -0.056 0.760  -0.136 0.680  -0.217 0.599  -0.290 0.589  -0.180 0.617  -0.070 0.644  0.035 0.637  0.129 0.574  0.224 0.511  0.268 0.407  0.310 0.301  0.353 0.195  0.390 0.088  0.417 -0.022  0.445 -0.133  0.473 -0.243  0.500 -0.353  0.528 -0.464  0.533 -0.577  0.533 -0.691  0.533 -0.805  0.510 -0.913  0.459 -1.015  0.380 -1.096  0.298 -1.174  0.187 -1.201  0.077 -1.229  -0.033 -1.238  -0.141 -1.202  -0.249 -1.166  -0.357 -1.130  -0.465 -1.094  -0.573 -1.058  -0.681 -1.022  -0.736 -0.925  -0.792 -0.827  -0.855 -0.732  -0.918 -0.637
2#lou#lou0#jl_vo_c/m  -1.900 -0.742  -1.759 -0.698  -1.637 -0.598  -1.504 -0.510  -1.369 -0.428  -1.227 -0.357  -1.182 -0.217  -1.070 -0.105  -0.984 0.027  -0.913 0.169  -0.842 0.311  -0.771 0.453  -0.676 0.579  -0.627 0.708  -0.468 0.708  -0.387 0.581  -0.316 0.439  -0.257 0.294  -0.257 0.135  -0.240 -0.021  -0.190 -0.172  -0.161 -0.326  -0.161 -0.420  -0.161 -0.261  -0.127 -0.112  -0.039 0.020  0.046 0.154  0.117 0.297  0.261 0.321  0.342 0.226  0.373 0.070  0.404 -0.086  0.419 -0.243  0.419 -0.402  0.454 -0.349  0.504 -0.198  0.578 -0.058  0.660 0.078  0.742 0.214  0.830 0.346  0.953 0.443  1.095 0.514  1.208 0.402  1.289 0.277  1.292 0.118  1.342 -0.032  1.393 -0.183  1.443 -0.334  1.482 -0.486  1.579 -0.549
2#lou#lou0#jl_vo_c/M  -1.023 -1.681  -1.023 -1.532  -0.943 -1.416  -0.871 -1.286  -0.805 -1.152  -0.741 -1.018  -0.712 -0.871  -0.683 -0.725  -0.654 -0.579  -0.618 -0.434  -0.582 -0.289  -0.558 -0.143  -0.555 0.006  -0.518 0.151  -0.482 0.295  -0.429 0.434  -0.373 0.570  -0.373 0.719  -0.373 0.868  -0.373 1.018  -0.373 1.042  -0.344 0.896  -0.308 0.751  -0.269 0.607  -0.222 0.466  -0.148 0.361  0.001 0.361  0.151 0.361  0.266 0.443  0.351 0.565  0.434 0.689  0.494 0.825  0.541 0.967  0.556 1.095  0.556 0.946  0.556 0.797  0.556 0.648  0.601 0.506  0.648 0.364  0.669 0.216  0.690 0.069  0.712 -0.079  0.733 -0.227  0.741 -0.375  0.757 -0.522  0.805 -0.663  0.834 -0.808  0.847 -0.952  0.927 -1.068  0.927 -1.217
2#lou#lou0#jl_vo_c/V  -0.710 1.553  -0.710 1.426  -0.682 1.305  -0.637 1.186  -0.593 1.068  -0.549 0.949  -0.504 0.831  -0.460 0.712  -0.450 0.587  -0.450 0.461  -0.450 0.334  -0.441 0.208  -0.416 0.084  -0.391 -0.040  -0.367 -0.164  -0.337 -0.287  -0.306 -0.410  -0.277 -0.533  -0.277 -0.660  -0.277 -0.786  -0.277 -0.913  -0.277 -1.039  -0.277 -1.166  -0.224 -1.271  -0.191 -1.383  -0.168 -1.454  -0.078 -1.365  0.001 -1.268  0.058 -1.154  0.114 -1.041  0.162 -0.925  0.187 -0.801  0.212 -0.677  0.237 -0.553  0.277 -0.433  0.321 -0.314  0.366 -0.196  0.410 -0.077  0.455 0.041  0.499 0.160  0.535 0.281  0.569 0.403  0.604 0.525  0.639 0.646  0.674 0.768  0.761 0.859  0.826 0.968  0.891 1.076  0.956 1.185  1.022 1.293
2#lou#lou0#jl_vo_c/q  0.039 0.935  -0.088 0.872  -0.214 0.809  -0.340 0.746  -0.453 0.663  -0.537 0.552  -0.600 0.426  -0.663 0.299  -0.726 0.173  -0.710 0.040  -0.607 -0.051  -0.466 -0.051  -0.325 -0.051  -0.231 0.038  -0.153 0.155  -0.074 0.272  0.024 0.373  0.068 0.505  0.102 0.642  0.136 0.779  0.148 0.918  0.148 1.060  0.148 1.201  0.148 1.342  0.148 1.263  0.148 1.122  0.148 0.981  0.148 0.840  0.148 0.699  0.163 0.560  0.208 0.426  0.253 0.292  0.258 0.152  0.258 0.011  0.258 -0.130  0.258 -0.272  0.258 -0.413  0.258 -0.554  0.258 -0.695  0.246 -0.836  0.233 -0.976  0.221 -1.117  0.208 -1.257  0.195 -1.398  0.182 -1.539  0.169 -1.679  0.157 -1.820  0.148 -1.960  0.148 -2.102  0.148 -2.243
2#lou#lou0#jl_vo_c/r  -1.446 -0.845  -1.446 -0.715  -1.317 -0.715  -1.225 -0.624  -1.134 -0.532  -1.037 -0.454  -0.912 -0.441  -0.821 -0.350  -0.729 -0.258  -0.637 -0.166  -0.546 -0.075  -0.535 0.050  -0.499 0.174  -0.458 0.297  -0.417 0.420  -0.376 0.543  -0.335 0.666  -0.294 0.789  -0.274 0.915  -0.227 1.025  -0.132 1.109  -0.003 1.109  0.127 1.109  0.256 1.109  0.385 1.105  0.501 1.047  0.617 0.989  0.638 0.872  0.638 0.743  0.638 0.613  0.591 0.494  0.533 0.379  0.480 0.260  0.432 0.140  0.384 0.020  0.336 -0.101  0.288 -0.221  0.247 -0.343  0.247 -0.472  0.247 -0.602  0.247 -0.731  0.263 -0.847  0.390 -0.869  0.518 -0.890  0.646 -0.911  0.774 -0.933  0.902 -0.954  1.030 -0.975  1.159 -0.975  1.289 -0.975
2#lou#lou0#jl_vo_c/5  -0.001 1.148  -0.052 1.010  -0.165 0.897  -0.195 0.745  -0.245 0.593  -0.171 0.532  -0.011 0.532  0.124 0.448  0.257 0.360  0.371 0.248  0.450 0.118  0.479 -0.040  0.508 -0.197  0.536 -0.354  0.565 -0.511  0.593 -0.668  0.615 -0.826  0.615 -0.986  0.550 -1.119  0.437 -1.231  0.304 -1.320  0.170 -1.406  0.011 -1.406  -0.145 -1.370  -0.300 -1.331  -0.447 -1.271  -0.577 -1.182  -0.690 -1.069  -0.706 -0.916  -0.706 -0.756  -0.689 -0.598  -0.663 -0.441  -0.636 -0.283  -0.610 -0.125  -0.584 0.032  -0.557 0.190  -0.531 0.347  -0.505 0.505  -0.479 0.663  -0.452 0.820  -0.347 0.884  -0.190 0.906  -0.036 0.950  0.117 0.994  0.271 1.037  0.427 1.060  0.587 1.060  0.746 1.071  0.901 1.110  1.056 1.148
2#lou#lou0#jl_vo_c/n  -1.594 -0.753  -1.594 -0.608  -1.589 -0.464  -1.509 -0.343  -1.428 -0.223  -1.348 -0.102  -1.255 0.009  -1.152 0.111  -1.050 0.214  -0.978 0.339  -0.913 0.469  -0.806 0.556  -0.676 0.621  -0.547 0.686  -0.417 0.751  -0.282 0.796  -0.152 0.761  -0.049 0.658  0.053 0.555  0.084 0.428  0.066 0.284  0.048 0.140  0.030 -0.004  0.012 -0.148  -0.006 -0.292  -0.024 -0.436  -0.042 -0.580  -0.046 -0.724  0.006 -0.648  0.071 -0.518  0.160 -0.406  0.253 -0.296  0.318 -0.166  0.382 -0.037  0.447 0.093  0.512 0.223  0.577 0.353  0.642 0.482  0.768 0.514  0.862 0.419  0.942 0.298  1.023 0.178  1.110 0.062  1.212 -0.040  1.247 -0.179  1.275 -0.322  1.304 -0.464  1.332 -0.606  1.361 -0.748  1.362 -0.893
2#lou#lou0#jl_vo_c/o  -1.563 0.117  -1.419 0.261  -1.225 0.288  -1.032 0.351  -0.838 0.415  -0.641 0.458  -0.437 0.458  -0.247 0.519  -0.064 0.610  0.135 0.629  0.339 0.629  0.543 0.629  0.658 0.719  0.542 0.761  0.348 0.697  0.154 0.632  -0.042 0.612  -0.186 0.468  -0.331 0.324  -0.424 0.146  -0.500 -0.044  -0.575 -0.233  -0.651 -0.423  -0.709 -0.616  -0.709 -0.820  -0.709 -1.024  -0.709 -1.228  -0.546 -1.331  -0.363 -1.421  -0.159 -1.421  0.046 -1.421  0.219 -1.347  0.363 -1.203  0.500 -1.053  0.591 -0.870  0.658 -0.682  0.618 -0.487  0.527 -0.305  0.436 -0.122  0.345 0.060  0.316 0.258  0.193 0.411  0.146 0.595  0.315 0.629  0.519 0.629  0.720 0.650  0.914 0.715  1.107 0.779  1.308 0.800  1.512 0.800
2#lou#lou0#jl_vo_c/Y  -0.670 1.203  -0.670 1.202  -0.670 1.054  -0.651 0.909  -0.615 0.766  -0.585 0.622  -0.561 0.476  -0.536 0.331  -0.493 0.192  -0.431 0.058  -0.376 -0.079  -0.321 -0.216  -0.232 -0.330  -0.120 -0.267  -0.045 -0.140  0.031 -0.014  0.089 0.121  0.139 0.259  0.235 0.370  0.317 0.492  0.399 0.615  0.480 0.738  0.562 0.861  0.644 0.983  0.710 1.115  0.848 1.130  0.778 1.031  0.712 0.900  0.646 0.768  0.610 0.625  0.574 0.482  0.512 0.348  0.449 0.215  0.385 0.082  0.322 -0.051  0.259 -0.184  0.195 -0.318  0.132 -0.451  0.068 -0.584  0.005 -0.717  -0.058 -0.850  -0.122 -0.983  -0.186 -1.116  -0.252 -1.248  -0.313 -1.382  -0.353 -1.523  -0.394 -1.665  -0.434 -1.807  -0.490 -1.943  -0.524 -2.082
2#lou#lou0#jl_vo_c/b  -0.163 2.173  -0.163 2.011  -0.163 1.849  -0.165 1.687  -0.193 1.527  -0.221 1.368  -0.250 1.208  -0.278 1.048  -0.306 0.889  -0.334 0.729  -0.362 0.570  -0.390 0.410  -0.419 0.250  -0.447 0.091  -0.475 -0.069  -0.503 -0.228  -0.520 -0.389  -0.520 -0.551  -0.535 -0.710  -0.607 -0.855  -0.574 -0.854  -0.488 -0.720  -0.428 -0.570  -0.368 -0.419  -0.308 -0.269  -0.216 -0.139  -0.102 -0.024  0.013 0.090  0.128 0.205  0.242 0.319  0.372 0.370  0.526 0.318  0.674 0.261  0.746 0.116  0.819 -0.029  0.891 -0.174  0.907 -0.332  0.907 -0.495  0.907 -0.657  0.863 -0.812  0.812 -0.965  0.701 -1.037  0.539 -1.037  0.377 -1.037  0.220 -1.006  0.066 -0.955  -0.085 -0.898  -0.230 -0.825  -0.375 -0.753  -0.520 -0.680
