2#apa#apa19#app1955/a  -0.980 1.304  -0.801 1.341  -0.728 1.483  -0.512 1.483  -0.296 1.483  -0.080 1.483  0.094 1.442  0.150 1.249  0.273 1.084  0.273 0.868  0.273 0.653  0.273 0.437  0.140 0.542  -0.057 0.588  -0.218 0.455  -0.414 0.409  -0.451 0.230  -0.622 0.185  -0.622 -0.031  -0.741 -0.128  -0.801 -0.283  -0.801 -0.499  -0.801 -0.715  -0.740 -0.905  -0.573 -1.023  -0.443 -1.109  -0.320 -1.202  -0.104 -1.202  -0.067 -1.023  0.094 -0.969  0.094 -0.753  0.222 -0.665  0.273 -0.500  0.273 -0.284  0.273 -0.069  0.177 0.051  0.094 0.184  0.094 0.400  0.113 0.211  0.266 0.058  0.300 -0.128  0.452 -0.192  0.452 -0.407  0.589 -0.486  0.631 -0.660  0.810 -0.697  0.879 -0.844  1.095 -0.844  1.168 -0.986  1.347 -1.023
2#apa#apa19#app1955/b  -0.232 2.120  -0.232 1.938  -0.232 1.755  -0.232 1.572  -0.403 1.561  -0.419 1.393  -0.419 1.210  -0.419 1.028  -0.419 0.845  -0.419 0.662  -0.419 0.480  -0.419 0.297  -0.419 0.114  -0.419 -0.069  -0.419 -0.251  -0.419 -0.434  -0.419 -0.617  -0.419 -0.799  -0.419 -0.982  -0.419 -0.936  -0.419 -0.754  -0.419 -0.571  -0.316 -0.491  -0.232 -0.392  -0.232 -0.209  -0.232 -0.027  -0.232 0.156  -0.232 0.339  -0.152 0.442  0.030 0.442  0.213 0.442  0.396 0.442  0.514 0.377  0.575 0.255  0.700 0.198  0.700 0.015  0.700 -0.167  0.746 -0.305  0.887 -0.346  0.887 -0.529  0.887 -0.712  0.856 -0.864  0.700 -0.891  0.678 -1.051  0.495 -1.051  0.312 -1.051  0.129 -1.051  -0.046 -1.058  -0.049 -1.237  -0.232 -1.237
2#apa#apa19#app1955/c  0.982 0.934  0.912 1.004  0.842 1.074  0.772 1.144  0.677 1.154  0.578 1.154  0.479 1.154  0.380 1.154  0.293 1.124  0.223 1.054  0.153 0.984  0.075 0.934  -0.024 0.934  -0.121 0.930  -0.191 0.860  -0.261 0.790  -0.331 0.720  -0.401 0.650  -0.471 0.580  -0.541 0.510  -0.556 0.417  -0.556 0.318  -0.556 0.219  -0.556 0.120  -0.556 0.021  -0.556 -0.078  -0.556 -0.177  -0.556 -0.276  -0.556 -0.375  -0.556 -0.474  -0.556 -0.573  -0.556 -0.672  -0.556 -0.770  -0.511 -0.824  -0.412 -0.824  -0.320 -0.841  -0.250 -0.911  -0.180 -0.981  -0.107 -1.044  -0.008 -1.044  0.091 -1.044  0.190 -1.044  0.289 -1.044  0.388 -1.044  0.487 -1.044  0.586 -1.044  0.685 -1.044  0.762 -1.022  0.762 -0.923  0.762 -0.824
2#apa#apa19#app1955/d  0.388 1.993  0.444 1.851  0.530 1.740  0.530 1.543  0.530 1.345  0.530 1.147  0.396 1.005  0.388 0.811  0.388 0.613  0.388 0.415  0.388 0.217  0.388 0.020  0.388 -0.178  0.388 -0.376  0.388 -0.573  0.388 -0.771  0.388 -0.969  0.388 -0.824  0.388 -0.627  0.388 -0.429  0.530 -0.373  0.530 -0.176  0.516 0.016  0.388 0.161  0.388 0.358  0.260 0.428  0.204 0.570  0.007 0.570  -0.191 0.570  -0.389 0.570  -0.466 0.449  -0.642 0.428  -0.750 0.339  -0.853 0.183  -0.893 0.002  -0.947 -0.141  -1.035 -0.251  -1.035 -0.449  -1.035 -0.646  -0.902 -0.711  -0.893 -0.899  -0.791 -0.995  -0.639 -1.106  -0.455 -1.138  -0.257 -1.138  -0.095 -1.051  0.080 -0.995  0.246 -0.964  0.333 -0.853  0.388 -0.711
2#apa#apa19#app1955/e  -0.946 0.128  -0.808 -0.011  -0.656 -0.118  -0.460 -0.118  -0.455 -0.308  -0.314 -0.364  -0.118 -0.364  0.078 -0.364  0.275 -0.364  0.283 -0.176  0.421 -0.118  0.617 -0.118  0.775 -0.080  0.775 0.116  0.959 0.128  1.021 0.263  0.961 0.434  0.823 0.573  0.775 0.749  0.696 0.866  0.509 0.887  0.370 1.025  0.210 1.112  0.014 1.112  -0.183 1.112  -0.379 1.112  -0.575 1.112  -0.750 1.062  -0.889 0.923  -0.946 0.751  -0.946 0.555  -0.946 0.359  -0.946 0.163  -0.946 -0.033  -0.946 -0.229  -0.946 -0.425  -0.935 -0.610  -0.738 -0.610  -0.589 -0.721  -0.448 -0.856  -0.252 -0.856  -0.056 -0.856  0.140 -0.856  0.336 -0.856  0.532 -0.856  0.729 -0.856  0.925 -0.856  1.121 -0.856  1.317 -0.856  1.513 -0.856
2#apa#apa19#app1955/f  0.676 1.366  0.768 1.366  0.676 1.431  0.579 1.490  0.547 1.615  0.391 1.615  0.303 1.546  0.202 1.490  0.173 1.360  0.062 1.250  0.040 1.103  -0.070 0.992  -0.070 0.835  -0.070 0.679  -0.070 0.523  -0.070 0.366  -0.070 0.210  -0.070 0.054  -0.070 -0.103  -0.070 -0.259  -0.070 -0.415  -0.070 -0.572  -0.070 -0.728  -0.059 -0.880  0.052 -0.990  0.055 -1.145  0.055 -1.302  0.055 -1.458  0.179 -1.490  0.087 -1.364  -0.005 -1.238  -0.097 -1.111  -0.189 -0.985  -0.281 -0.858  -0.373 -0.732  -0.465 -0.606  -0.557 -0.479  -0.649 -0.353  -0.740 -0.226  -0.785 -0.124  -0.628 -0.124  -0.500 -0.191  -0.367 -0.248  -0.211 -0.248  -0.054 -0.248  0.102 -0.248  0.235 -0.192  0.363 -0.124  0.519 -0.124  0.676 -0.124
2#apa#apa19#app1955/g  -0.114 1.527  -0.124 1.370  -0.285 1.356  -0.403 1.238  -0.428 1.082  -0.569 1.056  -0.585 0.905  -0.699 0.785  -0.742 0.636  -0.742 0.469  -0.742 0.303  -0.742 0.136  -0.742 -0.031  -0.587 -0.043  -0.421 -0.043  -0.254 -0.043  -0.087 -0.043  0.043 -0.006  0.090 0.114  0.200 0.171  0.200 0.338  0.200 0.504  0.200 0.671  0.200 0.838  0.200 1.005  0.200 0.940  0.200 0.773  0.296 0.646  0.357 0.504  0.421 0.364  0.514 0.236  0.514 0.069  0.569 -0.043  0.671 -0.108  0.671 -0.275  0.671 -0.441  0.671 -0.608  0.671 -0.775  0.671 -0.942  0.547 -0.985  0.514 -1.119  0.412 -1.244  0.269 -1.299  0.102 -1.299  0.043 -1.407  -0.075 -1.456  -0.242 -1.456  -0.409 -1.456  -0.575 -1.456  -0.742 -1.456
2#apa#apa19#app1955/h  -0.460 2.065  -0.441 1.925  -0.320 1.886  -0.320 1.727  -0.320 1.568  -0.320 1.408  -0.320 1.249  -0.320 1.089  -0.320 0.930  -0.320 0.770  -0.320 0.611  -0.320 0.452  -0.320 0.292  -0.320 0.133  -0.320 -0.027  -0.320 -0.186  -0.320 -0.345  -0.320 -0.505  -0.320 -0.664  -0.320 -0.824  -0.320 -0.983  -0.320 -1.143  -0.311 -1.293  -0.180 -1.321  -0.180 -1.384  -0.180 -1.225  -0.180 -1.066  -0.180 -0.906  -0.180 -0.747  -0.077 -0.630  -0.040 -0.486  -0.040 -0.326  -0.040 -0.167  -0.040 -0.008  0.005 0.106  0.100 0.171  0.159 0.306  0.285 0.386  0.445 0.386  0.519 0.301  0.624 0.246  0.659 0.123  0.659 -0.037  0.682 -0.173  0.799 -0.216  0.799 -0.375  0.799 -0.535  0.799 -0.694  0.799 -0.854  0.799 -1.013
2#apa#apa19#app1955/i  0.068 0.902  0.068 0.773  0.019 0.664  -0.072 0.573  -0.122 0.464  -0.122 0.335  -0.122 0.206  -0.122 0.077  -0.122 -0.052  -0.122 -0.181  -0.122 -0.310  -0.122 -0.439  -0.122 -0.568  -0.122 -0.697  -0.122 -0.826  -0.122 -0.955  -0.122 -1.084  -0.122 -1.213  -0.122 -1.342  -0.122 -1.471  -0.079 -1.558  0.050 -1.558  0.068 -1.447  0.068 -1.318  0.068 -1.189  0.068 -1.060  0.068 -0.931  0.068 -0.802  0.068 -0.673  0.068 -0.544  0.068 -0.415  0.068 -0.285  0.068 -0.156  0.068 -0.027  0.068 0.102  0.068 0.231  0.068 0.360  0.068 0.489  0.068 0.618  0.068 0.747  0.068 0.876  0.068 1.005  0.068 1.134  0.068 1.263  0.068 1.392  0.068 1.521  0.068 1.650  0.068 1.779  0.068 1.908  0.068 2.037
2#apa#apa19#app1955/j  0.469 0.904  0.469 0.765  0.469 0.626  0.469 0.487  0.469 0.348  0.469 0.209  0.469 0.070  0.469 -0.069  0.469 -0.208  0.469 -0.346  0.469 -0.485  0.469 -0.624  0.469 -0.763  0.368 -0.801  0.314 -0.886  0.314 -1.025  0.277 -1.149  0.178 -1.247  0.047 -1.266  -0.091 -1.266  -0.151 -1.187  -0.214 -1.111  -0.306 -1.064  -0.337 -0.956  -0.461 -0.941  -0.461 -0.802  -0.559 -0.704  -0.616 -0.589  -0.658 -0.491  -0.746 -0.491  -0.613 -0.483  -0.564 -0.353  -0.515 -0.222  -0.467 -0.092  -0.418 0.038  -0.369 0.168  -0.320 0.298  -0.272 0.428  -0.223 0.558  -0.174 0.688  -0.125 0.818  -0.076 0.948  -0.028 1.078  0.021 1.208  0.070 1.339  0.119 1.469  0.167 1.599  0.216 1.729  0.265 1.859  0.314 1.989
2#apa#apa19#app1955/k  -0.191 2.216  -0.191 2.017  -0.191 1.818  -0.191 1.618  -0.249 1.443  -0.370 1.294  -0.370 1.095  -0.370 0.896  -0.370 0.696  -0.370 0.497  -0.411 0.305  -0.474 0.116  -0.537 -0.073  -0.549 -0.271  -0.549 -0.470  -0.549 -0.669  -0.549 -0.868  -0.549 -1.067  -0.549 -1.267  -0.498 -1.275  -0.397 -1.103  -0.297 -0.931  -0.197 -0.759  -0.096 -0.587  0.004 -0.415  0.104 -0.243  0.205 -0.071  0.305 0.101  0.406 0.274  0.506 0.446  0.606 0.618  0.703 0.778  0.703 0.579  0.656 0.426  0.477 0.379  0.332 0.247  0.166 0.214  0.113 0.068  -0.086 0.068  -0.191 -0.026  -0.111 -0.192  0.030 -0.332  0.171 -0.473  0.312 -0.614  0.345 -0.799  0.518 -0.827  0.534 -1.015  0.675 -1.156  0.703 -1.343  0.882 -1.363
