3#apa#apa14#app1443/Q  -0.075 1.344  -0.299 1.343  -0.440 1.171  -0.541 0.970  -0.643 0.771  -0.768 0.584  -0.855 0.386  -0.855 0.161  -0.913 -0.054  -0.942 -0.264  -0.834 -0.459  -0.657 -0.593  -0.448 -0.661  -0.224 -0.661  0.001 -0.661  0.225 -0.661  0.450 -0.661  0.651 -0.603  0.832 -0.517  0.927 -0.314  0.927 -0.090  0.870 0.121  0.743 0.303  0.593 0.465  0.537 0.677  0.410 0.859  0.251 1.017  0.093 1.176  -0.093 1.298  -0.272 1.259  -0.430 1.101  -0.506 0.915  -0.472 0.693  -0.438 0.471  -0.404 0.249  -0.370 0.027  -0.336 -0.195  -0.301 -0.417  -0.390 -0.327  -0.232 -0.261  -0.043 -0.287  0.132 -0.423  0.305 -0.550  0.420 -0.700  0.489 -0.914  0.544 -1.132  0.593 -1.350  0.713 -1.501  0.926 -1.552  1.150 -1.552
3#apa#apa14#app1443/U  -0.425 1.278  -0.544 1.278  -0.601 1.339  -0.601 1.450  -0.601 1.331  -0.601 1.212  -0.601 1.093  -0.601 0.974  -0.601 0.855  -0.601 0.737  -0.601 0.618  -0.601 0.499  -0.601 0.380  -0.601 0.261  -0.601 0.142  -0.601 0.023  -0.601 -0.095  -0.601 -0.214  -0.589 -0.331  -0.536 -0.437  -0.483 -0.543  -0.430 -0.649  -0.425 -0.767  -0.425 -0.886  -0.425 -1.005  -0.313 -1.012  -0.194 -1.012  -0.075 -1.012  0.043 -1.012  0.162 -1.012  0.281 -1.012  0.400 -1.012  0.501 -0.968  0.585 -0.884  0.669 -0.800  0.753 -0.715  0.808 -0.620  0.808 -0.501  0.808 -0.382  0.808 -0.263  0.808 -0.144  0.808 -0.025  0.808 0.094  0.808 0.212  0.808 0.331  0.808 0.450  0.808 0.569  0.808 0.688  0.751 0.749  0.632 0.749
3#apa#apa14#app1443/I  -0.008 0.853  -0.065 0.910  -0.121 0.966  -0.178 1.023  -0.234 1.080  -0.274 1.143  -0.274 1.223  -0.274 1.303  -0.274 1.383  -0.274 1.307  -0.274 1.227  -0.274 1.147  -0.274 1.067  -0.274 0.987  -0.274 0.907  -0.266 0.829  -0.240 0.753  -0.215 0.677  -0.190 0.601  -0.164 0.525  -0.139 0.449  -0.114 0.374  -0.089 0.298  -0.063 0.222  -0.038 0.146  -0.013 0.070  0.013 -0.006  0.038 -0.082  0.063 -0.158  0.088 -0.233  0.114 -0.309  0.139 -0.385  0.164 -0.461  0.190 -0.537  0.215 -0.613  0.240 -0.689  0.258 -0.766  0.258 -0.846  0.258 -0.926  0.258 -1.006  0.258 -1.086  0.258 -1.166  0.258 -1.246  0.258 -1.326  0.258 -1.406  0.258 -1.486  0.258 -1.566  0.258 -1.646  0.258 -1.726  0.258 -1.806
3#apa#apa14#app1443/C  0.551 0.762  0.551 0.864  0.522 0.953  0.450 1.025  0.378 1.096  0.306 1.168  0.235 1.240  0.136 1.248  0.035 1.248  -0.067 1.248  -0.147 1.197  -0.219 1.125  -0.291 1.054  -0.362 0.982  -0.420 0.904  -0.420 0.803  -0.420 0.702  -0.420 0.600  -0.420 0.499  -0.420 0.397  -0.420 0.296  -0.420 0.194  -0.420 0.093  -0.420 -0.009  -0.483 -0.047  -0.582 -0.050  -0.582 -0.151  -0.582 -0.253  -0.582 -0.354  -0.522 -0.431  -0.450 -0.502  -0.420 -0.591  -0.420 -0.693  -0.349 -0.765  -0.278 -0.837  -0.192 -0.889  -0.101 -0.934  -0.011 -0.980  0.082 -1.018  0.183 -1.018  0.285 -1.018  0.386 -1.018  0.488 -1.018  0.589 -1.018  0.691 -1.018  0.792 -1.018  0.893 -1.018  0.995 -1.018  1.096 -1.018  1.198 -1.018
3#apa#apa14#app1443/K  -0.612 1.290  -0.644 1.477  -0.779 1.417  -0.710 1.210  -0.641 1.002  -0.612 0.788  -0.612 0.569  -0.612 0.350  -0.601 0.133  -0.532 -0.075  -0.462 -0.282  -0.425 -0.495  -0.425 -0.714  -0.425 -0.933  -0.286 -1.094  -0.238 -1.293  -0.177 -1.158  -0.103 -0.952  -0.029 -0.746  0.044 -0.540  0.118 -0.333  0.191 -0.127  0.265 0.079  0.339 0.285  0.412 0.491  0.486 0.697  0.560 0.903  0.633 1.110  0.698 1.317  0.671 1.425  0.574 1.229  0.486 1.029  0.417 0.822  0.347 0.614  0.323 0.399  0.200 0.231  0.045 0.076  -0.134 -0.020  -0.353 -0.020  -0.322 -0.123  -0.167 -0.278  -0.051 -0.449  -0.012 -0.659  0.086 -0.854  0.242 -0.955  0.323 -1.093  0.443 -1.262  0.511 -1.453  0.666 -1.517  0.885 -1.517
3#apa#apa14#app1443/L  -0.531 1.231  -0.531 1.324  -0.555 1.393  -0.648 1.393  -0.693 1.344  -0.693 1.251  -0.660 1.165  -0.618 1.082  -0.577 0.998  -0.535 0.915  -0.531 0.823  -0.531 0.729  -0.531 0.636  -0.531 0.543  -0.531 0.450  -0.531 0.357  -0.531 0.263  -0.509 0.173  -0.487 0.082  -0.464 -0.008  -0.442 -0.099  -0.419 -0.189  -0.396 -0.279  -0.374 -0.370  -0.369 -0.463  -0.369 -0.556  -0.369 -0.649  -0.341 -0.714  -0.247 -0.714  -0.170 -0.677  -0.104 -0.611  -0.035 -0.552  0.058 -0.552  0.152 -0.552  0.245 -0.552  0.338 -0.552  0.431 -0.552  0.524 -0.552  0.618 -0.552  0.711 -0.552  0.804 -0.552  0.897 -0.552  0.991 -0.552  1.084 -0.552  1.177 -0.552  1.265 -0.565  1.331 -0.631  1.397 -0.697  1.414 -0.645  1.414 -0.552
3#apa#apa14#app1443/Y  -0.620 0.436  -0.684 0.563  -0.720 0.673  -0.578 0.673  -0.472 0.615  -0.409 0.488  -0.383 0.352  -0.307 0.242  -0.207 0.142  -0.146 0.025  -0.146 -0.117  -0.100 -0.065  -0.037 0.062  0.027 0.189  0.090 0.316  0.153 0.443  0.217 0.570  0.280 0.696  0.344 0.823  0.407 0.950  0.471 1.077  0.534 1.204  0.514 1.317  0.447 1.338  0.447 1.196  0.447 1.054  0.447 0.912  0.447 0.771  0.432 0.631  0.388 0.497  0.343 0.362  0.309 0.224  0.281 0.085  0.254 -0.054  0.226 -0.193  0.183 -0.327  0.120 -0.454  0.057 -0.581  -0.007 -0.707  -0.070 -0.834  -0.134 -0.961  -0.174 -1.097  -0.208 -1.234  -0.243 -1.372  -0.301 -1.496  -0.383 -1.604  -0.383 -1.746  -0.383 -1.887  -0.383 -2.029  -0.383 -2.171
3#apa#apa14#app1443/F  -0.293 0.559  -0.487 0.520  -0.372 0.289  -0.293 0.051  -0.293 -0.207  -0.293 -0.464  -0.293 -0.721  -0.212 -0.966  -0.131 -1.210  -0.079 -1.459  -0.079 -1.716  -0.131 -1.621  -0.205 -1.374  -0.279 -1.128  -0.353 -0.881  -0.427 -0.635  -0.501 -0.388  -0.575 -0.142  -0.648 0.105  -0.727 0.345  -0.934 0.395  -0.868 0.625  -0.677 0.794  -0.447 0.909  -0.217 1.024  0.014 1.139  0.244 1.255  0.474 1.370  0.721 1.414  0.978 1.414  0.849 1.212  0.702 1.002  0.554 0.791  0.406 0.580  0.259 0.369  0.111 0.158  -0.036 -0.053  -0.184 -0.263  -0.332 -0.474  -0.479 -0.685  -0.507 -0.515  -0.254 -0.511  -0.021 -0.452  0.171 -0.285  0.415 -0.203  0.659 -0.122  0.910 -0.083  1.148 -0.004  1.379 0.111  1.631 0.131
3#apa#apa14#app1443/O  -0.436 0.586  -0.540 0.690  -0.644 0.794  -0.657 0.678  -0.657 0.531  -0.657 0.383  -0.657 0.236  -0.657 0.089  -0.657 -0.059  -0.657 -0.206  -0.657 -0.353  -0.657 -0.501  -0.657 -0.648  -0.657 -0.795  -0.657 -0.942  -0.568 -1.053  -0.464 -1.157  -0.328 -1.185  -0.181 -1.185  -0.034 -1.185  0.082 -1.110  0.186 -1.006  0.316 -0.964  0.460 -0.954  0.564 -0.850  0.668 -0.746  0.772 -0.642  0.876 -0.538  0.981 -0.433  1.085 -0.329  1.114 -0.194  1.100 -0.050  1.034 0.082  0.968 0.213  0.902 0.345  0.766 0.364  0.648 0.411  0.582 0.543  0.516 0.674  0.450 0.806  0.319 0.872  0.187 0.938  0.055 1.004  -0.086 1.028  -0.234 1.028  -0.381 1.028  -0.528 1.028  -0.670 1.015  -0.774 0.911  -0.878 0.807
3#apa#apa14#app1443/R  -0.541 0.715  -0.451 0.849  -0.407 0.669  -0.407 0.446  -0.407 0.222  -0.407 -0.001  -0.407 -0.225  -0.407 -0.448  -0.407 -0.672  -0.405 -0.894  -0.273 -1.063  -0.273 -1.287  -0.221 -1.294  -0.307 -1.126  -0.351 -0.907  -0.394 -0.687  -0.438 -0.468  -0.482 -0.249  -0.526 -0.030  -0.570 0.189  -0.614 0.409  -0.657 0.628  -0.674 0.850  -0.574 1.049  -0.436 1.222  -0.278 1.380  -0.056 1.384  0.163 1.367  0.363 1.267  0.528 1.119  0.531 0.896  0.531 0.673  0.399 0.581  0.234 0.433  0.034 0.333  -0.132 0.186  -0.353 0.179  -0.238 0.179  -0.021 0.140  0.191 0.069  0.368 -0.060  0.526 -0.218  0.677 -0.381  0.777 -0.581  0.877 -0.781  1.031 -0.892  1.066 -1.081  1.077 -1.294  1.271 -1.365  1.468 -1.428
3#apa#apa14#app1443/G  0.799 0.638  0.781 0.784  0.653 0.819  0.601 0.930  0.476 0.993  0.403 1.138  0.312 1.271  0.188 1.367  0.025 1.367  -0.138 1.367  -0.301 1.367  -0.421 1.285  -0.511 1.149  -0.602 1.013  -0.658 0.867  -0.658 0.704  -0.688 0.546  -0.740 0.391  -0.792 0.236  -0.803 0.075  -0.803 -0.089  -0.803 -0.252  -0.803 -0.415  -0.803 -0.578  -0.754 -0.721  -0.631 -0.818  -0.481 -0.849  -0.366 -0.964  -0.250 -1.080  -0.099 -1.109  0.064 -1.109  0.227 -1.109  0.382 -1.089  0.497 -0.974  0.508 -0.815  0.493 -0.658  0.378 -0.542  0.221 -0.527  0.104 -0.415  -0.045 -0.381  -0.208 -0.381  -0.070 -0.381  0.093 -0.381  0.257 -0.381  0.420 -0.381  0.583 -0.381  0.746 -0.381  0.909 -0.381  1.073 -0.381  1.236 -0.381
