2#tos#t3#t3011062/!  0.049 1.616  -0.023 1.616  -0.071 1.592  -0.071 1.520  -0.071 1.447  -0.071 1.375  -0.071 1.303  -0.071 1.231  -0.066 1.159  -0.039 1.092  -0.012 1.025  0.009 0.957  0.009 0.885  0.009 0.813  0.009 0.740  0.009 0.668  0.009 0.596  0.009 0.523  0.009 0.451  0.009 0.379  0.009 0.307  0.009 0.234  0.011 0.162  0.034 0.094  0.049 0.024  0.049 -0.048  0.049 -0.120  0.049 -0.193  0.048 -0.265  0.044 -0.337  0.040 -0.409  0.036 -0.481  0.032 -0.553  0.028 -0.626  0.024 -0.698  0.020 -0.770  0.016 -0.842  0.012 -0.914  0.009 -0.986  -0.004 -1.053  -0.031 -1.114  -0.057 -1.161  -0.071 -1.218  -0.031 -1.250  -0.030 -1.322  0.009 -1.355  0.009 -1.427  0.009 -1.499  0.017 -1.563  0.049 -1.604
2#tos#t3#t3011062/\"  -1.057 -0.029  -1.202 -0.029  -1.141 -0.029  -1.057 -0.091  -1.057 -0.237  -1.057 -0.382  -1.057 -0.528  -1.057 -0.673  -1.057 -0.819  -1.057 -0.964  -1.057 -1.110  -0.992 -1.077  -0.899 -0.965  -0.806 -0.853  -0.713 -0.741  -0.620 -0.629  -0.527 -0.518  -0.433 -0.406  -0.340 -0.294  -0.247 -0.182  -0.154 -0.071  -0.061 0.041  0.032 0.153  0.126 0.265  0.219 0.377  0.312 0.488  0.405 0.600  0.498 0.712  0.591 0.824  0.684 0.936  0.778 1.047  0.735 1.095  0.589 1.095  0.444 1.095  0.443 0.951  0.443 0.805  0.443 0.660  0.461 0.533  0.607 0.533  0.630 0.411  0.687 0.289  0.790 0.186  0.818 0.052  0.882 -0.029  1.005 -0.052  1.005 -0.197  1.005 -0.343  1.005 -0.488  1.005 -0.634  1.005 -0.779
2#tos#t3#t3011062/#  -0.466 0.734  -0.653 0.452  -0.645 0.402  -0.228 0.411  0.187 0.457  0.549 0.624  0.635 0.666  0.275 0.455  -0.085 0.244  -0.445 0.032  -0.805 -0.179  -1.033 -0.399  -1.266 -0.595  -0.904 -0.650  -0.513 -0.540  -0.206 -0.429  0.194 -0.320  0.602 -0.263  0.918 -0.162  1.251 -0.030  0.974 0.224  0.610 0.428  0.245 0.632  -0.119 0.835  -0.484 1.039  -0.652 1.050  -0.522 0.716  -0.466 0.322  -0.484 -0.093  -0.522 -0.504  -0.522 -0.922  -0.688 -1.219  -0.670 -1.254  -0.505 -0.870  -0.341 -0.486  -0.176 -0.103  -0.012 0.281  0.153 0.665  0.317 1.048  0.420 1.445  0.531 1.380  0.531 0.962  0.531 0.545  0.641 0.238  0.641 -0.179  0.641 -0.596  0.641 -1.014  0.641 -1.431  0.641 -1.849  0.641 -2.202
2#tos#t3#t3011062/$  0.813 0.660  0.855 0.411  0.813 0.654  0.640 0.828  0.359 0.870  0.110 0.912  -0.180 0.912  -0.433 0.798  -0.635 0.702  -0.748 0.492  -0.739 0.252  -0.511 0.134  -0.240 0.073  0.025 -0.011  0.316 -0.011  0.539 -0.137  0.697 -0.305  0.904 -0.388  1.065 -0.553  0.897 -0.701  0.791 -0.934  0.500 -0.934  0.420 -1.152  0.131 -1.185  -0.159 -1.185  -0.407 -1.141  -0.655 -1.031  -0.781 -0.866  -0.720 -0.585  -0.629 -0.310  -0.537 -0.034  -0.445 0.242  -0.353 0.517  -0.261 0.793  -0.169 1.069  -0.077 1.344  0.015 1.620  -0.110 1.549  -0.151 1.300  -0.151 1.010  -0.151 0.719  -0.151 0.428  -0.151 0.138  -0.110 -0.148  -0.110 -0.438  -0.026 -0.694  -0.026 -0.985  -0.026 -1.275  -0.026 -1.566  -0.026 -1.856
2#tos#t3#t3011062/&  1.235 -0.718  1.096 -0.822  0.853 -0.822  0.611 -0.812  0.372 -0.770  0.202 -0.637  0.035 -0.500  -0.204 -0.460  -0.330 -0.299  -0.520 -0.147  -0.604 0.060  -0.732 0.259  -0.744 0.497  -0.837 0.683  -0.911 0.846  -0.797 1.025  -0.662 1.195  -0.477 1.289  -0.263 1.378  -0.037 1.418  0.180 1.418  0.101 1.218  0.037 1.028  -0.054 0.813  -0.199 0.618  -0.307 0.408  -0.328 0.172  -0.328 -0.071  -0.532 -0.180  -0.696 -0.316  -0.764 -0.549  -0.797 -0.784  -0.797 -1.027  -0.713 -1.186  -0.470 -1.186  -0.231 -1.146  -0.127 -0.958  0.091 -0.926  0.294 -0.852  0.349 -0.626  0.506 -0.539  0.506 -0.296  0.610 -0.158  0.610 0.085  0.707 0.268  0.688 0.480  0.775 0.480  1.013 0.450  1.200 0.376  1.391 0.324
2#tos#t3#t3011062/'  0.300 0.945  0.300 1.068  0.358 1.132  0.481 1.132  0.604 1.132  0.675 1.080  0.675 0.958  0.564 0.945  0.487 0.899  0.487 0.777  0.383 0.758  0.261 0.758  0.138 0.758  0.015 0.758  -0.107 0.758  -0.230 0.758  -0.353 0.758  -0.421 0.758  -0.299 0.758  -0.261 0.673  -0.240 0.571  -0.118 0.571  -0.039 0.500  0.016 0.390  0.071 0.281  0.142 0.197  0.264 0.197  0.300 0.110  0.300 -0.013  0.300 -0.136  0.300 -0.258  0.300 -0.381  0.300 -0.504  0.300 -0.627  0.290 -0.739  0.168 -0.739  0.045 -0.739  -0.077 -0.742  -0.163 -0.829  -0.250 -0.915  -0.357 -0.974  -0.467 -1.029  -0.577 -1.084  -0.636 -1.170  -0.636 -1.293  -0.636 -1.416  -0.658 -1.533  -0.713 -1.643  -0.768 -1.753  -0.823 -1.862
2#tos#t3#t3011062/)  -0.448 1.243  -0.448 1.327  -0.401 1.365  -0.326 1.356  -0.293 1.304  -0.209 1.304  -0.148 1.248  -0.088 1.188  -0.082 1.106  -0.044 1.060  0.041 1.059  0.100 1.000  0.121 0.928  0.197 0.890  0.223 0.822  0.223 0.738  0.223 0.653  0.268 0.588  0.284 0.510  0.284 0.425  0.332 0.389  0.345 0.317  0.345 0.233  0.345 0.149  0.345 0.064  0.345 -0.020  0.345 -0.105  0.325 -0.181  0.272 -0.246  0.235 -0.321  0.223 -0.403  0.203 -0.473  0.123 -0.499  0.043 -0.526  0.040 -0.609  0.040 -0.693  0.010 -0.770  -0.029 -0.845  -0.076 -0.915  -0.123 -0.985  -0.165 -1.059  -0.203 -1.134  -0.204 -1.218  -0.204 -1.303  -0.260 -1.357  -0.330 -1.404  -0.398 -1.453  -0.448 -1.517  -0.448 -1.602  -0.509 -1.625
2#tos#t3#t3011062/+  -1.116 0.145  -1.280 0.143  -1.433 0.092  -1.330 0.038  -1.165 0.038  -1.007 0.066  -0.849 0.092  -0.684 0.092  -0.520 0.092  -0.355 0.092  -0.190 0.092  -0.026 0.092  0.139 0.092  0.303 0.092  0.468 0.092  0.632 0.092  0.797 0.092  0.962 0.092  1.076 0.142  0.998 0.273  0.879 0.386  0.760 0.500  0.641 0.613  0.522 0.727  0.402 0.840  0.283 0.954  0.164 1.067  0.045 1.181  -0.047 1.306  -0.047 1.172  -0.047 1.007  -0.008 0.848  0.007 0.685  0.060 0.533  0.060 0.368  0.060 0.204  0.060 0.039  0.060 -0.125  0.060 -0.290  0.060 -0.455  0.060 -0.619  0.060 -0.784  0.060 -0.948  0.060 -1.113  0.060 -1.278  0.060 -1.442  0.060 -1.607  0.060 -1.771  0.060 -1.936  0.060 -2.100
2#tos#t3#t3011062/  -1.551 -0.113  -1.623 -0.113  -1.584 -0.113  -1.512 -0.113  -1.440 -0.113  -1.368 -0.113  -1.297 -0.113  -1.225 -0.113  -1.153 -0.113  -1.081 -0.113  -1.010 -0.113  -0.938 -0.113  -0.866 -0.113  -0.795 -0.113  -0.723 -0.113  -0.651 -0.113  -0.579 -0.113  -0.508 -0.113  -0.436 -0.113  -0.364 -0.113  -0.294 -0.104  -0.226 -0.081  -0.158 -0.059  -0.090 -0.036  -0.020 -0.025  0.052 -0.025  0.124 -0.025  0.195 -0.025  0.267 -0.025  0.339 -0.025  0.402 -0.005  0.453 0.046  0.504 0.096  0.554 0.147  0.625 0.151  0.696 0.151  0.768 0.151  0.840 0.151  0.912 0.151  0.983 0.151  1.055 0.151  1.127 0.151  1.198 0.151  1.270 0.151  1.342 0.151  1.414 0.151  1.485 0.151  1.557 0.151  1.629 0.151  1.701 0.151
2#tos#t3#t3011062/.  -0.729 -0.203  -0.588 -0.203  -0.448 -0.203  -0.307 -0.203  -0.166 -0.203  -0.039 -0.189  -0.039 -0.048  -0.039 0.093  -0.039 0.234  -0.039 0.374  -0.011 0.487  0.129 0.487  0.270 0.487  0.411 0.487  0.552 0.487  0.693 0.487  0.833 0.487  0.974 0.487  1.115 0.487  1.256 0.487  1.340 0.431  1.340 0.290  1.340 0.149  1.340 0.008  1.340 -0.132  1.270 -0.203  1.129 -0.203  0.988 -0.203  0.847 -0.203  0.707 -0.203  0.566 -0.203  0.425 -0.203  0.284 -0.203  0.144 -0.203  0.003 -0.203  -0.138 -0.203  -0.279 -0.203  -0.419 -0.203  -0.560 -0.203  -0.701 -0.203  -0.842 -0.203  -0.982 -0.203  -1.123 -0.203  -1.264 -0.203  -1.405 -0.203  -1.545 -0.203  -1.686 -0.203  -1.827 -0.203  -1.968 -0.203  -2.109 -0.203
2#tos#t3#t3011062/<  0.374 1.361  0.374 1.451  0.374 1.530  0.368 1.443  0.304 1.379  0.257 1.303  0.232 1.220  0.169 1.156  0.155 1.071  0.103 1.002  0.054 0.929  0.026 0.843  -0.035 0.777  -0.099 0.713  -0.163 0.650  -0.232 0.592  -0.307 0.542  -0.327 0.462  -0.376 0.392  -0.440 0.329  -0.504 0.266  -0.590 0.261  -0.598 0.179  -0.626 0.127  -0.555 0.074  -0.502 0.016  -0.443 -0.027  -0.414 -0.111  -0.382 -0.193  -0.341 -0.274  -0.286 -0.344  -0.222 -0.408  -0.158 -0.472  -0.102 -0.541  -0.073 -0.626  -0.002 -0.653  0.044 -0.715  0.082 -0.792  0.157 -0.837  0.179 -0.925  0.205 -1.010  0.269 -1.074  0.333 -1.138  0.397 -1.202  0.425 -1.282  0.468 -1.361  0.532 -1.424  0.579 -1.501  0.636 -1.544  0.680 -1.616
