2#tos#t2#t2032064/!  0.030 1.300  -0.185 1.175  -0.095 0.854  0.030 0.568  -0.048 0.235  -0.032 -0.066  -0.032 -0.477  -0.032 -0.762  0.093 -0.861  0.089 -0.453  0.030 -0.102  0.030 0.309  0.030 0.720  0.030 1.131  0.084 1.488  0.030 1.163  0.030 0.752  0.030 0.341  0.093 -0.007  0.093 -0.418  0.093 -0.579  0.093 -0.168  0.030 0.217  -0.032 0.565  -0.032 0.976  -0.032 1.387  -0.158 1.428  -0.095 1.080  -0.095 0.669  -0.095 0.258  -0.095 -0.153  -0.095 -0.564  -0.095 -0.308  -0.095 0.103  -0.095 0.514  -0.095 0.925  -0.095 1.139  -0.095 0.728  -0.032 0.343  -0.032 -0.068  0.030 -0.453  0.058 -0.766  0.105 -1.142  0.186 -1.545  0.266 -1.947  0.020 -2.144  0.013 -1.831  0.075 -1.893  0.003 -1.893  0.093 -1.768
2#tos#t2#t2032064/%  1.194 1.677  1.060 1.516  0.926 1.354  0.792 1.141  0.658 0.941  0.524 0.701  0.335 0.483  0.167 0.271  -0.011 0.154  -0.145 -0.086  -0.343 -0.261  -0.413 -0.527  -0.571 -0.757  -0.748 -0.901  -0.815 -1.130  -0.794 -1.116  -0.725 -0.828  -0.656 -0.541  -0.587 -0.254  -0.518 0.034  -0.449 0.321  -0.512 0.373  -0.660 0.204  -0.882 0.131  -1.061 0.160  -1.184 0.388  -1.083 0.580  -0.962 0.807  -0.801 0.941  -0.547 0.848  -0.480 0.619  -0.547 0.339  -0.590 0.127  -0.315 0.018  -0.041 -0.092  0.233 -0.202  0.508 -0.312  0.782 -0.421  1.056 -0.531  0.875 -0.745  0.658 -0.862  0.390 -0.845  0.256 -0.683  0.323 -0.415  0.535 -0.332  0.815 -0.265  1.043 -0.198  1.194 -0.343  1.124 -0.610  0.993 -0.867
2#tos#t2#t2032064/&  0.609 0.268  0.503 0.127  0.450 -0.068  0.397 -0.262  0.397 -0.509  0.327 -0.686  0.185 -0.792  0.150 -1.004  0.062 -1.163  -0.164 -1.216  -0.358 -1.269  -0.552 -1.216  -0.663 -1.080  -0.769 -0.939  -0.875 -0.766  -0.814 -0.580  -0.769 -0.378  -0.637 -0.262  -0.496 -0.156  -0.345 -0.060  -0.235 0.109  -0.107 0.268  0.035 0.374  0.132 0.524  0.238 0.727  0.291 0.922  0.291 1.169  0.203 1.328  0.115 1.487  -0.027 1.593  -0.199 1.699  -0.345 1.598  -0.451 1.457  -0.451 1.209  -0.504 1.015  -0.451 0.821  -0.345 0.679  -0.292 0.485  -0.186 0.344  -0.074 0.186  0.061 0.056  0.185 -0.068  0.344 -0.187  0.463 -0.315  0.537 -0.509  0.662 -0.673  0.821 -0.761  0.874 -0.956  0.902 -1.191  0.874 -1.375
2#tos#t2#t2032064/(  0.426 1.557  0.392 1.488  0.357 1.420  0.282 1.416  0.215 1.407  0.215 1.330  0.199 1.259  0.144 1.205  0.090 1.151  0.074 1.080  0.031 1.021  -0.014 0.959  -0.048 0.890  -0.102 0.853  -0.138 0.811  -0.138 0.734  -0.138 0.657  -0.138 0.580  -0.138 0.503  -0.138 0.426  -0.138 0.349  -0.138 0.272  -0.138 0.195  -0.138 0.118  -0.138 0.041  -0.138 -0.036  -0.138 -0.113  -0.138 -0.190  -0.138 -0.267  -0.138 -0.344  -0.138 -0.421  -0.138 -0.498  -0.120 -0.557  -0.067 -0.582  -0.067 -0.659  -0.067 -0.736  -0.067 -0.813  -0.067 -0.890  -0.067 -0.967  -0.004 -0.980  0.003 -1.050  0.003 -1.127  0.012 -1.201  0.067 -1.255  0.074 -1.329  0.074 -1.406  0.081 -1.480  0.135 -1.535  0.144 -1.608  0.144 -1.685
2#tos#t2#t2032064/  1.064 1.308  1.053 1.224  0.990 1.162  0.902 1.162  0.845 1.131  0.845 1.043  0.790 0.989  0.711 0.949  0.700 0.868  0.681 0.798  0.593 0.798  0.505 0.798  0.481 0.734  0.478 0.646  0.439 0.567  0.388 0.507  0.300 0.507  0.263 0.456  0.263 0.367  0.181 0.361  0.117 0.337  0.117 0.249  0.062 0.216  0.044 0.145  0.044 0.057  0.017 -0.012  -0.066 -0.040  -0.150 -0.067  -0.174 -0.138  -0.174 -0.227  -0.195 -0.294  -0.272 -0.320  -0.320 -0.388  -0.320 -0.476  -0.366 -0.536  -0.445 -0.575  -0.465 -0.651  -0.542 -0.665  -0.581 -0.744  -0.611 -0.825  -0.637 -0.903  -0.706 -0.949  -0.756 -0.987  -0.756 -1.075  -0.756 -1.163  -0.840 -1.167  -0.902 -1.194  -0.902 -1.282  -0.959 -1.313  -0.975 -1.386
2#tos#t2#t2032064/:  0.166 1.733  0.166 1.658  0.135 1.595  0.082 1.542  0.059 1.477  0.059 1.402  0.059 1.326  0.059 1.251  0.059 1.176  0.059 1.101  0.059 1.026  0.059 0.951  0.059 0.876  0.059 0.801  0.059 0.726  0.059 0.651  0.059 0.576  0.059 0.501  0.059 0.425  0.059 0.350  0.059 0.275  0.059 0.200  0.059 0.125  0.059 0.050  0.059 -0.025  0.059 -0.100  0.059 -0.175  0.059 -0.250  0.059 -0.325  0.059 -0.401  0.059 -0.476  0.059 -0.551  0.059 -0.626  0.059 -0.701  0.059 -0.776  0.059 -0.851  0.059 -0.926  0.059 -1.001  0.030 -1.047  -0.045 -1.047  -0.121 -1.047  -0.155 -1.088  -0.155 -1.163  -0.155 -1.238  -0.207 -1.261  -0.282 -1.261  -0.357 -1.261  -0.369 -1.324  -0.369 -1.399  -0.369 -1.475
2#tos#t2#t2032064/?  -0.619 0.394  -0.746 0.391  -0.746 0.261  -0.755 0.267  -0.809 0.343  -0.809 0.474  -0.809 0.604  -0.787 0.712  -0.721 0.776  -0.654 0.839  -0.524 0.839  -0.457 0.903  -0.390 0.966  -0.260 0.966  -0.130 0.966  0.000 0.966  0.130 0.966  0.261 0.966  0.391 0.966  0.461 0.906  0.551 0.813  0.652 0.762  0.668 0.648  0.716 0.565  0.716 0.435  0.716 0.305  0.652 0.238  0.620 0.140  0.509 0.109  0.461 -0.010  0.371 -0.050  0.334 -0.144  0.238 -0.177  0.144 -0.213  0.105 -0.304  0.017 -0.347  0.017 -0.477  0.017 -0.607  -0.047 -0.674  -0.047 -0.804  -0.047 -0.934  -0.047 -1.065  -0.047 -1.195  0.012 -1.311  0.070 -1.428  0.128 -1.544  0.186 -1.660  0.148 -1.761  0.144 -1.890  0.017 -1.893
2#tos#t2#t2032064/@  0.709 0.728  0.598 0.571  0.382 0.561  0.212 0.506  0.042 0.450  -0.015 0.280  -0.126 0.166  -0.181 -0.004  -0.181 -0.230  -0.126 -0.400  -0.070 -0.570  0.041 -0.685  0.177 -0.774  0.378 -0.715  0.527 -0.607  0.598 -0.452  0.598 -0.226  0.653 -0.056  0.653 0.169  0.709 0.372  0.709 0.598  0.669 0.784  0.598 0.938  0.542 1.108  0.431 1.255  0.234 1.285  0.064 1.340  -0.162 1.340  -0.348 1.301  -0.502 1.229  -0.561 1.062  -0.627 0.870  -0.655 0.673  -0.682 0.474  -0.738 0.271  -0.794 0.101  -0.794 -0.125  -0.794 -0.350  -0.849 -0.520  -0.849 -0.746  -0.763 -0.886  -0.704 -1.052  -0.561 -1.174  -0.365 -1.267  -0.142 -1.275  0.028 -1.331  0.254 -1.331  0.424 -1.275  0.650 -1.275  0.709 -1.108
2#tos#t2#t2032064/[  0.643 1.355  0.580 1.292  0.517 1.229  0.496 1.157  0.407 1.157  0.318 1.157  0.229 1.157  0.140 1.157  0.116 1.092  0.028 1.091  -0.048 1.059  -0.123 1.026  -0.212 1.026  -0.280 1.004  -0.280 0.915  -0.214 0.891  -0.214 0.802  -0.214 0.713  -0.214 0.624  -0.214 0.535  -0.214 0.446  -0.214 0.357  -0.214 0.268  -0.214 0.178  -0.214 0.089  -0.214 0.000  -0.214 -0.089  -0.214 -0.178  -0.214 -0.267  -0.214 -0.356  -0.214 -0.445  -0.214 -0.534  -0.214 -0.624  -0.214 -0.713  -0.166 -0.754  -0.148 -0.825  -0.148 -0.914  -0.148 -1.003  -0.148 -1.092  -0.148 -1.181  -0.148 -1.270  -0.070 -1.281  0.019 -1.281  0.109 -1.281  0.198 -1.281  0.287 -1.281  0.376 -1.281  0.465 -1.281  0.554 -1.281  0.643 -1.281
2#tos#t2#t2032064/^  -0.588 -0.637  -0.588 -0.773  -0.591 -0.906  -0.727 -0.906  -0.861 -0.910  -0.957 -1.006  -0.992 -0.954  -0.992 -0.818  -0.929 -0.709  -0.857 -0.602  -0.857 -0.466  -0.857 -0.331  -0.818 -0.234  -0.723 -0.193  -0.723 -0.058  -0.723 0.078  -0.723 0.214  -0.677 0.304  -0.588 0.351  -0.588 0.487  -0.539 0.573  -0.454 0.624  -0.402 0.708  -0.319 0.761  -0.319 0.897  -0.263 0.977  -0.127 0.977  -0.009 0.936  0.084 0.838  0.084 0.703  0.091 0.573  0.227 0.573  0.353 0.564  0.364 0.439  0.500 0.439  0.628 0.427  0.689 0.306  0.750 0.184  0.757 0.050  0.878 0.035  1.014 0.035  1.026 -0.089  1.151 -0.099  1.161 -0.226  1.161 -0.362  1.290 -0.368  1.295 -0.499  1.295 -0.635  1.428 -0.637  1.564 -0.637
2#tos#t2#t2032064/}  -0.392 1.569  -0.506 1.569  -0.506 1.455  -0.506 1.455  -0.506 1.340  -0.404 1.289  -0.302 1.238  -0.190 1.226  -0.076 1.226  -0.048 1.139  -0.019 1.054  0.009 0.967  0.072 0.882  0.129 0.825  0.181 0.762  0.181 0.648  0.238 0.591  0.238 0.476  0.232 0.367  0.136 0.323  0.066 0.238  0.066 0.123  -0.006 0.081  0.009 0.066  0.009 -0.048  0.024 -0.148  0.081 -0.205  0.138 -0.262  0.238 -0.277  0.280 -0.319  0.166 -0.319  0.066 -0.334  -0.006 -0.377  -0.034 -0.434  0.009 -0.505  0.066 -0.563  0.123 -0.620  0.123 -0.734  0.123 -0.848  0.137 -0.949  0.181 -1.020  0.181 -1.134  0.181 -1.249  0.123 -1.306  0.123 -1.420  0.111 -1.527  0.009 -1.578  -0.106 -1.578  -0.220 -1.578  -0.220 -1.578
